Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
146.988975  -8.614188   0.000000   6.285428   1.298918  -1.135709   0.000000  -1.664013 -59.316191   0.000000   0.000000  12.663590 -61.763076  -3.527716   0.000000   9.023460   0.000000 102.369671   0.000000 106.828529   0.000000 -46.678507  50.929804   0.000000   3.596447 -17.574354   0.000000   0.000000   0.000000 -32.874854 -21.346778 -27.572056   0.000000 -29.263571 -17.007296  -6.537722  -6.594881  -9.590964 145.001779   0.000000   0.000000   0.324173  -1.225938  -8.120099  -0.091380   0.000000 -42.969933  -1.182840   0.000000  -5.303836 -10.606580  17.849446   0.000000   0.000000 -10.914221  -9.965300 -15.552347 -10.656275  -0.958651 -10.981962  -4.128738   4.315671  -9.446474   0.000000 -13.618492   1.890424 -10.215228  -7.514836   0.000000  12.530738  44.537190   0.000000   0.000000 153.783142 -20.031478 -41.755109 -28.857657  -0.875174  -0.749439   0.000000   0.000000  -3.675995  -1.362448   0.969286   0.000000  -3.047826  38.775711  -3.167864   8.644820   0.000000  51.877855  -7.446243   0.000000  13.756963   0.000000  80.946386   0.000000  -8.394728  24.350791  -4.970404 -39.173968   1.445837  -0.166718  57.620989   0.000000   8.039154 -34.120697  -2.121776   0.000000  24.829689  11.668074   0.000000   9.710791   0.000000  23.311887   0.000000 -19.060445  -7.004405 -19.428129  26.837341  -3.806584   0.000000   0.000000  13.520142   7.570345   0.000000  14.611288  -5.065184   0.000000   9.682397   0.000000   0.000000   0.000000   0.000000   0.000000 -15.102180  -3.182586   0.000000   0.000000  -5.278868  -1.008830  -4.281280   0.000000   0.000000  25.052364   0.750523   3.256289   0.000000 -11.456047   0.000000  -5.220752   0.000000   0.000000  22.130915   0.000000   0.000000 -55.796783   3.400913  -6.421340  -6.120106   0.010372   0.000000   8.836620   0.000000 -15.263859   0.000000  -3.136021  -6.851770 -27.911130 -22.316452   0.284933   0.615911  -2.450909   0.000000 -13.007339   0.000000   0.000000  -0.294559   0.000000 -38.394856   0.000000   0.000000   0.000000  -8.480954 -21.874286   0.000000   0.505716   6.374903   0.000000 -17.850946   2.503731  -7.095282   0.000000   0.000000 -38.879947  -0.550413   0.000000  -0.184281   0.000000   0.000000  41.894856 -10.180282   5.670903   0.000000   3.455349  -3.261796   2.227646  -6.342034   0.612164  -4.065361 -27.875569  -4.677617  -9.791260 -17.418682   0.814632   0.000000   1.135086   0.000000   0.000000  -0.621387   0.000000
145.622381  -8.072286   0.000000   3.558604  -6.575980  -1.692684   0.000000  -1.330854 -56.979939   0.000000   0.000000  31.998955 -60.848669  -4.252694   0.000000   8.642145   0.000000  85.030472   0.000000  76.235600   0.000000 -34.243983  51.671854   0.000000   2.016072 -18.049074   0.000000   0.000000   0.000000 -34.132051 -22.365564 -28.162287   0.000000 -28.260016 -16.806518  -6.537020 -11.187345  -9.511906 116.107339   0.000000   0.000000   2.027125  -1.558114  -7.201466  -1.241856   0.000000  -7.951117  -1.864133   0.000000  -3.321368 -11.996190  17.774350   0.000000   0.000000 -10.649731 -24.009091 -19.315619 -10.557829  -1.702399 -12.123841  -6.381812   8.858633  -9.670012   0.000000 -13.690413   2.144896   2.840053  -3.072329   0.000000  12.688882  34.201853   0.000000   0.000000 122.350451 -21.083543 -39.286251 -29.980996  -0.644728  -0.669676   0.000000   0.000000  -3.793528  -1.421554   1.429538   0.000000  -2.390322  49.639715 -12.337117   8.800830   0.000000  46.338301  -6.947551   0.000000  18.722617   0.000000  79.120184   0.000000  -8.512622  23.113571  -3.104963 -40.040065   1.401404  -2.311231  57.151330   0.000000  16.738345 -25.088343  -2.318855   0.000000  24.853553   8.281464   0.000000  10.800664   0.000000  25.782473   0.000000 -48.569317 -11.095471  -8.755251  29.045863  -5.069946   0.000000   0.000000  12.001894  -5.396366   0.000000  14.577215  -5.898595   0.000000  10.002645   0.000000   0.000000   0.000000   0.000000   0.000000 -14.968589  -3.037902   0.000000   0.000000  -5.203987  -1.391972  -4.010058   0.000000   0.000000  26.019397   0.520075   4.637876   0.000000 -11.118667   0.000000  -4.546750   0.000000   0.000000  19.217976   0.000000   0.000000 -55.834256   2.235311  -6.606330  -5.097247  -0.000688   0.000000   8.882825   0.000000 -15.369758   0.000000  -1.425784  -6.622370 -27.040524 -16.832839   0.461633   1.029883  -2.442820   0.000000 -14.190379   0.000000   0.000000   0.744478   0.000000 -40.905199   0.000000   0.000000   0.000000  -8.043697  -4.593764   0.000000  -0.423743   6.687583   0.000000 -23.282869   0.641205  -8.285421   0.000000   0.000000 -19.080226  -0.227123   0.000000  -1.803822   0.000000   0.000000  43.496544 -10.053236   8.391239   0.000000   3.030770  -3.234191   2.334655  -6.492658   0.019673  -3.833512 -27.830652  -4.799323  -8.783770 -17.011680   0.745348   0.000000   1.095367   0.000000   0.000000  -0.118343   0.000000
145.313538  -8.257015   0.000000   3.246223  -6.830875  -1.743993   0.000000  -1.204233 -57.721100   0.000000   0.000000  43.083826 -61.376819  -3.357115   0.000000   8.771848   0.000000  81.613556   0.000000  69.922912   0.000000 -33.934941  51.131213   0.000000   1.149038 -18.341217   0.000000   0.000000   0.000000 -34.080968 -22.063798 -27.795202   0.000000 -25.559563 -14.737803  -6.481763 -11.819503  -9.445255 106.466864   0.000000   0.000000   2.274071  -1.867334  -6.706960  -0.813473   0.000000  -9.253501  -2.299597   0.000000  -2.478019 -12.140068  17.638269   0.000000   0.000000 -10.752430 -16.443804 -16.172059 -10.527756  -1.943000 -11.462915  -8.072191  12.946731  -9.358083   0.000000 -10.351648   1.278098   6.927193  -3.077760   0.000000  11.808643  30.279508   0.000000   0.000000 102.850180 -18.871921 -39.935459 -29.662852  -1.273223  -1.082060   0.000000   0.000000  -3.652054  -1.230166   1.576593   0.000000  -1.662049  49.568557 -13.390961  10.717538   0.000000  43.830171  -6.306414   0.000000  21.802297   0.000000  73.667318   0.000000  -7.125172  23.836126  -2.600339 -38.689171   1.418668   0.043971  53.720344   0.000000  15.973838 -14.120876  -2.800791   0.000000  24.364020   6.887883   0.000000  10.827638   0.000000  24.054109   0.000000 -61.867690 -10.823015  -8.186893  27.118975  -6.233842   0.000000   0.000000  14.359263  -9.301357   0.000000  14.524737  -4.865922   0.000000   9.097012   0.000000   0.000000   0.000000   0.000000   0.000000 -14.712808  -2.777443   0.000000   0.000000  -4.765979  -1.418667  -3.686536   0.000000   0.000000  25.353526  -0.022061   4.079108   0.000000 -11.237194   0.000000  -3.853638   0.000000   0.000000  16.739181   0.000000   0.000000 -55.578624   1.336123  -6.861165  -4.533526  -0.004011   0.000000   8.341372   0.000000 -14.468275   0.000000  -1.025256  -6.555043 -27.124690 -15.627129   0.102251   1.028173  -2.584750   0.000000 -15.006625   0.000000   0.000000   1.258298   0.000000 -40.140880   0.000000   0.000000   0.000000  -7.608616  -4.671524   0.000000   0.315768   6.145905   0.000000 -24.691269  -1.398883  -6.667303   0.000000   0.000000 -20.256798  -0.231515   0.000000  -1.488569   0.000000   0.000000  44.507229 -10.098600   9.288504   0.000000   2.434899  -3.304045   1.676243  -6.337157  -0.246629  -3.741170 -26.926930  -4.833454  -6.971486 -16.869776   0.524813   0.000000   0.740617   0.000000   0.000000   0.043289   0.000000
144.368967  -8.353949   0.000000   3.171816  -6.445402  -1.856144   0.000000  -1.253928 -57.019723   0.000000   0.000000  44.739039 -59.409076  -3.606601   0.000000   8.681355   0.000000  81.834562   0.000000  67.441917   0.000000 -33.432373  49.406716   0.000000   0.797945 -18.460435   0.000000   0.000000   0.000000 -33.661485 -22.027401 -27.395105   0.000000 -23.493218 -13.938712  -6.368474 -11.817150  -9.829198 103.104967   0.000000   0.000000   2.271312  -1.916524  -6.604844  -0.791005   0.000000  -8.000025  -1.932051   0.000000  -2.589355 -12.069047  17.609840   0.000000   0.000000 -10.801827 -13.084537 -15.623698 -10.580377  -2.100820 -11.224432  -8.304323  13.403696  -9.151295   0.000000  -9.497754   1.033108   7.696910  -3.106103   0.000000  11.484326  28.815921   0.000000   0.000000  99.711080 -17.825170 -37.873947 -29.523628  -1.454898  -1.096435   0.000000   0.000000  -3.501328  -1.178958   1.745572   0.000000  -1.752941  49.354070 -18.036751  10.716712   0.000000  42.002069  -6.169907   0.000000  22.324871   0.000000  69.574223   0.000000  -7.034861  23.123791  -2.536416 -38.312487   1.481007   0.159981  51.645200   0.000000  17.277211 -12.255798  -3.052260   0.000000  23.896291   6.396346   0.000000  10.299480   0.000000  22.589248   0.000000 -61.991307 -11.342814  -6.155719  25.979210  -6.459017   0.000000   0.000000  13.604621 -10.142689   0.000000  14.514481  -4.520471   0.000000   8.501834   0.000000   0.000000   0.000000   0.000000   0.000000 -14.649131  -2.502590   0.000000   0.000000  -1.682731  -1.461788  -3.855038   0.000000   0.000000  24.594234  -0.321137   3.614652   0.000000 -11.405142   0.000000  -3.701684   0.000000   0.000000  16.221807   0.000000   0.000000 -55.394233   0.805277  -7.016997  -3.907674  -0.004561   0.000000   8.215356   0.000000 -14.001304   0.000000  -1.181114  -6.548018 -26.897871 -15.681831  -0.045868   0.996563  -2.624804   0.000000 -14.624083   0.000000   0.000000   2.373074   0.000000 -40.447580   0.000000   0.000000   0.000000  -7.622338  -4.781752   0.000000   0.196012   5.976787   0.000000 -23.370394  -1.813594  -6.736129   0.000000   0.000000 -20.921286  -0.364994   0.000000  -1.369991   0.000000   0.000000  44.352154 -10.249106   9.407595   0.000000   2.299237  -3.315961   1.578054  -5.744359  -0.451897  -3.755385 -26.375793  -4.726992  -6.559678 -16.897948   0.471107   0.000000   0.757230   0.000000   0.000000   0.083802   0.000000
144.484019  -7.944219   0.000000   3.291152  -6.290893  -1.934975   0.000000  -1.288784 -56.496673   0.000000   0.000000  44.864425 -60.330737  -3.630073   0.000000   8.665519   0.000000  83.907211   0.000000  66.419149   0.000000 -33.059639  49.389584   0.000000   0.725542 -18.526175   0.000000   0.000000   0.000000 -33.796644 -21.867384 -27.387808   0.000000 -24.084306 -14.395367  -6.376796 -11.751076  -9.816144 102.963430   0.000000   0.000000   2.263354  -1.923010  -6.644690  -0.817866   0.000000  -8.143515  -2.155418   0.000000  -2.593320 -12.143376  17.612566   0.000000   0.000000 -10.524003 -13.712842 -15.629087 -10.594352  -2.113670 -10.721714  -8.363614  13.496739  -9.270830   0.000000 -10.127175   1.203459   7.715479  -3.109373   0.000000  11.448643  28.734102   0.000000   0.000000  99.613399 -18.259103 -38.422172 -29.447472  -1.373740  -1.095394   0.000000   0.000000  -3.581087  -1.193348   1.715950   0.000000  -1.790569  49.323799 -16.411522  10.531217   0.000000  41.428853  -6.202403   0.000000  22.291290   0.000000  69.841387   0.000000  -7.042185  23.073405  -2.605003 -38.307131   1.487015   0.213844  52.069025   0.000000  17.157272 -12.234082  -3.282571   0.000000  23.915156   6.118306   0.000000  10.278041   0.000000  22.476495   0.000000 -62.041124 -10.583834  -6.576333  25.960154  -6.452335   0.000000   0.000000  13.470694 -10.210904   0.000000  14.510627  -4.745829   0.000000   8.625747   0.000000   0.000000   0.000000   0.000000   0.000000 -14.625770  -2.532612   0.000000   0.000000  -1.671199  -1.464033  -3.866810   0.000000   0.000000  25.051153  -0.305396   3.594990   0.000000 -11.417375   0.000000  -3.758658   0.000000   0.000000  16.489949   0.000000   0.000000 -55.445958   0.781872  -7.028511  -3.881861  -0.004622   0.000000   8.152958   0.000000 -14.082310   0.000000  -1.260451  -6.521014 -27.019159 -15.011752   0.082798   0.979083  -2.612070   0.000000 -14.538222   0.000000   0.000000   2.089265   0.000000 -40.127460   0.000000   0.000000   0.000000  -7.621878  -4.713711   0.000000   0.149746   5.950752   0.000000 -23.508000  -1.911476  -6.796948   0.000000   0.000000 -20.936126  -0.364359   0.000000  -1.386074   0.000000   0.000000  43.832130 -10.268961   9.317521   0.000000   2.267599  -3.320802   1.513702  -5.518018   0.227726  -3.742775 -26.499428  -4.736306  -6.569906 -16.830500   0.459663   0.000000   0.830319   0.000000   0.000000  -0.007383   0.000000
145.028152  -7.581151   0.000000   3.334486  -6.243657  -1.900958   0.000000  -1.284411 -58.163523   0.000000   0.000000  44.442865 -61.170308  -3.545755   0.000000   8.678167   0.000000  82.300787   0.000000  67.342980   0.000000 -33.443976  49.690611   0.000000   0.833436 -18.514161   0.000000   0.000000   0.000000 -33.754677 -22.046435 -27.489668   0.000000 -24.368069 -14.478568  -6.455373 -11.870248  -9.705188 104.646362   0.000000   0.000000   2.362823  -1.897517  -6.656145  -0.803733   0.000000  -8.172669  -2.108215   0.000000  -2.570872 -12.272581  17.629331   0.000000   0.000000 -10.284181 -14.765746 -15.620005 -10.582171  -2.060532 -10.509615  -8.248863  13.026776  -9.026668   0.000000 -10.626825   1.584355   7.516865  -3.103708   0.000000  11.644843  29.367535   0.000000   0.000000 100.165257 -18.747398 -39.534885 -29.571492  -1.266250  -1.165281   0.000000   0.000000  -3.685311  -1.252267   1.707209   0.000000  -1.778736  49.307384 -13.881269  10.336826   0.000000  42.554519  -6.384600   0.000000  22.215432   0.000000  70.764131   0.000000  -7.057323  23.339152  -2.561832 -38.471557   1.481936   0.172128  52.459017   0.000000  17.404620 -12.562725  -3.093128   0.000000  24.378418   6.189067   0.000000  10.387494   0.000000  22.826759   0.000000 -62.037937 -10.468723  -6.948627  26.250017  -6.339516   0.000000   0.000000  13.606263 -10.007639   0.000000  14.517345  -5.165488   0.000000   8.765361   0.000000   0.000000   0.000000   0.000000   0.000000 -14.580679  -2.514474   0.000000   0.000000  -2.302191  -1.456524  -3.840211   0.000000   0.000000  25.073045  -0.237585   3.681039   0.000000 -11.386215   0.000000  -3.908976   0.000000   0.000000  17.032652   0.000000   0.000000 -55.434546   0.908951  -6.993676  -4.035467  -0.004507   0.000000   8.214518   0.000000 -14.176439   0.000000  -1.208447  -6.508506 -27.398334 -15.683071   0.144415   0.981768  -2.576385   0.000000 -15.554170   0.000000   0.000000   1.367306   0.000000 -40.134335   0.000000   0.000000   0.000000  -7.607565  -4.848375   0.000000   0.149025   5.967083   0.000000 -23.365525  -1.672219  -6.842487   0.000000   0.000000 -20.788626  -0.348289   0.000000  -1.414820   0.000000   0.000000  44.071395 -10.249771   9.338437   0.000000   2.307154  -3.317847   1.609311  -5.405010   0.534025  -3.752198 -26.624563  -4.701632  -6.707829 -16.914760   0.474349   0.000000   0.903554   0.000000   0.000000  -0.006891   0.000000
145.811017  -7.120833   0.000000   3.449569  -6.474585  -1.765483   0.000000  -1.373239 -60.110218   0.000000   0.000000  32.098089 -61.961447  -3.884176   0.000000   8.583067   0.000000  85.227475   0.000000  76.031989   0.000000 -34.525426  50.451538   0.000000   1.828692 -18.280497   0.000000   0.000000   0.000000 -34.721614 -22.394312 -27.665148   0.000000 -28.460486 -16.421581  -6.552775 -11.778687 -10.233926 115.418307   0.000000   0.000000   1.722827  -1.620025  -7.233871  -1.389774   0.000000  -7.995588  -2.119785   0.000000  -3.406589 -12.040554  17.752384   0.000000   0.000000  -9.969953 -23.368580 -18.100878 -10.597899  -1.804140  -9.845722  -6.826451   9.231285  -9.061995   0.000000 -13.024625   2.070641   3.061867  -3.091058   0.000000  12.715280  33.599585   0.000000   0.000000 121.226294 -20.556288 -40.927390 -28.947046  -0.518663  -0.757607   0.000000   0.000000  -3.532694  -1.413326   1.138755   0.000000  -1.850756  49.244028 -10.988639   8.551485   0.000000  47.026994  -6.885030   0.000000  18.848244   0.000000  77.455949   0.000000  -8.616298  22.481380  -3.420090 -39.818458   1.451979  -0.151600  55.996469   0.000000  16.990116 -17.203803  -2.160197   0.000000  24.641181   8.493173   0.000000  10.232097   0.000000  25.260587   0.000000 -48.202201 -11.395842  -9.633997  28.161297  -5.539907   0.000000   0.000000  13.497107  -5.695119   0.000000  14.557464  -5.812028   0.000000   9.874779   0.000000   0.000000   0.000000   0.000000   0.000000 -14.698674  -2.831494   0.000000   0.000000  -5.190935  -1.446478  -4.099872   0.000000   0.000000  25.191428   0.415738   4.292301   0.000000 -11.272558   0.000000  -4.627395   0.000000   0.000000  19.688481   0.000000   0.000000 -55.642473   1.868366  -6.740722  -4.958029  -0.000912   0.000000   8.113789   0.000000 -15.315940   0.000000  -1.515831  -6.625783 -27.770641 -16.873740   0.487309   0.670035  -2.501221   0.000000 -15.178712   0.000000   0.000000   0.730950   0.000000 -40.920732   0.000000   0.000000   0.000000  -8.087374  -4.898188   0.000000   0.216081   6.121579   0.000000 -23.437643   0.692732  -7.044569   0.000000   0.000000 -19.598114  -0.354510   0.000000  -1.726397   0.000000   0.000000  43.477487 -10.177024   7.640134   0.000000   2.616579  -3.264987   1.894591  -5.331479   0.953256  -3.860906 -27.735457  -4.811272  -8.889492 -17.100371   0.545252   0.000000   1.110432   0.000000   0.000000  -0.238505   0.000000
145.576402  -7.016373   0.000000   4.574557  -5.435709  -1.306724   0.000000  -1.572388 -59.934761   0.000000   0.000000   3.323163 -61.542213  -6.375792   0.000000   8.568309   0.000000  96.468937   0.000000  93.514439   0.000000 -36.292838  51.264168   0.000000   4.366600 -17.452858   0.000000   0.000000   0.000000 -33.821858 -23.577173 -30.107840   0.000000 -33.779488 -19.676624  -7.143092 -12.476982 -10.134095 136.347995   0.000000   0.000000  -0.952416  -1.081090  -8.517129   1.611350   0.000000  -9.826606  -1.622904   0.000000  -7.792029  -9.703024  17.859004   0.000000   0.000000 -10.011749 -24.932360 -23.148279 -10.683420  -1.177160  -7.715581  -2.758919   0.733350  -9.046690   0.000000 -14.598355   2.337205  -6.805562  -5.232078   0.000000  12.184933  42.667115   0.000000   0.000000 166.839968 -20.561621 -42.951355 -28.240250  -1.264466  -1.010959   0.000000   0.000000  -3.144783  -1.436150   0.361871   0.000000  -4.089252  49.205348 -11.634877   8.633502   0.000000  55.186731  -8.281376   0.000000  10.300789   0.000000  90.843412   0.000000  -6.827669  23.021529  -6.378780 -41.361576   1.434523  -0.338089  60.961269   0.000000  18.649202 -33.137459  -1.001888   0.000000  24.808142  13.574041   0.000000   9.705119   0.000000  28.531688   0.000000 -14.818958  -9.751178 -12.431328  32.149436  -3.087531   0.000000   0.000000  13.287642   4.202218   0.000000  14.616980  -5.119906   0.000000  10.929350   0.000000   0.000000   0.000000   0.000000   0.000000 -15.041407  -3.030345   0.000000   0.000000  -5.328873  -0.585033  -3.882405   0.000000   0.000000  25.095932   1.244524   3.010026   0.000000 -11.243028   0.000000  -6.152430   0.000000   0.000000  25.094792   0.000000   0.000000 -55.942858   3.650222  -6.200338  -5.988261  -0.043963   0.000000   8.512671   0.000000 -16.725378   0.000000  -2.609756  -6.920731 -27.391870 -20.167986   0.315518   0.212518  -2.460900   0.000000 -14.186530   0.000000   0.000000  -0.551495   0.000000 -43.719389   0.000000   0.000000   0.000000  -8.262209 -11.847442   0.000000   0.510280   5.708346   0.000000 -23.599203   5.818418  -7.338965   0.000000   0.000000 -17.422441  -0.512708   0.000000  -2.174721   0.000000   0.000000  40.670423 -10.118767   3.759295   0.000000   3.523902  -3.586202   2.209317  -5.065746   2.108864  -4.275686 -28.825005  -5.542975 -11.379725 -17.285130   0.750942   0.000000   1.419774   0.000000   0.000000  -1.227075   0.000000
147.731624  -7.256301   0.000000   5.686584  -5.183159  -1.597010   0.000000  -1.663116 -58.628912   0.000000   0.000000  -6.853858 -61.955508 -10.171486   0.000000   8.734284   0.000000 101.992157   0.000000 103.595156   0.000000 -41.113696  52.494660   0.000000   5.352651 -17.105138   0.000000   0.000000   0.000000 -34.467797 -21.909218 -27.581468   0.000000 -34.141696 -19.886027  -6.613317  -9.572828 -10.523389 147.104448   0.000000   0.000000  -2.382956  -0.919269  -9.002585   4.163038   0.000000  -7.336725  -1.357282   0.000000  -8.031588  -8.388763  17.835185   0.000000   0.000000 -10.134074 -24.669474 -20.579829 -10.684499  -0.835373  -5.441756  -1.288934  -2.323174  -9.109692   0.000000 -13.332893   1.998600 -10.675988  -7.536520   0.000000  10.649244  47.259357   0.000000   0.000000 183.748233 -19.999091 -44.317249 -27.726095  -2.129609  -1.537131   0.000000   0.000000  -3.329924  -1.382795   0.052107   0.000000  -5.144582  41.356977  -5.773734   9.791142   0.000000  58.779114  -8.924766   0.000000   7.146900   0.000000  94.071388   0.000000  -4.293881  24.963749  -7.871537 -40.954813   1.420846   0.347316  62.448056   0.000000   8.786346 -34.852515  -0.871230   0.000000  24.695224  15.232168   0.000000   9.820484   0.000000  27.030695   0.000000   2.878560  -8.687097 -15.821951  30.318628  -2.256107   0.000000   0.000000  13.674023   8.270250   0.000000  14.624529  -4.796436   0.000000  10.764913   0.000000   0.000000   0.000000   0.000000   0.000000 -15.200306  -2.899114   0.000000   0.000000  -4.900330  -0.012837  -3.352151   0.000000   0.000000  25.050814   1.626506   3.179765   0.000000 -11.217050   0.000000  -6.356862   0.000000   0.000000  27.144437   0.000000   0.000000 -56.054644   4.496347  -5.950007  -6.023119  -0.112420   0.000000   8.642368   0.000000 -16.680847   0.000000  -2.676911  -7.032163 -27.951292 -20.157091   0.187440   0.025361  -2.505981   0.000000 -12.465172   0.000000   0.000000  -0.640165   0.000000 -50.977734   0.000000   0.000000   0.000000  -8.086010 -15.740464   0.000000   0.661365   5.092056   0.000000 -21.891598   7.321318  -7.370222   0.000000   0.000000 -32.572526  -0.519221   0.000000  -0.587963   0.000000   0.000000  38.408381 -10.070370   2.173761   0.000000   3.762365  -3.830040   2.015007  -5.037175   2.351944  -4.484759 -28.795289  -5.585828 -11.661932 -17.320757   0.757288   0.000000   0.979921   0.000000   0.000000  -1.812095   0.000000
148.396468  -7.010040   0.000000   7.859562  -2.082324  -2.012849   0.000000  -1.814715 -61.313017   0.000000   0.000000 -12.164570 -62.113488 -10.440488   0.000000   8.940464   0.000000 105.522790   0.000000 111.296354   0.000000 -42.308514  53.602877   0.000000   6.003071 -16.943566   0.000000   0.000000   0.000000 -30.517520 -21.150250 -27.824123   0.000000 -33.555055 -17.293926  -6.686402  -6.204235  -7.837856 157.884849   0.000000   0.000000  -3.364233  -0.898880  -9.223156   5.344236   0.000000 -11.628983  -1.278260   0.000000  -8.594708  -7.776922  17.806072   0.000000   0.000000  -9.377732 -24.679842 -18.470412 -10.660778  -0.570310  -4.041701  -0.542387  -4.152118  -8.923769   0.000000 -13.413907   2.099687 -14.773870  -7.875139   0.000000  11.283058  51.322428   0.000000   0.000000 193.379225 -20.148418 -43.525657 -28.068355  -2.662416  -1.599443   0.000000   0.000000  -2.743378  -1.312635  -0.496879   0.000000  -5.865737  33.625383  -1.904913  10.877351   0.000000  61.638365  -9.206239   0.000000   5.242872   0.000000  97.361758   0.000000  -2.678427  26.983414  -8.952539 -40.658725   1.402939   4.914219  63.816820   0.000000   7.798790 -35.785802  -1.035210   0.000000  24.705357  16.148800   0.000000  10.086123   0.000000  25.264379   0.000000  15.192577   0.503011 -50.107841  31.774253  -2.016329   0.000000   0.000000  14.985903  12.513305   0.000000  14.615584  -3.857334   0.000000  10.625918   0.000000   0.000000   0.000000   0.000000   0.000000 -15.157493  -2.628509   0.000000   0.000000  -4.730926   0.358090  -2.939885   0.000000   0.000000  25.849471   1.905148   3.418321   0.000000 -11.161916   0.000000  -6.564424   0.000000   0.000000  27.699549   0.000000   0.000000 -56.160700   5.215403  -5.748540  -6.083840  -0.107788   0.000000   8.151874   0.000000 -16.519324   0.000000  -3.462686  -7.097292 -27.549427 -20.962798   0.074766  -0.310048  -2.553824   0.000000 -11.450237   0.000000   0.000000  -0.299027   0.000000 -51.934968   0.000000   0.000000   0.000000  -7.950488 -19.995134   0.000000   1.000670   4.509556   0.000000 -21.792819   8.463271  -6.988355   0.000000   0.000000 -50.012440  -0.477990   0.000000  -0.557066   0.000000   0.000000  38.281827 -10.018286   0.787089   0.000000   3.657127  -3.310654   2.262120  -4.637711   3.243384  -4.629446 -28.666296  -5.336954 -11.740792 -17.337251   0.650014   0.000000   1.309381   0.000000   0.000000  -2.220866   0.000000
