NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-9.821570 14.929005  2.404817  2.625359  3.523099  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-9.940969 14.440723  2.270418  2.407490  3.315151  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-11.909639  14.018183   1.864372   2.143900   3.282416   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-13.526222  14.230922   1.893966   2.106428   3.676996   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-13.541434  14.236359   1.879874   2.126830   3.599765   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-13.723433  14.356058   1.941060   2.198130   3.431473   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.200544  14.555565   2.336033   2.339647   3.306022   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-9.648512 15.286486  2.160779  2.255274  3.595125  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-8.803181 15.948618  2.248357  1.261883  3.856774  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.926434 16.510733  1.175421  1.262022  4.047322  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-1.375847 17.313567  1.667273  1.507533  4.036746  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 1.022384 17.427486  1.293026  1.626610  3.826285  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 1.097978 17.516540  1.422978  1.998337  3.663539  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 2.545184 17.414887  1.687799  2.058196  3.614191  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.158481 17.464223  1.710302  2.159528  3.533500  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.196337 17.543650  1.781084  2.224510  3.581670  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.009012 17.916821  1.839016  2.075386  3.533735  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.043096 17.873204  2.004052  1.681715  3.531014  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.440589 17.802659  1.685420  1.761480  3.572635  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.598854 17.672285  1.261174  1.735778  3.702796  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 2.540473 17.367117  2.270804  1.690661  3.798280  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 1.978027 17.214099  2.205795  1.642489  3.927006  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.633032 16.966990  2.034203  1.392069  3.778248  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.366267 17.116221  2.751557  1.439852  3.849233  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-7.125708 15.333656  2.417186  1.167638  3.818770  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-9.579280 14.285064  3.420152  1.156556  3.557186  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-9.394208 14.285093  4.053712  1.219317  3.448586  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-9.621094 13.982343  3.018098  1.241292  3.415499  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-9.593267 13.831965  3.111301  1.183381  3.322343  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-9.809265 13.990728  2.620938  1.178657  3.417101  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.859078 15.815618  2.690260  1.223659  3.594555  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.293437 16.615097  2.828634  1.360206  3.546892  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.119195 16.360460  1.290337  1.563202  3.692751  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.699356 16.955605  1.722793  1.965882  3.811970  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 2.937290 17.360297  1.677690  2.071374  3.795236  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.572075 17.356598  2.009421  2.276785  3.865777  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.547500 17.346457  2.100042  2.042461  3.785151  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.571504 17.345984  2.256782  1.969120  3.826679  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.572056 17.505053  2.166353  1.984659  3.759317  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.159932 17.495092  2.496952  2.083543  3.666830  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.072472 17.937096  2.301891  1.980682  3.537767  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.103179 18.115260  2.584064  1.799745  3.563256  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.230256 18.156316  4.344635  2.180433  3.592221  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 3.611104 17.887420  3.812540  1.616793  3.604077  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 1.785201 17.485536  3.217452  1.593705  3.861682  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.972444 17.603336  3.395803  1.575891  3.882258  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 1.024719 17.129443  2.527630  1.552926  3.822856  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-2.550812 17.259472  2.465160  1.498695  3.678728  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-8.956452 16.690325  1.698770  1.373300  3.634916  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
