Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
  9375.999506   4174.192975     36.389991   1096.609731    262.958313     23.366946     79.126292   1145.952822    157.696984     10.556593    841.196154     71.490327     85.375301    696.698986      2.140657    163.785828     17.565238    323.818765   8059.797808     85.974435     25.215741      2.184246      2.948741      0.601504    101.558906    110.244146     17.105865      1.019050      0.898251    161.656223    685.414940     73.272457      5.006282    393.287638      0.000000     18.216408     17.999856     55.583687     72.657145     30.085891     63.142796     52.838661      0.998619      2.725787      0.259503      4.090739     19.957739    309.184315     27.120215    528.601156   2193.562091    586.774972     24.643700    303.129799   2030.491370   1466.636432   2126.367077    721.392132     24.673337     70.662214    913.941638    158.586386     51.032277      3.390174     73.956979      0.000000    415.314592    404.248986      5.344829    453.802786     48.944525      1.174775      3.916558  14726.135841    588.188149    652.556547      3.563472      1.116573      1.126015      0.040976      0.206472      1.817438      2.201779      0.940262      0.002711      0.438434   3674.925794     31.559427      0.942125     15.300687 189823.673232      6.553287    104.222264    103.406612      1.086156     33.260393      0.388069     77.403198     94.809275      1.536691    446.254159   1372.483831     24.788678     96.045503      4.948414      0.000000    403.895885   3277.447228      2.928867      2.933729      0.000000      2.488678     33.312453      2.227190      6.229094      0.124416      0.475335    622.755574     89.924069      0.000000   1468.447943     82.549294      6.478355      7.542949   1591.328566     24.839458     16.591851    193.928825     31.100206    722.996228      0.003861      0.000000      0.000964      2.814148     86.321216    407.182792    301.099703     69.621849   1221.978814     57.339860      1.687040     64.015726     24.126394   1365.418279   5521.410220   1850.494061     38.853783      0.325328     83.332176     87.751857      2.264980     44.364389      0.000000      1.463831    213.706313      1.536756    100.916617    354.431302    761.947103    668.141621   7879.625019     10.747897     74.188715      0.274444     62.570357      0.228861     26.062076    245.058230    192.839584     88.081974      1.610078    357.808515    624.210856     26.410090    196.555817      0.799186      5.767179     80.577711      8.240853      2.077447     37.543349   3020.933893  10524.943250     94.704049      0.000000      1.720450     10.176399      0.051610      0.097718    419.484702      5.843143     67.130673      1.789833     16.141290    161.675284     30.683640     49.369931    176.457122     25.155792     13.211594   1244.901977   3245.067393    287.529291     32.304076    248.489142    464.944008    150.755832    108.902575     81.848929    107.296780     38.620914      9.827564     60.872712    213.547881    204.226888     14.515560     54.986794      3.750684      7.615707     23.067993  20163.815508
220838.730118   4363.467434     41.583185   1025.570905    248.640869     37.689238     72.927989   1079.421077     14.120024      0.953918    894.843508     86.233722     69.464157   1477.874330      2.373635    147.005865 119960.840729    644.350590 116102.883988     42.719325  74984.476468      0.000000   3116.823460      0.131795    101.554157     72.609799      0.600965      1.019012      0.898246     98.258096    977.686912     79.430155      3.347970    255.958238     20.763610     17.616685     17.233871     48.223805     29.924525 454035.289781     43.520342      2.517593      0.748679      2.043913      0.000000    202.228209     47.837883    270.088213     57.507174   1156.325377   2197.613082    586.774751     24.643555    303.129313   2173.856498   3015.101781   3336.747309    630.559254      6.473109     77.997369    913.940444    158.585375      3.325424      0.183711     72.104806      0.000000    365.740941    915.254055      1.736284   1027.311160     15.109704      0.716055  69525.296837  15165.024167    538.484423    768.281180      2.138044      1.317186      3.727574      0.000000      0.103158      1.211553      1.572624      0.564091      0.000000      0.146142   3825.734643     94.433346      1.372704     16.497657 154714.022224      4.914909    102.786346     99.783231      0.814350  13869.081323      0.109961     56.767707     97.762593      1.152319    674.426859   1171.324524     30.206181    120.537712      2.304084     10.235947      7.033688   3421.798267      2.574235      0.353233      1.086153  40659.925951     33.603917      3.522750      0.675903      0.040624      0.087666    665.858073    109.577752      2.741212   1479.501833    104.469997      9.261631     10.575703   1488.801136     39.446421      1.324696    193.928753     31.100128    797.048183      0.006423      0.000000      0.000963      3.491534     86.320044    427.529522    332.867305     68.226997   1260.982948      8.899865      0.276723     46.036140     41.057498   1400.832784   5689.173690   1913.839375     32.209665      0.238548     24.051866     94.819514      1.078189     44.364094      0.260073      0.780528    230.022170      1.151375    164.170435    547.175721    712.759753    625.004647  15914.633474     10.743539     74.188062      0.272448    131.951706      0.222115      1.302745    262.495342  19429.441298      3.138414      1.906616    357.807327    624.248557     32.940062    249.597746      0.264203      5.836578     87.726551      0.000000      0.000000     36.871464   2905.717944  10435.238789     85.907150      0.253991      1.917079     10.317976      0.000000      0.000000    834.559268      9.783122     58.534047      1.738836     26.040796     17.713233     26.713902     71.612388    104.999918     27.189188      0.263727      0.195154   2456.366206    307.902744     40.364233    283.947641    447.317978    150.754250     35.200054     40.149683    108.238963     30.081346      3.522416      8.099161    205.225917    229.557488     15.551931     54.983986      0.343380      0.437353     23.704253  22218.056729
212427.503342   4358.104895     41.582737   1025.984780    303.735090     48.597070     90.448889   1079.530494      9.828445      0.467017    871.502322     85.486562     81.985613   1577.272094     11.637574    152.466160 108814.196603    687.704763 116422.007788     40.783179  75033.853673      0.000000    201.050835      0.031980     32.833588     40.353051      0.421733      2.112004      2.363261    118.786598   1049.932663    334.411111      4.045274     87.318865     24.931840     20.978435     20.808882     57.431770     34.516258 398173.389054     43.429640      1.796782      0.356255      0.972903      0.183778    222.600823     47.837904    278.499762     61.375433   1234.093219   2421.491541    587.547328     29.752003    318.958582   2170.328801   3217.885580   4665.523020   1046.291235      7.056124     77.990712    987.413378    254.633469      1.638584      0.084664     82.176493      0.227052    408.995097    975.333911      1.879108   1094.747589     17.730944      0.764200  63290.662386  15101.044187    567.816965    835.217242      1.068985      3.466649     26.101764      0.074478      0.000000      0.363424      0.628992      0.093994      0.081834      0.000000   3815.876684     68.942674      0.941308      5.248509 139410.507719      3.510574     98.490781     97.965907      0.581315  10446.410400      0.017877     61.348763    104.062594      0.822813    674.426829   1099.170653    206.553106    119.299747      2.596290     12.382737      0.000000   3394.788074      2.191900      0.135901     45.490496  39112.849667     35.975154      4.434311      0.833755     15.775507     33.952756    665.859352    749.294798      3.305103   1651.842951    156.799073      9.847341     11.352069   1488.891228     41.755138      0.946115    266.410532     33.303666    788.462311      0.017919      0.000000      0.001794      3.744228     85.519472    419.712092    423.615335     68.065141     55.809641      1.989454      1.660322     49.976254     42.524036   1385.695638   5648.161500   1903.470502     34.918154      0.276381     28.286015     94.816485      0.646485     44.363821      7.637537      0.515677    226.473229      0.820785    162.871065    584.280186    712.467958   5560.310483  15943.720070     11.639164     79.478556      0.270480    186.417374      0.178999      0.640396    132.936592  19267.617688      2.162529      5.021955    405.289282    624.224465     28.186681    247.642610      0.172309      5.487836     83.510817      0.188223      0.000000     36.833942   1750.779074   9962.338669     91.977228      0.632747      2.046764     11.019671      0.065145      0.187887    890.715167      9.783634     62.970433      1.751840     27.268025     23.319479     28.798196     71.398267    122.326847     27.186272      0.086723      0.051253   2350.049226    329.841988     45.704579    283.941157    584.151876    172.964415     23.195238     17.560123     51.409981     11.805040     37.623154      2.650558    218.972430    256.292997      4.690825     75.462025      0.237077      0.437351     36.507556  21126.773009
186083.306545   4346.812558     47.100699   1025.941895    318.313931     55.537406    121.742846   1079.484391      6.967387      0.466981    871.495253     85.486000     69.464036   1815.941128     13.358387    158.180145  90909.666900    779.816791 105523.288939      9.251338  74526.477517      0.000000     16.800492      0.031676     21.634800     11.271789      0.000000      3.562829      3.990683    118.786558   1090.018533    621.108788      4.045174     49.825228     36.394488     24.760370     24.979718     67.789973     42.337722 355352.149476     39.896756      1.796977      0.356289      0.972955      0.367517    234.240311     89.937386    287.510565     69.596582   1399.353709   2421.491530    647.746355     29.751907    318.958153   2166.038279   3648.798898   5290.282171    982.707059      8.970581     77.990131    987.413572    254.633789      1.638557      0.000000     82.174922      0.226931    408.992580   1169.993020      2.345329   1313.258300     22.121390      0.948888  60574.147425  15048.105895    524.326550    835.217106      1.068990      5.852266     36.143702      0.609072      0.000000      0.363430      0.628999      0.000000      0.275840      0.846068   3806.807304     56.559859      0.940675      5.236090 156113.360672      2.340389     98.492404     97.978957      0.387575   4790.982770      0.017715     66.106792    110.655204      0.548566    697.014519   1099.169352    268.538938    103.640261      3.750322     21.400826      8.903254   3380.387308      1.865261      0.135549     45.489903  38127.346448     39.876392      6.778164      2.821746     15.691161     33.743316    683.591206    974.155551      6.974332   1651.843292    217.139602     11.007141     12.859654   1488.839220     43.444079      0.946127    266.410491     33.303629    780.932385      0.028813      0.000000      0.002883      4.208080     84.778358    423.505540    459.510704     68.085765     54.902410      1.989339     35.028346     54.055515     45.656147   1378.649476   5627.466761   1896.693940     39.393063      0.319174     35.318745    108.347258      0.646543     56.939686      9.496997      0.516301    188.516978      0.547334    160.918043    599.408387    712.272911   8814.487401  16021.355958     11.638549     79.478402      0.318775    203.719412      0.177721      0.000000    168.979837  19197.715247      0.000000      8.472275    405.289336    624.244400     27.394503    216.090527      0.017090      4.726945     73.171639      0.481423      0.000000     36.838711   1517.117123   9856.583978     98.253927      1.516527      2.179368     11.755500      0.499841      1.548359   1010.027391      8.975819     69.948688      1.546906     27.907902     36.901752     31.002441     71.295319    112.198075     31.064721      0.000000      0.000000   2152.941241    329.842234     45.707884    296.458703    589.438363    172.964824     12.904342      9.798646     40.946790      4.774639     61.695851      2.650544    233.158407    256.293261      4.690475     75.459787      0.166211      0.437348     46.251992  18514.832654
175232.739315   4351.027303     41.582450   1025.901920    332.445460     55.536904    124.733531   1079.477938      6.967380      0.466972    871.493774     85.485884     69.464014   1788.493443     13.347400    158.173987  94904.910807    779.802594 113722.953069      0.000000  66519.234127      0.000000     16.790527      0.031595     21.634280     11.271670      0.000000      2.111972      2.363255    118.786523   1090.016830    621.108412      4.045110     52.976638     36.394464     24.760296     24.979682     67.789112     42.324685 374356.960865     39.865220      1.796413      0.356192      0.972809      0.367506    234.239510     89.937292    287.508855     69.596119   1399.353130   2397.007955    586.774305     29.751848    318.957997   2168.279795   3648.795253   5287.534541   1022.458816      8.969955     70.648746   1029.423306    254.632715      0.000000      0.000000     82.174482      0.226904    408.990127   1169.992302      2.344138   1313.255468     22.116922      0.947744  63059.822929  15087.143368    527.889441    835.217114      1.068976      3.466625     26.101710      0.074477      0.000000      0.363414      0.628978      0.093989      0.081830      0.655111   3812.362633     66.998210      0.940544      5.233647 146874.039311      2.340370     98.487665     97.941113      0.387484   6457.364128      0.017724     66.104723    110.607476      0.548498    697.014517   1099.168634    268.538860    103.641278      3.747765     21.400724      8.903253   3385.087957      2.020408      0.135466     51.475896  37787.428739     39.858756      6.777198      2.822150     15.695209     33.738088    683.586773    974.155314      6.974291   1651.839550    217.139450     10.992066     12.843864   1488.874842     43.367181      0.946091    266.410460     33.303590    787.371394      0.017903      0.000000      0.001793      4.205895     84.777738    423.504896    475.651507     68.024910     54.904060      1.989315     35.028324     54.045854     45.573542   1380.443798   5637.184762   1900.086906     39.384077      0.318609     35.316349    108.345900      0.646382     44.363575     10.789316      0.514547    201.842398      0.546927    161.094374    599.352277    712.196227   9211.889123  16033.488271     11.635814     79.478015      0.268861    203.719433      0.174762      0.000000    126.080088  18961.074294      0.000000      5.021878    405.288505    624.203157     27.394507    216.090470      0.017104      4.727102     73.171674      0.481436      0.000000     36.824604   1419.615866   9810.668713     98.251192      1.516374      2.177754     11.752075      0.065134      0.187887   1010.007783      8.975015     69.945634      1.522023     27.876909     36.900743     30.997595     71.265862    116.066373     31.063453      0.000000      0.000000   2146.602648    329.841276     45.696610    283.938715    610.443079    172.963357     12.904036      9.797862     45.848609      5.441266     60.267803      2.650543    233.141712    256.291424      4.690405     75.458850      0.166205      0.437346     41.994973  18536.266562
183543.444269   4361.211222     41.582735   1025.940160    318.304662     48.596463    124.736656   1079.522181      6.967397      0.466994    871.498241     85.486225     81.985596   1680.813778     13.356131    152.460323 100840.477894    732.850529 114499.977612     40.783151  67272.912969      0.000000     16.803985      0.031776     32.831421     19.547455      0.000000      2.112035      2.363267    118.786573   1049.931527    543.152945      4.858747     22.563852     30.142169     24.760424     24.979782     67.790024     37.110367 353346.798786     43.450029      1.797118      0.356314      0.972991      0.367531    234.241406     89.937360    278.498367     65.405574   1315.104027   2256.510904    586.774476     29.751956    318.958339   2172.185677   3429.116273   4785.725184   1300.873717      7.670112     70.652218   1002.372088    254.634074      1.638566      0.084626     82.175546      0.226977    408.992543   1102.703464      2.184691   1237.726405     19.155919      0.826277  57698.170775  15118.159579    573.887663    835.217259      1.068993      3.466671     17.393311      0.074479      0.000000      0.363434      0.629005      0.093999      0.081837      0.000000   3820.752639     68.054722      0.940912      5.240683 153758.466274      3.510591     98.493598     97.988465      0.581397   7736.927456      0.000000     63.705993    107.394413      0.822874    688.033389   1099.169702    236.198568    117.145542      2.976255     14.959724      0.000000   3401.473322      2.035302      0.135671     45.490053  39286.039596     37.290743      5.009906      1.448253     15.815430     34.042417    683.590133    856.837249      4.858752   1651.844516    190.731841     10.280263     11.908193   1488.882456     42.774178      0.946136    266.410515     33.303654    789.140414      0.017934      0.000000      0.001794      3.911321     85.519902    423.506766    465.247981     68.101161     55.813971      1.989382      1.660285     51.994841     43.725689   1389.036913   5660.164088   1906.391634     36.425094      0.298740     30.552938    108.347755      0.646582     44.363779      9.497512      0.516737    226.787272      0.821152    161.269949    591.905091    712.421075   8930.319082  16016.171563     11.639699     79.478584      0.270264    211.591182      0.176611      0.000000    245.057465  17614.544269      0.000000      5.022028    405.289614    624.205148     28.186721    244.114507      0.051893      4.939998     79.682125      0.306543      0.000000     36.842284   1691.946069   9866.937430     95.091257      0.886233      2.113328     11.391725      0.065155      0.187888    949.192465      9.782612     65.259107      1.729389     27.673010     29.739203     29.911585     71.398770    131.744919     31.065098      0.000000      0.000000   2257.835313    329.842500     45.710890    283.942121    592.692049    172.965222     23.193956     17.556743     64.567764      4.539932     65.606704      2.650561    226.014923    256.293834      4.690606     75.460783      0.166221      0.437350     41.753924  20022.787019
199256.141264   4401.477847     36.389927   1025.824213    318.321829     48.597935    104.475209   1079.466892     36.946770      0.954131   1053.000168     86.624613     69.464405   1477.879690     11.646988    152.475465  96276.654326    687.711117 117079.402891     42.719415  76032.021544      0.000000    355.546177      0.133618    108.819568    110.243971      0.601178      1.526683      1.137491     98.258165    977.688675     79.430631      3.348170    254.317508     20.763656     17.616807     17.233952     48.224876     32.446552 384331.342516     43.555682      1.798866      0.534922      1.460164      0.000000    202.229756     47.837944    270.089835     57.508161   1156.327312   2193.561767    586.774928     24.643680    303.129743   2187.772932   3015.105591   4371.519834    630.561699      6.476433     70.661298    987.416793    203.541865      3.325588      0.184047     63.712040      0.000000    387.016584    975.335433      1.883305   1094.762205     16.453455      0.722115  64828.505564  15288.552470    532.558908    770.264254      1.069036      1.317200      8.029058      0.000000      0.000000      0.726964      1.048453      0.282070      0.000000      0.000000   3854.169111    111.558914      4.175320     17.870485 156537.830630      3.510679     98.508331     98.105987      0.581820   8163.432654      0.055778     59.044371    101.217651      0.823190    674.426917   1099.172546     30.206359    120.571838      2.333619     10.236377      7.033702   3451.220497      2.420194      0.355318      2.172681  37353.774826     34.975218      4.086219      0.680668      0.040960      0.088445    665.862587    109.578449      2.741723   1511.908261    156.799496      9.776564     11.218354   1488.854719     41.835894      0.946249    193.928814     31.100193    801.268140      0.006432      0.000000      0.001349      3.674766     85.522150    431.776860    350.455658     68.290543     56.783619      8.900243      0.276733     48.032937     42.691043   1415.612617   5740.898304   1929.960144     33.727582      0.261959     26.161944     94.821090      1.078465     38.296840      0.521388      0.783243    231.682165      0.823041    162.568999    577.297085    713.017227   1374.441737  15978.908097     10.746999     74.188588      0.274104    131.647357      0.180151      0.905409    281.870987  18084.915604      3.051107      1.906660    405.292445    624.210326     32.940734    249.604164      0.267820      5.844172     87.728950      0.000000      0.000000     36.886208   2191.866362  10046.668014     88.932567      0.424238      1.991497     10.698918      0.000000      0.000000    890.728474      9.784194     60.757538      1.761776     27.380317     20.454961     27.819446     71.753101    108.280041     27.190475      0.158732      0.110087   2342.598092    307.903660     45.746550    283.950833    564.856725    162.081420    108.902185     81.847963    106.539755     29.191945      3.522420      9.465421    212.122556    256.299934     16.704667     54.986442      0.343539      0.437359     41.998628  22939.760473
193741.767971   4181.982857     52.228403   1096.673245    485.604941     86.378171    170.899185   1146.006252    112.363180      3.540755    587.060030     60.737913    122.940139    742.372312      2.912678    174.981510 107019.887097    345.847530 126555.641865     61.511402  72697.774365      0.000000      4.225647      0.167855     68.672001    195.885978      3.188013      3.319417      2.092996    198.607683    878.421046     93.492801      6.285007    254.731464     31.483962     20.317640     23.448099     70.547953     74.565842 441142.982859     53.091582     32.127761      9.585185     25.478716      0.000000     52.528132     33.262967    317.598316     27.990523    562.480231   2739.044635    732.664500     39.974159    506.140102   2030.802515   1514.382498   2195.570276   1579.546819     25.137950     81.767679   1412.662842    298.085188     12.447279      0.629798    147.516504      4.199422    438.009699    430.728359      5.573132    483.576580     49.966805      1.271288  71220.208651  14739.421001    734.713665    807.308476      1.069118      1.774914     11.956051      0.000000      0.034516      0.727149      0.629200      0.282212      0.000000      0.000000   3682.760878     43.211344      0.700582      9.477893 183103.339201     66.128776     84.226933     86.277306     10.535421  10392.653091      0.283865     77.409200     97.537394     15.200623    446.254172   1601.105932     31.452941     94.746079      5.206257     12.897989    335.183503   3293.550874      2.761672      0.945445     24.958418  42178.852978     34.401901      2.618571      6.306936      0.129119      0.485564    754.494367    101.082361      0.000000   2091.252385    240.842400      6.916492      8.103455   1591.388157     26.068472     17.723731    270.155681     47.043354    724.704543      0.327150      0.000000      0.027017      2.969066     58.911812    278.110750    639.932891     61.017160   1235.911728     40.415858      0.000000     64.046324     25.599350   1377.364481   5544.938401   1855.250233     40.057398      0.345006     84.922262    136.373903      0.648028     57.574425     10.865635      0.532554    214.749134     13.626422    101.142157    360.298978    762.388455    668.497336  13848.212901     18.253746    110.659148      2.171878     92.581305      0.185813      4.861202    152.085258  20298.881943     15.626362      3.454732    505.341012    834.860517     26.411021    194.373297      0.652642      5.313986     79.840800      7.940809      0.000000     31.725728   2982.656692  10044.184082     97.053264      0.000000      1.779090     10.479232      0.000000      0.000000    448.054519      5.546117     68.824144      1.613057     16.643694    163.442912     31.548686     50.223218    324.083300     39.696131      0.560166      0.286970   3245.312325    458.540492     78.063418    379.319160    725.438145    254.325787     67.580780     50.782882     81.637901     31.693456     11.954804     40.919498    218.869550    325.071064      9.007881     77.901432      1.256064      4.932537     56.566665  24765.428098
206597.011986   4228.574213     79.664103   1096.771649    437.080873     69.085915    151.277997   1145.983992    168.688524     11.322459    680.864522     68.786904     96.506018    675.631089      1.838629    163.808327 133373.171606    323.844829 124417.578628     85.975050  75217.474412      2.184380   1949.693372      1.006261     84.619124    243.754496      5.151666      5.063181      2.296643    124.099345    381.443848     65.184869      4.541480    423.147234      0.000000     16.535544      5.096739     55.585071     71.211175 442608.395543     35.380270      7.517124      0.000000      0.000000      0.038007     31.408437     19.957859    309.189255     26.298403    528.604741   3731.322023   1071.898926     32.935874    432.120183   2056.252502   1421.288144   2060.628032    974.633519     24.244142    111.797103   2254.981377    532.357026     19.928026      1.080549    116.794621      0.000000    415.324409    392.029669      5.243939    440.075217     48.062970      1.185917  69047.294237  14902.376138    681.200061    600.362636      1.260223      2.085337      2.239404      0.329437      1.578781      0.000000      0.000000      0.558648      0.251305      1.083344   3715.891602     56.380049      1.769370     13.285014 162493.295159     13.343620     48.843549     56.328902      0.000000  12522.781923      0.695332     75.544117     92.701663      0.000000    518.564561   1430.825848     22.225672     97.600336      4.776122      0.000000    420.380891   3333.961184      3.225480      3.670274     15.149420  39595.896600     32.566934      1.985314      6.173900      0.121108      0.468233    299.277443     80.626369     41.863918   3147.265512    512.407011      6.395476      7.408823   1591.360290     24.866849      4.155366    232.989307     71.578815    738.085730      0.184297      0.000000      0.021594      2.754308     12.637223    329.616124    457.290576     44.195495   1256.301512    188.144036      1.965250     62.477777     24.195183   1396.765165   5610.731132   1875.775260     37.965620      0.314351     81.879937    217.020447      0.000000    107.612738      3.199566      0.000000    220.797562      0.000000    101.581591    349.323147    762.792922    668.850008   8063.070464     26.600041    172.495183      1.541408     16.890191      0.239574      7.798538    203.803376  19966.093646     26.269816      5.310582    817.984224   1189.384458     32.726390    198.894639      1.016165      6.770112     81.385671      8.624229      2.077504     20.945894   2848.468866   9497.179451     92.434293      1.306671      1.679684      9.935794      1.766558      0.270120    419.524507      5.848177     65.519866      1.869724     16.209212    160.133778     29.959725     49.005227    247.124478     65.506683      1.315162      0.789345   3245.213570    779.564006    118.343332    596.708621   1103.520431    409.053725     83.770027     63.279702      7.737628     50.025410      0.000000     67.977183    208.473891    522.287128     12.101214     66.051434      4.054809      8.195363     81.356490  26709.821314
233195.874456   4286.149653     79.564116   1096.861693    639.737833     92.424453    247.821917   1146.001359     63.057083      4.215747    411.759506     45.215850     85.375958    655.729246      1.571562    163.821473 138552.348379    303.882181 122532.991873     85.975412  86072.375398    138.882880   2868.940269      0.191750     42.678594    127.287369      1.264923      5.571205      3.193030     30.476445    115.077967     58.444924      3.484702    466.277853      9.749712     12.693407      0.000000     45.225239     69.753087 481452.644139     36.758517      7.517278      0.000000      0.000000      0.000000     78.054121      9.978965    301.380050     25.521470    513.041558   3787.790829   1076.456570     49.740942    637.608616   2077.621496   1378.323067   1998.347569    941.066302     23.837712    111.127292   2274.022038    540.630681     14.822803      0.748558     65.433306      1.002341    393.347192    380.488439      5.146997    427.105329     47.211314      1.110445  73072.815759  15113.653595    692.414058    538.246605      1.069193      3.262113     30.089192      0.136798      0.207694      0.121219      0.000000      0.282340      0.040982      0.877004   3760.207889     62.985300      0.000000      6.568939 177896.399191      5.092243     50.020967     56.461308      0.000000  13728.327840      0.898268     73.724421     90.498131      0.000000    630.721693   1430.828947     20.175179    100.832561      4.442291      3.994518    440.163083   3392.142328   2271.812281      1.116373     39.066952  42166.492090     31.764086      1.479164      0.000000      0.000000      0.000000    114.823666     73.187848     64.644166   3362.206635    512.216887      6.236131      7.183305   1591.378287     24.608778      4.155376    334.981906     71.541995    764.909796      0.029386      0.000000      0.005897      2.675826     12.638135    186.989994    524.358444     44.397179   1285.593486     81.307693      0.000000     60.951959     23.914031   1425.902924   5705.980995   1903.950820     37.039104      0.301972     80.500438    216.494461      0.000000    107.359261      8.248200      0.000000    227.668815      0.000000    102.781640    344.099707    763.345784    669.298185   2724.153214     25.349288    172.265058      0.659593      7.457468      0.300421      1.929526    102.888710  19542.409027      9.110372      4.773614    817.740139   1189.282890     33.326563    203.917344      1.256952      7.373686     83.151246      9.086001    132.188845     21.566379   2804.980235   9417.223871     90.208513      3.920685      1.635089      9.686733      0.173906      0.325825    393.639372      5.851068     63.938877      1.916301     16.154523    157.601081     29.227002     48.538534    316.310270     65.195425      0.830743      0.330741   3245.295521    779.252201    113.167372    595.756856   1150.062458    408.631316     40.569111     30.514412      9.829601     59.103287      9.861798     74.910476    203.472447    521.852916      6.098876     94.912199      1.495038      9.032708    114.861333  28675.844339
