Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 322.908452  233.662281   -6.592856  -71.549863  -73.738131  -15.235746  -29.587159  -67.517958  112.890076    5.478581  103.101529    8.316616  -36.776092 -100.325942   -0.697407  -22.574067    0.000000  -44.725506  280.238100   79.005028    4.000375   91.634164   -0.891538    0.178816   18.012569   55.320035    3.661841   -0.536989   -0.566168  -92.136310  -93.719624  -34.276346   -2.699873  183.962209   -0.000000   -9.843201  -11.547358  -28.061768  -58.097890   -0.941002    3.734829    6.970287    0.236348    0.663338    0.454448  -13.649571  -12.440190  -48.433934   -3.899454  -77.596527 -272.481767  -70.661159   -5.347872  -70.346958  158.526185 -207.109832 -300.305816  -93.471001  -21.175956   -8.778987 -165.419440  -45.760632   19.285729    0.715139  -10.585532    0.793342  -28.796133  -58.229749   -4.446737  -65.330372  -41.378007   -0.823920   -0.952337  560.522903  -60.968576  -83.572230    1.421632   -0.776689   -4.267583    0.025232    0.083466    0.599104    0.624336    0.367032    0.001637    0.290336  180.087545   69.775172    3.688299    2.590123   89.111785    1.635426    7.087876    6.020845    0.259942  -32.929726    0.000000  -39.003454  -38.988436    0.375487  209.348178 -107.778494  -12.522503   28.203493   -4.068566   -0.000000  186.583533  172.913991    0.087088    1.370923   -6.486173   -0.153269  -14.687259   -0.713232   -6.137807   -0.118035   -0.462303 -116.711947  -45.426690    2.434767 -202.535821  -52.356585   -1.403070   -1.465691 -104.203080   -1.786821    3.295291  -35.515346   -6.116789   84.413531    0.000000    0.000000    0.000000   -0.831104    9.388414   50.219641  -62.577884    3.052012   51.498748   41.556937    4.774852  -33.567884   -0.112637   47.822064  215.426355   79.231482  -21.109637   -0.179983  -71.405109  -16.308277    0.612664  -11.469931   -1.337230    0.148038   18.944107    0.334298   61.871522  -45.649913  -48.679617  -42.653851  -32.211167   -1.832527  -13.991734    0.000000  -13.277605    0.000000    5.600127   43.546599   60.081503   18.944530   -1.109555  -56.784815  -69.966114    9.844455   59.553612    0.000000    1.668622   25.219461    3.766202   87.220872    2.079371   41.239781  140.438146  -45.505164    1.300048   -0.598155   -4.197399    0.019916    0.064427  -57.908422    4.484949  -35.177145    0.000000   -1.240702 -155.949711  -15.811939   -4.105025  -30.608580   -4.649936    0.566284    0.248303 -212.545096  -58.113857   -8.525504  -42.774052  -66.183267  -29.622029   18.459509   13.813431   13.256272   21.407075   -6.304462   28.226415  -97.324316  -31.388687    2.575336  -10.013341    1.938876    2.678029  -10.037541    0.000000
 330.939472  232.171853   -6.592856  -70.325917  -76.072086  -16.224777  -30.813394  -66.366511   72.945658    4.075468  102.963061    8.305551  -40.948223  -98.475065   -0.750152  -22.167092    0.000000  -44.428565  276.510897   72.016337    4.023941   92.080198   -0.961616    0.133020   17.211450   52.619424    2.401133   -0.536989   -0.566168 -100.346602 -109.157325  -36.970593   -2.930198  133.273706  -20.198039  -10.263060  -13.362961  -30.357763  -38.700720   -0.627923    3.159429    0.678882    0.202584    0.568576    0.258188  -14.328578  -13.303290  -47.485102   -3.827515  -77.063124 -268.418724  -70.661159   -5.347872  -70.346958  158.015773 -203.332954 -294.829407 -119.955615  -14.097707   -8.778987 -165.419440  -45.956816   14.346485    0.468929  -25.741670    0.658305  -28.279252  -57.155489   -2.962103  -64.125115  -27.547045   -0.548518   -0.632148  556.725373  -67.576481 -102.623589    1.066224   -0.825662   -5.521218    0.000000    0.055644    0.479283    0.520280    0.275274   -0.000000    0.145168  179.100287   67.114157    3.688299    2.474926   86.756512    1.401794    7.044939    5.952064    0.222808  -21.740491    0.000000  -26.320227  -26.381413    0.321846  184.404445 -106.516778  -13.547085   28.147550   -2.694227   -8.268686  137.406278  172.057234    0.086617    1.019817   -6.844480   -0.101798   -9.905814   -0.472589   -4.052233   -0.077928   -0.305216 -119.202919  -47.285080    0.000000 -202.535821  -56.590964   -0.943174   -0.984747 -102.420561   -1.218636    0.375584  -37.894121   -6.116789   84.098044    0.000000    0.000000    0.000000   -0.559324    9.388414   49.997416  -66.370706    3.036204   51.117936   39.424090    2.062510  -22.602581   -0.076540   47.424469  213.915582   78.738623  -14.206561   -0.120031  -47.537326  -16.308277    0.408442  -11.469931   -1.411101    0.105741   18.894613    0.286541   62.330251  -31.909193  -34.817973  -30.508059  -33.616689   -1.832527  -13.991734    0.000000  -20.533944    0.000000    3.672101   41.609840   59.961377   12.422258   -1.179517  -56.784815  -69.966114    9.687232   59.435485    0.000000    1.642392   25.169037    2.773555   87.863253    2.067887   39.685209  139.261593  -30.757754   10.401767   -0.404304   -2.837097    0.000000    0.000000  -57.523957    4.503559  -23.725208    0.000000   -0.863695 -103.392275  -10.646802   -2.898467  -32.393340   -4.649936    0.371322    0.162817 -208.909256  -58.113857   -8.525504  -42.774052  -66.183267  -29.622029   17.600299   13.170475   13.268563   12.580551   -7.295720    7.281989  -65.854216  -31.388687    2.460797  -10.684023    1.938876    0.286962  -10.143589    0.000000
 312.666199  231.993396   -6.153961  -70.325917  -70.593858  -15.338591  -32.037088  -66.366511   62.357327    4.162978  110.210907    8.884748  -40.948223 -101.982871   -0.776525  -22.424193    0.000000  -44.937954  327.413024   41.746962    4.023941    0.000000   -0.996655    0.135876   18.103673   55.627151    1.928593   -0.622715   -0.711674 -100.346602 -116.876176  -38.317716   -3.045360   26.476314  -23.373799  -11.102776  -14.553738  -31.505760   -5.719245   -0.092634    3.250309    2.770342    0.792929    2.225449    0.586843  -32.817234  -20.272889  -48.084515   -3.963856  -79.741468 -260.305376  -69.633483   -4.790435  -62.739510  157.898402 -208.104944 -301.748713 -119.955615   -2.037762   -8.309882 -158.391835  -51.251702    9.310781    0.464121  -22.573383    2.110133  -28.987805  -59.191440   -0.432578  -66.409333   -4.029928   -0.080244   -0.086609  554.657854  -66.502956 -102.956267    7.635749   -1.037859   -8.021410   -0.451338   -0.794365    2.574285    2.339641    1.879612   -0.093124   -4.348389  178.772338   51.894117    3.650480    2.603223   92.741576    5.720360    7.309093    6.238542    0.909221   -2.676233    0.000000   -4.798759   -5.033115    1.259731  213.112443 -104.872798  -14.571668   28.035665   -0.352623   -9.995118   14.723667  171.202216    0.085311    1.041715   -7.920493   -0.014281   -1.809082   -0.062581   -0.498826   -0.032200   -0.126115 -120.809009  -51.001862   -2.635009 -199.326474  -57.268213   -0.164403   -0.165810 -102.420561   -0.260445    1.532660  -35.890643   -5.820789   84.015045    0.000000    0.000000    0.000000   -0.096546   10.070064   53.616199  -58.641365    3.183691   50.555690   16.834095    3.494287   -3.996164   -0.015667   46.927955  212.602065   78.388751   -2.452214   -0.017529   -6.954357  -16.009771    2.295901  -11.511391   -0.846198    0.496655   18.780953    1.121545   61.897142   -9.119226  -11.138156   -9.759428  -31.528026   -1.754675  -13.332896    0.000000  -25.453549    0.000000    2.949437   43.766849   59.961377    9.977576   -1.482655  -55.796531  -66.259056    9.215564   59.199232    0.000000    1.589931   24.200041    0.141951   87.645424    2.175031   25.118157  133.205105   -5.785000   -2.334996   -0.076043   -0.533609   -0.356247   -1.152462  -66.396902    4.503559   -4.332894    0.000000   -0.237089  -13.532071   -1.900339   -0.914097  -30.322498   -4.564824    0.298246    0.130775 -208.890005  -55.377412   -8.282809  -44.202950  -68.186948  -29.008711   18.557220   13.886548    9.917081    6.260118   -9.143602   -2.576563  -12.563840  -30.891308    2.588362   -9.481145    1.473283    0.286962  -10.645284    0.000000
 287.380461  234.835453   -6.354413  -68.304670  -67.851126  -14.539938  -27.987278  -64.464990   45.844660    3.060592  112.370329    9.068380  -27.653655 -131.268233   -1.458607  -21.070426    0.000000  -58.990275  319.480783   43.668354    4.094524    4.338346   -0.696736    0.099895   18.575836   54.188959    2.302047   -0.755863   -0.876851  -65.208398 -112.034517  -28.134068   -1.944461   66.533408  -15.501111   -7.928836  -10.052868  -22.827415   -1.687256   -0.028421    3.309806    3.391703    0.978348    2.745850   -0.350696  -42.282778  -16.205907  -44.928303   -5.102115 -102.725905 -258.506644  -69.152310   -4.608069  -60.250722  160.927811 -267.864281 -388.398758  -86.421281   -0.541815   -8.252460 -163.222963  -49.953345    9.019039    0.449578  -19.552989    3.356817  -27.425666  -80.994696   -0.123975  -90.871310   -1.106835   -0.022039   -0.018939  555.951141  -54.551317  -92.963359    9.587515   -1.278741  -10.513091   -0.648318   -0.680600    3.232295    2.911077    2.291754   -0.147735   -4.396282  180.390003   96.751030    4.224131    2.786315   96.053459    7.003379    7.422005    6.328977    1.076016   -0.311453    0.000000   -2.206492   -2.631882    1.554307  221.144836  -91.497346  -10.698975   28.880321   -0.057382   -7.198531    7.032496  172.977883    0.087841    0.765862  -13.966421   -0.003403   -0.881734   -0.011722   -0.058052   -0.023305   -0.091276 -115.564314  -38.811654   -2.158116 -195.866552  -61.382244   -0.073607   -0.068849  -99.476878   -0.160132    1.876421  -32.438138   -5.689631   85.915923    0.000000    0.000000    0.000000   -0.042702   10.293561   54.909430  -53.496670    3.225260   11.290679   13.847574   -1.591630   -1.755016   -0.008917   46.732473  212.864967   78.764255   -1.084605   -0.004814   -1.910040  -15.687958    2.856654  -11.148221   -2.879404    0.612793   19.172117    1.383808   68.625596   -7.219199   -8.074547   -7.571896  -30.572099   -1.717443  -13.040964    0.000000  -21.496784    0.000000    3.520567   46.845094   61.895254   11.909640   -1.826772  -54.731085  -65.214236    9.551055   60.982782    0.000000    1.593442   24.250961   -0.000000    4.129402    2.205229   21.748137  131.857603   -2.924780   -0.108199   -0.038446   -0.269782   -0.511726   -1.655438  -76.377754    4.562859   -2.111823    0.000000   -0.182334   -2.385579   -0.898575   -0.705277  -21.780421   -4.473066    0.355999    0.156098 -176.362588  -54.164890   -8.084644  -43.358886  -67.003354  -28.373548   19.063621   14.265493    8.994273    8.948349   -5.654696    0.000000   -6.569797  -30.355094    2.770409   -9.145741    1.083147    0.424025  -11.364140    0.000000
 291.728207  234.975712   -6.053348  -68.567862  -67.378796  -14.491109  -29.827814  -64.712593   46.916823    3.132170  112.856829    9.096192  -27.653655 -136.057763   -1.458607  -21.213226    0.000000  -59.273201  293.724616   43.418165    4.085333    3.773438   -0.696736    0.102231   18.657148   53.997154    2.366360   -0.685994   -0.691027  -66.449062 -112.034517  -28.134068   -1.944461   63.865982  -15.501111   -7.928836  -10.052868  -22.827415   -1.687256   -0.028421    3.298702    3.275734    0.943742    2.648723   -0.322516  -42.745214  -16.735480  -45.261231   -5.127357 -103.234134 -256.936732  -68.732347   -4.576663  -59.822123  161.002389 -269.189519 -390.320331  -86.993028   -0.541815   -8.202342 -161.339331  -50.195667    9.271007    0.462138  -19.320612    3.458143  -27.536814  -81.371635   -0.123975  -91.294213   -1.106835   -0.022039   -0.020053  556.875379  -55.375656  -92.963359    9.223243   -1.007748   -9.153821   -0.394988   -0.709116    3.109486    2.804425    2.289466   -0.085811   -4.545070  180.574814  100.924001    4.322920    2.798008   96.402547    6.530288    7.400932    6.312099    1.037955   -0.311453    0.000000   -2.206492   -2.631882    1.499328  221.144836  -94.835772  -10.698975   28.880321   -0.057382   -7.198531    7.032496  173.133771    0.087841    0.783773  -13.800437   -0.003403   -0.881734   -0.011722   -0.058052   -0.023305   -0.091276 -116.456374  -38.811654   -2.158116 -196.512302  -63.721320   -0.073607   -0.068849  -99.860183   -0.160132    1.812262  -32.233273   -5.714110   85.933469    0.000000    0.000000    0.000000   -0.042702   10.251848   55.093870  -53.706354    3.217502   11.290679   14.064054   -1.463738   -1.755016   -0.008917   46.792121  213.187064   78.876646   -1.084605   -0.004814   -1.910040  -15.748021    2.751997  -11.216002   -2.845184    0.591118   19.178567    1.334860   68.684368   -7.219199   -8.074547   -8.473727  -30.593439   -1.724392  -13.095450    0.000000  -21.480792    0.000000    3.618923   47.041671   61.895254   12.242364   -1.439639  -54.929937  -65.409239    9.551055   60.982782    0.000000    1.593442   24.250961   -0.000000    3.591701    2.199593   20.433832  131.247722   -2.924780   -0.108199   -0.038446   -0.269782   -0.311769   -1.008575  -76.744073    4.549427   -2.111823    0.000000   -0.182334   -2.385579   -0.898575   -0.705277  -21.947333   -4.490192    0.365945    0.160459 -176.923720  -54.391192   -8.121629  -43.516420  -68.583377  -28.492093   19.150829   14.330752    9.447700    9.043947   -5.865175   -0.000000   -6.569797  -30.455172    2.782034   -9.087980    1.108478    0.424025  -11.103464    0.000000
 298.161523  235.314616   -6.132913  -70.139967  -69.234478  -14.942755  -30.706113  -66.191575   61.571865    2.850957  111.489489    8.986924  -27.653655 -135.796916   -0.550785  -22.323303    0.000000  -59.159564  309.481700   41.923726    4.030435    0.399118   -0.696736    0.093053   18.337691   56.416038    2.113688   -0.618936   -0.707355  -65.208398 -112.034517  -28.134068   -1.944461   68.880902  -15.501111   -7.928836  -10.052868  -21.679417   -1.687256   -0.028421    3.380650    2.876068    0.824479    2.313997   -0.433227  -43.204013  -19.898736  -47.249882   -5.278135 -106.269893 -259.600668  -69.444969   -4.603456  -60.187773  161.132342 -277.105452 -348.266621  -90.408201   -0.541815   -8.062848 -157.819975  -51.030783   10.035952    0.412793  -20.233571    3.060056  -28.909277  -81.220237   -0.123975  -91.124354   -1.106835   -0.022998   -0.020053  558.215935  -55.191214  -92.687518    7.967847   -1.031559   -7.955470   -0.439550    0.568095    2.686247    2.436872    1.965352   -0.091594   -4.212743  180.853927  106.034462    6.029927    2.752071   95.031055    5.938669    7.328306    6.253930    0.943920   -0.311453    0.000000   -2.206492   -2.588017    1.363495  221.144836  -97.539705  -10.698975   28.880321   -0.062164   -6.772192   14.064992  173.613167    0.087841    0.713404  -12.879065   -0.003582   -0.881734   -0.011722   -0.058052   -0.023444   -0.091823 -121.784842  -38.811654   -2.022254 -198.737759  -62.201364   -0.073607   -0.068849 -102.149749   -0.156178    1.591152  -33.038144   -5.629119   85.992327    0.000000    0.000000    0.000000   -0.042702   10.163755   54.591471  -55.058451    3.190764   11.290679   17.457130    3.031459   -1.755016   -0.008792   47.071016  213.948697   79.085487   -1.084605   -0.004814   -1.910040  -15.111718    2.391315  -10.119598   -0.747711    0.516416   19.206132    1.213927   68.742882   -7.027962   -8.122610   -7.117159  -30.580105   -1.694092  -12.906277    0.000000  -20.988496    0.000000    3.232506   46.269363   61.895254   10.935165   -1.473656  -55.615243  -66.081278    9.551055   60.982782    0.000000    1.619672   24.631377    0.000000    0.379895    2.180169   23.921560  131.955965   -2.873468   -0.108199   -0.037771   -0.265049   -0.346942   -1.122362  -76.596941    4.469196   -2.111823    0.000000   -0.177087   -2.385579   -0.880604   -0.709475  -23.315230   -4.549211    0.326870    0.143326 -187.647356  -55.171099   -8.249091  -41.847497  -69.194759  -28.900637   18.808207   14.074365   11.162997    9.625140   -5.488522    0.872533   -6.460301  -30.800069    2.736360   -9.314909    1.546187    0.424025  -11.238087    0.000000
 323.296065  233.436775   -6.333338  -70.325917  -78.632957  -19.871228  -35.842013  -66.366511   73.425051    4.567982  105.496273    8.507987  -51.206786  -99.644333   -0.750152  -22.424193    0.000000  -44.428565  272.842370   52.849685    4.023941   92.080198   -0.961616    0.149095   17.770943   54.505503    2.843660   -0.573138   -0.560444 -100.346602 -109.157325  -36.970593   -2.930198   45.794181  -20.198039  -10.682918  -13.958350  -30.357763  -24.346210   -0.394332    3.284251    1.869320    0.557821    1.565589    0.452086  -19.526626  -20.272889  -48.084515   -3.872962  -77.063124 -259.833490  -68.336808   -5.131776  -67.397849  158.478788 -205.718949 -298.289060 -127.245246   -8.859582   -8.155140 -163.265363  -48.028343   16.080232    0.555352  -24.142725    1.490546  -29.696357  -57.834140   -1.863427  -64.886521  -17.311703   -0.344711   -0.395198  560.717200  -67.576481 -102.956267    4.805531   -0.747995   -6.114442   -0.478358    0.320543    1.739938    1.615069    1.240675   -0.062077    1.116281  180.046226   66.672919    4.368050    2.555378   91.513802    3.859877    7.145362    6.107403    0.613507  -13.421176    0.000000  -16.890113  -17.007957    0.886213  209.348178 -112.288279  -13.547085   28.147550   -1.672391   -8.268686  137.406278  173.032601    0.085914    1.143060   -6.418990   -0.063708   -6.350760   -0.293668   -2.501587   -0.048107   -0.188421 -120.809009  -49.143471   -0.000000 -195.986578  -60.400576   -0.602837   -0.625911 -102.420561   -0.796184    1.034180  -34.105705   -5.841626   84.238430    0.000000    0.000000    0.000000   -0.356547    9.801638   51.266514  -66.821846    3.123413   51.580047   40.913648    2.942512  -14.487915   -0.049702   47.915652  215.629622   79.272506   -9.056130   -0.075301  -29.874421  -15.633129    1.584875  -10.708018   -1.323379    0.349394   18.915279    0.789000   61.796410  -21.692822  -24.547429  -21.508846  -34.876410   -1.754417  -13.379275    0.000000  -23.512357    0.000000    4.348866   42.962452   59.961377   14.711672   -1.068564  -57.341514  -67.774130    9.687232   59.435485    0.000000    1.642392   25.118614    2.773555   87.645424    2.131241   30.393998  134.239982  -19.792898  -12.325171   -0.260173   -1.825698   -0.377574   -1.221456  -57.523957    4.503559  -15.210571    0.000000   -0.583385  -64.178826   -6.824440   -2.001379  -33.772223   -4.457433    0.439756    0.192824 -208.909256  -55.570042   -8.570164  -43.215078  -69.903254  -29.158206   18.200363   13.619508   14.612547    8.494376   -7.883005    2.380763  -42.455864  -31.668860    2.540790   -9.615901    2.113177    0.286962  -11.868479    0.000000
 332.939859  233.898697   -6.317245  -78.603697  -81.072300  -17.257766  -31.809215  -74.153966  187.203920    9.488609  100.487597    8.107729  -36.776092 -116.562346   -0.671034  -26.401260    0.000000  -51.798852  286.595442   72.299671    3.754054   76.494018   -0.856499    0.407915   17.401866   55.961938    3.178810   -0.545705   -0.470720  -79.617902  -43.207047  -32.929223   -2.584711  187.818060    8.914111   -9.423343   -5.096258  -27.594413  -58.030399   -0.939909    3.756733    6.726460    2.007232    5.380306    0.242804  -16.012002  -26.633322  -57.356762   -4.530528  -91.217594 -263.621304  -68.192675   -5.487155  -72.247776  158.801312 -240.241629 -348.346372 -108.794449  -21.151328   -8.137939 -166.738275  -46.270119   17.393294    0.867015  -12.330827    0.032323  -31.775013  -67.653451   -4.441571  -75.903213  -41.329883   -0.822962   -0.951223  561.348815  -63.198640  -79.396755    1.011149   -0.387050   -3.653446    0.010661    0.051333    0.460716    0.400099    0.261055   -0.000254    0.122672  180.316277   86.307467    4.882863    2.502307   88.845189   13.889175    7.086506    6.019748    2.207612  -32.890794    0.000000  -38.959324  -38.944572    3.188900  219.070917 -117.868351  -12.010211   28.259435   -4.063785    3.649264  189.879210  173.559636    0.087313    3.127350   -8.091119   -0.153090  -14.670622   -0.712395   -6.130550   -0.117895   -0.461756  -90.570948  -43.568299    2.434767 -202.320210  -53.126335   -1.401470   -1.465691 -114.476073   -1.784844    3.721337  -37.054009   -5.998903   84.703148    0.000000    0.000000    0.000000   -0.831104    9.356374   48.834384  -65.595446    3.051508   52.034641   39.931042    6.321328  -33.567884   -0.112511   48.240648  216.303171   79.427762  -21.109637   -0.179983  -71.322063  -15.965671    0.392619  -10.275233   -1.668115    0.102464   19.049141    2.839094   61.984288  -45.602104  -48.679617  -42.653851  -26.527611   -1.799063  -13.729344    0.000000   -9.774313    0.000000    4.861418   42.070184   60.081503   16.445570   -0.552928  -57.202906  -70.376111   10.381317   59.671739    0.000000    1.731958   25.269885    3.832725  119.936707    2.079005   42.401426  139.635117  -45.453852    2.600096   -0.597481   -4.192666    0.008415    0.027222  -67.066648    4.124962  -35.137299    0.000000   -1.239390 -155.949711  -15.811939   -4.100827  -31.222746   -4.552250    0.491586    0.215550 -233.499123  -57.024036   -8.603265  -43.105270  -70.224342  -30.691405   17.804523   13.323298   15.190125   25.757451   -0.915955   30.169869  -97.214819  -30.193978    2.488022  -10.447158    4.422966    3.636487  -10.474244    0.000000
 352.405395  235.502552   -6.114873  -91.981741  -82.454810  -18.197480  -35.508911  -86.739577  187.363298   12.508383  100.400864    8.100798  -36.776092 -147.234772   -0.644661  -33.145573    0.000000  -65.161213  294.337044   62.483634    3.286889  116.125527   -0.821460    0.408262   17.413953   56.002684    3.188370   -0.499435   -0.293641   -5.300265  -41.739621  -31.582099   -2.233531  197.770508   18.663132   -3.593799    5.096258  -25.765773  -57.895419   -0.937723    3.758433   13.545421    1.800998    5.054712    0.844623  -14.607232  -50.225676  -73.080646   -5.722700 -115.220757 -259.525879  -69.424962   -5.482486  -71.294292  159.370702 -302.831390 -439.100486 -135.797563  -21.102072   -7.938532 -170.476430  -47.714228   17.430750    0.868882  -11.794654    0.182422  -36.007543  -85.455902   -4.431240  -95.876522  -41.233637   -0.822004   -0.948995  566.141553  -64.808702  -74.561594   -1.159720   -0.234096   -0.514312   -0.053782   -0.090785   -0.151342   -0.131430   -0.207654   -0.008616   -0.618860  181.456377   89.648506    4.897548    2.504045   88.897082   25.785255    6.960919    5.953551    1.980789    0.000000    0.000000  -38.915195  -38.856842    2.861255  229.775158 -137.992095   -9.935716   28.371320   -4.054221   52.412041  193.174887  174.855001   76.267743    3.130012   -8.066445   -0.152732  -14.637349   -0.710720    0.000000    0.000000    0.000000 -107.549369  -36.042852   30.309240 -207.741857  -55.729967   -1.398269   -1.462332 -133.959456   -1.778913    7.493849  -36.393462   -5.840063   85.416498    0.000000    0.000000    0.000000   -0.829206    9.107787   48.861801  -60.061271    3.005273   52.692418   42.096068    6.340339  -33.491579   -0.112134   48.892451  218.447132   80.082686  -21.061433   -0.179564  -71.155973  -16.323610   -0.128973   -9.326219   -1.663029    1.128064   19.270086    2.547390   62.203987  -45.410867  -48.679617  -42.653851  -17.356468   -1.840475  -13.677102    0.000000   -6.208223    0.000000    4.966413   42.099405   60.081503   23.017302   -0.555688  -58.387958  -71.538222   10.422996   59.907992    0.000000    1.738912   25.370732    3.965772  116.935600    2.045417   43.548055  141.878624  -45.351228    5.200192   -0.596132   -4.183200   -0.042451   -0.137328  -84.367586    3.486078  -35.057608    0.000000   -1.235455 -155.582699  -15.758024   -4.084035  -29.300742   -4.654308    0.493064    0.216198 -269.217821  -59.911669   -8.823676  -44.044089  -72.477250  -31.397871   18.676697   13.975954   14.623919   30.163238    7.149232   31.768566  -96.995826  -32.195511    2.489750  -10.260921    4.426731    3.829184   -8.813650    0.000000
 383.320009  237.484522   -6.114407 -105.196751  -89.788007  -19.885811  -40.348214  -99.171811  184.990482   12.349974   89.678664    7.709901  -40.948223 -173.997098   -0.618288  -40.058530    0.000000  -78.348315  325.171811   50.738306    2.825418  106.168142   -0.821460    0.403092   16.432882   52.695444   10.462910   -0.574330   -0.391605  -57.461658  -38.804769  -30.234976   -2.699873  191.135542  214.717941   -0.000000   10.669840  -25.765773  -57.220517   -0.926792    3.781754   13.552686    1.803166    5.060796    4.584423    5.632745  -70.164165  -89.197712   -6.762894 -135.248984 -250.764671  -69.412442   -5.861412  -77.355327  160.106141 -359.828247 -521.744982 -165.534681  -20.954305   -7.597543 -171.280483  -48.230645   40.991949    2.043353  -15.100035   -1.175162  -41.588328  -99.631608   -4.395081 -111.780835  -40.896774   -0.814338   -0.944539  572.801209  -75.056268  -84.951301   -1.136900   -0.430364   -4.087437   -0.067584   -0.118029   -0.263469   -0.124748   -0.293521   -0.011770   -0.611255  182.981396   89.739757    1.769073    2.247774   82.329872   17.580702    7.005177    5.954608    1.983174    7.016672    0.000000  -38.473896  -38.111142    2.864699  220.640971 -167.133254   -0.356834   28.483206   -4.035093   96.820903  199.766240  176.704036   78.296660    3.090373  -10.427432   -0.151299  -14.371165   -0.000000    1.307845    0.025151    0.098508 -152.340130   -0.000000   32.489187 -216.729017  -55.704810   -1.374267   -1.438823 -153.205402   -1.731467    7.497869  -38.865268   -5.838862   85.400554   -0.001408    0.000000   -0.000142   -0.814972    9.110400   45.969764  -72.191112    3.005759   53.741322   39.484128   15.905340  -33.186359   -0.109497   49.876871  221.583330   81.019208  -20.699898   -0.178099  -70.574656  -16.325172   -0.122416  -10.677434   -2.149784    1.129422   19.375023    2.550456   62.803987  -43.307259  -45.411348  -42.653851  -17.356468   -1.848137  -13.675685   -0.009064   -6.516516    0.000000   16.001140   37.790839   59.961377   48.636946   -0.619698  -58.378370  -71.526946   10.443836   60.144246    0.000000    1.749342   25.471580    4.165342  107.289827    2.057253   42.903123  140.693736  -44.581549    9.100337   -0.586014   -4.112204   -0.066523   -0.168164 -101.441608    2.855514  -34.420076    0.000000   -1.181673   13.229354  -15.488452   -3.857338  -31.257118   -4.791615    0.568026    0.709473 -312.496105  -59.927913   -8.884196  -44.044540  -74.154286  -31.396690   17.624485   13.188574   16.096960   29.741631    6.592865   31.768566  -95.134383  -33.599346    2.234942  -10.957832    4.370670    3.700719  -11.241284    0.000000
