Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
-0.000734  0.007003 -0.035524  0.003607 -0.001252 -0.012310  0.001376  0.006581 -0.026615 -0.028364 -0.043091 -0.047674  0.012329 -0.001248  0.003105  0.005595 -0.017673 -0.007828 -0.015921 -0.008054 -0.014617 -0.004056  0.000328 -0.033303 -0.031106 -0.027637 -0.030682 -0.081882 -0.080357  0.011243  0.003427  0.008555  0.011547  0.012730  0.010591  0.008979  0.010489  0.007645 -0.013205 -0.014520 -0.086448 -0.061879 -0.064332 -0.067584 -0.021967 -0.013745  0.000273  0.003957 -0.001742 -0.002461 -0.036593 -0.046770 -0.034076 -0.034467  0.009226  0.000225  0.001995  0.007795 -0.002292 -0.035392 -0.040574 -0.047421 -0.022976 -0.028048 -0.035754 -0.037723  0.006035 -0.001933 -0.003554 -0.004660 -0.007381 -0.007571 -0.009121  0.003762  0.013478  0.013681 -0.056190 -0.079230 -0.077809 -0.078978 -0.072114 -0.063555 -0.060873 -0.066707 -0.076543 -0.070572  0.008547  0.013835 -0.038293 -0.038638 -0.038302 -0.059017 -0.073232 -0.083317 -0.061257 -0.005886 -0.004169 -0.011141 -0.009792 -0.063741  0.013462  0.009564  0.004576  0.002170 -0.004926  0.003360  0.010161  0.006565  0.002798 -0.035308 -0.021889 -0.012250 -0.012120 -0.009487 -0.003037  0.000000 -0.004007  0.004880  0.004376 -0.006019 -0.037425 -0.048660 -0.012810 -0.014319  0.005851 -0.011556 -0.071973 -0.033913 -0.035262  0.010677 -0.079705 -0.052645 -0.081962 -0.019010 -0.058749 -0.035037 -0.004256 -0.085275  0.004748 -0.019713 -0.011604 -0.005166 -0.013710  0.005463  0.008617  0.008434 -0.016775 -0.005322  0.002171 -0.040911 -0.065982 -0.036286 -0.028674 -0.070914  0.009901 -0.065042  0.008890 -0.006170 -0.001693  0.007248  0.008343 -0.041679 -0.038536 -0.039462  0.012419 -0.013666 -0.028906 -0.024233 -0.002569 -0.026003 -0.080306 -0.038420 -0.035167  0.007614  0.005181 -0.006166 -0.005367 -0.003142 -0.006417 -0.000949 -0.080805 -0.086798 -0.086933 -0.006006 -0.002964 -0.006685 -0.006913 -0.082389 -0.080465 -0.006893 -0.012028 -0.003718 -0.016792 -0.007647 -0.003764 -0.013792 -0.005927  0.007381 -0.041022 -0.047028 -0.044894  0.010690 -0.044623 -0.057583 -0.040235 -0.044574 -0.046115 -0.025173 -0.023021 -0.050268  0.012919  0.013235  0.011115 -0.004498 -0.037541 -0.030288 -0.033974 -0.027109  0.012895 -0.080567 -0.020943
-0.007428  0.000291  0.021840  0.006755  0.011159  0.004081  0.009705  0.007617  0.000287 -0.001796 -0.008979 -0.013532  0.005905 -0.004981 -0.004026  0.000705 -0.024762 -0.015395 -0.023377 -0.016305 -0.022104 -0.012956 -0.006540 -0.006263 -0.000210  0.001608 -0.004917  0.046479  0.046904  0.004953 -0.003996  0.001928  0.005195  0.006098  0.004174  0.003170  0.004295  0.000944 -0.012211 -0.013239 -0.003847  0.020106  0.020651  0.018348  0.001502  0.003478 -0.008072 -0.002423 -0.005390 -0.005683  0.024339  0.014267  0.016056  0.014361  0.002549 -0.005381 -0.002925  0.003132 -0.005435  0.023744  0.026845  0.025923  0.002743 -0.002289  0.009401  0.003999  0.004524 -0.005286 -0.006357 -0.007099 -0.008355 -0.008578 -0.009470 -0.002665  0.006977  0.007102  0.023840  0.047192  0.045931  0.034786  0.036444  0.034315  0.031764  0.036248  0.039521  0.041314  0.001911  0.007209  0.001240 -0.002676 -0.004656  0.024433  0.008935 -0.000763  0.022607 -0.005519 -0.006406  0.001914 -0.003392  0.020528  0.006909  0.005264  0.000656 -0.002313 -0.006975 -0.001244  0.002831  0.000833 -0.001923 -0.008308 -0.002443 -0.011351 -0.007596 -0.009454 -0.002887  0.000000 -0.000619 -0.002282  0.000696 -0.007887  0.025653  0.026617 -0.010937 -0.011434  0.005938 -0.007470  0.009927  0.016957  0.020132  0.004469  0.046917 -0.018480  0.046453 -0.016209  0.022453  0.000089  0.012754 -0.002585 -0.000309  0.007514  0.011076  0.009838 -0.009786  0.000167  0.002626  0.002147 -0.013827 -0.007426  0.000986  0.019237  0.027396  0.017362 -0.009060  0.015999  0.003770  0.019303  0.002447 -0.002579  0.001392  0.008565  0.008570  0.017174  0.018406  0.016049  0.005920 -0.021860 -0.003308  0.012032 -0.007489 -0.000669  0.046843  0.024194  0.024897  0.001894  0.000589 -0.008996 -0.008593 -0.006771 -0.008542 -0.010572  0.001706 -0.004019 -0.004022  0.002628 -0.006302  0.002976  0.003949  0.031721  0.033499 -0.015160 -0.020502  0.002479 -0.024676 -0.003991 -0.003300 -0.010018 -0.002441  0.008646  0.025281 -0.020524 -0.018470  0.006774  0.024352  0.014506  0.024270  0.028951  0.027342  0.003860  0.004896  0.031053  0.006400  0.006708  0.004627  0.001826  0.025531  0.005863  0.016966 -0.000215  0.006159  0.047974 -0.027982
-0.010786 -0.003019  0.044751  0.007692  0.015699  0.010430  0.012715  0.007599  0.011454  0.009539  0.004430 -0.000110  0.002652 -0.006713 -0.007132 -0.001443 -0.027323 -0.017976 -0.025924 -0.018858 -0.024659 -0.015506 -0.009661  0.005187  0.012087  0.013418  0.005991  0.098497  0.098413  0.001784 -0.006996 -0.001247  0.002082  0.002738  0.001648  0.000374  0.001657 -0.002211 -0.012627 -0.013636  0.031091  0.054360  0.056363  0.054616  0.011229  0.010562 -0.010528 -0.004709 -0.007071 -0.007231  0.048711  0.038687  0.035966  0.033741 -0.000752 -0.007587 -0.005146  0.000872 -0.006959  0.047391  0.054195  0.055902  0.013940  0.008797  0.027284  0.020406  0.003591 -0.006633 -0.007651 -0.008360 -0.009311 -0.009539 -0.010386 -0.005779  0.003681  0.003782  0.057047  0.098327  0.095703  0.080661  0.080549  0.074888  0.070377  0.078543  0.086226  0.086243 -0.001388  0.003842  0.016810  0.011377  0.008631  0.059417  0.042919  0.033584  0.057803 -0.005576 -0.007480  0.007001 -0.001498  0.055917  0.003611  0.003119 -0.001959 -0.004435 -0.008228 -0.003089  0.000494 -0.001992 -0.004170  0.003228  0.005227 -0.011766 -0.006912 -0.009946 -0.002901  0.000000  0.000714 -0.005385 -0.001977 -0.008790  0.050994  0.057476 -0.010875 -0.011489  0.005649 -0.006451  0.044200  0.037171  0.042227  0.001397  0.098156 -0.005046  0.098497 -0.015673  0.055789  0.013729  0.019185  0.031267 -0.004322  0.018457  0.020163  0.015396 -0.008861 -0.003475 -0.000208 -0.000871 -0.013375 -0.008654  0.000144  0.043847  0.066558  0.038929 -0.001044  0.052800  0.000726  0.054802 -0.000631 -0.001739  0.001978  0.008156  0.008161  0.041275  0.041463  0.038572  0.002671 -0.024392  0.007607  0.024189 -0.010819  0.010246  0.098567  0.049601  0.048929 -0.000822 -0.001368 -0.010202 -0.009961 -0.008334 -0.009504 -0.013072  0.035661  0.029427  0.029476  0.005120 -0.007461  0.004390  0.004083  0.077757  0.079439 -0.017807 -0.023012  0.001346 -0.027222 -0.003113 -0.003431 -0.009381 -0.001637  0.008630  0.052332 -0.009322 -0.007314  0.004711  0.052688  0.044766  0.050706  0.058540  0.057164  0.015708  0.016611  0.063871  0.003135  0.003429  0.001536  0.003732  0.050905  0.018792  0.037270  0.011032  0.002792  0.099973 -0.031419
-0.011153 -0.003343  0.047219  0.007678  0.016145  0.011266  0.012780  0.007496  0.012555  0.010776  0.005864  0.001326  0.002238 -0.007386 -0.007785 -0.002183 -0.028531 -0.019172 -0.027123 -0.020209 -0.025896 -0.016834 -0.010258  0.006481  0.012988  0.014175  0.007025  0.103930  0.103919  0.001267 -0.007941 -0.002153  0.001598  0.002292  0.001134 -0.000277  0.001085 -0.002895 -0.012384 -0.013457  0.035043  0.058127  0.060342  0.058697  0.012268  0.011485 -0.011817 -0.005684 -0.007706 -0.007773  0.051337  0.041143  0.038110  0.035840 -0.001072 -0.008579 -0.006056  0.000253 -0.007461  0.049938  0.057149  0.059095  0.015150  0.009942  0.029206  0.022225  0.003202 -0.007392 -0.008256 -0.008868 -0.009410 -0.009649 -0.010362 -0.006021  0.003303  0.003407  0.060654  0.103873  0.101099  0.085706  0.085378  0.079411  0.074686  0.083216  0.091343  0.091168 -0.001713  0.003462  0.018563  0.013011  0.010034  0.063283  0.046666  0.037412  0.061704 -0.005421 -0.007392  0.007879 -0.000697  0.059850  0.003246  0.002636 -0.002436 -0.004547 -0.008264 -0.003325 -0.000013 -0.002172 -0.004289  0.004561  0.006348 -0.011549 -0.006046 -0.009781 -0.002812  0.000000  0.000882 -0.006092 -0.002442 -0.008643  0.053742  0.060724 -0.010484 -0.010796  0.005407 -0.005689  0.047972  0.039340  0.044610  0.001136  0.103719 -0.003609  0.103933 -0.014371  0.059423  0.015221  0.019876  0.034981 -0.004396  0.019074  0.020321  0.016006 -0.007994 -0.003561 -0.000327 -0.001064 -0.012207 -0.008990  0.000200  0.046496  0.070980  0.041216  0.000289  0.056974  0.000440  0.058750 -0.000835 -0.001035  0.002554  0.008135  0.008140  0.043881  0.043938  0.040995  0.002335 -0.025589  0.008623  0.026395 -0.011170  0.011229  0.104264  0.052359  0.051520 -0.001030 -0.001588 -0.010070 -0.009852 -0.008282 -0.009325 -0.014418  0.039398  0.033053  0.033108  0.005929 -0.007356  0.005375  0.005230  0.082851  0.084500 -0.019098 -0.024211  0.002316 -0.028378 -0.002384 -0.003135 -0.008305 -0.000939  0.008589  0.055253 -0.008391 -0.006394  0.004392  0.055762  0.048039  0.053561  0.061739  0.060369  0.014823  0.013551  0.067425  0.002795  0.003072  0.001259  0.004568  0.053676  0.020763  0.039394  0.012182  0.002346  0.105322 -0.031797
-0.011152 -0.003418  0.047100  0.007672  0.016118  0.011353  0.012729  0.007491  0.012629  0.010857  0.005799  0.001261  0.002243 -0.007344 -0.007746 -0.002186 -0.028500 -0.019167 -0.027119 -0.020236 -0.025886 -0.016860 -0.010240  0.006571  0.012884  0.014093  0.007317  0.103885  0.103735  0.001281 -0.007920 -0.002132  0.001609  0.002301  0.001145 -0.000259  0.001099 -0.002874 -0.012330 -0.013404  0.035006  0.057960  0.060120  0.058426  0.012343  0.011561 -0.011832 -0.005689 -0.007666 -0.007732  0.051244  0.041230  0.038021  0.035737 -0.001131 -0.008551 -0.006026  0.000238 -0.007421  0.049791  0.057044  0.059004  0.015225  0.010139  0.029091  0.022131  0.003202 -0.007343 -0.008208 -0.008820 -0.009364 -0.009603 -0.010327 -0.006044  0.003305  0.003409  0.060507  0.103594  0.100879  0.085332  0.085003  0.079085  0.074405  0.082873  0.091020  0.090819 -0.001744  0.003464  0.018471  0.012896  0.009977  0.063095  0.046538  0.037311  0.061508 -0.005420 -0.007409  0.007965 -0.000595  0.059642  0.003247  0.002627 -0.002414 -0.004559 -0.008238 -0.003313 -0.000009 -0.002190 -0.004302  0.004648  0.006502 -0.011513 -0.005926 -0.009759 -0.002811  0.000000  0.000888 -0.006059 -0.002421 -0.008649  0.053651  0.060618 -0.010413 -0.010692  0.005409 -0.005594  0.047807  0.039259  0.044495  0.001125  0.103440 -0.003674  0.103888 -0.014227  0.059278  0.015118  0.019843  0.034843 -0.004410  0.019008  0.020304  0.016065 -0.007888 -0.003575 -0.000373 -0.001094 -0.012075 -0.008944  0.000252  0.046466  0.070641  0.041196  0.000486  0.056654  0.000441  0.058553 -0.000868 -0.000951  0.002620  0.008128  0.008133  0.043855  0.043894  0.040977  0.002336 -0.025537  0.008916  0.025650 -0.011183  0.011522  0.103852  0.052313  0.051402 -0.001037 -0.001588 -0.010093 -0.009879 -0.008305 -0.009347 -0.014424  0.039268  0.032883  0.032938  0.006036 -0.007346  0.005544  0.005469  0.082421  0.084109 -0.019073 -0.024159  0.002527 -0.028305 -0.002298 -0.003117 -0.008176 -0.000857  0.008578  0.055192 -0.007737 -0.005783  0.004390  0.055705  0.048065  0.053553  0.061590  0.060256  0.014240  0.012318  0.067258  0.002794  0.003073  0.001255  0.004672  0.053590  0.020282  0.039256  0.012267  0.002355  0.105330 -0.031794
-0.011108 -0.003435  0.047182  0.007813  0.016222  0.011431  0.012788  0.007644  0.012603  0.010779  0.005885  0.001347  0.002352 -0.006767 -0.007354 -0.001710 -0.027568 -0.018244 -0.026191 -0.019132 -0.024909 -0.015803 -0.009905  0.006437  0.013005  0.014163  0.007241  0.104059  0.103909  0.001487 -0.007305 -0.001677  0.001800  0.002378  0.001458  0.000108  0.001434 -0.002529 -0.012226 -0.013301  0.034671  0.057783  0.059853  0.058070  0.012329  0.011570 -0.010906 -0.005016 -0.007107 -0.007224  0.051370  0.041355  0.038076  0.035804 -0.001129 -0.007782 -0.005308  0.000543 -0.006937  0.049856  0.057140  0.059053  0.015229  0.010093  0.029149  0.022207  0.003513 -0.006808 -0.007725 -0.008371 -0.009094 -0.009323 -0.010167 -0.005964  0.003376  0.003475  0.060405  0.103769  0.101195  0.085692  0.085335  0.079025  0.074253  0.082987  0.091377  0.091194 -0.001716  0.003511  0.018570  0.013087  0.010057  0.062878  0.046426  0.037126  0.061272 -0.005367 -0.007321  0.007986 -0.000555  0.059391  0.003314  0.002861 -0.002093 -0.004438 -0.008056 -0.003071  0.000329 -0.002094 -0.004188  0.004476  0.006521 -0.011428 -0.005907 -0.009668 -0.002792  0.000000  0.000940 -0.005646 -0.002110 -0.008557  0.053761  0.060653 -0.010323 -0.010657  0.005658 -0.005568  0.047626  0.039306  0.044573  0.001208  0.103616 -0.003589  0.104062 -0.014319  0.059242  0.015245  0.019917  0.034820 -0.004312  0.019451  0.021228  0.016554 -0.007886 -0.003479 -0.000271 -0.001004 -0.012132 -0.008550  0.000488  0.046515  0.070365  0.041237  0.000461  0.056227  0.000547  0.058289 -0.000782 -0.000932  0.002643  0.008190  0.008195  0.043895  0.043937  0.041008  0.002416 -0.024564  0.008839  0.027574 -0.011134  0.011444  0.103917  0.052388  0.051496 -0.000937 -0.001342 -0.010013 -0.009789 -0.008196 -0.009266 -0.013429  0.039201  0.032973  0.033028  0.006182 -0.007213  0.005696  0.005632  0.082787  0.084472 -0.018089 -0.023202  0.002577 -0.027367 -0.002281 -0.003075 -0.008205 -0.000841  0.008678  0.055268 -0.007906 -0.005928  0.004536  0.055769  0.048075  0.053617  0.061686  0.060321  0.014241  0.012092  0.067352  0.002863  0.003140  0.001341  0.004709  0.053694  0.021474  0.039266  0.012216  0.002430  0.105508 -0.031730
-0.007677 -0.000105  0.021692  0.006422  0.010898  0.004345  0.009276  0.007297  0.000139 -0.001841 -0.009199 -0.013751  0.005636 -0.005687 -0.004345  0.000096 -0.025431 -0.016037 -0.024023 -0.016940 -0.022753 -0.013583 -0.006863 -0.006302 -0.000741  0.001115 -0.004937  0.046659  0.047010  0.004665 -0.004432  0.001594  0.004917  0.005820  0.003905  0.002876  0.004017  0.000628 -0.012555 -0.013620 -0.002958  0.020512  0.021078  0.018704  0.001351  0.003312 -0.008691 -0.003031 -0.006050 -0.006289  0.024272  0.014210  0.016069  0.014291  0.002198 -0.006162 -0.003834  0.002609 -0.006010  0.023502  0.027046  0.026184  0.002763 -0.002256  0.009293  0.003861  0.004049 -0.005989 -0.007010 -0.007723 -0.008774 -0.009014 -0.009784 -0.002859  0.006714  0.006840  0.024173  0.047232  0.046093  0.035181  0.037081  0.034874  0.032280  0.036868  0.039913  0.041841  0.001627  0.006948  0.001090 -0.002874 -0.004965  0.024861  0.009299 -0.000258  0.023044 -0.005664 -0.006594  0.001704 -0.003674  0.020961  0.006652  0.004870  0.000375 -0.002616 -0.007209 -0.001476  0.002563  0.000542 -0.002220 -0.008350 -0.001796 -0.011630 -0.008072 -0.009675 -0.002938  0.000000 -0.000802 -0.002627  0.000408 -0.008045  0.025709  0.026838 -0.011217 -0.011959  0.005524 -0.007657  0.010340  0.017018  0.020003  0.004219  0.046987 -0.018699  0.046637 -0.016219  0.022665 -0.000259  0.012523 -0.002371 -0.002199  0.007050  0.010664  0.009455 -0.009960 -0.001203  0.002481  0.001989 -0.013958 -0.007953  0.000696  0.019783  0.027833  0.017622 -0.007928  0.016279  0.003493  0.019809  0.002301 -0.002729  0.001246  0.008332  0.008337  0.017757  0.018713  0.016473  0.005651 -0.022452 -0.003323  0.012113 -0.007756 -0.000680  0.046854  0.024494  0.024757  0.001622  0.000349 -0.009159 -0.008759 -0.006956 -0.008682 -0.011190  0.002009 -0.004070 -0.004073  0.002129 -0.006412  0.001643  0.001613  0.032101  0.033864 -0.015835 -0.021100  0.000511 -0.025269 -0.004133 -0.003406 -0.010269 -0.002575  0.008379  0.025650 -0.020607 -0.018562  0.006474  0.024893  0.015568  0.024770  0.028861  0.027464  0.001508 -0.000285  0.030994  0.006144  0.006454  0.004372  0.001575  0.025607  0.005835  0.016989 -0.000308  0.005881  0.048015 -0.028254
-0.001152  0.006408 -0.031001  0.004006 -0.000193 -0.010889  0.001973  0.006867 -0.024122 -0.026031 -0.040417 -0.044995  0.012147  0.000773  0.002924  0.006082 -0.016297 -0.006912 -0.014950 -0.007089 -0.013442 -0.003162  0.000214 -0.030870 -0.028896 -0.025342 -0.028544 -0.071870 -0.070684  0.011198  0.003548  0.008653  0.011484  0.012387  0.010738  0.009373  0.010725  0.007587 -0.010043 -0.011048 -0.079915 -0.055068 -0.057338 -0.060807 -0.019486 -0.011292  0.001039  0.004555  0.000297 -0.000321 -0.031664 -0.041650 -0.029989 -0.030559  0.008709  0.001772  0.003583  0.007831 -0.000177 -0.030834 -0.035049 -0.041427 -0.020852 -0.025918 -0.032226 -0.034407  0.006421  0.000576 -0.001016 -0.002102 -0.004749 -0.004928 -0.006423  0.003541  0.013176  0.013350 -0.049581 -0.069785 -0.068355 -0.069979 -0.063527 -0.055900 -0.053482 -0.058603 -0.067444 -0.061732  0.008137  0.013483 -0.035154 -0.035804 -0.035681 -0.051638 -0.066670 -0.076827 -0.054033 -0.004689 -0.003338 -0.008552 -0.006988 -0.056742  0.013155  0.009462  0.005677  0.002536 -0.003113  0.004148  0.010289  0.006563  0.003093 -0.032975 -0.020049 -0.009228 -0.009246 -0.007295 -0.002495  0.000000 -0.003226  0.004697  0.005563 -0.004772 -0.032287 -0.042485 -0.009799 -0.011330  0.006235 -0.008839 -0.065066 -0.029726 -0.030879  0.010510 -0.070230 -0.049965 -0.071944 -0.016293 -0.052213 -0.032364 -0.002948 -0.078743  0.004972 -0.017192 -0.009020 -0.002479 -0.010990  0.005616  0.008564  0.008272 -0.014009 -0.002883  0.004701 -0.035774 -0.058940 -0.031742 -0.026624 -0.064411  0.009770 -0.057985  0.008677 -0.003757  0.000362  0.008023  0.008316 -0.036655 -0.033778 -0.034743  0.012168 -0.012679 -0.026842 -0.021145 -0.001233 -0.024055 -0.071024 -0.033133 -0.030415  0.007604  0.005717 -0.005516 -0.004801 -0.002648 -0.005430 -0.000118 -0.074264 -0.080246 -0.080371 -0.003189 -0.001762 -0.003708 -0.003751 -0.073339 -0.071437 -0.006036 -0.011105 -0.000590 -0.015707 -0.005192 -0.001809 -0.010995 -0.003582  0.007591 -0.035509 -0.044945 -0.042813  0.010580 -0.038954 -0.051666 -0.034773 -0.038750 -0.040201 -0.026566 -0.029300 -0.043829  0.012638  0.012945  0.010870 -0.001708 -0.032440 -0.027301 -0.029964 -0.024590  0.012521 -0.070517 -0.021311
 0.002997  0.010558 -0.065661  0.001628 -0.007804 -0.020851 -0.003256  0.005912 -0.040997 -0.042749 -0.061119 -0.065710  0.016197  0.001733  0.007285  0.007849 -0.013775 -0.004282 -0.012370 -0.004540 -0.010910 -0.000649  0.004260 -0.047757 -0.047870 -0.043558 -0.044637 -0.149516 -0.148036  0.015083  0.007612  0.012492  0.015359  0.016454  0.014134  0.012649  0.014119  0.011621 -0.010366 -0.011352 -0.129663 -0.104208 -0.108362 -0.112518 -0.034372 -0.022526  0.003416  0.006586  0.001251  0.000519 -0.068458 -0.078497 -0.060191 -0.059972  0.012850  0.003326  0.004927  0.009910  0.000680 -0.066622 -0.075813 -0.085678 -0.037327 -0.042191 -0.059360 -0.059444  0.006556  0.001157 -0.000478 -0.001592 -0.004454 -0.004651 -0.005979  0.007492  0.017292  0.017507 -0.097650 -0.146849 -0.143721 -0.139821 -0.129959 -0.115397 -0.109532 -0.121406 -0.138479 -0.130212  0.012267  0.017655 -0.058966 -0.057532 -0.056171 -0.101248 -0.116147 -0.126602 -0.104104 -0.004883 -0.002155 -0.017041 -0.011070 -0.107284  0.017293  0.011634  0.007967  0.004967 -0.002029  0.006454  0.013442  0.009949  0.005699 -0.049830 -0.031735 -0.009345 -0.012005 -0.007160 -0.002591  0.000000 -0.005181  0.009154  0.007774 -0.003685 -0.070429 -0.087862 -0.010902 -0.012918  0.005496 -0.011538 -0.113977 -0.060378 -0.064326  0.014305 -0.147415 -0.070690 -0.149623 -0.018422 -0.101099 -0.053569 -0.013341 -0.128593  0.007795 -0.033178 -0.022617 -0.011631 -0.013613  0.008620  0.012093  0.012068 -0.016098 -0.002359  0.004929 -0.072222 -0.115585 -0.064108 -0.038121 -0.116830  0.013500 -0.108579  0.012603 -0.006230 -0.001805  0.007027  0.008089 -0.072281 -0.068190 -0.068259  0.016217 -0.010312 -0.042939 -0.042655  0.002832 -0.040150 -0.148793 -0.071107 -0.066724  0.010869  0.008073 -0.004112 -0.003190 -0.000818 -0.004319  0.002338 -0.123985 -0.130144 -0.130348 -0.008484 -0.000357 -0.009098 -0.009226 -0.143550 -0.141482 -0.003410 -0.008784 -0.003432 -0.013333 -0.007703 -0.002011 -0.013500 -0.006003  0.006744 -0.075662 -0.060958 -0.058835  0.012750 -0.080750 -0.095226 -0.073931 -0.083127 -0.084526 -0.045434 -0.048481 -0.092872  0.016724  0.017057  0.014667 -0.005799 -0.070685 -0.048904 -0.060614 -0.041430  0.016623 -0.148073 -0.016761
 0.005480  0.013042 -0.091611 -0.000672 -0.013963 -0.028774 -0.007812  0.004708 -0.053848 -0.055348 -0.076933 -0.081533  0.018647  0.001940  0.009947  0.008951 -0.011563 -0.002080 -0.010191 -0.001829 -0.008577  0.002570  0.006746 -0.060728 -0.062610 -0.057607 -0.056897 -0.205766 -0.203660  0.017515  0.010271  0.014829  0.017719  0.018826  0.015940  0.014492  0.015996  0.014108 -0.011397 -0.012377 -0.166539 -0.141067 -0.146482 -0.151034 -0.045851 -0.031482  0.006359  0.008479  0.001455  0.000600 -0.096040 -0.106132 -0.082727 -0.081948  0.015340  0.004199  0.005544  0.011021  0.000763 -0.093415 -0.106156 -0.118575 -0.049222 -0.054287 -0.079557 -0.078298  0.006298  0.000903 -0.000745 -0.001866 -0.004912 -0.005121 -0.006323  0.009951  0.019758  0.019999 -0.133603 -0.202037 -0.197736 -0.188585 -0.176764 -0.158315 -0.150510 -0.166163 -0.188544 -0.178433  0.014760  0.020159 -0.076985 -0.074107 -0.071820 -0.139006 -0.152907 -0.163478 -0.141909 -0.005270 -0.001624 -0.024106 -0.015094 -0.145127  0.019785  0.012740  0.009073  0.006533 -0.001879  0.007484  0.015041  0.012141  0.007559 -0.062799 -0.041083 -0.010114 -0.015175 -0.007616 -0.002759  0.000000 -0.006772  0.011880  0.008839 -0.003424 -0.098953 -0.121655 -0.012596 -0.015172  0.004526 -0.014541 -0.150845 -0.083231 -0.089357  0.016669 -0.202669 -0.086519 -0.205894 -0.021264 -0.137474 -0.069812 -0.021588 -0.165529  0.009608 -0.046533 -0.034004 -0.019643 -0.016611  0.010549  0.014337  0.014442 -0.018871 -0.002597  0.004361 -0.099078 -0.156883 -0.088131 -0.047544 -0.155749  0.015844 -0.146437  0.015041 -0.009044 -0.004345  0.005554  0.007328 -0.098515 -0.093684 -0.093032  0.018701 -0.007615 -0.055125 -0.059037  0.005310 -0.052209 -0.204166 -0.099224 -0.093918  0.012822  0.009353 -0.003443 -0.002359  0.000203 -0.003962  0.006115 -0.160856 -0.167138 -0.167401 -0.013546  0.000032 -0.014564 -0.015136 -0.192258 -0.190229 -0.001199 -0.005892 -0.007141 -0.010792 -0.010552 -0.002645 -0.016545 -0.008773  0.005582 -0.105449 -0.073522 -0.071363  0.013850 -0.111657 -0.127245 -0.102868 -0.116156 -0.117485 -0.060553 -0.064478 -0.129259  0.019205  0.019536  0.016883 -0.009839 -0.099197 -0.065370 -0.083585 -0.054277  0.018999 -0.204580 -0.013922
