Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
1.000000 1.000000 1.000012 0.999987 0.999984 0.999999 1.000026 0.999999 0.999998 1.000044 1.000071 0.999950 1.000000 1.000000 0.999903 1.000000 0.998912 1.000000 0.999224 1.000000 0.999344 1.000000 1.000000 0.999818 0.999998 0.999998 0.999961 0.999873 0.999940 1.000000 1.000000 1.000000 1.000017 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999406 0.999447 0.999996 0.999996 0.999996 0.999972 1.000065 1.000000 1.000000 0.999992 1.000000 0.999990 0.999997 1.000022 1.000094 1.000000 1.000000 1.000000 1.000000 1.000000 0.999985 0.999997 0.999943 0.999999 0.999889 0.999963 0.999998 0.999999 1.000000 1.000002 1.000000 1.000000 0.999986 0.999709 1.000000 1.000000 1.000000 0.999976 0.999995 0.999995 0.999964 0.999896 0.999996 0.999996 0.999995 0.999936 0.999995 1.000000 1.000000 0.999982 0.999872 0.999978 0.999996 0.999803 0.999996 1.000007 1.000000 0.999826 0.999965 0.999999 0.999996 1.000000 1.000000 1.000000 1.000000 0.999650 1.000000 1.000000 1.000000 0.999986 0.999999 0.999999 0.999727 0.999999 0.999704 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999997 1.000071 0.999540 1.000000 0.999999 0.999730 0.999996 0.999970 1.000034 1.000000 0.999968 0.999723 0.999868 0.999763 0.999939 0.999994 0.999993 0.999457 1.000041 0.999998 0.999999 0.999999 0.999457 1.000117 1.000000 1.000000 1.000000 0.999974 1.000000 0.999787 0.999996 0.999951 0.999274 0.999996 0.999778 0.999914 1.000000 0.999999 0.999999 0.999999 0.999999 0.999702 0.999997 0.999782 1.000000 0.999381 0.999999 0.999998 1.000000 0.999999 0.999995 0.999997 0.999997 0.999650 1.000000 0.999371 0.999475 1.000000 0.999669 1.000000 0.999567 0.999312 0.999233 0.999999 1.000000 0.999957 0.999999 0.999995 0.999997 1.000000 1.000000 0.999999 0.998474 0.999705 1.000000 0.999999 1.000011 0.999999 0.999922 0.999867 0.999999 1.000000 0.999997 0.999191 0.999997 0.999997 0.999997 0.999998 0.999998 0.999996 1.000000 1.000000 1.000000 0.999999 0.999997 0.999921 0.999998 0.999923 1.000058 0.999994 0.995642
1.000000 1.000000 1.000011 0.999984 0.999981 1.000000 1.000036 1.000000 1.000000 1.000027 1.000075 0.999950 1.000000 1.000000 0.999908 1.000000 0.999195 1.000000 0.999386 1.000000 0.999512 1.000000 1.000000 0.999800 1.000000 1.000000 0.999964 0.999823 0.999929 1.000000 1.000000 1.000000 1.000014 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999560 0.998956 1.000000 1.000000 1.000000 0.999980 1.000051 1.000000 1.000000 0.999994 1.000000 0.999994 1.000000 1.000021 1.000083 1.000000 1.000000 1.000000 1.000000 1.000000 0.999990 1.000000 0.999940 1.000000 0.999870 0.999970 1.000000 1.000000 1.000000 1.000003 1.000000 1.000000 0.999990 0.999771 1.000000 1.000000 1.000000 0.999977 1.000000 1.000000 0.999946 0.999778 1.000000 1.000000 1.000000 0.999915 1.000000 1.000000 1.000000 0.999986 0.999840 0.999980 1.000000 0.999745 1.000000 0.999998 1.000000 0.999829 0.999974 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999722 1.000000 1.000000 1.000000 0.999985 1.000000 1.000000 0.999809 1.000000 0.999787 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000082 0.999646 1.000000 1.000000 0.999749 1.000000 0.999976 1.000028 1.000000 0.999961 0.999523 0.999820 0.999828 0.999925 0.999995 0.999996 0.999328 1.000055 1.000000 1.000000 1.000000 0.999430 1.000091 1.000000 1.000000 1.000000 0.999976 1.000000 0.999733 1.000000 0.999959 0.999505 1.000000 0.999815 0.999859 1.000000 1.000000 1.000000 1.000000 1.000000 0.999669 1.000000 0.999786 1.000000 0.999540 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999732 1.000000 0.999415 0.999498 1.000000 0.999652 1.000000 0.999432 0.999168 0.999109 1.000000 1.000000 0.999982 1.000000 1.000000 0.999991 1.000000 1.000000 1.000000 0.998861 0.999739 1.000000 1.000000 1.000015 1.000000 0.999947 0.999835 1.000000 1.000000 1.000000 0.998754 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999909 1.000000 0.999934 1.000022 1.000000 0.997830
1.000000 1.000000 1.000004 0.999983 0.999979 1.000001 1.000039 1.000000 1.000001 1.000025 1.000077 0.999950 1.000000 1.000000 0.999911 1.000000 0.999253 1.000000 0.999436 1.000000 0.999550 1.000000 1.000000 0.999797 1.000001 1.000001 0.999966 0.999825 0.999937 1.000000 1.000000 1.000000 1.000016 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999577 0.998787 1.000001 1.000001 1.000001 0.999980 1.000051 1.000000 1.000000 0.999995 1.000000 0.999996 1.000001 1.000019 1.000069 1.000000 1.000000 1.000000 1.000000 1.000000 0.999992 1.000001 0.999942 1.000001 0.999866 0.999976 1.000001 1.000000 1.000000 1.000003 1.000000 1.000000 0.999990 0.999790 1.000000 1.000000 1.000000 0.999978 1.000001 1.000001 0.999938 0.999737 1.000001 1.000001 1.000001 0.999911 1.000001 1.000000 1.000000 0.999990 0.999831 0.999980 1.000001 0.999710 1.000001 0.999996 1.000000 0.999836 0.999975 1.000000 1.000001 1.000000 1.000000 1.000000 1.000000 0.999739 1.000000 1.000000 1.000000 0.999984 1.000001 1.000001 0.999846 1.000000 0.999819 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000001 1.000083 0.999674 1.000000 1.000000 0.999761 1.000001 0.999981 1.000015 1.000000 0.999969 0.999446 0.999824 0.999866 0.999920 0.999996 0.999996 0.999203 0.999868 1.000001 1.000001 1.000000 0.999433 1.000016 1.000000 1.000000 1.000000 0.999977 1.000000 0.999731 1.000001 0.999965 0.999621 1.000001 0.999837 0.999844 1.000000 1.000000 1.000000 1.000000 1.000000 0.999676 1.000001 0.999798 1.000000 0.999577 1.000001 1.000001 1.000000 1.000001 1.000001 1.000001 1.000001 0.999770 1.000000 0.999451 0.999523 1.000000 0.999656 1.000000 0.999334 0.998981 0.998938 1.000000 1.000000 0.999994 1.000000 1.000001 0.999987 1.000000 1.000000 1.000000 0.998957 0.999758 1.000000 1.000000 1.000020 1.000000 0.999962 0.999822 1.000001 1.000000 1.000001 0.998654 1.000001 1.000001 1.000001 1.000001 1.000001 1.000001 1.000000 1.000000 1.000000 1.000000 1.000001 0.999909 1.000001 0.999947 1.000023 1.000001 0.998769
1.000000 1.000000 1.000003 0.999988 0.999986 1.000000 1.000027 1.000000 1.000001 1.000027 1.000077 0.999950 1.000000 1.000000 0.999915 1.000000 0.999269 1.000000 0.999455 1.000000 0.999566 1.000000 1.000000 0.999802 1.000001 1.000001 0.999967 0.999826 0.999937 1.000000 1.000000 1.000000 1.000017 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999578 0.998767 1.000001 1.000001 1.000001 0.999980 1.000051 1.000000 1.000000 0.999995 1.000000 0.999996 1.000001 1.000019 1.000068 1.000000 1.000000 1.000000 1.000000 1.000000 0.999992 1.000001 0.999944 1.000001 0.999868 0.999977 1.000001 1.000000 1.000000 1.000003 1.000000 1.000000 0.999990 0.999794 1.000000 1.000000 1.000000 0.999979 1.000001 1.000001 0.999935 0.999728 1.000001 1.000001 1.000001 0.999911 1.000001 1.000000 1.000000 0.999990 0.999832 0.999980 1.000001 0.999704 1.000001 0.999995 1.000000 0.999840 0.999975 1.000000 1.000001 1.000000 1.000000 1.000000 1.000000 0.999746 1.000000 1.000000 1.000000 0.999985 1.000001 1.000001 0.999857 1.000000 0.999828 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000001 1.000079 0.999682 1.000000 1.000000 0.999769 1.000001 0.999982 1.000013 1.000000 0.999970 0.999434 0.999825 0.999879 0.999919 0.999996 0.999996 0.999178 0.999875 1.000001 1.000001 1.000000 0.999455 1.000022 1.000000 1.000000 1.000000 0.999978 1.000000 0.999729 1.000001 0.999963 0.999643 1.000001 0.999842 0.999842 1.000000 1.000000 1.000000 1.000000 1.000000 0.999677 1.000001 0.999800 1.000000 0.999590 1.000001 1.000001 1.000000 1.000001 1.000001 1.000001 1.000001 0.999777 1.000000 0.999467 0.999537 1.000000 0.999672 1.000000 0.999315 0.998940 0.998900 1.000000 1.000000 0.999997 1.000000 1.000001 0.999985 1.000000 1.000000 1.000000 0.998988 0.999767 1.000000 1.000000 1.000023 1.000000 0.999963 0.999822 1.000001 1.000000 1.000001 0.998647 1.000001 1.000001 1.000001 1.000001 1.000001 1.000001 1.000000 1.000000 1.000000 1.000000 1.000001 0.999909 1.000001 0.999953 1.000023 1.000001 0.998869
1.000000 1.000000 1.000003 0.999989 0.999987 1.000000 1.000025 1.000000 1.000001 1.000027 1.000077 0.999950 1.000000 1.000000 0.999916 1.000000 0.999272 1.000000 0.999456 1.000000 0.999567 1.000000 1.000000 0.999803 1.000001 1.000001 0.999968 0.999828 0.999939 1.000000 1.000000 1.000000 1.000017 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999579 0.998775 1.000001 1.000001 1.000001 0.999980 1.000051 1.000000 1.000000 0.999995 1.000000 0.999996 1.000001 1.000019 1.000068 1.000000 1.000000 1.000000 1.000000 1.000000 0.999992 1.000001 0.999944 1.000001 0.999869 0.999977 1.000001 1.000000 1.000000 1.000003 1.000000 1.000000 0.999990 0.999795 1.000000 1.000000 1.000000 0.999979 1.000001 1.000001 0.999938 0.999727 1.000001 1.000001 1.000001 0.999911 1.000001 1.000000 1.000000 0.999990 0.999833 0.999980 1.000001 0.999704 1.000001 0.999995 1.000000 0.999838 0.999974 1.000000 1.000001 1.000000 1.000000 1.000000 1.000000 0.999747 1.000000 1.000000 1.000000 0.999985 1.000001 1.000000 0.999856 1.000000 0.999827 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000001 1.000079 0.999682 1.000000 1.000000 0.999769 1.000001 0.999981 1.000013 1.000000 0.999970 0.999434 0.999828 0.999879 0.999919 0.999996 0.999996 0.999173 0.999875 1.000001 1.000000 1.000000 0.999457 1.000023 1.000000 1.000000 1.000000 0.999978 1.000000 0.999730 1.000001 0.999967 0.999644 1.000001 0.999842 0.999843 1.000000 1.000000 1.000000 1.000000 1.000000 0.999679 1.000001 0.999803 1.000000 0.999592 1.000001 1.000001 1.000000 1.000001 1.000001 1.000001 1.000001 0.999777 1.000000 0.999466 0.999534 1.000000 0.999670 1.000000 0.999313 0.998932 0.998892 1.000000 1.000000 0.999997 1.000000 1.000001 0.999986 1.000000 1.000000 1.000000 0.998993 0.999767 1.000000 1.000000 1.000022 1.000000 0.999963 0.999824 1.000001 1.000000 1.000001 0.998660 1.000001 1.000001 1.000001 1.000001 1.000001 1.000001 1.000000 1.000000 1.000000 1.000000 1.000001 0.999911 1.000001 0.999954 1.000023 1.000001 0.998868
1.000000 1.000000 1.000003 0.999991 0.999989 1.000000 1.000021 1.000000 1.000001 1.000025 1.000077 0.999950 1.000000 1.000000 0.999915 1.000000 0.999259 1.000000 0.999442 1.000000 0.999557 1.000000 1.000000 0.999800 1.000001 1.000001 0.999967 0.999828 0.999939 1.000000 1.000000 1.000000 1.000017 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999576 0.998769 1.000001 1.000001 1.000001 0.999980 1.000051 1.000000 1.000000 0.999995 1.000000 0.999996 1.000001 1.000019 1.000068 1.000000 1.000000 1.000000 1.000000 1.000000 0.999992 1.000001 0.999943 1.000001 0.999868 0.999977 1.000001 1.000000 1.000000 1.000003 1.000000 1.000000 0.999990 0.999793 1.000000 1.000000 1.000000 0.999978 1.000001 1.000001 0.999940 0.999734 1.000001 1.000001 1.000001 0.999913 1.000001 1.000000 1.000000 0.999990 0.999829 0.999980 1.000001 0.999708 1.000001 0.999995 1.000000 0.999839 0.999975 1.000000 1.000001 1.000000 1.000000 1.000000 1.000000 0.999745 1.000000 1.000000 1.000000 0.999985 1.000001 1.000000 0.999853 1.000000 0.999825 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000001 1.000081 0.999680 1.000000 1.000000 0.999768 1.000001 0.999981 1.000013 1.000000 0.999970 0.999437 0.999827 0.999878 0.999919 0.999996 0.999996 0.999194 0.999874 1.000001 1.000001 1.000000 0.999452 1.000021 1.000000 1.000000 1.000000 0.999978 1.000000 0.999729 1.000001 0.999966 0.999643 1.000001 0.999846 0.999842 1.000000 1.000000 1.000000 1.000000 1.000000 0.999677 1.000001 0.999802 1.000000 0.999588 1.000001 1.000001 1.000000 1.000001 1.000001 1.000001 1.000001 0.999779 1.000000 0.999463 0.999533 1.000000 0.999668 1.000000 0.999327 0.998968 0.998927 1.000000 1.000000 0.999997 1.000000 1.000001 0.999988 1.000000 1.000000 1.000000 0.998980 0.999766 1.000000 1.000000 1.000021 1.000000 0.999963 0.999822 1.000001 1.000000 1.000001 0.998651 1.000001 1.000001 1.000001 1.000001 1.000001 1.000001 1.000000 1.000000 1.000000 1.000000 1.000001 0.999903 1.000001 0.999951 1.000023 1.000001 0.998860
1.000000 1.000000 1.000012 0.999987 0.999985 1.000000 1.000028 1.000000 1.000000 1.000029 1.000077 0.999948 1.000000 1.000000 0.999910 1.000000 0.999193 1.000000 0.999390 1.000000 0.999514 1.000000 1.000000 0.999804 1.000000 1.000000 0.999964 0.999836 0.999935 1.000000 1.000000 1.000000 1.000015 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999552 0.998973 0.999999 0.999999 0.999999 0.999979 1.000052 1.000000 1.000000 0.999995 1.000000 0.999994 0.999999 1.000021 1.000084 1.000000 1.000000 1.000000 1.000000 1.000000 0.999989 0.999999 0.999943 1.000000 0.999873 0.999970 1.000000 1.000000 1.000000 1.000003 1.000000 1.000000 0.999989 0.999772 1.000000 1.000000 1.000000 0.999978 0.999999 0.999999 0.999942 0.999784 0.999999 0.999999 0.999999 0.999915 0.999999 1.000000 1.000000 0.999986 0.999841 0.999979 0.999999 0.999743 0.999999 0.999998 1.000000 0.999832 0.999973 1.000000 0.999999 1.000000 1.000000 1.000000 1.000000 0.999726 1.000000 1.000000 1.000000 0.999985 1.000000 1.000000 0.999813 1.000000 0.999790 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999999 1.000077 0.999649 1.000000 1.000000 0.999756 0.999999 0.999976 1.000028 1.000000 0.999964 0.999519 0.999833 0.999839 0.999927 0.999995 0.999995 0.999309 0.999859 1.000000 1.000000 1.000000 0.999445 1.000033 1.000000 1.000000 1.000000 0.999977 1.000000 0.999755 0.999999 0.999966 0.999544 0.999999 0.999815 0.999863 1.000000 1.000000 1.000000 1.000000 1.000000 0.999693 1.000000 0.999801 1.000000 0.999545 1.000000 1.000000 1.000000 1.000000 0.999999 0.999999 1.000000 0.999730 1.000000 0.999423 0.999506 1.000000 0.999660 1.000000 0.999422 0.999128 0.999075 1.000000 1.000000 0.999984 1.000000 0.999999 0.999987 1.000000 1.000000 1.000000 0.998870 0.999745 1.000000 1.000000 1.000021 1.000000 0.999952 0.999835 1.000000 1.000000 0.999999 0.998824 0.999999 0.999999 0.999999 1.000000 1.000000 0.999999 1.000000 1.000000 1.000000 1.000000 0.999999 0.999909 1.000000 0.999940 1.000022 0.999999 0.997842
1.000000 1.000000 1.000014 0.999991 0.999989 0.999999 1.000019 1.000000 0.999999 1.000043 1.000072 0.999950 1.000000 1.000000 0.999903 1.000000 0.998967 1.000000 0.999192 1.000000 0.999364 1.000000 1.000000 0.999817 0.999999 0.999999 0.999960 0.999877 0.999943 1.000000 1.000000 1.000000 1.000016 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999530 0.999418 0.999997 0.999997 0.999997 0.999972 1.000066 1.000000 1.000000 0.999993 1.000000 0.999991 0.999998 1.000023 1.000096 1.000000 1.000000 1.000000 1.000000 1.000000 0.999986 0.999998 0.999943 0.999999 0.999888 0.999963 0.999998 1.000000 1.000000 1.000002 1.000000 1.000000 0.999987 0.999732 1.000000 1.000000 1.000000 0.999976 0.999996 0.999996 0.999965 0.999893 0.999997 0.999997 0.999996 0.999936 0.999996 1.000000 1.000000 0.999982 0.999869 0.999979 0.999997 0.999799 0.999997 1.000010 1.000000 0.999821 0.999965 1.000000 0.999997 1.000000 1.000000 1.000000 1.000000 0.999677 1.000000 1.000000 1.000000 0.999985 0.999999 0.999999 0.999732 1.000000 0.999722 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999998 1.000073 0.999598 1.000000 1.000000 0.999740 0.999997 0.999970 1.000036 1.000000 0.999969 0.999712 0.999873 0.999760 0.999938 0.999994 0.999993 0.999452 1.000047 0.999999 0.999999 0.999999 0.999458 1.000110 1.000000 1.000000 1.000000 0.999974 1.000000 0.999794 0.999997 0.999962 0.999309 0.999997 0.999791 0.999916 1.000000 1.000000 1.000000 1.000000 1.000000 0.999710 0.999998 0.999792 1.000000 0.999400 0.999999 0.999999 1.000000 0.999999 0.999996 0.999998 0.999998 0.999675 1.000000 0.999374 0.999474 1.000000 0.999659 1.000000 0.999560 0.999309 0.999234 0.999999 1.000000 0.999958 0.999999 0.999996 0.999998 1.000000 1.000000 1.000000 0.998526 0.999712 1.000000 1.000000 0.999999 1.000000 0.999925 0.999865 0.999999 1.000000 0.999998 0.999176 0.999998 0.999997 0.999997 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999998 0.999920 0.999998 0.999926 1.000047 0.999996 0.995790
1.000000 1.000000 1.000007 0.999992 0.999990 0.999999 1.000016 0.999999 0.999998 1.000056 1.000071 0.999950 1.000000 1.000000 0.999895 1.000000 0.998877 1.000000 0.999120 1.000000 0.999302 1.000000 1.000000 0.999834 0.999998 0.999998 0.999959 0.999929 0.999969 1.000000 1.000000 1.000000 1.000016 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999503 0.999721 0.999996 0.999996 0.999996 0.999978 1.000051 1.000000 1.000000 0.999993 1.000000 0.999991 0.999997 1.000021 1.000092 1.000000 1.000000 1.000000 1.000000 1.000000 0.999986 0.999997 0.999946 0.999999 0.999902 0.999964 0.999998 0.999999 1.000000 1.000002 1.000000 1.000000 0.999985 0.999701 1.000000 1.000000 1.000000 0.999977 0.999995 0.999995 0.999984 0.999960 0.999996 0.999996 0.999995 0.999960 0.999995 1.000000 1.000000 0.999982 0.999891 0.999978 0.999996 0.999840 0.999996 1.000017 1.000000 0.999812 0.999972 0.999999 0.999996 1.000000 1.000000 1.000000 1.000000 0.999642 1.000000 1.000000 1.000000 0.999986 0.999999 0.999999 0.999679 0.999999 0.999673 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999997 1.000066 0.999554 1.000000 0.999999 0.999723 0.999996 0.999971 1.000026 1.000000 0.999985 0.999825 0.999927 0.999707 0.999951 0.999993 0.999994 0.999538 1.000032 0.999998 0.999999 0.999999 0.999456 1.000127 1.000000 1.000000 1.000000 0.999973 1.000000 0.999824 0.999996 0.999958 0.999192 0.999996 0.999757 0.999954 1.000000 0.999999 0.999999 0.999999 0.999999 0.999729 0.999997 0.999791 1.000000 0.999337 0.999999 0.999998 1.000000 0.999999 0.999995 0.999997 0.999997 0.999620 1.000000 0.999334 0.999450 1.000000 0.999652 1.000000 0.999650 0.999405 0.999322 0.999999 1.000000 0.999941 0.999999 0.999995 1.000008 1.000000 1.000000 0.999999 0.998368 0.999686 1.000000 0.999999 0.999991 0.999999 0.999911 0.999891 0.999999 1.000000 0.999997 0.999461 0.999997 0.999997 0.999997 0.999998 0.999998 0.999996 1.000000 1.000000 1.000000 0.999999 0.999997 0.999928 0.999998 0.999922 1.000058 0.999994 0.994532
1.000000 1.000000 0.999998 0.999999 0.999999 0.999999 1.000000 1.000000 0.999999 1.000066 1.000072 0.999951 1.000000 1.000000 0.999889 1.000000 0.998749 1.000000 0.999005 1.000000 0.999216 1.000000 1.000000 0.999844 0.999999 0.999999 0.999958 0.999988 1.000001 1.000000 1.000000 1.000000 1.000014 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999474 1.000001 0.999998 0.999998 0.999998 0.999984 1.000037 1.000000 1.000000 0.999993 1.000000 0.999993 0.999999 1.000021 1.000084 1.000000 1.000000 1.000000 1.000000 1.000000 0.999988 0.999999 0.999951 0.999999 0.999912 0.999969 0.999999 1.000000 1.000000 1.000002 1.000000 1.000000 0.999984 0.999670 1.000000 1.000000 1.000000 0.999980 0.999998 0.999998 1.000014 1.000031 0.999998 0.999998 0.999998 0.999991 0.999998 1.000000 1.000000 0.999985 0.999905 0.999979 0.999998 0.999891 0.999999 1.000026 1.000000 0.999803 0.999980 1.000000 0.999998 1.000000 1.000000 1.000000 1.000000 0.999610 1.000000 1.000000 1.000000 1.000010 0.999999 0.999999 0.999632 1.000000 0.999629 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999999 1.000064 0.999511 1.000000 1.000000 0.999707 0.999998 0.999975 1.000012 1.000000 1.000009 0.999914 0.999989 0.999664 0.999970 0.999994 0.999996 0.999650 1.000022 0.999999 0.999999 0.999999 0.999447 1.000136 1.000000 1.000000 1.000000 0.999972 1.000000 0.999864 0.999998 0.999961 0.999084 0.999998 0.999744 0.999992 1.000000 1.000000 1.000000 1.000000 1.000000 0.999763 0.999999 0.999802 1.000000 0.999252 0.999999 0.999999 1.000000 0.999999 0.999998 0.999999 0.999999 0.999592 1.000000 0.999296 0.999423 1.000000 0.999643 1.000000 0.999756 0.999540 0.999459 1.000000 1.000000 0.999929 1.000000 0.999998 1.000027 1.000000 1.000000 1.000000 0.998169 0.999664 1.000000 1.000000 0.999985 1.000000 0.999905 0.999909 0.999999 1.000000 0.999999 0.999730 0.999999 0.999999 0.999999 0.999999 0.999999 0.999998 1.000000 1.000000 1.000000 1.000000 0.999999 0.999933 0.999999 0.999919 1.000058 0.999998 0.993619
