NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-1454.438365 -1476.580026 -1055.365352  -685.241102  -694.011185     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1299.537795 -1561.609959 -1022.121561  -682.971266  -650.630305     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -938.802147 -1828.175338  -938.090974  -626.504243  -598.395841     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -943.158326 -1722.059630  -958.931374  -620.787209  -604.086955     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -955.654938 -1589.534011  -954.613257  -621.250356  -597.066444     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1097.870693 -1612.559804 -1007.638156  -634.761010  -623.293266     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1159.978364 -1667.316288 -1062.220826  -656.324366  -664.920381     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1234.919067 -1921.265811 -1112.893438  -669.522211  -679.726382     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1250.537642 -2001.129122 -1090.734980  -665.711758  -684.941024     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1249.438432 -2113.117274 -1080.502629  -670.390002  -684.286330     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1261.994694 -2125.930585 -1077.112249  -668.766355  -688.627389     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1252.359170 -2131.030919 -1075.484194  -652.722958  -676.455830     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1247.716666 -2134.302920 -1065.783152  -670.523846  -679.596656     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1238.870508 -2150.657145 -1072.947840  -668.605585  -678.795504     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1217.692138 -2198.099385 -1072.167724  -658.361989  -678.811999     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1229.197763 -2164.476584 -1058.050379  -667.513683  -703.619504     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1201.884438 -2130.742362 -1050.531093  -658.892752  -707.210310     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1061.991576 -1985.374575 -1059.152910  -654.665754  -649.053588     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1057.029215 -1865.709811 -1036.888640  -664.157818  -670.256738     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1045.170270 -1814.467820 -1068.182457  -666.499372  -679.066777     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1034.867681 -1820.599407 -1066.752936  -672.697334  -669.228944     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1369.001737 -1735.038013 -1232.371998  -723.758056  -737.043806     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1284.398003 -1674.897448 -1213.313646  -730.216333  -690.092927     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1378.059961 -1531.741530 -1231.156635  -718.967588  -678.139249     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
