NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
247.302293   0.000000  61.437334 -36.333390 167.342135   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
196.162615   0.000000  57.576883 -17.179399 154.486436   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 83.645976 295.393914  58.811070   0.833165 147.253703   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 92.756239 258.884877  71.893995   4.120854 145.582575   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 88.607275 218.313178  65.098028   1.264245 143.023079   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
146.043943 205.036922  82.195081  -2.960556 151.920055   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
113.117015 207.867409  95.212835  -4.535058 174.218560   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
142.607984 335.121887 113.037429   0.654917 179.458993   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
148.083582 371.383523 107.718529   0.728467 181.996445   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
146.109959 404.372377 105.012552   0.826236 186.031274   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
151.232850 468.431573 100.520730   0.627313 184.799042   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
147.137754 470.981023 100.894409   0.359085 177.109702   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
143.395656 473.268862  97.782821   0.967616 179.625522   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
142.880612 472.067968 100.603261   0.993724 178.753438   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
132.349710 511.137340  98.601457   1.166704 178.075426   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
138.322332 493.611177  92.197949   1.166077 192.540085   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
128.891366 469.600028  91.558096   1.075489 194.929882   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
122.808200 347.731215  92.684578   1.315768 180.029057   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
114.378899 362.095885  85.903734   1.268902 191.401841   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
108.469903 339.712993  98.023192   1.422959 194.801916   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -0.265003 339.922571  96.821642   1.343843 188.637994   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
121.321386 237.364143 187.025837  18.620212 197.647300   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 26.937119 215.121736 177.996488  13.988502 167.291567   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
240.328203   0.000000 188.200819  15.855272 170.492048   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
229.872599 103.510979 179.005798  17.401659 166.928456   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
218.119296 141.582734 168.799932  12.082426 168.499316   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
214.076744  89.491483 154.287413  12.071072 178.888997   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
195.019214 157.195757 160.307590  12.062517 168.151291   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
207.188979 158.228028 162.830013  12.085188 157.087237   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
203.453937 169.567038 173.278144  11.318741 169.700872   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
322.665344 320.218452 154.480456  37.480807 189.114412   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
401.627766 369.892197 258.809225  43.461237 218.442176   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
282.952812 299.659366 179.854844  56.910723 215.426730   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
187.055466 261.994001 115.557821   1.753480 197.402375   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
174.903453 288.809292 110.529253   1.685912 194.399786   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
159.826951 301.859742 108.429764   1.934126 192.242355   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
154.353741 293.354411 103.297183   1.661626 203.792619   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
157.873511 273.287293  97.886957   1.648572 196.474901   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
148.986092 248.954446  98.052487   1.667882 213.639554   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
