NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 -197.164329  1026.523426    79.842142 -1020.357518  -899.814010     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -219.800913  1017.424113    52.846454 -1033.505857  -947.960640     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -202.745839  1275.938583    14.238670 -1040.092928  -956.515752     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -195.203506  1322.132296    22.354918 -1042.468567  -954.514503     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -222.061131  1414.553920    11.128433 -1047.096310  -996.540667     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -218.462827  1228.204281    25.688878 -1060.897180  -925.459006     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -170.439278  1295.609604    71.201951 -1056.920107  -873.835997     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -134.129368  1169.701873   100.159215 -1063.097608  -655.531082     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -120.520084   936.735756   106.811148 -1059.099818  -490.198734     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -108.932237   485.085900   132.124297 -1058.568342  -292.577386     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -108.483139   430.179493   132.884296 -1057.769238  -218.434030     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -109.721603   456.800477   129.724604 -1053.021703  -267.029834     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -109.435147   445.756776   138.054732 -1058.540922  -267.881769     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -109.951233   405.931942   138.763974 -1059.994669  -265.362806     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -113.135137   415.275246   132.103818 -1059.901881  -313.785012     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -119.938859   624.426014   113.424598 -1061.699486  -410.308969     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -135.632167   779.259458    99.567694 -1060.989067  -604.631602     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -164.973564   717.986706    64.434455 -1067.319508  -755.653086     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -185.316580   238.800710    52.874605 -1072.922898  -873.123253     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -191.599614   117.144396    51.334120 -1077.137844  -858.809381     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -205.451645    65.603189    49.266119 -1085.594620  -826.696168     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
