NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
  0.000000 -30.644634  16.536989   0.000000 -56.791044   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000 -12.294810  16.989312   0.000000 -57.557639   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000   3.543238  19.615758   0.000000 -59.857423   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000  14.648367  18.677425   0.000000 -59.474126   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000 -23.731994  20.304924   0.000000 -59.474126   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000 -33.623264  17.918169   0.000000 -56.791044   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000 -29.976615  18.210753   0.000000 -57.818603   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000 130.096982  13.515256   0.000000 -57.060831   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000  44.476901   6.241084   0.000000 -45.282267   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000 112.152415   6.615849   0.000000 -39.015981   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000  65.032003   6.209300   0.000000 -39.003493   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000  58.815027   6.474245   0.000000 -40.865343   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000  58.888983   6.894719   0.000000 -40.865343   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000  90.600113   6.071740   0.000000 -40.865343   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000 102.847209   5.210417   0.000000 -40.865343   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000  48.119384   5.679331   0.000000 -41.076204   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  0.000000  98.729755   9.462447   0.000000 -56.179518   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
