NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
0.998310 7.862672 4.591565 2.033251 3.303683 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.083329 8.810053 4.815926 1.992765 2.840756 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.063193 7.276840 5.247609 1.837230 2.763621 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.064647 7.518140 5.262327 1.823578 2.775204 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.067048 7.623047 5.027758 2.059093 2.910287 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.162915 6.993726 5.327505 2.505550 3.435416 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.265893 7.337535 5.347033 2.649008 2.446234 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.367161 7.565872 5.214753 2.679929 2.475596 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.441351 7.959304 5.334073 2.691258 2.449631 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.395257 7.350084 5.396957 2.648742 2.370181 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.458074 6.857443 5.415341 2.635188 2.538824 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.444028 6.764491 5.378126 2.650892 2.362430 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.445705 6.743547 5.389240 2.666915 2.335122 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.420783 6.846448 5.332083 2.682074 2.275843 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.386463 7.042633 5.309090 2.952123 2.256616 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.387055 7.454448 5.362751 2.815968 2.551669 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.385478 7.502483 5.420079 3.012034 2.560361 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.262591 7.562379 5.320935 3.064337 2.354987 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.305586 4.736183 5.472176 3.078456 2.400574 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.267310 3.965406 5.392676 3.057741 2.801848 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.231711 3.956102 5.397759 2.895383 3.450328 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.519279 7.994918 5.305801 2.834990 2.194711 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.210115 7.199614 5.333124 2.834642 3.276905 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.212078 8.211439 5.589629 2.842284 2.889514 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.052640 6.428931 5.589920 3.004431 3.695521 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.118019 6.734348 5.460258 2.925061 3.467229 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.137032 6.378732 5.391268 2.960786 3.419331 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.085959 6.673087 5.356323 2.985526 3.074565 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.118911 6.696299 5.493311 2.972530 2.870320 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.173615 6.447684 5.595844 3.003643 3.569788 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.250156 5.420838 5.390681 2.636325 2.650078 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.162959 5.194306 4.061893 2.653918 2.548105 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.210302 5.678252 4.212551 2.915725 3.051520 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.312183 5.878923 5.123566 3.113927 2.075055 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.467636 6.188907 5.409030 3.058943 1.595393 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.442517 6.346646 5.500023 3.228137 1.530302 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.441575 6.352906 5.391040 3.171882 1.690335 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
