Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 -45.434672   -2.804091    0.149536    2.559815    1.414110    0.637052    2.706296    0.438983    0.411052    0.484265   -0.404116   -0.026575   -0.019243    0.959184    0.186911    1.518260  -54.335858    1.051832  -87.481448   -0.023167  -12.459739   -0.023265    0.536361    4.101966   -0.188676   -0.055408   -0.018459    0.514653    0.086276    0.000900    0.015744    0.016576   -0.005269   -0.002457    0.022188    0.013021    0.015901    0.028473    2.492942 -164.449619   -5.131684   -0.131618   -0.019673   -0.023915    0.132559    0.979942    0.196270    0.674350    0.172986    0.328762    0.321879    0.063733    0.085190    0.336077   -0.734495    0.568180    0.233005    0.384337    0.100695    0.977624    0.440331    0.985642    0.377285   -0.007289    2.432371    2.188814    0.266695    0.165524    0.081829    1.099098    0.682702    0.155692  -32.979143   -6.113777   -0.002020   -0.001264    0.223562    0.326657    0.731466    0.272554    1.624304    0.309257    0.179097    0.536525    0.282663    0.252747   -0.718090    0.034881   -0.107874   -1.048819  -79.085059    0.090807   -0.530549   -2.730829   -0.007768    3.594680    0.900500    0.054994    1.257210   -0.013301   -0.011721    0.207096    0.017575    0.425419    1.723189    0.158025    0.042130   -0.360515    0.098312    4.803522    0.901279  -33.494353    0.878297    3.195518    1.320480    0.129279    0.222851    2.431955    0.062468    0.297945    1.402061    0.272218    0.736577    1.162533    0.613607    1.245974   -0.009892    0.032950    0.054395   -0.047279    0.174535  -44.139175    0.018019    0.293981   -0.036769   -0.161672    0.291287   -1.899470    0.023318    0.585623    0.225877    0.398576    1.944438   -0.060869   -0.809684   -0.338877    0.828766    0.074857    0.428132    0.757502   -0.008210    0.379240    3.115325   -0.246904   -0.013648   -0.075019   -0.034800    0.227367    0.202832    0.189667    0.038819    1.898339    0.330162    1.388194   -0.002874   -0.325319   -0.006575   -0.005576   -2.983451   -0.004009    1.160072    0.379200    0.161383    0.016113    0.082680    0.819066    0.698182    0.080521    0.444731   -0.019963   -0.650293   -2.471820  -81.988502    0.095839    0.482903    0.074133    0.221839    1.832945    0.089876    1.844918   -0.267925    0.145309   -1.494112    0.172420    1.137952    0.388051    0.094537    0.586970    0.595281   -0.547103   -0.456602    0.814835    0.470833    7.651366    1.437906    0.118721    0.759085   -0.154726   -0.389394    0.331234   -0.007895   -0.002591    0.000580    0.374099    0.705656   -0.018663    1.059875    0.420462   -0.001648    0.293639 -806.256412
 -85.430742   -5.423695    0.097771    1.970365    1.170696    0.521052    2.256958    0.339014    0.339727    0.397855   -0.398951   -0.026270   -0.045456    0.758777    0.044272    1.178352  -55.171598    0.786043  -84.472266   -0.021211   -0.620098   -0.016072    0.043507    3.387079   -0.176704   -0.049972   -0.024177    0.269618    0.045488   -0.006107    0.009930    0.010152   -0.029641   -0.001767    0.016833    0.010716    0.012427    0.000000    1.670704 -152.515370   -5.970433   -0.516113   -0.156463   -0.173222    0.115071    0.845081    0.146918    0.410171    0.136665    0.258463    0.210054    0.041684    0.073966    0.291719   -2.296290    0.381625    0.183023    0.286841    0.078415    0.638290    0.286732    0.640995    0.306750   -0.009551    2.074302    1.817787    0.180153    0.131291    0.066542    0.847733    0.473539    0.112168  -14.013949   -9.418787   -0.001292   -0.000534    0.128042    0.171649    0.385648    0.142784    0.853473    0.163029    0.095971    0.281911    0.148527    0.132807   -4.681577    0.078511   -0.096652   -1.014199  -73.199297    0.046998   -0.628658   -2.885826   -0.103665    2.637246    0.843192    0.043757    0.967166   -0.041150   -0.004594    0.162263    0.016575    0.298494    1.160294    0.147542    0.034555   -0.626627    0.030275    3.950951    0.734583  -28.762316    0.660900    2.334349    1.007593    0.101972    0.166039    1.770372    0.057836    0.290308    0.914500    0.177025    0.509311    0.811775    0.473996    0.925805   -0.026208    0.028599    0.035588   -0.071975    0.091712  -46.336176    0.009440    0.216264   -0.118539   -0.158146    0.251418   -2.201479   -0.027082    0.496959    0.195091    0.324315    1.436276   -0.148549   -1.341525   -0.532798    0.599585    0.056153    0.307954    0.494275   -0.268535    0.247949    2.538711   -1.961706   -0.022703   -0.396370   -0.039453    0.172179    0.157879    0.150300    0.031222    1.239382    0.215645    0.907412   -0.002652   -0.360535   -0.008614   -0.005506   -5.846075   -0.005256    0.609587    0.247287    0.105410    0.013082    0.057813    0.765408    0.627081    0.067945    0.425211   -0.019601   -0.759845   -2.840393  -79.773351    0.076546    0.311577    0.060013    0.175823    0.966321    0.047084    1.378983   -0.296875    0.112735   -1.689077    0.125707    0.808468    0.292908    0.070894    0.497362    0.387972   -0.780616   -0.646208    0.643314    0.306239    4.968590    0.938448    0.077443    0.494035   -0.143747   -0.361617    0.215452   -0.007221   -0.000268    0.001791    0.297703    0.460400   -0.017844    0.919676    0.348699   -0.001174    0.153833 -612.878108
-250.155110   -6.056193    0.041851    0.269345    0.083206    0.023804    0.214561    0.050414    0.015207    0.013727   -0.416010   -0.026337   -0.179872    0.161096    0.203782    0.186335  -53.279150    0.028476  -70.109554   -0.022396   -0.712577   -0.020372    0.557996    0.155334   -0.225093   -0.114346   -0.071225    0.006907    0.001156    0.001853    0.014687    0.016022   -0.309247   -0.077940    0.020987    0.012516    0.014973    0.031463    1.629734  -85.620522   -5.173316   -0.172716   -0.037860   -0.036749    0.028934    0.262770    0.006181    0.057252    0.028412    0.050127    0.089221    0.017868    0.025389    0.100070   -2.337135    0.081217    0.035887    0.050373    0.074185    0.271641    0.120697    0.268347    0.003588   -0.007973    0.588340    0.215007    0.031288    0.032534    0.064709    0.189658    0.462096    0.109731   -5.049133  -21.532910   -0.033425   -0.093194    0.028614    0.004365    0.009774    0.003627    0.021312    0.004019    0.006177    0.006983    0.003751    0.003345   -4.504578    0.004565   -0.282071   -1.425973  -50.754426   -0.003040   -0.565608   -2.742893   -0.028273    2.089835    0.715574    0.043099    0.952275   -0.019703   -0.126022    0.028776    0.016777    0.305312    1.074487    0.144806    0.038161   -3.646092    0.054571    0.167200    0.017150   -5.862633    0.651112    2.061827    0.751593    0.072360    0.117353    0.059364    0.058453    0.251207    0.387628    0.074099    0.497645    0.794768    0.070373    0.909703   -0.013044    0.009783    0.015274   -0.502115    0.002327  -55.510611    0.000242    0.212876   -0.044180   -0.172472    0.080236   -1.956804   -0.000000    0.105991    0.063371    0.319314    1.411698   -1.626514   -6.878969   -2.314204    0.589343    0.055042    0.300670    0.209837   -0.051408    0.106105    0.059940   -0.695018   -0.187981   -0.106147   -1.018202    0.169283    0.155403    0.148051    0.030763    0.527373    0.091913    0.387975   -0.139668   -0.314033   -0.039991   -0.012062   -6.257372   -0.009154    0.015510    0.104730    0.044939    0.009441    0.059172    0.646157    0.553273    0.062115    0.362227   -0.018260   -0.685243   -2.586184  -73.404766    0.075547    0.281350    0.059352    0.174113    0.024258    0.001187    0.053670   -0.259572    0.111270   -1.439122    0.123298    0.690692    0.288992    0.069615    0.067110    0.163917   -0.773367   -0.670013    0.125006    0.128277    2.066928    0.398780    0.032840    0.207498   -0.191839   -0.640445    0.090271   -0.086432   -0.113230   -0.131843    0.293301    0.195388   -0.033198    0.314840    0.015339   -0.054443    0.003946 -359.537385
-193.766449   -6.083268    0.041918    0.310125    0.096637    0.027865    0.247939    0.048873    0.015282    0.013805   -0.576319   -0.033465   -0.066135    0.159770    0.188924    0.197590  -52.942603    0.028666  -72.824380   -0.023829   -0.761130   -0.020324    0.557720    0.143241   -0.737197   -0.283604   -0.391106    0.008608    0.001440    0.001850    0.014648    0.015981   -0.343045   -0.060338    0.020900    0.012471    0.014909    0.031409    1.601023  -61.801712   -5.752959   -0.374444   -0.023169   -0.115313    0.029035    0.262797    0.006865    0.168776    0.028283    0.049339    0.088988    0.017891    0.025317    0.100000   -1.451726    0.146195    0.037791    0.068720    0.073934    0.271305    0.119921    0.266068    0.003606   -0.644550    0.576158    0.202334    0.059017    0.032759    0.064846    0.204221    0.454740    0.108265   -7.080459  -21.119244   -0.030421   -0.109839    0.030125    0.005438    0.012163    0.003606    0.026413    0.004967    0.006094    0.008639    0.004664    0.004156   -4.382306    0.001521   -0.920729   -1.480406  -53.700094   -0.002325   -0.563823   -3.889825   -0.071998    2.081842    0.706761    0.042983    0.946193   -0.185464   -0.068091    0.033333    0.016683    0.302868    1.057381    0.143524    0.037935   -4.583237    0.054186    0.168197    0.022970    1.130555    0.645555    2.029449    0.750435    0.072434    0.117051    0.084269    0.058809    0.247525    0.386195    0.073459    0.489985    0.783302    0.072694    0.900943   -0.063425    0.009741    0.015328   -0.477218    0.002897  -51.488162    0.000302    0.210518   -0.067532   -0.158717    0.080333   -2.163669   -0.000000    0.106601    0.063619    0.319682    1.397489   -1.630502   -8.597655   -2.868899    0.582310    0.054434    0.296243    0.209271   -0.513506    0.106411    0.080299   -1.699062   -0.163069   -0.580006   -0.576625    0.167898    0.154469    0.147462    0.030690    0.526699    0.091901    0.388847   -0.141053   -0.313260   -0.088614   -0.016078   -6.362380   -0.096522    0.019326    0.104325    0.044898    0.010238    0.058727    0.649824    0.548612    0.061459    0.357157   -0.018247   -0.719618   -2.884389  -70.593741    0.075379    0.277935    0.059288    0.173398    0.030105    0.001473    0.046750   -0.259173    0.110635   -1.435799    0.121891    0.679772    0.286535    0.068949    0.075691    0.163075   -1.419662   -4.450511    0.150393    0.127233    2.045391    0.397705    0.032702    0.205969   -0.698320   -0.993521    0.089513   -0.077903   -0.144915   -0.138287    0.292587    0.194710   -0.056828    0.314347    0.015398   -0.063059    0.004919 -337.157219
-189.166061   -4.810402    0.042884    0.301663    0.101505    0.028017    0.249459    0.058734    0.014065    0.013853   -0.443502   -0.029265   -0.049103    0.169719    0.205618    0.204578  -47.760446    0.034721  -61.073329   -0.022650   -0.747122   -0.018294    0.605342    0.143701   -0.359370   -0.079549   -0.134463    0.010387    0.001739    0.001868    0.015818    0.016838   -0.232557   -0.029621    0.021664    0.012908    0.015452    0.034175    1.660857  -54.645343   -5.610779   -0.313036   -0.070725   -0.105017    0.028852    0.266997    0.005558    0.064099    0.029518    0.051611    0.091666    0.018302    0.025731    0.101372   -1.178430    0.086426    0.038679    0.055638    0.075775    0.278898    0.124331    0.276826    0.003621   -0.054227    0.508473    0.155727    0.036499    0.033908    0.065770    0.195563    0.470587    0.111511   -5.509748  -15.474699   -0.011215   -0.075370    0.023696    0.007660    0.014715    0.005466    0.032198    0.006087    0.007952    0.010567    0.005653    0.005043   -3.031318    0.001530   -0.320801   -1.206186  -64.805177    0.001190   -0.542976   -2.855989   -0.045519    2.140093    0.736590    0.043481    0.962127   -0.045256   -0.049515    0.032498    0.017177    0.321254    1.094594    0.148617    0.039385   -2.295629    0.060169    0.153353    0.023075   -0.699435    0.658117    2.099160    0.767665    0.073700    0.119930    0.129343    0.060719    0.258344    0.398509    0.076443    0.506368    0.807573    0.076626    0.921153   -0.015821    0.009927    0.015634   -0.339305    0.004086  -54.088301    0.000425    0.215437   -0.069563   -0.187144    0.081545   -2.036571    0.002991    0.105484    0.064409    0.321620    1.429432   -1.104769   -4.273806   -0.921329    0.597079    0.055836    0.305963    0.215623   -0.191214    0.108712    0.080605   -0.892338   -0.113971   -0.281124   -0.269569    0.171285    0.157046    0.149457    0.031038    0.541500    0.094319    0.397655   -0.094493   -0.328036   -0.027920   -0.036567   -5.039815   -0.034184    0.023328    0.107696    0.046115    0.011268    0.062242    0.675937    0.570326    0.064483    0.372831   -0.018428   -0.675071   -2.596224  -75.986339    0.076107    0.285704    0.059702    0.175235    0.036606    0.001792    0.065321   -0.270519    0.112244   -1.520096    0.125047    0.702671    0.291870    0.070521    0.076168    0.168678   -1.595809   -1.358048    0.146241    0.132312    2.135745    0.409676    0.033758    0.213866   -0.240893   -0.647506    0.093105   -0.054838   -0.096378    0.000000    0.295799    0.200800   -0.030048    0.319300    0.014181   -0.042354    0.006920 -464.051659
-229.116802   -2.913405    0.043789    0.264633    0.082899    0.023123    0.207720    0.048835    0.006741    0.004871   -0.431331   -0.027773   -0.103545    0.175060    0.242913    0.185317  -50.807083    0.026148  -72.419381   -0.030241   -1.007577   -0.031252    0.706467    0.055117   -0.261896   -0.095912   -0.055590    0.008704    0.001459    0.002884    0.016518    0.018908    0.000000   -0.023846    0.025756    0.014957    0.018363    0.037821    1.913598 -118.580936   -5.392057   -0.241879   -0.044152   -0.050674    0.027580    0.283285    0.006889    0.053415    0.032142    0.056943    0.093973    0.018651    0.021561    0.072280   -1.396160    0.085947    0.038699    0.046050    0.084429    0.285792    0.128058    0.285878    0.000000   -0.009795    0.252148   -0.147739    0.031027    0.035551    0.070378    0.210769    0.537299    0.125114   -6.285686   -9.170980   -0.008723   -0.009346    0.010819    0.006606    0.012362    0.004603    0.032707    0.005181    0.009319    0.010771    0.005709    0.005100   -1.447798    0.006212   -0.437163   -1.541514  -73.012811    0.001525   -0.565758   -2.841424   -0.022019    2.928535    1.016582    0.046064    1.034317   -0.026467   -0.061665    0.025639    0.019916    0.490794    1.346029    0.180212    0.048832   -0.390550    0.117503    0.064596    0.018223   -9.121802    0.712055    2.649705    1.099431    0.108416    0.181357    0.102344    0.070313    0.343571    0.408914    0.078937    0.575703    0.910023    0.070481    1.008279   -0.016194    0.009127    0.015946   -0.137495    0.003528  -37.900754    0.000305    0.235759   -0.076597   -0.179731    0.086433   -1.981951    0.031417    0.098722    0.068327    0.336615    1.566179   -0.305064   -0.878726   -0.386249    0.658765    0.061635    0.346172    0.221176   -0.060190    0.111215    0.063447   -0.506762   -0.055663   -0.153859   -0.423322    0.186079    0.168559    0.158912    0.032781    0.555000    0.096617    0.406979   -0.025163   -0.242548   -0.023167   -0.008916   -2.988340   -0.009742    0.023464    0.110589    0.047177    0.017418    0.094858    0.921284    0.783729    0.091870    0.508844   -0.019281   -0.686739   -2.599567  -80.708396    0.080021    0.369572    0.062104    0.183575    0.030909    0.001515    0.040249   -0.207832    0.119507   -1.042975    0.138479    0.917924    0.314357    0.077228    0.062249    0.173354   -0.562014   -0.489887    0.100895    0.136638    2.213744    0.419782    0.034592    0.220461   -0.214925   -0.589634    0.096079   -0.026054   -0.005171    0.000000    0.312919    0.205807   -0.023816    0.294343    0.006788   -0.005207    0.004966 -566.095363
-227.169478   -2.881566    0.044507    0.295762    0.067266    0.019866    0.180166    0.050556   -0.017644   -0.021277   -0.460848   -0.029364   -0.034271    0.180153    0.174254    0.183312  -57.371433    0.021710  -88.012113   -0.028560   -3.420379   -0.025335    0.502841   -0.180553   -0.316127   -0.150668   -0.050486    0.006989    0.001172    0.001002    0.013026    0.016165   -0.014115   -0.010672    0.024530    0.014231    0.017548    0.028965    2.291320  -68.672818   -5.503902   -0.283602   -0.046932   -0.056800    0.026090    0.298505    0.006180    0.063528    0.033174    0.060665    0.095677    0.018919    0.011172    0.032774   -0.805166    0.092539    0.040390    0.047505    0.091601    0.291042    0.130711    0.292230   -0.018037   -0.120664   -0.000000   -0.326584    0.031391    0.036001    0.074111    0.219352    0.637833    0.145933   -0.078304   -7.256905   -0.005004   -0.004765    0.003443    0.004422    0.009944    0.003708    0.022037    0.003153    0.008886    0.007274    0.003832    0.003426   -0.980887    0.017585   -0.760782   -1.841595  -81.649513    0.002171   -0.570230   -3.065369   -0.028505    3.326354    1.089150    0.050476    1.151029   -0.042264   -0.024814    0.025082    0.019755    0.490808    1.536869    0.185628    0.047585   -0.584939    0.109571   -0.211131    0.015980  -19.015071    0.798136    3.018663    1.232403    0.120409    0.207020    0.124119    0.071520    0.374457    0.416471    0.080680    0.679811    1.064544    0.071625    1.143628   -0.029867    0.004970    0.014585   -0.078219    0.002364  -20.951972    0.000245    0.267957   -0.082673   -0.198829    0.090959   -2.020500    0.023407    0.090732    0.071904    0.363901    1.778229   -0.095667   -1.330907   -0.614380    0.754551    0.069889    0.407946    0.225297   -0.079955    0.077422    0.055455   -0.795068   -0.021381   -0.205240   -0.137784    0.209475    0.187452    0.174925    0.035825    0.565288    0.098411    0.355902   -0.009781   -0.174301   -0.016656   -0.007892   -3.046040   -0.011710    0.015704    0.112700    0.047978    0.016703    0.094541    0.979211    0.816837    0.096369    0.554505   -0.014247   -0.700074   -2.667074  -81.866414    0.086989    0.414391    0.066773    0.199000    0.024948    0.001223    0.048951   -0.148127    0.131698   -0.724181    0.159070    1.049814    0.350972    0.087752    0.056060    0.176694   -0.346885   -0.507793    0.095871    0.139696    2.268615    0.427182    0.035178    0.225103   -0.369937   -0.722660    0.098152   -0.014616   -0.005304   -0.002583    0.342301    0.209411   -0.034548    0.160872   -0.017713   -0.002662    0.003986 -506.135590
-307.789028   -8.266146    0.044947    0.281860    0.059486    0.016013    0.166620    0.049112   -0.010776   -0.012806   -0.480757   -0.030317   -0.095229    0.191150    0.049096    0.185629  -54.001120    0.037802  -92.833046   -0.029429   -8.256944   -0.026104    0.094615   -0.153852   -0.379706   -0.128287   -0.050589    0.007000    0.001174   -0.085734    0.006726    0.010631   -0.271158   -0.075717    0.020346    0.012160    0.014627    0.002725    2.431661  -67.081663   -5.550530   -0.302046   -0.052268   -0.071451    0.026325    0.308321    0.006120    0.057851    0.033253    0.061133    0.096563    0.019072    0.010263    0.029964   -1.821113    0.089584    0.040900    0.046505    0.094743    0.293993    0.131948    0.295044   -0.011637   -0.036608   -0.097116   -0.406094    0.030845    0.038146    0.075085    0.230741    0.676003    0.153759  -22.773427  -21.699207   -0.024295   -0.090802    0.002082    0.004430    0.009044    0.003719    0.016602    0.003172    0.008950    0.005486    0.002882    0.003437   -4.530792    0.031328   -0.839323   -1.931847 -100.529699    0.002187   -0.575076   -2.952971   -0.021786    3.474518    1.123883    0.052109    1.191413   -0.035198   -0.101897    0.025361    0.018620    0.468906    1.581090    0.179742    0.042596   -4.192458    0.090382   -0.159102    0.009969  -19.738375    0.826399    3.141549    1.277363    0.124543    0.216081    0.071585    0.067748    0.386456    0.420224    0.081441    0.718191    1.119693    0.069490    1.190675   -0.022948    0.004628    0.013923   -0.406998    0.002369  -27.662505    0.000245    0.278706   -0.084435   -0.214870    0.094059   -2.077124    0.013905    0.093113    0.074730    0.375176    1.850804   -1.195199   -7.945537   -1.694042    0.787014    0.072383    0.432121    0.227469   -0.075854    0.073606    0.023026   -0.811488   -0.108724   -0.199804   -1.019342    0.217719    0.194214    0.180748    0.036964    0.571092    0.094505    0.339265   -0.128649   -0.207316   -0.013348   -0.011119   -8.915622   -0.011445    0.015729    0.113762    0.048417    0.015360    0.090144    0.989496    0.816545    0.095778    0.569685   -0.015860   -0.705804   -2.670229  -85.079145    0.089429    0.419599    0.068334    0.203513    0.025041    0.001228    0.055968   -0.175784    0.135649   -0.865061    0.166414    1.088395    0.362559    0.091550    0.054171    0.178272   -0.518890   -0.419989    0.098479    0.141087    2.293011    0.430952    0.035442    0.227183   -0.306053   -0.788051    0.099048   -0.086639   -0.083350   -0.000000    0.353128    0.211155   -0.034690    0.150481   -0.010916   -0.054775    0.003991 -180.498906
-383.885323  -10.024593    0.044720    0.287917    0.063772    0.015823    0.165513    0.052979   -0.026888   -0.036058   -0.473014   -0.029445   -0.179678    0.184152   -0.000000    0.189620  -54.837632    0.026423  -88.671299   -0.027829   -9.972841   -0.026258   -9.335949   -0.195270   -0.353056   -0.119429   -0.059788    0.006994    0.001173   -0.027225    0.004578    0.008579   -0.288524   -0.065052    0.017473    0.010826    0.012993   -0.357458    2.450090  -72.590585   -5.580216   -0.316710   -0.054137   -0.060142    0.025967    0.305851    0.005243    0.053377    0.034055    0.062013    0.096081    0.018992    0.010201    0.029741   -4.034206    0.093917    0.040520    0.048201    0.094278    0.292427    0.131249    0.293425   -0.030343   -0.032603   -0.045888   -0.371987    0.033603    0.037196    0.074288    0.224794    0.682550    0.155212  -23.132905  -22.688185   -0.022818   -0.091592    0.002073    0.004426    0.009953    0.003712    0.016558    0.003161    0.008912    0.005468    0.002877    0.003431  -37.959441    0.043103   -0.751642   -1.854769  -98.737450    0.002178   -0.575050   -2.918121   -0.027143    3.466532    1.046291    0.051908    1.189783   -0.029901   -0.119174    0.023362    0.017914    0.281427    1.557507    0.169292    0.036694   -4.965978   -1.666601   -0.329850    0.009825  -20.034029    0.826513    3.141638    1.290217    0.126346    0.218583    0.062142    0.064160    0.372957    0.418152    0.081000    0.722619    1.124580    0.073097    1.191991   -0.020583    0.004518    0.013848   -0.540701    0.002366  -26.240278    0.000245    0.280155   -0.084538   -0.212498    0.093223   -2.056085   -0.525712    0.091332    0.073588    0.371433    1.852624   -2.219619   -7.589535   -2.454659    0.790029    0.071839    0.438796    0.226291   -0.087318    0.073151    0.034039   -0.722832   -0.254205   -0.205210   -1.276019    0.218004    0.194521    0.180664    0.036909    0.568011    0.093151    0.337189   -0.128403   -0.236087   -0.024173   -0.009410   -9.364362   -0.012809    0.015714    0.113177    0.048183    0.008469    0.053954    0.908884    0.722198    0.076999    0.540795   -0.017054   -0.707163   -2.682944  -85.937243    0.088963    0.402237    0.067955    0.203159    0.024986    0.001225    0.046047   -0.199779    0.135403   -1.027884    0.166988    1.080494    0.362990    0.091973    0.053612    0.177385   -0.346176   -0.451944    0.094940    0.140294    2.278985    0.428885    0.035291    0.225992   -0.292184   -0.762625    0.098528   -0.084657   -0.129010   -0.124617    0.351385    0.210184   -0.031423    0.146612   -0.029532   -0.060989    0.003988  -28.768532
-540.458913  -10.642757    0.043349    0.281293    0.063141    0.017900    0.172291    0.048785   -0.022711   -0.024638   -0.466337   -0.029816   -0.244581    0.189584    0.017423    0.188837  -59.810286    0.026757  -86.947600   -0.027122   -5.870291   -0.025877  -13.577342   -0.273020   -0.365068   -0.143056   -0.033784    0.007002    0.001175   -0.085150    0.005801    0.009637   -0.280362   -0.068744    0.020648    0.012161    0.014710   -0.723717    2.428992  -72.615179   -5.569297   -0.273900   -0.049493   -0.071193    0.025833    0.304012    0.006994    0.065935    0.034112    0.062929    0.096491    0.019045    0.008756    0.024801   -4.810562    0.091841    0.039916    0.047319    0.097774    0.293532    0.131992    0.295313   -0.019537   -0.038747   -0.143038   -0.368209    0.031886    0.037394    0.075464    0.225127    0.679906    0.154936  -23.316012  -20.562359   -0.032838   -0.072140    0.002084    0.004431    0.009970    0.003720    0.016612    0.003175    0.008958    0.007320    0.002883    0.003439   -8.461503    0.053834   -0.805905   -1.856424  -96.151286    0.002189   -0.575532   -2.976176   -0.021799    3.636607    1.249008    0.051555    1.180072   -0.038755   -0.116700    0.026406    0.019467    0.622389    1.633913    0.192921    0.046601   -4.441286    0.156998   -0.208288    0.009743  -20.608843    0.819092    3.286182    1.329292    0.128268    0.219831    0.057076    0.069508    0.416697    0.420096    0.081526    0.716320    1.113142    0.069318    1.181028   -0.022733    0.004042    0.012653   -0.550298    0.002370  -27.881852    0.000245    0.278797   -0.077059   -0.209503    0.092559   -2.041611    0.053059    0.089335    0.073351    0.369945    1.834522   -1.003978   -2.782751   -1.517555    0.783641    0.073577    0.441845    0.227263   -0.083377    0.065706    0.033793   -0.684466   -0.161364   -0.192932   -0.636825    0.216343    0.193399    0.179524    0.036646    0.560666    0.086023    0.306697   -0.139455   -0.213735   -0.020637   -0.007199  -11.819727   -0.011275    0.015733    0.113711    0.048358    0.023335    0.118683    1.130384    0.950050    0.114939    0.619301   -0.015499   -0.708797   -2.661506  -85.286498    0.088457    0.449737    0.067676    0.202034    0.025054    0.001229    0.042937   -0.180942    0.134386   -0.919034    0.165598    1.113796    0.360165    0.091497    0.054933    0.178304   -0.446032   -0.380354    0.098058    0.141178    2.295264    0.430723    0.035462    0.227352   -0.299728   -0.744137    0.099159   -0.061007   -0.134228    0.001860    0.349071    0.211143   -0.030230    0.131047   -0.018044   -0.058898    0.003992    0.000000
