Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
  -382.862840    -38.772615    638.614115  14033.103767   8024.257419   3699.190718  15065.652264   2395.133224     -0.000000     -0.000000     -2.526784     -0.177722     -0.057730   4852.261282      7.052282   8195.323574   -117.710804   6233.646889   -120.910341     -1.095787    -56.205401     -1.329601     20.237320     -0.000000     -1.331455     -0.457114      0.000000   3036.021022    508.964534      0.077666      0.625821      0.482707      0.200236     -0.160948      0.509367      0.292565      0.357255      1.043996  87372.020291 173325.049900     -4.410041      0.000000      0.000000      0.000000    633.857058   4226.835399     -0.020017   3780.060852    876.394364   1687.691533   1379.120618    272.165214    354.432966   1397.423812    -17.063458   2963.025903   1195.863385   2071.368976   2883.737075   4184.447620   1893.422662   4247.505787      0.000000      0.000000  11495.272547     -0.654737   1447.137916    805.676032   1854.873335   5507.309134  22376.505114   4684.117250  85482.897446   -787.665096     -0.010538     -0.000000   1198.852659   1920.566119   4315.257702   1607.983641   9552.453184   1825.064908   1030.182727   3155.671240   1662.048093   1486.204363    -37.636339     -1.031163     -2.299676     -7.212532    -36.964900      0.000000     -0.576972     -4.622498      0.000000  96689.815841     17.200561   1208.387845  30977.857265      0.000000     -0.757156   1116.175914      0.325932      7.153120  64911.529124      2.915555      0.872341    -34.525364     -0.292479     -0.000000   5318.819474  54606.136559  23200.591590 103011.888849  36179.674193   3114.219928   6237.027778  14316.845337      1.143640      4.796085   6012.732824   1173.212915  24134.436323  37197.131414   3344.292713  34026.974451      0.000000    137.232982    232.010913     -3.389306   1026.204932      0.000000    106.292678   8367.337112     -0.103412     -0.987699   1242.589144     -6.096113     -1.865446     -0.000000    954.982586   8030.188117  53969.262593     -7.631935    -76.194336    -30.537459  24475.099330   2049.038402  13128.517530   3245.867585   7437.815572   1618.581371  18382.024911      0.000000     -0.985005      0.000000     -2.279371   5889.293863   4838.540652   4243.450374    820.184195   8125.350356   1412.000727   5927.185761      0.055090     -6.390199      0.000000     -0.293996    -22.036851      0.000000   6820.537725   1626.546560    690.397111      0.329461      1.390203     16.759352     14.880664      1.733437      7.816828     -0.709797     -1.422516    -11.949706    -46.820012   2084.868665  18526.669412   1542.049948   5009.403864  10814.529801    530.290017  10936.190366     -5.624269   3498.951785    -26.524677   4965.701777  37525.142433  10210.906818   2535.558173     -0.000000   2556.273223      0.000000      0.000000   4382.054878   2028.343781  33046.529480   6160.453855    509.277324   3267.267702     -1.202443     -3.026146     -0.015956     -0.168060     -0.015416      0.049996   8211.993161   3025.318446     -0.253013   4407.787873     -0.000000     -0.107972   1732.217245 -19573.202770
  -420.003449    -40.714522    518.935137  10399.849847   6517.276915   3005.272534  12237.104146   1775.347311   2083.710516   2319.806530     -2.878143     -0.209219     -0.154500   3603.201689      8.522407   6077.112893   -123.971149   4617.031784   -121.032091     -1.315091    -58.702655     -1.527980     23.058667  15947.708681     -1.306351     -0.290744   3222.487060   2466.736117    413.529604      0.105220      0.664800      0.541443      0.207486     -0.164614      0.594835      0.338821      0.414749      1.300813  36870.922115 -56060.958940     -4.372790      0.000000   2272.892515   2484.398538    515.455940   3443.936520     -0.055987   2161.492581    650.958745   1255.151773   1120.984287    221.168191    287.943651   1135.139029    -17.237763   1816.512210    887.003482   1459.933658   1020.441268   3400.864979   1539.487104   3454.147781   1565.257364    503.471741   9335.392108     -0.876092    913.625125    597.848778    779.591913   3986.503433   9438.706050   1974.474610  19829.115398   -812.533128     -0.033789     -0.132525    974.718971   1560.441132   3506.240548   1306.584702   7763.016266   1483.484993    837.510490   2564.856196   1350.507137   1207.673820    -36.809175     -0.865930     -2.266500     -7.725806    -39.141492    371.236328     -0.572021     -4.585457   1594.747401  34861.630778     17.006059    507.759580  13028.904282    469.862330     -0.837865    827.789558      0.357742     10.969653  27371.424909      3.185106      1.063206    -33.775194      1.400196  14721.317551   4320.327296   8971.501863   9763.553852  43425.148931  13736.856890   1308.298499   2624.583666  10596.000913      1.235032      4.409402   4887.710126    954.088717   9692.710331  15683.962782   2478.633489  14320.719760    279.456272    111.495894    188.508420     -3.631011    833.804206      0.000000     86.360457   3524.394656     -0.102571     -1.070527   1011.380832     -6.046334     -0.722179   1863.152212    776.593862   3370.816870  22719.770787     -6.545442    -75.101417    -31.658441  10312.418432    863.045099   5534.893522   2638.323489   6046.914902   1315.093667  14927.831573  28202.915997     -0.974876   5360.897672     -2.564433   2476.128569   2032.348817   1780.916005    329.269982   6603.785751   1147.487964   4816.053118      0.037787     -6.762663   1451.785635     -0.316925    -25.533590    651.880110   5541.576436   1322.217987    561.080190      0.332712      2.124642     17.795746     16.979017      2.104777      7.463815     -0.797101     -1.410275    -11.850659    -46.495112    875.751571   7802.488717    647.409540   1888.188208   8788.112192    430.936038   8102.121005     -6.158028   1334.022345    -27.915083   2090.199647  15822.623350   4269.651428   1066.476650   2127.486588   2078.219087  26211.106445   9110.312223   3250.723898   1649.433201  26878.637804   5007.403501    414.012853   2656.754423     -1.021471     -2.569669     -0.015830     -0.187739     -0.205895     -0.071657   3449.246963   2459.239064     -0.271864   3580.355858   2093.003297     -0.109384   1407.380577  -1912.853009
 -93051.785857   -9292.646746       0.055861     168.311652       0.926217       0.380867       1.052175      40.075095       0.217340       0.261580    -152.430936      -3.122338    -396.786694      65.051569   19359.785030     126.109593     -44.188495      -0.101323     -32.808348      -0.611420     -18.628797      -0.650772   41787.086570       2.219986    -369.768114      -0.063248       0.506281       0.110514       0.018500     598.927185    1474.577654     977.412331    -737.517227    -179.534469     777.126063     440.092802     556.092093    3215.589727      15.090913 -106976.789073   -1595.584446       0.000000       0.022595       0.029368       0.124778       0.261744       0.000000      48.180074      10.017709      20.228031       0.120978       0.024228       0.045621       0.150105   -4136.657133      39.850295      12.705605      31.920209       0.731103       0.371779       0.163657       0.339982       0.205088       0.399957       0.175863    -626.760198      20.525675      10.442873       0.610263      69.442858       4.350904       1.035678      21.447278  -36149.148551     -77.397719    -215.543420       0.032191       0.069836       0.156377       0.044882       0.181155       0.017585       0.009828       0.059359       0.046422       0.028434   -9031.772133   -1211.329569   -1581.734687   -2999.203675  -16591.245122       0.005148    -260.089442    -611.275250       0.019093      24.270581   24245.348453       0.111946     -11.773586       0.014303    -271.336001      16.874127     414.761811   23203.737750      12.040855    4104.953858    1467.638849   -7723.490657    8946.850864       2.606796       0.548793      14.934559     -14.975579      21.503011       8.728733       0.840363       1.362892     277.057082    1598.647655    7557.233702       0.532167       0.081634       2.617481      -2.394626      56.586180     -15.845963       0.000000       0.018917       0.017798   -1067.476714       0.037229       0.000000       0.003876      -2.519258    -108.066850    -119.781201       0.079923    -771.095867   -3212.110956       0.399738       0.164121      -0.962089     -25.428905   -3681.922795  -14246.928920   -4627.741754      -6.974528       0.509675       2.830987       0.280079       0.070827       0.080927       1.918095       0.353758    -411.200723       0.080601   -2338.007002      -3.893515      -3.574266      -3.405167      -0.707544       0.688267       0.116449       0.427430    -325.770984      -5.823413       0.180630     -33.074469   -9661.232238       0.110459       0.300513       0.143338      -0.030467    1470.185044    4487.483552   22650.130500   20428.784721    3255.695101   11901.284285      -0.439855    -194.563771   -1024.723884    -419.266177      -1.737577       3.570467      -1.365099      -4.004608       0.300192       0.014692      -0.175504      -4.823007      -2.559208     -27.546581      -2.835857       7.312440      -6.646808      -1.601136       0.090599       0.224344       2.907694       3.007556      68.509323       0.173935       2.697516       0.545788       0.042859       0.283991    -358.880110   -1852.092463     -89.240755    -185.512894    -262.764811    -314.021044      -3.626271       0.268245     -94.921530       0.608773       0.219219    -125.645814       0.063131       0.000000
-55151.479410 -14916.257939      0.059178    294.584201      1.054227      0.398078      1.652926     10.845440      0.198669      0.239287    -87.465528     -3.661105   -158.531201     47.696181      1.627651    102.743715    -41.414021     -0.101027    -32.708819     -0.702947    -18.571573     -0.785858      4.804971      2.031424   -253.081800   -174.509412      0.463115      0.117063      0.019587    -25.982190      0.162595      0.181447  -1050.438961   -175.818329      0.275350      0.169609      0.207376      0.270599     15.136943     93.021909   -444.360046      0.081162      0.045764      0.059361      0.122242      0.662125     -0.018038    268.980312      8.945998     15.909773      0.134977      0.027138      0.047470      0.156251  -5740.454579    173.222552     20.812211     55.934397      0.679504      0.411517      0.179882      0.375626      0.187511      0.365921      0.358498   -258.760798     66.613541     11.041605      0.587430     86.774065      4.185679      1.002504     20.333681 -45039.784292    -89.437204   -326.770728      0.043586      0.073951      0.127709      0.047332      0.190173      0.035761      0.019943      0.062199      0.048969      0.043638 -11171.385832  -1256.396170   -524.632826   -605.691502  -1863.620245      0.010449    -56.065219   -240.350452      0.038624     22.384495      9.585442      0.254969     -3.625025      0.028932   -169.989185     16.061241      0.220143      3.925167     11.070033      1.893935      0.504701 -12748.454851      0.551708      2.385338      0.574245     14.420684    -14.847765     20.143037      8.068871      0.778831      1.258563      0.000000      0.765691      3.170424      0.584161      0.096299      3.391716      0.272121     37.227174     -9.266838      0.006127      0.021003      0.018032  -1291.373525      0.039395      0.000000      0.004108     -1.452436    -32.143725     -8.903910      0.202402   -188.095968  -5106.546690      0.201781      0.200051      2.269947    -15.807964  -4716.511152 -23501.148886  -7627.496641     -4.017560      0.485485      2.726785      0.295442      0.143671      0.085845      2.007479      0.715077   -451.159481      0.162904  -1643.194673     -3.861660     -3.552777     -3.391632     -0.705875      0.719231      0.120476      0.426425   -421.471886     -5.809072      0.165084     -9.698076 -14886.500944      0.100811      0.262833      0.154295      0.013583      0.000000      0.761104      8.911875      7.685746      0.828971      4.704017     -0.439538   -108.918685   -226.192156   -674.720374     -0.026676      3.234303     -0.020982     -0.061365      0.316100      0.015462     -0.175014     -4.815609     -2.544597    -27.482974     -2.803489      6.849219     -5.507434     -1.585820      0.138767      0.244613      2.660093      2.751845     59.591193      0.188177      2.964957      0.596557      0.042870      0.312415   -242.995376   -484.863375    -50.817913   -211.317542   -434.208977   -421.289978     -1.120950      0.294520    -19.244409      0.677810      0.200172   -186.963628      0.081169      0.000000
-35312.216199 -11814.707092      0.060038    255.574094      0.973121      0.441263      1.663059     71.916888      0.255733      0.307838    -62.992245     -6.141507   -102.727055    101.078921      7.784092    148.311417    -61.578292    265.079471    -47.841877     -0.525482    -24.152639     -0.387603     22.916520      2.612750   -304.895318     -0.066063      0.596113      0.117719      0.019714      0.129588      0.570944      0.480883      0.155998   -161.323453      0.509109      0.300100      0.355058      1.293774     12.078959     77.867915   -796.203456      0.083706      0.047084      0.061303      0.136798      0.223533    442.538604     76.766986     13.779490     23.652210      0.137881      0.027530      0.047872      0.140270  -4447.324052     62.141224     23.885336     34.689955      0.785004      0.418347      0.184942      0.387556      0.241382      0.470863      0.183437   -585.893162     38.460506     15.788018      0.600741     88.060342      3.647053      0.896073     22.173510 -36800.143298    -89.526129   -327.086481      0.044759      0.074410      0.128753      0.047828      0.193186      0.036523      0.020447      0.063399      0.049460      0.030260 -10748.728190  -1044.836026   -468.296184   -582.216037  -2369.473295      0.005503    -60.169638   -435.699136      0.020468     27.763375     14.065843      0.086397    -13.994575      0.015333   -150.666373     16.747884      0.324637      8.272286     13.879263      2.808860      0.896229 -11947.396800      1.912861      3.067057      0.636015     14.244093    -15.136698     22.769623      9.958902      0.956110      1.555854    544.593052      1.150467      4.268113      0.597763      0.099376      0.348539     -7.102968     68.509722    -21.186520      0.006294      0.019893      0.018239  -1171.064031      0.039690      0.000000      0.004126     -3.880665    -71.997387    -67.559305      0.068271   -131.307404      0.341012      0.366901      0.203712      0.328929    -32.876936  -2717.856822 -19928.751463  -7393.683385    -10.755171      0.493093     -7.037148      0.301872      0.147412      0.086970      2.026488      0.738412   -451.728972      0.086467  -1644.306048     -3.939549     -3.612051     -3.437521     -0.713864      0.733281      0.122614      0.432450   -422.044520     -5.337572      0.212626    -63.760676 -11220.264735      0.129967      0.264379      0.157955      0.013835      0.286042      1.602719     13.624354     12.357054      1.495865      6.657049     -0.247152    -87.611081   -251.807616   -735.634571     -1.280974      4.467527     -1.373141     -4.030395      0.320300      0.015682    585.996390     -4.260673     -2.581620    -27.838298     -2.876077      7.737366     -6.713020     -1.621974      0.302132      0.247395      3.422496      3.540397     67.624005      0.194058      3.070134      0.600857      0.041775      0.320800   -297.302112   -785.548330    -44.806747   -181.974029   -405.880542   -279.552268     -4.302527      0.301200    -41.219073      0.639839      0.257844   -173.396358      0.081556      0.000000
-13229.817367   -685.817121      0.068421    208.522567      0.957941      0.389939      1.605504     44.479343      0.185388      0.223257    -80.400873     -4.400567    -55.936750     76.082976      9.655797    172.573952   -108.207800    194.986008    -95.634981     -1.059234    -45.953694     -0.984433     28.082065      1.894637   -293.263232   -207.790136      0.433157      0.152319      0.021009      0.161506      0.751560      0.630261      0.266364    -15.010675      0.649055      0.378462      0.464664      1.483828      9.145507 -88652.698526   -700.704969      0.091024      0.051142      0.066834      0.145930      0.404226    411.672260     47.031668     17.428521     26.707079      0.156622      0.031085      0.046682      0.148978   -338.660626     48.117113     19.234030     35.585192      0.848784      0.476320      0.208628      0.433581      0.175153      0.342050   -459.296659   -378.395866     26.755504     14.130872      0.600270     91.608489      4.082077      0.950544 -18921.465804  -2982.290671     -7.265248    -13.395209      0.048687      0.079273      0.137218      0.051089      0.207146      0.039376      0.022132      0.068217      0.052809      0.047178   -752.165631   -131.869512   -673.861854  -1454.331182  -5865.221996      0.005947    -56.919049   -295.226552      0.043365     18.811026     19.393254      0.105737    -15.044607      0.032487    -32.172882     24.102721      0.391644     12.999401     15.605187      3.552753      1.171968   -405.094937      2.619778      2.220472      0.492021  -8352.683819    -16.377274     19.917242     -6.430918     -2.439354      1.043099    331.804046      1.382671      5.283941      0.679819      0.110512     -0.837386    -11.738703     71.721413    -23.190411      0.006817      0.019670      0.021195    -95.168900      0.042339      0.000000      0.005333     -5.270126    -60.321262    -73.762506      0.123333   -307.793119      0.183791      0.222529      0.234151      1.524605    -36.022124   -337.283917   -956.451604   -170.469899    -14.725965      0.525703     -1.043013      0.345588      0.159672      0.094533      1.713065      0.804964    -28.621377      0.183481   -260.599726     -4.279809     -3.876862     -3.654987     -0.753968      0.841750      0.135264      0.473113     -0.000000     -6.497341      0.154288    -33.138463   -878.114166      0.094083      0.281562      0.180168      0.000000      0.403375      2.512442     19.467883     17.929228      2.257374      8.766219     -0.607366    -84.313856   -332.400541   -371.992127     -0.703820      5.498327     -0.546233     -1.614623      0.343089      0.016814    225.419294     -5.419111     -2.748652    -29.203314     -3.185011      5.516604     -7.230222     -1.776242      0.329920      0.282422      2.481516      2.569036     90.527700      0.222606      3.458975      0.683895      0.054050      0.366516   -279.464553   -612.445852    -37.348655    -13.935158    -12.445827    -20.595082     -4.551543      0.342155    -30.336238      0.634359      0.186675     -3.662414      0.086908      0.000000
-9578.888296  -995.126842     0.059157     5.691425     0.999375     0.303502     1.238641     0.938081   -75.308819  -106.299114  -118.096928    -2.675010   -29.650125     2.192945     8.554312     2.822937 -1827.363964     1.401983 -3546.943967  -105.176243 -2407.668374  -100.791626    22.422120  -928.738527  -259.871596  -147.872107  -174.079648    -0.000000    -0.000000     0.114228     0.690370     0.534912     0.169023   -12.354859     0.595544     0.337985     0.416773     1.291583    24.361484 -1557.368957  -663.968519    -0.000000    -0.000000    -0.000000     0.084332     1.022955   -29.179206     0.833464     0.390955     0.678708     0.155874     0.030270     0.043032     0.132734  -363.672497     1.340629     0.540074     0.712678     1.128414     0.454753     0.212950     0.427387   -97.221734  -192.755318    -0.000000  -389.049398     0.537177     0.393609     0.846429     2.370083     6.980056     1.597007  -366.405336 -4284.667197    -4.134103   -20.292484     0.026170    -0.000000    -0.000000    -0.000000    -0.000000    -0.000000    -0.000000    -0.000000    -0.000000    -0.000000  -602.470036   -92.021961  -443.764998  -968.970058 -4413.831942    -0.000000   -93.003743  -317.992813    -0.000000    34.759200    21.282247     0.533327     8.415539    -0.000000   -14.374928     0.378879     0.371192    12.991981    21.698823     3.521057     1.106356  -521.206098     3.114133  -861.026831     0.357953    24.118000     5.484046    34.480067    -2.018164    -2.408183    -4.140392     2.754324     1.302692     6.063055     0.687178     0.100849     6.105477     9.560809     1.323997     1.240729    -0.000000     0.018395     0.015598   -60.328815    -0.000000     0.000000    -0.000000     2.272577   -44.709236   -40.318139     0.311709  -292.404893     0.576811    -0.000000     0.178102     3.844989     6.039268  -248.356837  -741.360597  -463.160032     6.399443     0.772788     4.464319     0.329496    -0.000000     0.052401     0.948279 -1346.891062   -33.995666  -241.367455  -187.042135    -4.294239    -3.842760    -3.585972    -0.734417     0.751362     0.114403     0.352446   -30.314110  -286.928374   -41.687987   -43.566279  -745.846718    -0.000000    -0.000000     0.180320     0.076764     0.381701     2.502563    20.506210    18.545902     2.346493     9.809591   -79.921443   -42.977290  -351.000096  -486.041170     0.722174     7.148253     0.554344     1.652074    -0.000000    -0.000000     2.415715  -282.817693    -0.530105  -527.746449    -3.260927    10.902179     2.640018    -1.798920    -0.000000     0.282711    -0.000000    -0.000000     1.464038     0.223514     3.440732     0.683491     0.056285     0.371419  -269.230706  -652.035667   -52.387001   -16.290854   -19.760920   -25.585264     2.502673     0.345529   -20.443756     0.595485   -75.717358   -15.074357    -0.000000     0.000000
-3597.680957  -655.262548     0.056184   232.155827     1.239297     0.370581     1.499582    34.607651   -81.033544   -43.495630   -84.931230    -5.742160   -32.564281   112.028006     3.731281   139.875283  -117.678385   175.719175  -134.038872    -1.371029   -61.614979    -1.515364     8.160514  -712.225703  -226.771534  -137.815066  -220.600296    -0.000000    -0.000000   -30.697826     0.435504     0.255143   -61.894981   -14.400876     0.277216     0.172797     0.193901     0.470001    23.559580   152.813321  -739.456203  -271.288681    -0.000000    -0.000000     0.022128     0.800449    -0.092938    64.590777    11.729311    22.618164     0.154501     0.030515     0.038851     0.114445  -262.340129    45.503360    22.563500    32.824070     0.877767     0.429965     0.214966     0.431502   -75.206549  -115.762125    -0.000000  -539.288216    20.682939    18.790699     0.693405   111.979754     6.071277     1.380932  -378.434535 -2244.194197    -2.865725   -15.296970     0.026374    -0.000000    -0.000000    -0.000000    -0.000000    -0.000000   -35.661902    -0.000000    -0.000000    -0.000000  -760.310732   -65.265885  -905.500196 -1122.009010 -3135.699592    -0.000000   -56.722523  -394.817592    -0.000000    35.953706    12.435431     0.564516    12.738374    -0.000000   -17.291689    21.192899     0.220198     4.273092    16.025283     2.009172     0.534927  -684.661265     0.352491  -751.332065     0.284103  -662.318936     9.004634    30.386360    14.050996    -2.490861    -4.321625   378.544696     0.789750     4.191561     0.693370     0.101801     7.852672    12.130010    50.832785     9.435534    -0.000000     0.016889     0.013923  -100.664509    -0.000000     0.000000    -0.000000     3.042983   -69.240762   -56.855878     0.264452  -226.155423  -259.359173   -98.704024     0.143712     4.088007    17.442959  -158.910671 -1521.193024  -472.883601     8.592803     0.629735     3.880934     0.318456    -0.000000     0.053054     0.984357  -697.308973   -37.491052  -305.875208  -145.862615    -4.192124    -3.981397    -3.705325    -0.757753     0.759076     0.106111     0.356753   -26.334463    -6.556371   -87.757797   -44.317488  -838.180845   -46.225601    -0.000000     0.182019     0.080494     0.000000     0.821475    11.479488     9.435631     1.034401     6.172598    -0.792989  -125.353063  -319.108506  -995.594261     0.960942     4.546405     0.734264     2.186801    -0.000000    -0.000000   261.802921    -5.900625     1.478064   -27.016878    -2.048770    10.610026     3.967629    -1.876777     0.266017     0.285235 -1258.071780 -1668.490306    85.571425     0.225738     3.477734     0.689523     0.056707     0.374853  -279.103113  -896.358423   -61.021074   -10.125366   -23.931689   -24.338079     3.775579     0.348405   -59.493974     0.549123   -88.605920    -8.228392    -0.000000     0.000000
-76689.568966  -8843.239472      0.055900    303.517891      1.226378      0.310803      1.489615     59.693099   -101.110360   -151.976365    -98.940718     -5.863450   -198.342197     78.711535      0.987373    180.786960   -118.650750    136.878300   -140.315781     -1.377535    -64.683589     -1.706777  -1247.244526   -990.196744   -389.432376   -124.200486   -183.826987     -0.000000     -0.000000    -24.069687      0.323336      0.090472   -248.092549   -145.739132      0.100472      0.074796      0.092576     -0.000000     18.930411  -3322.183742   -391.483874   -300.702576     -0.000000     -0.000000      0.011102      0.634052     -0.117376     37.547700     17.372085     29.001915      0.153730      0.030386      0.043304      0.133837  -4283.034049     70.554538     23.913987     48.084708      0.694678      0.427674      0.213827      0.429134    -24.807174   -178.072987      0.000000   -368.566508     37.771040     15.627131      0.552103     85.717317      4.842238      1.101124     22.475497 -39362.022900    -84.198801   -280.252416      0.026256     -0.000000     -0.000000     -0.000000     -0.000000     -0.000000    -11.502136     -0.000000     -0.000000     -0.000000  -8366.607440  -1018.941690   -450.133336   -839.992462  -5781.714181     -0.000000    -72.670920   -320.964895     -0.000000     18.693597      5.279012      0.548464     13.020265     -0.000000   -268.675639     12.026903      0.121263   -999.525678     10.554163      1.111771      0.175825  -9687.845895   -170.029661  -1186.230116      0.280012   -327.497964      8.982476     19.911788      6.389647     -2.526914     -4.371661    298.621866      0.434312      2.239645      0.689951      0.101250      7.582950     11.404934     79.971729     11.233956     -0.000000      0.018516      0.013848  -1058.452379     -0.000000      0.000000     -0.000000      2.917840    -61.521918    -71.087795      0.262100   -255.059182   -223.572503   -106.374566      0.077834      4.008673     19.295257  -2856.864661 -13488.833755  -5247.211560      8.228225      0.499094      3.112969      0.316808     -0.000000      0.052725      0.970114  -1741.875282   -300.010252   -190.832196  -1553.493872     -3.290631     -3.987686     -3.703607     -0.756630      0.754982      0.105516      0.354569   -252.732921     -5.283946    -79.361448    -24.070021  -9872.364131    -30.029408     -0.000000      0.181084      0.079501    -63.370994   -198.354579      3.890300      3.049279      0.229021      3.048966     -0.791803    -94.096462   -380.652194   -479.942816      0.973562      2.468274      0.743661      2.223249     -0.000000     -0.000000    222.720204     -5.175222      1.471555    -18.543970     -1.449328      6.660578      3.900431     -1.885457      0.478678      0.283816   -960.654569   -929.517450     73.274776      0.224470      3.456460      0.686216      0.056466      0.372886   -309.586917   -637.611084    -49.253217   -183.023057   -252.191030   -288.402205      3.845350      0.346803    -30.009317      0.600846    -93.639180    -40.017667     -0.000000      0.000000
-154484.929381  -12702.465023       0.056054     260.928634       1.214252       0.307656       1.469005      33.576301     -39.450163    -109.520171     -64.308168      -2.668613    -478.635152      86.931627      -0.000000     158.165097     -57.609529      -0.661032     -51.584691      -1.101843     -29.441704      -1.502156      -0.000000    -668.662171    -228.658261    -151.473967     -58.697823      -0.000000      -0.000000      -0.000000    -108.525046       0.093156    -775.545366       0.013939       0.204055       0.113507       0.141220       0.000000      19.248617   -1604.595674   -1004.656930    -214.765338      -0.000000      -0.000000       0.000000       0.630240      -0.091073     110.073321      13.784531      25.287084       0.154385       0.030472       0.043363       0.133924   -3700.033330      53.340727      17.802119      37.959978       0.647033       0.429291       0.215038       0.431895    -141.015697    -194.580241       0.000000    -199.277881      27.260845      14.084655       0.531265      64.468305       4.823488       1.099167    -799.084541  -36695.286788    -103.897875    -218.421123       0.026401      -0.000000      -0.000000      -0.000000      -0.000000      -0.000000     -54.530080      -0.000000      -0.000000      -0.000000  -11810.881865   -2033.157483    -564.121780    -731.282651   -2208.669736      -0.000000     -80.346756    -252.042623      -0.000000      23.546375       9.578064       0.544733      12.917708      -0.000000      -0.000000      27.492726       0.166030       6.363105      11.887411       1.658081       0.466008       0.000000       2.197965    -408.252449       0.188372    -329.864770       8.901829      22.924495       8.029280      -2.565358      -4.396630     298.257730       0.592832       3.177799       0.693158       0.101908       7.568669      11.288937      51.385144      11.130634      -0.000000       0.018552       0.013877   -1054.925473      -0.000000       0.000000      -0.000000       2.925613     -48.837394     -59.035746       0.240296    -297.435590       1.070655     -94.851055       0.016645       3.787866      19.106719       0.789807  -23991.324108   -3474.323652       8.223301       0.483475       3.134597       0.318168      -0.000000       0.052850       0.653326    -884.506908       0.000000    -267.781314   -3143.117892      -3.265560      -3.964680      -3.680243      -0.751253       0.757850       0.105875       0.355489       0.000000      -6.715158     -66.481591     -44.459614  -16088.638483     -51.382124      -0.000000       0.181938       0.079791       0.313913       1.213377       9.100307       8.222121       1.006746       4.647949      -0.774937     -43.863329    -248.761211    -517.474418       0.965791       3.410504       0.738901       2.205860      -0.000000      -0.000000      -1.148274      -6.126502       1.460494     -28.212516      -1.437266       7.562675       3.870079      -1.875687       0.473561       0.285287   -1410.142261    -956.014227      81.272906       0.225884       3.481151       0.689157       0.056739       0.375130    -139.775757    -524.597293     -38.838729    -227.370962       0.019238       0.064158       3.821124       0.348386     -30.542369       0.601505     -70.082449       0.009198      -0.000000       0.000000
