Time,NO_1,NO_2,NO_3,NO_4,NO_5
0,4782,4732,3356,2136,2202
1,4794,4690,3362,2138,2209
2,4685,4674,3286,2152,2157
3,4630,4621,3210,2135,2130
4,4596,4571,3230,2106,2175
5,4650,4604,3228,2101,2187
6,4811,4701,3303,2144,2263
7,4909,4772,3359,2190,2297
8,5081,4848,3427,2197,2325
9,5163,4914,3507,2240,2350
10,5321,5030,3589,2349,2361
11,5445,5141,3626,2436,2404
12,5509,5156,3585,2526,2416
13,5536,5177,3574,2520,2411
14,5585,5196,3565,2542,2418
15,5711,5243,3671,2542,2483
16,5800,5355,3741,2484,2538
17,5793,5376,3674,2442,2528
18,5628,5349,3564,2450,2514
19,5451,5269,3495,2436,2469
20,5338,5192,3409,2431,2419
21,5191,5089,3280,2418,2374
22,5058,5004,3106,2367,2334
23,4904,4897,3175,2382,2288
24,4740,4777,3062,2321,2257
25,4591,4678,3093,2294,2202
26,4493,4634,3241,2262,2173
27,4452,4615,3182,2250,2166
28,4441,4637,3225,2262,2162
29,4548,4655,3121,2281,2175
30,4675,4665,3247,2287,2209
31,4811,4838,3398,2330,2267
32,4974,4899,3376,2380,2333
33,5197,4981,3427,2431,2350
34,5407,5236,3543,2467,2390
35,5547,5280,3520,2507,2443
36,5556,5257,3537,2512,2442
37,5565,5256,3623,2505,2441
38,5586,5240,3641,2503,2445
39,5683,5271,3667,2540,2474
40,5819,5404,3770,2530,2564
41,5855,5466,3830,2527,2606
42,5800,5500,3843,2533,2552
43,5663,5267,3852,2499,2486
44,5450,5126,3816,2472,2412
45,5328,5065,3753,2413,2390
46,5130,4995,3697,2375,2323
47,5000,4843,3615,2332,2296
48,4797,4711,3586,2307,2256
49,4651,4697,3527,2273,2205
50,4571,4680,3531,2230,2166
51,4579,4635,3491,2218,2134
52,4604,4694,3519,2168,2141
53,4600,4742,3518,2204,2155
54,4740,4771,3574,2241,2204
55,4927,4773,3636,2304,2292
56,5079,4888,3675,2326,2311
57,5368,5010,3729,2372,2378
58,5527,5087,3832,2412,2416
59,5610,5119,3860,2424,2409
60,5592,4984,3856,2477,2275
61,5533,5002,3842,2459,2122
62,5643,5032,3895,2507,2077
63,5924,5213,3981,2514,2187
64,6239,5449,4022,2509,2517
65,6319,5507,4028,2495,2717
66,6322,5481,4016,2421,2666
67,6288,5505,3935,2373,2644
68,6190,5436,3918,2365,2618
69,6125,5335,3875,2371,2644
70,5889,5163,3832,2327,2522
71,5643,4997,3801,2298,2396
72,5545,4838,3664,2223,2366
73,5356,4872,3630,2200,2333
74,5308,4877,3661,2217,2310
75,5331,4932,3621,2180,2318
76,5400,5021,3580,2186,2344
77,5593,5130,3693,2199,2354
78,6001,5394,3862,2264,2536
79,6684,5758,4207,2392,2733
80,6932,5895,4137,2506,2781
81,6994,5947,4144,2507,2827
82,6993,5824,4307,2472,2821
83,6946,5654,4396,2444,2783
84,6906,5682,4253,2494,2701
85,6873,5943,4159,2534,2774
86,6849,5968,4294,2496,2770
87,6951,5925,4469,2490,2769
88,7162,5847,4325,2503,2798
89,7144,5867,4326,2498,2815
90,6994,5765,4245,2494,2768
91,6860,5680,4309,2474,2803
92,6754,5697,4094,2458,2732
93,6569,5650,3995,2432,2701
94,6242,5497,3996,2353,2564
95,5994,5238,3865,2274,2519
96,5720,5132,3806,2214,2406
97,5468,5103,3762,2194,2349
98,5409,5037,3758,2165,2325
99,5412,5000,3743,2161,2327
100,5495,5100,3778,2177,2359
101,5741,5139,3803,2220,2415
102,6240,5501,3990,2255,2536
103,6865,5777,4283,2397,2695
104,7116,5934,4324,2442,2780
105,7141,6063,4329,2455,2820
106,7194,6087,4313,2471,2807
107,7220,6130,4297,2432,2791
108,7244,6097,4264,2465,2817
109,7190,5940,4232,2519,2838
110,7212,5881,4321,2527,2803
111,7336,5970,4374,2519,2782
112,7561,6157,4373,2480,2852
113,7544,6107,4286,2377,2828
114,7456,6045,4302,2397,2814
115,7398,6008,4224,2352,2816
116,7319,5945,4198,2319,2851
117,6996,5791,4181,2425,2862
118,6770,5684,4058,2418,2725
119,6431,5468,3900,2248,2553
120,6196,5291,3779,2098,2461
121,6077,5237,3726,2077,2403
122,6015,5227,3686,2028,2410
123,5976,5231,3724,2064,2413
124,6009,5282,3777,2221,2457
125,6162,5394,3812,2215,2502
126,6686,5746,3911,2255,2619
127,7394,6184,4252,2363,2760
128,7679,6361,4406,2360,2867
129,7721,6419,4371,2321,2885
130,7685,6421,4235,2329,2865
131,7653,6346,4317,2382,2846
132,7639,6288,4320,2374,2763
133,7602,6228,4360,2399,2748
134,7597,6244,4470,2398,2646
