NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 -4.049660 165.139633   9.569482 139.609488  37.149793   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-16.229240  72.583144   9.120690 135.037000   3.867652   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.688366  59.968032   9.569945 123.702923   2.921882   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.261256  52.886564  10.013338 123.214985   2.986415   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.287104  55.469599  10.043741 121.365683   2.550982   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.222633  58.783391  10.174122 123.917605   2.718413   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-19.897043  67.931597  10.746793 129.245955   2.643321   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-13.022775  58.509097  10.082555 139.048301   3.542449   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -7.385511  99.085309   9.720301 148.450143   8.932467   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -0.859529 108.386081  13.353581 151.352858  13.939052   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 42.266306 132.635265  18.657251 162.004993  25.161510   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 49.468199 142.714091  13.048082 166.101212  24.016591   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 50.970622 152.054980  14.433311 174.926080  27.390058   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 51.231183 150.281998  16.023821 172.481668  27.564868   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 51.683393 147.188017  18.635330 173.246853  26.184123   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 52.350971 149.913478  25.133856 173.471479  29.573657   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 53.728825 166.692318  24.643983 168.141699  26.853074   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 54.312897 161.239374  24.734587 161.295725  26.990754   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 53.847073 154.970122  18.896017 166.342763  28.855183   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 53.276716 144.985104  14.299768 164.440314  25.229311   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 52.049108 131.145551  10.149469 161.275027  25.431041   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 48.312675 120.873487  11.698869 157.152213  22.610606   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 45.597843 116.543209  10.746583 148.950706  15.219078   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 25.984107  93.447137  11.432810 150.768307  12.175091   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 -7.041364  52.747941  10.468858 133.356078   8.890504   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-11.911081  45.068514  11.500093 130.381435   5.912022   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-14.516091  51.160181  16.243313 137.163903   5.515286   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-15.992522  49.565658  11.171493 135.194396   5.422335   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-14.521582  43.645420  12.804630 133.061706   3.204246   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-14.095213  41.445213  10.878013 133.747825   2.721402   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 18.817690  54.535795  11.504778 127.667123   7.417251   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 34.474567  69.575148  13.206371 138.623130   8.032292   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 43.465320  79.140334  16.478972 154.167699  13.916526   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 47.949692 108.617788  17.438651 165.892960  15.886637   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 51.282047 119.599922  20.649150 168.112783  18.277799   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 52.241125 119.745982  24.646219 172.987394  22.082119   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 50.825895 121.960844  27.538538 169.069523  19.433455   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
