Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
  6.275576 218.353677   3.839520  22.983247  83.193896  38.737120  81.823911  21.621860 745.421578  39.941797 297.020246  23.756624 668.539319  69.148524   4.448813  12.470003   0.000000  79.798547   8.028833 225.280969   8.285720 508.542803  13.723029   1.619363  63.658650 213.178718  46.948755   1.867995   2.134851 696.598253 246.071300 225.897839  12.424053 309.170564 176.718033  69.985783  78.313141 193.654598 131.057075   3.048410  11.250000 129.601840  35.060000  98.400000   4.650202  51.906755 395.621584  29.072921   3.170404  98.531212 128.550885  34.388248   5.765452 127.083251 196.519317 124.207163 167.801236  49.927829  47.380922 137.012205 104.317093  44.436130 119.194128   7.008749 175.768615  89.650599   9.705975  77.158571   9.958620  86.567402  93.063975   1.852135   2.166701 153.723532 213.741390 215.481749 273.267438  32.941805  44.053005   5.826365  11.768282  55.337124  23.256661  39.678586   0.756093  67.043225 118.270629 320.467067  77.302166   9.242202 277.604881  66.987318  21.350000  31.778700  34.570754 125.408793   0.000000  81.281307  82.328215  55.700000 410.459808  39.529910  94.555459  50.432636  13.507537 180.871133 358.443735 124.244598   0.151439  36.788890  72.356715   0.512331  31.607121   2.485857  23.375078 200.234815 208.898992 291.243750 362.306490  62.513606 107.391664 125.798311   3.062483  13.954560  33.472113   3.690675  65.000000  33.807134   4.070975 120.250997   0.000000   0.000000   0.000000   3.958304  42.260000 172.044650  41.448966   7.860000  18.986870  81.259592  21.104904  70.882315   0.235974   1.828217  53.889130  32.671088  56.288890   0.403546 160.598438   9.988662 104.470564  11.272333  15.139123 122.834973  23.358574  49.590000 227.816926  85.859093  85.353112  72.896188   2.765978   1.155632   9.061202   0.000000  78.315573   0.000000  71.799678  90.026887 113.719893 242.889354  41.225959  33.070106  32.429912  18.117873 106.491975   0.000000   3.083982  44.997688   7.665954 420.384551   5.710000   6.050000   8.470000  96.100430 117.478682   1.263218  13.504709  16.981520  14.877245 104.199576  22.523883  84.228895   0.000000   2.372790 558.046380  34.484926   7.455232  25.705538   2.848041   7.520633  16.302353  68.273735  37.635179   6.150784  26.198694  40.508374  21.738408 122.127603 152.204872  50.365823  86.449204  52.375040  47.875655 205.510607  16.643393   8.832918  24.621481  17.808095   1.603061  28.514355   0.000000
  6.328584 215.458534   3.839520  22.983247 136.459226  45.387919 105.841216  21.621860 711.481651  38.538685 297.008914  23.755718 658.871038  73.288615   4.501559  12.470003   0.000000 134.639426   7.089760 176.670055   7.263146 391.529126  13.974374   1.550310  63.658650 210.711573  36.899069   1.710861   2.134851 693.941717 254.948411 228.592086  24.200694 300.451396 192.219143  71.245358 102.873624 194.802596 129.234839   2.091010  11.250000 129.657040  35.060000  98.400000   4.650202  51.906755 159.056523  31.203491   3.170404  60.592983 128.550885  34.388248   6.387675 117.985170 191.778787 261.729704 204.597870  49.927829  47.257782 137.328205 104.317093  40.299370 124.505756   6.762539 161.736283  88.803129   9.705975  40.134198   9.896632  45.028222  92.245879   1.836804   2.143305 152.562464 220.013222 215.481749 272.294201  33.089827  41.343726   5.826365  11.768282  52.468916  22.167611  38.812110   0.692491  67.043225 113.655787 407.353516  77.262862   9.237550 277.327103  64.012644  21.350000  31.834850  34.415655  75.327602   0.000000  80.663489  81.450921  55.700000 426.142014  39.529910  84.368775  48.524133   9.228349  72.344937 296.083774 123.282001   0.148176  33.891516  72.356715   0.344002  31.241118   1.614184  14.040392 500.055302 517.336374 323.728425 304.198181  22.918530 107.391664 120.241588   3.020879  38.346814  33.472113   3.647183  65.000000  33.807134   4.070975 119.625919   0.000000   0.000000   0.000000   3.958304  42.260000 173.167547  39.566464   7.860000  18.709319  76.628692  21.104904  70.386333   0.233210   1.816540  53.461253  32.405513  46.562494   0.401243 159.186669   9.988662 101.477098  11.272333  14.917510 123.449027  23.241683  49.590000 229.389355  84.998526  85.353112  69.489777   3.027128   1.155632   9.061202   0.000000  80.082142   0.000000  54.884276  89.639057 111.748212 185.666658  41.407759  33.070106  32.429912  17.257070 102.462040   0.000000   2.852839  43.434578   3.060965 378.192155   5.710000   6.050000   8.470000  95.125503  70.035911   1.250403  21.872141  17.014685  13.625788 129.870764  21.654164  99.136002   0.000000   2.347866 353.958870  34.143468   7.455232  42.183527   2.848041   6.893859  16.025393  68.273735  37.635179   6.150784  26.198694  36.737266  19.714681 121.886608 142.455274  49.652961  84.931635  55.159421  42.117903 203.314550  16.643393   8.818911  24.083601  16.809792   1.743776  28.514355   0.000000
  6.309960 215.159992   3.839520  22.983247 129.970147  44.070105 104.224333  21.621860 697.954864  38.538685 297.127902  23.767944 647.733971  56.712261   4.475186  12.470003   0.000000 146.422647   6.401514 174.219568   6.580001 381.290013  13.785598   1.303665  63.755702 213.178718  33.366606   1.557136   1.779584 696.598253 250.473578 227.244963  35.133912 267.652380 177.759455  69.985783 100.435522 194.802596 128.357465   2.078986  11.250000 129.398960  35.060000  97.916874   4.650202  51.906755 159.056523  37.570608   2.204906  44.381022 128.550885  34.388248   5.182598  83.125186 191.079774 183.344676 175.207308  49.927829  47.110014 132.910205 104.317093  40.299370 123.623891   6.249955 146.893042  88.518028   9.705975  32.916120   9.855307  36.929961  91.812770   1.827221   2.133279 152.502149 200.135154 206.249993 267.651074  32.293310  39.896649   5.114881  11.280069  48.579655  19.949161  37.201974   0.630269  55.886355 113.442926 431.412617  77.341471   9.265462 278.438214  58.047278  21.350000  31.553000  34.260556  75.016148   0.000000  79.913282  80.178845  55.700000 405.038453  39.529910  58.137945  48.244419   9.194876  70.213245 158.677495 123.183273   0.146006  32.845785  60.337313   0.342212  30.775296   1.606649  13.982340 640.137796 649.297399 321.374748 210.901486  16.847823 107.391664  90.891114   2.996877  13.361182  33.472113   3.603690  65.000000  33.807134   4.070975 119.553795   0.000000   0.000000   0.000000   1.770575  42.260000 171.232736  35.806057   7.860000  18.596784  68.177959  21.104904  67.753809   0.230322   1.815080  53.429162  32.386080  44.971741   0.399569 158.439262   9.988662  95.572220  11.272333  12.439516 120.303876  23.232332  49.590000 228.219072  84.902907  85.353112  60.665641   2.874983   1.155632   9.061202   0.000000  73.433531   0.000000  51.028224  89.446638 111.226726 172.622114  40.406089  33.070106  32.429912  16.942624 101.871406   0.000000   2.721688  40.994340   2.764368 375.359401   5.710000   6.050000   8.470000  91.892852  69.783447   1.207911  12.910501  16.070866  13.060517 135.745980  21.149769  81.835986   0.000000   2.329502 352.307315  33.370693   7.455232  39.077285   2.848041   5.159963  14.792804  68.273735  37.635179   6.150784  26.198694  36.737266  19.714681 118.562331 137.272424  47.801983  84.002039  56.098189  28.038329 200.145273  16.643393   8.848192  23.785261  14.135448   1.659467  26.633705   0.000000
  6.216714 213.833108   3.839520  22.983247 125.600580  43.647089  96.910679  21.621860 688.184355  37.135572 297.150567  23.770208 632.551031  56.712261   4.475186  12.470003   0.000000 124.965137   6.401514 174.219568   6.549995 381.290013  13.610763   1.303665  63.788053 213.396830  33.366606   1.557136   1.779584 696.598253 250.473578 225.897839  23.227365 243.041131 174.635187  69.146066  98.649357 193.654598 127.952524   2.072427  11.250000 129.485880  35.060000  97.916874   4.650202  51.906755 148.972338  31.203491   2.204284  44.381022 128.550885  34.388248   5.182598  71.711415 190.341457 158.000028 167.801236  49.927829  47.011503 132.351005 104.317093  40.299370 120.135926   6.145740 142.255298  86.444927   9.705975  32.916120   9.829479  36.929961  91.572154   1.822430   2.127709 152.482442 189.183893 202.832225 267.651074  32.402066  38.522351   4.856782  10.710872  46.951135  19.356452  35.324744   0.630269  55.886355 113.277262 456.279977  77.341471   9.270114 278.577103  56.579672  21.350000  31.643100  34.183006  74.782558   0.000000  79.648503  79.740198  55.700000 401.879626  39.529910  52.888033  46.747314   9.175748  50.626061 140.237502 123.133909   0.145504  29.185880  60.337313   0.341137  30.642204   1.601625  13.924287 639.656835 648.302046 316.658217 189.956501  14.026207 107.391664  82.640745   2.987276  14.171140  33.472113   3.587875  65.000000  33.807134   4.070975 119.529753   0.000000   0.000000   0.000000   1.763933  42.260000 169.752752  32.345779   7.860000  18.512383  35.805186  21.104904  67.753809   0.229317   1.814350  53.407768  32.373125  44.803024   0.398522 158.024036   9.988662  93.987948  11.272333  12.439516 121.305279  23.172521  49.590000 227.608230  84.902907  85.353112  53.410434   2.738796   1.155632   9.061202   0.000000  70.879821   0.000000  51.028224  88.765754 110.887742 171.010384  40.511947  33.070106  32.429912  16.470956  98.710164   0.000000   1.206936  39.472675   2.056519 374.427773   5.710000   6.050000   8.470000  91.123173  69.603116   1.197793  13.109266  16.135801  12.401477 129.870764  20.731582  81.978884   0.000000   2.329502 351.022772  33.226921   7.455232  37.754323   2.848041   5.159963  13.733788  68.273735  37.635179   6.150784  26.198694  36.737266  19.714681 110.933761 135.655492  47.645017  83.657210  55.014602  25.657566 199.050306  16.643393   9.036803  22.421941  14.135448   2.493970  25.185428   0.000000
  5.849704 209.947676   3.839520  22.983247 125.476162  43.647089  95.959660  21.621860 688.677228  37.135572 297.161899  23.771566 640.329336  56.712261   4.448813  12.470003   0.000000 100.305543   6.343394 173.402739   6.519989 367.144035  13.093493   1.303665  63.788053 213.396830  32.002649   1.557136   1.779584 696.598253 249.006152 225.897839  24.305427 248.691767 173.593764  68.726208  98.649357 193.654598 127.817544   2.070241  11.250000 129.115920  35.060000  97.718978   4.650202  51.906755 150.637073  37.870973   2.204284  44.381022 128.550885  34.388248   5.182598  80.736128 189.144071 158.000028 167.801236  49.927829  46.986875 125.828205 104.317093  40.299370 120.973190   6.145740 142.418835  85.887497   9.705975  32.916120   9.824314  36.929961  91.475907   1.821472   2.125480 152.482442 193.811703 202.832225 267.651074  31.430223  38.228945   4.856782  10.710872  47.245706  19.466962  35.324744   0.630269  55.886355 112.763866 445.805580  77.380775   9.274766 278.715992  56.813634  21.350000  31.237750  34.183006  74.626832   0.000000  79.560243  79.652469  55.700000 401.879626  39.529910  52.013821  46.325261   9.166185  48.383466 139.415906 123.133909   0.145336  28.237909  59.143724   0.340779  30.592295   1.599113  13.880748 639.637301 648.282013 315.795339 187.350331  13.562515 107.391664  80.318341   2.984076  15.299573  33.472113   3.583921  65.000000  33.807134   4.070975 119.505712   0.000000   0.000000   0.000000   1.762035  42.260000 169.372837  32.455287   7.860000  18.453387  35.723759  21.104904  67.753809   0.229066   1.813985  53.397071  32.373125  44.754820   0.398522 157.857945   9.988662  94.349585  11.272333  12.193438 117.116965  23.172521  49.590000 227.651795  84.902907  85.353112  53.185070   2.725209   1.155632   9.061202   0.000000  71.241384   0.000000  48.942297  88.426644 111.029897 165.565684  39.318907  33.070106  32.429912  16.470956  97.818971   0.000000   1.136085  34.176616   1.794817 374.427773   5.710000   6.050000   8.470000  91.123173  69.530983   1.197793  13.520146  15.879211  13.060517 129.870764  20.399505  82.608067   0.000000   2.329502 350.655760  33.173006   7.455232  37.307203   2.848041   4.949034  13.424513  68.273735  37.635179   6.150784  26.198694  36.737266  19.714681 108.277151 128.852305  47.437857  83.657210  55.268169  25.657566 198.831313  16.643393   9.036803  21.760651  14.135448   2.201090  25.952268   0.000000
  5.531520 206.674237   3.839520  22.983247 125.962959  43.647089  97.058852  21.621860 698.007297  37.135572 297.139234  23.768849 643.596151  56.712261   4.448813  12.470003   0.000000 114.960760   6.372454 174.219568   6.549995 381.290013  12.602267   1.303665  63.788053 213.396830  33.366606   1.557136   1.779584 692.493108 250.473578 225.897839  36.056412 253.460716 175.676610  69.565925  99.840134 193.654598 128.154995   2.075706  11.250000 128.850880  35.060000  98.312666   4.650202  51.906755 150.637073  35.448236   2.204284  44.381022 128.550885  34.388248   5.182598  92.387624 188.185248 168.743555 167.801236  49.927829  47.060758 121.427805 104.317093  40.299370 120.054465   6.145740 144.967556  85.725239   9.705975  32.916120   9.844976  36.929961  91.668400   1.825305   2.131051 152.502149 197.847400 206.657746 267.651074  30.870708  39.467136   5.114881  10.822531  48.579655  20.123761  35.324744   0.630269  55.886355 112.326439 433.109565  77.380775   9.270114 278.577103  58.843674  21.350000  30.948150  34.260556  74.938285   0.000000  79.692633  79.871792  55.700000 402.527477  39.529910  53.762245  48.188477   9.185312  55.111249 142.742913 123.183273   0.145839  27.996818  60.337313   0.341674  30.675477   1.604137  13.967827 639.773071 648.536240 309.844325 195.028178  15.418514 107.391664  87.258152   2.990476  15.775374  33.472113   3.593805  65.000000  33.807134   4.070975 119.553795   0.000000   0.000000   0.000000   1.766779  42.260000 169.269419  32.909872   7.860000  18.568651  43.642745  21.104904  67.753809   0.229568   1.814715  53.418465  32.386080  44.875331   0.399150 158.190126   9.988662  96.249688  11.272333  12.439516 114.238126  23.224314  49.590000 227.770991  84.902907  85.353112  55.099502   2.751091   1.155632   9.061202   0.000000  71.687141   0.000000  51.028224  88.476218 111.150181 172.622114  38.659609  33.070106  32.429912  16.785402 101.753279   0.000000   1.380093  40.613924   2.731200 374.427773   5.710000   6.050000   8.470000  91.123173  69.711314   1.197793  13.694626  15.695206  13.060517 129.870764  20.335865  83.126944   0.000000   2.329502 351.756797  33.280835   7.455232  37.856082   2.848041   5.159963  13.428056  68.273735  37.635179   6.150784  26.198694  36.737266  19.714681 107.628771 127.121144  47.698626  83.657210  55.159421  26.150802 199.378796  16.643393   9.036803  21.488001  14.135448   1.985689  25.952268   0.000000
  5.101469 202.575804   3.839520  22.983247 129.456858  44.070105  97.403980  21.621860 732.608439  38.538685 297.076907  23.762510 656.886532  65.008433   4.581981  12.470003   0.000000 140.174743  15.562295 174.219568   6.549995 370.674567  12.028076   1.573328  63.852755 213.614943  35.305602   1.639885   1.874155 703.083557 254.948411 229.939210  46.309983 301.155613 192.219143  70.825500 101.626299 195.950593 128.762407   2.085545  12.577401 128.285800  35.060000  98.400000   4.650202  51.906755 150.637073  35.448236   2.687655  54.113204 128.550885  34.388248   5.182598 109.730637 187.175853 259.343709 195.149952  49.927829  47.208526 112.498205 104.317093  40.299370 117.670354   6.162479 153.703514  85.747992   9.705975  32.916120   9.875970  36.929961  92.053386   1.832012   2.138849 152.532306 220.543122 209.652529 264.154896  29.380497  39.016665   5.114881  11.280069  48.579655  21.474333  37.201974   0.663763  57.246669 111.746946 404.972383  77.380775   9.260810 278.299325  62.843703  21.421112  30.390032  34.338105  75.210807   0.000000  80.398710  80.924545  55.700000 419.251893  39.529910  66.222100  48.412247   9.214003  71.492260 173.401162 123.257319   0.147480  30.533856  61.530902   0.343107  30.991571   1.610835  14.018622 503.054883 512.664709 325.523134 240.227607  22.510942 107.391664 104.651739   3.011278  17.371315  33.472113   3.629390  65.000000  33.807134   4.070975 119.601878   0.000000   0.000000   0.000000   1.781013  42.260000 169.381812  35.963241   7.860000  18.681185  73.816992  21.104904  68.803791   0.231829   1.816175  53.450556  32.399035  45.236866   0.400616 158.854488   9.988662 100.261704  11.272333  12.685594 107.896559  23.237008  49.590000 228.116631  84.902907  85.353112  64.810358   2.816320   1.155632   9.061202   0.000000  78.681521   0.000000  54.884276  89.122965 111.521969 185.666658  36.829969  33.070106  32.429912  17.257070 102.225786   0.000000   2.800379  42.135589   2.830704 372.672267   5.724097   6.050000   8.470000  94.201889  69.927712   1.238263  14.556107  15.504322  13.060517 129.870764  20.215019  84.955180   0.000000   2.336061 353.224845  33.586351   7.455232  39.278692   2.848041   5.354924  13.637543  68.273735  37.635179   6.150784  26.198694  36.737266  19.714681 108.059074 127.383745  48.287519  84.674273  55.484483  41.240492 202.006715  16.643393   8.848192  21.171741  17.308943   1.630525  27.331425   0.000000
 30.893615 203.199235   3.839520  22.983247 136.116313  45.387919  98.281687  21.621860 739.754942  40.246210 297.264038  23.769819 641.471527  96.919488   4.581981  12.470003  11.027346 130.514373  21.690679 176.176982  11.571794 388.409532  11.861301   4.972101  64.770178 214.039888  39.473202   1.710861   2.134851 709.087599 270.848133 234.047186  22.241629 353.776515 219.796386  77.494761 116.756204 199.451346 129.774760  15.000759  14.021612 129.411600  35.395923  98.841289   4.650202  51.906755 157.685628  33.325863   4.985267 100.373296 128.550885  34.388248   8.037230 134.696321 187.053627 268.887689 253.596962  49.927829  47.405550 111.461405 104.317093  44.436130 122.749867   6.832788 183.197054  86.851287   9.705975  54.551791   9.927626  61.203918  92.582742   1.842553   2.149990 160.929234 197.001171 225.474657 270.675451  29.387725  40.225857   5.826365  11.768282  52.558305  23.859677  38.812110   0.692491  67.043225 113.447704 457.877612  79.404637  12.854845 294.164709  68.997295  21.636840  31.751616  34.934138  75.561192   0.000000  81.104788  82.065027  55.914121 426.692257  39.529910  86.417941  51.046425   9.257040  82.340055 351.852382 124.961522   1.217861  33.819445  72.356715   2.766017  31.490666   1.619208  14.083931 157.989112 167.756877 325.255084 311.631743  27.402491 107.391664 123.264127   3.041681  17.793110  33.472113   3.688698  65.087107  36.421769   4.070975 119.869762   0.000000   0.000000   0.000000   3.969656  42.497518 169.254069  42.498624   8.882815  19.558428  87.695157  21.104904  70.691553   0.235597   2.522577  56.079290  33.203545  66.406033   0.402499 159.767986   9.988662 107.337487  11.272333  14.917510 112.939856  23.344393  50.802077 228.219081  86.863087  85.353112  74.787748   3.306104   1.155632   9.061202   0.000000  84.827192   0.412677  55.131146  88.741307 113.296272 185.796933  36.862519  33.070106  32.429912  18.070889 103.328018   0.000000   2.994866  44.091623   6.902594 376.421751   6.061608   7.382149  13.556513  95.792559 100.578056   1.259172  14.832790  16.036880  13.625788 129.870764  21.095390  86.383175   2.045170   2.395090 355.059906  34.395069   7.530797  42.139936   2.848041   9.750682  18.493291  68.273735  37.635179   6.150784  26.198694  40.508374  21.738408 107.352099 123.497041  49.610579  84.969988  58.971241  55.875599 204.853627  16.643393   8.946914  21.624578  17.579488   1.652531  28.514355   0.000000
  4.998262 204.946969   3.839520  22.983247 137.760691  48.018601  90.023668  21.621860 777.652867  40.356590 297.088418  23.758237 667.510386 129.431222   4.581981  12.470003   0.906538  96.751876   7.854255 199.592399   9.914137 433.220823  11.751341   1.619363  63.922095 213.771545  42.848435   1.867995   2.134851 713.221807 254.948411 231.842348  16.598339 360.661640 207.498171  71.665216 100.435522 199.451346 130.584643   2.115059  11.250000 127.706200  35.060000  98.400000   4.650202  51.906755 177.771395  29.072921   5.121608 104.033411 128.550885  34.388248   8.304267 136.014539 192.069389 266.501694 217.111748  49.927829  47.504062 102.753805 104.317093  47.838418 110.927470   6.162479 185.728331  85.477060   9.705975  77.837221   9.963785  87.328808  92.967728   1.851177   2.161130 153.921555 210.976808 246.396425 272.781345  27.978218  42.549376   5.826365  11.768282  55.337124  26.167557  39.276732   0.756093  67.043225 116.577530 358.986533  77.794856   9.461152 277.882659  76.279445  21.350000  29.696400  34.880952 120.593349   0.000000  81.369567  82.459809  55.700000 433.050272  39.529910  94.555459  50.450048   9.300077 182.581307 368.330766 124.480336   0.334746  29.998334  72.715023   0.347584  31.623757   2.334952  22.328802   0.429400  10.277492 325.023334 358.916824  62.296894 107.391664 130.048369   3.059283  16.870686  33.472113   3.706491  65.000000  41.668097   4.070975 120.356738   0.000000   0.000000   0.000000   3.969540  42.260000 168.891527  39.584809   7.860000  19.020778  85.730747  21.104904  70.767858   0.236727   2.005315  54.691616  32.996632  70.286338   0.403965 160.432347   9.988662 108.280578  11.272333  14.991381 101.703827  23.363249  49.590000 228.633408  87.245561  85.353112  74.787748   4.277915   1.155632   9.061202   0.000000  86.723863   0.469605  65.299880  88.973325 113.719893 220.836088  35.131999  33.070106  32.429912  18.271560 106.638716   0.000000   3.083982  45.067363   7.648319 426.088809   5.710000   6.050000   8.470000  96.151742 116.178634   1.263893  14.526322  15.661175  14.877245 125.269648  20.885948  86.065445   0.000000   2.405584 524.972996  34.520869   7.564382  25.705538   2.848041   7.852346  13.759524  68.273735  37.635179   6.150784  26.198694  42.813453  23.402827 105.383278 120.496199  50.471538  86.589284  59.047038  58.491929 205.839097  16.643393   8.867875  23.856991  17.872440   1.682621  28.514355   0.000000
  4.995357 205.039035   3.886495  22.983247 127.781403  48.018601  71.750715  21.621860 810.739369  52.734838 297.250256  23.777000 669.920721 130.600491   4.369694  12.470003   0.000000  98.528709   8.013219 207.128628   8.272902 454.678806  11.395561   1.760962  64.273317 215.141734  47.382670   1.899640   1.987331 671.967379 246.071300 223.203592  16.329646 355.378143 180.935215  69.565925  68.935697 189.062608 131.192055   2.122711  12.612583 127.961230  35.266489  98.683360   8.355445  51.906755 218.185142  29.072921   5.212502 106.778496 128.660619  34.408096   8.037230 141.439374 191.985517 264.115699 192.348097  49.927829  47.602574  94.792574 104.480013  41.415517 103.335183   6.516329 195.117183  85.061464   9.705975  80.551822   9.984448  90.374432  93.304591   1.857885   8.893198 153.783847 211.948466 241.776529 277.790744  26.823448  39.689979   5.443783  12.458493  50.825142  26.253623  39.052305   0.803114  65.470105 116.353229 307.811096  77.891732   9.330588 280.549816  76.792796  21.542702  29.889386  35.062000 162.842424   0.000000  81.634346  82.722998  55.835567 431.551750  39.529910 103.325427  51.929366  14.886475 195.261657 377.162356 124.417372   0.151774  29.697589  73.073330   0.563974  31.740213   3.294955  30.360596   0.583999   7.831056 247.411570 669.719719  64.463977 107.879768 128.808316   3.070484  10.351550  33.472113   3.720329  65.052750  37.465267   4.087501 120.395246   0.065803   0.000000   0.006509   3.969387  42.412931 167.812180  37.785519   8.418353  19.024922  87.602467  21.104904  70.500790   0.237606   1.831502  53.953311  32.703476  72.989387   0.405011 161.013664  10.247911 108.376416  11.390898  15.065252  99.609329  23.377276  50.371489 229.341877  87.532417  85.353112  74.787748   4.387952   1.789738   9.169453   0.438874  86.584646   0.000000  71.799678  89.176688 113.719893 229.760678  33.991848  33.202906  32.482988  18.554538 106.764576   0.000000   3.139838  45.555405   7.951879 438.719423   5.881743   6.050000   8.470000  96.305678 144.639319   1.265916  12.095821  15.686145  13.663218 126.123274  20.887086  81.817773   0.000000   2.413454 738.643977  34.610727   7.585372  25.705538   3.061787   7.327471  13.587536  68.273735  37.816274   9.245103  26.688410  37.448383  20.360685 102.271669 114.010492  50.258680  86.566072  56.475741  60.283058 206.496077  16.887141   9.064555  20.407698  19.162999   1.719086  28.620859   0.000000
