Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
3000.000000 3000.000000  -36.500000  -38.500000   -0.500000   16.500000  -17.500000  -50.500000   46.500000   42.500000  208.500000  254.500000  123.500000   38.500000   64.500000  -73.500000  471.500000   63.500000  449.500000  217.500000  376.500000  185.500000   64.500000   45.500000   77.500000   63.500000   47.500000   20.500000   20.500000   65.500000   63.500000   63.500000   52.500000   73.500000   65.500000   62.500000   58.500000   64.500000   69.500000   74.500000 3000.000000  232.500000  142.500000  134.500000   10.500000  -54.500000   99.500000    0.500000   42.500000   46.500000  -52.500000  -52.500000   12.500000   19.500000 3000.000000   35.500000   19.500000 -500.000000   47.500000  -54.500000  -23.500000    2.500000   34.500000   41.500000   42.500000   63.500000  -60.500000   52.500000   52.500000   52.500000   59.500000   58.500000   71.500000  295.500000   72.500000   69.500000   38.500000   20.500000   20.500000   20.500000   20.500000   20.500000    5.500000   20.500000   20.500000   20.500000  499.500000   30.500000   75.500000   96.500000  107.500000   11.500000 3000.000000 3000.000000   78.500000   84.500000   95.500000  -31.500000    3.500000  151.500000   80.500000 -500.000000   69.500000  109.500000   72.500000   76.500000   79.500000  175.500000  122.500000   45.500000   29.500000   74.500000   26.500000   77.500000   84.500000   84.500000   84.500000   64.500000   71.500000   88.500000  -42.500000   12.500000   41.500000   48.500000  -48.500000   -5.500000  232.500000    8.500000  -23.500000  143.500000   20.500000  303.500000   20.500000  109.500000  260.500000  154.500000 -500.000000 3000.000000  131.500000   30.500000  -34.500000  -16.500000    5.500000  152.500000  179.500000  185.500000   69.500000   52.500000   59.500000  -31.500000   51.500000   -7.500000   34.500000  125.500000  137.500000  151.500000   72.500000  -76.500000 -500.000000 -500.000000 -500.000000  -29.500000  -26.500000  -17.500000   72.500000  261.500000   47.500000   34.500000 3000.000000   47.500000   20.500000  -35.500000 -500.000000   91.500000  109.500000   98.500000  101.500000  104.500000   92.500000   85.500000 3000.000000 3000.000000 3000.000000   -0.500000   84.500000   -0.500000   -0.500000   20.500000   20.500000   63.500000  192.500000   26.500000  361.500000  -64.500000   79.500000   43.500000 -500.000000  -50.500000  -26.500000   57.500000   55.500000 -500.000000  -16.500000   -3.500000  -30.500000    2.500000    2.500000   47.500000   30.500000 -500.000000  109.500000   59.500000   73.500000    3.500000  -42.500000   60.500000    8.500000   46.500000   52.500000   20.500000  499.500000
 409.500000  290.500000  -37.500000   19.500000   19.500000   26.500000   19.500000   19.500000   43.500000   41.500000  211.500000  258.500000   98.500000   39.500000   67.500000   21.500000   91.500000   70.500000   86.500000   78.500000   84.500000   74.500000   67.500000   42.500000   77.500000   63.500000   42.500000   20.500000   20.500000   66.500000   68.500000   66.500000   72.500000   72.500000   68.500000   65.500000   67.500000   67.500000   34.500000   33.500000 3000.000000  231.500000  140.500000  133.500000    3.500000  -67.500000   63.500000   39.500000   40.500000   40.500000  -53.500000  -53.500000   12.500000   19.500000  204.500000   46.500000   39.500000    1.500000   41.500000  -54.500000  -24.500000    1.500000   38.500000   40.500000   42.500000   63.500000   20.500000   37.500000   37.500000   37.500000   37.500000   37.500000   44.500000  216.500000   72.500000   68.500000   37.500000   20.500000   20.500000   20.500000   20.500000   20.500000    4.500000   20.500000   20.500000   20.500000  131.500000   43.500000   75.500000   96.500000  108.500000   10.500000 3000.000000 3000.000000   77.500000   56.500000   70.500000  -52.500000  -27.500000  150.500000   82.500000  -24.500000   59.500000   87.500000   52.500000   64.500000   72.500000  134.500000   95.500000   42.500000   31.500000   41.500000   -7.500000   48.500000   56.500000   56.500000   56.500000   67.500000   59.500000   62.500000  -43.500000   11.500000    7.500000   12.500000   19.500000  -37.500000  231.500000    7.500000  -23.500000  115.500000   20.500000  308.500000   20.500000   43.500000  260.500000  156.500000 -500.000000 3000.000000  102.500000   26.500000  -45.500000  -72.500000  -26.500000  117.500000  137.500000  142.500000   21.500000   38.500000   37.500000  -32.500000   49.500000   -7.500000   31.500000  123.500000  111.500000  150.500000   72.500000 -500.000000 -500.000000 -500.000000 -500.000000  -30.500000  -27.500000  -18.500000   72.500000  114.500000   42.500000   34.500000  286.500000   42.500000   20.500000  -35.500000 -500.000000   79.500000   87.500000   73.500000   77.500000   81.500000   67.500000   78.500000 3000.000000 3000.000000 3000.000000  -37.500000   63.500000  -37.500000  -37.500000   20.500000   20.500000   70.500000  100.500000   -7.500000  156.500000  -92.500000   49.500000    3.500000 -500.000000   18.500000  -27.500000   46.500000   45.500000  -67.500000  -17.500000   -4.500000  -31.500000    1.500000    1.500000   58.500000   34.500000 -500.000000   98.500000   67.500000   72.500000  -27.500000  -43.500000   60.500000    7.500000   43.500000   54.500000   20.500000  499.500000
 398.500000  283.500000  -52.500000   19.500000   18.500000   24.500000   18.500000   18.500000   42.500000   40.500000  228.500000  280.500000   97.500000   35.500000   66.500000   24.500000   90.500000   70.500000   85.500000   78.500000   83.500000   74.500000   66.500000   42.500000   79.500000   64.500000   39.500000   17.500000   17.500000   65.500000   67.500000   65.500000   72.500000   72.500000   66.500000   63.500000   65.500000   65.500000   26.500000   25.500000 3000.000000  228.500000  137.500000  128.500000    0.500000  -75.500000   63.500000   40.500000   36.500000   36.500000  -70.500000  -70.500000    4.500000   12.500000  200.500000   44.500000   37.500000    7.500000   37.500000  -72.500000  -37.500000   -6.500000   36.500000   38.500000   38.500000   63.500000   21.500000   31.500000   31.500000   31.500000   31.500000   31.500000   38.500000  214.500000   72.500000   68.500000   34.500000   17.500000   17.500000   17.500000   17.500000   17.500000    3.500000   17.500000   17.500000   17.500000  130.500000   45.500000   77.500000  101.500000  113.500000    7.500000 3000.000000 3000.000000   74.500000   51.500000   66.500000  -64.500000  -47.500000  147.500000   78.500000  -13.500000   56.500000   84.500000   47.500000   60.500000   69.500000  132.500000   93.500000   41.500000   29.500000   34.500000  -25.500000   42.500000   51.500000  -98.500000  -98.500000   66.500000   55.500000   58.500000  -58.500000    4.500000   -1.500000   -1.500000   20.500000  -52.500000  228.500000    0.500000  -36.500000  114.500000   17.500000  336.500000   17.500000   -8.500000  258.500000  167.500000 -500.000000 3000.000000  100.500000   22.500000  -57.500000 -500.000000  -41.500000  115.500000  135.500000  141.500000   -8.500000   33.500000   31.500000  -46.500000   37.500000  -18.500000   29.500000  118.500000  110.500000  147.500000   72.500000 -500.000000 -500.000000 -500.000000 -500.000000  -44.500000  -41.500000  -30.500000   72.500000  115.500000   39.500000   34.500000  279.500000   39.500000   17.500000  -50.500000 -500.000000   78.500000   84.500000   70.500000   73.500000   78.500000   62.500000   78.500000 3000.000000 3000.000000 3000.000000  -85.500000   59.500000  -85.500000  -85.500000   17.500000   17.500000   70.500000  100.500000  -25.500000  158.500000 -500.000000   43.500000  -18.500000 -500.000000   16.500000  -40.500000   39.500000   39.500000  -50.500000  -29.500000  -13.500000  -45.500000   -6.500000   -6.500000   57.500000   30.500000 -500.000000   95.500000   68.500000   72.500000  -47.500000  -58.500000   62.500000    0.500000   42.500000   53.500000   17.500000  499.500000
 350.500000  254.500000  -54.500000   17.500000   17.500000   24.500000   17.500000   16.500000   42.500000   39.500000  231.500000  284.500000   83.500000   30.500000   65.500000   20.500000   90.500000   70.500000   84.500000   78.500000   83.500000   74.500000   65.500000   41.500000   81.500000   66.500000   39.500000   16.500000   16.500000   65.500000   66.500000   63.500000   71.500000   72.500000   63.500000   60.500000   61.500000   65.500000   18.500000   17.500000 3000.000000  228.500000  137.500000  128.500000   -0.500000  -79.500000   62.500000   38.500000   31.500000   30.500000  -73.500000  -73.500000    3.500000   11.500000  185.500000   41.500000   33.500000    3.500000   31.500000  -75.500000  -39.500000   -7.500000   34.500000   37.500000   38.500000   63.500000   18.500000   25.500000   25.500000   25.500000   25.500000   24.500000   32.500000  212.500000   72.500000   67.500000   34.500000   16.500000   17.500000   17.500000   17.500000   17.500000    3.500000   17.500000   17.500000   17.500000  125.500000   49.500000   77.500000  102.500000  115.500000    7.500000 3000.000000 3000.000000   74.500000   41.500000   59.500000  -70.500000  -57.500000  146.500000   77.500000  -17.500000   51.500000   79.500000   40.500000   55.500000   65.500000  129.500000   89.500000   41.500000   28.500000   26.500000  -34.500000   34.500000   37.500000  -98.500000  -98.500000   65.500000   51.500000   50.500000  -61.500000    3.500000   -9.500000   -9.500000   18.500000  -61.500000  228.500000   -0.500000  -38.500000  112.500000   16.500000  341.500000   16.500000  -17.500000  258.500000  169.500000 -500.000000 3000.000000   96.500000   11.500000  -86.500000 -500.000000  -50.500000  111.500000  133.500000  139.500000  -17.500000   27.500000   25.500000  -48.500000   34.500000  -19.500000   28.500000  117.500000  108.500000  146.500000   72.500000 -500.000000 -500.000000 -500.000000 -500.000000  -46.500000  -43.500000  -32.500000   71.500000  119.500000   39.500000   34.500000  244.500000   39.500000   16.500000  -52.500000 -500.000000   74.500000   79.500000   63.500000   67.500000   72.500000   55.500000   78.500000 3000.000000 3000.000000 3000.000000 -500.000000   52.500000 -500.000000 -500.000000   17.500000   17.500000   70.500000  103.500000  -34.500000  166.500000 -500.000000   34.500000  -27.500000 -500.000000   15.500000  -42.500000   39.500000   39.500000  -55.500000  -31.500000  -15.500000  -47.500000   -7.500000   -7.500000   74.500000   74.500000 -500.000000   93.500000   66.500000   70.500000  -57.500000  -61.500000   63.500000   -0.500000   42.500000   59.500000   16.500000  499.500000
 365.500000  263.500000  -54.500000   18.500000   16.500000   23.500000   17.500000   17.500000   42.500000   39.500000  239.500000  295.500000   88.500000   31.500000   65.500000   23.500000   89.500000   69.500000   83.500000   77.500000   82.500000   73.500000   65.500000   41.500000   80.500000   65.500000   39.500000   17.500000   17.500000   65.500000   66.500000   63.500000   72.500000   72.500000   63.500000   60.500000   62.500000   65.500000   18.500000   17.500000 3000.000000  228.500000  137.500000  128.500000   -0.500000  -81.500000   63.500000   40.500000   32.500000   31.500000  -73.500000  -73.500000    4.500000   12.500000  190.500000   41.500000   34.500000    9.500000   31.500000  -75.500000  -39.500000   -7.500000   34.500000   37.500000   39.500000   64.500000   20.500000   25.500000   25.500000   25.500000   25.500000   24.500000   32.500000  212.500000   72.500000   68.500000   34.500000   17.500000   17.500000   17.500000   17.500000   17.500000    3.500000   17.500000   17.500000   17.500000  127.500000   48.500000   79.500000  104.500000  117.500000    7.500000 3000.000000 3000.000000   74.500000   43.500000   60.500000  -74.500000  -64.500000  147.500000   77.500000  -10.500000   52.500000   80.500000   41.500000   56.500000   66.500000  130.500000   89.500000   41.500000   28.500000   26.500000  -38.500000   35.500000   40.500000  -98.500000  -98.500000   65.500000   51.500000   51.500000  -61.500000    3.500000  -11.500000  -11.500000   19.500000  -65.500000  228.500000    0.500000  -38.500000  112.500000   17.500000  354.500000   17.500000  -20.500000  258.500000  174.500000 -500.000000 3000.000000   97.500000   -0.500000 -500.000000 -500.000000  -54.500000  112.500000  133.500000  139.500000  -20.500000   27.500000   25.500000  -48.500000   35.500000  -19.500000   28.500000  117.500000  108.500000  147.500000   72.500000 -500.000000 -500.000000 -500.000000 -500.000000  -46.500000  -43.500000  -32.500000   71.500000  116.500000   39.500000   34.500000  255.500000   39.500000   17.500000  -53.500000 -500.000000   75.500000   80.500000   64.500000   68.500000   73.500000   56.500000   77.500000 3000.000000 3000.000000 3000.000000 -500.000000   53.500000 -500.000000 -500.000000   17.500000   17.500000   69.500000  100.500000  -38.500000  160.500000 -500.000000   35.500000  -31.500000 -500.000000   15.500000  -42.500000   39.500000   39.500000  -42.500000  -31.500000  -15.500000  -47.500000   -7.500000   -7.500000   73.500000   73.500000 -500.000000   93.500000   66.500000   70.500000  -64.500000  -61.500000   64.500000    0.500000   42.500000   58.500000   17.500000  499.500000
 390.500000  278.500000  -50.500000   17.500000   17.500000   23.500000   17.500000   16.500000   42.500000   39.500000  228.500000  281.500000   95.500000   33.500000   65.500000   22.500000   89.500000   70.500000   83.500000   77.500000   82.500000   73.500000   65.500000   41.500000   80.500000   66.500000   39.500000   17.500000   17.500000   64.500000   66.500000   64.500000   72.500000   72.500000   65.500000   61.500000   63.500000   64.500000   23.500000   22.500000 3000.000000  228.500000  137.500000  129.500000    0.500000  -77.500000   62.500000   39.500000   34.500000   34.500000  -69.500000  -69.500000    5.500000   13.500000  198.500000   43.500000   35.500000    5.500000   34.500000  -70.500000  -36.500000   -5.500000   34.500000   37.500000   39.500000   63.500000   19.500000   29.500000   29.500000   29.500000   29.500000   28.500000   36.500000  213.500000   72.500000   68.500000   33.500000   17.500000   17.500000   17.500000   17.500000   17.500000    3.500000   17.500000   17.500000   17.500000  129.500000   46.500000   77.500000  101.500000  114.500000    7.500000 3000.000000 3000.000000   74.500000   49.500000   64.500000  -68.500000  -54.500000  147.500000   77.500000  -16.500000   54.500000   82.500000   45.500000   59.500000   68.500000  131.500000   92.500000   41.500000   28.500000   32.500000  -30.500000   40.500000   49.500000  -98.500000  -98.500000   65.500000   53.500000   56.500000  -57.500000    4.500000   -5.500000   -5.500000   18.500000  -57.500000  228.500000    0.500000  -35.500000  113.500000   17.500000  336.500000   17.500000  -13.500000  258.500000  167.500000 -500.000000 3000.000000   99.500000   12.500000  -83.500000 -500.000000  -46.500000  114.500000  135.500000  140.500000  -13.500000   30.500000   29.500000  -45.500000   42.500000  -17.500000   28.500000  119.500000  109.500000  147.500000   72.500000 -500.000000 -500.000000 -500.000000 -500.000000  -43.500000  -39.500000  -29.500000   71.500000  116.500000   39.500000   34.500000  273.500000   39.500000   17.500000  -49.500000 -500.000000   76.500000   82.500000   68.500000   72.500000   76.500000   60.500000   78.500000 3000.000000 3000.000000 3000.000000 -500.000000   57.500000 -500.000000 -500.000000   17.500000   17.500000   70.500000  101.500000  -30.500000  161.500000 -500.000000   41.500000  -23.500000 -500.000000   15.500000  -39.500000   39.500000   39.500000  -53.500000  -28.500000  -13.500000  -44.500000   -5.500000   -5.500000   74.500000   74.500000 -500.000000   94.500000   65.500000   70.500000  -54.500000  -57.500000   62.500000    0.500000   42.500000   57.500000   17.500000  499.500000
 460.500000  322.500000  -43.500000   18.500000   18.500000   25.500000   18.500000   17.500000   45.500000   41.500000  220.500000  269.500000  103.500000   39.500000   67.500000   22.500000   91.500000   70.500000   86.500000   78.500000   84.500000   74.500000   67.500000   44.500000   83.500000   68.500000   41.500000   17.500000   17.500000   67.500000   68.500000   67.500000   73.500000   73.500000   69.500000   65.500000   67.500000   67.500000   32.500000   31.500000 3000.000000  228.500000  139.500000  131.500000    4.500000  -67.500000   63.500000   39.500000   40.500000   39.500000  -60.500000  -60.500000    9.500000   17.500000  223.500000   46.500000   39.500000    3.500000   40.500000  -62.500000  -30.500000   -2.500000   34.500000   38.500000   42.500000   65.500000   20.500000   36.500000   36.500000   36.500000   36.500000   36.500000   43.500000  217.500000   72.500000   69.500000   33.500000   17.500000   17.500000   17.500000   17.500000   17.500000    4.500000   17.500000   17.500000   17.500000  138.500000   43.500000   78.500000  101.500000  113.500000    9.500000 3000.000000 3000.000000   76.500000   55.500000   70.500000  -53.500000  -29.500000  148.500000   81.500000  -20.500000   59.500000   87.500000   51.500000   64.500000   72.500000  135.500000   96.500000   44.500000   30.500000   40.500000  -12.500000   47.500000   55.500000   55.500000   55.500000   67.500000   58.500000   62.500000  -50.500000    6.500000    5.500000    7.500000   19.500000  -39.500000  228.500000    5.500000  -28.500000  116.500000   17.500000  321.500000   17.500000    0.500000  258.500000  163.500000 -500.000000 3000.000000  103.500000   26.500000  -53.500000  -76.500000  -29.500000  118.500000  138.500000  143.500000    0.500000   37.500000   36.500000  -38.500000   50.500000  -11.500000   30.500000  122.500000  111.500000  148.500000   72.500000 -500.000000 -500.000000 -500.000000 -500.000000  -36.500000  -33.500000  -23.500000   72.500000  114.500000   41.500000   34.500000  319.500000   41.500000   17.500000  -42.500000 -500.000000   79.500000   87.500000   73.500000   77.500000   81.500000   66.500000   78.500000 3000.000000 3000.000000 3000.000000  -40.500000   62.500000  -40.500000  -40.500000   17.500000   17.500000   70.500000  100.500000  -12.500000  156.500000  -94.500000   48.500000   -6.500000 -500.000000   16.500000  -33.500000   41.500000   41.500000  -62.500000  -23.500000   -9.500000  -37.500000   -2.500000   -2.500000   76.500000   76.500000 -500.000000   97.500000   67.500000   72.500000  -29.500000  -50.500000   62.500000    5.500000   45.500000   52.500000   17.500000  499.500000
 490.500000  342.500000  -33.500000   17.500000   19.500000   26.500000   18.500000   17.500000   47.500000   42.500000  212.500000  258.500000  105.500000   45.500000   68.500000   15.500000  105.500000   70.500000  101.500000   85.500000   96.500000   80.500000   68.500000   46.500000   83.500000   69.500000   43.500000   20.500000   20.500000   67.500000   69.500000   68.500000   71.500000   78.500000   72.500000   68.500000   70.500000   68.500000   46.500000   45.500000 3000.000000  236.500000  146.500000  140.500000   10.500000  -57.500000   66.500000   37.500000   47.500000   47.500000  -49.500000  -49.500000   15.500000   22.500000  235.500000   50.500000   42.500000   -8.500000   48.500000  -50.500000  -21.500000    2.500000   32.500000   38.500000   46.500000   67.500000   16.500000   45.500000   45.500000   45.500000   47.500000   47.500000   54.500000  223.500000   72.500000   70.500000   37.500000   20.500000   20.500000   20.500000   20.500000   20.500000    6.500000   20.500000   20.500000   20.500000  144.500000   44.500000   79.500000  100.500000  112.500000   13.500000 3000.000000 3000.000000   81.500000   65.500000   78.500000  -36.500000   -3.500000  155.500000   94.500000  -44.500000   64.500000   93.500000   60.500000   70.500000   77.500000  140.500000  102.500000   45.500000   31.500000   52.500000   16.500000   58.500000   65.500000   65.500000   65.500000   68.500000   64.500000   71.500000  -39.500000   12.500000   25.500000   34.500000   17.500000   -8.500000  236.500000   11.500000  -20.500000  121.500000   20.500000  307.500000   20.500000  129.500000  468.500000  158.500000 -500.000000 3000.000000  109.500000   30.500000  -43.500000  -24.500000    0.500000  123.500000  143.500000  149.500000   70.500000   47.500000   47.500000  -28.500000   69.500000   -3.500000   31.500000  132.500000  115.500000  155.500000   72.500000  -58.500000 -500.000000 -500.000000 -500.000000  -26.500000  -23.500000  -14.500000   72.500000  123.500000   43.500000   34.500000  338.500000   43.500000   20.500000  -32.500000 -500.000000   84.500000   93.500000   81.500000   84.500000   88.500000   75.500000   84.500000 3000.000000 3000.000000 3000.000000   -8.500000   71.500000   -8.500000   -8.500000   20.500000   20.500000   70.500000  108.500000   16.500000  168.500000  -49.500000   60.500000   38.500000  -80.500000   17.500000  -24.500000   43.500000   43.500000 -500.000000  -15.500000   -2.500000  -28.500000    2.500000    2.500000   77.500000   77.500000    2.500000  107.500000   68.500000   75.500000   -3.500000  -39.500000   62.500000   11.500000   47.500000   52.500000   20.500000  499.500000
3000.000000 3000.000000  -29.500000    7.500000   19.500000   26.500000   13.500000    3.500000   47.500000   42.500000  208.500000  253.500000  118.500000   48.500000   67.500000   -2.500000  126.500000   67.500000  122.500000   93.500000  113.500000   86.500000   67.500000   46.500000   82.500000   69.500000   43.500000   20.500000   20.500000   68.500000   67.500000   67.500000   59.500000   79.500000   70.500000   66.500000   65.500000   67.500000   59.500000   59.500000 3000.000000  235.500000  146.500000  140.500000   11.500000  -53.500000   66.500000   26.500000   50.500000   51.500000  -45.500000  -45.500000   17.500000   24.500000 3000.000000   49.500000   40.500000  -42.500000   52.500000  -46.500000  -19.500000    3.500000   31.500000   37.500000   46.500000   67.500000    0.500000   52.500000   52.500000   52.500000   56.500000   55.500000   64.500000  298.500000   72.500000   71.500000   36.500000   20.500000   20.500000   20.500000   20.500000   20.500000    7.500000   20.500000   20.500000   20.500000  499.500000   36.500000   79.500000   99.500000  110.500000   14.500000 3000.000000 3000.000000   82.500000   78.500000   93.500000  -31.500000    4.500000  155.500000   90.500000  -97.500000   69.500000  110.500000   69.500000   76.500000   82.500000  177.500000  122.500000   45.500000   31.500000   65.500000   25.500000   70.500000   78.500000   78.500000   78.500000   67.500000   70.500000   84.500000  -36.500000   12.500000   36.500000   44.500000    4.500000    0.500000  235.500000   13.500000  -16.500000  146.500000   20.500000  301.500000   20.500000  125.500000  468.500000  156.500000 -500.000000 3000.000000  132.500000   30.500000  -42.500000  -19.500000    9.500000  153.500000  181.500000  188.500000   74.500000   53.500000   56.500000  -25.500000   69.500000   -1.500000   31.500000  132.500000  138.500000  155.500000   72.500000  -49.500000 -500.000000 -500.000000 -500.000000  -23.500000  -20.500000  -12.500000   72.500000  140.500000   43.500000   34.500000 3000.000000   43.500000   20.500000  -29.500000 -500.000000   95.500000  110.500000   96.500000  100.500000  104.500000   89.500000   90.500000 3000.000000 3000.000000 3000.000000   -0.500000   82.500000   -0.500000   -0.500000   20.500000   20.500000   67.500000  120.500000   25.500000  195.500000  -40.500000   72.500000   45.500000  -72.500000    3.500000  -21.500000   43.500000   43.500000 -500.000000  -13.500000   -1.500000  -25.500000    3.500000    3.500000   76.500000   76.500000    3.500000  116.500000   68.500000   79.500000    4.500000  -36.500000   61.500000   13.500000   47.500000   54.500000   20.500000  499.500000
3000.000000 3000.000000  -39.500000   -0.500000   17.500000   26.500000    8.500000   -6.500000   57.500000   48.500000  244.500000  297.500000  133.500000   50.500000   62.500000  -18.500000  150.500000   67.500000  147.500000  105.500000  133.500000   95.500000   61.500000   55.500000   96.500000   81.500000   48.500000   20.500000   20.500000   60.500000   64.500000   62.500000   59.500000   77.500000   67.500000   61.500000   56.500000   61.500000   69.500000   67.500000 3000.000000  239.500000  148.500000  142.500000   20.500000  -46.500000   70.500000   18.500000   53.500000   55.500000  -58.500000  -58.500000   17.500000   25.500000 3000.000000   49.500000   39.500000  -71.500000   57.500000  -59.500000  -26.500000    1.500000   30.500000   40.500000   52.500000   76.500000  -12.500000   57.500000   57.500000   57.500000   64.500000   63.500000   76.500000  299.500000   72.500000   71.500000   41.500000   20.500000   20.500000   20.500000   20.500000   20.500000    7.500000   20.500000   20.500000   20.500000  499.500000   29.500000   91.500000  114.500000  129.500000   14.500000 3000.000000 3000.000000   83.500000  116.500000  115.500000  -24.500000   10.500000  157.500000   84.500000 -500.000000   71.500000  121.500000   79.500000   83.500000   85.500000  181.500000  133.500000   54.500000   33.500000   81.500000   32.500000   91.500000  145.500000  171.500000  116.500000   62.500000   73.500000  105.500000  -47.500000   12.500000   43.500000   52.500000   -6.500000    6.500000  239.500000   12.500000  -24.500000  148.500000   20.500000  353.500000   20.500000  121.500000  470.500000  182.500000 -500.000000 3000.000000  141.500000   30.500000  -61.500000  -26.500000   16.500000  160.500000  185.500000  190.500000   77.500000   59.500000   64.500000  -34.500000   69.500000   -5.500000   33.500000  134.500000  141.500000  157.500000   72.500000  -43.500000 -500.000000 -500.000000 -500.000000  -32.500000  -28.500000  -18.500000   72.500000  164.500000   47.500000   34.500000 3000.000000   45.500000   20.500000  -39.500000 -500.000000  102.500000  121.500000  116.500000  118.500000  119.500000  110.500000  101.500000 3000.000000 3000.000000 3000.000000    1.500000   98.500000    1.500000    1.500000   20.500000   20.500000   67.500000  139.500000   32.500000  234.500000  -34.500000  100.500000   51.500000  -66.500000   -6.500000  -29.500000   48.500000   48.500000 -500.000000  -19.500000   -4.500000  -34.500000    1.500000    1.500000   89.500000   89.500000    3.500000  114.500000   67.500000   82.500000   10.500000  -47.500000   68.500000   12.500000   57.500000   54.500000   20.500000  499.500000
