NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 2992.719600  5508.897851  3748.366935  3917.518349  4310.237398 40118.500000  1522.000000  6929.000000 20335.000000  8939.500000  3057.000000  6256.000000  9644.436535
 2889.742075  5510.598971  3669.772066  3893.619373  4279.264485 39046.500000  1652.000000  6853.000000 19424.000000  8518.000000  3023.000000  6246.000000  9641.570588
 2235.588617  5510.627332  3452.828527  3723.819367  4277.805761 38542.000000  1642.000000  6818.000000 18277.500000  8365.750000  2959.000000  6167.000000  9263.000000
 2096.130617  5267.794427  3417.774422  3689.056574  4164.395240 38069.000000  1556.000000  6819.000000 17835.500000  8077.750000  2959.000000  6131.000000  9070.000000
 2099.974913  5258.877076  3327.358663  3675.727382  4257.985700 37803.000000  1567.000000  6813.000000 16971.500000  8235.250000  2961.000000  6159.000000  9120.000000
 2101.128146  5251.185181  3356.880400  3686.518006  4225.374441 39625.750000  1591.000000  6871.000000 16521.500000  8652.750000  2963.000000  6272.000000  9353.000000
 2431.681102  5481.660727  3471.842987  3723.491431  4274.202597 41015.750000  1681.000000  7014.000000 17148.000000  9744.000000  3019.000000  6163.000000  9641.570588
 3001.992706  5479.687379  3564.370115  3820.229897  4633.423413 43372.000000  1783.000000  7119.000000 17187.500000 10668.250000  3084.000000  6160.000000  9644.436535
 2999.695269  5478.721655  3585.968760  3804.706378  5217.140779 45186.750000  1821.000000  7150.000000 18127.000000 10935.250000  3082.000000  6248.000000  9644.436535
 2983.140632  5478.631165  3651.557339  3851.435934  5801.188183 46328.250000  1899.000000  7225.000000 20267.000000 10654.000000  3130.000000  6315.000000  9644.436535
 3020.984288  5805.453783  3731.852902  3911.650227  6224.190661 47085.750000  1883.000000  7276.000000 22641.000000 10319.750000  3190.000000  6459.000000  9647.302482
 3055.192834  6192.727555  3742.243560  3918.224084  6234.663730 47946.250000  1914.000000  7391.000000 24673.500000 10230.000000  3277.000000  6452.000000  9647.302482
 3054.062542  6433.754451  3699.600309  3963.387332  6268.309821 47896.000000  2129.000000  7432.000000 26035.500000  9935.500000  3330.000000  6507.000000  9647.302482
 3050.155942  6555.244970  3738.448533  3933.292060  6274.140849 46709.750000  2113.000000  7451.000000 26746.500000  9995.000000  3435.000000  6476.000000  9647.302482
 3052.895822  6671.937299  3728.152937  3935.421943  6269.898889 44882.500000  2058.000000  7561.000000 27164.500000 10367.750000  3519.000000  6457.000000  9854.000000
 3049.195666  6796.312905  3844.004923  3933.575340  6313.559211 44346.500000  2090.000000  7681.000000 28117.500000 10717.500000  3684.000000  6506.000000 10142.000000
 3047.090757  6980.900398  3918.911555  3907.599357  6296.543589 45865.750000  2270.000000  7877.000000 30762.000000 10809.750000  3757.000000  6527.000000 10168.000000
 3057.665804  6997.810086  3937.706321  3862.324231  6305.116948 49043.750000  2486.000000  7912.000000 32474.000000 10953.000000  3779.000000  6566.000000 10168.000000
 3054.155867  6900.060647  3818.440174  3889.444504  6313.240836 50110.000000  2486.000000  7798.000000 31154.500000 10542.000000  3756.000000  6613.000000 10125.000000
 3060.029189  6802.648942  3805.575189  3884.161224  6251.911043 50131.000000  2486.000000  7619.000000 29021.000000  9938.250000  3676.000000  6603.000000  9924.000000
 3129.295767  6488.608275  3726.803209  3861.620304  6252.793023 48267.750000  2486.000000  7347.000000 27077.000000  8798.000000  3548.000000  6557.000000  9760.000000
