NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 0.000000  0.000000 24.318857 18.666868 11.902726  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
102.498043 148.967740  35.441198  24.278216  68.451611   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 17.740931 148.032258  27.116468  19.807982  68.903225   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 31.793746 147.322576  34.717764  22.648114  68.419356   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 27.344631 147.290323  34.666745  22.942790  67.322578   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 0.000000 76.784905 21.546807 17.998924 68.032259  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 28.895881 150.741939  29.262406  19.874024  69.419353   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 0.000000  0.000000  0.000000  0.000000 14.788859  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  0.000000  0.000000  0.000000 38.352489  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  0.000000  6.761257  2.995443 62.374575  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
0.000000 0.000000 7.788889 5.338626 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.000000 2.248222 0.000000 9.774107 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.000000 11.056657  0.000000 13.765269  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 17.251784  0.000000 16.371308  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 20.475436  0.000000 19.539294  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 28.559681  1.746771 21.400526  1.219242  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 36.290275  0.000000 20.027468  0.179075  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 36.115786  0.000000 17.046459  0.010624  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 37.493881 23.191944 21.711253  1.980296  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 33.415055  9.060489 21.153891  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  6.140758  0.000000 12.105776  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  0.000000 10.906078 10.665667 70.814243  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 10.040886 27.522939 18.508214 70.230305  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  0.000000 16.330516 17.700642 67.996660  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  0.000000  0.000000  8.976518 39.954143  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
147.355603 142.322589  28.449480  14.622175  70.806452   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 87.555426 145.387100  48.028572  32.485680  70.612905   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
105.510562 144.451609  37.863590  16.850400  70.161291   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
111.881984 141.548388  50.582166  18.225591  68.838711   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
0.000000 0.000000 0.000000 9.515431 2.783847 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 0.000000  0.000000  0.000000 11.414013 40.835958  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 42.129805 15.794582 17.238462 63.778499  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  0.000000 38.224797 22.584371 67.588939  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  9.276434  0.000000 27.884777 70.677908  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 15.420258 17.867933  0.000000 71.418236  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 19.782330  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 18.062999  0.000000  0.000000 71.681375  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 20.540452 11.888387  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 20.894545 11.665441  0.000000 71.174878  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 29.724362  7.248099  0.291261  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 38.898851  0.000000  0.000000  1.552011  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 40.866191  2.660116  0.000000  2.185999  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 36.257037  7.578001 28.676722  3.008652  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 27.059409  3.973107 24.962443  0.967501  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  0.000000  0.000000 16.426378 69.302168  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  0.000000  0.000000 14.374088 69.588424  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 62.955148 32.874345 21.679725 71.846980  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  0.000000 17.346698 18.403777 56.523734  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  0.000000  0.000000 14.151927 26.510239  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
