NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 0.000000  0.000000 13.268027 14.020017  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 48.599974 -15.819748  77.472146  38.126368  -8.040299   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 32.478359 -13.845034  50.228929  23.086617  -6.483344   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 5.139350  8.372739 53.704938 17.140223  3.986142  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
13.223176 33.407625 46.837657 19.577894 13.493865  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 2.338693  8.440825 36.486484 18.182448  3.736164  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 2.011958 -0.666473 45.437339 19.277375 -0.393121  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
  1.438336   6.186935 -11.024579 -17.171451   3.219568   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  2.605105   3.283181   2.666207 -22.307995   1.610602   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
2.148428 4.596963 4.117619 1.807395 2.128362 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.074042 6.294846 5.190427 0.192294 3.120982 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 3.842479  7.452640  5.524342 -0.160592  4.013210  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
4.368604 7.687484 5.513605 1.997801 4.075588 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.004668 8.091319 5.544229 2.657362 4.068355 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.977409 8.310340 5.684568 2.701498 4.094968 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.730114 8.209790 2.131253 2.732654 4.078678 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.448942 8.492059 1.048947 2.764165 4.059761 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.068203 8.436331 0.698126 2.846569 4.207562 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 5.544887  8.487512 -8.108823  2.855597  4.077019  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 6.579255  8.306140 -2.838237  2.824282  2.000723  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.670189  8.228234  0.000000  2.816412 -0.015687  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
2.488606 4.054544 5.020852 2.820701 3.866521 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.110240 0.055527 0.494622 2.800620 3.781269 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 3.224918  4.061781  0.339532 22.060473  1.879990  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
  0.000000   0.000000 -19.621679  26.093140   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-93.857767 -14.850033 -10.019516  24.005385  -8.055624   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 47.342230 -14.761700 -21.527040 -16.160692  -7.699448   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 46.491078 -13.692982   4.869151  31.335400  -7.174854   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 47.591369 -11.339706  66.838858  27.040371  -6.225475   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
