Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
  40.742981 2356.549334    0.815921   31.489710    3.556476    0.404966   14.722260    6.536591 1780.100562   89.220671 3335.360269  270.731260 2041.038041    0.892297    0.279611   31.364227    0.000000    0.075126   60.922831 1545.408561   60.369034 3463.702105    0.745273    3.602608  261.931125  828.781682  129.351169    0.011150    0.000944    0.005663    0.028084    0.018449    0.164732  285.518084    0.009857    0.010508    0.036366    0.045754    0.024756    0.236418  171.871809 1794.952787  535.628945 1503.305424    0.131411   11.146886 1210.453795    3.559861    0.124059    0.168005    3.002828    0.552299    0.059556    0.109987 2323.090704    0.680070    0.560294   10.900495    0.244696    9.429647    1.692762    0.805212    0.000000    3.324329  171.119108  306.365663    4.671729    0.043525    0.096410    0.280636    0.440757    0.112429    0.000000  952.000859  155.731920    0.000299  759.842220    0.007108    0.016353    0.003129    0.039540    0.008050    0.135208    0.013610    0.006442    0.002930 1405.632848    1.363234  316.579942   42.260556 1374.244994    0.032268  326.174500  261.245150  265.081404  419.997464    0.000000    2.093167   21.959989  850.956424  595.545397    5.773818    0.000333  148.345242    0.517102  228.393103  489.571430  476.127783    0.460918   25.678853    0.038241    0.038732    6.819810    0.845069   78.283774    1.505457    5.896374    0.131024    0.000000  119.816687   10.054027    0.063650    3.054210    2.465895    9.063826   30.072109  993.037120    0.032979    0.177970  397.441401    0.003861    0.000000    0.000193   16.855933  645.626903 1744.184398    7.644818  120.081104   59.822245    0.020495    1.582414   10.308695   34.426936    6.259044  210.905814  132.046104    0.007057    0.101203    0.273022    3.731171  398.293723    0.558271    0.000000  310.442710   75.004054  757.610935  100.913520   19.938952   22.845636   20.529220    4.102396    8.517000    1.299656    3.580251   15.861639    0.000000  180.725453    0.000000 1416.250716  669.198193    0.025127    2.187472    3.810292   35.378595  313.241170    0.000000    7.727485  118.770558   15.154405  738.433194   87.234492   92.428840  129.400375    1.698312  394.503711    1.250202    3.876775    0.021737    0.002155    0.126580   82.477125    1.055045    0.000000   13.728763  297.660460    1.051467   11.547684    8.246496    2.524159   24.301910   10.309084   22.653824    1.358045   10.600168    6.802610    0.089322    0.552346  173.455918    0.140208    8.902749  254.286294    0.022486   40.918286    6.099736    5.027514   29.457131    1.044623   42.057473    0.028412    0.006304    0.000000
  31.979846 1237.249909    0.837779    6.555037    0.664586    0.093333    1.257090    1.106305 1336.438018   28.766635 3338.334972  271.032822 1940.470676    0.725102    0.054625    3.465816    0.000000   33.966333   19.022555  205.140090    9.786299  394.704129    0.146300    2.912083  263.322214  828.781682   31.915199    0.011135    0.000943    0.001668    0.001308    0.002586   19.128234  393.046162    0.000000    0.003696    0.001380    0.008966   15.488690  111.984214  171.871809 1794.952787  535.628945 1503.305424    0.213450   14.422476    0.009558    0.651925    0.122460    0.240993    3.060955    0.563664    0.059152    0.109103  922.786314    0.283335    0.187665    1.677064    0.388725    9.364508    1.751420    0.874797    6.507881    3.324329  112.830979  307.534757    0.648219    0.147857    0.328415    0.957288    3.284537    0.754311   11.024449  820.593025  270.580052    0.000295  745.745515    0.007097    0.016319    0.003121    0.039383    0.008007    0.149274    0.013543    0.006426    0.002922  403.544895    0.534266  316.579942   42.548974 1374.244994    0.037404  326.174500  261.245150  260.816183    2.761353    0.000000    2.955044   45.426705  850.956424  928.523396    1.743442    0.018094  118.922937    3.142275    0.047953  311.730065  464.957737    0.414164    8.414963    0.022462    9.569271   20.559531    6.869668    0.898449    0.077134    0.147311    0.006084    0.067676    0.115246   10.287461    0.074620   13.607521   17.528105    1.520607   58.923386  993.037120    0.032737    0.176834  428.874192    0.003854    0.000000    0.000193    0.787974  645.626903 1744.547732    7.521863  120.081104   58.563642    0.072292    2.086994   27.003519   74.205421    6.544578  204.353323  126.044364    8.253312    0.324870    2.033210    3.839985  342.087462    0.554211    0.076921  305.982087   82.379577  757.610935  164.161228   26.096630   22.337904   20.046098    3.997297    8.776765    1.342131    3.727586   28.907434    0.000000   39.528415    0.000000  736.384333  133.719695    0.025091    2.172014    3.785755   34.457638  251.113951    0.000000    5.040497   87.558212    0.026305  425.081731   87.234492   92.428840  129.400375    3.804903    0.131577    2.803911    8.718738    0.021665    0.002147    0.000000   37.448936    3.178936    0.000000   19.586940    2.117516    6.393338   11.306971    0.300703    2.606389   15.336818    6.252242   14.488448    1.414414   11.285384    7.007807    0.097198    0.660314  213.090241    0.000000    8.832872  247.920153    0.001010   40.823641   12.589220    5.145758   29.457131    1.035235   31.575298    0.019643    0.006296    0.000000
  30.820623 1213.505384    1.286692    6.567040    0.753411    0.116611    1.259404    1.150682 1336.438018   15.613568 3356.154859  273.480181 1903.420117    0.926872    0.109647    3.047054    0.000000   46.117104    9.477619  205.140090    9.336205  398.096636    0.292962    0.938917  266.201444  831.944320    9.457846    0.038871    0.006580    0.003334    0.003928    0.008609   37.156050  305.708356    0.001930    0.007718    0.004563    0.017945   22.536192  160.787839  171.871809 1794.952787  535.628945 1472.983681    0.255103   16.657398    0.006858    0.569753    0.157545    0.305563    4.503669    0.831837    0.108199    0.229174  908.516944    0.335705    0.227287    1.389701    0.495108   14.017437    2.778728    1.583797    2.308611    0.165295    9.531884  306.365663    0.622696    0.195890    0.433229    1.258063    4.522749    1.032325   16.541474  816.205093  213.401144    0.000294  707.914134    0.017690    0.040638    0.015525    0.097705    0.019808    0.162964    0.033537    0.022381    0.020336  402.224915    0.491755  318.230728   43.749166 1437.995000    0.055213  326.174500  261.245150  248.485818    5.903388    0.053630    3.530304   65.017680  850.956424  767.876355    1.357002    0.029606  116.237691    5.046013    0.112962    0.000000  463.378090    0.376799    7.198365    0.056099   14.564833   30.661438   11.150547    1.927405   13.794478   26.193727    0.036645    0.110324    0.352231   15.195336    0.179029   17.312899   26.380069    1.524211   75.037624  993.037120    0.055160    0.285136  426.686419    0.013439    0.000000    0.001345    7.303272  645.626903 1748.742585    7.490731  120.081104   55.862808    0.131991    2.743143   37.987103   97.082844    6.493123  202.909239  125.105134   21.115579    0.426960    2.804030    5.916195  215.634876    1.002117    0.128094  284.341442   82.187877  757.610935  162.861903   25.653856   22.046108   19.851004    3.971352   13.733614    2.152093    6.085802   13.456480    0.000000   14.464075    0.000000  720.003786   48.930161    0.062557    3.366592    3.750988   31.470403  245.443870    0.000000    4.568355   76.145724    0.179211  440.881286   87.234492   92.428840  129.400375    7.889979    0.336427    5.825931   18.047805    0.150682    0.005331    5.809544   38.573120    4.761474    0.000000   20.843087    3.517442   11.462299   11.092851    0.377781    4.037903    1.462604    0.641321   11.088634    2.316395   19.223318   10.874380    0.176539    1.196464  213.090241    0.137023    8.701273  226.569160    0.000334    3.673432   18.116504    7.601664   35.150650    1.746785   16.193614    0.022156    0.021987    0.000000
  28.232621 1219.966696    1.352626    6.500359    0.837057    0.140522    1.413112    1.137776 1237.200855   10.526169 3359.469528  273.930260 1917.388182    1.152340    0.054543    3.289605    0.000000   53.811660   12.779429  284.879966   12.715547  559.668869    0.291726    0.938917  267.689586  838.596766    9.457846    0.038885    0.006583    0.003318    0.001301    0.008561    2.957209  332.295726    0.009594    0.013153    0.009524    0.017853   28.859317  204.562116  171.871809 1794.952787  535.628945 1452.204608    0.266025   17.679714    0.006805    0.605230    0.197188    0.379607    4.793952    0.884746    0.114956    0.248489  949.828060    0.420002    0.268992    1.512220    0.618882   14.890108    2.965672    1.692266    0.000000    0.115079    9.531884  306.365663    0.642427    0.249455    0.551785    1.602312    6.019331    1.304469   23.415951  904.016519  251.780906    0.000293  686.381453    0.024776    0.056923    0.021749    0.136929    0.027771    0.163234    0.047012    0.022396    0.020351  463.639512    0.310414  319.920818   44.060844 1449.106112    0.055304  326.174500  261.245150  248.485818   12.934910    0.637742    3.760789   74.688664  850.956424  957.915416    1.440041    0.043941  119.404067    7.457959    0.242779    0.003505  534.712493    0.449560    4.740628    0.055211   20.830272   35.721349   17.637661    5.548389   13.547883   25.676782    0.018217    0.184067    0.808223   16.327140    0.198239   20.645340   31.478086    1.571823   84.377433  993.037120    0.058190    0.303506  498.116979    0.013446    0.000000    0.001346    8.797058  645.626903 1749.949694    7.398645  120.081104   62.997707    0.541387    4.657126   37.098785  110.512998    7.560950  233.760660  144.175665   25.417073    0.546781    3.733629    6.255533  197.200990    1.046622    0.189156  279.573252   94.076786  757.610935  229.534507   25.121090   21.593991   19.440729    3.888403   14.534605    2.282181    6.522633   14.650289    0.000000   14.464075    0.000000  715.368616   48.930161    0.087612    3.550807    3.748940   37.405331  252.129890    0.170903    0.000000   61.743071    0.659120  629.811035   87.234492   92.428840  129.400375    9.181708    0.727136    6.785849   21.060291    0.150814    0.007470    2.300558   47.547489    5.549083    0.000000   20.399368    6.010361   13.528296   10.860609    0.414217    4.296110    1.462604    0.641321   11.725202    2.496455   21.367920   11.511097    0.188542    1.278161  276.656922  207.025068    8.717754  268.316740    0.000997    1.137129   20.792737    8.169677   35.150650    1.837788   10.180545    0.007292    0.029325    0.000000
  27.478225 1139.087677    1.348359    6.695730    0.831414    0.139536    1.576405    1.172548 1186.507805   10.526169 3368.557954  275.087152 1595.991520    1.208358    0.180145    2.993192    0.000000    0.000000    8.634885  191.253995    8.526037  360.039439    0.484397    0.938917  266.201444  838.596766    8.746840    0.038846    0.006576    0.005506    0.007733    0.012756   41.263727  257.585671    0.009577    0.016368    0.012663    0.029563   31.201562  212.825120  171.871809 1794.952787  535.628945 1472.983681    0.264833   18.233054    0.009396    0.599032    0.207217    0.398904    4.774060    0.882043    0.107513    0.227276  858.949660    0.446897    0.266779    1.320769    0.652009   14.832423    2.950375    1.682579    0.000000    0.115079   34.173238  308.744164    0.610913    0.259662    0.575285    1.672014    6.288407    1.362352   24.689561  813.367357  193.992068    0.000293  686.381453    0.024749    0.056839    0.021708    0.136532    0.027661    0.162474    0.046844    0.022354    0.020307  398.394808    0.377800  323.418911   45.023789 1483.272782    0.055046  326.174500  261.245150  248.485818   12.013351    0.638062    4.020669   84.226768  850.956424  729.932919    1.239435    0.049279   92.498847    8.003615    0.282985    0.007002  458.787242    0.365741    4.740628    0.076798   21.827015   39.195466   18.703874    4.542697   13.714181   25.979059    0.060053    0.183603    0.808050   16.255157    0.197098   22.215790   33.881617    1.555053   90.773959  993.037120    0.054800    0.302672  425.628595    0.013427    0.000000    0.001344    9.622483  645.626903 1752.021597    7.361598  120.081104   53.415178    1.230713    5.686615   37.435778  119.735794    6.460644  201.507942  124.645235   27.793357    0.572104    3.901443    6.229301  206.179254    1.043380    0.188035  280.145807   79.847226  757.610935  161.085227   25.353483   21.774378   19.590733    3.914043   14.477971    2.273804    6.501539    7.697404    0.000000   14.464075    0.000000  667.909711   13.648008    0.087522    3.627936    3.735020   28.168722  195.317669    0.171039    0.000000   53.950758    0.659221  425.081731   87.234492   92.428840  129.400375    9.270241    0.823509    6.854367   21.284992    0.150448    0.005322    0.000000   38.573120    6.087683    0.000000   20.598367    6.007382   14.949738   10.960445    0.411251    4.275503    0.407962    0.178883    9.509340    2.482394   21.234678   11.463395    0.187690    1.271228  276.656922  207.025068    8.668236  217.948432    0.000996    0.024650   23.433250    8.134335   35.284785    1.731040   10.180545    0.010657    0.021975    0.000000
  30.001461 1194.218643    1.220252    6.757568    0.838840    0.140935    1.589686    1.183697 1336.438018   10.526169 3357.254083  273.480181 1827.732329    1.037216    0.181468    3.292345    0.000000   20.653224    9.041722  197.788628    8.916118  375.107234    0.486844    0.938917  267.689586  838.596766    9.457846    0.038894    0.006585    0.005540    0.003900    0.012853   39.472209  266.841015    0.006432    0.010264    0.006837    0.029766   25.851690  184.003925  171.871809 1794.952787  535.628945 1493.960650    0.252627   17.156318    0.009490    0.646371    0.177115    0.343059    4.415203    0.814730    0.101025    0.208526  894.569440    0.389875    0.239737    1.515226    0.558752   13.452965    2.696085    1.486399    0.000000    0.115079   34.173238  307.534757    0.642335    0.227139    0.503472    1.464517    5.290652    1.144584   20.038686  816.205093  209.686153    0.000294  686.381453    0.024783    0.056944    0.015543    0.137027    0.019856    0.163423    0.047054    0.022406    0.020362  400.926574    0.452869  319.920818   44.060844 1449.106112    0.055368  326.174500  261.245150  248.485818    7.278811    0.179504    3.727739   72.899110  850.956424  744.833047    1.444406    0.039005  115.454494    6.006081    0.172922    0.001177  461.823125    0.372946    4.740628    0.055435   17.286334   33.979616   13.879628    2.375276   13.834401   26.283389    0.060562    0.145492    0.487626   14.856542    0.179626   19.356906   29.495350    1.569630   81.317611  993.037120    0.051927    0.275552  426.686419    0.013451    0.000000    0.001346    8.286307  645.626903 1749.141952    7.430666  120.081104   55.018798    0.499939    4.458662   37.747567  106.074758    6.476701  202.203242  125.105134   23.953673    0.475566    3.280147    5.757351  242.525949    0.954500    0.189929  288.581242   81.867148  757.610935  161.260771   25.638517   21.999225   19.778347    3.950060   13.345696    2.023205    5.859808    8.764497    0.000000   14.464075    0.000000  706.389780   48.930161    0.062596    3.282675    3.754492   30.212620  243.790096    0.017298    0.178399   73.102394    0.308516  425.081731   87.234492   92.428840  129.400375    9.344485    0.478554    6.900086   21.432169    0.150904    0.005339    0.000000   38.573120    5.269453    0.000000   20.865245    4.412321   12.811716   11.093353    0.415321    3.922802    1.462604    0.641321   11.564576    2.237329   19.290541   10.580322    0.165558    1.122616  276.656922  207.025068    8.730373  217.948432    0.002005    0.940723   20.258161    7.433121   35.150650    1.641163   15.066159    0.012682    0.021999    0.000000
  37.851771 1379.553304    1.014467    6.641346    0.763580    0.118465    1.442316    1.166329 1616.163051   28.766635 3348.618945  272.279821 2099.231225    0.784139    0.018446    3.366285    0.000000   33.129131   19.022555  205.140090    9.786299  407.859467    0.049373    3.349416  270.762921  849.393359   25.847050    0.027865    0.004720    0.001689    0.001325    0.002618   56.806504  401.983140    0.000000    0.003739    0.001397    0.009081   17.539906  120.152815  171.871809 1794.952787  535.628945 1503.305424    0.190102   14.602975    0.009685    0.617622    0.132763    0.244044    3.658218    0.673100    0.070553    0.140105  994.954309    0.312903    0.203029    1.599876    0.394059   11.433316    2.224389    1.221012    0.000000    0.165295  126.207092  308.744164    0.656627    0.158948    0.352964    1.029174    3.549005    0.812787   12.138592  822.809609  257.971441    0.000000  686.381453    0.017762    0.040860    0.015633    0.098748    0.020098    0.149982    0.033981    0.016096    0.020498  413.390650    0.582825  321.650212   43.749166 1437.995000    0.043365  326.174500  261.245150  252.518391    3.264492    0.000000    3.037742   47.823391  850.956424  895.141685    1.619914    0.018312  118.922937    3.567455    0.048598   72.877945  466.562065    0.414164   23.914177    0.038062   11.190299   23.534621    7.672558    1.060235    0.090840    0.173831    0.006166    0.068528    0.156048   12.598623    0.147250   14.699386   20.983411    1.603190   61.849768  993.037120    0.040825    0.217185  428.874192    0.009649    0.000000    0.000964    5.748838  645.626903 1747.175145    7.623626  120.081104   58.563642    0.073651    2.562561   28.885841   79.789523    6.544578  204.353323  126.523696   16.651969    0.329281    2.197140    4.724576  367.594105    0.708246    0.130271  301.565629   82.575954  757.610935  162.559706   26.401203   22.595377   20.275177    4.044150   10.876110    1.682661    4.684679   27.758134    0.000000   39.528415    0.000000  818.090238  133.719695    0.062794    2.728065    3.805114   34.457638  251.113951    0.000000    5.040497   87.558212    0.026705  426.390528   87.234492   92.428840  129.400375    4.059953    0.133508    2.988115    9.279632    0.108591    0.005382    0.000000   37.448936    3.635965    0.000000   20.325516    2.373643    8.802788   11.447684    0.383707    3.266865    3.997105    1.752645   13.618013    1.864387   15.697120    8.649422    0.135504    0.921422  280.924625  210.218632    8.884790  247.920153    0.001022   42.471944   13.257011    6.300157   35.150650    1.293158   36.317235    0.025337    0.015754    0.000000
  39.674672 1356.731977    0.899032    7.339820    2.030212    0.628810    4.034674    1.286062 1512.820784   41.940383 3083.651004  250.579275 1786.795618    0.515466    0.056375    4.526750    0.000000    0.000000   22.280117  391.281446   19.798193  284.846773    0.149559    2.628758  223.406352  691.278816   57.158613    0.346966    0.079099    0.003419    0.001353    0.000887    0.495429  471.407496    9.749021    0.000380    0.000000    0.009220    7.059254   52.682724  161.044471 1681.876876  501.886146 1408.602303    0.230045   13.073579    0.004740    0.815226    0.085802    0.157897    3.163772    0.580008    0.092769    0.237176  919.077375    0.243332    0.168539    2.405347    0.250467    9.765507    2.014368    1.607311    0.199991    0.016739  261.473803  251.666543    0.784426    0.086654    0.192282    0.560880    1.742619    0.409051    5.211097  743.958611  162.825716    0.000000  583.097999    0.310856    0.653503    0.245494    1.611357    0.246553    0.292619    0.537180    0.259473    0.222684  357.725539    0.584288  262.581926   36.255683 1198.294876    0.114822  305.626618  244.787595  248.744253    0.365287    0.000000    2.340770   27.276064  797.349068  921.422407    2.689939    0.005074   98.663297    1.174264    0.000000  440.136279  402.698895    0.379604   20.153812    0.863786    4.038497   10.065338    2.240188    0.118333    0.010107    0.019435    0.018914    0.019012    0.000000   10.961593    0.276925    7.490985    6.922252    1.842266   33.236291  930.479163    0.053774    0.201503  364.384398    0.170059    0.000000    0.012992   18.563738  604.954607 1609.943940    8.181137  112.516403   55.340264    0.420007    2.307371   12.458830   40.825131    5.569332  176.836130  109.543438    0.000000    0.187115    1.077377    4.080981  545.375595    0.677976    3.069839  314.358807   69.295115  709.884026  101.139052   15.705383   23.286988   20.884935    4.167628    9.675013    1.440673    4.389147   31.924864    0.000000   87.413821    0.181989  803.587647  295.710050    0.928737    2.424131    4.109736   33.190424  208.334330    0.000000    5.537297   82.727824    8.152423  351.881236   81.739016   86.606138  121.248593    2.131015    0.000000    1.564801    4.858814    1.736129    0.081199    0.000000   41.941115    1.551784    0.000000   11.137216    0.635518    1.515929    9.332099    0.770513    3.009143    8.839267    3.875831   22.994757    1.783823   17.223647    7.852768    0.178407    1.220911  228.919686  171.302829    0.541644  238.662905    0.000344   67.127218    7.552257    5.443536   23.443596    1.649916   30.999004    0.028677    0.283580    0.000000
  40.742981 2356.549334    0.963397   10.968492    0.996013    0.150702    3.043543    2.027668 1304.616103   13.356352 2952.965401  239.933389 2010.584447    0.443037    0.057789    8.403825    0.000000    0.016843   49.364523  487.793026   35.528755  944.648603    0.152518    2.152536  197.819831  608.078973   45.949808    0.535568    0.099921    0.001744    0.004160    0.005441    0.072750  502.031409    0.000000    0.002322    0.007209    0.009428    1.726398    9.901198  128.822474 1345.364667  401.468084 1126.767242    0.158857   12.011556    0.002923    1.471956    0.066548    0.099770    3.393974    0.619558    0.045546    0.084925 2323.090704    0.273932    0.211719    4.997587    0.154641   10.370121    2.372505    2.067393    0.034856    0.000000  234.710823  222.322043    1.391914    0.045033    0.099844    0.291389    0.739861    0.158994    0.588971  958.831557  152.540343   10.928860  101.849243    0.375499    0.876219    0.317938    1.942149    0.323060    0.401990    0.407514    0.296635    0.281446 1405.632848    1.003112  233.500352   32.427600 1080.669044    0.145385  244.476429  195.810161  160.841159   50.520035    0.000000    2.160937   22.069490  637.814384  837.228181    5.828633    0.000345  148.345242    0.021854  228.393103  588.441733  481.335681    0.462499   15.091033    0.059424    0.405613    7.067930    0.000000    9.416483    0.181086    0.709254    0.019428    0.000000  115.049018   11.960799    0.363184    4.161560    3.643262    2.912058   26.591985  744.307629    0.028790    0.226408  402.850728    0.208979    0.000000    0.020884   18.555058  483.914468 1541.851990    8.249728   90.003969   60.058163    0.059492    2.192152   11.331805   30.576224    6.288968  213.248439  134.300257    5.965246    0.094134    0.457403    4.657240  320.297672    0.900756    0.202920  251.461470   75.317320  567.849467  101.578451   13.834950   23.691455   21.237608    4.240589   10.687491    1.674055    5.103595   32.077437    0.000000   70.271969    0.004674 1416.250716  237.721303    1.358536    2.659539    4.538977   38.552536  313.241170    0.000000    7.442888  116.469976   14.625348  987.665435   65.384563   69.277864   96.989010    1.744797   85.803174    1.278391    3.969677    2.094289    0.103627    0.028262   69.112129    1.087600    0.000000    9.718608   19.844031    0.929772    8.531976    1.310376    3.247318    7.105886    3.115780   23.428996    2.100023   21.691299    8.760654    0.242194    1.466399  201.963556  151.131295    0.725383  259.525003    0.001048   83.957984    6.104107    5.941352   20.283888    0.911821   25.585817    0.023234    0.349752    0.000000
  40.742981 2356.549334    1.179913   14.173790    1.497799    0.217611    5.215003    2.806678 1189.698300   61.588765 2741.101814  224.617392 2118.205197    0.340393    0.709664   12.711755    0.000000    0.017299   54.223059  700.374557   55.897943 1186.252572    1.867745    2.493820  171.498900  497.974742   51.982577    0.123925    0.021028    0.032667    0.029817    0.033387    0.074288  450.508603    0.002075    0.014248    0.051630    0.115699    0.027142    0.562497  128.822474 1345.364667  401.468084 1126.767242    0.087474   10.920731    0.000000    2.013880    0.049670    0.062978    4.393000    0.799143    0.061248    0.085733 2323.090704    0.280239    0.230657    8.028333    0.081299   13.358831    2.710866    1.609875    0.076031    0.000000  231.812967  177.710730    1.992156    0.023433    0.052029    0.152216    0.153407    0.043826    0.602363  962.269524  155.014504    3.908603  140.103990    0.079103    0.182720    0.070228    0.448375    0.092308    0.249061    0.155451    0.072268    0.065960 1405.632848    1.474989  197.748763   30.494233 1070.862472    0.066473  244.476429  195.810161  164.796182  760.548570    0.000000    1.911966   18.060109  637.814384  793.369187    6.078789    4.795688  153.888960    7.756526  354.904677  695.731332  494.787360    0.479985   18.450292    0.084713    0.355046    5.136973   10.101938  142.270500    2.749391   10.677395    0.238935  572.394951  170.151466   15.058193    0.175131    2.687400    1.771819    4.036332   22.848712  744.307629    0.036698    0.259740  406.577154    0.043099    0.000000    0.004277   18.548952  483.914468 1419.734544    8.642249   90.003969   62.352652    0.097360    3.543269   13.349611   25.470345    6.541497  218.062052  135.835413   19.055236    0.039260    0.094792    5.602447  328.400827    0.819329    0.288944  251.461470   76.285175  567.849467  102.778450   12.808126   24.244317   21.685784    4.325334   12.911408    1.941505    5.496610   30.954338    0.000000   79.498005    0.011852 1416.250716  165.690329    0.279401    3.312723    4.496370   46.318357  324.947111    0.000000    9.439104  137.783157   23.446024 1296.069143   65.384563   69.277864   96.989010    1.627390  500.160579    1.188725    3.698715    0.490566    0.024355    0.014487   81.750364    0.787333    0.000000    8.958541 2657.072383    0.602234    8.052882    2.571811    3.938060    8.038821    3.524852   23.890273    2.329568   19.931478   10.585507    0.176406    1.211108  171.062355  128.007625    0.502952  257.175416    0.001071  103.084250    4.976240    7.522768   19.015787    1.161734   28.108358    0.023739    0.069965    0.000000
