Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
  -343.010486    -34.111596   1244.616763     10.505324  14412.069677   6655.165805  27066.347772      1.846912     -0.341773     -0.410723     -2.401615     -0.152850      0.268256      1.855571      8.677264      3.605084   -116.633179      3.219671   -149.651749     -0.635060    -65.375207     -0.459589     19.973329     -3.482185     -2.173411     -0.987976     -0.638258   5879.726355    986.137037      0.116366      0.948843      0.353165      0.292857     -0.051580      0.000000      0.102073      0.064340      1.226214     27.181916    186.066948    -22.733722     -0.842087     -0.173937     -0.236702     -0.016864   7625.652656      0.096017      1.182561      0.335508      0.585496   2697.582933    530.271052    634.575688   2500.244672    -15.563898      1.313849      0.505143      1.043928      1.011186   8176.438773   3717.750018   8358.547786     -0.256451     -0.501677  20594.881280      0.000000      0.891551      0.312357      0.691886      2.013977      6.981997      1.506986     28.462208   -888.749546      0.127948      0.246719     -0.000000      0.156962      0.294349      0.029724      0.000000     -0.080503     -0.047441     -0.066914      0.060130      0.027839    -34.608299     -0.117205     -1.460990     -7.718058    -46.968379     -0.051297     -2.062194    -16.252817     -0.205428      7.325102     -9.507694      0.808697     20.841745     -0.113529     -0.104446      0.622865      0.112435    -28.762933     10.940675      0.000000     -0.436812    -58.236951    -16.629736     -4.046398   9568.253609     21.058785     13.777394     19.437975      2.381001      0.204215      0.390211      3.294320      0.420048     -0.390304  11772.319173   2308.951217     12.652155     18.035195      2.376398     24.763755     -0.060369    246.099138    451.531499     -4.331268      0.085270      0.000000    205.739984      4.390660     -0.474217     -0.960988   2239.774142    -19.193780    -11.134917     -0.595375     -0.051109      5.131457     37.267760    -19.454418   -112.469689    -39.073061     12.715874      0.726280      4.324924   6349.975269     -0.344735   3153.526380  33030.982175     -2.848527     -1.526271     -0.883776     -0.439805      2.874083     -4.008006     -3.601618     -0.719719  15877.986272   2756.882123  11553.569630      0.298069     -3.814356     -0.227383     -0.289631    -16.820881     -0.138528   9024.815476   3185.459405   1348.295688     -1.018572     -5.518978    -13.319767    -14.976091     -2.991804     -3.205579     -0.210072     -4.712938    -35.204313    -87.938375      1.403300     -0.445926      1.033031      3.203345      0.206501      0.010234      5.424855     -3.009103      2.131404    -16.634917      2.849690      5.923803      5.708176      0.268135   5702.994800   5012.092669     -3.619740     -3.754096      2.863873   3990.264261  65177.318546  12049.249845    997.354909   6421.654995     -2.111008     -5.362947     -0.106819     -0.034740      0.047017     -0.085679      5.789126   5921.130215     -0.260111   7896.809016     -0.343716     -0.035640   3353.338327 -44243.789904
  -337.649335    -33.716558   1217.618879   7401.755301  15304.102500   7064.277534  15257.954753   1262.772791     -0.446217     -0.535745     -2.446269     -0.154077    691.099824   2556.331497  22493.094908   4319.579943   -112.953240   3321.130280   -144.987422     -0.616757    -63.297170     -0.448491  52508.820150     -4.538791     -2.730698     -1.152801     -0.889844   5613.116283    967.164897    693.744588   1714.184932   1133.651175   1287.496280     -0.050881      0.000000    509.782027    644.111693   3730.817191  20012.548287 -90352.781209    -23.338995     -1.563312     -0.376536     -0.512027     -0.063691   8008.014863    617.588566   1996.084493    462.040919    889.642079   2635.256229    509.259389    674.702574   2549.342317    -15.418201   1566.957701    630.681724   1090.781024    663.479007   7990.737736   3516.411770   4819.768267     -0.423312     -0.699809  21707.357201     -0.601213    763.545297    424.131213    425.151587   2899.147522   5134.744438   1075.008225  -4222.183208   -881.543922    134.762054    374.628620     -0.100725      0.028979      0.000000     -0.082697     -0.708893     -0.224189     -0.131990     -0.310359     -0.055692     -0.077427    -34.316268     -0.115895     -2.758762     -9.693507    -50.980681     -0.082001     -2.228394    -16.469366     -0.327969  18150.688497     -9.429115    276.659797   7090.201721     -0.245637     -0.103210    587.329122    480.821562    -28.497352  14935.913027      0.000000     -0.432018    -57.748482    -15.777961     -5.278416   8635.775123  -3890.361532   5302.406020  16281.092386   8289.816678    712.162646   1427.409223   7612.490265   1855.322814     -0.386899  11495.938580   2250.117790   5534.695343   8517.136601   1766.062365   7797.722466     -0.112165    261.464494    380.263575     -4.289087      0.015737      0.000000    201.869164   1912.877698     -0.619850     -1.063887   2380.398563    -19.683574    -11.037860     -0.713879     -0.120775   1834.949019  12357.806315    -19.289071   -111.550068    -38.755551   5596.664785    470.707418   3019.040360   6202.824132     -0.958998   3085.414939  20289.308020     -6.161948     -1.512142     -1.410557     -0.435777   1349.847339   1103.419908    967.447718    187.078925  15516.852208   1502.394173  10128.325623    568.140509     -3.701913     -0.317292     -0.366686    -16.552878     -0.193598  12209.852878   3110.335504   1317.989014     -1.008637     -5.463881    -13.210155    -14.851402     -2.965067     -3.178552     -0.205099     -4.898351    -35.759320    -70.909532    476.109799  -5533.787233    351.508033   1141.356537     -0.574118     -0.028447   5808.919093     -2.931652    798.970400    -16.160942   1139.087939   8601.900766   2331.296498    580.958021   5915.438673   4891.632901     -5.047832     -5.234949   2307.551782   3795.192127  61996.451940  11732.254219    865.425951   6261.339129     -2.412317     -6.123789     -0.231072     -0.034379    458.389599     -0.056115   1879.106609   5782.943545     -0.327957   8392.883225     -0.449572     -0.035112   3290.066407 -46987.841131
   -337.381567     -33.669258       0.105539    5976.287307       1.861367       0.553254       3.043561    1019.914619   -1283.385596   -1981.119148   -1559.173850    -110.797812     554.571447    2068.233468   18058.639705    3489.531929    -113.905699    2669.804185    -146.125571      -0.306030     -60.396972      -0.223281   42118.373716  -13379.102903   -7507.085912   -3489.663564   -3123.867474       0.222120       0.037603     557.161225    1379.390088     912.324566    1033.000622      -0.033514     511.064888     410.956538     519.496894    2996.445058      26.931464 -171560.071837  -22296.622897   -5467.399863   -1707.022579   -3044.999568    -309.026180       0.349246     497.556810    1610.926526     373.802917     720.760002       0.264773       0.048904       0.083185       0.283977     -15.384698    1263.945843     509.488803     881.451694       1.012722       0.790287       0.341647       0.567101   -3174.776485   -4140.266345       0.980659   -6220.890406     616.542515     343.007516       0.696678    2348.589134       6.948178       1.504603      28.903114    -877.620909     108.376505     301.116128   -1349.670192       0.141521       0.227572       0.000000  -10538.532274   -1560.528708   -1208.788841   -1824.679518       0.023979      -0.000000     -34.219261      -0.115563   -9183.699681  -21004.479374  -12658.858086    -602.597274   -1768.291534  -10229.245022   -1747.037476       9.252094      -6.480318       0.786854      19.930090   -1804.842543      -0.102637     474.865805     388.368957     -24.720684      11.577907    1264.341424      -0.252305     -56.007640     -14.828433  -20547.895388       0.478715  -23105.229803      13.370673   -1249.805156       3.020728      -2.448724      -4.649774    6114.698298    1500.063770       0.000000       1.145343       0.113071      12.209116      17.117115    1425.417488      23.487386    -695.216640       0.035043       0.031786      -4.118182       0.076797       0.000000       0.007687       4.190907   -1305.514144    -953.483389       0.372673   -6422.176771     -10.489192   -2654.100051    -774.833117       5.024399      35.422119     -18.037307    -106.054309     -37.743403      12.116957       0.692368       4.307756       0.553527   -5653.257260       0.168684       1.248917  -29469.451663      -1.445592   -9283.983255      -0.433683       2.600210      -4.020173      -3.619889      -0.724188       1.311308       0.215209       0.788900     457.859593      -3.333848   -1215.521002    -662.407339     -15.333373    -453.013258       0.500456       0.299050       0.050417      -0.708773      -4.746809     -10.200706     -11.982279      -2.480537      -1.830509      -0.102246   -2646.378707   -7572.265739  -19432.686756       1.349585      -0.000000       0.996528       3.087085       0.000000       0.000000    4675.617030      -2.510714       2.076358     -15.279940       2.615361       5.627907       5.561381       0.156373       0.919046       0.451352   -7369.159792  -20654.784500    1865.984900       0.347216       5.263853       1.080684       0.097381       0.576361   -4562.591930  -11007.372997   -1592.622487      -0.034141     369.432376     330.371585       5.553313       0.572973    -158.581086       1.109722   -1576.467714      -0.023133       0.142918  -43777.318194
  -5340.394542    -418.365119       0.108219       9.493074       1.838243       0.545483       2.758685       1.623005   -1253.165051   -1844.867582   -2073.696911     -58.408725       0.293275       2.055526      11.635798       3.241486    -274.552771       3.382978   -2612.182945     -67.930381   -2212.627210     -35.904069      25.282881  -20206.593536   -4441.186044   -2344.354417   -4600.890238       0.281451       0.042791       0.148194       1.129601       0.496959       0.349912      -8.622575       0.129518       0.167523       0.150798       1.547246      32.687594   -5201.641153   -5689.695419   -1687.576399    -777.956264   -1302.773030    -474.002162       0.716089       0.090512       1.035152       0.371281       0.677136       0.266275       0.049142       0.082856       0.261094    -222.581212       1.393340       0.535422       0.877888       1.122072       0.794139       0.353056       0.614129    -965.918145   -2463.476614       0.971082   -9566.406369       0.792938       0.371282       0.821261       2.384837       8.268627       1.791922      35.563415   -1532.504217       0.112728       0.270309    -493.161159       0.161044       0.325277       0.023303      -0.000000    -568.377700    -249.310167   -2678.820382       0.046924       0.000000    -173.900293     -36.740724  -13329.289263   -8423.876306 -107574.790943    -243.200516    -631.971445   -4792.713780    -924.688160      15.450031    -557.046141       0.823856      21.283609    -489.498086     -13.285477       0.482708       0.187556    -385.857198      14.679157       1.034925     -29.395623    -530.650857    -361.747732  -24640.544219       0.471130    -719.969818      14.669363      26.849487       5.050600      -2.499907      -4.737978       3.470415       0.698373       1.415710       1.161438       0.128855      13.870774      19.897297       2.095147      22.072899    -371.043687       0.034914       0.033334     -64.278737       0.087400       0.000000       0.008746       4.814749    -774.857509   -1187.812722       0.354595   -2768.375483    -148.740299   -2464.700938    -738.925061       5.409586      35.715510    -163.718347    -125.709573    -236.431175      13.911108       0.825252       5.128807       0.571282   -4106.469851       0.168168       1.229511  -25877.982230     -21.434071   -6702.578542     -95.030023      -2.004060      -4.088803      -3.681085      -0.736266       1.359878       0.224411       0.786721       0.309717      -3.991323   -1609.940059    -798.519367    -435.087578    -904.384445       0.569480       0.299137       0.031708     -43.791604    -160.584325    -933.935929    -372.136712     -91.112907       0.000000     -44.460811   -1252.435981   -4426.694748  -11956.871954       1.448790       1.208864       1.070745       3.323123       0.161586       0.008003       5.706772     -97.938713       2.278792    -257.988914      -0.198303       8.565568       6.246958      -2.056447       0.578813       0.466335  -27489.187845  -24957.366732       2.163489       0.363121       5.273493       1.110127       0.097502       0.577234   -5805.323387  -14590.738145    -803.801708      -5.311240       0.152327       0.000000       5.925190       0.573330    -502.127956       1.102673   -2005.526149      -8.407773       0.159195  -41020.830452
-11578.230244   -744.864185      0.107878      9.897158      1.825851      0.608884      2.735526      1.692025  -1846.748632  -1363.664045  -2058.521154    -40.339999      0.292956      2.156618     11.529263      3.412528  -4146.176426      3.505972  -4493.212698   -102.144243  -2233.036673   -292.862327     25.188664 -18979.541737  -3351.541556  -2580.506775  -3938.666152      0.252502      0.037575      0.147563      1.118735      0.493655      0.348897    -11.263669      0.129287      0.166775      0.150374      1.355480     34.260538  -8328.886544  -7839.110889  -4232.209738  -1763.313520  -2440.827792      0.000000      0.713362      0.119908      1.118882      0.389821      0.711944      0.263663      0.048714      0.082658      0.281625   -399.427797      1.455717      0.560025      0.920929      1.183447      0.786568      0.351235      0.610613   -300.001410  -3150.087814      0.968397  -6967.747071      0.841564      0.387709      0.858974      2.496533      8.689436      1.882522  -1244.043549  -5188.606922      0.112656      0.270368   -385.849594      0.120796      0.227355      0.000000  -6665.602949  -1385.848812   -472.130151  -2382.724152      0.023951     -0.000000   -760.394053   -106.078491 -10663.164042 -13961.955594 -74292.101989   -268.409656   -769.734971  -4938.526012  -1240.444027   -479.641249  -1590.911333      0.854392     21.869161   -233.089578    -15.510398      0.505911      0.186971   -939.091118     16.017086      0.833406    -80.256285   -155.360903   -382.079237 -23190.396120      0.468100     28.522566     15.102840     28.998864      5.818233     -2.434470     -4.611667      3.843391      0.696612      1.069478      1.140752      0.128114     14.305470     20.567703      2.198419     22.703378   -200.555847      0.034814      0.033243    -31.054423      0.065539      0.000000      0.008739      4.972204   -824.053349  -1277.169336      0.338577  -5606.071551   -263.848459  -1915.193634      0.000000      5.573019     36.708677   -283.151446  -2206.144799   -350.870927     14.361598      0.866710      5.391084      0.568886  -4637.378389      0.167647      1.604565 -24723.568489    -44.407007  -6696.693411   -221.726745     -1.877905     -3.970622     -3.572428     -0.713737      1.354579      0.223587      0.784177      0.286319   -195.312814  -1573.072669   -806.454388   -978.553874  -1048.434400      0.427190      0.297798      0.041141    -55.371613   -214.826778   -977.740573  -1322.693973   -141.153408      0.000000    -98.755864  -1191.470885  -7124.443023 -16623.355735      1.497178      1.622797      1.107005      3.437604      0.000000      0.000000      5.931172   -544.006448      2.345713   -880.420415     -0.099658      9.294844      6.438748     -1.998669      0.678564      0.464098 -11575.325075 -28172.967445      2.251856      0.361075      5.240610      1.105527      0.098386      0.574103  -5869.716624 -12559.417859   -966.577378     -9.528628      0.088970    -21.900334      6.084355      0.570850   -838.603469      1.099719  -2011.494436     -9.155635      0.159060 -42101.316927
 -5747.259328  -1104.256320      0.105535      9.988562      1.842158      0.547083      2.758573      1.708114  -1795.880688  -1744.515672  -1175.043802    -76.950434      0.294308      2.177330     10.534194      3.444120  -2995.781703      3.424658  -3641.599479   -114.853212   -186.292890   -163.645189     25.315903 -13867.419384  -4914.291464  -3714.090278  -4092.763168      0.252812      0.037629      0.148463      1.128284      0.497396      0.350768    -16.632406      0.130257      0.168073      0.151562      1.364769     33.779382    237.508612 -17424.653973  -6742.414880  -1511.958279  -1959.261593     -0.000000      0.719817      0.121111      1.129412      0.393672      0.720152      0.265155      0.048929      0.083026      0.261785   -239.449720      1.468975      0.565156      0.929533      1.198265      0.790908      0.353585      0.615062  -1915.752747  -4182.232291      0.974885  -7155.316013      0.849455      0.378934      0.839938      2.443243      8.826356      1.909501   -638.018130  -3342.772666      0.113201      0.271485  -1003.666329      0.141616      0.227778      0.000000  -8167.413484  -1663.034726   -901.569472  -1275.041167      0.024006     -0.000000   -857.976982    -76.498094  -9936.564607 -21217.736146 -62160.886872   -360.874274  -1777.660453  -8334.771230  -1613.955033   -241.335231  -1119.347132      0.855075     21.921468  -1512.004773    -25.305462      0.528187      0.188687  -1387.907220     16.266471      0.842602    -85.164444  -1138.150191   -219.229108 -17405.127552      0.473046  -1526.519305     15.156254     27.695442      5.881635     -2.455811     -4.665690      3.875970      0.703819      1.085102      1.147456      0.129047     14.371654     20.579475      2.219026     23.210735   -605.865619      0.034988      0.031759   -152.318249      0.076861      0.000000      0.008748      4.973923  -1254.571496   -829.070419      0.341753  -5414.483744   -167.664416  -2018.911018     -0.000000      5.560310     37.179312   -297.826178   -849.293937   -333.738778     14.378388      0.848766      5.472245      0.554279  -5275.951268      0.168506      1.234536 -30262.338826    -13.943888  -4097.656763   -193.883826     -1.320745     -4.011623     -3.606640     -0.720305      1.312307      0.215267      0.788269      0.311873   -501.881704  -1257.982633   -839.288091   -785.503840   -668.921288      0.500769      0.299585      0.050464    -99.489865   -212.683032   -364.984071   -556.581830   -170.389427     -0.000000    -74.306074  -1671.811683  -5249.954272 -11274.513246      1.493556      1.242399      1.102861      3.425566      0.000000      0.000000      5.789354   -216.742173      2.350385   -829.244035      0.197541      8.830075      6.448358     -2.022906      0.734462      0.467000  -9510.480621 -15358.877059      2.335359      0.363688      5.282261      1.082386      0.098954      0.578082  -4700.258217 -14349.978265   -910.894902    -20.334238      0.111111     -0.000000      6.091825      0.574103   -419.929954      1.105810  -1029.344757     -3.588302      0.159229 -42909.049795
  -341.897014    -34.051826      0.106880    367.658783      2.007205      0.631811      3.324751     59.122563  -1178.523693  -2333.090998  -2285.928485   -126.886333     42.735748     96.776042   1245.009108    257.759295   -114.585801    230.905245   -147.105805     -0.308344    -60.789657     -0.225576   2489.231492 -13045.640822  -7110.538632  -3088.774990  -4946.487568      0.222923      0.032254     36.847133     88.590391     79.074267     59.236428     -0.034067     50.271157     13.061426     22.887029    253.608780     28.206065 -11543.471685 -10074.421858  -5010.011010  -2094.727591  -3019.398114   -526.684899      0.355831     22.820493    106.644595     17.971837     34.970373      0.268987      0.049021      0.079019      0.265558    -15.550369     74.439587     27.190557     54.767434      1.048235      0.794617      0.348263      0.579198  -2222.222799  -1355.533413      0.994637  -8701.592703     43.158080     16.341385      0.711276    132.842576      7.259328      1.564723   -664.197714   -889.118216      6.229262     15.324785   -985.342235      0.076378      0.119857     -0.000000  -5250.256805  -1232.326589   -703.826389  -3044.466084      0.000000   -910.045529    -34.596077     -0.117063 -10321.769632 -26746.596849 -85855.938657   -513.441040   -837.754454  -9915.058113  -1614.906369      7.264392     -8.143520      0.792099     20.443292  -1502.730568     -0.104331     21.961063     16.458307    -27.184516     10.848401    217.273307     -0.258771    -57.044475    -15.269936 -24916.737218      0.371103   -794.359175     13.555056     19.281038      2.359315      0.202144      0.386821    380.631806     54.911668      0.000000      1.164521      0.115490     12.738290     17.819246     67.150186     24.229221   -519.973694      0.035476      0.032152     -4.184260      0.041489      0.000000      0.007709      4.332458  -1257.438280  -1429.192804      0.392349  -6671.690429    -10.753241  -2452.341186   -657.841960      5.114444     36.558109    -18.957308   -110.203925    -38.304377     12.549310      0.716982      4.494150      0.562449  -5516.947231      0.153453      1.270141 -28065.435135     -1.473045  -7817.686372     -0.439874      2.675959     -4.120334     -3.697238     -0.737463      1.331283      0.218349      0.747555     31.248337     -3.355321  -1551.377786   -927.162441    -15.544034   -869.299271      0.270013      0.304147      0.051144     -0.922071     -5.210860    -10.569978    -13.699409     -2.572712     -1.909401     -0.103117  -1521.372159  -6624.426255 -14129.673586      1.375263     -0.000000      1.012190      3.143371     -0.000000     -0.000000    297.104223     -2.527060      2.094179    -15.366602      2.707815      5.877592      5.716096      0.161375      0.972730      0.459496 -31606.656293 -22778.938503    123.113096      0.354531      5.386267      1.097758      0.099022      0.588030  -6001.155600 -11924.223942  -1284.948102     -0.034742     25.110595     -0.028187      5.667038      0.582339   -491.768913      1.123709  -2402.426527     -0.023515      0.159645 -45039.545127
-10223.241156   -953.907581      1.172611     10.961793    133.724916     51.493933    269.330635      1.898088  -1472.490489  -1524.869894  -1378.716894    -69.033334      0.269049      1.796399      7.554237      3.657979  -5052.265407      3.128134  -4167.399946   -185.843524  -2503.197676   -339.609799     16.825335 -13259.561169  -4210.695475  -1677.126554  -2197.160435      3.371316      0.836457      0.078628      0.959801      0.299460      0.222213    -11.747245    -45.360125      0.078005      0.032799      1.037243     26.740761  -9242.279154  -6822.652025  -7138.550272  -1935.891603  -1782.095173   -289.910844     62.443883      0.097416      1.116031      0.325022      0.598122      4.081861      0.395470      4.792012     17.063613   -354.739064      1.272276      0.489565      1.024175      0.982067      7.658164      3.858632      9.237222  -1301.513564  -2070.249122    178.715190  -6602.637203      0.926127      0.301990      0.670102      1.954669      6.832719      1.549505     27.185831  -2879.470136      0.139018      0.230203   -675.925968     37.339432     49.169414   -302.800423  -7115.067938  -1607.383676   -557.727938  -2530.786426     21.439076  -1256.537274   -814.931347   -101.366015  -8220.370919 -10191.913273 -71786.641527   -371.898137  -1193.644741  -8107.945678  -1652.902587   -528.828754   -833.505520      0.810235     21.009941  -1442.125490    -26.858277      0.615218      0.092016   -696.332278      9.938542   -162.870834    -63.816558   -513.558475   -446.493504 -16282.695641     88.177807     20.271672     13.853029     17.921506      1.633000      0.139482      0.268206      2.934773      0.344754   -378.205538     12.940864      2.337249     12.778101     18.129708      2.453136     25.242753   -443.512286      3.424483      0.337123    -67.662489      2.903674      0.000000      0.118865      4.403804  -1069.135765   -680.361664     21.757544  -4322.098216   -278.221668  -1616.271346   -405.850079      5.206206     37.876193   -237.363182  -1384.567499   -463.872557     12.775135      0.708799      4.224340      5.401703  -5727.335950      2.038162    396.652896 -27350.636249    -46.023793  -7147.116262   -283.941719      3.014647     -4.085437     -3.664024     -0.731163     15.652616      2.110118     10.796390      0.300808   -328.083290  -1128.342774   -567.950656  -1436.297353   -696.141291     10.463418      3.528987      1.539197   -105.492172   -173.687711  -1038.621099  -1132.130404   -158.657341   -633.654037    -46.887506  -1439.536326  -7331.779999 -15079.734372      1.406402   -407.460068      1.032719      3.206664  -1350.899490    -62.459428      5.267208   -459.495938      2.135736   -843.374724      2.972992      5.378796      5.823795      0.326900     37.117887      5.779663 -14500.075895 -17583.609136      2.850812      4.553110     87.794123     11.304118      1.100776      8.392808  -3539.067230  -9441.387664  -1084.088186    -11.240394      0.023899    -12.576664      5.817279      6.851008   -386.538546     70.173233  -1342.338845    -10.322316      2.855040 -50129.799667
 -1773.236395   -359.627283      0.124002     11.041942      2.026974      0.604176      3.027002      1.912574    -81.014252   -116.418307    -76.219210     -4.441967      0.273711      1.641690      6.501258      3.416290  -1962.295383      2.934902  -3211.465165    -26.171346  -1312.513601   -104.123813   -650.719998   -785.242291   -275.840055   -166.164048   -250.678578      0.314249      0.035686      0.040403      0.817382      0.246641      0.152114    -20.386541    -20.861001      0.026897    -29.026375      0.645786     24.522693  -7941.864534  -1591.288819   -362.446064    -87.516944   -213.199321    -16.812859      0.195123      0.067236      1.054902      0.297091      0.546985      0.325131      0.058711      0.083420      0.279971   -390.469430      1.176365      0.451668      0.969490      0.891458      0.957157      0.422497      0.776652    -89.911701   -142.900130      1.051031     -0.628651      0.901524      0.275940      0.611789      1.785473      6.214835      1.419590  -1429.852590  -4775.159740      0.146376      0.215774     -0.077185      0.109793      0.194057     -0.026934     -0.349338     -0.148764     -0.112130     -0.184677     -0.000000     -0.051534   -753.740023    -96.698822   -599.465208  -1629.978759   -744.569533    -23.671892   -134.316261   -436.125496   -116.173379     -0.000000  -1108.654870      0.810197     20.816789    -25.160875    -21.553427      0.608484      0.047575  -1145.226008      7.375799   -184.354529    -87.086837   -922.819810   -285.656018  -1202.836254      0.398142  -1690.451482     13.603981     13.952476     -0.000000     -0.000000     -0.000000      2.185636      0.178327   -428.375028      1.426476      0.150784     12.495448     17.577336      2.420129     25.313215    -32.734447      0.037618      0.038709   -117.824506      0.059756      0.000000      0.010853      4.282987   -104.112865    -86.471081      0.377011   -497.360522   -142.008660    -42.870436    -43.770766      5.180254     37.593717   -234.027028  -1053.180350   -328.707230     12.437714      0.648901      3.842186      0.678092     -0.815276      0.193385      1.359566  -2259.364717    -25.557739   -417.698260   -144.415566      3.364408     -4.156396     -3.725896     -0.743963      1.604845      0.263529      0.912890      0.059390   -278.146476    -47.636582    -37.565599   -695.660226    -40.348771      0.387923      0.366858      0.116863    -64.087634   -317.732299  -1247.961505  -1329.352102   -204.023856    -54.757139   -140.291282   -164.468790   -593.281738   -652.160377      1.385393   -258.091857      1.015061      3.151979     -0.187769     -0.009316      4.924575   -467.429043      2.093355   -651.763420      3.217647      3.982965      5.584828      0.538635      0.963512      0.573454  -1621.443257   -684.351720      2.845813      0.451340      6.663328      1.321527      0.119556      0.715804   -375.203144   -850.144170    -75.488832    -20.305464    -20.671367    -32.579687      5.757628      0.712862    -50.029270      1.191446    -51.749255     -3.846779      0.194940 -52277.102413
-12185.859182   -857.176187      0.147224     11.254189      3.069600      1.028074      5.024347      1.949160    -77.956962   -131.227677   -134.132502     -5.046348      0.389825      1.271099      5.361905      3.485021  -2800.961273      2.702976  -2083.770825   -188.906127   -209.987371    -62.938518   -327.047599   -812.270333   -390.466689   -231.413110   -409.663393      0.421391      0.053821      0.081964      0.749686      0.190582      0.306156    -15.607126    -60.537032     -0.000000    -11.659682      0.660450     14.331121  -3089.157460  -1421.536640   -459.491307   -158.888479     -0.306510    -40.380332      0.000000      0.034673      0.987196      0.211015      0.389862      0.387190      0.070435      0.120075      0.422072   -234.499746      0.931704      0.357146      1.026374      0.614436      1.119911      0.520348      0.948993   -127.497126    -79.933205      2.255966      0.673116      0.919786      0.195275      0.433574      1.268467      3.857097      0.826438     11.110610  -2311.180937      0.191596      0.255589     -0.051046      0.177892      0.289099      0.004708     -0.156761     -0.113392     -0.067309     -0.121476      0.033862      0.004422   -456.192882    -92.831535  -1041.004853  -1687.245385  -8500.287278    -31.413009   -108.712225   -838.971317    -96.072896  -1400.688975  -1818.565520      0.691830     16.422455   -130.949322    -20.667636      0.655765     -0.000000  -1905.995140      1.576500   -175.551995    -64.752969   -702.562469   -637.980840  -1509.439962      0.871331   -889.395897     10.171645      2.501618   -669.109420    -52.942694    -84.569042      2.240017     -0.000000    -89.982117      1.719898      0.211924      8.801045     12.107432      2.469783     20.931837    -43.282823      0.050338      0.046289    -51.741837      0.096925      0.000000      0.014543      2.993494    -86.377650    -90.906232      0.561791   -562.766919   -406.594818   -215.871397    -39.469503      4.403995     29.638220   -412.351350  -1710.858254   -432.773869      8.705753      0.420797      2.383349      0.832195     -0.489552      0.261562      2.971999     -3.688200    -41.348650   -680.596537   -207.105262      4.783264      2.818079     -3.804524     -0.758831      1.979697      0.315017      1.167976      0.090332   -323.425271   -147.605890    -48.053507  -1016.657229    -59.125825      0.628335      0.446395      0.175219    -83.798186   -289.587398   -217.403526   -929.190600   -108.828739   -941.302578    -73.011492   -192.184131   -573.462216  -1498.474377      1.087702   -523.492007      0.794510      2.472116      0.032890      0.011412      4.527235   -337.861588      1.558986   -908.397642      3.892498   -583.926765      4.114209      2.035583      1.333487      0.701656  -1021.462444  -1872.873929      3.185370      0.560300      8.512027      1.613081      0.146366      0.887937   -266.927005   -940.884597   -108.105495    -15.461491    -22.153495    -32.048839      4.525005      0.859226    -31.993230      1.593543   -177.839451    -16.326792      0.255398 -53386.473683
