NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-1454.674177 -1409.800025 -1054.987353  -685.142102  -693.804184     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1210.997901 -1558.099962 -1022.076851  -682.958582  -644.367038     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -920.734191 -1942.775105  -955.424269  -636.084745  -590.844385     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1056.829777 -1786.302239  -988.862844  -639.239774  -604.072136     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -998.635247 -1638.931900  -975.199372  -644.862428  -584.433199     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1096.656466 -1628.190585 -1025.322361  -656.171978  -633.181389     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1208.209989 -1698.583779 -1082.641372  -663.639408  -663.159031     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1282.095471 -1917.234179 -1144.697203  -685.420357  -653.988191     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1280.453333 -2097.342466 -1145.594002  -695.772012  -680.586453     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1284.213244 -2249.281178 -1121.076155  -702.225846  -684.960125     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1298.344428 -2200.320001 -1119.960690  -690.213584  -701.991845     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1279.777476 -2221.435943 -1113.352803  -678.734722  -682.578009     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1290.010923 -2213.285657 -1120.052667  -691.060854  -687.693294     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1266.836193 -2227.545027 -1121.534320  -687.053132  -683.210020     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1247.087767 -2278.746643 -1118.178614  -675.905223  -686.752777     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
