Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
   22.739862  1315.259833    64.104677  1444.060095  1930.456281   562.127117   913.689591  1358.522819  4382.027089   292.544356  1422.436684   113.671260  4865.572459  3563.287356    92.268713   783.502601     0.000000  1552.336620    48.836365  1372.720121    50.426934  3099.489163   122.588528     9.548386   332.329297  1120.298474   262.853423    11.510887    13.155299 14362.358982  5133.971739  4713.077567   402.909008  2893.475160  3643.546060  1468.926172  2083.040262  4016.410887   102.078986     1.653357    30.832733   322.003355    96.088498   269.683634   115.171721  1285.576487  2905.616451  1826.680350   138.497340  2788.503431  2146.287067   574.146590   128.357587  1751.719591  1296.585582  7271.198689 10543.117334  3137.014813    37.249789    68.517183  1741.679395   672.838741  1029.816151    51.333941   949.746115   414.127136   609.836010  2068.152317     7.812993  2320.345899    72.786419     1.449326     1.685017  1089.997382  2286.045211  4084.492656  1011.450661    19.184811   201.522740    35.903004    79.178457   340.996318   296.131267   261.132689     4.659168   413.131209   784.525237 15702.012485   403.760317    47.787398  1426.756192   664.890748    58.513675    46.865753   105.680904    58.884146     0.000000    66.746388    66.345361   152.656285  3283.153703  2483.703246  1792.314573   368.110129     7.232559  1491.597126  2874.456366   894.848022     1.102539    73.204292   678.390082     0.270869    25.162692     1.266401    10.975479 35425.211067 35425.826679  4894.475949  6501.808888   475.332023  1793.012469  1213.083029     2.420234     2.539838  2103.085930     2.990114   178.144677   837.302504    67.969046   871.625799     0.000000     0.000000     0.000000     1.435255   115.821447   753.822331  1158.764829    21.541802   137.955162   884.771623   522.705924    57.705689     0.189960    13.230465   387.818009   234.840756    36.454770     0.316600   125.605909   166.770824   290.595078   188.202999   139.861119    60.185494   169.515334   135.910685  3016.270414    72.311518    72.694956    63.696471    25.919015    19.294439   151.285941     0.000000  1202.663062     0.000000   401.987045   803.428469   790.451383  1359.872023    27.406873   552.138871   541.450190   137.128258   777.289826     0.000000    22.877679   331.795258    58.021102  2950.211298    15.649325    16.581158    23.213622    77.609297    54.550239     1.020157     7.158686    28.338707    91.675991  2009.890357    73.696372    60.266634     0.000000     1.984029   277.552966    27.181898     6.349596   636.649995    47.550925    40.648843    17.823654  4289.706197   628.357386   102.693554   437.413699   613.365826   329.156549   356.427604   266.718245   367.526172   630.996714  1137.268732   464.788996   165.613639   277.878289    47.514587   236.072474   103.531784    56.022751   191.848114     0.000000
   20.764537  1201.008263    63.526433  1444.060095  1833.885658   534.006840   867.982484  1358.522819  4162.817211   277.909893  1351.279623   107.984882  4442.918868  3563.287356    84.253684   783.502601     0.000000  1552.336620    48.836365  1372.720121    50.426934  3099.489163   111.939734     9.070730   315.704602  1064.255806   249.704242    11.407055    13.036634 13114.756022  4688.003333  4303.670621   367.909850  2642.130086  3327.045209  1341.326198  1902.094555  3667.520700    98.400768     1.593782    30.554612   319.098787    95.221751   267.251006   109.410283  1221.265824  2905.616451  1826.680350   138.497340  2788.503431  2126.926906   568.967613   121.936529  1664.090229  1183.956173  7271.198689 10543.117334  3137.014813    35.907565    67.899138  1725.968918   666.769531   978.299839    48.765973   902.235288   393.410523   609.836010  2068.152317     7.531467  2320.345899    70.163701     1.397102     1.624301   995.313496  2087.465244  3729.688467  1002.327069    19.011759   199.704944    35.579148    78.464243   337.920428   293.460073   258.777193     4.617141   409.404640   716.376543 14338.038971   383.562302    45.396844  1355.383048   658.893231    57.985864    46.443010   104.727630    56.762370     0.000000    64.341311    63.954734   151.279279  2997.958751  2483.703246  1636.623090   336.133816     6.971948  1362.027813  2624.763382   817.116011     1.006765    69.542264   644.453777     0.261109    24.256003     1.220769    10.579998 28966.840251 28967.433680  4894.475949  5937.021723   434.041756  1776.838952  1202.140651     2.333025     2.448320  2103.085930     2.882371   176.537758   795.416643    67.355945   795.911014     0.000000     0.000000     0.000000     1.383538   114.776702   716.112545  1100.797890    21.347489   125.971527   840.511129   496.557683    55.626377     0.183115    12.081185   354.129748   214.441042    35.141194     0.305192   121.079944   165.266501   287.973822   186.505351   132.864599    59.642602   154.790188   134.684729  2754.258589    69.705913    70.075535    61.401292    24.985073    19.120397   149.921296     0.000000  1098.192341     0.000000   381.877738   763.237148   721.787907  1291.844743    27.159655   547.158410   536.566145   125.216453   709.769645     0.000000    20.890383   302.973479    52.981032  2950.211298    15.508163    16.431591    23.004228    74.812797    52.584627     0.983397     6.900736    28.083083    90.849046  2009.890357    73.696372    58.095043     0.000000     1.912538   267.551884    26.202451     6.120800   604.801729    47.122001    38.615394    16.932030  4289.706197   622.689411   101.767227   433.468094   607.833080   326.187457   338.597397   253.375728   364.210974   576.184453  1038.478565   424.414561   159.646073   275.371742    45.137681   224.263003    98.352631    51.156270   190.117585     0.000000
   19.228550  1112.167680    60.208209  1444.060095  1719.546931   500.712691   813.865690  1358.522819  3903.274737   260.582824  1267.030318   101.252263  4114.268753  3563.287356    78.021298   783.502601     0.000000  1552.336620    48.836365  1372.720121    50.426934  3099.489163   103.659365     8.505190   296.021116   997.901803   234.135733    10.811222    12.355682 12144.635657  4341.223911  3985.320931   340.694945  2446.687319  3080.938128  1242.106063  1761.393450  3396.228080    98.400768     1.593782    28.958630   302.431057    90.247960   253.291480   102.588793  1145.122593  2905.616451  1826.680350   138.497340  2788.503431  2015.829513   539.248295   114.334055  1560.337873  1096.376961  7271.198689 10543.117334  3137.014813    35.907565    64.352510  1635.815070   631.941651   917.305001    45.725522   845.982907   368.882244   609.836010  2068.152317     7.531467  2320.345899    70.163701     1.397102     1.624301   921.688498  1933.051960  3453.797194   949.971756    18.018703   189.273603    33.720715    74.365761   320.269573   278.131549   245.260287     4.375971   388.019896   663.384976 13277.430326   359.648038    42.566451  1270.877904   624.476760    54.957044    44.017117    99.257312    56.762370     0.000000    64.341311    63.954734   143.377393  2776.194745  2483.703246  1515.559352   311.269437     6.971948  1261.276345  2430.605259   756.672578     0.932293    65.206457   604.273505     0.261109    24.256003     1.220769    10.579998 16568.456104 16569.049533  4894.475949  5497.850329   401.934964  1684.027970  1139.348324     2.333025     2.448320  2103.085930     2.882371   167.316527   745.824169    63.837690   737.036149     0.000000     0.000000     0.000000     1.383538   108.781483   671.464507  1032.165569    20.232429   116.653203   788.107114   465.598406    55.626377     0.183115    11.187520   327.934180   198.578480    35.141194     0.305192   121.079944   156.634010   272.931867   176.763475   124.580784    56.527245   143.340100   127.649639  2550.521490    69.705913    70.075535    61.401292    24.985073    18.121667   142.090343     0.000000  1016.957223     0.000000   358.068503   715.650995   668.396052  1211.301072    25.741004   518.578269   508.539277   115.953983   657.266801     0.000000    19.345087   280.562025    49.061937  2950.211298    14.698113    15.573307    21.802630    74.812797    52.584627     0.983397     6.900736    26.616198    86.103659  2009.890357    73.696372    58.095043     0.000000     1.912538   267.551884    26.202451     6.120800   567.093674    44.660642    36.207809    15.876355  4289.706197   590.164001    96.451542   410.826425   576.083672   309.149459   317.486596   237.578310   345.186865   533.563129   961.660574   393.019909   159.646073   260.988041    42.323446   210.280700    92.220561    47.372155   180.187029     0.000000
   18.773933  1085.872879    61.476106  1444.060095  1720.165217   500.892729   814.158326  1358.522819  3904.678211   260.676520  1267.485895   101.288670  4016.995763  3563.287356    76.176653   783.502601     0.000000  1552.336620    48.836365  1372.720121    50.426934  3099.489163   101.208564     8.508248   296.127554   998.260611   234.219919    11.038890    12.615875 11857.502002  4238.585057  3891.096634   332.639950  2388.840687  3008.096007  1212.739151  1719.749110  3315.931610    98.400768     1.593782    29.568456   308.799817    92.148452   258.625432   102.625680  1145.534337  2905.616451  1826.680350   138.497340  2788.503431  2058.279964   550.604083   114.375166  1560.898913  1070.455498  7271.198689 10543.117334  3137.014813    35.907565    65.707681  1670.262967   645.249427   917.634831    45.741963   846.287092   369.014881   609.836010  2068.152317     7.531467  2320.345899    70.163701     1.397102     1.624301   899.897166  1887.349126  3372.139626   969.976786    18.398151   193.259431    34.430825    75.931796   327.013987   283.988597   250.425114     4.468122   396.191033   647.700672 12963.514191   359.777354    42.581757  1271.334865   637.627336    56.114360    44.944054   101.347527    56.762370     0.000000    64.341311    63.954734   146.396713  2710.557622  2483.703246  1479.727227   303.910144     6.971948  1231.456192  2373.138853   738.782690     0.910251    65.229903   604.490780     0.261109    24.256003     1.220769    10.579998 15254.092455 15254.685884  4894.475949  5367.865544   392.432081  1719.491161  1163.341350     2.333025     2.448320  2103.085930     2.882371   170.839970   746.092340    65.182020   719.610523     0.000000     0.000000     0.000000     1.383538   111.072264   671.705941  1032.536697    20.658495   113.895191   788.390488   465.765818    55.626377     0.183115    10.923015   320.180886   193.883521    35.141194     0.305192   121.079944   159.932495   278.679416   180.485858   124.625579    57.717627   139.951133   130.337756  2490.219923    69.705913    70.075535    61.401292    24.985073    18.503283   145.082560     0.000000   992.913468     0.000000   358.197251   715.908316   652.593273  1211.736611    26.283072   529.498776   519.248378   113.212502   641.727148     0.000000    18.887714   273.928743    47.901973  2950.211298    15.007634    15.901259    22.261762    74.812797    52.584627     0.983397     6.900736    27.176697    87.916877  2009.890357    73.696372    58.095043     0.000000     1.912538   267.551884    26.202451     6.120800   567.297580    45.601131    36.220828    15.882063  4289.706197   602.592000    98.482672   419.477835   588.215160   315.659699   317.600752   237.663734   352.456001   520.948182   938.924189   383.727803   159.646073   266.484071    42.338664   210.356309    92.253720    46.252143   183.981507     0.000000
   21.828548  1262.550005    63.869107  1444.060095  1818.136026   529.420724   860.528145  1358.522819  4127.066431   275.523169  1339.674669   107.057495  4670.581720  3563.287356    88.570988   783.502601     0.000000  1552.336620    48.836365  1372.720121    50.426934  3099.489163   117.675720     8.992830   312.993292  1055.115847   247.559751    11.468587    13.106957 13786.778817  4928.224737  4524.198152   386.762188  2777.517404  3497.528763  1410.058074  1999.561172  3855.450808    98.400768     1.593782    30.719429   320.820067    95.735395   268.692609   108.470654  1210.777445  2905.616451  1826.680350   138.497340  2788.503431  2138.399958   572.036734   120.889323  1649.798821  1244.624136  7271.198689 10543.117334  3137.014813    35.907565    68.265399  1735.279126   670.366214   969.898081    48.347165   894.486782   390.031866   609.836010  2068.152317     7.531467  2320.345899    70.163701     1.397102     1.624301  1046.315082  2194.430576  3920.804159  1007.733814    19.114312   200.782190    35.771069    78.887495   339.743236   295.043053   260.173087     4.642047   411.613047   753.084917 15072.744901   380.268222    45.006971  1343.742854   662.447428    58.298650    46.693533   105.292551    56.762370     0.000000    64.341311    63.954734   152.095308  3151.579346  2483.703246  1720.486489   353.357894     6.971948  1431.820475  2759.260800   858.986449     1.058354    68.945027   638.919130     0.261109    24.256003     1.220769    10.579998 16923.026064 16923.619493  4894.475949  6241.244991   456.282807  1786.423563  1208.625229     2.333025     2.448320  2103.085930     2.882371   177.490036   788.585508    67.719275   836.694871     0.000000     0.000000     0.000000     1.383538   115.395830   709.962484  1091.344104    21.462641   132.426526   833.292718   492.293185    55.626377     0.183115    12.700246   372.275969   225.429372    35.141194     0.305192   121.079944   166.157980   289.527209   187.511397   131.723542    59.964326   162.721906   135.411245  2895.391565    69.705913    70.075535    61.401292    24.985073    19.223536   150.730000     0.000000  1154.465617     0.000000   378.598125   756.682374   758.773569  1280.750224    27.306159   550.109888   539.460486   131.632761   746.139469     0.000000    21.960843   318.498364    55.695872  2950.211298    15.591817    16.520226    23.128317    74.812797    52.584627     0.983397     6.900736    28.234569    91.339103  2009.890357    73.696372    58.095043     0.000000     1.912538   267.551884    26.202451     6.120800   599.607618    47.376187    38.283760    16.786615  4289.706197   626.048317   102.316179   435.806305   611.111848   327.946975   335.689481   251.199706   366.175598   605.709142  1091.692004   446.162298   159.646073   276.857151    44.750033   222.337006    97.507966    53.777605   191.143116     0.000000
   24.218009  1400.754946    68.395392  1444.060095  2095.616657   610.219957   991.860393  1358.522819  4756.931843   317.573017  1544.133393   123.396416  5181.846595  3563.287356    98.266405   783.502601     0.000000  1552.336620    48.836365  1372.720121    50.426934  3099.489163   130.557083    10.365299   360.761762  1216.145719   285.341873    12.281344    14.035822 15295.947518  5467.692485  5019.439160   429.099081  3081.558137  3880.385485  1564.409974  2218.442985  4277.487439    98.400768     1.593782    32.896458   343.555991   102.519985   287.734356   125.025249  1395.564108  2905.616451  1826.680350   138.497340  2788.503431  2289.944400   612.575917   139.339233  1901.588132  1380.866823  7271.198689 10543.117334  3137.014813    35.907565    73.103241  1858.255142   717.873826  1117.922172    55.725822  1031.001736   449.557823   609.836010  2068.152317     7.531467  2320.345899    70.163701     1.397102     1.624301  1160.849884  2434.643753  4349.994690  1079.150042    20.468907   215.011252    38.306098    84.478105   363.820209   315.952207   278.611072     4.971020   440.783301   835.521300 16722.681782   438.304070    51.875853  1548.822457   709.393850    62.430168    50.002617   112.754439    56.762370     0.000000    64.341311    63.954734   162.874021  3496.566741  2483.703246  1908.819413   392.038189     6.971948  1588.554595  3061.303075   953.015336     1.174206    79.467292   736.429812     0.261109    24.256003     1.220769    10.579998 28389.953505 28390.546935  4894.475949  6924.442402   506.229770  1913.024090  1294.278259     2.333025     2.448320  2103.085930     2.882371   190.068426   908.938002    72.518415   928.283612     0.000000     0.000000     0.000000     1.383538   123.573718   818.315673  1257.903066    22.983659   146.922586   960.468345   567.426080    55.626377     0.183115    14.090478   413.027130   250.105981    35.141194     0.305192   121.079944   177.933288   310.045465   200.799982   151.826950    64.213887   180.534247   145.007589  3212.335384    69.705913    70.075535    61.401292    24.985073    20.585873   161.411956     0.000000  1280.839109     0.000000   436.379086   872.165869   841.832660  1476.216006    29.241296   589.095156   577.691051   146.041931   827.815570     0.000000    24.364785   353.362763    61.792616  2950.211298    16.696780    17.690984    24.767378    74.812797    52.584627     0.983397     6.900736    30.235500    97.812136  2009.890357    73.696372    58.095043     0.000000     1.912538   267.551884    26.202451     6.120800   691.118648    50.733649    44.126558    19.348558  4289.706197   670.415202   109.567137   466.691090   654.420212   351.187969   386.921803   289.537351   392.125784   672.013047  1211.193987   495.001420   159.646073   296.477504    51.579702   256.269677   112.389456    59.664367   204.689074     0.000000
   25.469992  1473.168873    75.443561  1580.294445  2474.566411   720.565856  1171.218221  1486.687480  5617.126454   374.999653  1823.358589   145.710154  5449.729184  3899.452131   103.346420   857.419170     0.000000  1698.785906    53.443646  1502.224173    55.184271  3391.898663   137.306409    12.239653   425.998208  1436.060998   336.940161    13.546941    15.482219 16086.692276  5750.352266  5278.925877   451.281941  3240.863465  4080.987276  1645.284270  2333.128404  4498.617955   117.466760     1.902591    36.286450   378.959555   113.084705   317.385482   147.633528  1647.923563  3179.735769  1999.011551   151.563344  3051.574167  2525.923966   675.702079   164.535906  2245.451764  1452.252607  7957.172237 11537.767586  3432.964529    42.864964    80.636555  2049.748980   791.850973  1320.075715    65.802706  1217.437482   530.851235   667.368665  2263.264271     8.990753  2539.250096    83.758520     1.667803     1.939023  1220.861593  2560.505965  4574.873566  1190.356829    22.578235   237.168236    42.253555    93.183603   401.312008   348.511192   307.322039     5.483286   486.206174   878.714707 17587.183503   517.562469    61.256549  1828.895575   782.497132    68.863618    55.155404   124.373823    67.760566     0.000000    76.807992    76.346512   179.658245  3677.326502  2718.018770  2007.498422   412.305135     8.322822  1670.677080  3219.561291  1002.282757     1.234909    93.837339   869.598202     0.311701    28.955811     1.457304    12.629964 35425.242884 35425.951295  5356.226642  7282.410846   532.400004  2110.161887  1427.654084     2.785069     2.922703  2301.493562     3.440856   209.655044  1073.300998    79.991463   976.272493     0.000000     0.000000     0.000000     1.651611   136.308033   966.291460  1485.369314    25.352133   154.517949  1134.149558   670.033574    66.404464     0.218596    14.818904   434.379128   263.035549    41.950101     0.364326   144.540221   196.269376   341.995758   221.492490   179.281774    70.831150   189.867209   159.950671  3378.401420    83.212031    83.653270    73.298319    29.826145    22.707254   178.045514     0.000000  1347.053824     0.000000   515.289390  1029.879372   885.352341  1743.159720    32.254622   649.801617   637.222314   153.591767   870.610619     0.000000    25.624355   371.630331    64.987069  3228.537748    18.417389    19.514046    27.319665    89.308418    62.773349     1.173939     8.237813    33.351279   107.891711  2199.505808    80.648976    69.351456     0.000000     2.283109   319.392356    31.279401     7.306758   816.093433    55.961769    52.105951    22.847352  4694.402191   739.501721   120.858069   514.783769   721.858443   387.378012   456.888760   341.894306   432.534482   706.753674  1273.808303   520.591190   190.578868   327.029614    60.906845   302.610849   132.712809    62.748797   225.782355     0.000000
   28.563426  1652.091252    77.633395  1580.294445  2673.978573   778.632430  1265.600476  1486.687480  6069.780837   405.218884  1970.293372   157.452162  6111.621063  3899.452131   115.898265   857.419170     0.000000  1698.785906    53.443646  1502.224173    55.184271  3391.898663   153.982833    13.225982   460.327140  1551.785526   364.092379    13.940157    15.931607 18040.486789  6448.756046  5920.072997   506.091976  3634.479577  4576.639858  1845.110768  2616.496383  5044.993489   117.466760     1.902591    37.339705   389.959283   116.367116   326.597953   159.530530  1780.720969  3179.735769  1999.011551   151.563344  3051.574167  2599.241754   695.315092   177.794981  2426.400794  1628.634621  7957.172237 11537.767586  3432.964529    42.864964    82.977122  2109.245253   814.835339  1426.453605    71.105396  1315.544302   573.629716   667.368665  2263.264271     8.990753  2539.250096    83.758520     1.667803     1.939023  1369.140223  2871.489878  5130.510656  1224.908276    23.233594   244.052311    43.480012    95.888362   412.960541   358.627122   316.242408     5.642444   500.318855   985.438199 19723.218807   559.270079    66.192889  1976.276554   805.209993    70.862462    56.756352   127.983913    67.760566     0.000000    76.807992    76.346512   184.873028  4123.952832  2718.018770  2251.317309   462.381279     8.322822  1873.587638  3610.590166  1124.014093     1.384893   101.399192   939.674502     0.311701    28.955811     1.457304    12.629964 35425.242884 35425.951295  5356.226642  8166.889402   597.062161  2171.411712  1469.093351     2.785069     2.922703  2301.493562     3.440856   215.740517  1159.792624    82.313305  1094.844777     0.000000     0.000000     0.000000     1.651611   140.264527  1044.159756  1605.067337    26.088007   173.284785  1225.544647   724.028021    66.404464     0.218596    16.618721   487.136248   294.982291    41.950101     0.364326   144.540221   201.966315   351.922570   227.921559   193.729140    72.887104   212.927358   164.593419  3788.722078    83.212031    83.653270    73.298319    29.826145    23.366358   183.213486     0.000000  1510.659015     0.000000   556.813825  1112.871880   992.882001  1883.631702    33.190849   668.662841   655.718410   172.246115   976.349836     0.000000    28.736538   416.766353    72.880014  3228.537748    18.951975    20.080464    28.112649    89.308418    62.773349     1.173939     8.237813    34.319338   111.023389  2199.505808    80.648976    69.351456     0.000000     2.283109   319.392356    31.279401     7.306758   881.858068    57.586123    56.304893    24.688499  4694.402191   760.966591   124.366111   529.725947   742.811197   398.622095   493.706999   369.445752   445.089283   792.591795  1428.517526   583.819118   190.578868   336.522016    65.815004   326.996650   143.407429    70.369895   232.335942     0.000000
   30.386895  1757.559599    77.646326  1580.294445  2658.528932   774.133669  1258.288124  1486.687480  6034.711021   402.877621  1958.909464   156.542439  6501.782663  3899.452131   123.297129   857.419170     0.000000  1698.785906    53.443646  1502.224173    55.184271  3391.898663   163.812989    13.149565   457.667474  1542.819661   361.988736    13.942478    15.934261 19192.178807  6860.440107  6298.006303   538.400533  3866.502203  4868.809335  1962.901344  2783.531676  5367.062334   117.466760     1.902591    37.345924   390.024234   116.386498   326.652350   158.608799  1770.432367  3179.735769  1999.011551   151.563344  3051.574167  2599.674678   695.430902   176.767722  2412.381601  1732.605512  7957.172237 11537.767586  3432.964529    42.864964    82.990943  2109.596564   814.971056  1418.211880    70.694565  1307.943386   570.315413   667.368665  2263.264271     8.990753  2539.250096    83.758520     1.667803     1.939023  1456.545174  3054.803776  5458.038856  1225.112294    23.237464   244.092960    43.487254    95.904333   413.029323   358.686854   316.295080     5.643384   500.402187  1048.347882 20982.335256   556.038743    65.810441  1964.858076   805.344107    70.874265    56.765805   128.005230    67.760566     0.000000    76.807992    76.346512   184.903820  4387.223088  2718.018770  2395.039826   491.899375     8.322822  1993.196158  3841.087709  1195.770364     1.473304   100.813331   934.245276     0.311701    28.955811     1.457304    12.629964 35425.242884 35425.951295  5356.226642  8688.257891   635.178190  2171.773378  1469.338040     2.785069     2.922703  2301.493562     3.440856   215.776451  1153.091605    82.327015  1164.738899     0.000000     0.000000     0.000000     1.651611   140.287889  1038.126838  1595.793622    26.092352   184.347164  1218.463728   719.844751    66.404464     0.218596    17.679648   518.234684   313.813753    41.950101     0.364326   144.540221   201.999954   351.981186   227.959521   192.609817    72.899244   226.520491   164.620834  4030.591436    83.212031    83.653270    73.298319    29.826145    23.370249   183.244001     0.000000  1607.098427     0.000000   553.596681  1106.441958  1056.266891  1872.748505    33.196377   668.774212   655.827625   183.242186  1038.679325     0.000000    30.571058   443.372425    77.532623  3228.537748    18.955131    20.083808    28.117331    89.308418    62.773349     1.173939     8.237813    34.325054   111.041881  2199.505808    80.648976    69.351456     0.000000     2.283109   319.392356    31.279401     7.306758   876.762892    57.595714    55.979576    24.545854  4694.402191   761.093336   124.386825   529.814177   742.934918   398.688488   490.854471   367.311179   445.163416   843.190299  1519.713083   621.089720   190.578868   336.578067    65.434739   325.107337   142.578853    74.862260   232.374639     0.000000
   30.530411  1765.860458    77.419860  1580.294445  2691.747784   783.806624  1274.010687  1486.687480  6110.115945   407.911657  1983.386430   158.498468  6532.490233  3899.452131   123.879455   857.419170     0.000000  1698.785906    53.443646  1502.224173    55.184271  3391.898663   164.586669    13.313871   463.386121  1562.097502   366.511858    13.901813    15.887787 19282.822436  6892.841597  6327.751448   540.943370  3884.763485  4891.804460  1972.172022  2796.678147  5392.410681   117.466760     1.902591    37.237000   388.886677   116.047041   325.699626   160.590648  1792.554275  3179.735769  1999.011551   151.563344  3051.574167  2592.092388   693.402588   178.976470  2442.524793  1740.788515  7957.172237 11537.767586  3432.964529    42.864964    82.748889  2103.443651   812.594087  1435.932722    71.577908  1324.286401   577.441619   667.368665  2263.264271     8.990753  2539.250096    83.758520     1.667803     1.939023  1463.424358  3069.231451  5483.816880  1221.539095    23.169689   243.381031    43.360418    95.624616   411.824669   357.640697   315.372565     5.626924   498.942699  1053.299173 21081.433699   562.986559    66.632756  1989.409372   802.995216    70.667551    56.600240   127.631886    67.760566     0.000000    76.807992    76.346512   184.364524  4407.943707  2718.018770  2406.351470   494.222590     8.322822  2002.609917  3859.228959  1201.417924     1.480262   102.073013   945.918858     0.311701    28.955811     1.457304    12.629964 35425.242884 35425.951295  5356.226642  8729.292066   638.178102  2165.439118  1465.052524     2.785069     2.922703  2301.493562     3.440856   215.147111  1167.499716    82.086898  1170.239898     0.000000     0.000000     0.000000     1.651611   139.878721  1051.098441  1615.733384    26.016251   185.217826  1233.688676   728.839356    66.404464     0.218596    17.763148   520.682279   315.295879    41.950101     0.364326   144.540221   201.410795   350.954587   227.294647   195.016515    72.686624   227.590335   164.140696  4049.627703    83.212031    83.653270    73.298319    29.826145    23.302087   182.709546     0.000000  1614.688666     0.000000   560.513983  1120.267173  1061.255583  1896.148874    33.099555   666.823645   653.914818   184.107629  1043.584951     0.000000    30.715444   445.466449    77.898806  3228.537748    18.899846    20.025231    28.035323    89.308418    62.773349     1.173939     8.237813    34.224940   110.718013  2199.505808    80.648976    69.351456     0.000000     2.283109   319.392356    31.279401     7.306758   887.718220    57.427729    56.679052    24.852560  4694.402191   758.873508   124.024034   528.268905   740.768051   397.525661   496.987797   371.900806   443.865039   847.172642  1526.890606   624.023094   190.578868   335.596393    66.252360   329.169619   144.360405    75.215830   231.696888 11483.500000
