NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-18.619267  11.584664   1.294189   0.777152   3.747034   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-20.751886  11.679996   1.076948   0.679509   4.060507   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-15.589777   8.022566   0.670461   0.704458   1.649280   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-13.899249   8.229112   0.557435   0.605760   1.646138   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-19.155224   7.688564   0.560356   0.640617   1.917226   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.362077   9.161988   1.404260   0.609514   3.383644   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.741654   8.202871   1.726265   0.976287   4.098521   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-14.016706   8.134270   2.118394   1.000561   4.112374   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.299148   9.010360   1.938352   0.996147   4.173704   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.687385   7.156783   2.003275   1.002714   2.263090   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.880180   7.105319   1.936284   0.998053   2.734419   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.815867   7.163522   1.798932   0.932865   2.278438   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.806998   7.204558   1.654985   0.999445   2.255329   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.559939   7.492785   1.664382   0.962532   2.271165   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.424903   7.813846   1.637196   0.966154   2.500171   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-9.887155 10.466818  1.269199  0.988463  3.974325  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-12.651373  10.259883   1.093901   0.971609   4.495080   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-21.233144   9.746981   1.404487   0.982652   3.708561   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-30.795536  11.726481   1.619183   0.999861   4.513828   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
