Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 414.379773  184.231474   -4.647399  -33.190168  -47.372063   -9.059293  -25.233717  -30.752674  -80.961526   -4.788673  149.978126   12.005002    6.098460  -79.988707   -1.210503  -18.020710   89.076696  -27.921652   36.694020   -3.038443   11.497852  -37.437219   -1.702523   -2.106691    7.362954   -4.585728   -3.945828   -0.480566   -0.383634 -117.828092  -66.701293  -67.871099   -3.507898   59.651001  -64.964554  -27.250128  -37.891663  -44.648355   -6.479063   -0.101661    6.816006   -6.863585   -2.043954   -5.543243   -5.877024  -65.359426  -58.326250  -41.105226   -3.143882  -62.471884 -189.397426  -50.660015   -3.402566  -41.714587  158.686747 -162.885423 -235.989995  -70.319569   -1.723957   -6.272781 -134.218822  -38.429254  -15.459954   -1.071329  -10.659882    7.451866  -13.734408  -46.323470   -0.397752  -52.183049   -4.090476   -0.081450   -0.085783  524.387401   23.230762   45.263414  -34.878160   -0.625316   -5.681795   -1.058782   -2.664617   -6.896990   -8.051534   -6.538505   -0.218224  -11.237275  168.747249  179.550028   12.471077   23.089811  175.897954  -13.283027    3.444698    9.189300   -2.215389   -3.464918   -0.069327   -4.633634   -6.316517   -3.124499  315.565326  -55.642661  -42.294166   -4.519611   -0.306039  -35.744013  -51.529776  169.074175   -0.038959   -3.613692  -10.492432   -0.015939   -2.562020   -0.069495   -0.892551   -0.021490   -0.048644  -70.697849 -153.410424  -12.420853 -156.529665  -65.528260   -0.187218   -0.235092  -47.268024   -0.304448   -3.584533  -23.760801   -3.871987   95.465788   -0.057248    0.000000   -0.005950   -0.146135    0.084324   73.326996  -58.731239   11.524142    6.512230  -25.322353  -26.524691   -3.777100   -0.019341   24.800184  191.423531   74.844055   -3.711758   -0.016327  -12.788965  -12.175680   -6.195002   -8.839263   -3.560152   -3.641684   19.023404   -3.168765  112.011835   -7.362627   -7.401668  -64.554980  -30.949580   -1.735155   -9.432163   -0.327046   -8.354686    3.108640   -5.517198   29.762032   33.110970  -18.228506   -1.121277  -45.397375  -47.798714   -1.063890   -9.383796   -0.071950   -0.553479   -5.925837   -1.544931   -7.985836    3.554338   18.163669   54.520611   -6.875799   -1.947579   -0.090381   -0.634224   -1.363879   -2.504626  -36.326166   -0.963612  -21.543320   28.489534   -0.202010  -16.332042   -2.767611   -0.646504  -19.631882   -3.799892    5.586736    0.858373  -96.241706  -45.317367   -8.101270  -34.018675  -44.157931  -21.607945   -0.110368   -0.101847    0.213163   25.448799   18.410984    5.123863  -15.767513  -24.372659    2.458302   -7.054755   -2.098362    1.514520   -5.276954    0.000000
 467.924547  196.822135   -4.900247  -33.174996  -60.228536  -12.573255  -34.190302  -30.750173  -79.770851   -5.359747  144.827982   11.620328  -29.382871  -79.986136   -4.643485  -18.013101  151.137765  -27.917555   78.113336   -2.131161   33.800287   -8.635740  -11.802298   -2.459505    6.872741   -6.388245   -2.853338   -0.533823   -0.354161 -205.293404  -72.744664  -76.340515   -5.721711   28.515323  -90.328647  -34.319258  -50.155197  -45.992434   -8.031338   -0.127896    8.726710   -8.276557   -2.463476   -5.082829   -6.267714  -69.675846  -61.700883  -41.101682   -3.143572  -62.470965 -197.267910  -52.762714   -3.833615  -38.230095  164.420179 -162.884391 -235.989129  -70.317585   -2.118005   -6.645864 -131.820427  -41.005313  -17.355459   -1.107657  -13.988473    7.050440  -13.732937  -46.322861   -0.490733  -52.179169   -4.956695   -0.098698   -0.118090  535.439449   23.189519   52.491706  -31.099200   -0.618246   -3.691998   -0.984630   -2.116625   -5.771931   -7.069185   -4.568987   -0.219451   -9.869737  179.463673  291.384826   15.992730   24.423544  205.364551  -11.000255    3.319815   10.967101   -2.659194   -5.995477   -2.418794   -4.412984   -6.009464   -2.640416  313.666097  -55.641621  -46.322931  -11.279493   -0.454276  -38.979896  -74.403990  160.239275   -1.220325   -4.012192  -12.818591   -0.022207   -2.562020   -0.105499   -1.117503   -0.021490   -0.084171  -76.399263 -168.033708  -12.922654 -163.246520  -66.964800   -0.208020   -0.231734  -47.264363   -0.304448   -4.252395  -26.537695   -3.935780   93.696245   -0.088436    0.000000   -0.009198   -0.136646    1.306277   71.097045  -62.588409   12.646966   -2.405685  -24.614465  -28.270492   -3.586337   -0.019341    8.126161  194.248284   76.103348   -3.470735   -0.019886   -8.553659  -12.879171   -7.471463   -8.730226   -4.298046   -4.515153   18.471363   -3.910471  114.746503   -7.362627   -7.401668  -51.201992  -30.854697   -2.044569   -9.505879   -0.502991    9.262628    5.326609   -3.751943   31.010372   34.551856  -12.177188   -1.235533  -44.667169  -49.794397   -2.318164  -18.138088   -2.531113   -3.121175   -8.924702   -2.574829   -7.013369    4.453331   19.698712   58.506160   -6.516615   -3.318097   -0.085659   -0.601093   -1.591829   -2.207114  -36.322116    0.946154   -6.136239   37.139345   -0.202010  -26.241371   -2.713697   -0.646504  -34.621802   -4.047603   15.129655    9.792208  -96.237933  -44.490413   -9.410537  -35.795156  -47.312075  -21.823250    5.684426    6.178167    3.943134   61.627441   24.308973   -2.167498  -15.001037  -25.474942    2.575516   -7.907224   -2.104546    0.582262   -4.674004    0.000000
 419.463710  159.803836   -4.786858  -33.162013  -31.264147   -9.485084  -14.860774  -30.747825  -74.926335   -5.236671  146.286981   11.717528   65.869662  -79.982460   -0.589010  -18.006003   63.580320   -3.962601   35.747651   -1.225482   11.097954   -4.560383   -0.782560   -2.270617    7.216480   -2.839848   -4.943348   -0.487851   -0.327605  -63.662724  -35.277516  -36.898976   -1.589417    8.790702  -37.080576  -15.639152  -22.177413  -25.639292   -4.116905   -0.064495    7.556281   -7.662004   -2.280909   -6.136053   -6.136501  -68.233873  -34.692186  -41.090241   -3.142899  -62.469682 -193.652605  -51.796467   -3.690022  -36.291538  135.950112 -162.881920 -235.988161  -70.315666   -1.009746   -6.493044 -132.611160  -39.837971  -17.754597   -1.255065  -12.865228    7.540609  -13.731643  -46.322225   -0.242784  -52.175102   -2.406163   -0.047912   -0.049019  529.447100   32.802840   77.108147  -32.938542   -0.569171   -4.747565   -0.910170   -2.461614   -7.606124   -6.562918   -5.958001   -0.230075   -9.163107  123.978818  419.590754   16.387821   23.975850  172.223733  -14.603471    3.423901   10.693423   -2.463701   -1.362608    0.000000   -3.971686   -5.307629   -3.455250   52.378950  -55.640582  -25.424771   -2.708976   -0.172147  -21.158962  -30.603348   48.092935   -0.005425   -3.723306  -11.522463   -0.009313   -2.562020   -0.036003   -0.253978   -0.004884   -0.019130  -10.641702  -92.231020   -7.770414 -160.182719  -64.917985   -0.137613   -0.186395  -47.261400   -0.268863   -3.947835  -25.614452   -3.819574   27.275053   -0.079409    0.000000   -0.008266   -0.122412    1.513583   71.861437  -61.303923   12.155218   -0.414827  -15.333207  -27.688091   -3.166659   -0.017206    5.295407   95.406998   47.050584   -3.109200   -0.009838   -4.152261  -11.726699   -6.917493   -8.399490   -3.906307   -4.077793    5.450072   -3.605632  124.185308   -7.362627   -7.401668  -59.561749  -30.947571   -1.938730   -8.993988   -0.448837   29.577585    3.750991   -7.025970   31.884352   42.060164  -22.269344   -1.129635  -43.725702  -48.879265   -0.607836   -5.720188    0.000000   -0.265057   -3.220889   -0.864867   -4.105874    4.278863   18.943428   57.016908   -5.746936   -0.973789   -0.075542   -0.530098   -1.448579   -2.048525   -5.304167    1.051019  -16.936445   22.977873   -0.202010   -7.890762   -2.713697   -0.646504   -4.099608   -3.944911   -3.423291   -3.146080  -96.234270  -46.594851   -8.943430  -35.005589  -48.477863  -22.905977    6.094928    6.513829    4.571020   14.032030   15.953380    1.534452  -13.249091  -24.981410    2.614229   -7.618854   -1.973510    0.228317   -4.336768    0.000000
 389.548267  135.994098   -4.635614  -33.162707  -32.307493   -9.307711  -13.856971  -30.747990  -73.391374   -5.150262  143.659710   11.504320   65.869250  -79.981278   -0.544005  -18.005652   78.151458   -3.452053   44.549249   -0.774209   16.595947   -3.542146   -0.722767   -2.412201   10.566126   14.039299   -4.088678   -0.556850   -0.368041  -63.662724  -32.773391  -34.684220   -1.589417    8.790486  -35.369570  -14.949345  -20.376670  -23.680264   -3.846944   -0.061215    8.405599   -6.888609   -2.555172   -4.948610   -6.272671  -69.735226   -6.744865  -36.845214   -3.142648  -62.469062 -196.851594  -52.651218   -3.572718  -38.316645  133.264673 -162.881414 -235.988009  -70.315705   -0.935862   -6.644705 -133.385132  -41.617028  -16.628839   -1.103990  -14.025108    7.001776  -13.731622  -46.322116   -0.232453  -52.173471   -2.261793   -0.045995   -0.046791  508.690941   32.802602   64.875507  -32.008268   -0.643380   -3.889695   -1.022891   -2.219666   -6.082752   -7.337168   -4.812656   -0.229988  -10.245370  120.507647  391.089552   15.860018   23.940366  164.524793  -11.597310    3.229130   10.664498   -2.758278   -1.284745    0.000000   -3.751037   -5.044441   -2.780469   52.377367  -55.640609  -24.133170   -2.529428   -0.162583  -20.084067  -29.253506   48.021377   -0.005425   -3.867603  -11.313960   -0.008775   -2.562020   -0.033492   -0.239465   -0.004605   -0.018037   -9.033364  -87.545601   -7.427874 -155.802397  -68.053980   -0.131213   -0.176319  -47.261363   -0.257002   -3.147768  -24.837460   -3.997473   24.651050   -0.092575    0.000000   -0.009652   -0.114820    1.193013   70.317615  -62.644842   12.326967   -0.414827  -15.703179  -28.295398   -3.052202   -0.016453    5.275795   85.425010   47.014288   -2.916382   -0.009210   -3.903126  -12.194307   -5.686131   -8.904158   -3.966593   -4.219615    5.446123   -4.049882  124.156934   -7.362627   -7.401668  -53.000688  -30.889241   -1.987992   -9.400547   -0.522147   29.573623    3.741753   -5.650549   29.934950   42.056022  -18.607592   -1.288496  -42.920753  -50.281527   -0.607836   -5.341061    0.000000   -0.254314   -3.065078   -0.843961   -2.169522    4.163460   18.490398   55.966752   -5.490377   -0.901657   -0.072170   -0.506433   -1.655782   -2.291090   -4.642714    1.865851   -6.136239   24.102223   -0.202010   -7.340244   -2.551953   -0.646504   -2.373353   -3.856232    0.451504   -0.632097  -96.233972  -45.057642   -9.043932  -33.992580  -50.062892  -23.127478    6.439228    7.771999    3.605898   12.439574   15.952105    1.533815  -12.592111  -24.571305    2.258352   -7.423915   -1.950755    0.228145   -4.853239    0.000000
 430.938597  167.902057   -4.499015  -33.169348  -35.791486  -10.461264  -17.968498  -30.749076  -70.493499   -4.785706  139.909110   11.188170  -11.009975  -79.984921   -5.041376  -18.010235  118.991869  -20.701699   63.309101   -1.229160   29.502064   -4.565424  -12.767593   -0.868324   10.822013   12.138678   -3.157298   -0.357356   -0.293342 -173.017907  -71.700865  -77.861806   -4.896582  -15.220802  -75.939467  -30.107357  -42.680393  -56.519676   -5.601690   -0.089637    9.648952   -7.004900   -2.087439   -5.724540   -4.436025  -72.668503  -41.444840  -41.100530   -3.143356  -62.470580 -204.132874  -51.896153   -3.866442  -37.574366  150.316032 -162.883623 -235.988789  -70.316710   -1.477678   -6.326904 -134.585088  -41.828959  -11.796807   -0.713584  -11.170885    5.859927  -13.732414  -46.322622   -0.340931  -52.177869   -3.464874   -0.068993   -0.081326  529.875617   22.863226   49.490863  -28.266081   -0.473547   -4.358106   -0.808740   -2.012323   -7.160695   -6.197225   -5.550678   -0.161093   -8.649001  144.259982  602.596485   14.765995   23.892226  172.168469  -13.847734    3.200450   12.485515   -2.273196   -4.087825   -2.581349   -3.353868   -4.518064   -3.231209  267.958003  -55.641127  -45.101990  -10.422544   -0.310821  -40.104965  -63.132105  114.283584   -1.300499   -2.015641  -11.060243   -0.015222   -1.780104   -0.072007   -1.117503   -0.021490   -0.057389  -87.768321 -163.604044  -13.314526 -161.649245  -69.129711   -0.153615   -0.161206  -47.263223   -0.247117   -3.727984  -26.896528   -4.049137   81.701636   -0.039774    0.000000   -0.004135   -0.094893    1.744713   68.143519  -65.432850   13.146010   -2.490788  -16.377016  -29.527749   -2.708829   -0.014946    0.934254  130.140987   64.180277   -2.410233   -0.013815   -5.979256  -11.763455   -6.322424   -8.039148   -2.799061   -2.649390   15.651902   -3.144977  112.335161   -7.362627   -7.401668  -54.050167  -30.866684   -1.556735   -9.423341   -0.225816   23.397527    5.310488   -3.929987   28.975167   33.556063  -14.778190   -0.834909  -44.185705  -52.101309   -2.258912  -15.945758   -2.701905   -3.309265   -8.483021   -2.689461   -4.108020    4.555133   20.437541   60.643780   -4.874634   -2.236109   -0.064076   -0.449636   -1.005093   -1.926904  -26.978488    1.886130   -5.937011   31.083436   -0.202010  -17.616585   -1.869036   -0.646504  -13.254032   -3.895851   -1.184904   -1.077637  -96.236419  -47.113375   -7.861801  -35.188850  -52.076098  -23.097377    6.294559    8.631285    5.148698   53.565027   11.192026   -4.101017  -11.278152  -25.308720    2.443927   -7.717577   -1.734407   -0.326931   -4.057151    0.000000
 532.300452  202.907049   -4.438549  -33.208999  -63.048018  -12.392794  -35.921018  -30.756114  -85.837313   -5.599810  140.308693   11.244589  -29.287819  -80.000484   -1.921743  -18.034224  158.942126  -29.741033   83.864248   -2.147803   35.619047   -8.659218   -3.390426   -0.990562    9.730961   10.778169   -2.821312   -0.333192   -0.279159 -231.220256  -82.684144  -86.932147   -6.331918   -8.712417  -98.339083  -37.532306  -54.722466  -55.318916   -7.963848   -0.126803    8.673952   -6.684880   -1.992005   -5.469960   -6.566792  -73.200035  -61.704266  -41.111771   -3.146280  -62.476855 -195.159548  -51.179984   -3.178334  -38.283611  164.951251 -162.892574 -235.992339  -70.322787   -2.118005   -6.249153 -137.676642  -43.097775  -17.039166   -0.750519  -11.588157    5.733469  -13.736649  -46.325028   -0.490733  -52.196755   -4.956695   -0.097740   -0.120319  546.627314   20.423811   59.072083  -34.494964   -0.447545   -4.156793   -0.769306   -1.901391   -6.845287   -5.925644   -5.302039   -0.149645   -8.269083  183.893832  381.362228   15.159803   25.271247  214.604000  -13.244566    3.140221   11.037847   -2.170570   -5.995477   -0.416773   -4.015816   -5.439223   -3.087888  308.241603  -55.644404  -48.974564   -9.897658   -0.463840  -40.830030  -78.562419  159.519442   -0.221068   -2.374560  -13.964121   -0.022565   -2.096198   -0.109685   -1.117503   -0.021490   -0.084171  -87.810070 -177.659480  -13.100375 -160.005812  -71.051427   -0.201619   -0.208225  -47.272894   -0.292586   -3.564662  -26.670413   -3.817407   92.331750   -0.035203    0.000000   -0.003649   -0.118616    0.885503   68.695647  -65.903664   12.441087   -2.208417  -18.741493  -29.741573   -3.242964   -0.017834    5.601198  199.802681   77.575316   -3.012791   -0.019886   -8.553659  -11.600566   -6.032196   -7.862734   -3.459183   -2.465377   17.747060   -2.992653  109.936307   -7.362627   -7.401668  -49.255168  -30.879548   -1.508666   -9.281197   -0.203032   10.445602    5.592340   -4.099136   28.688805   37.667720  -13.685372   -0.779298  -43.680508  -51.609111   -2.499322  -19.950269   -0.429637   -1.048767   -9.125753   -1.773078   -7.023210    4.290503   19.653121   59.153547   -5.900872   -3.462362   -0.077566   -0.544297   -0.933800   -1.841797  -38.689587    0.985478   -5.020559   37.810331   -0.202010  -27.342408   -2.264409   -0.646504  -36.291302   -3.843554   12.675238    8.995715  -96.249251  -46.538283   -7.660513  -34.770146  -49.928545  -22.788309    5.412828    7.008217    2.666430   60.598080   16.932223   -3.942236  -13.577581  -25.797524    2.465491   -7.825194   -2.105360   -0.173569   -3.875790    0.000000
 491.758328  187.879120   -3.954190  -35.395720  -47.504903  -13.063300  -24.496258  -32.873505  -74.329998   -4.796788  135.166451   10.800760  -30.773518  -85.569200   -2.093949  -19.221509  190.590008  -21.320380  102.941906   -2.020677   44.762241   -7.374667   -3.888368   -1.524665   10.374552    8.056253   -3.554195   -0.406696   -0.321329 -222.107184  -79.435134  -87.891493   -6.084913  -18.295637  -92.889155  -35.865226  -52.357945  -60.337641   -7.356436   -0.118058    9.912660   -7.662636   -2.282340   -6.232758   -5.966306  -78.496239  -45.998134  -43.956397   -3.360427  -66.845353 -186.205652  -49.806612   -3.244584  -41.453454  158.015512 -174.278281 -252.517204  -75.230895   -1.970237   -5.428829 -142.333296  -43.056659  -14.631030   -0.881059  -12.351096    6.390761  -14.685261  -49.564099   -0.454574  -55.818844   -4.619832   -0.091032   -0.111406  557.212341   19.729790   45.131463  -30.052834   -0.525711   -4.753685   -0.887670   -2.249373   -7.778020   -6.727679   -6.041705   -0.185724   -9.388286  167.685113  570.437336   16.960425   32.191654  228.394290  -15.019489    3.147754   12.792769   -2.481241   -5.878682   -0.561513   -3.883426   -5.219899   -3.515927  285.969192  -59.533121  -49.522690   -9.764393   -0.430367  -41.309382  -78.483827  138.930249   -0.280408   -2.766804  -14.225102   -0.020774   -1.996379   -0.099638   -1.153786  -12.633409  -19.752170  -98.181654 -179.648114  -13.287574 -170.042195  -71.270102   -0.190418   -0.196470  -50.552249   -0.282702   -4.047168  -21.675112   -3.527388   88.828769   -0.049764    0.000000   -0.005148   -0.111974    1.535376   66.143233  -70.623650   13.634275   -2.347961  -20.394577  -31.880004   -3.166659   -0.017081    0.910237  175.610686   78.891793   -2.844075   -0.018420   -7.972342  -11.248239   -6.912988   -4.323503   -3.919394   -3.180053   17.185701   -3.480393  109.872904   -7.601674   -7.641982  -36.988863  -30.899116   -1.625470   -8.950226   -0.290946   23.544921    5.877957   -5.066265   50.246511   34.251819  -16.827977   -0.948595  -45.171824  -53.058241   -2.550926  -19.375715   -0.570396   -1.187089   -9.247092   -1.859183   -6.787162    4.668925   22.054431   62.646780   -5.644313   -3.245965   -0.074193   -0.520632   -1.164199   -2.093059  -27.771577    1.409078   -4.781485   42.647551   -0.208569  -24.773323   -2.138609   -0.667495  -24.783615   -4.007429   12.456972    9.430382 -102.954286  -48.238110   -8.420891  -36.022975  -48.024169  -23.711068    8.828379   11.811795    4.498742   57.624772   10.774610   -4.993728  -13.030098  -26.695009    3.915543   -6.354437   -2.260000   -0.360397   -4.410098    0.000000
 439.659361   86.748732   -4.012695  -35.765545  -55.839673  -15.158984  -24.617582  -33.017460   13.667838    1.191682  119.772373   10.136591   45.774693  -73.473863   -1.145484  -11.231572   61.329156   -1.535977   35.509441    0.000000   22.359350   -1.653771   -2.618848    2.537525    9.521766   16.869325    0.745132   -0.430653   -0.335026  112.372677  -18.154780  -23.738935    3.709249   26.181845  -32.724054  -13.197595  -18.712184   -8.256844   -1.889727   -0.030608    9.882196   -7.981664   -2.377000   -6.480858   -2.738712  -53.647403   -3.905237   -6.281711   -2.901795  -60.581871 -177.209184  -47.399492   -3.713621  -49.118804  101.485317 -104.114759 -179.760482  -42.679843   -0.467931   -5.187477 -143.843691  -43.657837    3.386357    0.192357  -18.601871    2.525631  -14.753825  -49.728678   -0.118809  -56.074082   -1.154958   -0.022998   -0.023395  380.290222   21.958079   44.282501  -30.930357   -0.551144   -4.947484   -0.926174   -2.363337   -8.080743   -4.859102   -6.281994   -0.197547   -9.751304   89.656916  244.443372   12.019215   23.981510  150.413749  -15.595094    3.267783   12.789340   -2.582456   -0.622907   -0.662682   -2.206492   -2.675747   -2.557660   35.818794  -33.751295  -20.468100   -2.055786   -0.076510  -16.418543  -25.843872   38.795670    1.176257    3.156935  -16.260942   -0.004298   -0.915007   -0.016746   -0.116104  -12.387309  -19.385909   -4.497744  -74.249623   -6.297967 -172.350662  -72.321336   -0.076807   -0.073886  -50.768216   -0.162109   -4.203747  -26.449062   -3.587158   17.706775   -0.054542    0.000000   -0.005637   -0.044600    1.788332   58.596237  -56.357515   14.225443    3.526726   -5.898976  -15.089432   -2.136541   -0.009168    6.034567   57.328927   34.552832   -1.132809   -0.004605   -1.993085  -11.408431   -5.111008   -5.831424   -4.653579   -3.421023    4.051143   -3.640674  110.084944   -7.219199   -7.641982  -47.263497  -30.832181   -1.683722   -9.087883   -0.322099   20.508390    3.889608    1.047005   14.980068   45.140375    3.464208   -1.003782  -45.655842  -53.515287    1.270380   -2.885891   -0.670171   -0.866049   -2.762219   -0.994205   -1.265649    4.672909   22.235976   64.358396   -3.078716   -0.432795   -0.040469   -0.283981   -1.239977   -1.867161   -2.209786    2.365881   -2.191514   21.350220   -0.181022   -3.486616   -0.934518   -0.667495  -17.089813   -4.061234    0.553015    0.511724  -60.721247  -48.789835   -8.677284  -36.430889  -47.547299  -22.989063    9.074525   13.251875    5.031746    9.242882   10.942511    4.349454   -6.679294  -26.841132    1.536726   -7.771640    0.563047    0.673084   -4.583403    0.000000
 498.130854  123.289787   -4.010594  -35.759304  -54.505844  -14.937562  -24.237074  -33.016179   15.310237    1.301911  119.605992    9.712907   40.342819  -69.336096   -1.604941   -3.951227   82.447884   -1.032797   59.779053    1.749343   37.404028    1.657518   -4.239285    2.546218   10.360492   18.952340    0.853700   -0.429721   -0.334546   96.261176  -23.943061  -29.045102    3.248532   22.059015  -36.825599  -14.853813  -21.059139  -12.842550   -1.822236   -0.030608    9.836464   -7.968933   -2.373295   -6.471799   -2.154694  -50.481104   -2.951986   -5.682372   -2.741514  -57.343111 -177.147340  -47.382999   -3.664688  -48.459076   43.899073  -59.354044 -167.510958  -18.076897   -0.467931   -5.183683 -143.793153  -43.636749    3.772925    0.631460  -18.213542    2.686292  -13.718874  -49.719453   -0.113644  -56.065641   -1.106835   -0.022039   -0.022281  371.680331   19.399606   36.089550  -30.901017   -0.550204   -4.940774   -0.924761   -2.358314   -8.070393   -4.931765   -6.273530   -0.197017   -9.739139   53.514882  153.894905    6.693465   20.828423  148.378765  -15.575914    3.262032   12.743245   -2.578579   -0.622907   -1.058640   -2.162362   -2.588017   -3.650074   29.209859  -33.750764  -21.611058   -3.481885   -0.076510  -18.164107  -29.095962   33.914256   -0.488907    3.189943  -12.815298   -0.004119   -0.898370   -0.015909   -0.116104  -12.273202  -18.160250   -2.924283  -78.395390   -6.717716 -169.463162  -72.286195   -0.075207   -0.072207  -50.767384   -0.160132   -4.198419  -26.135066   -3.585116   14.360581   -0.054320    0.000000   -0.005617   -0.043651    1.790408   53.715402  -51.882360   14.062364    2.437865    4.056515  -12.091865   -1.755016   -0.009043    6.110531   52.938210   23.385821   -1.108707   -0.004396   -1.910040  -11.402274   -7.188930   -5.825258   -3.888586   -3.402950    3.357152   -3.633039  107.846690   -7.171390   -7.641982  -37.028389  -30.835650   -1.679570   -9.082921   -0.319219   16.148376    4.879846    1.201235   15.245989   51.363736    3.975896   -1.001627  -45.639386  -51.894689    1.093955   -5.013682   -1.072880   -1.284055   -3.191980   -1.239786    1.265204    4.657019   22.127524   64.076061   -2.924780   -0.396729   -0.038446   -0.269782   -1.236283   -2.171822   -1.561493    5.074018   -2.151668   22.791230   -0.179710   -3.486616   -0.916547   -0.667495  -16.363399   -4.058810    0.625973    0.578023  -58.467440  -48.770985   -8.658624  -36.415882  -47.529598  -22.335888    9.966549   15.049022    5.041224    6.538424    9.673709    3.829127   -6.460301  -26.911756    1.542847   -7.671787    0.603077    0.558615   -4.577595    0.000000
 771.904663  161.614906   -4.002743  -35.741753  -53.759387  -14.909283  -20.409162  -33.013744   14.830633    1.429198  119.249135   10.096370   38.769202  -73.476104   -1.934809   -3.943729  120.438039    0.000000  105.225516   21.980956   57.867236    4.613182   -4.896527    4.560165   10.093500   18.628558    1.276372   -0.426662   -0.332717  -88.642739  -24.042377  -43.308922   -1.362971  -13.517562  -42.228537  -16.315599  -24.148073  -25.007238   -2.024707   -0.032794    9.913454   -7.928664   -2.361241   -6.439212   -2.235377  -51.371345   -1.043027   -5.078734   -2.902736  -60.583475 -176.894272  -47.315320   -3.753619  -49.660007  101.941149  -98.798920 -179.759978  -13.533828   -0.492559   -5.173832 -143.587624  -43.556382    3.060388    0.577726  -17.233395    2.357369  -12.626160  -49.728331   -0.118809  -56.075395   -1.203081   -0.023956   -0.025623  140.416583   19.367753   36.053876  -30.781619   -0.546881   -4.914759   -0.919716   -2.344666   -8.029556   -6.431042   -6.241496   -0.195614   -9.689789   50.734758  241.825385   11.740300   23.345689  158.981293  -15.497498    3.279649   12.815428   -2.565560   -0.739702   -1.099967   -2.162362   -2.675747   -3.631675   23.012733  -10.675938  -24.268392   -5.365779   -0.090855  -21.083466  -34.762314   10.387124   -0.523877    5.540547  -13.295074   -0.004656   -0.931643   -0.018420   -0.137874  -12.151671  -18.882574   -6.159964  -88.034874   -7.628504 -169.504266  -72.143143   -0.078408   -0.075565  -50.762737   -0.162109   -4.177255  -26.707165   -3.576998    7.914871   -0.053765    0.000000   -0.005556   -0.045549    1.806906   58.309594  -46.132396   14.248137   -1.562895    3.440351  -12.451926   -1.755016   -0.009168   -0.420593   15.367077    9.163261   -1.156912   -0.004814   -2.076131  -11.381356   -7.152187   -5.802297   -4.043307   -3.385503    1.403270   -3.614712   54.322392   -7.219199   -7.641982  -16.774137  -30.852090   -1.673832   -9.064489   -0.316293    8.541936    6.634782    1.303768   18.957243  104.778815    3.865854   -0.994593  -45.573814  -52.210051   -1.473959   -8.864271   -1.121511   -1.393398   -4.163866   -1.367083   20.770490    4.680790   22.268861   64.423427   -2.976092   -0.540994   -0.039120   -0.274515   -1.227750   -2.160786    0.000000    6.962804   -2.231360   24.412874   -0.182334   -4.037134   -0.934518   -0.667495  -10.094937   -4.052318    3.265727    3.318875  -43.845833  -48.696466   -8.638393  -36.361960  -47.457246  -22.808293    9.685638   14.778067    5.086843    4.738204   -3.621591   -2.896328   -6.679294  -26.799046    1.836389   -7.849295    0.785497   -0.273686   -4.554037    0.000000
