NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 2926.170544  5767.563232  3556.716608  3776.359070  4396.200252 40118.500000  1522.000000  6929.000000 20335.000000  8939.500000  3057.000000  6256.000000  9641.570588
 2154.419407  5844.760750  3494.907495  3761.923998  4436.760083 39046.500000  1652.000000  6853.000000 19424.000000  8518.000000  3023.000000  6246.000000  9641.570588
 2095.270735  5495.544574  3485.668892  3733.322886  4406.758245 38542.000000  1642.000000  6818.000000 18277.500000  8365.750000  2959.000000  6167.000000  9263.000000
 2213.818926  5742.331345  3596.524264  3803.164178  4384.679787 38069.000000  1556.000000  6819.000000 17835.500000  8077.750000  2959.000000  6131.000000  9070.000000
 2172.170879  5733.381741  3581.659860  3790.085699  4382.658827 37803.000000  1567.000000  6813.000000 16971.500000  8235.250000  2961.000000  6159.000000  9120.000000
 2215.544917  5661.703315  3603.047889  3774.106208  4353.615677 39625.750000  1591.000000  6871.000000 16521.500000  8652.750000  2963.000000  6272.000000  9353.000000
 2854.056539  5653.799218  3677.192799  3814.718870  4353.973461 41015.750000  1681.000000  7014.000000 17148.000000  9744.000000  3019.000000  6163.000000  9641.570588
 3128.039306  5501.083931  3621.055854  3812.574411  4687.612642 43372.000000  1783.000000  7119.000000 17187.500000 10668.250000  3084.000000  6160.000000  9644.436535
 3125.741869  5499.871177  3678.556816  3826.219612  5303.731812 45186.750000  1821.000000  7150.000000 18127.000000 10935.250000  3082.000000  6248.000000  9644.436535
 2983.140632  5478.631165  3722.995646  3851.900594  6062.653989 46328.250000  1899.000000  7225.000000 20267.000000 10654.000000  3130.000000  6315.000000  9644.436535
 3147.030888  5924.782392  3812.245172  3915.963479  6234.542171 47085.750000  1883.000000  7276.000000 22641.000000 10319.750000  3190.000000  6459.000000  9647.302482
 3181.239434  6196.307208  3799.816727  3919.971755  6281.009836 47946.250000  1914.000000  7391.000000 24673.500000 10230.000000  3277.000000  6452.000000  9647.302482
 3180.109141  6431.178841  3728.101170  3965.274870  6278.989286 47896.000000  2129.000000  7432.000000 26035.500000  9935.500000  3330.000000  6507.000000  9647.302482
 3175.146867  6569.977366  3744.349065  3937.729155  6284.934559 46709.750000  2113.000000  7451.000000 26746.500000  9995.000000  3435.000000  6476.000000  9647.302482
 3177.886747  6652.984677  3753.327471  3940.666223  6280.250400 44882.500000  2058.000000  7561.000000 27164.500000 10367.750000  3519.000000  6457.000000  9854.000000
 3171.638610  6801.835165  3849.113304  3938.698376  6317.276293 44346.500000  2090.000000  7681.000000 28117.500000 10717.500000  3684.000000  6506.000000 10142.000000
 3153.466203  6995.898574  3926.046797  3910.137264  6301.664990 45865.750000  2270.000000  7877.000000 30762.000000 10809.750000  3757.000000  6527.000000 10168.000000
 3097.973041  7066.099604  3947.207778  3865.802933  6300.651508 49043.750000  2486.000000  7912.000000 32474.000000 10953.000000  3779.000000  6566.000000 10168.000000
 3087.652708  6986.781955  3809.484720  3895.319180  6314.378444 50110.000000  2486.000000  7798.000000 31154.500000 10542.000000  3756.000000  6613.000000 10125.000000
 3088.493603  6883.887261  3811.213730  3885.490499  6286.543362 50131.000000  2486.000000  7619.000000 29021.000000  9938.250000  3676.000000  6603.000000  9924.000000
 3338.715546  6404.905761  3782.628154  3863.818670  6258.889152 48267.750000  2486.000000  7347.000000 27077.000000  8798.000000  3548.000000  6557.000000  9760.000000
 3347.107348  6246.346844  3724.579273  3837.216184  6200.171649 46172.500000  2393.000000  7273.000000 24997.000000  7940.000000  3287.000000  6547.000000  9919.000000
