NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-1991.281750 -1689.400425 -1365.279848  -955.722257  -791.335533     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2257.718663 -1746.866942 -1336.490441  -958.352088  -798.167964     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2081.991429 -1989.401871 -1326.230004  -912.207874  -832.631283     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2161.247573 -2055.945232 -1400.552000  -981.260239  -944.725943     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2154.822524 -2051.470850 -1394.552822  -975.714175  -931.172048     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2029.877830 -2112.035799 -1424.665872  -951.954858  -958.515061     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2040.736778 -2149.068183 -1436.682432  -985.567675  -983.352001     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1911.726567 -1949.930063 -1327.704040  -945.229222  -912.594693     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1956.535619 -1982.092480 -1352.026524  -951.231403  -941.724041     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2161.804524 -2044.208724 -1379.466010  -964.530835  -968.836528     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2093.344049 -2055.524556 -1416.615411  -985.263598  -993.304966     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2159.106345 -2081.361343 -1432.961247  -983.266118  -981.955806     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2187.795008 -2104.119734 -1410.239448  -998.002646  -995.912884     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2201.979259 -2102.148789 -1415.701457  -984.862910  -998.337286     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2228.760123 -2105.741937 -1419.280259  -983.394609  -991.649905     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2275.865878 -2119.526571 -1465.018815  -981.892934 -1011.567043     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2324.456347 -2158.664248 -1489.128385  -971.223254 -1005.244146     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2401.456989 -2157.876433 -1449.842784  -955.664539 -1005.767276     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2376.667615 -2152.394169 -1441.735216  -965.958526 -1011.249188     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2359.230765 -2132.266829 -1390.011907  -962.720024  -982.899578     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2040.364645 -1926.202583 -1299.336494  -984.024525  -924.217779     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2010.348739 -1893.397609 -1302.090768  -978.569466  -950.161735     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2049.232460 -1993.007606 -1355.327790  -923.881288  -978.877227     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2197.748907 -2101.774894 -1370.246487  -928.974048  -968.933988     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2050.929612 -2019.894595 -1423.629116  -901.364959  -911.023156     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2042.472304 -1944.421746 -1447.975638  -821.871556  -884.270072     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1984.692035 -1977.330452 -1511.549739  -909.212305  -937.033116     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2119.375496 -2076.045039 -1500.650961  -952.496498  -991.498048     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2080.329366 -2054.907623 -1515.902352  -955.040959  -982.764280     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2053.085475 -2030.031100 -1487.853619  -954.408465  -974.075673     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2108.886462 -2083.424008 -1522.717721  -960.023534  -982.594582     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1993.745813 -1944.282350 -1450.610089  -922.275674  -901.766265     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2079.246082 -1982.995911 -1465.253211  -937.221233  -928.225346     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2170.785767 -2046.455487 -1447.082792  -956.750858  -947.278383     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2265.973521 -2089.092273 -1448.506439  -959.752357  -958.747654     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2336.527827 -2090.551324 -1465.782076  -969.537346  -965.581830     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2323.125693 -2085.673735 -1462.632125  -963.597344  -959.771389     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2329.664989 -2087.689623 -1497.271839  -963.796027  -962.824666     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2321.851931 -2102.914949 -1480.192744  -965.034125  -955.368674     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2354.802148 -2108.573374 -1472.508773  -963.801922  -983.524881     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2395.055662 -2164.066927 -1502.852933  -969.138776 -1009.342379     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2404.418128 -2188.163884 -1508.841193  -963.050204 -1013.000024     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2375.231285 -2194.901671 -1527.140031  -971.989398 -1013.556432     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2323.599993 -2165.712170 -1500.495329  -952.275623  -964.551743     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2010.309193 -1930.215685 -1366.077367  -970.649599  -954.614407     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1977.296435 -1899.444923 -1382.115362  -967.922427  -950.009064     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
