Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 1384.064567  1090.140724    36.389991  1025.259545   286.837511    42.648169    69.416678  1079.332145    10.595726     1.583838   852.968735    72.726871    58.334183   560.721133     1.312765   136.873751   524.891817   236.829206   947.237978     9.440676   213.812013    51.057301     4.457213     7.889345    44.949200    18.176769     1.026238     0.000000     0.000000    69.518214   591.680605    38.990839     2.767057   393.663752     0.000000     8.371705     6.451565    33.261907    12.545467   105.094641   162.881717     0.000000     0.000000     0.000000     0.000000    86.163277   369.359162   270.090993    21.822814   438.709150  1976.482554   528.706415    29.752288   336.108174  1061.090516  1143.923722  1713.885736   586.266701     2.687490    70.662214   913.941638   203.542184     3.041973     1.549703    93.930621     0.681646   306.182000   336.225136     0.788222   377.430978     6.576167     0.287956    10.918994  8507.278071   347.783119   713.368321     2.069957     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000  2148.670466    97.775246     0.000000    66.869370   607.164553     0.000000    65.955678   220.368668     0.000000     3.390754   185.378947    38.338878    55.377397     0.000000   579.723207   499.192646    12.264510  1342.357762     0.535559     0.000000   597.251524  2016.280039   870.546541     9.306877     2.172788    12.633750    18.349646     1.528078     0.056529     0.003400     0.007336   236.712778    44.491156     9.259444  1399.227488   217.140173     4.836565     5.374035  1462.024167    22.425706     0.000000   294.283176    31.100206   596.916351     0.000000     0.000000     0.000000     1.787532     3.348446   320.682370   204.413825   311.225091   689.359035     4.724422     0.930839    31.859485    23.147065   738.316721  3086.725344  1064.886085    16.451879     0.104494    10.461832    94.821534     0.000000    44.364389     0.521727     0.000000   154.289251     0.000000   156.198552   308.576098   713.000285   625.247662  2592.319008    10.747897    74.188715     0.274444   168.575275     0.000000     0.855754    31.293988     7.141324     3.444663     0.000000   357.808515   624.191370    63.991697   489.855490   338.099050   444.940646   210.437545    62.363739    48.582262    80.056769   653.203580  2723.069620    51.456610     3.414772     1.151972     6.187253     0.000000     0.000000   303.678680     0.090203    31.910900    27.772318    14.746550     4.089234    13.964112    45.157652    55.025477    25.155792     3.515024     7.525876  2254.139779   307.903963    40.377777   248.489142   231.976647    99.615620    30.078868    53.457164     4.228852    12.497233     6.481824     4.151239   116.100393   204.226888     3.828222    83.372547     1.008716     8.038260     0.000000 18734.230309
 1231.861673  1063.887499    41.583185  1025.570905   307.290441    50.237835    85.796831  1079.386369     7.218288     0.768223   852.367944    71.563714   186.043234   620.436086     1.615754   147.005865   438.809093   261.396730   727.976191    42.518638    97.998847   149.884731     2.248153     2.583766    30.359326     6.244646     1.013077     0.025402     0.027225    98.258096   591.678984    47.078505     3.347970    22.838482    11.284578    12.153722    11.871233    40.166901    17.494338    84.821830   182.326301     0.000000     0.000000     0.000000     0.000000    99.373531   385.575355   287.511844    24.155520   468.922657  1976.481232   528.706214    41.023709   336.726084   976.287491  1265.663810  1834.987600   607.896471     3.914568    70.657774   913.940444   203.540921     1.876578     0.549722   134.636136     6.773665   353.515042   359.987092     0.989682   404.140762     8.376031     0.408152    12.264874  8211.158115   435.292476   936.836421     2.069951     0.040427     0.402861     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000  2072.241104    39.248786     0.000000    30.528522   583.880725     0.000000    67.898761   229.828456     0.000000     3.910360   105.467861    42.119412    60.260221     0.000000   635.976868  1099.171012    17.903292   963.886905     1.139382     4.622618   132.314553  1952.023623   716.158055     3.103523    41.631149    12.311566    20.218709     2.426621     0.187751     0.011284     0.024352   622.329386    64.946847     0.000000  1316.222169   217.139957     5.397620     6.092391  1488.801136    23.777426     0.000000   294.343850    31.100128   570.301183     0.000642     0.000000     0.000064     2.007211     3.326534   296.763314   368.040717   326.973210   622.828564     4.686550     0.000000    33.465988    24.737303   709.443445  2972.348588  1026.411402    18.516668     0.147796    13.333100    94.819514     0.000000    56.940180     8.665373     0.000000   136.609673     0.000000   153.290216   314.033010   712.759753   625.004647 11153.991766    10.743539    74.188062     0.272448   274.357184     0.004936     0.851252     9.853288     0.369786     2.291185     0.060245   357.807327   624.170121    42.205076   353.334138   174.953839   309.372149   158.709058    10.996846   142.633170    82.115265   658.035259  2737.373261    53.789413     0.000000     1.200349     6.460439     0.000000     0.000000   338.601994     0.540314    35.218598    17.490853    14.971501     7.007433    15.525491    45.764130   101.593018    25.154308     3.441243     3.530127  2395.657321   297.761760    40.364233   248.485499   231.976510    99.614708    13.909535    27.835684     4.210864     1.714720   102.404507     2.250852   126.499910   204.224597     1.493501    85.320110     0.418998     0.627394     0.393493 20095.151707
 1288.727577  1060.705420    41.582737  1025.778755   321.873138    57.179165    97.123797  1079.456732     0.000000     0.000000   893.246064    76.369662   352.642504  1477.870267    11.637574   158.187153   633.804882   301.335941  1143.059917    66.397721   203.453479   394.078798     4.262204     0.000000    30.309668     6.236276     0.000000     0.801725     0.762657   118.786598   869.604826    79.430106     4.858809     7.155397    24.931840    17.616628    17.233813    57.431770    29.676677   136.390316   183.383779     0.000000     0.000000     0.000000     0.649327   213.816459   395.114607   307.338940    57.506278   624.447623  2193.558396   586.774457    41.023575   336.725778   974.120861  1461.407005  2118.714287  1021.294599     6.468113    70.651722   951.582110   254.633469     0.000000     0.000000    99.016313     0.681157   387.013553   915.253639     1.734562  1027.304115    15.057663     0.705415    15.092910  8169.263529   387.172474   900.970719    17.073851     1.116542     5.891356     0.074478     0.168481     0.698861     0.000000     0.536408     0.081834     0.846067  2065.059300   101.993710     0.000000    66.705000   728.009208     0.000000    67.877704   228.788770     0.000000     6.472472     5.784567    56.763188    91.167997     0.000000   598.658814  1099.170653    30.206017   757.372847     2.250118    12.382737     0.000000  1933.675542   542.290060     0.000000    53.835612    15.808113    32.190755     3.912628     0.833755   110.775187   180.235485   665.859352   109.576937     3.305103  1479.493158   217.139553     8.666665     9.840060  1488.846435    35.969787     0.000000   294.343774    31.100053   568.785324     0.003840     0.000000     0.000641     3.286158     3.285011   407.321554   379.784670   360.310427   539.902478     1.711462     2.084836    46.018951    38.021305   700.617533  2945.708910  1020.042219    30.646252     0.234712    24.021354    94.816485     0.000000    56.939839    18.938649     0.000000   130.194404     0.000000   152.300020   496.496812   712.467958   624.809554 15970.968882    10.737636    79.478556     0.270480   295.431039     0.004972     0.000000    31.424226     0.369786     0.000000     1.609974   357.805431   624.185607    34.721460   274.892984    67.283898   123.777268   117.546621     0.188223   375.055342    81.479782   722.230444  2984.556656    82.935399     0.421831     1.845557     9.936382     0.065145     0.187887   390.392597     0.540519    56.346270    26.535487    23.524542    20.404544    24.576690    71.398267   107.033939    27.186272     0.000000     0.000000  2152.946307   307.900557    45.704579   283.941157   280.572836   125.868432    11.811936    23.574887     4.176989     2.587095   148.791923     3.183518   191.839134   229.553199     3.932466    85.318258     0.000000     0.189777    13.064050 20023.435523
 1857.377300  1136.211902    36.389170  1025.941895   323.054493    50.783958   133.636549  1079.521287    15.594116     2.722947   922.844823    89.980526   341.656080   642.678596     1.971416   152.459762   791.819093   280.340160  1304.691804    22.619619   260.300133   149.884421     3.938386    15.127244    61.469059    84.641709     2.339683     0.676789     0.222973    98.258065   769.242126    56.514237     4.045174    22.791134    17.637366    12.153659    14.254561    48.223433    19.120262   134.459192   230.845733     0.000000     0.000000     0.000000     0.000000   113.589517   385.575291   297.123432    25.023689   502.796550  2193.558387   584.822764    24.852577   319.782927  1033.933196  1311.017324  1969.929961  1133.462539     4.370283    63.661729   913.938529   254.633789     4.724469     1.490643    88.960280     0.000000   408.992580   386.464580     1.213101   433.898192    10.352374     0.444061    12.628092  8147.401046   435.292388   936.836058     2.069940     0.327337     1.686124     0.074479     0.000000     0.000000     0.000000     0.000000     0.010597     0.846068  2065.836963   122.183558     6.325086   106.697473  1207.727444     0.000000    74.789242   271.933521     0.000000     4.264289    69.708802    44.071194    65.169531     0.000000   563.193842  1171.322725    21.491470   842.800327     1.348155     7.228948    23.549057  1929.301500   642.612213    17.789212     5.818853    10.568608    22.047380     2.130280     0.276642   149.443354   219.734130   635.226351    77.963426     1.477368  1479.493465   217.139602     5.835611     7.078163  1488.883601    25.495910     0.000000   266.491516    31.100021   567.975020     0.001921     0.000000     0.000384     2.320220     4.606495   428.139772   395.269489   410.247923   611.265360    11.871441     0.000000    35.099395    26.697767   697.388576  2936.946305  1017.020111    21.720253     0.160431    16.528477    94.816435     0.000000    44.363698     0.518887     0.000000   135.612040     0.000000   160.764128   353.993043   712.272911   624.630716 15949.549104    10.737098    74.187122     0.269733   268.496445     0.000000     1.526026    82.944431     6.887800     3.430457     0.475085   357.805479   624.185408    34.684033   282.801750   127.659620   216.605136   142.030832     2.876291    91.332395   102.243451   838.231670  3488.641544    58.609429     0.042126     1.300014     7.012271     0.065151     0.187888   363.164847     0.270138    38.674143    43.263493    16.781025    10.682086    17.975153    51.815045   139.597132    27.186483    10.027724    14.218531  2571.732538   307.900771    45.707884   248.479863   321.846510   141.966762    53.839313    98.184233     5.853724     0.000000   156.384892     3.183495   137.316850   229.553437     8.158271    78.061388     1.829215     0.594156    11.100941 18496.814320
 1883.274152  1136.987990    36.389004  1025.901920   313.297270    50.236668   131.408439  1079.514527    15.587677     2.715008   922.653191    89.965991   263.647035   666.094978     1.965423   152.454139   778.181021   280.332475  1251.550302    42.518094   205.671990   149.883604     2.825641    15.053590    61.363380    84.603864     2.329597     0.199828     0.222972    98.258041   769.241149    67.297868     4.045110    22.790703    17.637363    14.674967    14.254548    48.222897    21.025811   116.268451   206.894232     0.000000     0.000000     0.000000     0.000000   112.960165   385.575008   297.121494    25.938273   502.796237  2123.846598   528.705811    24.800225   319.576577  1034.717483  1358.757264  1969.929223  1300.871856     4.855531    63.659515   913.937732   254.632715     4.717496     1.483453    87.263500     0.000000   408.990127   386.464209     1.212485   433.896727    11.439787     0.490212    13.167533  8172.486109   459.042409   900.970555     2.069936     0.040423     0.414940     0.000000     0.000000     0.000000     0.000000     0.000000     0.010595     0.000000  2068.618296   124.030992     6.305162   106.324992  1279.593954     0.000000    74.931131   272.273117     0.000000     4.703336    69.737604    46.072988    70.512266     0.000000   570.732487  1171.321948    21.491442   843.306643     1.347236     8.517283     7.410129  1933.590801   643.260220    17.712496     4.530258    10.955646    24.110937     2.129977     0.387354   139.305148   224.096098   649.732785    77.963342     1.477367  1479.490097   217.139450     6.142625     7.069472  1488.874842    27.028848     0.000000   266.471228    31.099988   573.971638     0.000639     0.000000     0.000192     2.444368     4.584649   428.062677   391.176689   409.232282   611.879819    11.859188     0.000000    36.804982    27.568411   698.288426  2943.497110  1019.481182    22.889099     0.177005    18.267077    94.815237     0.000000    44.363575     8.663666     0.000000   135.696783     0.000000   160.906456   371.955346   712.196227   624.549283 15957.670563    10.734705    74.186787     0.268861   264.716482     0.004855     1.522378    82.934719     6.886475     3.428215     0.060231   357.804740   624.184056    34.685968   289.533100   127.752391   200.532031   142.057501     2.876709   142.632676   102.122547   835.009290  3486.336812    61.101746     0.126364     1.354330     7.308535     0.000000     0.000000   363.154234     0.539793    40.853236    28.186250    17.684938    10.681794    18.849042    54.700828   130.961482    27.185365     9.971028    14.161324  2428.490013   307.899940    45.696610   248.477624   321.846330   150.750586    45.789825    74.703621     5.835878     0.000000   152.451661     3.183493   148.627841   229.551784     8.147571    77.410050     1.823474     0.593612     9.576881 18493.852668
 2119.727951  1220.822913    36.389255  1025.940160   309.723217    50.237202   123.967854  1079.522181    15.603415     2.734380   956.752002    91.474218   183.350660   716.447619     2.370862   158.180760   798.384036   301.328658  1525.179014    42.518429   280.112851   149.884240     3.502280    15.218868   138.128989    85.314718     2.349260     0.676792     0.222974   118.786573   869.603965    67.298100     4.045228    22.792077    20.763575    17.616601    17.233806    48.223465    25.227737   128.265183   210.671197     0.000000     0.000000     0.000000     0.000000   176.965279   395.114314   297.123257    26.899522   540.335917  2193.558701   586.774476    24.800318   303.747465  1102.977455  1408.888589  2095.467576  1300.873717     5.905986    63.662656   987.413837   254.634074     4.732757     1.498839    77.192720     0.000000   408.992543   857.576123     1.595171   962.557397    13.807542     0.595579    14.454959  8193.843303   467.454643   900.970740     2.069941     0.327338     3.409401     0.074479     0.000000     0.000000     0.000000     0.000000     0.010598     0.846069  2078.309259   154.423707    12.212232   144.893658  1384.910979     0.000000    72.716016   284.032921     0.000000     5.227618    47.236794    50.216883    82.037399     0.000000   622.536368  1163.192508    25.592456   850.400312     1.934566    10.235419     7.413461  1940.858252   649.018185    17.900159     4.530490    14.865383    28.622281     2.979748     0.519886    90.035441   184.954225   649.735076    92.840513     2.740435  1479.494567   285.728384     7.578022     8.913102  1488.882456    32.362200     0.000000   193.989447    31.100043   574.857605     0.001922     0.000000     0.000385     3.003336     4.612001   450.331255   352.423555   438.438427   589.823486    11.893550     0.000000    42.207577    33.798776   702.495873  2955.051931  1022.653291    27.969269     0.215331    22.022488    94.816873     0.000000    33.714926     8.664423     0.000000   142.000465     0.000000   161.193217   455.273459   712.421075   624.736897 15979.284964    10.738104    74.187280     0.225220   237.947678     0.004906     1.529142   250.051544    20.338079     3.432089     0.475088   357.805726   624.185948    38.007546   344.633196    95.485126   202.373555   142.680363     0.000000   142.632954   108.031662   912.208884  3653.592130    74.358245     0.253209     1.652553     8.907956     0.065155     0.187888   390.382494     0.540110    50.089227    43.033386    21.423017    15.161163    22.595684    66.433411   123.730904    27.186816    10.079747    15.051400  2287.554067   307.901001    45.710890   248.480629   324.038396   150.751972    64.787288   101.482317     5.858271     1.621663   129.528217     2.650561   172.650289   229.553952    18.938640    56.932670     1.838560     0.594694    12.507785 20410.531052
 2299.351004  1229.575590    36.389927  1026.032569   401.499651    68.416694   132.316073  1079.503835   109.155356     3.633287   823.336381    81.526494   101.061186   620.439407     1.622399   147.013672   975.554635   270.618970  1462.654607     9.440475   286.933655    95.979053     2.474856    15.747698   116.463562   101.639846     2.075367     0.199852     0.222977    98.258165   591.679907    47.078727     3.348170    65.234108    11.284585    10.052626    10.083703    40.167704    15.807294   113.409826   214.413116     0.000000     0.000000     0.000000     0.000000   123.958817   376.990351   287.513983    23.332592   468.923730  1976.482260   528.706374    30.336277   375.769427  1109.085632  1265.666171  1834.988490   630.561699     3.481403    63.670871   913.941347   254.637465     7.734477     3.172632   107.528056     5.251612   387.016584   359.987656     0.990908   404.144436     8.391262     0.368279    12.276617  8278.053307   504.254403   896.991076     2.069956     0.040429     0.414958     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000  2095.511169   182.770773     6.026560   118.525270  1126.308387     0.000000    77.311792   312.685885     0.000000     3.790420   139.476383    38.338766    57.861598     0.000000   656.990742  1099.172546    14.827630  1077.892975     0.923190     4.622661   393.594534  1967.243158   783.807438    18.686714    13.470324    13.524648    19.312915     1.532332     0.113445     0.006827     0.014741   622.331684    53.789353     0.000000  1479.505944   217.140118     5.156964     6.162019  1488.854719    23.247627     0.000000   231.919587    29.066067   583.849825     0.000643     0.000000     0.000193     2.022651     6.296491   392.390576   421.675749   461.533218   669.908619    51.555637     0.270244    30.265652    24.123363   716.332499  2997.236491  1035.135331    18.564210     0.133599    13.342591    87.751469     0.000000    33.715363    14.966442     0.000000   150.600338     0.000000   160.619174   314.167179   713.017227   625.233727 11977.305078    10.746999    74.188588     0.228420   203.720405     0.000000     1.040942   213.277247    21.109247     1.724845     0.060250   357.808243   624.190866    42.142635   434.953944   220.235234   310.337817   182.001562    31.621116    79.030387   109.773180   951.320538  3828.568727    51.457183     0.000000     1.152298     6.190490     0.000000     0.000000   350.562983     0.090124    33.549617    44.185852    15.071838     7.013130    14.748922    45.854053   149.586100    27.190475    10.350735    10.713347  2571.749264   307.903660    45.746550   248.488315   321.847132   150.755436   122.129301   143.743072     7.932600     8.955328    80.025142     2.250865   121.260964   219.002531    15.976519    68.767077     6.826626     0.604281    10.416771 22817.421770
 1638.883882   990.705949    36.390893  1097.106617   400.656128    68.019382   116.084348  1145.960249    78.850114     3.949165   825.573180    81.011421    96.604263   656.092206     5.358359   159.219504   679.127165   278.212586  1165.098816     9.844711   214.286470    36.132166    11.335257    18.432236   118.110275   102.336551     2.143214     0.445659     0.222983   161.755507   647.414564    73.435713     5.190043   255.063861     0.000000    18.290148    18.093141    56.117749    77.932749   130.331870   226.670024     0.000000     0.000000     0.000000     0.000000    20.947430   439.263866   317.887529    25.587003   513.168122  1976.486924   528.707005    30.300978   375.631564   979.816380  1337.959754  1998.436232   675.196991    24.054426    63.683806   913.946050   203.547069     7.984603     3.664251   106.353145     3.968141   351.610111   392.090627     5.384808   440.494368    49.782774     1.503226    19.019519  7954.171395   425.768237   701.303458     2.069983     0.327373     0.414981     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000  1972.775445    77.044680     2.074774   124.417296  1162.341243     0.000000    75.023003   301.747853     0.000000    43.695837   185.414570    77.502103    97.405249     0.000000   440.640634   767.442828    24.858652  1208.070493     9.806844     0.000000   408.465720  1851.994378   882.268839    21.790851     8.301033    16.115429    35.226415     9.959917     8.971598     0.361437     0.951781   300.361625    90.194899     3.174794  1326.891498   217.141019     8.184969    10.198623  1591.140104    27.167425     0.000000   231.905549    31.100386   519.313351     0.001945     0.000000     0.000194     3.380230     4.861036   393.277768   321.653126   455.884546   643.896118    52.205064     0.820854    64.661608    27.977185   695.688571  2879.354187   986.917761    39.794703     0.455765    82.886501    87.757611     0.000000    44.365052     4.889405     0.000000   136.905113     0.000000    98.083902   349.576244   762.761946   668.824183  4960.477039    10.760971    74.190536     0.232620   143.169972     0.000000     1.064800   213.474254     7.204974     1.739025     0.475202   357.812584   624.198777    49.700653   409.894505   280.435424   380.345231   173.707611    42.574512    34.075790   105.940031   899.318985  3628.655718    94.874117     0.000000     1.844765    10.582579     0.000000     0.000000   360.562376     1.212481    67.415911    30.317878    16.440081   163.045471    30.719428    49.738115   100.378048    25.161202    10.730409    11.107829  2471.928525   307.908575    40.430048   248.501454   280.574126   140.887805    76.140817   147.590793     6.062843    20.099856    14.170191    15.209017   214.226698   204.235052    16.164648    68.321952     5.660789     5.163499    11.100990 24249.459519
 1662.927838   998.910151    64.387173  1096.984559   627.694669   107.816960   196.066445  1145.938808    66.404856     6.276373   531.700436    56.748145    85.474236   603.400786     5.052106   149.603623   701.450921   244.930151  1173.176900     1.977384   302.660667    11.275317    10.840705    16.636226    64.955981   154.719840     2.119756     1.831499     2.042166   124.198608   623.583589    65.347941     4.725195   407.470059     9.975117    12.767077     0.000000    50.363087    73.526477   121.849582   107.613249     0.721179     0.214391     0.584700     0.000000    59.992626    88.352093   301.666771    23.528448   471.967122  3170.835287   869.535455    45.894459   581.565363   986.003276  1230.540308  1832.352475   632.963576    22.980090    96.313639  1747.296384   459.890929     5.680119     0.925052   184.220311     2.432412   331.759812   359.502126     5.107316   403.860809    47.321697     1.396338    18.234121  8037.814684   391.116067   563.086757    91.423146     1.994331    20.743572     3.260533     0.345401     1.211983     0.629228     0.940809     0.437373     8.534534  1989.363438    87.246086     0.000000    66.949808   711.698331     1.404354    41.829390   199.385286     0.233124     2.111349   298.848207    72.029181    87.985409     0.329572   481.083001   568.089395    20.245024  1487.830303     9.474686     5.114108   449.370121  1872.327136   966.108615    20.299816    31.694417    15.539716    31.651486     9.454297     0.000000     0.000000     0.000000   201.043858    73.458125    78.869549  2290.363029   487.665845     7.410138     9.180642  1510.477108    23.826055     0.378604   307.646014    54.175440   530.074021     0.013640     0.000000     0.001809     2.964077     2.279641   248.245487   436.690300   393.648981   655.156074    83.773405     2.977408    60.024080    24.909642   705.425147  2914.214585   997.237322    35.900792     0.417131    78.966739   167.754075     0.648239    75.724323     6.724987     0.320919   139.118521     0.330985    98.745578   307.024110   746.320574   669.176855   267.826478    19.485424   137.961181     0.446869    90.224708     2.708664     2.354962   118.388197    74.097843     7.220089     2.901790   585.141098   975.974573    56.471153   467.818263   415.370525   529.876012   204.921327    78.098830    10.427337    84.938172   880.388751  3797.665095    86.043215    13.410628     1.649990     9.529270     2.671527     8.290583   317.401999     0.000000    61.122117    45.162546    14.602141   159.536838    27.757563    43.320361   154.323051    48.084658     4.492905     4.534509  2471.940654   572.612282    85.330806   464.336078   570.480537   262.591366    67.941484    80.250420    23.757252    32.033004    13.942892    41.489169   194.287315   355.365519     8.891877    91.712681     3.185923     8.506060    50.641247 25819.637650
 1801.780604  1092.767856    79.564116  1095.985535   705.976462   123.791547   228.389268  1145.768638    84.602569     5.688943   424.395715    36.254136    96.506440   549.162757     1.848077   140.396715   733.869894   234.725461  1238.997650     0.000000   312.387285     3.551184     2.698959    12.656784    53.810356   119.456297     2.771411     2.881839     2.214232   124.099382   129.766428    65.185178     4.541620   393.890987    10.008183     3.594194     0.000000    49.830085    59.532776    64.357531    57.020329     1.805254     0.536572     2.047705     0.672693     2.193623    33.263215   294.168870    21.356254   429.719370  3571.627013   998.063845    50.159357   659.045572   994.218783  1120.504591  1659.255997   632.807819    21.681410   111.127292  2254.676408   531.669173    15.987543     1.437003   215.481781     4.102669   312.507053   312.593369     4.563731   350.769590    43.054188     0.898475     8.494913  8132.367430   522.819510   701.032133     9.979138     3.262113    30.089192     0.383035     0.969238     2.545608     2.202609     1.976379     0.076500     4.092684  2012.032808    83.230787     0.700981    44.226862   528.768817     3.511001    18.825507   148.441484     0.583368    60.726840   449.536134    59.290501    62.112351     0.824347   410.649022   571.107277    15.487509  1671.715574     4.195104   180.700726   475.699976  1899.879649  1065.282616    15.614086    39.066952     8.110154    21.803504     0.816192    19.036153     1.568172     3.107433   199.958261    56.182697   117.980651  2882.474915   691.314621     3.292543     3.444056  1510.235723    12.294980     0.946658   335.143954    62.254525   533.779013     0.029386     0.000000     0.003564     1.545940     0.000000   185.498145   605.017457   345.534107   669.450227    93.820661    44.111776    49.974360    10.990579   719.997669  2961.045147  1011.253461    26.966187     0.217966    73.933501   207.297075     2.271126   107.359261     8.248200     1.138285   140.668382     0.829960    99.791757   185.902444   432.138811   669.298185   267.848180    24.209371   172.265058     0.586305   104.576526     7.557437     2.468804    83.034245    82.642987     6.854484     4.773614   750.702125  1189.262608    57.228763   505.161517   587.878445   714.876897   225.509016   130.007550     3.378436    69.708813   794.190788  3780.878247    67.430052    56.983010     1.117730     6.923119     0.486937     0.912311   294.599345     0.000000    46.897159    67.625123     8.365656     0.000000    20.981952    25.142040   210.303311    62.072586     8.766353     8.975000  2897.167064   746.337155   113.167372   569.440493   697.682250   334.075151    55.969038    69.675721     0.000000    28.591119    15.731224    35.701474   144.510717   447.255174     6.145948   100.115400     2.737478     8.035168    46.371842 27001.569074
