Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 -68767.137437   -6912.916576       0.103662    7068.906231       1.498801       0.416877       1.682697    1205.929214   -2334.813601   -2776.866868   -3695.023354    -180.549815     660.560159    2440.676501   21500.485909    4124.981348  -28439.165161    3174.017871  -31756.120740    2684.409220  -20410.357529    4116.836556   47493.722501  -23364.642534  -10943.163297   -5859.270444   -5367.020059      -0.000000      -0.000000     663.036713    1638.075308    1083.216883    1230.728266    -135.262840       0.000000     486.974245     615.256418    3565.866779      24.161703 -295564.205022  -28231.950378   -8198.113302      -0.000000      -0.000000    -615.659749       0.356255     590.204337    1906.612690     441.158386     849.381650       0.263235       0.048416       0.088981       0.327669   -3093.043247    1496.674801     602.281401    1041.554023       0.839512       0.795751       0.336151       0.580380   -2193.387501   -4242.222245       1.661070       0.559981     729.188691     404.955833       0.615010    2767.704070       6.160586       1.329693  -39847.009118  -27830.556716     128.741252     357.981178       0.021130      -0.000000      -0.000000      -0.000000      -0.000000      -0.000000      -0.000000      -0.000000      -0.000000      -0.000000   -6773.003953      -0.117205  -16863.694030  -38564.368065 -167449.046864    -528.103613   -2922.828142  -14946.128005      -0.000000  -10009.798780  -12395.848195       0.792359      20.171763      -0.000000    -203.913062     560.748303     459.218210  -11782.751500       8.205506       0.000000    -741.527673   -5871.319526   -4538.996783  -27338.862429       0.372853  -33442.271114      13.298630   -1821.805366       1.575748       0.135150       0.258242    7276.198272    1771.844677      -0.786144       1.145913       0.131640      12.164183      16.871634    1686.801668      24.049465      -0.000000       0.039086       0.032186    -804.452746      -0.000000       0.000000      -0.000000       4.132385   -1667.032545   -2263.587694       0.283987  -10414.417076   -2450.269544   -2800.520243    -927.036524       5.198782      36.152296   -2803.159905  -10810.389193   -3504.587474      11.967881       0.610195       3.816110       0.563310      -0.000000       0.171083       1.275653      -0.000000    -311.054113      -0.000000      -0.439805       2.746692      -4.117244      -3.699779      -0.739334       1.333199       0.218648       0.800463     542.781009    6173.962609   -1929.014791   -1560.003166    -370.805888   -1193.462029      -0.000000       0.296606       0.075946    -742.643463   -2278.466138  -11541.288862  -10372.813895   -1660.964303   -6100.793515    1928.682570   -3583.563119  -13570.628195  -25829.471289       1.374065   -9358.427354       1.011509       3.136609      -0.000000      -0.000000    5550.135145    7426.804522       2.057338   -6460.940160       2.745753       4.442852       5.499979       0.212919       0.419658       0.443460  -30497.321958  -31620.865033    2203.100141       0.355245       5.047699       1.065055       0.069601       0.437931  -11070.657928  -27811.179253   -1406.986771      -0.034740     437.890847      -0.056720       5.603028       0.560508   -1347.381009       1.238072   -2395.919631     -94.926514      -0.000000  -40590.832335
 -68755.471048   -6912.717678       0.106328    6754.428005       1.470398       0.482221       1.948490    1152.818105   -2332.483936   -2774.009428   -3693.173455    -180.457452     626.022791    2338.635443   20386.948435    3944.769728  -28434.283673    3014.336154  -31750.199930    2553.183584  -20407.251456    3923.545459   47538.153374  -23340.361802  -10933.686250   -4018.632821   -5361.392804       0.041756       0.007072     629.105847    1557.901666    1030.488459    1166.143000      -0.033683     858.718695     464.382365     587.111013    3383.140183      27.793594 -295243.293709  -28208.252204   -5403.956722      -0.000000      -0.000000       0.000000       0.432427     562.345620    1820.868191     422.673431     815.273647       0.261450       0.048145       0.092937       0.325036   -3092.427545    1428.196953     575.894340     996.497819       0.984739       0.790254       0.333604       0.575706   -2191.136320   -4237.699718       1.845588       0.814142     696.838156     387.828517       0.671758    2656.408117       6.810780       1.542909  -39795.939116  -27813.882103     122.324567     340.048358       0.020984       0.026613       0.061198       0.000000      -0.000000      -0.000000      -0.000000      -0.000000       0.000000       0.000000   -6771.576362      -0.115895      -0.000000  -26474.512770 -167288.064131      -0.000000   -2920.335959  -14934.258391      -0.000000   -9996.861843  -12392.983949       0.804435      20.438672      -0.000000    -203.912141     536.869202     439.051823  -11777.533550      11.922162    4553.412328      -0.169232   -5868.343135   -4537.467653  -27311.232261       0.479195  -33407.293535      13.613929   -1814.193921       3.086979       0.265024       0.506145    6903.547723    1696.234871    8403.648035       1.113195       0.130586      12.558913      17.586426    1610.851265      24.026220      -0.000000       0.038799       0.031981    -803.981345       0.014452       0.000000       0.001444       4.286577   -1665.091937   -2261.906024       0.330563  -10405.980602   -2448.963215   -2797.537194      -0.000000       5.212932      36.377550   -2801.951820  -10804.794601   -3501.934382      12.408040       0.707379       4.216042       0.559396      -0.000000       0.186041       1.249966      -0.000000    -310.828596      -0.000000      -0.435777       2.645088      -4.073382      -3.655465      -0.728919       1.323903       0.217109       0.794640     517.457429    5871.319676   -1927.073819   -1559.104027    -369.785783   -1192.312944       0.094092       0.294510       0.082655    -742.249748   -2276.544531  -11537.031262  -10370.051128   -1660.298642      -1.245115    1840.449368   -3580.497665  -13559.474368  -25813.137452       1.377944       0.000000       1.015435       3.157487       0.000000       0.000000    5280.372652    7078.681303       2.105000   -6460.044705       2.674048       5.795308       5.663096       0.159392       0.587034       0.440295  -30466.289030  -31588.270928    2109.289569       0.352371       5.003372       1.057997       0.069152       0.434554   -9147.507308  -22223.157613   -1405.400171     307.897400     417.426589     523.696572       5.664222       0.556817    -924.250622       1.226945   -2393.671430      -0.023244       0.023611  -40895.771505
-222645.313551  -22227.163486       0.105539     316.200504       1.606537       0.553254       2.240690      53.268995   -2330.385083   -2771.435798   -3691.691132    -180.395330       0.362475     100.650360      11.695705     178.940169  -28442.605571     159.599650  -31759.896574     129.364757  -20412.903649     190.288438   -5998.275226  -23319.107078  -10925.030317   -4014.905954   -5356.625792       0.155484       0.020211       0.184755       1.063830       0.499769       0.484706    -298.708223       0.172412       0.168521       0.151715       1.555235      33.649441 -294862.665831  -28194.694981      -0.000000       0.000000       0.000000       0.041803       0.791261      27.546174      85.020886      18.180008      33.157053       0.262252       0.048438       0.092493       0.323833   -9902.273390      68.172622      26.197475      44.644727       1.196512       0.782761       0.341647       0.613083   -2189.185987   -4233.814131       1.635708       0.549217      32.360387      16.975638       0.843039     109.038433       8.508301       1.905831  -27699.845158  -87258.295088       0.085169       0.302535       0.040496       0.076068       0.174743       0.023287       0.146557       0.029712       0.000000       0.050306       0.046893       0.021788  -21642.678522   -2003.346028  -16108.695230  -38499.615066 -167143.922271       0.000000   -2918.906651  -14927.439728       0.000000   -9977.460454  -26910.690914       0.858670      21.851516       0.000000    -654.277457      23.655662       0.188863  -37497.913318      16.205081       1.043326   -1622.942511  -18662.843366  -14441.697271  -27286.312023       0.589044  -33365.160253      15.034863      29.305925       6.543033      -2.545410      -4.833366     368.681324       0.703772       1.430271       1.125250       0.128618      14.173412      20.228848      76.297372      23.487386      -0.000000       0.038566       0.031786   -2571.337809       0.041278       0.000000       0.005381       4.902034   -1663.982806   -2260.531432       0.344516  -10401.702047   -7800.115920   -2794.594927       0.062519       5.655094      37.179168   -8918.306952  -34365.101398  -11141.868729      14.173001       0.847830       5.275007       0.553527       0.000000       0.184776       2.017482       0.000000    -992.861874       0.000000   -3865.086923      -0.377709      -4.020173      -3.619889      -0.724188       1.311308       0.224741       0.788900       0.485941     296.888235   -1925.467591   -1558.318420  -16388.173109   -1191.421183       0.268995       0.291165       0.074764   -2368.599459   -7247.032817  -36649.338511  -32991.745621   -5273.799881       0.584568      87.071139   -3578.730615  -13553.886316  -25804.949242       1.498378       1.639316       1.106397       3.427441       0.161446       0.007996     269.229695     343.056347       2.334793   -6460.886896       0.754501       9.394276       6.322412      -2.022814       0.692599       0.451352  -24987.298560  -31560.347686      93.105743       0.347216       5.263853       1.080684       0.077449       0.495311   -7585.457022  -19059.633565   -1404.491754       0.032699       0.233291       0.104729       6.088699       0.562921   -1345.520252       1.221282   -2391.600049    -209.301230       0.087950  -41108.719899
 -68776.316304   -6913.751937       0.102073     313.321272       1.586578       0.475221       2.493727      52.866525    -194.418413    -233.304620   -1365.136598     -66.780142      34.202736      99.809796    1091.586084     177.303769  -28446.510868     156.894650  -31764.369080     127.036014  -20412.806765     187.744054    1510.999634   -1977.218240   -4071.457830   -2174.883621    -458.167303       0.119432       0.013793      33.223215      78.406179      51.475801      63.448650      -0.033350      38.438822      21.971320      27.288177     178.951216      27.799179 -110817.784775  -10687.125156    -396.991351      -0.000000      -0.000000     -25.236712       0.501667      27.140073      84.079748      18.040932      32.947879       0.262240       0.048398       0.082856       0.302509   -3092.884324      67.377217      25.941056      44.315913       1.003592       0.771578       0.329519       0.614129    -184.463435    -360.145072       1.411104       0.000000      32.075254      16.814215       0.721047     108.264581       7.193292       1.558882  -10060.539898  -27807.494817       6.356508      17.921718       0.020743       0.051912       0.119268       0.023303       0.000000      -0.000000      -0.000000       0.000000       0.023995       0.021805   -6772.575388      -0.115180   -1420.133458  -14357.857738  -62411.296862     -24.294373   -1107.011072   -5650.145803     -96.866600   -3649.825502  -12391.442434       0.799313      20.354785     -72.552976    -203.911375      23.522967      19.495738  -11775.363701      12.627232     187.222973      -0.165914   -5866.441511   -4536.463862   -2299.601101       0.471130   -8703.672621      13.622266      21.960617       3.719434      -2.529846      -4.794720     363.897657      72.636463     317.611421       1.125702       0.128855      12.520551      18.063374      75.528091      23.509743     -28.540121       0.036715       0.031703    -803.945075       0.028173       0.000000       0.004133       4.393826    -163.595850    -840.372428       0.340280   -3941.092946   -2448.776062    -235.261569     -37.743925       5.196600      35.908985   -2801.166623  -10801.358048   -3501.608918      12.694948       0.717928       4.461805       0.553429      -0.000000       0.168168       1.229511      -0.000000    -310.812583    -416.312366      -0.432229       2.000521      -3.984605      -3.587277      -0.717503       1.310162       0.214894       0.786721      25.065234     291.613427    -163.549366    -577.787611    -370.784550     -99.965247       0.183569       0.291249       0.074723    -742.056100   -2275.879610  -11535.454631  -10367.226350   -1660.026344      -0.595743      85.829888   -1357.843640   -5139.937911   -9745.070264       1.383142       0.415074       1.022227       3.172544       0.161586       0.008003     265.408918     337.840602       2.116132   -6461.706685       2.212949       6.856740       5.777710      -0.330500       0.824073       0.451762   -2600.940076   -5023.859317      92.660745       0.347721       5.273493       1.047078       0.085148       0.525695   -4107.794300  -10328.877559    -137.001910      14.387639      20.193012      23.431272       5.666612       0.563272    -500.380292       1.159557    -196.015647      -0.023009       0.067553  -40338.319578
-68776.338668  -6913.771882      0.101751    316.020415      1.575883      0.471885      2.472792     53.336889   -195.027116   -234.052963  -1365.683052    -66.805487     34.358368    100.820041   1099.425155    178.878534 -28445.882872    158.447425 -31758.838330    128.499890 -20412.561500    189.543135   2631.680543  -1983.214217  -4074.155162  -2176.020555   -459.420814      0.081392      0.013778     33.423900     79.055922     51.911744     63.784975     -0.033287     38.725867     22.163632     27.502208    180.156661     28.907329 -92789.625059 -10687.976063   -796.643602     -0.000000     -0.000000     -0.000000      0.499757     27.405129     84.842449     18.228680     33.318305      0.261152      0.047600      0.082658      0.301838  -3092.899706     68.020743     26.169467     44.713106      1.048501      0.768589      0.327819      0.610613   -185.005769   -361.218291      1.407203      0.000000     32.358982     16.962860      0.717586    109.368228      7.495273      1.623813 -10068.986698 -27818.706122      6.392431     17.979349      0.020640      0.026516      0.060899      0.000000      0.000000     -0.000000     -0.000000      0.000000      0.023951      0.000000  -6772.624372     -0.232241  -1424.864747 -14367.675030 -62457.524582    -48.721514  -1107.160115  -5650.845156   -194.377213  -3650.908775 -12391.444997      0.805867     20.658605     -0.000000   -203.911350     23.733014     19.672582 -11775.378860     12.616536    189.488029     -0.082277  -5867.746002  -4536.477463  -2306.863577      0.356561  -8711.393088     13.934168     21.957405      4.430808     -2.530593     -4.793755    367.275645     73.379782    322.240565      1.120739      0.128114     12.710027     18.037549     76.188982     23.519157    -57.249843      0.036610      0.031615   -804.090667      0.014387      0.000000      0.002817      4.464644   -163.714571   -840.850143      0.338577  -3941.573787  -2448.786759   -236.129911    -75.846639      5.253779     36.005712  -2801.188755 -10803.837618  -3502.445495     12.895575      0.747600      4.650204      0.551108     -0.000000      0.167647      1.222227     -0.000000   -310.814100   -835.507251     -0.432968      1.722590     -3.970622     -3.572428     -0.713737      1.305057      0.214105      0.784177     25.201890    295.021448   -163.957129   -578.040789   -370.784262   -100.178647      0.093773      0.289945      0.074446   -742.056244  -2275.879006 -11535.460611 -10367.235678  -1660.027381     -0.595834     86.707305  -1358.022587  -5140.554033  -9745.953395      1.393924      0.823509      1.030660      3.200528      0.000000      0.000000    267.857784    341.372381      2.164199  -6460.831428      2.025422      6.853341      5.851033     -0.564617      0.818173      0.449595  -2607.748895  -5031.306048     93.467534      0.345762      5.240610      1.042738      0.084763      0.522844  -4109.838498 -10333.833147   -137.099985     14.461164     20.324093     23.606664      5.747558      0.560835   -500.661643      1.156451   -196.627448     -0.022929      0.067496 -40384.994573
-68787.443443  -6914.945203      0.102237    322.876679      1.589958      0.476615      2.493625     54.589253   -199.190041   -239.206586  -1369.230603    -66.975672     34.857278    103.394481   1118.538074    182.984878 -28446.259335    161.895603 -31768.840048    131.141671 -20415.521086    193.439048   2671.632856  -2026.953906  -4091.727862  -2183.590757   -469.640578      0.119461      0.013797     34.004144     80.625691     52.861368     64.766209     -0.033488     39.577514     22.629148     28.115954    183.190835     31.627067 -93225.639282 -10713.930559   -806.455009   -113.890100   -154.957288      0.000000      0.650682     27.992146     86.642568     18.698576     34.367999      0.262629      0.048463      0.083026      0.282999  -3093.441808     69.464079     26.772211     45.765804      1.153659      0.772830      0.342535      0.615062   -189.006131   -369.302364      1.199566     -0.000000     33.067391     17.385331      0.812002    112.558211      8.232770      1.781084 -10105.795064 -27821.222076      6.487918     18.224730      0.020770      0.051926      0.119312      0.023314      0.000000     -0.000000     -0.000000      0.000000      0.024006      0.021817  -6773.874188     -0.232998  -1455.691602 -14431.158249 -62757.125134    -49.216735  -1109.832997  -5663.934280   -196.751740  -3660.837629 -12390.190866      0.831172     21.469964    -74.326450   -203.911747     24.307205     20.168518 -11775.591233     15.135325    195.455007     -0.083003  -5868.009094  -4536.598318  -2356.992455      0.360328 -11949.248085     14.671792     25.924593      5.186019     -2.552776     -4.849911    373.914579     75.472159    335.846091      1.127326      0.143701     13.692464     19.663567     77.790065     23.735978    -57.879437      0.034988      0.031759   -804.106865      0.028182      0.000000      0.004134      4.792081   -165.796048   -843.991564      0.326555  -3950.950908  -2448.467604   -241.674091     -0.000000      5.498558     37.085524  -2801.292239 -10804.274948  -3502.573525     13.852726      0.818923      5.104228      0.554279     -0.000000      0.151323      1.234536     -0.000000   -310.872427   -846.110434     -0.434447      0.361420     -4.011623     -3.606640     -0.720305      1.312307      0.215267      0.737083     25.644291    300.929412   -167.432955   -579.679920   -371.805089   -102.132525      0.183615      0.291685      0.074834   -742.150467  -2276.198395 -11534.239448 -10367.329264  -1660.051602      0.000000     88.426815  -1361.413057  -5153.532807  -9767.181083      1.465260      1.242399      1.081966      3.360666      0.161683      0.008008    273.622725    347.713302      2.275256  -6461.686205      1.260775      8.216045      6.202148     -1.573457      0.781458      0.452406  -2664.302213  -5090.926184     95.460614      0.348264      5.282261      1.048561      0.088488      0.526468  -4123.539958 -10370.254991   -138.805304     -0.016972     20.673111     24.095043      5.966355      0.564031   -502.480003      1.105810   -200.607562     -0.023088      0.087995 -42724.516124
-85559.967786  -8457.988373      0.103540     10.571460      1.821925      0.580477      2.911146      1.834373   -204.313905   -245.543476  -1373.070503    -67.158490      0.407439      1.938426      9.739336      3.728877 -34928.128586      3.037255 -39083.948433      0.590632 -25051.838766      1.286264   -618.936623  -2081.064909  -4112.676700  -2192.871905   -482.476618      0.081738      0.013846      0.190021      0.939842      0.406197      0.430643    -28.963926      0.090626      0.126200      0.095670      1.409062     26.946086 -93804.972757 -10766.632979     -0.159269     -0.044590     -0.060668    -26.730427      0.451739      0.271873      1.408463      0.335113      0.616000      0.262838      0.048361      0.092189      0.318669  -3747.622544      1.303194      0.501895      1.003558      0.947294      0.783920      0.335531      0.626160   -193.976193   -379.471206      1.491955      0.292280      0.905609      0.325687      0.679503      2.108798      6.913165      1.490109 -10162.314945 -33457.560838      0.116826      0.327599      0.021093      0.026643      0.061290      0.000000     -0.000000     -0.000000     -0.018550     -0.000000      0.000000      0.000000  -8178.332461   -199.742315  -1492.766193 -14507.030331 -63115.040488     -0.009705  -1115.443703  -5690.716357     -0.038854  -3683.453418 -14645.494751      0.792099     20.443292     -0.029100   -247.562946      0.568651      0.133845 -14088.771356     10.848401      0.447106   -887.093885  -7065.153198  -5431.941932  -2418.568081      0.502416 -12221.323575     13.555056     19.281038      2.359315      0.202144      0.386821      3.255807      0.500875     -0.000000      1.144091      0.131370     12.494478     17.819246      2.353860     24.229221     -0.011420      0.038714      0.030340   -974.390769      0.014473      0.000000      0.002827      4.332458   -170.152639   -847.599962      0.364113  -3970.064841  -2938.956392  -1526.905270    -40.026364      5.114444     36.558109  -3366.587518 -13016.130429  -4223.502767     12.549310      0.682793      4.279845      0.541887     -0.134794      0.153453      1.719576     -0.730098   -375.413891     -0.167144   -372.588236      2.675959     -4.120334     -3.697238     -0.737463      1.331283      0.218349      0.747555      0.370955      0.347792   -171.832002   -581.634483  -2106.204999   -104.635210      0.094191      0.296127      0.075843   -890.625632  -2720.665689 -13697.557893 -12362.623658  -1973.508040  -7178.387619      0.587987  -1368.235998  -5178.388296  -9807.265604      1.375263     -0.000000      1.012190      3.143371      0.000000      0.000000      5.133296      0.796197      2.094179  -7864.282564      2.707815      5.877592      5.621329      0.161375      0.879608      0.459496  -2735.400494  -2837.603080      2.559777      0.354531      5.386267      1.063453      0.086475      0.535527  -4140.087040 -10414.377704   -142.367871    -29.481952      0.241656      0.082161      5.667038      0.572122   -504.650768      1.226270  -1302.457770    -20.021532      0.067744 -45471.861957
-85717.908148  -8467.664236      0.105411     10.322621      1.857166      0.592755      2.385845      1.770021   -208.033941   -250.116662  -1375.943365    -67.289369      0.305172      1.704474      8.747506      3.504039 -35141.536785      2.551219 -39325.493265      0.459952 -25209.593996      0.892941   -631.331498  -2120.813730  -4127.388051  -2199.439426     -0.444584      0.120500      0.013937      0.117087      0.959801      0.356690      0.294122   -164.582490     -0.000000      0.103247      0.065126      1.037243     26.740761 -94190.662326 -10809.094482     -0.164497     -0.045942     -0.062701     -0.015806      0.373155      0.250295      1.281692      0.308390      0.567515      0.269135      0.049212      0.093432      0.322602  -3751.400060      1.149452      0.466157      0.951102      0.928113      0.801383      0.345563      0.598455   -197.680187   -386.973873      1.514378      0.297379      0.859525      0.301990      0.670102      1.954669      6.832719      1.470214 -10198.705788 -33500.383502      0.094464      0.264374      0.021707      0.052436      0.061817      0.000000     -0.000000     -0.000000     -0.019052     -0.000000      0.000000      0.000000  -8185.863709   -201.268869     -0.903507 -14559.898497 -63364.603035     -0.009969  -1119.845255  -5711.652049     -0.040121  -3695.852247 -14691.889747      0.833732     21.250757     -0.030047   -248.020570      0.561379      0.114175 -14129.105048      9.938542     -0.000000   -889.583198  -7078.318908  -5446.420885  -2462.758466      0.390676 -12263.258848     14.067559     17.921506      1.633000      0.139482      0.268206      2.934773      0.427774   -350.070356      1.173267      0.135763     12.778101     18.129708      2.272900     25.242753     -0.011755      0.039340      0.032655   -976.123340      0.028529      0.000000      0.002840      4.403804     -0.266933   -850.168333      0.354091  -3984.957286  -2945.469080  -1531.647475     -0.072962      5.381067     37.876193  -3373.642285 -13035.612801  -4229.131948     12.775135      0.672529      4.224340      0.554989     -0.138512      0.173885      1.754186     -0.754518   -376.147410     -0.172808   -375.144962      3.014647     -4.085437     -3.664024     -0.731163      1.361090      0.222941      0.761303      0.300808     -0.000000     -0.158300   -583.004790  -2125.266220     -0.096354      0.185289      0.303787      0.077465   -893.135997  -2728.638194 -13737.846175 -12396.300030  -1979.690843  -7202.426333      0.407902  -1373.649418  -5197.585680  -9835.499077      1.424273   -397.851956      1.045842      3.247410      0.000000      0.000000      4.295787      0.411948      2.168810  -7906.714603      2.972992      5.378796      5.823795      0.274450      0.628971      0.455002     -2.519976     -2.614203      2.480618      0.366115      5.218768      1.088910      0.080822      0.521256  -4151.414407 -10444.937390     -0.223256    -29.777773      0.093533    -24.707289      5.883957      0.573661   -506.166160      1.244474   -209.071956   -115.239118      0.068077 -47668.458096
-86024.492659  -8489.407258      0.160245     10.367293      2.385189      0.826119      3.324740      1.777305  -1278.555290  -1522.229532  -1378.553291    -67.415027      0.273711      1.445562      7.743720      3.252943 -35348.624203      1.824664 -39554.481464      0.160376 -25362.372969      0.465080   -647.390012 -12818.023998  -4140.843402  -2205.435299   -253.210786      0.320796      0.054401      0.080224      0.983770      0.306035      0.226517   -165.174545    -41.597398      0.053408      0.000000      0.854763     23.070950 -94728.921961 -10839.172539      0.560443      0.156438      0.213647     -0.000000      0.509329      0.195862      1.141881      0.261598      0.481638      0.405359      0.074039      0.115062      0.405025  -3759.351909      0.978921      0.401584      0.891900      0.776236      1.192910      0.545984      1.064502   -201.093473   -393.841484      2.165761      0.956074      0.854473      0.259604      0.575571      1.679773      5.816719      1.249996 -10249.264294 -33587.731205      0.089805      0.233565      0.123788      0.179010      0.412887      0.134671      0.698676      0.143254      0.064831      0.241590      0.138607      0.126356  -8202.168176   -204.180280     -0.000000 -14607.925215 -63592.426904      0.033924  -1123.088538  -5726.745396      0.136686  -3714.907663 -14757.403010      0.810197     20.542293      0.102361   -248.838113      0.552439      0.070845 -14188.268754      7.375799   -207.978902   -893.000833  -7098.929446  -5467.328302 -14985.054366      0.703187 -12320.426605     13.364814     13.952476      0.000000      0.000000      0.000000      2.603336      0.265552  -4589.903472      1.752059      0.247967     12.203308     17.100909      2.275909     25.013587      0.040022      0.048127      0.049493   -978.916984      0.097428      0.000000      0.011080      4.080182     -0.128285   -852.528610      0.455555  -3996.117355  -2956.097885  -1536.021230   -465.839561      5.180254     37.251197  -3384.278422 -13073.394753  -4239.866657     11.848772      0.571379      3.596059      0.876284      0.471378      0.284898      2.401223      2.570893   -377.288982      0.588874   -380.235381      3.631198     -3.833664     -3.725896     -0.743963      2.090884      0.346667      1.251234      0.305341  -3114.641989    -90.121322   -584.232967  -2157.920128    -54.806813      0.632483      0.458573      0.164018   -896.447866  -2739.895890 -13796.045632 -12446.068315  -1988.514750  -7235.742772      0.212070  -1377.677862  -5213.003431  -9861.840101      1.365256  -5110.683498      1.000306      3.106163      0.938844      0.046581      3.061668     -0.000000      2.056552  -7947.576283      3.341944      3.209975      5.471706      0.776877      0.896942      0.718607  -1433.815244  -1487.533621      2.527462      0.569977      8.986726      1.696077      0.136294      0.838513  -4162.084263 -10472.361281   -708.105385    -30.271681      0.095051   -288.191104      5.681706      0.875568   -507.535408      1.524260  -1309.272788   -115.676159      0.202864 -49906.577499
-86321.404008  -8510.925435      0.198730     10.566571      2.652229      0.866261      3.813120      1.811303  -1282.599886  -1527.171263  -1381.622282    -67.547547      0.316658      1.056114      7.924580      2.975598 -35542.819112      1.522316 -39779.221825     -0.166930 -25503.349589      0.239834   -659.312723 -12860.328397  -4157.041018  -2212.588313  -2958.381961      0.488188      0.075988      0.081964      0.922909      0.313000      0.231305   -165.702120    -83.819683      0.027506     -0.034666      0.874172     12.634729 -95379.565329 -10896.859572      1.026473      0.286064      0.461516   -309.975822      0.112389      0.135698      1.077562      0.191374      0.353575      0.502057      0.091331      0.120075      0.445154  -3766.891098      0.715155      0.302272      0.908950      0.550334      1.475982      0.697125      1.361917  -1206.522471  -2336.592433      2.501705      1.310805      0.846924      0.158624      0.352196      1.030385      4.306361      0.826438 -10304.608736 -33657.076597      0.109990      0.273082      0.190526      0.285849      0.597992      0.204831      1.307759      0.234965      0.139474      0.395695      0.210781      0.192384  -8217.807277   -206.948427      0.498492 -14665.440479 -63863.598222      0.061911  -1129.088955  -5755.680690      0.250310 -28280.854304 -14828.329823      0.708392     16.835695      0.187443   -249.533034      0.562711      0.048756 -14249.241875      4.661450  -2506.699449   -896.452004  -7118.766343  -5489.486633 -15032.610096      0.736194 -12390.531993     10.504123      4.967241  -9154.189274   -785.230842  -1575.913157      2.668109      0.183150  -4613.677930      2.203929      0.344117      9.187694     12.107432      2.322604     21.969915      0.073139      0.050338      0.062250   -981.540615      0.155745      0.000000      0.016849      3.125005   -841.862179   -855.203572      0.515160  -4016.796213  -2966.349316  -1541.355241   -507.950954      4.520555     31.516336  -3394.752784 -13106.922785  -4249.846333      9.088216      0.420797      2.660955      1.090843      1.014428      0.391600      2.511064      5.553372   -378.390587      1.079257   -385.186405      4.752000      1.563746     -3.804524     -0.758831      2.607111      0.433391      1.586472      0.311875  -3451.559009  -1062.163770   -585.728123  -2188.483050   -655.914258      1.009654      0.581282      0.237144   -899.795765  -2751.436354 -13858.636573 -12499.157579  -1997.756574  -7271.953319      0.109072  -1385.176342  -5240.438291  -9906.198579      1.144584  -5135.787086      0.836060      2.601398      1.430817      0.071036      2.549739     -0.438931      1.609944  -7986.176028      3.944012      0.000000      4.264767      1.880965      1.005171      0.916312 -16802.159885 -17422.876354      2.776926      0.737872     11.851149      2.147264      0.165659      1.102526  -4174.711178 -10505.989438   -784.638030    -30.762369      0.120479    -50.935794      4.638868      1.101038   -509.185689      1.593543  -1313.165332   -116.069255      0.283197 -50881.989034
