NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
   0.000000 1388.045116  115.337301   60.964848  135.777070    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1283.297445  104.422079   59.326636   69.916159    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1109.667453  106.182833   75.394022   69.835079    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1133.604516  134.077243   77.853593  145.096226    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1128.475591  153.805461   97.983053  163.314141    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1451.676590  218.300632  112.321768  403.463032    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1426.775087  230.511824  115.301978  348.130841    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
  0.000000 985.091965 160.126963 104.216319 129.702077   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
   0.000000 1031.634238  157.660571  103.356579  203.438943    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1106.978329  177.926160  104.831552  316.052975    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1166.952239  179.994133  103.386333  377.033671    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1192.344300  169.342081   98.191481  351.636512    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1187.016682  161.018187  104.302168  351.948084    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1228.796604  150.458128  102.813006  341.551811    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1193.534469  142.773152   99.387682  320.045918    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1190.304891  127.285448  103.578663  264.387953    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1271.639805  120.359990  101.011497  198.962039    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1788.287393  165.220851  100.140114  317.493738    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 2000.340879  184.947244  100.270685  418.309788    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1947.492060  216.883541  101.367943  451.380875    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1921.950877  180.273357   94.976569  344.449029    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
 -14.130713 1635.625485  185.157915   90.045618  325.081667    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1599.544894  183.011746  101.144328  293.389198    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1456.089213  169.738701   93.012111  201.552343    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1274.193190  198.876379   89.240006  206.529243    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1154.773082  171.720359   88.532224  186.430911    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1131.189504  173.258423   89.461322  191.113611    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1114.815156  187.404658   96.907444  229.718281    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1106.141824  201.818590   98.093520  218.831862    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1202.149436  238.633723  104.114262  370.485007    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1395.477074  250.614236  134.674522  421.556004    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1433.505404  255.512255  126.913848  405.567520    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1462.578645  255.076187  123.810661  423.351516    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1702.615342  239.497261  124.184225  391.355479    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   0.000000 1774.873655  226.983016  125.621077  364.965185    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
