Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 -702.103030   145.448850     1.361515   -20.178405    96.290293    20.378221     7.809630    14.161908   304.713074     5.079900   264.972200    21.594709   196.117047    43.985394  -149.262249   -11.669775  -248.123195  -347.991587  -349.587948    33.405879  -232.036739    56.918049  -424.380566  -143.297903    -1.373160    71.024026   -12.481667   -17.105563    -1.505443    31.044059   113.954204    98.980535     1.881960   144.293281    60.252349    23.410513    33.771343    79.844621    -8.884570  -791.425229   -86.054006     4.422356    -1.734217    16.254247     0.989090    28.943050    49.418623    17.729090    -0.042906    40.590202   122.674398  -166.624429     6.157309   108.495551   167.346274   106.834530   164.335238    43.822347    39.695303   103.189495   121.488207    38.510376    65.096527   -22.033976    29.222834   -21.028809     5.351353    30.669671     4.790256    23.702642    52.174566    -6.754459  -178.248039   192.333431   108.198263   197.445713   107.916399    20.047718    10.144703    -5.141640   -47.310001    32.828259    31.859342    14.597069    -9.511675    41.038785  -340.671241   757.784849   -39.851724  -112.540761  -311.420186    82.026283     1.918058   -21.841146     1.651899  -149.796276  -112.838434    77.769577     7.598634    10.656582   433.975093    36.284360    19.374457  -123.817877  -103.974261    -5.061976    40.619721   129.157675   -53.011853  -144.983502    19.897036  -120.984003   -19.905409  -181.732811   -65.569711    -3.160268   483.116321    88.133934    72.844331   -25.998267    82.688877   110.364169   -36.902334   -36.957664    23.233782   -66.235739  -180.820540    51.599723     4.996509   115.648979    -6.239581  -600.000000    -0.648248   -14.628603     7.067822   145.657004    39.791818   -22.154633   -19.018424    40.332303    15.587911    47.081961  -108.337565   -11.408673    67.417028    36.971872    -2.515729    -3.773880   130.173117    -5.788098    11.031964    10.211015  -100.039283  -115.660801    21.339468   -32.843779   198.000000    72.065627    73.766556    17.008804    -0.000000   -46.896077     5.355946   -35.692633    36.284306   -30.146948    19.489048    91.626354   -47.493140    98.431878    -2.069331    30.117772    28.289152    -5.266429    -8.584216  -115.688465  -113.351620   -11.059798   -50.523467    84.337217    -7.227775   -27.970042   -39.587420    87.344298    28.976395    -3.074563     4.862407   -49.695035     8.552838     6.957759   -33.983800    79.061694   -47.215493    -7.243550   271.733780    10.153771     2.145743    19.918289   -11.499338  -150.608050  -173.768822    55.771689    39.157872  -182.405404    -3.400531    49.892391    10.884783    30.261296    -5.474934    74.747578    62.018666    78.618732    19.820210   175.523075     0.358942     1.554080     0.181833    -6.710137     1.911097    12.670955 -1085.264322
 -872.731060   127.019899     1.388486   -19.388337   103.940297    21.613561    17.347861    14.292472   304.039945     4.536336   265.349399    21.616854   174.868209    44.137641  -152.528780   -11.265622  -270.206512  -344.157230  -364.096144    33.273960  -273.916559    57.265397  -443.831303  -140.860061    -1.469173    71.437971   -11.882211   -17.046882    -1.494972    73.360342   121.121482   111.480712     2.414638   173.408793    74.583348    28.133409    41.219381    84.902659    -3.262338  -761.799998   -85.422290     4.861098    -1.614888    16.425503     1.049740    29.315806    56.238116    17.915361    -0.022564    40.642717   122.738528  -166.613849     6.172180   108.560446   161.020069   106.904770   164.383969    43.927279    40.076083   102.830918   121.586224    38.742409    65.328948   -21.570302    28.751972   -24.431815     5.428308    30.704273     4.934081    23.919187    53.942890    -6.527735  -177.719961   191.665535   106.825583   191.352691   107.973758    19.944651     9.385699    -5.354390   -47.557059    32.902040    29.812950    12.869345    -9.469393    41.079144  -167.332751   737.383156   -38.734451  -110.395969  -308.848018    78.420162     1.982400   -21.562297     1.759410  -145.331222  -112.762380    77.691528     8.975497    10.737177   433.960468    36.339470    27.758111  -123.548785  -101.840437     3.388990    55.205808   129.883609   -40.158419  -143.176794    20.974181  -117.028336   -18.755072  -178.759823   -64.114352    -3.133464   435.052674   148.162986   101.433735   -25.342197    82.973767   110.428012   -35.608658   -29.806982    23.423042   -64.471846  -180.790696    51.605950     5.006106   115.602131    -6.217035  -600.000000    -0.646414   -14.280211     7.160045   145.593861    39.905412   -21.979483   -10.925366    40.632567    15.677487    47.304981  -105.556822    -5.383537    67.299039    36.917169    -1.549230    -3.697645   130.119649    -5.634359    11.375435    10.285161   -98.078331  -113.592254    21.177083   -32.371399   198.000000    72.355460    73.981093    10.394382    -0.000000   -46.515783     5.421597   -35.418892    30.177969   -30.989960    19.699384    91.680553   -62.750541    98.555894    -1.941130    29.763887    28.319598    -4.878371    -3.437551  -116.501686  -114.775818    -8.815903   -50.024199    93.620581    -7.157324   -27.769001   -39.490071    87.226339    30.012037    -3.022086     6.747756   -49.376493     7.921189    11.883378   -33.024545    69.340004   -53.076823    -6.989405   279.452400    10.525871     2.262591    29.709673   -11.373975  -155.472334  -178.981823    55.973314    39.269159  -180.448445    -3.119133    50.096807    11.056203    22.664323   -23.623860    74.810435    36.527008    51.904792    18.453731   175.566475     0.497082     1.615323     0.013811    -6.475295     2.627288    12.702419 -1109.911228
-842.480967   86.064555    1.602728  -16.642870  106.352387   22.659203   16.882228   14.768583  317.480049    6.563836  264.680078   21.561512  224.842472   45.065499 -144.119321   -9.671433 -290.440052 -337.519412 -379.406974   35.653759 -228.975273   89.664253 -421.242865 -130.714118   -1.230276   75.149775   -9.761715  -16.122935   -1.339317   52.141087  124.162198  114.111648    2.711689  105.000976   79.930849   30.711361   45.074134   86.306103   14.402859 -675.961209  -90.270508    5.152737   -1.479321   15.606991    1.303818   30.919099   67.337177   18.646955    0.145443   40.966420  120.862479 -167.150851    6.291841  109.043047  138.214650  107.478374  164.614552   44.335864   40.955886   96.268836  122.238402   38.323985   66.264969  -19.732192   26.780029  -25.494635    5.711166   30.859808    5.366360   24.970821   58.979622   -5.615146 -164.036710  154.245856  109.516080  200.966467  108.380011   19.766534   10.486589   -4.852006  -44.489120   31.093211   30.159081   13.900265   -8.951342   41.545451 -121.847197  950.698472  -41.909094 -112.667278 -320.094762   77.532669    1.479488  -23.812312    1.712805 -122.552064 -102.209704   78.319419   15.272688   10.182990  160.906962   36.559910   33.100532 -114.460565  -89.126708    9.459978   58.531495   -0.740006  -53.451129 -135.822398   22.632815 -113.239538  -14.530086 -158.593464  -56.574400   -2.607251  332.805068  150.974962  120.379889  -19.492774   76.367508  107.811954  -31.026494  -23.101986   24.073362  -58.053605 -181.839670   51.652862    5.083936   45.072378   -5.901470 -600.000000   -0.614258  -12.730415    7.746293  143.171979   40.385636  -22.815816  -27.480087   48.801978   16.063013   49.179401  -95.477409  -30.241907  -43.036264    3.873119    3.305082   -3.300379  135.688709   -4.529687   11.383867   10.838310  -90.748820 -103.801574    6.986143  -30.343098  198.000000   73.454884   74.888649   10.791584   -0.000000  -43.851571    5.902741  -33.392380   67.436128  -31.348793   20.214003   92.904073  -56.947553   98.022372   -0.800825   30.233364   28.551994   -4.719823   -3.416285 -106.662910 -105.890009   -7.248492  -44.556327   96.288788   -7.317810  -28.888173  -39.996021   88.181223   34.088356   -2.731089    7.487659  -46.150158    8.090125   21.019473  -31.182223   70.959179  -56.595655   -6.062157  291.590333   12.399442    2.738460   34.628410  -10.501736 -178.584007 -169.113535   56.820179   36.796545 -169.317181   -3.253236   43.650085    8.850642   15.180261  -39.053410   74.531932   33.492372   51.631130   13.487972  178.339437    1.517317    1.592903   -0.696728   -5.188385    0.799991   13.227147 -921.832053
-887.919319   83.354766    1.532235  -17.739669  106.101176   22.470928   17.769614   14.579111  323.660564    6.720974  264.166941   21.545785  225.861021   44.748151 -147.047957  -10.278984 -292.881912 -323.008673 -383.088605   36.190680 -245.550842   92.152181 -429.057245 -134.991240   -4.061404   78.669281   -9.720483  -16.435951   -1.311103   59.054318  128.859832  116.179156    2.733847  104.960295   81.531933   31.337381   44.995046   85.812482    9.506056 -736.586464  -94.134484    6.006156   -0.957176   17.337470    1.198895   30.291670  100.254691   18.380578    0.089760   40.864399  120.740518 -167.180466    6.245060  118.951985  135.458899  107.276101  164.530125   44.176556   40.813785   82.458288  122.107012   38.071631   68.198973  -20.428781   28.759876  -19.251688    5.601723   30.803140    5.247783   24.621159   57.759044   -5.883568 -166.351568  127.303494  109.459154  200.807276  115.798905   17.198791   10.639824   -4.784118  -44.887417   33.347156   32.174693   15.459260   -9.112729   44.296464 -213.517193  950.271520  -43.293143 -121.022217 -345.171265   82.190363    1.213993  -27.235014    2.338310 -128.652003 -105.128528   78.278332   13.322057   11.171217  160.707693   36.473694   33.043155 -117.422087  -92.698200    8.934239   58.332503   -6.408339  -54.511460 -139.063408   22.745678 -117.862584  -15.966582 -164.205155  -58.651835   -2.826785  425.507726  151.957887  120.166112  -20.226833   83.037751  110.766265  -32.409098  -27.764752   23.821037  -60.117516 -180.624046   51.635872    5.055918   44.285199   -6.029033 -600.000000   -0.628408  -13.225055   10.265827  143.495827   40.194820  -24.073391  -28.022656   51.472287   15.903335   48.620653  -98.735261  -32.047010  -53.545496    0.444493    1.886076   -3.419673  135.036480   -4.815681   11.484193   10.648219  -93.700524 -116.079568    6.684621  -29.861225  198.000000   73.088416   74.575370   14.594623   -0.000000  -44.524998    5.759510  -34.068099   67.033878  -31.240847   21.421947   97.641138  -64.087453  103.055984   -4.504380   30.099815   28.484918   -4.849460   -4.000071 -109.444470 -108.481278   -7.490929  -45.957213   98.911551   -6.855642  -29.944030  -39.519233   88.083506   33.092823   -2.844236    6.339168  -47.763815    8.682419   39.608552  -27.844467   76.340064  -60.230801   -6.356833  289.484695   11.787843    2.584980   37.962086  -10.695293 -179.213582 -172.235902   56.499873   38.032419 -170.983189   -3.795374   39.310708    8.638977   26.319665  -23.430750   78.739623   33.356163   51.827152   13.409982  177.865160    0.776501    1.465360   -1.042499   -5.444142    0.771852   14.353529 -846.910478
-883.191198  110.418029    1.481562  -18.048243  109.064613   23.212470   14.590275   14.527950  323.608466    6.445335  264.750218   21.606495  224.208406   44.572206 -148.694879  -10.499805 -283.171041 -338.205128 -388.482130   35.533577 -249.565952   89.830722 -432.714361 -135.417610   -4.657331   78.282702   -9.840955  -16.531312   -1.235852   44.999045  121.409428  109.461648    2.261229  133.458103   73.426325   28.220588   40.579166   81.641975    4.770784 -764.699801  -96.992323    6.768799   -0.635491   18.722005    1.181511   30.116482   69.844780   18.260746    0.055748   40.791922  122.860533 -167.201974    6.495709  123.883947  142.712776  107.169393  164.492215   44.127674   40.455514   77.663775  121.826426   37.369069   67.373047  -20.516865   29.832678  -16.860152    5.564269   30.778097    5.137278   24.409094   56.222325   -6.110354 -171.113476  141.002672  109.435398  213.459406  115.628307   16.698930   11.746551   -4.877495  -45.146856   35.561965   32.036311   16.986795   -9.171075   47.140212 -444.623847 1147.661094  -44.652971 -122.881552 -336.531742   86.843413    0.952456  -27.779588    2.759193 -135.033052 -107.971093   78.023891   11.932705   12.008118  241.809570   36.448467   28.485411 -120.738235  -96.088174    4.740850   52.167077   58.617447  -52.384964 -141.927149   23.125932 -117.014178  -16.787688 -169.612747  -60.662479   -2.879209  471.802099  122.341322  103.614445  -23.344835   83.769196  110.571133  -33.521413  -32.640467   23.734000  -61.507703 -179.447143   53.369402    5.041265   99.621144   -6.071371 -600.000000   -0.631049  -13.566825   10.851075  142.362338   40.146814  -24.757001  -28.569717   50.745163   15.879348   48.292808 -100.894804  -32.268550  -31.105736   11.691254    0.671550   -3.515436  133.557620   -5.194531   12.273247   10.532172  -93.971455 -123.939748   17.297541  -30.796141  198.000000   72.867031   74.406864   10.014914   -0.000000  -45.380883    5.623775  -34.522028   62.660040  -31.643775   21.372442  100.511139  -63.347803  103.019716   -5.062275   29.893992   28.415462   -5.119837   -6.281441 -112.009923 -110.739093   -8.989921  -47.641636   97.836760   -7.117692  -29.886089  -39.339036   87.673375   31.739993   -2.878702    5.037708  -48.669181    8.640958   19.850734  -29.817808   69.433582  -57.738578   -6.563103  284.737072   11.379688    2.482242   33.753085  -11.044392 -176.707145 -173.844722   56.382125   39.520333 -177.015944   -2.291944   39.740673    8.130445   20.482041  -35.176777   80.804353   73.740748   52.524531   14.083836  176.875567    0.445860    1.700996   -1.875348   -5.505326    1.342824   14.307211 -972.000000
-870.637472  151.574286    2.150308  -18.846896   73.710121   19.463292  -14.373060   14.378234  326.575451    6.476859  265.148893   21.645057  135.740959   44.186543 -150.889579  -11.015302 -201.134580 -349.525665 -333.439702   35.133369 -205.862760   87.258658 -433.474750 -138.910013   -3.322853   97.499597   -9.001975  -16.094990   -1.179237  -75.933785   99.941599   79.238207   -1.091776   81.803775   35.333393   13.377768   19.533033   66.273705   -9.258094 -825.097906 -100.431394    5.979370   -0.656609   18.634068    1.102826   29.660638   46.133522   18.022315   -0.018853   40.620778  122.938457 -166.563623    7.614872  126.557430  169.191701  106.964097  164.411328   43.996753   39.037402   68.262669  121.799367   37.251989   70.237514  -20.823064   31.748365  -17.285315    5.473856   30.720002    4.741310   23.912322   50.935242   -6.714064 -190.510986  138.718400   91.171974  196.981943  122.776376   15.461011   11.702136   -4.478083  -44.575084   35.617398   34.150609   17.116290   -9.018897   47.265765 -398.937482 1231.701882  -47.921047 -128.873600 -333.988429   86.849265    0.480537  -27.525516    2.716238 -153.220463 -115.421177   77.861201    9.495896   11.975747  419.185781   36.377977   17.474858 -131.123900 -105.295899   -5.388562   22.959045   93.209970  -55.781656 -146.300844   20.862998 -129.282028  -18.092137 -184.213818  -65.229997   -2.828019  589.420677   56.684715   63.608850  -26.586866   83.165224  110.539374  -36.329243  -34.722807   23.531723  -64.610585 -179.448108   55.114642    5.388752  110.974202   -5.963076 -600.000000   -0.618062  -14.226078   10.899310  142.579285   40.006593  -25.128991  -31.483724   50.953107   15.760550   47.900324 -105.638258  -40.987834   41.094439   30.021863   -1.315826   -3.759668  127.469359   -4.327349   11.398616   13.391332  -96.530863 -131.823626   20.081156  -30.612213  198.000000   72.361910   74.032531   25.384838   -0.000000  -45.190600    6.446856  -34.411535   64.149910  -30.011645   23.674328  126.171902  -77.053700  111.619719   -6.234627   32.688884   28.431736   -6.888968  -17.481463 -118.428341 -116.052580  -13.134764  -51.599343   95.695908   -7.489749  -30.752523  -36.932668   87.424835   26.727168   -2.919088    5.427937  -48.090181    9.329007    5.071645  -30.045338   80.164515  -43.674972   -7.050118  262.556735   11.089215    2.242994    7.639889  -11.051733 -162.387651 -164.316056   56.107561   39.464079 -178.327276   -2.214462   40.681868    8.070481   18.708217  -39.923362   79.900141   82.073352   51.535585    8.852800  176.063397    0.000000    3.132906   -1.964834   -5.736200    0.172178   15.880592 -971.635511
-891.353159  136.408967    2.431908  -20.674077  110.076079   25.677505    1.452913   14.052234  375.363395    8.701207  263.500353   21.530258  221.306541   43.410510 -157.092516  -12.145960 -248.453772 -324.326464 -359.165712   37.380800 -231.202237   93.743435 -448.234734 -146.053547   -3.040337  109.256019   -9.811956  -16.074639   -1.096851    9.990257  115.877646   95.887350    0.871168  133.348981   54.648958   22.185042   31.285385   73.413210  -25.677039 -964.989629 -101.243872    5.798541   -0.223666   20.191885    3.485755   28.534591  100.913130   17.486607   -0.168059   40.294679  148.159867 -160.778900    7.677370  127.716213  162.390036  106.518909  164.240754   43.713091   39.201445   44.413829  121.580815   38.623111   77.996077  -21.912374   26.828196  -16.252848    5.276170   30.606120    4.635247   22.967946   47.665589   -7.692996 -217.311881  136.397080  108.692227  223.316481  122.653122   11.569699   11.797414   -4.282889  -44.573688   37.922405   36.181564   18.764182   -9.047792   50.172451 -420.007930 1160.354698  -50.592600 -134.318855 -357.974267   91.578215    0.418868  -29.355594    3.238760 -176.601355 -128.293460   78.656850    5.818105   12.895457  415.286587   36.224790   18.559130 -139.859288 -121.081924   -7.344503   34.705868   83.099010  -59.875452 -157.219186   26.804045 -149.051622  -21.325447 -209.230334  -72.630521   -3.046128  630.000000   82.341471   67.447846  -30.731232   76.264194  113.419143  -41.473728  -44.898008   23.082488  -70.791324 -178.231317   62.311041    5.841730  109.046173   -5.991741 -600.000000   -0.619815  -15.670048   12.833887  139.826235   39.671943  -25.211254  -30.976631   59.808702   20.401746   47.687771 -115.399493  -34.952048   11.227783   29.591221   -4.941725   -4.183291  127.475029   -3.821520   10.468740   15.888767 -100.020300 -152.866984   18.790931  -30.688650  198.000000   71.271552   73.189354   34.755043   -0.000000  -45.926207    7.054679  -35.035693   65.606716  -31.531206   24.484196  126.740099  -67.248958  116.050241  -11.077826   32.515022   28.369672   -6.675824  -14.260769 -129.868792 -125.735085  -14.493245  -58.101580  101.281234   -7.550885  -30.108324  -35.060327   88.603154   23.791027   -3.054619    4.010301  -49.510426    9.959759   37.301341  -32.151832   79.049991  -52.038682   -8.061270  262.838579   10.139586    1.739320   30.027529  -11.326865 -177.556953 -179.592708   55.496864   39.212168 -182.528885   -2.824027   43.092230    9.354494   15.050869  -51.475119   82.443830   81.594911   52.992872   11.664965  178.207732    0.000000    2.905488   -2.740979   -5.267142    1.261334   17.229537 -974.000000
-930.031664   27.825993    2.490007  -20.845138   98.983023   21.055892    4.805036   14.009648  453.373426   14.295764  252.257287   20.764328  230.049062   55.839742 -154.593337   -4.905993 -339.736949 -319.935596 -419.508744   38.643671 -261.928696   97.065479 -445.743386 -142.487354   -3.819943  108.826560   -4.854787  -15.738190   -1.121865  307.099572  163.463353  152.654163    9.673136  136.854078  103.726758   40.911071   58.590390  122.116162  -22.238587 -976.870677  -96.329610    4.087130   -0.672476   18.553034    5.532273   54.381518  108.616522   55.336912    0.309799   46.767697  155.490290 -157.847940    7.242809  125.156482  107.393225  174.114822  237.786318   76.511175   40.314777   43.531093  121.759214   39.020584   96.578472  -20.495096   24.187005  -26.626300    5.974279   30.609902    4.905197   22.961269   50.014339   -7.708973 -220.799836  -28.331353  110.058435  200.626092  122.777503   11.147028   10.757207   -4.331461  -43.979735   35.677246   36.292063   17.253531   -8.863643   47.393967 -489.070586  847.879348  -57.694142 -143.860678 -444.495548   86.856103    1.058496  -28.451009    2.677035 -173.481561 -130.245492   79.937332    7.999544   11.946463  160.469360   60.687474   46.732774 -131.914736 -122.904112   17.577619   76.468087  -16.300390  -56.141323 -149.652743   21.966569 -150.871179  -20.159884 -212.052855  -71.152753   -2.910109  630.000000  162.815388  169.637215  -24.206738   81.540765  113.530278  -41.649135  -44.305392   23.053142  -70.645742 -179.448108   55.110058    5.861688   38.485365   -5.853235 -600.000000   -0.604960  -15.541112   10.864052  135.527566   56.753353  -23.806649  -24.240935   65.289182   34.121298   48.371540 -115.168124  -34.299243  -97.463911  -12.886845   -3.441727   -4.205620  131.877047   -3.520311   10.617057   14.673749 -102.382653 -151.959354    5.840191  -30.845871  198.000000   71.652439   73.138327   22.755048   -0.000000  -45.255408    6.797776  -34.580104   63.797102  -34.272888   31.202597   91.995455  -63.969627  137.967688  -11.009097   32.668191   29.824213   -3.142905   -0.312960 -131.704530 -126.960459   -8.596131  -58.140350  104.837229   -6.925102  -28.462064  -33.913539   90.686194   25.366450   -2.989445    4.637427  -48.504788    9.366653   43.170485  -31.475194   81.774307  -68.246299   -8.087302  279.547374   11.279420    1.697312   30.838185  -11.078584 -183.487773 -185.244493   95.369927   39.398096 -179.639660   -2.223545   46.890890   11.333217   18.569623  -46.098262   75.610019   31.611202   52.310821   19.189818  183.190699    0.000000    0.652635   -3.682996   -3.009561    1.459026   16.091788 -639.000000
-947.753817   51.051767    2.508671  -20.591640  100.808992   21.323960   -0.983101   14.061603  456.134361   15.009932  252.374046   20.721939  229.721392   59.887479 -162.699891    3.347575 -321.847682 -319.637666 -400.648458   40.317832 -240.928038   99.249251 -476.331039 -137.715821   -2.827717  109.262170   -4.278708  -15.722533   -1.118818  306.901858  170.705160  152.125426    9.236622  135.903506  103.556488   40.831683   58.484726  120.633758  -23.294606 -987.343640  -95.761160    4.201884   -0.608200   18.647997    6.122760   57.246154  109.473056   55.934867    0.445276   49.962408  155.529870 -157.841313    7.255120  125.217355   44.900957  200.486514  250.026461  105.689997   40.194383   39.492977  121.816597   39.153447   96.803202  -20.025825   21.362649  -26.607348    6.698048   30.617167    4.896843   22.893539   49.661767   -7.796931 -224.022083  -47.037485  110.023414  196.891660  122.808235   10.836296   10.690061   -4.315809  -43.838664   35.713662   35.722886   17.310566   -8.848098   47.409738 -530.329714  774.341236  -55.829310 -140.330437 -434.457900   86.868794    1.115889  -28.337826    2.736268 -178.413216 -133.852599   79.994308    8.204755   11.990802  157.975005   62.554774   47.550638 -145.332673 -125.497687   16.941679   76.185559  -23.293455  -61.408385 -147.257597   22.438663 -153.001814  -20.144153 -216.548243  -72.593372   -2.955718  630.000000  158.390800  172.619927  -24.864044   83.560850  113.566394  -41.917019  -47.327146   23.088143  -70.716905 -179.432132   55.115162    5.868866   35.614435   -5.846069 -600.000000   -0.604517  -15.628132   10.913616  128.675767   61.132114  -23.711137  -26.263676   78.467698   36.615669   48.968638 -115.267310  -35.547294 -107.390856  -25.822245   -3.598986   -4.260476  131.549137   -3.423620    8.846016   14.732051 -100.739533 -152.166686    5.164538  -30.582986  198.000000   71.634778   73.119213   33.641170   -0.000000  -45.002352    6.843576  -34.369080   60.662027  -33.418649   31.386349   92.084239  -64.209982  138.058705  -11.367247   32.716170   31.183779   -3.474915   -3.882411 -135.641057 -131.030964   -9.175045  -59.673172  107.704482   -6.861653  -28.278647  -33.978986   90.818943   24.352152   -2.963694    3.706231  -48.460929    9.373681   43.209724  -30.513164   79.950023  -66.598254   -8.123097  278.602464   11.273274    1.670795   31.216127  -11.005723 -180.237819 -183.547115  100.384989   39.463171 -178.488447   -2.053783   46.903255   11.431034   11.153655  -59.324530   75.307396   29.533273   52.223429   19.088877  183.522684    0.000000    0.752840   -4.986242   -2.529681    1.366819   16.099408 -485.000000
-812.444987   82.244277    2.498537  -19.874779  100.836532   21.974761   -2.070154   14.162070  458.682738   15.035023  253.005722   20.768514  227.782570   55.749085 -171.586245    3.649459 -273.966447 -317.791006 -347.389549   60.940929 -218.941143  113.169072 -518.615345 -135.268580   -2.031412  111.473829   -3.512761  -15.741981   -1.122604  121.742033  170.551079  137.887236    3.661043  100.157784   97.978730   39.301992   55.295164  106.785934  -22.238476 -981.183078  -96.687785    4.270632   -0.687883   18.530137    6.141910   60.062524  111.537850   56.705420    0.271734   46.702856  155.496235 -157.845706    7.617192  125.212131   98.428197  182.493459  237.806617  105.758197   40.069777   41.317016  121.755540   38.998347   97.583087  -19.534148   19.080613  -26.159732    7.473320   30.623894    4.913400   22.908080   49.719848   -7.783887 -224.794225 -312.825266  109.963408  196.708971  122.770684   11.834320   10.963148   -4.335252  -44.013850   35.668455   34.156783   17.239735   -8.867397   47.390186 -541.498290  860.401729  -50.554959 -137.746992 -428.817992   86.853134    1.022201  -28.381151    2.663054 -183.381006 -138.292571   80.016217    8.705154   11.935886  151.065751   85.322694   44.862921 -150.618847 -127.370552   13.257728   70.181500  -52.796295  -65.884661 -149.631789   25.884811 -152.998354  -19.727164 -220.400881  -74.064231   -3.004207  630.000000  152.936883  162.903328  -26.645580   80.679050  113.523221  -41.539004  -44.550709   23.276565  -70.044207 -179.451762   59.945721    5.866083   28.220917   -5.854965 -600.000000   -0.605067  -15.549430   10.852831  132.117027   67.931970  -23.498908  -34.006190   79.231992   36.633710   49.061104 -114.153571  -45.701077 -156.618679  -44.058883   -3.261102   -4.282272  131.188144   -3.503434    9.195556   14.709910  -99.263939 -149.447520    2.888048  -30.908716  142.368549   71.689639   73.189516   53.349185   -0.000000  -45.179522    6.815949  -34.457828   52.778144  -30.631591   31.829548   96.342435  -24.384404  138.923106  -10.170958   32.672303   29.770931   -7.118463   -8.201184 -140.986916 -137.029827  -10.912385  -61.467157  119.691124   -6.967703  -28.609420  -34.154721   90.798558   23.068285   -2.947429    4.382247  -48.345659    9.364952   45.909089  -28.442419   80.947775  -62.810126   -8.038526  277.785683   11.428275    1.700631   38.064922  -11.081268 -177.176637 -181.248055  115.239021   39.390550 -179.825924   -2.204805   46.889217   10.869767    7.059274  -65.578610   76.144648   27.593594   38.704220   12.020390  183.443047    0.000000    1.078747   -4.977538   -2.241717    0.400358   16.089947 -207.000000
