NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 4860.352529  4675.339824  3206.716608  2276.359070  2183.812263 40918.500000  2522.000000  6929.000000 21055.000000  9039.500000  3257.000000  7056.000000  9242.000000
 5167.954043  4624.354940  3144.660914  2261.897689  2124.337909 39846.500000  2652.000000  6853.000000 20144.000000  8618.000000  3223.000000  7046.000000  8642.000000
 5136.923970  4595.345191  3135.668892  2233.297050  2137.968523 39342.000000  2642.000000  6818.000000 18997.500000  8465.750000  3159.000000  6967.000000  7963.000000
 4951.287563  4953.815263  3404.610845  2336.833416  2278.604651 38869.000000  2556.000000  6819.000000 18555.500000  8177.750000  3159.000000  6931.000000  7770.000000
 4943.339046  4952.117242  3352.443373  2321.619526  2245.228700 38603.000000  2567.000000  6813.000000 17691.500000  8335.250000  3161.000000  6959.000000  7820.000000
 4903.890729  4956.859410  3359.086180  2311.922656  2257.331771 40425.750000  2591.000000  6871.000000 17241.500000  8752.750000  3163.000000  7072.000000  8053.000000
 4955.084764  5045.333616  3463.840097  2342.611989  2307.337741 41815.750000  2681.000000  7014.000000 17868.000000  9844.000000  3219.000000  6963.000000  8636.000000
 4942.364522  4716.090524  3274.578915  2314.754887  2208.812436 44172.000000  2783.000000  7119.000000 17907.500000 10768.250000  3284.000000  6960.000000  9329.000000
 5049.221426  4794.010149  3329.299102  2326.179940  2277.581363 45986.750000  2821.000000  7150.000000 18847.000000 11035.250000  3282.000000  7048.000000  9685.000000
 5242.153333  4894.812131  3373.045202  2351.900594  2347.152105 47128.250000  2899.000000  7225.000000 20987.000000 10754.000000  3330.000000  7115.000000  9923.000000
 5381.401263  4967.225517  3462.245172  2415.938703  2409.611320 47885.750000  2883.000000  7276.000000 23361.000000 10419.750000  3390.000000  7259.000000 10433.000000
 5513.568882  4939.891793  3449.816727  2419.971755  2381.009836 48746.250000  2914.000000  7391.000000 25393.500000 10330.000000  3477.000000  7252.000000 10711.000000
 5579.049358  4995.896981  3377.959665  2465.274870  2378.989286 48696.000000  3129.000000  7432.000000 26755.500000 10035.500000  3530.000000  7307.000000 10821.000000
 5609.661981  4989.120609  3394.255141  2437.729155  2384.934559 47509.750000  3113.000000  7451.000000 27466.500000 10095.000000  3635.000000  7276.000000 10931.000000
 5674.907798  4993.319500  3403.327471  2440.666223  2380.250400 45682.500000  3058.000000  7561.000000 27884.500000 10467.750000  3719.000000  7257.000000 11154.000000
 5784.156322  5026.378432  3499.113304  2438.698376  2417.276293 45146.500000  3090.000000  7681.000000 28837.500000 10817.500000  3884.000000  7306.000000 11442.000000
 5863.885941  5122.538536  3576.046797  2410.137264  2401.664990 46665.750000  3270.000000  7877.000000 31482.000000 10909.750000  3957.000000  7327.000000 11468.000000
 5888.222891  5113.205628  3597.207778  2365.802933  2400.651508 49843.750000  3486.000000  7912.000000 33194.000000 11053.000000  3979.000000  7366.000000 11468.000000
 5812.330369  5099.460169  3459.484720  2395.319180  2414.378444 50910.000000  3486.000000  7798.000000 31874.500000 10642.000000  3956.000000  7413.000000 11425.000000
 5751.986829  5050.394035  3461.213730  2385.490499  2386.543362 50931.000000  3486.000000  7619.000000 29741.000000 10038.250000  3876.000000  7403.000000 11224.000000
 5604.582910  5061.508602  3432.628154  2363.818670  2358.889152 49067.750000  3486.000000  7347.000000 27797.000000  8898.000000  3748.000000  7357.000000 11060.000000
 5510.447782  4995.873568  3387.438655  2337.216184  2300.171649 46972.500000  3393.000000  7273.000000 25717.000000  8040.000000  3487.000000  7347.000000 11219.000000
 5323.647698  4912.248883  3283.466769  2285.990369  2227.359472 46090.500000  3365.000000  7058.000000 23258.000000  7597.000000  3363.000000  7216.000000 10889.000000
 5091.175626  4877.043511  3440.589860  2299.746287  2204.678628 44386.250000  3173.000000  7111.000000 20597.500000  7196.500000  3363.000000  7175.000000 10402.000000
 4899.265365  4853.961442  3344.773666  2202.258503  2223.274133 41188.000000  2991.000000  6875.000000 20220.000000  6496.750000  3183.000000  7001.000000  9958.000000
 4786.343825  4688.120004  3518.715583  2245.352806  2188.407324 40046.500000  2963.000000  6792.000000 19954.500000  6297.750000  3184.000000  7033.000000  9287.000000
 4684.632370  4791.968719  3602.938859  2182.396434  2182.183393 39809.500000  2805.000000  6767.000000 19144.000000  6378.750000  3182.000000  6982.000000  9074.000000
 4953.735751  4850.271710  3538.226947  2283.176704  2331.812426 39353.000000  2798.000000  6781.000000 18851.500000  6368.250000  3183.000000  6982.000000  9002.000000
 4954.707680  4777.817012  3556.415445  2292.049162  2256.697656 39433.250000  2775.000000  6819.000000 18516.500000  6478.000000  3185.000000  6980.000000  9158.000000
 4942.927308  4732.443331  3459.225030  2288.114987  2257.185144 40062.500000  2802.000000  7019.000000 18521.500000  6624.250000  3186.000000  7055.000000  9631.000000
 5020.153670  4852.620086  3539.636641  2306.907793  2307.707486 41281.750000  2887.000000  7180.000000 19211.000000  6840.500000  3197.000000  6990.000000 10570.000000
 5019.134315  4695.295643  3484.349654  2284.936572  2178.210995 43342.250000  3043.000000  7375.000000 20347.500000  7457.750000  3260.000000  6984.000000 10917.000000
 5210.508347  4787.110681  3521.003648  2332.307280  2239.309810 45909.500000  3176.000000  7579.000000 22764.500000  8267.000000  3542.000000  7096.000000 11223.000000
 5425.183608  4851.223194  3584.191725  2395.878462  2285.711127 48081.750000  3378.000000  7711.000000 25222.500000  8640.500000  3841.000000  7252.000000 11374.000000
 5643.878649  4953.472171  3586.632622  2412.473153  2317.113268 48901.750000  3354.000000  7775.000000 26947.500000  8565.750000  4111.000000  7297.000000 11388.000000
 5755.866719  4956.701153  3612.516723  2439.044062  2353.336873 48870.750000  3337.000000  7865.000000 28332.000000  8480.000000  4080.000000  7336.000000 11389.000000
 5709.451973  4944.934950  3596.288848  2416.626304  2319.194328 49125.000000  3421.000000  7927.000000 29132.000000  8491.000000  4101.000000  7300.000000 11499.000000
 5733.675603  4949.825483  3640.772811  2418.330621  2337.818307 48503.750000  3214.000000  7982.000000 29627.000000  8751.000000  4097.000000  7276.000000 11520.000000
 5712.458193  4987.097694  3611.352286  2422.335618  2312.148490 47363.750000  3222.000000  8153.000000 29908.500000  9052.750000  4135.000000  7264.000000 11567.000000
 5794.946400  5000.895228  3636.796763  2431.570712  2386.185576 46354.250000  3357.000000  8427.000000 31116.500000  9243.000000  4219.000000  7387.000000 11615.160870
 5886.721464  5137.215807  3689.688446  2423.872367  2407.311426 47280.250000  3486.000000  8677.000000 33673.500000  9563.250000  4217.000000  7350.000000 11615.160870
 5907.157231  5196.275208  3652.729226  2388.620592  2418.311210 50244.000000  3486.000000  8733.000000 35318.000000  9880.000000  4220.000000  7306.000000 11615.160870
 5834.842947  5213.042815  3668.041532  2402.691328  2431.078118 52426.500000  3486.000000  8721.000000 33942.500000  9919.500000  4220.000000  7243.000000 11615.160870
 5708.613522  5142.452583  3617.197602  2347.352866  2391.872776 52738.500000  3474.000000  8390.000000 31406.500000  9767.250000  4160.000000  7032.000000 11575.000000
 5553.352810  5112.672903  3624.637697  2342.371395  2276.726732 50343.750000  3423.000000  8132.000000 28820.500000  9153.250000  3756.000000  6919.000000 11343.000000
 5419.478167  5018.978780  3583.114828  2323.566557  2312.706086 47491.500000  3223.000000  8119.000000 25961.000000  8644.250000  3401.000000  6751.000000 11444.000000
 5184.842814  4919.809634  3548.968867  2294.995703  2281.330340 47023.750000  3061.000000  7903.000000 22906.500000  8194.250000  3292.000000  6726.000000 11084.000000
 5051.402423  5099.357809  3434.115320  2272.327523  2172.523983 45528.750000  2823.000000  7588.000000 20193.000000  7803.000000  3230.000000  6550.000000 10542.000000
 4912.836642  5010.484880  3363.643779  2223.012505  2186.065926 40875.250000  2461.000000  7693.000000 19092.500000  7257.750000  3153.000000  6194.000000  9637.000000
 4797.692915  4948.270283  3500.918983  2193.347967  2174.321103 38437.000000  2403.000000  7603.000000 18475.500000  6860.750000  3157.000000  5947.000000  8877.000000
 5044.838434  4893.933584  3523.410449  2171.664366  2307.317584 37033.250000  2250.000000  7607.000000 17385.500000  6603.000000  3118.000000  5828.000000  8294.000000
 5138.766320  5314.631792  3548.135447  2331.633520  2443.606921 35378.250000  2093.000000  7618.000000 16593.500000  6270.500000  3117.000000  5760.000000  8176.000000
 5084.805297  5361.597050  3561.055897  2237.180022  2448.909765 35052.750000  1942.000000  7699.000000 16449.000000  6029.000000  3117.000000  5839.000000  8130.000000
