NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-2115.056826 -1516.956838 -1392.513082  -974.214843  -712.643056     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2489.072467 -1574.423354 -1344.022956  -978.422214  -719.475488     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2469.821037 -1761.112108 -1338.730141  -994.771305  -811.928261     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2233.553299 -2205.032552 -1547.981770 -1018.778104 -1002.715398     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2232.144819 -2203.917434 -1504.610384 -1013.292877  -989.161503     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2143.507986 -2258.299046 -1520.142817  -995.501778 -1017.433234     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2019.074599 -2299.578008 -1563.334471 -1013.460795 -1042.370258     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1915.892918 -1949.930063 -1333.764959  -947.409697  -913.523411     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1958.037016 -1984.655158 -1352.768810  -951.191731  -941.724041     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2169.160399 -2045.108097 -1387.958162  -965.419260  -968.794641     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2100.699924 -2055.748848 -1422.272470  -985.240745  -993.304966     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2168.717896 -2081.585635 -1432.961247  -983.266118  -981.955806     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2195.150883 -2104.553386 -1409.636021  -998.002646  -995.912884     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2209.335134 -2101.715138 -1414.227753  -984.862910  -998.337286     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2236.115998 -2103.526026 -1419.280259  -983.394609  -991.649905     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2283.221753 -2116.885243 -1465.018815  -981.764375 -1011.567043     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2331.711733 -2158.447482 -1489.128385  -971.068928 -1005.244146     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2408.812863 -2157.793264 -1449.826775  -955.533599 -1005.767276     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2384.023489 -2152.344941 -1446.867728  -965.958526 -1011.249188     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2359.230765 -2132.491062 -1387.445651  -962.720024  -982.899578     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1788.271445 -1754.108598 -1168.780184  -892.065227  -834.090536     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1772.211552 -1721.193031 -1143.257718  -913.238150  -822.477774     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2001.216413 -1683.949524 -1159.680205  -901.395142  -797.469680     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1895.128760 -2019.049326 -1303.021576  -911.066222  -799.139630     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1643.454774 -2095.160103 -1442.146275  -905.038811  -887.717892     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2073.294834 -2048.555156 -1495.607525  -809.876684  -867.623178     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2036.315873 -2095.685938 -1589.482494  -907.926604  -862.442474     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2220.517063 -2223.750585 -1623.909483  -972.341082 -1053.589338     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2215.829766 -2200.572700 -1601.036035  -974.788321 -1041.488971     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2146.915396 -2182.017032 -1558.721905  -974.190185 -1036.696038     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2122.699763 -2237.465565 -1603.314788  -980.137044 -1045.243253     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2011.177829 -1945.574647 -1451.567155  -922.226172  -902.448204     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2084.602999 -1982.995911 -1465.321156  -937.218134  -928.225346     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2171.318106 -2046.455487 -1447.082792  -956.750858  -947.278383     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2274.720299 -2089.092273 -1448.506439  -959.752357  -958.747654     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2338.151039 -2090.551324 -1465.782076  -969.515436  -965.581830     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2323.125693 -2085.700855 -1462.632125  -963.595826  -959.628894     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2329.664989 -2087.732400 -1497.271839  -963.796027  -962.824666     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2321.851931 -2102.644463 -1480.192744  -964.891285  -955.368674     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2354.802148 -2108.573374 -1472.508773  -963.881880  -983.524881     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2395.055662 -2164.160195 -1502.852933  -969.029490 -1009.488323     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2404.418128 -2188.294064 -1508.196260  -963.047387 -1013.057818     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2375.231285 -2195.031851 -1527.140031  -971.989398 -1013.556432     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2323.599993 -2165.712170 -1500.495329  -952.275623  -964.551743     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1795.423158 -1772.326407 -1317.319002  -899.943102  -800.383035     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1740.836630 -1737.204156 -1329.899999  -899.647220  -801.795984     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1644.955307 -1696.917999 -1321.243952  -898.106794  -798.577487     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1591.527604 -2191.271924 -1374.263707  -918.783160  -972.159892     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-1524.736389 -1997.810634 -1260.231261  -897.232589  -858.059583     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2082.238293 -1977.669294 -1496.251068  -900.018513  -856.806352     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2210.316773 -2025.063979 -1502.298836  -894.267279  -908.463880     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2314.585580 -2414.335975 -1595.579051 -1050.477740 -1099.697091     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
-2255.011818 -2428.063052 -1599.644377  -963.986873 -1101.739247     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
