NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 114.147958 -132.963540  100.818685  -56.815425  -69.765966    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
  96.431634  306.629873   77.287675  -44.997079 -117.950590    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
 67.488390 456.013536  59.774670 -47.588877 -82.521442   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
11.489684 20.020885 44.534702 12.146848 22.004537  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
20.264725 22.016438 53.864237  2.359377 20.956411  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-63.431287  16.130817  33.973246  -7.488119  27.934400   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-147.981104   17.792138    3.391214  -17.405867   -8.078072    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-118.656089   38.470849   40.967794  -10.521856   -6.069023    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-108.539360   42.309178   54.363838   -9.741299   -7.563817    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-108.537637   25.172552   52.929393   -9.574264   -6.068122    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-108.538232   21.146642   53.775631   -8.795634   -5.703865    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-111.093628   19.012999   55.037296   -6.057929   -5.209180    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-111.106893   53.801887   56.211974   -8.891146   -4.972013    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-126.683122   39.737361   57.612650   -7.838605   26.045371    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-127.656775   52.366899   46.571396   -7.827678   26.079563    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-112.116152   45.012847   40.458263  -10.310517   25.098819    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-111.175974   43.432790   22.231936  -10.038131   29.597175    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-118.552006   20.743213   27.771685  -11.131229   26.137140    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-124.808010   22.686763   44.316005  -13.555345   24.540849    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-114.394604   13.750505   40.337343  -12.558808   25.439394    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
  -1.488383 -315.378717  180.460527  -24.597685  -12.743105    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
  14.530684 -138.904155  184.519843   -2.171003  -34.728156    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
  13.622860 -126.526930  174.276534  -58.920265  -37.506837    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
  14.403606 -119.019984  145.557407   -9.240910  -31.774213    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
 14.358443  -4.397250 142.466126  -0.970061 -31.751570   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 14.329658  93.164762 150.485558  -0.165994 -31.650072   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 13.591589 148.312557 142.411557  -3.107045 -31.638551   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
17.122891  8.035562 33.232002 -6.555597 20.729021  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
14.412737 46.595174 28.418797 -7.135267 13.274819  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
14.569601 20.029216 32.603186 12.396934 26.560460  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-111.098453   21.862237   29.281191   -7.471277   21.627582    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-111.068464   22.228505   27.227933    1.848096   20.621940    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-111.059183   23.113733   30.603096   -0.227287   28.057856    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-124.637998   23.080803   27.782259   -1.953227   27.578681    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-124.640684   25.168053  -12.002472   -2.319639   27.640947    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-124.653236   25.219186   14.279742   -4.530969   28.632058    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-124.651164   23.410002   30.799763    0.692262   28.684428    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-130.934854   14.943078   30.354129    1.192370   26.187485    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-131.509816  -40.654742   31.785897    0.336632   -7.641676    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-124.692028   22.004144   32.889482    3.408865   -9.918393    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-124.726197   21.929465   33.960692   -1.645506    5.988312    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-124.762610   21.928066   34.957216   -1.099275   -9.491496    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-130.540532   21.923879   35.229916   -1.837023   24.332821    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
-130.295618   20.428434   37.960034   -1.909330   24.324060    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
  13.396378 -210.528455  209.138202 -100.608946  -43.799666    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
  14.511402 -112.149716  190.149650   17.419738  -52.825730    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
