NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 -187.500859   713.974050  -197.944148  -973.752082 -1247.915556     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -186.442352   843.303435  -156.977262  -986.279846 -1152.667805     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -161.369229   738.359598  -106.561426  -972.364192 -1059.431817     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -156.258102   733.041880  -100.793843 -1081.438089 -1080.410009     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -202.639462   777.580216  -223.307337 -1097.166786 -1213.709705     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -201.827022   569.982919  -272.037121 -1104.812519 -1213.098460     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -168.963524   660.267345  -159.243345 -1104.325259 -1168.516977     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -126.454927   791.518459  -105.653611 -1075.375836  -787.630829     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -114.996383   523.794459   -92.986025 -1074.767149  -682.186685     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
  -97.264543   304.509557   -61.998814 -1079.372213  -647.253212     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
  -89.484556   113.872667   -46.995758 -1078.874538  -586.174309     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
  -90.800634   130.696421   -38.936972 -1076.731958  -600.942543     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
  -90.239566   105.949290   -35.413498 -1077.095399  -601.006883     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
  -91.838939    70.102705   -25.243582 -1079.147765  -601.608386     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -100.753820   207.332117   -25.675442 -1077.697151  -668.423454     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -112.255030   259.129408   -36.080633 -1078.658452  -661.105460     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -126.461202   376.787751   -48.591102 -1075.965250  -746.907156     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -160.191511   306.012025   -95.017955 -1085.948756 -1098.376623     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -195.028239   -65.730956  -173.083794 -1081.720735 -1143.285297     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -197.975088  -214.315865  -207.724456 -1085.667907 -1129.341901     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -190.312021   151.918541  -299.214177 -1058.119677 -1078.856713     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -192.176197   461.537548  -297.524509 -1066.310319 -1172.657925     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -198.406737   611.019868  -288.120520 -1021.693924 -1193.120082     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -220.959758   765.930373  -318.036712 -1081.788427 -1254.992086     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -230.205899   910.031780  -347.278602 -1086.511930 -1277.564369     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -228.761978   949.418449  -348.001287 -1085.043192 -1299.032472     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -233.964118   907.768320  -345.446079 -1083.578171 -1291.270724     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -213.330354   558.990578  -298.234494 -1096.092578 -1264.177958     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -231.102084   826.538326  -293.509921 -1096.494146 -1266.319243     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -215.430536   522.952435  -317.873848 -1128.285487 -1254.176593     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -187.168464   306.400844  -192.246528 -1139.633934 -1232.913691     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -180.545403   395.185359  -209.594987 -1127.678197 -1253.134930     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -174.839292   275.082755  -204.591832 -1123.628337 -1196.720231     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -172.796226    60.945491  -173.010390 -1123.091267 -1171.622061     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
 -170.448688   120.454707  -119.950574 -1121.308387 -1285.997216     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
