NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
14.250205 16.067030  3.579902  4.055512 10.867116  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
18.203320  9.421981  3.433364  4.145978 10.147929  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
18.760325  5.615775  3.130957  3.985056  8.804563  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
12.880575  8.694766  2.934873  5.878619  9.441965  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
16.935113 13.185419  4.278495  5.750380 11.842996  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
14.399938 14.475573  4.422554  5.863747 12.036729  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
12.939455 11.221179  3.223831  5.554818 12.516192  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
13.007919  3.394795  2.117987  4.975305  6.521658  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
11.151395  3.198112  1.861672  4.955078  5.351396  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
7.755997 3.640459 1.707945 4.999698 5.685551 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.222436 4.141071 1.722087 5.028766 5.799434 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.423867 4.126806 1.701484 5.143179 5.786719 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.322658 4.059106 1.717977 5.025617 5.772973 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.628562 4.182652 1.669678 5.094844 5.712332 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
8.392242 3.756705 1.678217 5.110766 5.670940 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10.597172  3.611918  1.726974  5.027557  5.316292  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
13.166861  4.229660  2.096935  5.023208  5.878756  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
13.154512 10.477716  2.648785  5.145910 12.128842  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
14.692215 12.058119  3.592043  5.044281 13.476180  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
