Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
1188.086396  113.040636    4.033186   45.322875   50.690822   23.095701   95.311708    7.622728   14.813729   17.816695   13.824444    0.693149    5.239016   13.485589  158.026419   25.408076  365.499498  380.872852  419.259983   17.263851  265.821863   26.081399  445.483880  151.111125   42.229199   25.897263   34.516183   19.393448    3.248454  364.945032   10.952103    7.368653    9.594664    1.855769    5.429361    3.111930    3.817101   26.091327  146.498812  842.628402  105.381262   51.104295   14.757080   19.240116    3.847937   24.209256    3.769837   11.926492    2.384263    4.055589    8.626999  201.719789    2.251562    8.890209   48.254857    9.350840    3.651762    6.426042    6.611301   26.257155   11.710235   26.083918   13.980065   27.266243   73.180716   70.048801    4.578051    2.372532    5.076668   14.090731   40.326088    9.263248  193.932958  399.956652    0.862221    2.480461    7.423718   12.260345   27.490770   10.217908   60.279389   11.416620    6.400437   19.804693   10.565493    9.430542  603.309849   14.258974   96.566770  149.601139  646.705041    3.352256   10.893947   56.055961   12.494974  238.577667  121.379298    3.342184   76.057888    9.360144    2.868345    3.418344    2.614381  139.928481  123.149253   23.090613    9.421115   78.360037   56.131894  177.190000   33.328741  130.056077   52.885669  199.707794   84.052901    7.899298   13.469578   51.088899    9.299502   33.949256   37.500847    7.201539   43.588329   68.929537   10.754419   74.978604  203.836715    0.869267    1.470417   11.565601    6.541780  600.000000    0.679601   17.601031   10.351082    8.683443    7.359838   38.966843   32.847450   17.758290    5.797949   24.327088  116.810897   35.121580  149.302705   50.112754   49.475308    4.484310   25.434793   20.289580   46.154548   10.234432  116.118633  231.746248    4.178009   52.815183   26.252252   13.748849   12.333538   11.579232    2.377892   50.961569    8.877520   37.443017    3.136123   36.038167   12.308282    6.098008  120.977686    7.519304   43.557255   10.137060    4.344371    9.615083   27.175768  123.646800  120.775370   17.555661   55.361545   12.411074   13.344552   50.682614   97.903180    5.838399   41.300795    4.527568   13.484525   68.480935    3.353845   36.054368   48.244075    8.804785   82.318830   10.343988   69.520417   23.370550    5.702348   19.566056   15.875197  173.802371  184.706752   13.180736   12.471925  201.553949   38.529554    3.171927   20.138971   43.539926  109.575429    8.762316    1.931659    2.540732    2.925840   22.795490   18.885535    5.247955   28.036836   14.949749    1.244939   11.072417 1067.156831
1282.856253  120.533734    4.006215   44.512709   49.900446   22.702315   93.797776    7.488125   14.577442   17.530754   13.673103    0.686398    5.015518   13.315854  161.438640   24.986016  360.034472  380.643863  415.850452   16.945321  276.102610   25.734052  465.989364  148.659628   41.522952   25.485626   33.922880   19.334770    3.237984  365.120694   11.016556    7.485081   10.038445    1.929286    5.532715    3.149759    3.870530   26.843390  124.057987  748.742184  104.715551   50.662433   14.637751   19.068859    3.788310   23.847134    3.701929   11.733902    2.360838    3.997952    8.562868  201.709208    2.236691    8.825319   51.001423    9.273155    3.599504    6.316582    6.542407   26.062532   11.612225   25.851904   13.750132   26.807428   72.478119   69.360326    4.498267    2.334829    4.993439   13.856204   39.174747    9.036350  180.876859  421.676678    0.908252    2.628035    7.366363   12.221601   27.391962   10.176028   59.961554   11.342839    6.353554   19.685281   10.523213    9.390185  366.309943   15.146289   95.369793  147.094327  634.852832    3.327915   10.822570   55.720562   12.387463  234.868530  120.989463    3.289588   74.613918    9.279550    3.003615    3.360829    2.622708  142.067509  120.875902   23.163513    9.545844   81.838968   49.539190  174.416952   32.759184  116.203189   51.889258  196.262481   82.998803    7.834508   13.171333   51.653045    9.283681   33.541008   37.215979    7.137701   41.141550   67.018254   10.558497   73.246084  203.806871    0.863040    1.460821   12.168787    6.519235  600.000000    0.677706   17.268162   10.258859    8.557556    7.249494   38.727800   29.519056   17.461183    5.710427   24.002488  114.116747   36.443845  156.353590   52.650589   48.380401    4.404881   24.913414   20.137647   45.809217   10.160286  114.252736  229.688139    4.369210   52.342803   27.690230   13.459016   12.119001   11.393708    2.342573   50.581275    8.811868   37.169276    3.687721   35.387587   12.100137    6.033964  130.077037    7.396624   43.422820   10.058264    4.313928    9.801956   27.510170  124.155107  122.119987   17.648608   54.866516   12.189615   13.258161   50.365514   97.423009    5.755672   41.005522    4.475955   13.307965   68.158139    3.337338   35.796002   47.375927    8.669790   81.037577   10.089844   67.660323   22.968897    5.585500   19.220586   15.749843  171.203711  195.918654   12.969862   12.360646  199.597152   38.251583    3.149369   19.969353   47.522830  123.127242    8.685960    2.027197    2.635434    2.936569   22.443339   18.747406    5.176081   27.812228   14.717558    1.282005   11.040955 1112.886253
1264.859633  119.245442    3.980565   39.610501   49.162551   22.321570   92.592342    6.644388   14.295477   17.176584   13.460222    0.676190    4.946548   11.641061  159.456337   22.134898  354.816707  378.463673  409.747597   15.109197  271.732065   22.920176  461.107487  145.621777   40.366283   24.967014   33.226799   19.306439    3.232483  365.057991   10.878587    7.392887    9.911389    1.951636    5.462330    3.110224    3.820983   26.507413  111.575277  677.549384  103.676745   50.252573   14.529059   18.908914    3.721092   23.489829    3.298181   10.423911    2.057834    3.412941    8.502127  201.699538    2.221634    8.755893   50.554822    8.245505    3.185431    5.590314    5.535742   25.873963   11.520207   25.633642   13.479320   26.254521   71.638899   75.613503    3.993629    2.055304    4.352513   11.953311   31.419570    7.411261  172.106648  421.309416    0.896470    2.594457    7.315396   12.201759   27.333453   10.148229   59.714732   11.280304    6.312081   19.586773   10.496624    9.362577  248.579253   14.958229   93.302736  142.944455  615.379072    3.306445   10.713406   55.201626   12.287907  196.188474  118.685070    2.871110   63.942293    9.204905    2.973232    2.969123    2.586265  139.905329   98.145209   22.783177    9.413085   81.142954   56.488052  170.934164   32.153843  118.610259   44.027775  160.080161   70.283112    6.737534   11.020610   46.637483    9.145528   32.842756   36.951277    7.077895   33.946283   54.205857    9.395048   61.529077  203.779975    0.856640    1.451486   12.054371    6.506455  600.000000    0.676904   14.413479   10.172649    8.358708    7.134487   38.355957   33.310517   17.089179    5.605930   21.190344   95.574120   36.054650  155.188694   52.308921   40.007020    3.692718   20.330527   19.990590   45.501652   10.085089  112.218361  227.767103    4.320617   51.901181   27.391701   11.448024   10.464464    9.940454    2.060619   50.216005    8.747873   36.893147    3.206989   34.900480   11.866569    5.924599  128.221960    7.268364   43.356078    9.984260    4.285151    9.703632   27.106196  122.002269  120.191011   17.339396   53.752287   10.873339   13.123980   49.874046   96.633044    5.039852   34.491506    3.951911   11.631573   67.928575    3.324980   31.992377   42.347894    7.495138   79.983202    8.391659   54.635118   19.510217    4.716772   16.994575   15.633598  167.331630  197.845433   11.450178   12.255179  197.717116   37.987868    3.129055   19.809407   43.080453  108.387654    8.614883    2.002906    2.601472    2.974880   19.589240   18.621490    5.055709   27.561027   14.453494    1.298155   11.027186  894.604134
1379.134534  130.715331    3.673873   43.944455   45.752135   20.749164   86.064188    7.386641   13.283644   15.987876   15.428494    0.772676    5.545784   13.090848  149.677820   24.637744  400.667784  380.310936  455.226629   16.620228  283.306830   25.344985  443.435915  135.660342   46.346165   22.594089   30.935192   17.911301    2.997217  364.756734   10.117876    6.892344    9.357282    2.181312    5.058340    2.883105    3.531406   24.883084  141.563266  877.212712  116.352440   45.827393   13.272832   17.226214    3.448008   21.582235    3.647660   11.568179    2.318138    3.910250    7.810367  201.568714    2.059010    8.131266   55.658887    9.134149    3.547459    6.228649    6.378389   23.803511   10.532318   23.375936   12.533797   24.446265   66.604336   75.438212    4.437137    2.299782    4.909300   13.590386   37.956920    8.782386  197.953257  465.191652    0.991895    2.860376    6.690911   11.315683   25.314542    9.385803   55.030432   10.357326    5.780431   18.008371    9.708962    8.654535  337.725829   16.453777  106.588600  164.067472  707.482788    3.028349   12.022033   61.950536   11.206804  228.976878  105.432828    3.231134   72.995008    8.393925    3.307110    3.313569    2.367443  127.413028  117.046582   20.563892    8.637160   90.632433   57.632731  159.270885   29.923057  136.151169   50.610713  190.200399   81.391781    7.727684   12.963904   50.915881    8.289138   28.663319   33.898202    6.452784   41.274956   64.951388   10.418960   71.432866  203.456837    0.792531    1.342512   13.367996    6.029033  600.000000    0.628408   16.814588    8.998001    9.585977    6.581715   43.039414   33.951626   15.886184    5.196102   23.644245  111.198633   41.660266  172.704772   57.996166   47.036459    4.292851   24.154429   18.359576   41.647679    9.319276  104.540148  207.529918    4.825454   47.280888   30.278242   13.181845   11.898214   10.396629    2.257965   46.189515    8.056807   34.068099    3.605926   38.503336   11.032582    6.763387  140.129034    6.742440   40.216117    9.156916    3.944995    8.906964   24.701688  109.733281  109.251487   15.563644   47.192299   12.029085   14.724229   55.951298  108.454771    5.660794   39.916961    4.413739   13.106418   62.705475    3.067686   35.240229   45.454919    8.484932   90.479653    9.842740   65.697796   22.426062    5.459540   18.984138   14.317952  196.793350  198.136567   12.784827   11.180618  179.842483   34.895217    2.870462   18.094417   48.067940  120.582994    7.626473    2.230865    3.001758    3.372826   22.031184   17.088737    5.787059   25.572178   13.398675    1.458575   10.235631  812.604134
1387.186742  131.222183    3.724546   41.078744   45.981425   20.865640   86.636781    6.896884   13.339553   16.046425   15.448322    0.772951    5.606737   12.174603  151.265033   23.007191  405.827451  379.158601  461.246454   15.738304  283.563297   23.773070  446.758772  136.125693   46.407010   22.666026   31.061590   18.004930    3.015436  364.804656   10.244708    6.974177    9.443346    2.192436    5.131325    2.922205    3.582929   25.140567  129.846503  837.439084  119.578518   47.181789   13.633869   17.759469    3.467696   21.779925    3.422544   10.823585    2.154845    3.599861    7.968932  201.590069    2.075595    8.175937   55.837515    8.574144    3.316609    5.809594    5.859767   24.242024   10.812904   24.078499   12.585949   24.539032   66.936498   72.218060    4.147661    2.145143    4.557443   12.562117   33.880936    7.929637  186.360174  464.719761    0.999450    2.879089    6.860851   11.381345   25.511188    9.478270   55.857728   10.566337    5.918246   18.337949    9.801344    8.746143  619.463656   16.542488  106.719827  164.243121  708.245817    3.099732   12.360096   63.569783   11.536799  209.933486  108.616871    2.990943   67.055677    8.642472    3.329245    3.086453    2.409206  130.041822  105.547837   21.041399    8.787795   91.224452   58.561441  159.773105   30.064822  130.357132   46.199406  172.246126   74.767913    7.121287   11.773932   48.230760    8.457993   29.652402   34.646303    6.647916   37.102096   58.061159    9.750260   65.038247  203.545677    0.801013    1.357036   13.442340    6.071371  600.000000    0.631049   15.243397    9.281625    9.594918    6.636602   44.180208   34.384761   15.952044    5.223559   21.968624  101.053997   40.904175  173.576408   58.194466   42.450707    3.920940   21.803407   18.738425   42.670744    9.434417  104.956553  213.916610    4.862199   48.746831   30.452695   12.035876   10.946248   10.359948    2.141742   47.045400    8.192542   34.522028    3.649486   38.967817   11.084198    6.769677  141.045783    6.779998   40.436902    9.362740    4.014834    9.050682   25.192014  112.611930  111.702644   15.966307   48.757269   11.262636   15.138598   57.457744  110.808894    5.241762   36.679672    4.097001   12.102070   63.490125    3.108848   33.177060   43.844205    7.806744   91.466724    8.892605   59.020275   20.474665    4.972990   17.674051   14.665681  191.698659  179.152477   11.910926   11.511315  185.875238   35.607034    2.934581   18.601218   48.100476  120.904198    7.858973    2.246025    2.947963    3.400975   20.407428   17.456146    5.792952   25.761945   13.463697    1.467385   10.280961  972.000000
1402.430378  132.216648    3.704471   42.898567   46.705120   21.315643   87.795432    7.220524   13.670028   16.456651   16.017123    0.798739    5.693098   12.901096  152.952245   24.112712  425.116227  380.121848  482.963594   16.480689  287.382956   24.925894  446.560910  139.623852   49.049033   23.911869   31.915035   17.650385    2.958529  364.843899   10.431722    7.078429    9.487872    2.256795    5.231525    2.976490    3.658340   25.399210  137.659145  914.649469  123.161084   47.360950   13.653642   17.845647    3.547376   22.248296    3.588848   11.339819    2.291192    3.891670    7.955322  201.578611    2.061841    8.138891   56.243837    8.989708    3.482168    6.089651    6.401048   24.192190   10.839964   24.195579   12.911822   25.205677   67.199019   71.404720    4.342818    2.258560    4.834438   13.445927   38.250135    8.822967  199.457717  469.378349    1.041070    2.925978    6.861187   11.163604   25.069229    9.333944   55.280505   10.509868    5.907987   18.206659    9.648215    8.619740  620.406662   16.735304  111.386824  173.631062  752.171216    3.093576   12.736165   65.369619   11.578613  230.903105  115.477033    3.160269   71.822490    8.673988    3.407775    3.237425    2.479851  135.261894  119.096414   22.003213    9.045170   93.465004   55.814693  163.631397   30.787427  133.071241   49.765917  193.800180   80.914894    7.567806   12.823186   50.130323    8.778877   31.894113   34.615198    6.679675   41.094548   64.799930   10.195064   70.757166  203.546292    0.797631    1.348385   13.694465    5.962488  600.000000    0.618001   16.585103    9.597066   10.065607    6.780648   45.454325   32.642127   16.412883    5.343828   22.953055  110.074552   43.340505  177.013438   59.077753   46.517162    4.301735   24.439397   18.714540   42.624432    9.400636  107.169488  214.936740    4.988759   48.992713   30.882272   12.996781   11.694072   10.702940    2.238264   46.952681    8.172565   34.411535    3.770775   40.779506   11.370775    7.023659  142.958160    6.936602   39.650783    9.360723    4.000535    9.304285   26.142783  118.485922  116.364071   16.835229   52.270487   11.756077   15.598890   59.133297  113.498926    5.501596   40.433328    4.257582   12.656914   62.685930    3.072166   34.760261   44.630378    8.289378   95.383542    9.765088   66.244297   21.963252    5.408668   18.534377   14.674466  200.815452  188.729962   12.502037   11.567605  187.407802   35.529637    2.928350   18.661182   49.310657  116.234626    8.118852    2.300076    3.052221    3.544182   21.543971   17.421722    6.068052   25.721432   13.772344    1.517159   10.070682  946.701249
1443.694148  135.300932    3.762465   43.653013   48.624856   22.338889   91.177896    7.361902   14.381067   17.316537   16.624929    0.826429    5.666137   13.300446  159.355987   24.613534  445.788043  380.710776  506.532672   17.341290  293.671177   25.562927  459.859442  146.888278   51.801989   25.155177   33.580338   17.714524    2.970713  365.035482   10.945679    7.409852    9.836877    2.295596    5.514193    3.128924    3.861097   26.488336  154.378109 1000.300138  125.635849   48.338176   13.911434   18.228289    3.725463   23.369869    3.675332   11.585170    2.372111    4.085944    8.094112  201.600367    2.095729    8.297507   57.455897    9.206499    3.559781    6.214125    6.799648   24.612695   11.058516   24.716194   13.596400   26.568432   68.954611   74.222997    4.429368    2.309774    4.976789   13.960649   41.544514    9.469471  221.209046  482.612303    1.054869    3.017339    6.983752   11.207581   25.200495    9.396843   55.848248   10.656199    6.006442   18.437791    9.711555    8.682963  623.025283   17.183268  116.187792  183.428742  798.198198    3.144694   12.996332   66.622320   11.815785  247.014638  128.280941    3.242275   74.397366    8.852548    3.535878    3.304794    2.640888  146.439399  129.962946   23.948223    9.649694   97.084534   59.888083  171.875935   32.336484  151.866351   51.724701  210.747091   85.517127    7.861727   13.587302   51.363904    9.456524   36.019642   35.241345    6.822445   44.683781   69.457550   10.387573   74.352236  203.610497    0.812036    1.369481   14.153944    5.991741  600.000000    0.619815   17.406675    9.803318   10.561173    7.113934   46.338162   34.572198   17.326164    5.609997   23.309002  115.615868   44.277167  183.076159   60.858898   49.089241    4.572367   26.477225   19.052007   43.354279    9.570408  112.202647  219.532354    5.191539   50.046077   31.760588   13.631355   12.163758   11.329181    2.316347   47.795321    8.317830   35.035693    3.821806   42.645143   11.950734    7.285673  147.385898    7.276325   39.801915    9.533664    4.060240    9.932545   28.210528  129.843358  125.965031   18.533779   58.741817   11.979197   15.919971   60.301246  115.371184    5.598188   43.355354    4.292462   12.825455   63.230228    3.100757   35.701459   46.648500    8.508565   99.476166   10.390771   71.661738   22.743669    5.715912   18.923151   14.948153  210.450242  198.835090   12.775612   11.818377  191.907461   36.135704    2.976371   19.041588   47.841740  120.678485    8.288736    2.388499    3.192229    3.728539   22.044884   17.720380    6.353485   26.281814   14.474028    1.546863   10.100892  974.000000
1380.311063  127.720622    3.704366   43.828385   48.971044   22.591197   91.417730    7.405941   14.578313   17.584530   15.171194    0.755254    5.461482   13.308782  161.077217   24.659660  411.287631  380.872775  468.610970   16.999380  292.230940   26.311722  466.541292  149.223656   48.537878   25.617483   34.202221   17.295326    2.901450  365.093581   11.033246    7.474724    9.971926    2.141306    5.565004    3.150820    3.892460   26.815145  150.933504  991.174890  112.152805   47.537218   13.670855   17.928440    3.767056   23.441521    3.689075   11.614003    2.377856    4.105618    7.962341  201.572646    2.069241    8.221620   53.801252    9.229854    3.560871    6.234073    6.869121   24.237031   10.880117   24.318721   13.795050   27.007009   69.476117   74.780383    4.442985    2.306218    4.970773   13.968692   41.942801    9.540027  222.661302  453.418140    0.990945    2.841923    6.860060   10.945392   24.624984    9.188243   54.690607   10.451056    5.895943   18.071212    9.493913    8.492388  614.901007   16.175296  107.646184  172.173028  752.661825    3.087042   11.603125   59.456840   11.618957  248.186256  130.245492    3.241558   74.197077    8.704128    3.309487    3.316251    2.658412  148.880147  132.079860   24.254168    9.754070   90.429924   59.170230  174.473609   32.808790  151.319384   51.434275  213.656155   85.077041    7.882698   13.676346   51.878055    9.534484   36.618503   34.657667    6.711311   44.668414   69.604688   10.418972   74.308740  203.546643    0.802294    1.349523   13.256033    5.853235  600.000000    0.604960   17.332564    9.643566    9.810643    7.152727   41.360507   34.130994   17.635973    5.678179   23.350131  115.401962   41.059059  170.778539   56.882022   48.943719    4.606026   26.811351   18.750797   42.564179    9.448216  113.675482  215.915135    4.841631   49.231199   29.715993   13.682121   12.214786   11.367762    2.324744   47.071736    8.197786   34.580104    3.672156   39.134897   12.142605    6.697763  140.631981    7.364079   38.863084    9.380495    3.993171   10.055648   28.621124  131.704530  127.635539   18.859843   59.710949   12.297945   14.214345   53.833592  102.921520    5.568734   43.984201    4.255116   12.672780   61.869309    3.034823   35.947153   46.736970    8.442634   91.249981   10.445398   72.025916   22.558532    5.757920   19.104490   14.699872  195.290994  202.876727   12.795841   11.632450  189.018236   35.535221    2.922151   18.727283   48.510677  122.606375    8.152351    2.232769    2.965426    3.368880   21.991418   17.414809    5.903609   26.085532   14.630044    1.436205    9.860480  639.000000
1459.856075  133.807323    3.685702   43.574887   48.455688   22.323129   90.799616    7.353986   14.336323   17.270886   14.987754    0.745827    5.730683   13.401136  169.322495   24.597814  414.601552  381.593622  474.160575   17.076564  294.165731   25.782843  494.253455  146.544322   47.433446   25.147626   33.687116   17.279669    2.898402  365.296331   11.511410    7.840390   10.431259    2.219377    5.735274    3.230208    3.998124   28.297550  152.057012  988.856750  111.528954   47.292664   13.606579   17.833476    3.715558   23.251418    3.785999   11.615462    2.403295    4.150796    7.922761  201.566019    2.056930    8.160747   56.015173    9.320229    3.570501    6.198715    6.989516   24.108348   10.822734   24.185858   13.567013   26.530831   68.267907   73.641662    4.427770    2.308235    4.984293   14.046835   42.343496    9.628943  229.365866  471.364616    1.033342    2.971281    6.829328   10.934376   24.592229    9.172591   54.549535   10.414640    5.871562   18.014178    9.478368    8.476617  619.366379   16.917243  105.666455  168.112251  733.546816    3.074351   11.537390   59.142060   11.559724  253.117911  133.852599    3.228712   74.087079    8.659788    3.439872    3.294753    2.714760  157.826641  134.673435   24.890108   10.036598   93.827797   62.956814  171.317762   32.336696  153.344205   51.435181  218.152380   86.517659    7.996806   13.834530   54.277533    9.723069   37.499175   34.487415    6.675194   44.937898   69.906388   10.383970   74.381880  203.530667    0.797190    1.342345   13.799738    5.846069  600.000000    0.604517   17.420532    9.592036    9.622866    7.087720   41.141021   35.325583   17.296823    5.589259   23.096406  115.501274   42.525801  177.284884   59.092370   49.125080    4.661091   27.222306   18.654107   42.387815    9.389915  112.021016  214.774798    5.028518   48.968314   30.950412   13.698413   12.233900   11.362356    2.321275   46.818681    8.151986   34.369080    3.806631   39.274464   11.980806    6.595636  148.442292    7.271722   38.826194    9.332516    3.973886   10.396114   30.264281  135.641057  131.706044   19.438756   61.243771   11.961099   14.133427   53.537047  102.436673    5.538047   45.034566    4.230285   12.646823   61.735584    3.027796   37.226977   46.786177    8.426396   91.668607   10.480145   72.970827   22.582649    5.784436   18.905440   14.627011  191.976728  199.368819   12.764877   11.567375  187.867023   35.365459    2.909787   18.629467   47.642526  120.267246    8.109747    2.320620    3.068434    3.480959   21.880636   17.335058    5.788345   25.869148   14.410732    1.481167    9.852860  485.000000
1601.173802  144.855927    3.695836   42.858026   47.977642   22.095344   89.528762    7.253519   14.307940   17.243997   14.979102    0.746021    6.192201   13.399439  174.717923   24.295930  404.440989  380.772279  466.129253   16.674308  285.914334   25.403384  527.332944  146.200664   47.421970   25.074949   33.472058   17.299117    2.902188  365.728506   11.665491    7.906494   11.409278    2.399493    5.981548    3.326944    4.139640   29.534428  150.798413  983.265343  112.523824   47.593396   13.686262   17.951336    3.696408   23.109581    3.628122   11.444321    2.415921    4.170458    7.956396  201.570412    2.059521    8.165971   60.056166    9.299433    3.540572    6.130515    7.089493   24.199109   10.883790   24.340958   13.525881   26.447178   68.282391   73.734842    4.361050    2.292226    4.962569   14.021881   42.189169    9.613983  226.924162  504.923849    1.105541    3.197809    6.866879   10.948062   24.632920    9.192033   54.724721   10.459847    5.902396   18.085009    9.497667    8.496169  627.569965   18.245149  105.779010  168.179880  733.720998    3.090011   11.641291   59.648544   11.632938  257.968906  138.292571    3.206803   73.491467    8.714704    3.662177    3.264187    2.779840  161.301578  136.531954   25.690526   10.432525   99.871116   65.917733  171.102270   32.065324  153.340208   50.984918  222.002506   87.966749    8.118336   13.913581   55.237521    9.925780   38.387698   34.647170    6.718367   44.556683   69.211635   10.195548   73.714633  203.550296    0.798661    1.345128   14.772244    5.854965  600.000000    0.605067   17.339933    9.655228    9.622683    7.035885   41.493312   38.273677   17.248736    5.571217   23.003940  114.398947   46.170022  189.047318   63.144759   48.738991    4.682469   27.417208   18.733921   42.612174    9.412055  111.211299  216.190777    5.357096   49.294044   33.200033   13.595743   12.163596   11.290931    2.304835   46.995851    8.179613   34.454343    4.034281   38.214200   11.896283    6.601162  162.161531    7.229408   38.872025    9.376383    3.988306   11.231761   30.758505  140.986916  137.649113   20.217571   62.927698   11.703937   14.260769   54.004651  103.211047    5.507120   46.174168    4.213345   12.578253   61.901700    3.036525   36.083358   45.632141    8.364904   89.442353   10.394263   73.237089   22.409677    5.754601   18.696259   14.702557  191.172270  198.205810   12.644766   11.639996  189.204499   35.516481    2.923825   18.741210   47.640574  120.329475    8.161466    2.473350    3.315370    3.754940   21.739070   17.413906    5.791916   25.894626   14.384127    1.585330    9.862321  400.000000
