Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 3430.328445  2548.415208    26.071983   320.486864   354.219843    54.378530   227.506324   413.224309   250.610936    16.876920  1441.439071   134.914904    21.957607   785.490915     4.942834   174.327805   787.649246   254.281198   119.355394     6.779900    17.325885   258.920642     7.301840    17.672990     0.783773     8.785614    11.543542     0.462843     0.518827  1284.059578   374.741217   551.145578    29.535222    32.971627  1422.871566   483.701580   748.200962   120.021223   463.604647   409.791051    26.555752    12.683988     3.784751    10.610512    67.918323   757.360734   580.288417   401.604301    30.991195   613.240547  1544.821105   413.242333    23.420646   247.529901  2281.757407  1597.518659  2315.154183   689.255766    79.570654    49.669861   707.563990   150.780083    48.455897     5.159327    47.002279     0.000000   134.261262   454.814162    21.452059   513.987276   229.044509     7.616076    83.700206 10950.634294    25.926898   115.982060    68.353957     0.760653     7.935837     1.416685     3.144457    13.409399    11.643237    10.274743     0.188792    16.243703  2973.419885   941.210977     4.812870    62.931801   364.696932    26.136177     9.278987    34.277380     4.160582   680.005640    44.428856   170.035740   347.119491     6.005340  4196.522764   545.558624   914.792742   119.933577    57.251759   765.363177  1288.118867  2827.714387     1.604392    24.221079    42.320850    73.992935   150.185396   118.173438   170.058964     9.643007    19.181993   408.758156  3318.456268   256.761336   991.651592   244.478699    34.691447    47.595689   462.553200    81.618654     7.004253   173.820982    16.921767  1327.994034     0.003505     0.000000     0.000364    16.199330     0.000000   673.529577   679.644408    65.435617     6.595640    83.460794   306.743911   137.102641    87.873332    71.773701  3790.997919  1439.317092   190.734543     2.220760   379.912655    56.920159    11.446844    28.287324    21.047812     2.489120   243.634379     5.370277   944.934036   584.266286   586.096092 18973.074896 15763.103712     6.922816    42.379572     0.150155     1.947250     7.807350    13.150808    45.525058   129.148481    52.857741     1.100603   263.460536   400.542404    12.421515   235.503042    35.946995    38.519027   171.850790    51.260074   246.410689    13.370963   137.447832   654.412307   310.642506   147.754483     6.409145    35.320358     1.150541     3.605238   329.315306     0.000000   289.829634   298.150551    25.681574  1735.006830   139.835960    55.726654   338.557260    19.443535     2.524822     0.000000   942.918432   214.019092    26.538715   177.989122   152.153586    73.791989     0.000000     0.000000     0.000000   834.508983   865.251683     0.000000   769.433812   153.824118     4.664582    52.260629     7.630291     0.880851     7.546771  9604.902884
 1508.400916  1807.860245    26.071801   318.979957    62.725383    18.275804    33.957705   412.943088   323.583348    14.174672  1788.928314   149.602101     5.505326   783.722317     3.708858   173.099218   193.208392   183.865791    24.183791     9.491243     0.000000   258.919543     7.281462     1.301155    12.745275     5.920120     8.577007     0.462828     0.518824   129.573651   234.851902   244.356428     5.173662   437.683666   385.163857   171.794441   224.449501   102.370871   229.219808   183.960720    22.341115    12.683775     3.784695    10.610429    61.706941   690.325924   428.354525   401.298053    30.665016   612.642686  1544.820351   413.242217    19.834691   129.364955  1859.171298  1596.853312  2314.812799   688.944875    34.692968    49.667575   707.563280   150.779239    43.534488     1.948117    27.318035     0.000000   134.075133   454.382553     9.907944   511.481159    99.990044     3.400180    28.700333 11084.666184    23.961804    51.601198    92.134956     0.760643     7.935807     1.416671     3.144329    13.409367    11.643216    10.274692     0.188778    16.243689  2067.286982   156.364040    31.132862   104.235843   579.240183    26.136166     9.267182    34.118514     4.160531   117.579532     6.964622   211.099640   433.553644     6.005301  4197.497064   545.393590   422.777126     7.182124    16.300703   335.087752   282.795777  2985.331559     8.758608     4.092725    22.062916    25.159989   249.776226    31.409353    51.920844     4.485561     3.289681    33.826374  1456.313887   204.161902  1051.448760   244.478514    24.291483    53.866370   462.155572    85.726294     7.004239   150.208901    16.921729  1290.763767     0.003498     0.000000     0.000364    23.558275     0.000000   754.244620   620.646104    65.069652    60.101842   136.732415   279.819597   168.521916   104.218422   356.735874  3881.601647  1465.451903   280.265333     0.982034   166.092746    67.905389    11.446684    28.287205     4.692519     2.488121   244.588036     5.370047   933.842600   583.947507   585.864897 26870.796914 15782.650776     6.920534    42.379240     0.149214    26.721037     0.764444    13.063813    70.745293    70.304090    44.148468     1.100568   263.459891   400.541119     0.000000    14.196218     5.151701     6.640610    27.117993    23.936775    27.137066    11.564572   136.539435   630.512279   382.402113    27.761606     7.854711    43.361348     1.150419     3.605231   238.113909     0.085272  3302.786960   103.061476    25.398110   405.105102   237.190244    55.598382    23.574800    19.442642    30.919225     0.000000   942.284311   214.018390    26.529824   209.000513   152.655661    82.010441     0.000000     0.000000     0.000000   113.925340    35.482380     7.900746   963.421682   153.822850     7.465464    42.542655     7.702461    11.383731     7.546764     0.000000
 2667.016997  1146.488337    26.071565   318.282725    30.919728    10.871039     1.615837   412.809422   162.043680     9.518259  1543.159255   143.167924   109.317550   783.006327     2.549934   172.553399   152.586978    14.314005    24.183791     2.711652     0.000000    15.290101     7.012632     0.624868    14.240156     0.000000     5.095499     0.462811     0.518820   133.217347   135.306683   147.198528     2.956428     4.575826   225.053297    90.741888   128.671864    72.582996   115.938296   162.649053    22.301839    12.683527     3.784629    10.610332    61.662544   689.266908   273.044962   401.019989    30.538407   612.392432  1399.946176   363.884430    19.834590   230.463293  1565.391214  1596.550055  2314.671568   688.806739    17.691372    43.735656   707.562435   150.778247    33.443625     1.496363    30.922706     0.000000   133.985622   454.211269     5.289399   510.487394    52.913211     1.729250    12.750272  9114.684234    60.900285   175.289941   105.875463     0.760631     7.935771     1.416654     3.144180    13.409329    11.643190    10.274632     0.324215    22.815261  1341.485541  2189.814746    26.290581    85.508399   523.085115    26.136153     9.253422    28.947621     4.160470    28.733362     2.514449   147.484641   294.584336     6.005256   113.083809   545.320210   227.969954    10.248006     7.501393   190.208796   177.601773   325.301917     0.059836     3.025788    13.122248    11.281682   211.837180    12.022029     6.988235     0.395494     0.800250    24.160697   826.975912    88.836766   991.645740   244.478296    14.886199    32.510828   461.967320    61.101755     7.004222   150.208850    16.921677   149.327938     0.003490     0.000000     0.000363    14.490975     0.000000   699.725513   620.321973    64.642718     0.210378    42.754482   279.736429   117.701242    70.864347    26.158981   808.521354   518.342909   173.608088     0.511765    87.972551    56.918087    11.446498    28.287045     2.761769     2.486957    34.033232     5.369779  1065.131366   583.723068   585.673013 26143.089086 15938.959186     6.917655    42.378813     0.147957   173.021500     0.753649     7.771881    67.910889   196.678661    26.273789     1.100528   263.459106   400.526945     1.009491    20.585441     2.188598     3.364448    16.104954     9.837902    14.537492    11.488419   135.478542   623.090240   261.602603    11.824704     5.352431    29.611289     1.975593     3.605224    18.555439     0.028370   484.181949    64.471512    25.211397   139.855309   169.006333    55.499215     0.000000    19.441574    13.102546     0.000000   942.002263   214.017559    26.519385   177.984773   152.655549    82.009553     0.140722     0.000000     0.000000    51.727237    29.842676     1.085159   655.707315   153.821325     6.697243    42.540669     3.854733     0.240808     7.546756     0.000000
 3386.940659  1950.122296    30.441524   318.600258    89.373600    23.356173    38.747274   412.860772    23.312975     1.764788  1549.074994   133.823102     7.453109   783.473666     9.787199   172.766425  1148.657458     7.668137   492.805430     0.775698   238.471080     0.000000    19.594173     1.923542    29.329029     2.725077     0.883569     0.917710     0.824684   522.822478   247.449803   404.193008    10.840052    26.884355   634.301958   255.778331   362.678374   220.515584   182.721707   279.495622    21.298919    19.830411     5.912499    14.857430    17.973312   753.544699    20.029454   401.019790    30.620750   612.562325  1777.561661   475.494425    19.995906   161.282555  1808.620714  1596.697384  2314.757510   688.860745    30.820830    55.988908  1029.900310   227.256374     5.608611     0.608367    28.770572     1.175401   134.025717   454.319178     8.300328   511.104640    90.404719     2.842399    44.098514 10817.396968    56.623424   174.653266    96.278038     1.291739     6.631767     2.266106     3.165764    10.817344    17.772572     8.409038     0.266794    24.802212  1678.719527  4879.018370    30.202293    98.650341   895.371316    20.878997     9.111026    80.139384     6.459329   205.942605    19.795310    98.188199   191.433733     4.889148   103.194094   545.348892   528.441646    68.834446    20.115747   529.094965   594.023735   199.102232     2.656123     2.585878    20.293752    37.466753    77.919067    38.597570   105.171011    12.099682   270.198554   571.283317  1916.969399   237.051464  1285.293623   334.849992    16.272728    21.379330   462.039483    47.785128    10.691227   161.792349    20.642758   146.132980     0.077316     0.000000     0.008062     7.691194     0.969388   679.841711   678.509404   134.695130     8.669930     4.889175   140.113690    78.566020    48.328650     0.998709   765.455035   599.568303    92.601305     0.835741   150.394930    79.387218    17.900372    36.408684     5.608685     6.247943    19.859023     8.726771  1136.609932   583.615729   585.600605 20724.757259 15829.524890     8.721460    51.152274     0.583130    96.562967    38.474279     0.857378    95.388050   168.555393     6.600335     2.153841   348.280274   448.642676    10.970675   129.051513    16.993861    22.495008    94.820259    37.421874     0.000000    38.408921   295.451214  1416.252053   172.032475    52.211281     3.518496    19.457666     2.497233     5.518431     9.940281    19.667586   151.750355   313.700673    25.102330   566.533614    70.800677    55.447608     6.967895    30.330320     0.000000     0.000000   942.112159   345.521325    45.053559   276.600412   439.450984   181.281717    20.840669    26.326635     2.819234    29.152215     0.000000     8.479251   426.425940   212.121823     8.704463    49.548382     0.731050     0.552532    11.597337     0.000000
 3272.293816  2301.608247    30.398573   320.242948   300.407884    35.826530   190.323946   413.209362   179.672694    12.016766  1712.491725   142.675211    73.574849   785.705151    26.596663   174.277931  1888.256433   205.530966   628.046440     0.451959   241.551557    15.290449    58.308387     0.587419    25.326573     0.913869     2.792738     0.371203     0.414101  1895.421755   678.574145   931.833799    46.268283    43.686615  1890.537798   657.525529  1005.146123   454.316678   504.169426   488.393161    30.319301    10.120547     3.019802     8.463621    67.465360   754.411481   475.622452   401.524768    31.015441   613.275725  1732.942892   472.318825    19.968159   111.398583  2044.342014  1597.505907  2315.163265   689.242152    85.664064    55.715014   957.117956   226.985880    30.161109     1.526403     5.593039     3.578250   134.252586   454.853547    22.913505   514.210733   248.269400     8.160989   103.948762 10390.952947     0.675353    63.455126    65.192894     0.607926     6.331572     1.130868     2.514096    10.694832     9.285830     8.195936     0.151697    12.954902  2608.494380  5424.564926    40.511143   149.376075  1619.853714    20.843206    10.770572   110.428599     3.319273   694.757689    67.793000   173.918123   363.815149     4.790081  3409.069257   545.551323   961.424499   200.216160    62.870547   807.371511  1542.872308  1783.157516     8.797604     3.231245    34.529872    90.078397   156.887574   127.895656   169.147818     9.589938    19.418464   965.167010  3487.638724   275.594045  1284.904525   334.774867    36.080218    49.431718   462.494015    83.086201     5.586099   151.079708    18.762639  1105.396488     0.003502     0.000000     0.000364    17.045543     1.679140   721.791717   678.773814   162.637963    22.109246    40.300696   306.054808   136.939988    88.930227     0.000000  2860.202635  1369.244674   203.130895     2.341894   412.490239    79.174128     9.133455    26.294545     7.384358     2.009621   195.981228     4.288250   908.801385   583.878184   585.800331 25377.109190 15893.997772     8.182903    51.058000     0.149121    83.614090    38.939480     4.250019   178.205712    70.669750    14.359606     0.882413   348.174870   448.613713    28.409592   366.714717    58.253116    59.353935   183.165146    63.262670     9.691760    42.472727   329.118637  1593.889852   322.026935   168.842017     6.602372    36.493527     0.924900     2.875434   266.174317     5.683752   304.430982   466.802068    25.346920  1890.370709   146.636597    55.569429   283.654838    26.296295     2.483222     0.000000   942.893262   345.393336    42.987049   276.197591   431.614896   156.081192     4.839070    10.171043     3.071961   731.614413     2.332797    18.560998   808.890262   205.599320    15.110984    42.787400     4.263915     0.969378     6.019532     0.000000
 4393.230220  2487.559511    25.856117   321.092961   400.939474    35.831071   279.797981   413.394469   174.947809     8.580806  1791.538351   151.260230   146.121758   787.255854    24.432477   175.064162  3231.923081   205.538586  1220.486926     0.000000   507.672112    10.194805    50.341858     0.417332    35.552597     2.794344     0.465626     0.117790     0.129524  2837.250838   765.341529  1145.746536    68.266937    99.555248  1954.219867   787.999121  1117.377843   453.752328   712.133247   758.832742    41.080242     3.162953     0.943710     2.642579    67.482995   755.031847   475.624223   401.735523    31.312512   613.859069  1732.946180   463.565808     8.169315    88.975994  2200.356097  1598.090349  2315.448553   689.440798   119.902740    55.724838  1071.240370   226.991764    10.879062     0.278420     1.677660    27.300090   134.387210   455.236882    31.885854   516.560835   350.240437    11.810318   146.191073 10877.509720     0.000000    34.545910    60.457322     0.190916     1.978157     0.353866     0.790659     3.337795     2.897687     2.559066     0.048418     4.042661  3007.626689  6340.835267    79.011227   263.991372  2271.169844     6.503044    12.629538   126.026605     1.036903   719.773988    98.963366   211.170836   457.505539     1.495428  3462.094833   545.657077   961.635193   232.530894    97.747756   809.948836  1543.345330  1886.688374     9.996464     2.304628    34.534148   141.307968   203.906833   208.084559   176.481224    12.802294   259.969000  1008.670703  3488.406731   285.166177  1284.917792   334.776010    51.943459    71.733813   462.747667   101.736322     1.743169   115.183307    17.067925  1134.649898     0.001764     0.000000     0.000183    23.441829     1.690534   764.400427   678.962461   192.969390    32.639119    44.974617   306.103693   165.185482   121.292335     0.071187  3370.054400  1422.144573   268.276354     3.456775   578.798988    67.347038     2.854406    17.912069     7.398328     0.652118   210.400578     1.343589   928.065083   585.024711   586.692629 17515.609829 15840.611327     6.864676    45.945608     0.122094   167.739411    58.368751     0.708396   483.327757    73.409769     2.393302     0.279750   348.178148   448.619288    41.712408   423.419842    83.111736    77.719318   185.075185    78.144863     5.815357    50.171758   409.570972  1836.099505   401.694498   252.091175     8.352611    45.919206     0.295677     0.897431   266.186840    21.364597   389.602969   721.864086    26.387894  2262.220397   191.942624    56.089247   373.079785    30.171234    56.607194    40.491305   943.302162   345.397662    43.046198   276.209045   485.609783   156.086962    27.331074    37.690420     4.531886   735.887655     0.000000    32.894552  1008.775822   212.089777    36.259094    21.854365     3.044587     2.025725     1.879109   648.377304
 4251.019747  2195.958993    17.709533   491.247055    20.407999     2.973714    26.839386   571.446862     0.000000     0.000000  1725.949973   142.584426     1.522196  1197.026412    18.016824   266.988271  1891.623294    25.393446   628.491688     0.000000   233.593030     6.117660    39.237787     0.000000    68.190666    60.669385     0.000000     0.117810     0.033875   640.889451   361.172550   577.095081    16.412970     2.636019   976.381356   375.220851   558.304442   283.789590   398.926939   781.327924    66.307514     2.966726     0.246657     2.642695    20.808988   753.650597    52.905752   613.197899    47.145794   934.804611  1353.067431   361.947302     6.523878    71.828957  1990.198391  2435.702970  3529.645574  1051.142577    57.034980    27.821082   957.124336   204.265817     0.000000     0.000000     0.000000    36.285755   204.937691   693.120473    15.982513   782.416878   173.452682     7.746893   133.133224 10849.461613    10.159845   278.718802    31.708693     0.050079     0.516913     0.092577     0.207628     0.871512     2.897717     2.559136     0.048437     1.055456  2399.670867  4610.384377    81.537752   279.039054  2280.244793     6.503060    44.921025   151.392576     0.270937   522.113542    47.126480   137.406643   296.350403     1.495482  3758.303292   831.926181   864.715003    99.711135    72.165229   805.036855   886.115657  1923.441970     5.858104     0.000000     1.196785   112.355326   129.491794   140.934381   211.503534    77.218600   327.686393   887.366050  3022.039477   269.982406  1448.188274   304.544695    41.679767    56.757033   705.779869    88.882957     1.743189    47.562424    13.103775  1126.616345     0.001773     0.000000     0.000183    16.812479     8.100266   736.472521   678.540524   214.357253     8.812603     1.558418   159.469394   112.308118   104.386078    27.803831  3071.286829  1440.958074   158.093921     2.561100   275.629873    56.362906     2.854628     5.905007     0.257169     0.653515   211.682915     0.351875   937.503547   627.170820   628.222166 16486.324021 15951.986614     6.163861    34.613590     0.072562    95.619228    37.654030     0.000000   483.730169   239.198855     0.000000     0.279796   303.494241   448.455569    11.529256   174.260810    39.645321    43.077779   152.091749    54.362322     2.907838    54.710330   466.951886  2084.893773   247.287172   110.161815     5.793429    30.372358     0.295842     0.897439    34.013431    14.751305   227.700303   465.553141    31.338431  1177.062897   114.126082    61.401897    26.129286    26.304311     2.757140     2.843748  1438.258872   297.722824    36.091376   240.771141   386.688433   150.605420    38.172466    62.399374    24.001562   740.297536    59.593296     0.699134   624.486242   224.644406    36.697474    13.502539     0.000000     0.151959     0.490727     0.000000
 2691.213021   542.217523    17.709735   490.746280   125.455701    25.632118    41.779126   571.363230     0.000000     0.000000  1325.650488   112.762082    22.904769   933.540063     0.155090   125.314558   215.532120     1.534528    71.838870     0.000000    27.079819     0.000000     0.231617     0.000000    31.951683    50.131530     0.000000     0.371316     0.414123     0.000000     7.719972    21.260406     0.363879     8.804566    72.265290    29.199381    41.372175     0.000000    67.662160   337.123476    32.242563    10.122259     3.020254     8.464289     3.375598   304.416777     5.722999    28.472703    36.585097   794.432605  1179.408350   315.493107    11.818318    99.529218  1005.467686  1183.774733  2094.918148   460.007916     5.926633    27.823320   957.125573   204.267365     0.000000     0.000000    10.068102     0.877853   189.115184   692.572595     2.278042   779.120171    24.419235     2.396151    53.468328  4645.070153    14.240965    63.723134    60.457501     0.608005     6.331808     1.130981     2.515102    10.695090     2.897730     8.196340     0.151808    12.955015   795.510726   876.411471    10.716261    93.819492   836.248860    20.843295    11.203860    86.138691     3.319689    51.444749    12.981337    57.147921   109.075059     4.790392    52.142371   363.991880    70.545102     0.568574    27.696773    53.443963    57.452493   184.400909     0.000000     0.000000    19.893870    38.680717    42.599289    44.736443    16.152138    77.442113   332.700781     1.611360   255.959930    31.100681  1331.013918   304.544981    16.585119    22.716302   705.540062    45.389976     5.586211   130.175822    13.103816    76.874005     0.003554     0.000000     0.000367     6.291386     1.701866   607.489784   363.583240   148.735812     2.672408     0.000000    29.710863    65.465089    52.690849    15.424218   317.956567   289.231156    42.269009     0.964465    30.828225    56.364317     3.855573    11.257737     4.209723     2.017637    18.058597     4.290095   908.960943   559.226251   628.763187 22996.438912 15947.379436     6.167053    38.013892     0.097932    85.998358     9.763887     0.000000    57.541717   191.840490     0.000000     0.882680   303.495303   425.494369     0.000000     1.171552    12.009345    11.148217     6.665621     9.085310     0.000000    41.063181   326.636087  1487.150627    92.618836    10.329761     2.546082    12.570576     0.925856     2.875484     1.989552     3.563074    64.025731   105.713979    24.546568    50.847018    31.856328    61.705729    26.130276    26.305889     0.000000     0.000000   699.467214   297.724040    36.107234   240.774911   290.531347   111.102430    28.227652    40.041621     4.541238    29.545448     8.380306     1.301351   214.414893   216.189736     6.301347    36.875031     0.000000     0.518451     6.019587     0.000000
 3332.970323  1065.023760    17.709631   490.734382   109.828258    25.631548    37.597200   571.360787     2.523889     0.406803  1324.844709   111.221518    23.005525   854.854324     0.000000    23.385656   372.536642     0.000000   180.438261     2.629232   113.049889     0.743941     0.000000     2.145726    31.612713    50.062556     0.000000     0.371307     0.414121     0.000000     7.719995    21.586611     0.375335     5.294392    72.135370    29.125806    41.279068     0.000000    65.388029   273.787287    32.075029    10.122110     3.020215     8.464231     1.218087   266.938383     2.861502    23.067386    33.523549   729.627370  1179.407868   315.493026    11.818249    99.528996   272.900622   730.290557  1898.916122    93.428025     5.928954    27.822132   957.124874   204.266474     0.000000     0.000000    10.067635     0.000000   174.225807   692.353806     2.148004   778.850145    23.173602     2.352465    53.042630  4492.540900    14.263183    34.765112    60.457470     0.607998     6.331788     1.130971     2.515016    10.695068     4.692242     8.196306     0.151799    12.955005   331.594633   250.354900    10.542709    91.682495   776.709087    20.843287    11.166021    85.824519     3.319653    51.512797     8.869029    54.923494   102.842614     4.790365    28.679327   363.991682    61.730645     9.543241    27.732579    52.751386    57.205893   143.739025     0.000000     2.541232    19.893392    38.365264    41.399479    44.373468    16.172015    76.992586   297.626756     0.000000   223.967674    26.863311  1297.088015   304.544816    16.322910    22.745374   705.511500    44.641313     5.586201   130.175788    13.103795    52.849170     0.003549     0.000000     0.000367     6.174250     1.699883   520.019986   299.416012   146.596804     0.920511     0.719980    15.308472    46.844575    51.862019    15.973187   269.526914   144.758792    40.924060     0.950888    28.781502    56.363552     9.134620    11.257678     1.900330     2.016941    12.912004     4.289935   922.226113   559.246548   628.787728 17230.137016 15949.315851     6.165359    38.013683     0.097333    55.808523    14.699560     0.000000    57.487972   257.027496     0.000000     0.882657   303.494719   401.102597     0.000000     5.030222     8.181068     7.704278     6.113551     7.063048     1.266422    40.922309   324.982615  1468.491352    86.544692     9.850466     2.412951    11.863381     0.925774     2.875480     0.000000    10.007752    61.785000   125.865708    24.581208    50.865254    30.806831    61.739602    25.594680    26.305002     0.000000     0.000000   629.671396   297.723347    36.098117   240.772844   290.531215   111.101655    28.036497    39.526624     4.539599    11.535008     6.024373     1.318127   200.877675   217.624008     6.240688    36.873582     0.265191     0.317779     6.019582     0.000000
 7404.041772  1645.816985    17.709688   490.444707   109.826512    23.079543    17.185693   571.292196     7.569212     0.405898  1340.635085   127.472759    15.449103   933.541808     6.895397    23.383258   786.056928     0.000000   527.528473    67.759231   261.026592    35.918628    17.477379     6.409726    37.181827    60.785164     0.626786     0.371318     0.414123    64.981019     7.720011    71.194600     0.000000     4.350535   109.468880    38.444550    62.624427    19.192115    72.538594   279.465711    32.281404    10.122293     3.020264     8.464302     1.218075   232.137768     0.000000    18.262163    36.585831   794.433986  1179.408278   315.493080     8.169543    99.529015  1019.422226  1065.487246  2094.917867    81.133849     6.437805    27.822970   957.125617   204.267512     0.741101     0.412660     5.033824     1.293647   160.044494   692.572203     2.277811   779.121657    25.736584     2.446687    54.649301   706.517844    14.299915    34.919177    60.457508     0.608007     6.331812     1.130983     2.515122    10.695095     9.286005     8.196349     0.151811    12.955017   283.735331  1081.972546    32.146424   115.862592   819.818296    20.843297    11.212345    86.210136     3.319697    55.093798     9.534635    54.920773   108.940186     4.790399     1.029579    64.024120    90.589246    17.889419    28.763597    85.995642    99.299256     2.741955     3.135256     6.583769     7.181020    39.542718    43.748642    45.917166    17.065267    76.514002   320.920701     4.834771   328.654589    40.044563  1344.402204   304.545013    16.870446    23.449853   705.479470    45.183521     5.586213    77.022581    13.103803     3.701711     0.003555     0.000000     0.000367     6.421742     1.702310   607.025195   209.130387   158.232770     3.738125     2.157910    15.308453    46.834459    52.414251     0.024470    14.452418    16.395356    43.638564     0.982146    32.992176    56.364184     9.134757    11.257700     1.544052     2.017804     0.181811     4.290133   248.536507   566.552900   628.697951  6205.249917 15958.492804     6.166545    38.013809     0.073189     0.444181    26.647940     0.385742    95.872177   906.257924     0.823637     0.882685   303.495253   425.549254     3.215839    21.862880     8.801388     8.847673    12.597148     8.903136    35.156791    41.094006   326.982527  1488.271434    89.547783    12.058538     2.473853    12.199903     0.925876     2.875485     0.000000    21.526093    66.292184   147.077800    24.824483    62.898618    31.835583    61.701477     1.103495    26.305921     2.808372     2.898854   438.201184   297.724120    36.108698   240.774682   290.531365   116.967263    32.883258    50.543840     4.541585     0.725801     0.000000     2.256345   214.366652   216.205969     9.216215    21.858958     0.793189     0.084387     6.019588     0.000000
