Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 454.912084  196.442841   -4.366113  -38.552889  -51.002303  -10.546986  -28.877554  -31.668521  -64.303873   -4.293565  144.044834   11.933921  -22.340375  -81.853364  -13.810376  -21.157749  105.272459  -32.103782   37.314983   -5.057622   11.497852  -40.547259  -34.742930   -2.123506   12.340116   -4.360695   -3.089076   -0.449348   -0.304970 -196.495337  -66.261126  -71.492252   -5.857617   30.306020  -85.480171  -32.429789  -47.443865  -39.851387   -7.288946   -0.116965   19.259686   -7.148475   -2.127877   -5.728589   -5.854379  -65.100561  -62.147723  -42.551290   -3.480902  -63.123538 -188.203232  -50.339235   -3.376509  -39.801411  162.904891 -164.018564 -236.447970  -71.112443   -1.945609   -6.293468 -117.547586  -35.273949  -13.699762   -0.993007  -12.713015   -0.072873  -14.287903  -46.632459   -0.449409  -54.305507   -4.523586   -0.090074   -0.109178  533.835291   23.882551   52.527762  -27.923416   -0.527692   -4.426140   -0.847153   -2.283478   -7.102258   -6.129109   -5.560569   -0.211743   -8.556511  176.411774  252.067275   23.754061   38.521308  203.092252  -13.640420    4.424418   14.593445   -2.299225   -5.917613  -16.515121   -3.839296   -5.132170   -3.225965  314.831495  -56.070120  -46.547705  -23.459683   -0.420803  -41.287106  -71.580795  167.481779   -6.048138   -3.397476  -10.362381   -0.020595   -1.979742   -0.098800   -1.117503   -0.021490   -0.083078  -64.751268 -168.924400  -17.439756 -139.424658  -60.137659   -0.187218   -0.193112  -48.546286   -0.278748   -3.686936  -23.586058   -3.719981   94.476402   -0.072110    0.000000   -0.007494   -0.110076   -0.409141   73.276652  -58.491843   13.575181   -4.747066  -16.356467  -26.417573   -3.128507   -0.016830   11.681617  194.904057   76.073674   -2.795870   -0.018211   -7.806252  -10.622750   -6.452335   -8.117735   -3.571381   -3.771553   18.657229   -3.359569  110.477964   -7.362627   -7.401668  -39.774198  -30.693350   -1.763143   -8.766873   -0.411948    1.947250    3.108640   -4.192677   25.031398   35.799581  -16.173298   -1.040997  -40.126881  -48.093397   -2.861131  -19.474857  -15.370625  -14.401032  -10.775836   -9.627916  -36.854492    4.189680   20.470261   54.289678   -5.593001   -3.101700   -0.073519   -0.515899   -1.333952   -1.912610  -42.836617   -6.574611   -4.741639   31.405008   -0.202010  -24.773323   -2.120637   -0.646504  -30.418287   -3.379909   28.701046   -0.118001  -97.921023  -39.321387   -7.801919  -29.912340  -33.408397  -17.337184   12.042680   13.226495   -1.034276   61.930579   76.652451   -0.000000  -12.811105  -21.751329    2.691980   -7.015058   -1.710252    0.707639   -4.047294    0.000000
 375.194697  170.386479   -4.365867  -38.537717  -25.829387   -7.623382  -13.794793  -31.666020  -79.732233   -4.699449  150.249183   12.000147    6.201768  -81.850793  -18.715638  -21.150140   44.104425  -26.688827    0.000000   -5.501686  -39.632081  -40.540624  -45.536280   -2.039372   11.600208   -6.233226   -3.857220   -0.449048   -0.304912  -85.032682  -56.293452  -53.552734   -3.786825   68.818958  -53.019453  -22.282118  -30.622746  -38.194423   -5.129258   -0.079798   17.854440   -7.144091   -2.126715   -5.726877   -5.843270  -64.990650  -52.018516  -42.547747   -3.480592  -63.122619 -188.202623  -50.339141   -3.366092  -31.911212  151.166716 -164.017532 -236.447104  -71.110459   -1.280654   -6.291624 -117.546623  -35.271631  -15.166511   -1.045102  -12.597076   -0.000000  -14.286433  -46.631850   -0.304771  -54.301628   -2.983642   -0.060369   -0.064616  572.824451   23.572293   44.708038  -32.678418   -0.527482   -4.425519   -0.846858   -2.280852   -7.101590   -6.128666   -5.559518   -0.211451   -8.556218  157.671687  158.193347   23.784943   38.300444  202.122041  -13.640191    4.419734   14.554048   -2.298160   -2.452695  -21.037230   -4.280595   -5.746276   -3.225166  315.527489  -56.069080  -34.821136  -23.440211   -0.224747  -31.739463  -41.526766  178.072104    4.383302   -3.311139   -9.267574   -0.012178   -2.562020   -0.051075   -0.616804   -0.014653   -0.034434  -17.707175 -124.044916  -17.852295 -143.156113  -60.137022   -0.158415   -0.208225  -48.542625   -0.288633   -3.686648  -23.526853   -3.719894   94.499812   -0.071974    0.000000   -0.007486   -0.133799   -0.408218   73.636857  -58.404786   13.523321   10.837426  -23.227007  -26.376404   -3.471879   -0.018588   28.996352  209.671960   80.950687   -3.398428   -0.012141   -5.148804  -11.464579   -6.449048   -8.117038   -3.261749   -3.750993   19.056644   -3.354841  111.934977   -7.362627   -7.401668  -54.017516  -30.728669   -1.759531   -8.766251   -0.409366  -10.205555    0.760944   -5.399618   25.082887   34.559718  -17.845744   -1.040290  -40.126123  -48.093114   -1.504961  -10.037922  -19.834708  -18.420865   -7.179114  -11.535104   -9.442093    4.003972   20.375408   53.391745   -6.208744   -1.334452   -0.081613   -0.572695   -1.331447   -1.912479  -35.826850   -6.605518  -11.219181   17.252947   -0.202010  -11.927896   -2.767611   -0.646504   -9.031275   -3.378697   26.266885   -0.000000  -97.917250  -39.320275   -7.781962  -32.121519  -33.458399  -18.155623   -0.000000   -2.012667   -1.033517   16.719678   15.534886    5.852073  -14.344057  -21.750025    2.689276   -6.980217   -2.063232    1.852849   -4.047148    0.000000
 473.386105  123.555320   -4.365546  -38.524734  -17.707674   -5.877166   -4.377474  -31.663671  -60.683727   -4.034008  142.710723   11.847825   60.496159  -81.847117   -4.488258  -21.143042   39.192960   -6.850500    0.000000   -4.145559  -39.547677   -9.704577  -11.458331   -1.955013   12.335387   -2.283669   -3.033332   -0.448695   -0.304843  -76.279977  -40.019253  -38.969549   -2.169268    6.265846  -38.681049  -15.617817  -22.133372  -27.809795   -3.644473   -0.057936   17.828466   -7.138980   -2.125360   -5.724883   -5.842339  -64.985918  -38.513659  -42.536306   -3.479919  -63.121336 -179.679920  -47.435784   -3.365877  -42.019293  133.305048 -164.015060 -236.446137  -71.108539   -0.911235   -5.942836 -117.545477  -35.268911  -13.612743   -0.960004  -13.299700   -1.674969  -14.285139  -46.631215   -0.222121  -54.297560   -2.165546   -0.043120   -0.043448  531.543058   30.212186   61.523800  -35.425891   -0.527235   -4.424789   -0.846511   -2.277774   -7.100810   -6.128149   -5.558290   -0.244033  -10.197934  124.841909  364.686393   22.151064   35.767612  194.903638  -13.639923    4.414274   13.801469   -2.296918   -1.206882   -3.727236   -3.574517   -4.737388   -3.224235   46.849854  -56.068041  -25.117925   -6.761044   -0.153019  -21.510432  -30.659510   54.772060   -1.546161   -3.151616   -7.158121   -0.008238   -2.362382   -0.031817   -0.224952   -0.004326   -0.016943  -16.086607  -91.123324   -8.777835 -139.418638  -60.136276   -0.124812   -0.162885  -48.539662   -0.245140   -3.686313  -23.526761   -3.719778   24.913526   -0.071815    0.000000   -0.007476   -0.105331   -0.407143   70.966143  -58.403257   13.462820   -1.197069  -13.761457  -26.374964   -2.899592   -0.015448    8.893858   98.850842   49.730353   -2.675358   -0.008792   -3.737035  -10.619471   -6.445213   -8.116098   -2.799818   -3.727038    5.699651   -3.349334  119.682488   -7.362627   -7.401668  -51.621015  -30.943731   -1.754974   -8.765453   -0.405917   28.849821    0.750198   -4.151411   24.723738   50.164866  -13.632592   -1.039457  -40.125200  -48.092761   -0.918866   -6.774484   -3.626698   -3.666753   -3.716892   -2.623536   -7.502690    3.988863   20.264633   53.011752   -5.131193   -0.865591   -0.067448   -0.473302   -1.528773   -1.912325  -10.138911   -6.569503   -6.136239   12.871326   -0.202010   -6.973232   -2.336295   -0.646504   -0.000000   -3.377249   13.102546   -2.501327  -97.913588  -39.318961   -7.758531  -29.906440  -33.458146  -18.153630    0.140722    0.000000   -1.032630   12.069926   15.220836    1.123865  -11.825635  -21.748456    2.587770   -6.976631   -1.609559    0.175571   -4.046976    0.000000
 456.417633  167.695578   -4.621611  -34.235251  -38.540020  -10.984281  -19.352850  -30.931160  -42.844533   -3.297498  136.881434   11.123186   13.664193  -80.354210   -4.634185  -18.633060  127.016228   -3.927755   84.024167    0.774209   44.806816   -2.130001  -11.156863   -4.009707   12.131430   13.345808   -2.979489   -0.654952   -0.378173 -116.048550  -46.545947  -53.724499   -3.084390  -13.580699  -55.344293  -22.336780  -31.661845  -38.702961   -6.155979  -10.428211   10.654459   -8.691011   -2.584124   -6.452007   -3.566836  -73.273412   -6.833968  -41.379171   -3.210052  -62.599393 -198.034366  -52.964243   -3.921760  -42.841043  143.488301 -163.108042 -236.079604  -70.474279   -1.269047   -6.751017 -137.011025  -41.386099  -10.341903   -1.204865  -17.224170    6.910982  -13.842321  -46.383914   -0.320082  -52.597963   -3.256121   -0.144300   -2.269875  539.947330   30.894827   63.873624  -31.480654   -0.698752   -3.925039   -1.058157   -2.505236   -5.954051   -7.206244   -4.774898   -0.284696  -10.064153  133.723124  555.691332   16.201559   23.672793  170.206605  -11.241831    3.645029   13.644988   -2.769496   -5.440970   -4.497534   -2.946466   -4.462745   -2.747513   47.628272  -55.726101  -33.688035   -9.816941   -1.464856  -30.888715  -46.930115   39.286746   -1.706267   -5.304269  -11.806149   -1.553999   -1.897565   -1.994301   -1.618261  -12.607181  -21.420032  -76.711563 -122.222540  -12.347919 -155.001751  -67.412083   -0.572092   -0.818537  -47.517016   -0.887736   -4.334775  -27.786317   -3.967233   24.393368   -0.127944    0.000000   -0.013313   -0.239199    2.417951   67.853584  -65.658802   13.712958   -2.231758   -9.034908  -20.232346   -2.554852   -1.068066   -1.108233   84.738792   49.769302   -2.423031   -0.051716   -5.160451  -12.212914   -7.845386   -8.854175   -5.265893   -5.928224    4.355145   -4.273292  124.486032   -7.489599   -7.511325  -43.032926  -30.834451   -2.258456   -9.364266   -0.727032   23.233055    6.735156   -3.507760   25.074538   41.374268  -13.037302   -1.508033  -44.911770  -50.000703   -1.772520  -12.340940   -4.230139   -4.319931   -6.709937   -3.533574   -1.493556    4.815446   21.606437   62.869557   -4.210778   -2.214678   -0.089381   -0.492246   -2.013250   -2.257812   -5.477757    4.664628   -3.506610   31.742052   -0.297821  -14.853739   -1.717454   -0.697587   -7.798514   -4.158615   -2.971589   -2.928761  -96.569835  -47.951908  -10.656616  -36.171657  -52.836910  -25.382637   10.955940   14.364792    6.792799   10.277248   -0.286103   -2.943630   -9.724039  -24.974802    2.213071   -8.817949   -1.395119   -0.298384   -4.804925    0.000000
 460.742368  191.381342   -4.793409  -34.241892  -61.829774  -13.308967  -34.290477  -30.932245  -87.703648   -6.145985  139.577108   11.147721  -35.215162  -80.357852   -8.539813  -18.637642  166.588617  -26.588259   97.482686   -1.632995   45.488232   -7.221585  -21.783496   -2.789633   10.846908   10.700951   -3.994332   -0.535740   -0.310987 -232.982005  -83.711739  -88.610744   -6.593069  -20.899920  -97.381276  -37.186061  -54.207776  -62.630824   -7.626397   -0.121337   11.349772   -7.180376   -2.133832   -5.628896   -6.745196  -74.978743  -55.037782  -41.389743   -3.210760  -62.600910 -201.874966  -54.453824   -4.091965  -40.382010  158.251216 -163.110251 -236.080384  -70.475285   -2.019493   -6.862799 -137.474999  -43.254860  -18.379012   -1.374630  -12.045317    7.253454  -13.843113  -46.384420   -0.464905  -52.602360   -4.716079   -0.093907   -0.114748  530.102515   20.499122   47.678801  -28.183336   -0.573402   -4.409498   -0.870765   -2.528187   -6.903410   -5.938836   -5.464579   -0.260651   -8.291221  168.829650  615.785979   17.352554   28.030405  225.799818  -13.155391    3.595163   15.560457   -2.286602   -5.995477   -6.818288   -3.883426   -5.263764   -3.160955  290.875746  -55.726619  -48.506141  -16.625580   -0.444713  -41.482387  -78.052980  138.728228   -2.866399   -4.506642  -15.133243   -0.021490   -2.029652   -0.103824   -1.117503   -0.021490   -0.084171 -105.112602 -175.969548  -14.846519 -160.070337  -70.901214   -0.193619   -0.199829  -47.518875   -0.284679   -3.572585  -28.196882   -3.989498   89.167238   -0.104349    0.000000   -0.010819   -0.113871    2.365616   68.472045  -67.314719   14.797127   -3.846087  -18.630954  -30.407544   -3.128507   -0.017206    0.888810  172.542483   75.254074   -2.892279   -0.018839   -8.138432  -12.629672   -6.475527   -7.935602   -4.993823   -4.980408   17.070753   -3.543143  112.134905   -7.362627   -7.401668  -51.323878  -30.929501   -2.146435   -9.772543   -0.599726   21.226954    6.827770   -5.411727   31.754284   29.713098  -17.716568   -1.233988  -46.477241  -51.553310   -3.046433  -21.274423   -6.657770   -6.885222   -9.907642   -4.795840   -5.368238    4.959996   22.669459   66.766255   -5.695624   -3.318097   -0.074868   -0.525365   -1.655604   -1.860162  -34.819248    2.829196   -4.861176   39.386070   -0.202010  -25.874359   -2.174552   -0.646504  -32.402394   -4.005642    6.488189    3.965150  -96.572283  -49.732772  -10.367043  -37.312038  -54.142843  -24.609167    6.288515    9.583222    5.795290   59.712877   11.073951   -5.069597  -13.139594  -25.366473    2.738642   -8.427202   -2.329696   -0.468997   -3.956472    0.000000
 535.129479  196.509425   -4.605082  -34.281543  -77.176875  -15.511479  -44.270904  -30.939283 -102.524515   -6.656376  136.302636   10.898631  -57.991184  -80.373415   -6.188018  -18.661632  225.865127  -26.609496  143.977465   -1.200292   71.752994   -6.229997  -14.400482   -4.085235   10.613837    7.446085   -4.302110   -0.563266   -0.255358 -302.136237  -99.037436 -106.117493   -8.301313  -35.874975 -106.889939  -43.122161  -61.134201  -71.429160  -15.112105  -40.843542   11.235680   -5.702236   -1.689844   -4.275782   -7.189579  -79.784544  -55.041448  -41.400983   -3.213684  -62.607186 -205.824368  -55.046814   -3.463107  -44.070100  160.672586 -163.119202 -236.083934  -70.481362   -2.630905   -7.113070 -147.834624  -44.607951  -17.354768   -1.460117  -14.188313   11.443265  -13.847348  -46.386826   -0.705875  -52.621247   -7.214374   -0.456916   -8.800305  542.221697   -7.950163   34.674035  -29.114504   -0.526956   -3.455037   -0.725591   -2.387135   -5.127469   -4.380085   -4.156928   -0.284768   -6.117533  178.922154  650.187463   19.875776   35.003430  257.443599   -9.602446    3.516798   15.812686   -1.780496  -14.470601   -5.090879   -4.410022   -8.373056   -2.387338  285.878241  -55.729896  -52.585706  -15.841925   -5.289144  -44.567462  -84.513112  141.427949   -1.996423   -6.098374  -17.837605   -6.085302   -4.100119   -7.727340   -3.963179  -12.954233  -21.448267 -107.754346 -190.775056  -15.478432 -163.515531  -73.145381   -1.947134   -2.907204  -47.528547   -2.905770   -2.634916  -28.087348   -3.950841   88.352005   -0.134601    0.000000   -0.013942   -0.759342    2.115147   67.218640  -71.514883   15.542419   -4.034094  -22.607504  -32.323226   -4.156656   -4.114378   -0.416205  188.043195   76.814090   -5.129934   -0.179690  -10.652726  -12.187445   -5.138622   -6.930605   -6.472168   -5.795794   17.390969   -3.073256  106.715955   -7.853457   -7.824106  -37.524947  -30.913979   -2.327786   -9.665018   -0.777529   25.705448    8.787963   -5.537293   53.722125   28.031692  -17.849333   -1.287581  -47.531436  -52.559878   -3.604818  -23.744395   -4.834452   -5.100893  -10.411858   -4.165795   -4.411060    5.177708   24.640753   70.718289   -6.570542   -5.505992   -0.216006   -1.002862   -1.824193   -1.383790  -34.854151    4.927392   -5.805174   50.519362   -0.574975  -31.087897   -3.281782   -0.844846  -39.692101   -4.409442   18.333505   15.753089  -96.585115  -50.938030  -11.552190  -38.293153  -58.299804  -25.306816    9.985268   14.122073    5.816919   58.460981    7.282140   -7.193957  -15.430072  -26.323295    4.214905   -7.646995   -2.586300   -0.736628   -2.977550    0.000000
 527.699190  181.859721   -4.249767  -36.806752  -42.867514  -11.810780  -27.191318  -33.194929  -70.487458   -5.335563  128.127728   10.205864   22.663163  -86.272221   -6.970018  -20.037384  188.389931   -6.070612  114.000733   -0.860198   54.252882   -4.686223  -16.740409   -5.780229   12.763028   16.044726   -0.000000   -0.813698   -0.296346 -221.117876  -89.113951  -94.988884   -6.319269   14.317780  -92.095711  -36.633322  -52.680124  -70.300098  -12.952007  -46.626160   13.754777   -7.500415   -1.902217   -5.605481   -4.979381  -86.169294  -10.665933  -44.440572   -3.450510  -67.200324 -193.105906  -51.637958   -3.902508  -49.827940  151.233332 -175.083489 -253.395428  -75.651058   -1.848437   -5.947663 -148.048834  -45.791679  -16.959649   -1.839305  -13.190910   10.518560  -14.864027  -49.788752   -0.519740  -56.486169   -5.543093   -0.439414   -9.689853  548.846446   13.302662   52.787492  -26.200369   -0.665434   -3.850610   -0.852341   -3.070763   -5.431330   -5.676725   -5.451353   -0.415359   -6.436377  160.833959  485.170980   18.096360   36.107586  253.433423  -12.394137    6.043743   17.136174   -1.973951  -13.333771   -5.837398   -3.535031   -6.997262   -3.122852  292.274356  -59.817092  -54.349199  -14.641475   -5.393909  -47.733524  -75.978563  141.743337   -2.316416   -7.755925  -13.262132   -6.822041   -3.541827   -8.083374   -3.952078  -12.648650  -19.778375  -80.056331 -194.829707  -16.657496 -180.418600  -75.229193   -2.041503   -3.061108  -51.016553   -2.888855   -3.414984  -25.584683   -3.774114   86.390564   -0.203208    0.000000   -0.021035   -0.744593    3.661835   62.749074  -77.091085   16.254715   -3.391718  -16.346665  -26.630353   -3.400418   -4.197442    7.413907  181.104171   77.507429   -4.333983   -0.173952   -7.580440  -12.254685   -6.844537   -5.152989   -6.777497   -8.599809   17.136891   -3.728021  101.311067   -8.057458   -8.015473  -35.503683  -30.903622   -2.903098   -9.256664   -1.179109   17.143263    7.947177   -0.000000   49.943351   45.239205  -11.595812   -1.856680  -47.137501  -54.850291   -2.815390  -19.620315   -5.578306   -5.858297  -10.603395   -4.629978   -3.193857    5.324348   26.274039   75.450719   -5.137494   -3.994388   -0.183735   -0.844627   -2.667050   -1.799286   -8.293657    5.607349   -4.453700   44.157349   -0.594037  -23.104265   -2.658920   -0.863924  -18.727809   -4.538751    2.738124    2.824046 -103.670644  -50.501799  -13.695719  -38.310035  -55.208531  -26.499845    9.505440   15.512851   10.690811   57.372025   13.153282   -3.302849  -12.128547  -28.376232    4.024778   -8.225583   -2.221991    0.358979   -3.194975    0.000000
 443.447530   80.286435   -4.036109  -36.838089  -58.172920  -15.878382  -27.654306  -33.200629    9.341069    0.708388  118.528583    9.626296   51.038556  -73.846795   -0.608287  -12.375789   61.329156   -2.045366   35.509441   -0.000000   16.266333   -1.653771   -1.405766    0.777838    9.363479   16.469639    0.729609   -0.723236   -0.377133  127.880669  -12.586270  -18.634157    4.171067   29.309161  -28.908460  -11.678056  -16.547696   -3.851073   -8.700122  -46.558386    9.965760   -8.606339   -2.554198   -6.624897   -2.870050  -57.417149   -3.905237   -6.570924   -2.969199  -60.712202 -176.017624  -47.071149   -4.178412  -50.037311  103.030786 -107.472022 -179.852077  -42.838417   -0.690923   -5.558655 -142.953524  -43.662277    2.248319    0.245910  -20.499072    2.136279  -14.155971  -49.790475   -0.261459  -56.498573   -2.896314   -0.386711   -9.621895  382.703943   24.426966   48.696600  -30.423234   -0.728874   -5.248872   -1.062760   -3.258267   -8.050252   -4.777825   -6.432408   -0.358798   -9.642489   90.816590  255.940687    6.386048   21.148243  149.525951  -15.237106    3.310659   12.852545   -2.718442   -9.168083   -4.437862   -2.299395   -5.067215   -3.711474   39.369682  -33.836787  -18.597230   -1.254153   -5.121343  -15.439041  -22.963446   40.007554    1.338586    1.041402  -17.240662   -6.809326   -2.710002   -8.018902   -2.914396  -12.627679  -19.869556   -4.497744  -67.480072   -6.978101 -168.476566  -71.687014   -1.955094   -2.965392  -51.023868   -2.797916   -4.154891  -31.651010   -3.568012   18.683223   -0.155861    0.000000   -0.016129   -0.693351    1.942676   58.275540  -56.941505   13.791096    3.768521   -7.446343  -15.040769   -2.713673   -4.191413    6.160714   58.212912   34.961292   -3.032458   -0.163277   -3.012952  -11.626178   -5.996608   -5.874797   -7.111030   -7.127990    4.247215   -4.410517  113.359330   -7.627175   -8.015473  -47.138445  -30.895225   -2.474855   -9.133796   -0.907403   21.815834    3.889608    0.912222   14.614504   46.376453    2.913724   -1.660135  -45.475107  -52.019599    1.445699   -1.969585   -4.155231   -3.947364   -2.905708   -2.802065   -1.265649    4.690773   22.277261   64.432179   -3.187641   -1.866478   -0.158105   -0.664772   -2.290756   -2.170254   -2.869318    2.365881   -2.461415   20.738757   -0.566491   -6.405211   -1.724402   -0.863924  -17.292293   -4.284746    0.461293    1.063622  -63.788131  -48.601954  -11.889208  -36.769366  -47.218185  -22.466554    9.047780   13.477740    5.328989    9.929688   12.576238    4.860046   -7.310695  -26.968406    1.514491   -9.807413    0.295488    0.737435   -4.635695    0.000000
 501.191831  119.269494   -4.036710  -36.831848  -56.848899  -15.989636  -27.170155  -33.199348   11.041957    1.050620  118.197279    9.553344   44.366022  -69.709027   -1.183933   -4.578635   82.447884   -1.032797   59.779053    1.749343   37.404028    0.743941   -3.127235    2.835637    9.195389   16.221724    0.664448   -0.723719   -0.377326  108.112802  -19.687125  -25.306683    3.602409   24.449072  -33.940067  -13.709795  -19.426810   -9.473692   -8.632632  -46.558386    9.914448   -8.608878   -2.555017   -6.627355   -2.353547  -54.990463   -2.951986   -5.971585   -2.808918  -57.473442 -176.039568  -47.077038   -4.203071  -50.365926   45.084722  -73.241719 -167.602553  -14.639131   -0.690923   -5.558926 -142.971238  -43.668731    2.050282    0.223459  -20.697224    1.145766  -13.447056  -49.781251   -0.256293  -56.490133   -2.848191   -0.385753   -9.620781  378.761937   21.286417   39.463072  -30.433559   -0.729292   -5.251370   -1.063258   -3.259423   -8.053739   -5.378404   -6.435114   -0.358984   -9.646843   54.410385  166.875180    6.203162   20.631537  141.982250  -15.243919    3.302182   12.802314   -2.719344   -9.168083   -4.909718   -2.255265   -4.979486   -3.712906   31.923717  -33.836256  -20.197704   -6.776874   -5.121343  -17.578248  -26.952405   34.847436   -0.360657    3.468192  -17.375435   -6.809147   -2.693366   -8.018065   -2.914396  -12.513571  -18.643897   -2.924283  -73.285488   -7.540363 -166.609893  -71.699361   -1.953494   -2.965392  -51.023037   -2.795939   -4.156685  -31.806951   -3.568686   15.107911   -0.155967    0.000000   -0.016143   -0.692402    1.939691   52.967358  -53.141914   13.662772    2.625123    2.506465  -12.733978   -2.370300   -4.191288    6.209987   53.627270   23.702560   -3.008355   -0.163067   -2.929907  -11.627583   -7.758959   -5.876490   -6.589956   -7.124849    3.507378   -4.411032  110.334740   -7.627175   -8.015473  -36.832287  -30.898694   -2.474184   -9.135185   -0.906539   17.147804    4.879846    0.831707   14.451993   52.324648    2.657432   -1.661220  -45.480632  -50.670031    1.228642   -5.069259   -4.634099   -4.444481   -3.430750   -3.097444    1.265204    4.673718   22.166058   63.896053   -3.085017   -1.830412   -0.156756   -0.655306   -2.291663   -2.171223   -1.561493    4.472610   -2.421569   22.791230   -0.566491   -6.405211   -1.706430   -0.863924  -17.309744   -4.285019    0.414933    0.963945  -58.803303  -48.608178  -11.885634  -36.773396  -47.224466  -22.469620    8.766862   12.847961    5.323723    7.063463   10.617684    4.219555   -7.091702  -27.050823    1.491073   -9.860505    0.532859    0.607885   -4.637886    0.000000
 777.053586  162.926812   -4.031669  -36.814297  -58.528673  -16.071125  -23.532242  -33.196913    9.926809    0.774147  117.638771    9.968141   42.579075  -73.849035   -4.739150   -4.571136  120.438039    0.000000  105.225516   21.980956   57.867236   13.618509  -12.161755    4.646893    9.672562   17.389171    1.004063   -0.719731   -0.375888  -77.520831  -20.012746  -39.777790   -1.026507  -11.254528  -39.503095  -15.236229  -22.607349  -22.349049   -8.835103  -46.560573    9.985264   -8.580071   -2.546435   -6.606311   -2.455704  -53.421988   -1.043027   -5.367947   -2.970140  -60.713806 -175.890397  -47.037201   -3.948328  -51.824553  103.071427  -99.025548 -179.851573  -13.692403   -0.715551   -5.550335 -142.849623  -43.618991    1.914941    0.537937  -19.946674    1.817967  -12.736859  -49.790129   -0.261459  -56.499887   -2.944438   -0.387670   -9.624123  146.266893   21.154239   39.248209  -30.362843   -0.725961   -5.233050   -1.059169   -3.244888   -8.028604   -6.888361   -6.414229   -0.356988   -9.616890   51.598257  254.117083   11.179892   23.120876  144.408277  -15.197629    3.316465   12.869724   -2.710441   -9.284878   -4.957209   -2.255265   -5.067215   -3.701172   25.582512  -10.761430  -22.933887   -8.679549   -5.135689  -20.564279  -32.745273   11.281998   -1.904138    5.081953  -14.820102   -6.809684   -2.726639   -8.020577   -2.936165  -12.392041  -19.366221   -6.159964  -83.211059   -8.474441 -169.109429  -71.614824   -1.956695   -2.968751  -51.018389   -2.797916   -4.143889  -27.665761   -3.563767    8.624255   -0.154907    0.000000   -0.016030   -0.694300    1.951406   57.454470  -47.610659   14.233000   -2.194932    2.460125  -13.175442   -2.370300   -4.191413   -0.321676   16.041631    9.470791   -3.056560   -0.163486   -3.095998  -11.613172   -7.732626   -5.861905   -6.840200   -7.091086    1.546116   -4.394936   56.742018   -7.674984   -8.015473  -17.127558  -30.915133   -2.465350   -9.123425   -0.900701    9.488577    6.634782    0.861210   18.049575  105.715122    2.346161   -1.652171  -45.441149  -51.990203   -1.592635   -8.954796   -4.687311   -4.557825   -4.417837   -3.230791   12.976613    4.696134   22.304335   64.486809   -3.136329   -1.974677   -0.157430   -0.660039   -2.279156   -2.164392    0.000000    6.962804   -2.501261   24.412874   -0.567802   -6.955729   -1.724402   -0.863924  -11.245583   -4.279558    3.025670    3.430186  -44.071959  -48.563249  -11.853513  -36.737711  -47.181747  -22.893516    9.237460   14.356504    5.352158    5.235576   -2.727564   -2.605763   -7.310695  -26.950139    1.777210   -8.745673    0.680095   -0.226917   -4.622827    0.000000
