Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 -639.508798   153.071938     1.172923   -22.339628    78.754255    17.685336    -2.368371    13.792862   318.839248     4.678142   259.544655    21.569285   152.587287    43.227841  -155.573760   -12.938073  -204.776894  -350.748482  -318.634841    32.598207  -212.661964    55.674033  -437.166162  -150.384099     0.908558    71.773128   -13.292567   -17.918098    -1.562341   -30.385588   113.461400    95.929283     0.169184   135.538107    44.232239    19.026675    26.075884    84.589743   -23.529292  -840.635773   -80.219035     1.960293    -2.441424    15.325218     0.802265    27.699620    45.864122    17.146429    -0.179979    40.325433   122.266781  -166.704800     6.052705   110.430456   170.805097   106.375476   164.149474    43.501787    38.972333   101.953044   129.736101    38.931844    65.981345   -23.241722    25.830155   -24.636261     5.127924    30.543795     4.443313    22.840432    48.024982    -7.504061  -191.876006   210.086963   107.561989   201.175072   115.066099    19.481125     9.443216    -5.616222   -50.131092    32.288855    31.554688    13.664667    -9.968328    43.520458  -386.021776   826.257572   -34.719212  -104.503632  -304.425280    81.866747     2.363807   -19.473643     1.050141  -169.342789  -121.369180    77.983542     3.469407    10.205801   433.540274    36.111566    17.339827  -134.115316  -114.341707    -6.482569    26.190256   129.936894   -56.108524  -153.233495    18.324722  -129.731057   -22.759196  -198.174741   -71.166295    -3.641007   568.780103    97.356704    63.086454   -28.654588    89.981228   113.040050   -40.684036   -42.665541    22.717694   -71.442130  -181.003923    51.559211     4.928014   116.182492    -6.541780  -600.000000    -0.679601   -15.878362     6.567784   145.782362    39.427386   -21.701360   -29.245196    46.429868    15.306955    46.173702  -116.575759   -19.238805    74.197463    39.259524    -5.752884    -4.098185   127.027254    -5.902390     8.832164     9.733064  -105.469434  -126.403527    21.155218   -35.395520   198.000000    71.154059    73.019575    29.919777    -0.000000   -49.297053     4.938797   -37.443017    43.492710   -27.508777    20.149422    91.952950   -46.430023    99.842726    -3.883838    31.911626    28.085541    -6.420792   -14.900871  -123.636299  -120.520671   -13.861758   -54.711053    65.406846    -6.661659   -27.112142   -38.943517    87.593811    25.200621    -3.299423     4.156167   -52.681485     8.396260     2.949209   -36.199695    79.942626   -38.333407    -8.014486   259.848637     9.191425     1.752884     8.061460   -12.013462  -138.813243  -169.294937    55.092999    41.735983  -191.886643    -3.006045    54.618686    11.667110    41.204441     2.031516    74.325157    83.498809   116.395815    14.564735   175.709301     0.871439     1.835510    -1.118968    -7.066710     1.659139    13.516743 -1067.156831
 -855.597980   122.733285     1.199893   -21.529462   104.484368    20.944774    13.593870    13.927464   303.328603     4.523788   265.788804    21.633727   180.777581    43.396407  -158.895972   -12.516013  -260.659756  -345.108634  -352.066072    32.466289  -274.188188    56.021380  -456.189418  -147.966915     0.812546    70.213663   -13.513286   -17.859420    -1.551870    79.162656   123.040578   113.368501     2.047208   173.498934    76.288544    29.045137    42.695808    85.796708     1.059947  -746.645374   -80.969719     2.399035    -2.322095    15.496474     0.861892    28.061707    56.059910    17.339020    -0.156554    40.383070   122.330911  -166.694220     6.067576   118.257932   156.803658   106.453161   164.201732    43.611248    39.705629   101.594467   129.834110    39.163858    64.661346   -22.860168    25.359293   -24.431815     5.207709    30.581495     4.671173    23.074942    50.716168    -7.246730  -178.791485   208.898496   106.864229   192.560732   110.367245    19.514728     9.538974    -5.574343   -49.813257    32.362636    31.601571    13.784078    -9.926048    43.560814  -171.153180   733.129278   -33.601939  -102.358841  -294.254819    81.891088     2.429330   -19.189119     1.157651  -162.188281  -120.989463    77.594551     4.292851    10.286396   433.524189    36.169080    28.910380  -131.384778  -111.872300     3.616350    56.062432   132.760143   -37.143033  -151.274152    19.915293  -115.859207   -22.345062  -194.697697   -69.611497    -3.612948   462.444102   145.985024   107.448611   -27.404764    86.528608   113.103888   -38.211880   -35.572501    22.913616   -69.719494  -180.974079    51.565438     4.937610   114.933443    -6.519235  -600.000000    -0.677706   -15.570654     6.660007   146.066756    39.537720   -21.518167    -9.240981    39.780310    15.394983    46.154929  -113.892956    -5.307267    74.318265    39.168748    -5.264539    -4.012692   130.206039    -6.593752     9.175635     9.807210  -103.393038  -124.335147    21.119082   -34.923140   196.432166    71.443891    73.234111    15.861983    -0.000000   -48.916758     5.004448   -37.169276    30.530185   -29.222109    19.112668    92.007150   -61.367529    98.192402    -3.755643    31.990422    28.115984    -4.941537    -4.952849  -124.155107  -121.643299    -9.763897   -54.012969    93.036328    -6.762416   -26.895164   -39.369743    87.061292    27.263142    -3.255514     5.994332   -52.362964     8.412768    10.213293   -35.297369    76.786592   -51.237645    -7.760342   274.559511     8.946104     1.869732    29.733831   -11.888109  -138.806679  -183.305243    55.303874    41.847261  -189.929845    -4.939907    54.591309    11.016596    21.783904   -29.433208    74.388013    38.010113    54.887211    20.164349   174.526531     1.009568     1.896753    -1.286989    -7.206563     2.690549    13.548205 -1112.886253
-757.730596   75.429177    1.225543  -16.627254  112.646141   23.066350   17.424294   14.771201  322.655099    5.538402  258.460099   21.491460  225.049899   45.071201 -156.913669   -9.664895 -263.009897 -323.096084 -346.098025   35.653759 -269.817644   89.664253 -450.880518 -144.887566    2.687934   74.674479  -12.003183  -17.831090   -1.546370   58.749823  128.095214  117.888709    2.174264  105.091117   82.833117   32.486827   46.658129   86.132685   15.027443 -675.497727  -79.969873    2.508615   -2.213402   15.656419    0.929110   28.416926   69.967498   18.657208    0.146450   40.968081  130.912851 -163.781311    6.082634  108.218274  136.947273  107.480811  164.615805   44.337515   41.081713   94.144701  129.926128   39.382120   66.482090  -22.230001   19.273565  -34.660498    5.712346   30.860816    5.394317   24.976650   59.286365   -5.605121 -170.000107  159.160840  108.918672  201.181174  107.670750   18.770016    9.366558   -5.546544  -49.566434   32.425171   31.643043   13.882586   -9.932385   41.945525  -89.096420  909.533726  -33.198421 -100.801314 -282.340189   81.912558    2.531669  -19.764973    1.257207 -122.262413 -118.685070   78.719106   15.973364   10.361041  158.246486   36.560787   34.759029 -129.940790  -89.069879    8.296264   60.244717    7.012470  -56.455518 -152.323584   22.621515 -118.272883  -14.279713 -158.496119  -56.503954   -2.606553  273.164251  152.585675  126.328441  -23.966191   90.530799  113.163694  -30.983010  -22.999385   24.077066  -57.958995 -180.947183   51.571838    4.946944   43.520767   -6.506455 -600.000000   -0.676904  -12.686122    6.746217  141.165338   39.652090  -21.211478  -28.835617   49.612614   15.498974   49.541435  -95.338022  -25.669789  -38.647746    6.981911    3.835738   -3.297545  136.198695   -5.603399    9.041899    9.882407 -100.925533 -125.733283    7.398920  -34.481518  198.000000   73.454884   74.888649   18.627290    0.000000  -48.551489    5.068443  -36.893147   67.600218  -28.756494   20.591135   91.755793  -47.404919  102.532000   -4.627421   32.064426   28.144761   -5.590335   -6.065387 -122.002269 -119.658094   -8.987253  -52.585151   96.288788   -6.645021  -26.520626  -38.969719   88.854656   34.246019   -2.717310    7.563886  -52.535805    8.425126   39.694898  -31.210593   82.552953  -54.588426   -6.062157  292.534026   12.836100    2.738460   40.986748  -11.771863 -152.806171 -186.977404   56.823558   41.952729 -188.049809   -2.464358   54.611623   11.176542   15.233864  -39.053410   73.687090   32.086968   52.282722   14.414311  179.899053    1.135484    1.913891   -3.298329   -6.492545    0.863251   13.561974 -894.604134
-891.861764  108.053546    1.532235  -20.961209  108.088306   23.320942   18.465456   14.028948  368.752310    9.516864  259.663060   21.382826  174.559223   43.621413 -147.398508  -12.167741 -256.401908 -323.924570 -349.907762   37.446328 -224.253870   92.324826 -433.447393 -134.827890   -0.775536   99.949572   -7.556505  -16.435951   -1.311103   10.270007  119.117442  100.681699    1.549244   83.200023   64.295712   25.077563   36.118781   74.334241  -15.905410 -875.112558  -98.675972    6.006156   -0.957176   17.707618    4.242787   30.324520  100.941166   17.512939   -0.113854   40.470772  120.740518 -167.180466    6.512295  118.951985  141.468632  106.592167  164.253777   43.699180   39.943531   82.458288  117.565678   38.071631   77.248121  -19.970845   28.759876  -21.549360    5.268838   30.616338    4.780708   23.339575   52.075290   -6.988000 -195.870111  122.612650  108.071170  200.699923  115.798905   17.198791   12.074104   -4.784118  -44.319560   35.770977   32.174693   17.316373   -9.078692   44.296464 -169.842798 1089.642834  -48.425655 -131.359783 -380.034060   86.914796    0.763218  -26.967025    2.338310 -157.114194 -105.432828   79.021030    7.847952   12.256665  156.630802   36.216341   25.290842 -120.273502 -108.071671    0.304052   42.970305  -18.509055  -57.608566 -138.233778   24.852301 -135.817912  -19.935236 -188.627168  -68.266206   -3.569272  630.000000   83.680134   92.044187  -23.371410   84.517297  110.766265  -38.318083  -36.227808   23.053154  -67.829257 -180.624046   52.554655    5.055918   41.133523   -6.029033 -600.000000   -0.628408  -15.060145   11.235216  142.336395   40.204862  -25.186838  -30.543723   61.250393   25.358727   47.619596 -110.959990  -41.250996  -70.550122    1.156063   -2.474458   -3.900190  131.212159   -4.815681   11.484193   10.648219  -93.247319 -116.079568    5.444016  -29.861225  198.000000   71.721063   73.454898   27.942596   -0.000000  -44.524998    5.759510  -34.068099   60.832890  -30.091111   24.720916   96.321537  -68.858770  112.149156   -4.504380   30.099815   28.485295   -5.712673   -9.626086 -109.733281 -108.947907  -10.323960  -46.541990   99.973503   -7.233158  -30.699570  -39.890997   89.208639   27.846775   -3.166323    5.364224  -47.763815    8.682419   37.766110  -27.193945   82.796620  -54.821343   -7.513239  274.314610   10.746945    1.995691   35.400433  -10.937111 -190.704772 -184.119300   55.488908   36.672565 -170.983189   -3.795374   37.637913    6.972828   28.371581  -24.728633   81.558857   29.670310   35.664290    9.662164  179.758438    0.562240    1.183931   -1.042499   -4.372519    0.194557   14.353529 -812.604134
-865.716862  138.922578    1.481562  -18.095498   86.602254   21.512399   -0.354223   14.518705  330.206221    6.888709  264.311763   21.568646  144.904251   44.537658 -149.159038  -10.537188 -221.835590 -345.426993 -342.335380   35.925550 -223.743745   88.811359 -437.118341 -135.377111   -2.043696   98.668099   -8.607855  -16.447794   -1.235852  -50.020522  102.278092   84.436359   -0.247115   87.313950   36.653295   16.040729   21.806732   66.532348   -7.225708 -835.384274 -101.473836    6.768799   -0.635491   18.722005    1.182506   30.126830   52.963335   18.249337    0.049642   40.781497  122.924847 -167.035792    6.495709  123.883947  162.245917  107.152992  164.484943   44.118235   39.649975   77.663775  121.826426   37.369069   70.564660  -20.394167   31.323253  -19.139966    5.558314   30.771181    4.947032   24.369023   54.277523   -6.174283 -184.324933  127.429489  106.695342  200.639040  121.829561   16.836335   11.746551   -4.621488  -45.146856   35.561965   34.140933   16.986795   -9.171075   47.140212 -410.897471 1211.646942  -47.771599 -128.581628 -329.432893   86.843413    0.507940  -26.918265    2.759193 -140.796019 -108.606781   78.290364   12.333603   12.008118  412.860380   36.443456   17.544775 -125.422382  -96.764201   -4.433348   23.213756   85.771267  -58.541647 -141.786301   22.099148 -130.033008  -16.118569 -170.718426  -61.881307   -2.889675  553.582453   57.440619   63.927161  -24.357773   83.769196  110.571133  -34.204341  -32.626620   23.721853  -61.507703 -179.447143   53.369402    5.210748  109.549890   -6.071371 -600.000000   -0.631049  -13.524563   11.203448  142.580298   40.149975  -25.314466  -31.361156   52.747196   15.881345   48.534254 -100.819543  -37.598585   21.551659   28.594833    1.175180   -3.535452  130.326404   -5.194531   12.273247   11.961325  -94.202105 -123.939748   18.892227  -30.361503  198.000000   72.867031   74.406864   19.589381   -0.000000  -45.380883    5.623775  -34.522028   63.596662  -30.452687   23.254752  104.125029  -75.312607  109.384389   -5.062275   29.893992   28.415462   -6.391068  -15.437751 -112.601368 -111.447945  -12.270905  -48.106823   96.867584   -7.502643  -31.267946  -38.622468   88.087824   29.608748   -2.870205    5.084675  -48.461730    9.292628   10.496995  -28.006828   79.866835  -48.149814   -6.563103  269.253065   12.035291    2.482242   12.879880  -11.044392 -177.817334 -163.221211   56.362809   36.341868 -177.015944   -4.507192   38.032521    8.130445   17.638563  -42.973578   80.928645   81.623770   51.619820    9.407312  177.766906    0.546286    1.721877   -1.875348   -5.346927    0.265615   15.671307 -972.000000
-852.262729  146.977124    1.825790  -19.915320   77.730877   21.062396   -8.544617   14.195065  330.819584    7.164304  265.408965   21.692847  133.134917   43.811165 -150.889579  -11.642709 -190.885725 -346.390239 -327.603272   35.633614 -201.006525   88.675611 -436.274590 -138.852885   -4.120733   98.386256   -8.536349  -16.010500   -1.084374  -86.284738   98.391368   77.539307   -1.237893   78.890611   35.332363   13.377181   19.532312   66.273705  -16.388154 -912.683075 -106.266366    8.298854    0.035497   20.574527    1.102826   29.660638   52.797031   17.733102   -0.086908   40.489352  122.938457 -166.563623    7.614872  126.557430  167.137169  106.736608  164.319400   43.838179   38.738730   67.885609  114.666949   37.251989   75.058193  -20.730257   31.748365  -12.310831    5.363157   30.657775    4.587415   23.485299   49.039049   -7.083090 -197.444757  120.676865   83.423297  196.874590  122.776376   15.600027   13.153315   -4.219063  -44.000435   38.069787   36.280019   18.995315   -8.984452   50.236531 -403.432144 1284.202467  -49.352472 -132.188708 -342.514131   91.629333    0.040846  -29.660844    3.477097 -161.765639 -115.477033   77.723869    6.952685   13.074017  415.208948   36.292485   17.474129 -131.163694 -110.387908   -5.394999   22.957269   84.871274  -55.798871 -146.113080   21.376543 -132.751236  -19.950913 -192.309077  -68.028288   -3.073221  630.000000   53.795869   63.606277  -26.599136   83.800301  110.539374  -38.228884  -37.638757   23.277050  -67.246392 -178.167112   56.477583    5.388752  109.999080   -5.962488 -600.000000   -0.618001  -14.882269   10.899310  143.163511   40.006593  -26.229311  -30.016182   51.620541   15.761076   47.244701 -109.851389  -41.963371   28.091302   27.699052   -3.300614   -3.919558  126.193613   -4.327349   13.491847   13.391332  -96.415039 -131.369781   19.293668  -29.630350  198.000000   71.906126   73.659041   33.425347   -0.000000  -45.190600    6.069104  -34.411535   70.659888  -31.192637   24.382723  128.649812  -81.825017  114.013021   -6.033694   29.896008   28.429770   -7.039947  -17.489154 -118.474406 -116.109372  -13.141326  -51.619495   97.342234   -7.862843  -31.495777  -38.377031   87.160935   25.134136   -3.039554    5.030562  -47.880278    9.988350    8.913794  -26.762320   79.772749  -42.998967   -7.435586  259.638140   10.239293    2.046564    7.171162  -11.293624 -173.266554 -157.272720   55.771698   36.285578 -178.548508   -4.429794   35.013876    8.070481   20.338135  -34.901577   79.900141   81.685209   50.290610    8.155756  175.097410    0.220484    3.044482   -0.599934   -5.412861    0.053997   17.260743 -946.701249
-893.493345  135.285839    2.431908  -20.669766  119.115168   26.668743    3.603915   14.053688  383.074744    9.217634  263.433000   21.514216  223.729155   43.411816 -157.033346  -12.143531 -247.482853 -323.815021 -379.302219   37.429093 -223.602889   94.763045 -449.030827 -146.022226   -2.923654  111.347611   -4.253754  -16.074639   -1.049025   23.745705  118.289640   97.950935    1.266170  134.933983   57.275708   22.714630   32.036320   74.615091  -29.920666 -998.283460 -105.647492    5.896803    0.124900   20.191885    3.725727   28.536887  101.866953   17.487751   -0.167827   40.295478  144.505569 -160.778900    7.774169  129.035251  160.335505  106.519817  164.241455   43.713704   39.226736   44.413829  121.580815   38.623111   79.809324  -21.912374   31.465327  -14.538292    5.276607   30.606346    4.640900   22.969311   47.769858   -7.691120 -219.144838  118.654725  109.330905  223.209127  129.840311   11.640125   12.528057   -4.152235  -44.282085   39.155569   36.181564   18.764182   -9.047792   51.666063 -421.586338 1152.043926  -53.526199 -139.851661 -382.329804   91.578215    2.596366  -30.826583    3.621780 -176.475631 -128.268422   78.701297    5.869209   12.895457  428.164144   36.225116   19.205190 -139.565145 -121.047166   -7.342154   36.779200   83.866282  -59.862918 -157.073396   28.000830 -151.522499  -21.282134 -209.187867  -72.630521   -3.046128  630.000000   88.033336   72.135123  -30.724233   74.107578  113.419143  -41.746634  -44.889633   23.084540  -70.772985 -178.231317   62.941215    5.841730  109.418797   -5.991741 -600.000000   -0.619815  -15.664780   12.833887  139.712931   39.672642  -26.150896  -30.837827   61.367119   23.731699   47.728212 -115.376875  -34.822221   16.780148   27.387399   -4.884029   -4.182636  127.646251   -3.821520   10.468740   15.888767  -99.763131 -152.866984   19.206988  -30.192633  198.000000   71.271552   73.189354   34.977755   -0.000000  -45.978992    7.054679  -35.035693   64.509594  -33.757117   31.387429  128.444886  -66.704756  126.440046  -11.077826   32.515022   28.369672   -6.545069  -13.695067 -129.843358 -125.710332  -14.250506  -58.090147  103.219793   -7.915719  -30.746913  -35.011404   88.706872   23.871616   -3.052431    4.022270  -49.510426    9.959759   37.964412  -28.930059   79.131339  -53.110949   -8.061270  263.219405   10.159765    1.739320   30.989461  -11.326865 -196.024887 -179.592708   55.498123   39.212168 -182.528885   -2.824027   40.633559    8.080028   15.843654  -49.681718   82.443830   81.801544   58.281529   12.825003  178.319382   -0.773654    2.821240   -2.560733   -5.083554    1.241409   17.923733 -974.000000
-930.031664   28.393503    2.490007  -20.845138   99.596391   21.055892    4.805036   14.009648  453.373426   14.295764  252.257287   20.764328  230.049062   55.839742 -154.593337   -4.512471 -339.736949 -319.935596 -419.508744   38.643671 -263.138512   97.065479 -446.642759 -142.487354   -3.819943  108.826560   -4.854787  -15.738190   -1.121865  307.099572  171.183325  152.654163    9.673136  136.854078  103.726758   40.911071   58.590390  122.116162  -22.238587 -989.090439  -96.329610    4.087130   -0.672476   18.553034    5.532273   54.381518  108.616522   55.336912    0.309799   46.767697  155.490290 -157.847940    7.242809  125.156482  107.393225  174.114822  237.786318   76.511175   40.314777   43.531093  121.759214   39.020584   96.578472  -20.495096   23.745782  -23.944721    5.974279   30.609902    4.905197   22.961269   50.014339   -7.708973 -220.529137  -28.331353  110.058435  200.626092  122.777503   11.147028   10.757207   -4.331461  -43.979735   35.677246   36.292063   17.253531   -8.863643   47.393967 -489.070586  849.220503  -57.694142 -143.860678 -444.495548   86.856103    1.058496  -28.451009    2.677035 -173.481561 -130.245492   79.937332    7.999544   11.946463  160.469360   62.196555   46.732774 -131.914736 -122.904112   17.577619   76.468087  -16.300390  -56.141323 -149.652743   21.966569 -150.977173  -20.159884 -212.052855  -71.152753   -2.910109  630.000000  162.815388  169.637215  -24.206738   81.197737  113.530278  -41.649135  -44.305392   23.053142  -70.645742 -179.448108   55.110058    5.861688   38.485365   -5.853235 -600.000000   -0.604960  -15.541112   10.864052  135.623664   57.297731  -23.805153  -24.240935   67.970722   34.121298   48.371540 -115.168124  -33.371163  -97.463911  -12.886845   -3.441727   -4.205620  131.877047   -3.520311   10.611183   14.673749 -102.382653 -151.959354    5.840191  -30.845871  198.000000   71.652439   73.138327   23.304414   -0.000000  -45.255408    6.797776  -34.580104   63.722279  -34.272888   31.202597   91.995455  -63.969627  137.967688  -11.009097   32.668191   29.678293   -3.142905   -0.312960 -131.704530 -126.960459   -8.596131  -58.140350  104.837229   -6.925102  -28.462064  -33.913539   90.686194   25.366450   -2.989445    4.637427  -48.504788    9.366653   43.170485  -31.567774   81.774307  -68.251811   -8.087302  279.547374   11.279420    1.697312   30.808122  -11.078584 -188.122766 -185.244493   95.369927   39.398096 -179.639660   -2.223545   46.890890   11.333217   18.481677  -46.098262   75.610019   31.611202   52.709883   19.189818  183.190699    0.000000    0.652635   -3.682996   -3.009561    1.459026   16.091788 -639.000000
-947.753817   51.021448    2.508671  -20.591640  101.073585   21.323960   -0.983101   14.061603  456.134361   15.009932  252.374046   20.721939  229.819998   59.887479 -162.699891    3.347575 -321.847682 -319.637666 -400.648458   40.317832 -243.856551   99.993192 -476.331039 -137.715821   -2.827717  109.262170   -4.348161  -15.722533   -1.118818  306.901858  170.705160  152.125426    9.236622  135.903506  103.556488   40.831683   58.484726  120.633758  -23.294606 -986.772299  -95.761160    4.201884   -0.608200   18.647997    6.122760   57.246154  109.473056   55.934867    0.445276   49.962408  155.529870 -157.841313    7.255120  125.217355   44.900957  208.256094  250.026461  104.744333   40.194383   39.492977  121.816597   39.153447   96.803202  -20.025825   21.362649  -24.803622    6.698048   30.617167    4.896843   22.893539   49.661767   -7.796931 -227.232587  -47.037485  110.023414  196.891660  122.808235   10.836296   10.690061   -4.315809  -43.838664   35.713662   35.718271   17.310566   -8.848098   47.409738 -530.329714  774.341236  -55.829310 -140.330437 -432.850301   86.868794    1.115889  -28.337826    2.736268 -178.413216 -133.852599   79.994308    8.204755   11.990802  157.420931   62.218053   47.550638 -145.332673 -125.497687   16.941679   76.185559  -23.293455  -61.408385 -147.257597   22.438663 -153.001814  -20.144153 -216.548243  -72.593372   -2.955718  630.000000  158.390800  172.619927  -24.864044   83.252615  113.566394  -41.917019  -47.327146   23.088143  -70.716905 -179.432132   55.115162    5.868866   35.614435   -5.846069 -600.000000   -0.604517  -15.628132   10.913616  128.675767   61.380267  -23.711137  -26.263676   78.467698   36.615669   48.968638 -115.267310  -35.547294 -107.390856  -25.822245   -3.598986   -4.260476  131.549137   -3.423620    8.846016   14.732051 -100.162602 -152.166686    5.164538  -30.582986  198.000000   71.634778   73.119213   33.615977   -0.000000  -45.002352    6.843576  -34.369080   60.587468  -33.418649   31.361691   92.084239  -64.209982  138.058705  -11.367247   32.716170   31.052659   -3.474915   -3.882411 -135.641057 -131.030964   -9.175045  -59.673172  107.704482   -6.861653  -28.278647  -33.978305   90.818943   24.352152   -2.963694    3.706231  -48.460929    9.373681   43.209724  -30.864051   79.950023  -66.598254   -8.123097  278.602464   11.273274    1.670795   31.112316  -11.005723 -184.856573 -183.547115  100.384989   39.463171 -178.488447   -2.053783   46.903255   11.431034   11.162509  -59.301456   75.307396   29.533273   52.223429   19.088877  183.522684    0.000000    0.752840   -4.986242   -2.529681    1.366819   16.099408 -485.000000
-812.467096   82.244277    2.498537  -19.874779  100.836532   21.974761   -1.424661   14.162070  458.682738   15.035023  253.005722   21.230648  227.881176   55.749085 -171.586245    3.649459 -273.966447 -317.791006 -347.389549   60.940929 -218.941143  113.237960 -518.615345 -135.268580   -2.031412  111.473829   -3.512761  -15.741981   -1.122604  121.742033  170.551079  137.887236    3.661043  100.202855   97.978730   39.301992   55.295164  106.785934  -22.238476 -981.183078  -96.687785    4.270632   -0.687883   18.530137    6.141910   60.062524  111.537850   56.705420    0.271734   46.702856  155.496235 -157.845706    7.617192  125.212131   98.428197  182.493459  237.806617  105.758197   40.069777   41.317016  121.755540   38.998347   97.583087  -19.534148   20.223995  -26.159732    7.473320   30.623894    4.913400   22.908080   49.719848   -7.783887 -224.794225 -312.807172  109.963408  196.708971  122.770684   11.834320   10.963148   -4.335252  -44.013850   35.668455   34.156783   17.239735   -8.867397   47.390186 -541.498290  860.401729  -50.554959 -137.746992 -428.817992   86.853134    1.022201  -28.381151    2.663054 -183.381006 -138.292571   80.016217    8.705154   11.935886  151.065751   85.322694   44.862921 -150.618847 -127.370552   13.257728   70.181500  -52.796295  -65.884661 -147.606532   25.884811 -152.998354  -19.727164 -220.400881  -74.064231   -3.004207  630.000000  152.936883  162.903328  -26.645580   80.464432  113.523221  -41.539004  -44.550709   23.276565  -70.044207 -179.451762   59.945721    5.866083   28.220917   -5.854965 -600.000000   -0.605067  -15.549430   10.852831  132.117027   67.931970  -23.499150  -34.006190   79.231992   36.633710   49.061104 -114.153571  -45.701077 -156.618679  -44.058883   -3.261102   -4.282272  131.188144   -3.503434    9.195556   14.709910  -99.263939 -149.447520    2.888048  -30.908716  142.368549   71.689639   73.189516   53.392131   -0.000000  -45.179522    6.815949  -34.454343   52.778144  -30.631591   31.829548   96.342435  -24.384404  138.923106  -10.170958   32.672303   29.680104   -7.118463   -8.201184 -140.986916 -137.029827  -10.912385  -61.467157  119.665533   -6.967703  -28.609420  -34.154721   90.798558   23.068285   -2.947429    4.382247  -48.345659    9.364952   45.909089  -28.442419   80.947775  -62.810126   -8.038526  277.785683   11.428275    1.700631   37.945265  -11.081268 -181.280157 -181.248055  115.232210   39.390550 -179.825924   -2.204805   46.889217   10.868157    7.059274  -65.578610   76.144648   27.593594   38.704220   12.020390  183.443047    0.000000    1.078747   -4.977538   -2.241717    0.431989   16.089947 -207.000000
