Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 374.822851  177.790608   -6.078044  -72.069667  -64.830716  -13.562783  -23.941271  -67.954174   40.164345    3.353018  108.621377    8.800273  -39.557513 -100.292591   -0.697407  -22.601004  159.551587  -43.717542  205.815251   -7.906275   66.943167  -25.263672   -0.891538    9.729744   12.628529   20.288798    3.209491   -0.521000   -0.441762  -96.241456  -86.947325  -34.276346   -2.815035  138.555893   -8.914111   -9.843201  -11.547358  -29.209765  -58.097890   -0.941002   27.260454   -3.310022   -0.979404   -2.566374    0.819126  -26.346233  -73.188746  -50.222446   -3.901281  -78.475530 -245.987844  -65.797751   -4.958760  -62.592667  146.471015 -204.625768 -299.202450  -92.402644  -21.151328   -8.053806 -150.727850  -45.269544    9.536818    1.726132  -24.735706   -2.002680  -27.576702  -58.879977   -4.446737  -66.079612  -41.378007   -0.823920   -0.952337  560.492839  -56.283283  -99.125491  -11.112517   -0.692398   -3.877087   -0.461475   -1.302481   -3.116936   -2.681979   -2.868628   -0.122179   -4.578334  179.607572   79.200981    4.018970   21.474780  190.425203   -5.931347    8.212347   25.067754   -1.048364  -32.929726   43.118795  -39.091714  -38.988436   -1.437872  178.455586  -93.443752  -12.522503  142.399516   -4.068566   -3.649264  184.894520  172.889309   64.014042   11.862095   -7.239306   -0.153269  -14.687259   -0.713232   -6.137807   -0.118035   -0.462303  -68.274069  -45.426690    3.008331 -187.610523  -63.692610   -1.403070   -1.467370 -104.877050   -1.786821   -1.614150  -37.161768   -5.550035   84.235777   -0.042720    0.000000   -0.004266   -0.832053    2.181339   53.252285  -43.200012   24.805855   51.498748   10.886108    4.506104  -33.682342   -0.112637   47.821699  215.415658   79.225004  -21.133739   -0.179983  -71.405109  -15.052808   -2.961735  -12.672557   -1.212239   -2.600970   18.909537   -1.679933   61.933466  -45.649913  -48.679617  -42.653851  -28.693807   -2.063758  -13.151551   -0.276031  -24.015956   -0.066205    3.701896   14.338605    7.890715   11.506807   -1.154794  -52.177815  -65.401017   13.775420   81.357941   53.279067   67.353230   37.179147   15.490313  -24.026076    7.653174   40.468789  109.293352  -45.556476    3.408446   -0.598830   -4.202132   -0.790581   -1.025405  -56.616986   -0.330344  -35.177145   15.445389   -1.240702 -156.133217  -15.829910   -4.105025  -20.027434   -4.377528    6.169942    6.197044 -188.966648  -52.887472   -9.872208  -39.363404  -48.487472  -24.705444   10.414518   16.337774    4.599113    7.580018   -7.945843    1.867820  -97.324316  -29.179749    1.340224  -11.088524    1.878536    2.844184   -6.697088    0.000000
 318.877275  171.153324   -6.019273  -71.984370  -61.824730  -13.596984  -26.503138  -66.646411   45.426600    3.848126  111.518583    8.977415  -54.976359  -99.012775   -5.772021  -23.374878  133.032050  -43.740758  174.845159  -14.246129   51.258373  -40.606849  -14.453983    7.412543   13.158139   15.829288    3.699898   -0.498775   -0.428256  -95.593787 -100.047338  -35.599525   -3.086145   15.973414  -19.133320  -10.283605  -13.374350  -29.814957   -1.282315   -0.020769   24.986296   -2.982937   -0.882744   -2.313998   -0.155462  -28.769910  -71.865350  -49.735595   -3.924813  -77.241836 -244.115664  -65.297535   -5.490927  -59.803895  142.829081 -201.308217 -294.968573  -99.293012   -0.418675   -7.973116 -149.493065  -44.660530   10.615115    1.375111  -23.039724   -1.133842  -29.158501  -57.924473   -0.098147  -65.471375   -0.866219   -0.017248   -0.014483  544.143719  -54.727573 -107.619347  -17.728126   -0.667923   -3.812479   -0.423337   -1.189301   -2.811464   -2.419207   -2.761144   -0.145544   -4.212808  175.508680   77.679862    4.934818   18.345786  148.505652   -5.350719    8.249152   25.000489   -0.945005   -0.155727   30.384887   -1.897583   -2.061641   -1.296587  197.311550 -100.871236  -13.026015  126.385133   -0.043037   -9.946381   16.528350  169.583517   57.019304    9.254037  -12.840856   -0.002507   -0.682096   -0.008373   -0.029026   -0.000558   -0.002186 -121.165574  -47.263511   -2.523589 -186.021004  -62.631729   -0.056005   -0.053735 -102.820985   -0.122570   -1.455980  -37.531447   -5.659238   83.473901   -0.038466    0.000000   -0.003844   -0.033213    2.283018   54.423633  -52.501804   24.684364   48.701844   10.491820    4.416126   -1.526101   -0.006908   46.142177  208.976755   77.151774   -0.843581   -0.003768   -1.494814  -14.891139   -2.669654  -12.501209   -2.890665   -2.331786   18.449672   -1.512128   61.833529   -5.402447   -8.122610   -7.117159  -29.136546   -2.060089  -13.013034   -0.247206  -31.192816   -1.592221    4.363780   14.659527    0.911530   13.670774   -1.103418  -51.689462  -64.927065   11.510537   74.017666   40.565986   49.608733   34.301580    6.369077  -38.147297    7.628877   40.222197  107.966664   -2.360349   -0.000000   -0.031026   -0.217719   -0.717444   -0.943330  -56.966863   -2.175501   -1.633674    7.332218   -0.136422   -1.651555   -0.700889   -0.570939  -23.757025   -4.322499    6.663331    6.670020 -194.432125  -52.329876   -9.689139  -41.163553  -48.315688  -24.401109   11.022792   16.865324    4.919481   -1.629458  -18.806291   -2.932550   -5.146341  -28.922608    1.420300  -10.640800    1.780849    0.419084   -7.216675    0.000000
 355.165454  177.348598   -5.959734  -70.656295  -60.500894  -12.701821  -22.294525  -65.909507   43.059075    2.634084  111.945736    9.053711  -56.921055 -134.936638   -1.458607  -22.889395  143.052399  -44.220896  208.139228  -17.317940   68.849193  -73.656201   -0.731775    4.803619   10.638607   13.296731    2.639227   -0.476165   -0.414552  -69.313544 -104.315667  -28.134068   -2.174786   14.310321  -16.542533   -7.928836  -10.052868  -22.827415   -1.687256   -0.028421   24.765647   -2.649718   -0.784329   -2.057562   -0.296076  -41.235891  -71.424547  -49.313915   -5.289898  -87.452480 -242.218503  -64.790668   -5.511458  -60.078734  146.962635 -207.364391 -300.444817 -106.798834   -0.541815   -7.891241 -148.896091  -49.148636    8.575363    0.811962  -23.205883   -1.218252  -28.101121  -80.589614   -0.123975  -90.701920   -1.106835   -0.022998   -0.020053  557.264456  -46.449482  -96.947830  -16.830713   -0.643059   -4.188965   -0.650857   -1.073700   -3.199218   -2.152767   -2.515212   -0.134110   -3.842323  180.051753  109.803666    4.836560   18.219749  187.943944   -4.762283    8.263990   23.524550   -0.839835   -0.350385   11.533381   -2.206492   -2.544153   -1.153096  201.377137  -96.792917  -10.698975  118.458109   -0.062164   -7.198531    7.411930  173.317459   51.110071    6.188412  -12.955603   -0.003582   -0.848461   -0.012559   -0.065309  -10.313875   -9.264188 -121.344034  -38.811654   -2.158116 -184.409760  -61.556499   -0.072007   -0.067169 -101.693953   -0.152224   -1.295593  -37.661998   -5.428953   85.436504   -0.034112    0.000000   -0.003414   -0.041753    2.378756   54.294138  -48.900713   24.403071   46.979024    9.161318   -1.590251   -1.793169   -0.008666   46.959230  213.518789   78.943868   -1.060502   -0.004814   -1.910040  -14.727107   -2.372395  -12.327729   -2.943816   -2.050548   18.369722   -1.340135   68.889194   -6.741107   -8.122610   -7.117159  -30.500644   -1.946949  -12.872686   -0.218443  -30.305731   -0.959766    3.447553   14.530372    6.522235   11.166419   -1.051149  -51.194463  -64.446788   11.010437   69.982731   27.791810   37.642892   31.916531   -0.179689  -69.806817    7.283134   38.691698  105.034399   -2.873468   -0.144265   -0.037771   -0.265049   -0.642487   -1.109163  -57.453451   -1.410014   -2.032131   12.563963   -0.170528   -2.569085   -0.862632   -0.709475  -20.530127   -4.266395    3.179049    3.098307 -177.308275  -51.764490   -9.391653  -40.745898  -48.937215  -25.567818    8.272570   13.291130    5.238199   -2.625738  -19.999666   -2.110248   -6.350804  -28.661720    1.409051  -10.684514    1.472085    0.379228   -6.347512    0.000000
 378.046944  174.627829   -5.928596  -71.970536  -69.289097  -14.974373  -26.461411  -66.643302   29.772085    2.949961  107.080542    9.079182  -58.050764  -99.003831   -6.185168  -23.364941  152.209697  -43.740170  213.322780  -10.267775   68.152151  -31.620856  -15.517811    8.701254   13.779180   23.248245    3.072757   -0.399941   -0.302380  -98.032735 -100.942273  -36.413552   -3.176153   15.477512  -19.760744  -10.538853  -13.734689  -30.556428   -1.282315   -0.020769   28.482387    2.190670    0.648431    1.700887    0.531151  -31.724900  -71.864888  -49.132745   -3.923024  -77.237311 -245.323613  -64.390334   -5.268779  -65.422607  144.730136 -203.691379 -294.967140 -102.424271   -0.418675   -7.940407 -155.281617  -52.185926    7.603077    1.913020  -25.569645   -3.049318  -28.448423  -57.923253   -0.098147  -65.458919   -0.866219   -0.017248   -0.014483  539.616400  -55.116047 -108.315639  -13.758354   -0.360706   -2.958079   -0.500998   -1.468412   -4.027703   -3.465930   -3.189595   -0.154529   -4.825405  174.666753   83.975139    5.014641   22.770111  193.925220    3.936248    8.452497   25.470116    0.694298   -0.155727   28.975922   -1.853453   -2.061641    0.953186  193.247105 -100.869451  -13.334512  123.419525   -0.043037  -10.244453   16.000348  168.006388   55.529923   10.527301   -4.907729   -0.002507   -0.682096   -0.008373   -0.029026   -9.892550   -8.813127 -121.161780  -48.381633   -2.664638 -192.352580  -66.862766   -0.056005   -0.052056 -102.818240   -0.122570    1.070896  -39.084313   -5.729569   83.340385   -0.054946    0.000000   -0.005498   -0.033213    2.050654   54.159648  -55.040098   25.857864   47.872943   13.560132    3.248343   -1.487948   -0.006908   45.334731  206.576600   76.460080   -0.843581   -0.003768   -1.494814  -15.529729   -3.820225  -11.785753   -1.988904    0.421252   18.392045    1.108308   62.183483   -5.354638   -8.122610   -7.117159  -27.356177   -2.220739  -13.186147   -0.350708  -31.234355   -1.592484    3.030351   19.374506    6.962814    8.842828   -0.728676  -53.635089  -66.817427   11.411432   69.671322   38.979962   47.997244   33.886608    5.951355  -29.596711    8.065069   41.472981  112.640550   -2.309037   -0.036066   -0.030352   -0.212986   -0.941572   -1.082853  -56.961978   -2.089069   -1.633674   14.676527   -0.135111   -1.651555   -0.682917   -0.566741  -24.656546   -4.536450    8.336023    8.487270 -195.279239  -54.549933  -10.731552  -40.582753  -53.827285  -27.083248   11.707207   20.500463    3.881902   -0.638346  -22.373738   -3.150757   -5.146341  -29.942906    1.832978  -11.257945    1.539269    0.404862   -4.787319    0.000000
 384.242353  175.295578   -5.944981  -71.954810  -68.551959  -14.986976  -26.479399  -66.640996   29.665352    2.937861  107.031177    8.611861  -53.862229  -99.001101   -5.651196  -23.357088  149.490512  -43.727123  198.746316  -10.256766   62.413254  -31.608300  -14.186495    8.652803   13.741460   23.209454    3.057000   -0.320625   -0.208583  -95.200242  -99.898022  -35.465258   -3.069054   16.050908  -19.029113  -10.240788  -13.313967  -29.686299   -1.282315   -0.020769   28.290002    2.098031    0.621069    1.629574    0.528172  -31.755106  -71.862864  -49.727562   -3.922599  -77.236779 -241.259371  -64.531261   -4.907157  -65.463730  145.184040 -201.302034 -294.966007 -108.674215   -0.418675   -7.961677 -155.710264  -52.355271    7.574443    1.902483  -25.592924   -3.059823  -28.446827  -57.922683   -0.098147  -65.456669   -0.866219   -0.017248   -0.014483  541.921969  -56.808905 -106.407514  -14.007389   -0.367451   -3.012052   -0.511516   -1.498091   -4.113192    1.705293   -3.256955   -0.147919   -4.928191  175.298854   87.355530    6.911085   22.663385  193.270804    3.772560    8.414814   25.321463    0.665056   -0.155727   29.448929   -1.853453   -2.061641    0.913281  190.759855 -100.868679  -12.974270  124.035278   -0.043037   -9.870552   16.593525  168.584781   55.771364   10.474616   -4.922993   -0.002507   -0.682096   -0.008373   -0.029026   -9.889699   -9.307760 -121.140113  -47.074187   -2.434444 -192.798226  -67.161159   -0.056005   -0.052056 -102.813997   -0.122570    1.026283  -39.103902   -5.746465   83.564314   -0.056040    0.000000   -0.005611   -0.033213    2.013254   54.131758  -55.550687   25.706404   48.042826   13.532081    3.235391   -1.487948   -0.006908   45.513332  207.431465   76.767621   -0.843581   -0.003768   -1.494814  -15.105174   -3.374181  -11.833578   -1.990659    1.619644   18.429258    1.060525   62.903611   -5.354638   -8.122610   -7.117159  -27.965671   -2.234178  -13.224717   -0.357034  -31.157008   -1.565969    3.017483   19.352883    7.482803    8.808904   -0.742652  -53.772080  -66.950794   11.469893   69.305963   39.453511   48.458452   34.020560    6.182209  -29.591046    8.017966   41.223462  112.060454   -2.309037   -0.036066   -0.030352   -0.212986   -0.960138   -1.105879  -56.943958   -2.063122   -1.633674   10.830336   -0.135111   -1.651555   -0.682917   -0.566741  -25.149632   -4.550839    8.280964    8.432035 -194.422467  -54.706015  -10.791900  -40.696507  -54.079052  -27.167368   11.890188   21.280418    3.784450   -0.715835  -22.459132   -3.182336   -5.146341  -29.095129    1.828796  -11.263898    1.532960    0.419654   -3.751995    0.000000
 385.462440  174.390658   -6.028066  -71.969854  -71.461683  -15.689818  -27.769020  -66.643606   32.264271    2.572741  105.393190    8.944657  -61.814723  -99.006153   -6.603946  -23.365724  151.120571  -43.735732  211.503928  -10.263969   63.079278  -31.618070  -16.666270    9.868116   13.333524   21.884831    2.696514   -0.437383   -0.325251 -100.525301 -101.857786  -37.246993   -3.270501   14.973235  -20.405538  -10.801167  -14.105390  -31.317955   -5.220360   -3.281502   28.297793    1.642646    0.486206    1.275266    0.386741  -33.301673  -71.864311  -49.731742   -3.923538  -77.238782 -243.909412  -65.239333   -5.060748  -67.517263  144.548860 -201.305268 -294.967258 -114.514727   -1.702726   -8.075121 -157.867197  -53.216553    6.357387    1.804680  -26.841611   -3.480485  -28.448399  -57.923494   -0.375663  -65.462649   -3.465966   -0.093912   -0.773441  540.570176  -57.657292 -107.035671  -15.260621   -0.402048   -3.285333   -0.565427   -1.657564   -4.545414   -1.931801   -3.599670   -0.163679   -5.445551  174.717608   83.493966    6.267509   22.535225  203.142960    2.951002    8.352802   25.338700    0.520587   -2.837293   28.952292   -4.128870   -4.500584    0.714655  185.189978 -100.869827  -13.651937  123.947603   -0.682067  -10.582985   15.483243  168.245584   55.922503   10.141175   -5.782974   -0.494767   -1.669210   -0.678214   -0.624130  -10.071698   -9.833190 -121.156533  -49.534579   -2.891480 -195.047330  -68.662726   -0.271662   -0.343339 -102.817685   -0.420702    0.802866  -38.332925   -5.831571   83.232268   -0.062028    0.000000   -0.006206   -0.128673    1.866379   53.263793  -57.947412   26.611011   48.074127   12.485661    2.617393   -3.500184   -0.320439   45.556228  207.148728   76.596493   -2.217160   -0.027133   -5.840996  -15.333447   -4.311791  -12.075787   -2.396995    1.274130   18.178341    0.831228   61.741900   -7.846563  -10.622586   -9.308365  -30.354108   -2.314628  -13.420525   -0.396555  -31.852883   -1.582535    2.530344   18.412609    6.521124    7.215626   -0.815214  -54.463106  -67.621610   11.380816   68.390866   39.058924   48.136980   33.890759    5.826167  -29.595316    8.029316   42.434908  113.824783   -4.958677   -2.009998   -0.074449   -0.485520   -1.062987   -1.222028  -56.957485   -2.080192   -3.701798   10.938577   -0.231055  -11.295218   -1.664033   -0.801844  -27.014570   -4.628288    7.919830    8.087031 -194.426895  -55.494942  -11.189544  -41.278262  -54.054302  -27.597570   13.735916   20.883934    3.328503   -1.245233  -23.432019   -3.373590  -10.824597  -30.377744    1.769605  -10.231224    1.816561    0.391859   -4.851700    0.000000
 406.642274  178.474515   -6.220605  -72.006207  -75.326543  -16.599725  -29.543576  -66.650248   32.285198    2.393479  101.673343    8.616800  -41.133469  -97.849770   -6.674009  -22.872667  154.155910  -43.243345  216.142665   -6.985428   75.743132  -31.638940  -16.853274   10.439934   21.697462   24.138405    2.408482   -0.424872   -0.271949 -100.528222  -94.146931  -35.904955   -3.275763  137.404646  -14.939693  -10.383681  -13.513137  -30.186213  -42.792114  -35.876560   28.339028    0.585439    0.173232    0.453973    0.254131  -35.212454  -70.913848  -48.542522   -3.880520  -76.329069 -250.043481  -66.878247   -5.474865  -71.733947  147.551245 -198.926676 -288.050946  -90.023362  -13.887692   -8.339440 -162.860323  -50.106173    5.073873    2.100708  -28.547553   -5.221414  -27.035057  -56.568236   -3.005871  -63.955495  -28.180411   -0.832465   -8.321483  545.571463  -58.772834 -106.376366  -18.161736   -0.482264   -3.506048   -0.690420   -2.028747    0.551417    0.474472    0.436826   -0.200373   -6.643206  175.953416   97.454259    4.526984   26.550642  205.037958    1.049348    8.212593   26.541568    0.185435  -28.533067   35.985504  -25.711372  -27.688047    0.254355  157.293618  -95.101386  -13.142197  132.927316   -6.924120   -9.313814  138.573754  169.803209   59.792409   12.385113   -7.750216   -5.407110  -11.072327   -7.313037   -6.342680   -0.281721   -0.690818 -119.585959  -47.687002    0.000000 -191.188843  -72.138713   -2.376339   -3.173752 -102.826176   -3.316488    0.285560  -37.875110   -5.859279   83.604368   -0.075983    0.000000   -0.007589   -1.049154    1.527058   51.888362  -53.891240   26.856249   50.271317   14.222051    1.220762  -22.598721   -3.400497   46.404600  209.693983   77.333704  -15.269652   -0.253529  -47.095524  -15.863166    0.523868  -11.307074   -3.445053    0.459411   18.708043    0.297036   62.105141  -31.491950  -34.389901  -30.139824  -27.225032   -2.456193  -13.497373   -0.490588  -27.538021   -1.614260    1.561439   36.748487    6.585273    3.494937   -0.983627  -54.094861  -69.174474   11.991691   79.412778   46.076627   60.174368   35.967071   11.388041  -21.055858    8.062809   42.959917  117.080844  -30.091459   11.705535   -0.494737   -3.076622   -1.302947   -1.490957  -56.326370   -2.114206  -23.321714   14.857904   -1.151820 -102.667463  -10.986153   -2.997165  -24.327358   -4.674999   10.350249   10.681120 -188.291263  -57.321993  -12.129819  -42.627213  -56.413530  -28.594911   22.575980   28.866274    2.273742    4.242954  -14.665832   -3.110650  -64.692182  -29.815220    2.942355  -11.123224    2.234749    0.393800   -4.883720    0.000000
 383.797632  177.771522   -6.192559  -79.099230  -75.598547  -16.086888  -27.683970  -74.350966   19.422298    2.496262  101.459545    8.627048  -38.166802 -115.867960   -0.697407  -26.423386  160.962417  -50.097313  205.263964  -12.868687   76.293069  -39.922888   -0.891538   10.807270   22.030830   19.053838    2.527640   -0.295207   -0.337379  -92.136310  -92.014231  -34.276346   -2.699873  138.557681   -0.000000   -9.843201  -11.547358  -28.061768  -58.030399   -0.941002   27.080711    0.382481    0.114135    0.320334    0.279831  -14.013227  -86.794023  -58.237083   -4.519517  -90.623624 -250.744713  -67.075940   -5.412979  -71.235481  149.124607 -236.285017 -345.988211 -107.104550  -21.126700   -8.004671 -163.350646  -49.953027    5.319679    1.600649  -28.850748   -3.857936  -29.747262  -67.882703   -4.441571  -76.261590  -41.329883   -0.822962   -0.951223  561.318751  -52.148428  -90.823756  -18.438502   -0.349734   -3.673711   -0.581060   -1.281437   -5.518740    0.351749   -4.226214   -0.075405   -6.686183  179.836304   93.823445    4.733663   27.513778  210.808479    0.789768    8.072250   26.278184    0.125529  -32.890794   44.156782  -39.047584  -38.988436    0.181327  199.829866  -95.335195  -12.522503  150.884913   -4.063785   -0.000000  188.621332  173.534954   64.996601   12.815672   -7.036379   -0.153269  -14.687259   -0.712395   -6.130550   -0.117895   -0.461756  -91.481439  -45.426690    6.229283 -191.339477  -72.489778   -1.401470   -1.465691 -114.764804   -1.784844    0.211603  -37.688732   -5.866701   84.472318    0.000000    0.000000    0.000000   -0.831104    1.517808   51.181742  -51.209259   27.060054   51.978374   14.470623    1.334586  -33.644189   -0.112511   48.240283  216.281777   79.414807  -21.109637   -0.179773  -71.322063  -15.641295   -1.265269  -12.202162   -1.450664    0.071489   18.980001    0.161437   62.007687  -45.602104  -48.679617  -42.653851  -25.863918   -1.809609  -13.812035    0.000000  -21.636209   -0.337865    1.667000   36.942915   13.706797    3.788223   -0.499621  -56.128976  -69.322972   14.403498   83.088361   60.429846   68.514742   38.364998   18.899317  -30.817173    8.005840   42.652142  116.051750  -45.505164    3.461021   -0.598155   -4.197399   -0.458638   -1.483699  -64.932884   -0.986649  -35.177145   15.037895   -1.239390 -155.949711  -15.811939   -4.105025  -22.243246   -4.459761   10.722702   11.063100 -209.099232  -57.367485   -8.403523  -42.254485  -54.470519  -26.935230   12.806539   20.430780    2.161573   10.635409   -7.620781    7.725449  -97.324316  -29.653495    2.981397  -10.626114    1.496038    2.845731   -6.807838    0.000000
 386.415705  178.733835   -6.138119  -92.640668  -79.005642  -16.390410  -28.248795  -86.660568   52.890219    4.490438   98.399978    8.346021  -36.776092 -144.580159   -0.671034  -33.272503  160.684055  -62.307255  205.158720  -22.307097   82.390472  -53.609213   -0.856499    8.729674   20.650219   50.071904    3.195936   -0.317795   -0.363194  -79.617902  -81.336221  -32.929223   -2.584711  188.228724   14.543928   -8.143009   -0.000000  -26.913770  -57.827929   -0.937723   19.609115   -0.136253   -0.040659   -0.114114    0.021615  -15.611263  -71.852144  -73.616029   -5.660915 -113.012444 -249.061853  -68.202611   -5.611531  -73.945159  149.618079 -294.631264 -430.459797 -133.333136  -21.052817   -7.792660 -166.361956  -51.107204    7.827325    1.411949  -29.363565   -0.850657  -34.579666  -84.473688   -4.426074  -95.036420  -41.185514   -0.820088   -0.948995  566.051360  -48.605367  -78.480121  -18.354294   -0.387382   -4.069167   -0.651514   -0.061326   -0.264110   -0.125305   -0.202254   -0.084548   -1.487763  180.976404   99.121593    0.075775   18.978134  190.827911   -0.281342    7.301254   23.215766   -0.044718   -0.000000   57.944296  -38.915195  -38.769113   -0.064595  213.729646 -107.976451  -11.497920  166.403436   -4.054221    9.879703  192.368821  174.805637   71.188628   10.870544   -8.237959   -0.152732  -14.620713   -0.710720   -0.000000   -0.000000   -0.000000 -136.157294  -41.709909   38.070620 -194.857978  -66.251133   -1.396669   -1.458974 -131.367115   -1.774959   -0.075380  -37.235246   -6.000079   84.883873    0.000000    0.000000    0.000000   -0.827308    0.402256   50.027187  -51.518926   25.807521   52.664284   16.122812    1.097949  -33.529732   -0.111883   48.891722  218.425738   80.069731  -21.013228   -0.179145  -71.072928  -15.968557   -0.225073  -11.615699   -1.698389   -0.025467   19.087038   -0.057509   62.356840  -45.219630  -48.535429  -42.653851  -17.356468   -1.799397  -13.731962    0.000000  -16.630717    2.663610    3.321501   34.777456   52.522428    4.231864   -0.553402  -54.420506  -70.385481   14.481320   86.286874   73.902875   81.109952   40.517890   25.550824  -50.749292    7.465298   42.958443  122.800282  -45.299916   10.523393   -0.595457   -4.178467   -0.514248   -1.663599  -80.851358   -2.105425  -35.017762   18.334473   -1.228896 -155.582699  -15.740053   -4.063044  -21.923882   -4.553072    7.850235    3.956207 -247.594979  -57.034909   -8.605042  -43.112840  -55.674152  -27.581147   19.746800   23.031718    0.792513   16.847301   -7.620781   21.832889  -96.803289  -30.198787    2.587361  -10.498257    2.077966    3.921213   -7.915477    0.000000
 436.841532  184.531325   -6.195409 -105.808975  -84.267278  -17.855818  -30.761166  -98.615928   65.069322    5.152252   93.960341    7.538188  -38.166802 -171.195378   -0.671034  -39.920182  160.833456  -74.627189  225.938021    8.607624   88.320824  -77.473733   -0.856499    8.692932   20.709264   49.983504    3.761744   -0.378622   -0.312895  -79.617902  -43.207047  -32.929223   -2.584711  184.835912   19.124258   -3.593799    5.260164  -26.913770  -57.355497   -0.927885   19.960767   -1.172679   -0.348207   -1.036883    1.220774   -3.042496  -81.882038  -89.118947   -6.721398 -133.759451 -245.084841  -67.195058   -5.841839  -78.360310  150.255459 -348.693482 -508.717385 -160.801469  -20.954305   -7.711006 -172.531084  -48.545594   15.383527    1.501309  -30.233731   -2.063085  -39.253292  -98.488692   -4.395081 -110.925265  -40.993021   -0.815296   -0.946767  572.741080  -57.518914  -87.143369   -4.130814   -0.465243   -4.355195   -0.159161   -0.405167   -1.285795   -1.111941   -1.000295   -0.032309   -1.694497  182.501423  101.813223   -1.190536   19.178905  174.414102   -2.245549    7.211707   23.687927   -0.377471   42.642164   79.846034  -38.562156  -38.286601   -0.530375  197.281952 -130.518223   -9.935716  177.154875   -4.044657   87.650723  199.874171  176.654673   75.689255   10.963556   -9.661173   -0.151657  -14.437711   -0.707371   13.150252    1.062990    2.092526 -165.384120  -36.042852   46.024870 -200.828665  -70.263877   -1.379068   -1.443861 -149.864738   -1.745305   -0.606485  -38.708646   -5.405667   85.134242   -0.007953    0.000000   -0.000789   -0.818768    2.232253   47.021827  -60.616729   27.484027   53.634504   39.249930   19.380313  -33.262664   -0.110125   49.876141  221.572633   81.006253  -20.796307   -0.178099  -70.740747  -16.133833   -1.154774  -10.913304   -2.244300   -0.626537   19.191975   -0.550176   62.840672  -43.880970  -46.468729  -42.653851  -17.356468   -1.890551  -13.866819   -0.052507  -16.922080    4.018473    4.227974   34.701634   51.337134   13.019285   -0.695339  -56.257028  -72.177305   15.187925   88.438629   88.875387   95.019321   41.975498   32.863589  -73.289067    8.060117   45.839006  131.131618  -44.786797   21.494277   -0.588712   -4.131136   -0.205927   -0.377811  -95.766209    0.883059  -34.579459   21.739209   -1.197414   -0.000000  -15.560338   -3.924508  -26.215344   -4.735241    7.739682    7.801582 -299.690384  -59.128382   -9.308182  -43.482701  -56.173457  -28.002851   21.557568   26.167835    6.623536   16.733251   -7.945843   19.649078  -95.572370  -31.144115    2.587955  -10.973165    2.308336    3.804993   -5.945852    0.000000
