Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
   -82.865622    -18.300958    282.995616   3227.977735   3557.058473   1641.231362   6677.189009    551.279037   1066.769101   1267.623938     -1.519900     -0.103855    296.158812   1120.561170   9649.108287   1885.676602    -31.995756   1429.911248    -45.802412   1212.106822    -14.018641   1867.116621  25168.940440  10657.804443     -1.491557     -0.652770   2446.333088   1343.575873    225.251392    297.943506    740.155843    489.568899    551.507558     -0.051580    390.585654    221.192544    279.868727   1602.375600  20458.368085  60769.372990     -5.734930   3693.093825   1060.810090   1393.543363    281.755830   1887.763634    267.554712    868.981744    202.531428    391.577885    611.692208    120.605463    156.994490    618.907946    -11.245591    681.079249    275.267683    476.661089    669.934853   1855.472322    840.562537   1886.536182   1001.231175   1934.465733   5090.679705   5411.739140    332.967089    185.706226    428.640722   1275.489103   5231.050901   1092.648508  20004.550080   -879.077261     58.074043    161.310182    531.966398    849.964758   1910.069902    711.896850   4231.784861    809.105359    456.980706   1398.654599    735.806127    658.065680    -31.010581    903.252838   7698.343142     -5.296707    -30.822998    239.305330     -0.719370     -5.305902    902.637968  22475.829355     -9.507694    279.539465   7195.246452    676.171230     -0.077790    257.028746    209.801394    -27.077716  15145.440885   2086.669413     -0.347039    -56.962196    -15.917929  12478.444553   2358.961566   9806.167784   5398.762538  24025.907837   8397.256084    721.313430   1451.333218   3269.847127    811.880452   3876.500207   2667.485268    521.077420   5647.513178   8697.590757    769.245105   7932.185117    275.074877     60.807158    102.775626     -4.183475    454.216394      0.000000     47.035118   1950.644661    749.839422     -0.652018    553.770393     -6.539234    -11.134917     -0.374031    424.468128   1851.238970  12584.003178    -18.919276   -110.075546    -38.274003   5711.660635    476.706292   3063.925577   1439.652749   3299.700089    717.114723   8146.502370  16782.933066     -1.471465   3827.612202   1748.841474   1370.227041   1116.464197    976.938571    188.411591   3602.796841    625.951762   2626.375693    246.482015   2786.507276    879.974867     -0.168099   6786.169064    545.176920   3018.385001    721.631633    306.071468     -0.919842     -5.195622    -11.907871    -14.976091     -2.774335     -2.546777    876.878758     -1.666540    -12.541537    -41.689777    482.131049   4300.602316    355.976263   1159.814272   4789.397868    234.873916   2509.853855   3367.406092    811.834660     -3.369097   1159.254938   8761.708069   2375.456217    589.556536   1406.780314   1134.432602  13903.395801  14415.266719   1010.034396    900.891947  14687.153666   2732.225925    225.924582   1450.719431     -1.225212     -3.112612    633.449869    139.421254    198.689137    238.200771   1899.993328   1342.032282     -0.150966   1952.438473   1096.658962     -0.035640    766.526112 -41514.284753
   -80.468154    -17.860044    282.994938   3228.213218   3557.157598   1641.292567   6677.422200    551.362532   1066.835805   1267.628234     -1.592503     -0.102466    296.182203   1120.710424   9649.899376   1886.048597    -26.929769   1430.100685    -39.671115   1212.367933    -10.783546   1867.494516  25171.326582  10658.487041     -1.456927   1752.598571   2446.339128   1343.575662    225.251360    297.938518    740.120545    489.610969    551.495939    135.161091    390.584449    221.213357    279.897568   1602.332929  20458.979763  60773.393359     -5.123792   3693.093825   1060.810090   1393.543363    281.770943   1887.918055    267.603844    869.104518    202.558681    391.629220    611.690399    120.605189    156.998446    618.905313    -11.005285    681.171594    275.302868    476.748820    669.960150   1855.466825    840.572648   1886.531508   1001.291924   1934.584808   5090.660440   5411.730271    333.011808    185.729908    428.652004   1275.650782   5231.220719   1092.684432  20005.945755   -865.631577     58.059605    161.348746    531.986304    849.964642   1910.125415    711.896788   4231.784274    809.105359    456.980706   1398.654349    735.829092    658.065615    -30.389271    903.139898   7698.351049     -4.373899    -26.357359    239.305330     -0.713358     -5.263889    902.637968  22477.991978     -7.917157    279.512889   7194.843379    676.171230     -0.101776    257.054468    209.819238    -24.856181  15146.422372   2086.879730    740.838800    -54.669481    -14.896940  12479.236087   2358.951273   9807.082881   5398.599072  24027.405994   8397.962062    721.374239   1451.449152   3270.529413    811.947672   3876.890511   2667.477387    521.076366   5647.419936   8697.539631    769.322888   7931.447582    275.074877     60.806871    102.777067     -3.809410    454.216315      0.000000     47.035113   1950.624224    749.841163     -0.639112    553.811409     -6.486632    -10.107343   1278.095913    424.491772   1851.065959  12583.112968    -18.033254   -105.745570    -36.033520   5711.594926    476.722117   3064.027803   1439.648835   3299.700089    717.113360   8146.867699  16782.933066     -1.282765   3827.612202   1748.632217   1369.919020   1116.398821    976.884724    188.402391   3602.837782    625.950155   2626.369871    246.563021   2786.834964    879.976933     -0.165456   6786.199556    545.178088   3018.384620    721.629537    306.070979     -0.616355     -3.550347    -10.286307    -12.050480     -2.503410   6095.733416    877.051819     -1.652569    -12.439380    -41.394727    482.104224   4301.048243    355.957599   1159.765198   4789.397327    234.873887   2510.192900   3368.148858    811.808256     -1.613821   1159.028114   8762.253837   2375.404687    589.395449   1407.060180   1134.429317  13903.429665  14415.301915   1010.119484    900.889074  14687.106261   2732.252996    225.928520   1450.715780     -1.202097     -3.051585    633.451299    139.472578    198.789700    238.282675   1899.868424   1342.028509     -0.147980   1952.427346   1096.725722     94.856253    766.545422 -41914.139211
   -69.871922    -17.834989    282.994149   3227.575888   3556.892178   1641.221042   6677.148710    551.233432   1066.896639   1267.771572     -1.679679     -0.112294    296.181573   1120.979327   9652.126728   1885.979794    -34.915950   1430.326080    -48.867539   1212.360479    -16.307183   1867.476408  25177.311136  10659.104512     -1.227325   1836.049438   2446.477934   1343.575256    225.251299    297.974239    740.270829    489.715503    551.628884    135.178218    390.712394    221.258991    279.956101   1602.704621  20464.835610  60819.777853     -5.042780   3693.093825   1060.810090   1393.543363    281.799240   1888.198640    267.600639    869.082065    202.606569    391.712723    611.687633    120.604825    156.998002    618.904110    -10.981370    681.312137    275.334448    476.695938    670.171923   1855.459332    840.568032   1886.568884   1001.347837   1934.694019   5090.654344   5411.728377    332.955217    185.775059    428.791875   1275.923248   5232.577205   1093.047353  20014.506781   -861.779377     58.053442    161.332525    531.985763    849.964418   1910.124725    711.918922   4231.783145    809.135071    456.980706   1398.653869    735.828861    658.065490    -30.303365    903.140557   7698.352538     -4.356369    -26.248455    239.305330     -0.701967     -4.835739    902.637968  22488.544703  12383.837757    279.567124   7196.256223    676.171230     -0.101212    257.008318    209.877822    -21.256639  15150.705290   2087.488283    741.009112    -51.769514    -12.653596  12479.954589   2358.950793   9813.993879   5399.902336  24035.775787   8401.418116    718.563805   1446.109641   3270.851557    812.164176   3878.320782   2667.464604    521.074399   5649.034435   8699.784410    769.200335   7930.908748    275.074877     60.806638    102.775226     -3.646916    454.216164      0.000000     47.035101   1951.156035    749.844463     -0.636538    553.780103     -6.387187     -9.197089   1278.245089    424.576514   1851.508121  12583.914586    -16.822442   -100.399765    -35.060726   5713.117762    476.862568   3064.875660   1439.642966   3299.700089    717.112096   8146.866322  16782.933066     -1.170079   3827.612202   1748.635336   1366.975249   1116.452030    976.920299    188.407122   3602.774950    625.948171   2626.364131    246.621155   2786.494407    880.026432     -0.164891   6786.200608    545.208298   3018.383884    721.626191    306.070286     -0.428018     -2.914957     -6.160055     -8.108009     -1.845749   6098.172505    877.044432     -1.532928    -11.782998    -39.744436    482.209184   4302.687558    356.037157   1159.999692   4789.396286    234.881473   2510.559042   3367.759761    812.019776     -3.251782   1157.159748   8765.178543   2375.973095    587.265587   1406.873885   1134.423667  13904.216756  14416.118380   1009.814394    900.883919  14687.019285   2732.241554    225.927597   1450.741303   3470.148981   8711.521790    633.453991    139.504681    198.826646    238.333660   1900.292901   1342.022189     -0.147427   1952.421683   1096.787115     94.868067    766.525810 -41045.448815
 68604.391217   6876.851280    282.990682   3227.979660   3557.007944   1641.214271   6677.126398    551.320048   1066.778611   1267.559694   1160.820183     56.657540    296.180051   1120.678553   9649.885109   1886.008611  28376.205209   1430.098593  31665.977686   1212.229076  20385.633156   1867.288017  25171.259805  10657.905057   3420.934099   1835.722903   2446.204890   1343.501245    225.244880    297.937678    740.116016    489.608250    551.494090    135.161587    390.583794    221.211956    279.896226   1602.327673  20457.819196 139764.715038   8746.275937   3692.937516   1060.766264   1393.483842    281.756375   1887.832178    267.602915    869.018941    202.552303    391.613097    611.687622    120.604133    156.993117    618.882786   3070.337399    681.217609    275.297536    476.736053    669.931146   1855.448150    840.555905   1886.569931   1001.180236   1934.366740   5090.429739   5411.453870    332.983446    185.725370    428.639636   1275.604445   5230.940868   1092.630769  28824.066334  26082.782384     58.058873    161.346449    531.966011    849.914896   1910.010971    711.873384   4231.636588    809.105359    456.980706   1398.603563    735.805963    658.043702   6710.609451    903.141317   7697.939294  12049.861952  52261.338692    239.295773    904.980393   4632.499483    902.599830  25644.698528  12378.687600    279.487668   7194.367425    676.142665    203.734510    257.046267    209.816904  11729.763416  15145.953504   2086.868264    740.843743   5760.379179   4508.529932  12478.559749   2358.830946  20436.083746   5398.247261  24026.591257   8397.873002    718.579369   1446.148287   3270.522479    811.936813   3876.890511   2667.465056    521.074635   5646.939317   8696.500192    769.306672   7930.767602    275.063647     60.804787    102.775143    796.356318    454.189292      0.000000     47.032540   1950.492626    749.803766    708.611692    553.791189   3222.917236   2429.219745   1277.949616    424.469828   1850.898054  12582.063977   2766.488978  10595.723829   3429.841509   5711.191292    476.700596   3063.863146   1439.642868   3299.700089    717.095488   8146.456228  16782.933066    308.264861   3827.448255   1748.637501   1369.929480   1116.487598    976.952911    188.413806   3602.773804    625.938324   2626.361952    246.556569   2786.496913    879.928901    489.672560   7154.991586    545.148625   3018.208760    721.626275    306.070245    741.021199   2269.769309  11517.988381  10346.102121   1655.545228   6095.800707    876.957715   1108.517376   4193.561118   7985.853279    482.064196   4301.463316    355.930999   1159.676552   4789.234841    234.865836   2510.175495   3367.768613    811.763442   6455.155083   1158.995404   8762.003544   2375.171250    589.443323   1407.005360   1134.424077  13902.666558  14414.511978   1010.146652    900.884423  14687.028925   2732.207948    225.935295   1450.742052   3469.742029   8710.492040    633.419930    139.455994    198.806213    238.307599   1899.761666   1342.022540    421.946472   1952.359958   1096.667994     94.856603    766.505413 -40418.214918
 68604.366227   6876.830361    282.990360   3227.880721   3556.997248   1641.210935   6677.107774    551.304955   1066.779624   1267.560943   1160.824947     56.662990    296.179658   1120.668826   9649.798549   1885.977013  28376.833205   1430.052100  31671.508436   1212.217559  20385.878421   1867.272369  25171.176731  10657.916647   3420.941622   1835.726004   2446.207238   1343.461394    225.238132    297.937047    740.107272    489.605640    551.493074    135.161681    390.583716    221.211414    279.895968   1602.320095  20457.787501 139764.490236   8746.313149   3692.938398   1060.766492   1393.484185    281.756440   1887.830560    267.598835    869.078481    202.550789    391.611201    611.683018    120.603987    156.988168    618.882114   3070.321499    681.149560    275.293322    476.728679    669.929310   1855.445160    840.554205   1886.566415   1001.181333   1934.369003   5090.425838   5411.452974    332.975090    185.723249    428.636319   1275.596075   5230.928984   1092.627725  28824.034809  26081.041351     58.064500    161.346518    531.965907    849.914867   1910.010880    711.873384   4231.636588    809.105359    456.962524   1398.603563    735.781968    658.043702   6710.559183    903.024135   7697.511563  12049.888468  52261.499297    239.295818    904.985448   4632.531505    902.600044  25644.700332  12378.683755    279.484859   7194.318355    676.142825    203.734543    257.042721    209.816504  11729.746236  15145.943802   2086.867879    740.844031   5760.292544   4508.515148  12478.571821   2358.828638  20436.065128   5398.226765  24026.588315   8397.873710    718.578622   1446.149252   3270.482883    811.935612   3876.890511   2667.460093    521.073894   5646.918825   8696.475966    769.281611   7930.718034    275.063704     60.804682    102.775056    796.351367    454.189272      0.000000     47.031161   1950.489539    749.805241    708.614523    553.789485   3222.958270   2429.208745   1277.951400    424.469986   1850.883989  12581.999540   2766.465766  10595.536643   3429.771827   5711.178589    476.698983   3063.856771   1439.620399   3299.700089    717.094967   8146.448944  16782.220865    308.314807   3827.449210   1748.636401   1369.922723   1116.501581    976.967761    188.417572   3602.768698    625.937535   2626.308487    246.556801   2786.491201    879.929750    489.673252   7154.992159    545.149147   3018.208663    721.624971    306.077070    741.020997   2269.769963  11517.980408  10346.090462   1655.544003   6095.800434    876.950654   1108.528475   4193.639042   7986.081923    482.061170   4301.463025    355.929212   1159.672762   4789.234841    234.865836   2510.111281   3367.752083    811.759892   6456.030340   1158.989901   8762.000461   2375.165049    589.442907   1406.999459   1134.421910  13902.679754  14414.525294   1010.070079    900.882464  14686.996042   2732.203608    225.934911   1450.739362   3469.747379   8709.949793    633.421135    139.455994    198.825127    238.333005   1899.744501   1342.020103    421.947234   1952.356852   1096.668898     94.856722    766.483904 -40370.779689
 68613.605364   6877.663389      0.102237     10.342748      1.589958      0.476615      2.493625      1.814200   1066.714320   1267.557895   1160.810564     56.656938      0.401561      1.892507     10.697515      3.788532  28376.456743      2.976669  31671.039613      0.718051  20385.728732      1.260256     25.705378  10657.890639   3420.920394   1835.717915   2446.202661      0.081493      0.013797      0.186964      0.998297      0.452412      0.424087    135.177772      0.088768      0.147362      0.123985      1.385605     27.035463  79184.442322   8746.266625   3692.937294   1060.766207   1393.483756    281.756295      0.427010      0.293738      1.453292      0.342175      0.625947      0.259094      0.047810      0.083026      0.303310   3070.668802      1.276814      0.512807      1.014036      0.965843      0.772830      0.330013      0.615062   1001.178932   1934.364160      1.416630   5411.179159      0.885898      0.332398      0.694115      2.143196      6.968176      1.507500   8848.433866  26081.736833      0.103977      0.323133      0.020770      0.026553      0.061012      0.000000      0.000000     -0.000000    456.980706     -0.000000      0.000000      0.000000   6711.288394    903.137045   7697.498520  12049.812077  52261.037168    239.295762    904.979120   4632.491437    902.599777   3176.312643  12379.833473      0.783560     20.115451    676.142625    203.758796      0.572202      0.151307  11730.797061     11.621768      0.646099    740.923678   5760.705565   4508.885040  12478.542290   2358.832406  10651.318704     13.379894     20.420603      3.031304     -2.552776     -4.849911      3.570132      0.564389   3877.262929      1.127326      0.129047     12.242394     17.552321      2.345827     23.570902    275.063633      0.036793      0.031759    796.431677      0.014411      0.000000      0.002820      4.284586    749.803395    708.606310      0.341753   3222.585652   2429.410791   1277.946398    424.469542      5.072863     35.678697   2766.676621  10596.352346   3430.053417     12.385684      0.693132      4.320193      0.534015    299.937688      0.168506   8146.461254  12501.618198    308.344713   3827.448017   1748.846832      2.598655     -4.011623     -3.606640     -0.720305      1.312307      0.215267      0.788269      0.474204      0.340957    879.928176    489.671274   7155.972410    545.148245      0.093894      0.291685      0.074834    741.099315   2270.273447  11519.069520  10347.087763   1655.689366   6096.371010      0.576507   1108.514565   4193.052254   7985.792808      1.361179   4301.468511      1.005112      3.121950      0.000000      0.000000      5.032032      1.163973      2.074913   6456.006349      2.618142      6.308749      5.569037      0.105026      0.826269      0.452406  13902.654449  14414.498737      2.502170      0.348264      5.282261      1.048561      0.081637      0.496790   3469.511525   8709.905892    633.419623    139.472726      0.275855    238.360981      5.589946      0.564031    421.945043      1.105810   1096.603197     94.867786      0.067568 -41862.937401
 68601.570882   6877.472840      0.103540     10.094846      1.490666      0.414626      1.972580      1.759168   1066.704804   1267.470682   1160.667563     56.648742      0.373270      1.851581      9.739336      3.581154  28375.755731      2.901179  31665.317692      0.590632  20385.447304      1.286264     22.983020  10657.151639   3420.612896   1835.571154   2446.040085      0.041798      0.007080      0.190021      0.939842      0.406197      0.430643    135.177193      0.090626      0.126200      0.095670      1.216849     26.946086  79184.618127   8746.151189     -0.159269     -0.044590     -0.060668    281.740352      0.355831      0.271873      1.331082      0.335113      0.616000      0.262838      0.048361      0.084075      0.287077   3070.041587      1.244808      0.479409      0.968130      0.947294      0.783920      0.335531      0.579198   1001.110209   1934.229283      1.223870   5411.179159      0.862727      0.311095      0.647101      2.014319      6.913165      1.490109   8847.647937  26072.037537      0.111240      0.327599      0.021093      0.026643      0.000000     -0.000000     -0.000000     -0.031486     -0.018550     -0.053237     -0.000000     -0.000000   6709.806623    903.134256   7697.457663  12048.715610  52255.630019     -0.009705    904.963405   4632.018985     -0.038854   3174.287885  12378.196981      0.792099     20.443292     -0.029100    203.757567      0.550652      0.133845  11728.476798     10.848401      0.447106    740.832090   5758.579517   4507.808918  12477.684147      0.251208  10650.876544     13.555056     19.281038      2.359315      0.202144      0.386821      3.255807      0.500875     -0.000000      1.119121      0.131370     12.494478     17.405594      2.265842     24.229221     -0.011420      0.035476      0.030340    796.231418      0.014473      0.000000      0.001445      4.245465    749.798811    708.523412      0.335035   3222.452122   2428.381386   1277.848045    424.444303      5.114444     36.308263   2765.814857  10592.488290   3428.802796     12.297330      0.682793      4.279845      0.541887     -0.134794      0.153453      0.859788     -0.730098    308.163932     -0.167144   1748.841406      2.754069     -4.120334     -3.697238     -0.737463      1.274823      0.207660      0.747555      0.394298      0.347792    879.870498    489.632976   7155.958390    545.113340      0.094191      0.296127      0.083078    740.992350   2268.056940  11517.399117  10344.138395   1655.399788   6095.678535      0.493646   1108.480006   4192.800097   7983.874168      1.375263     -0.441848      1.012190      3.143371     -0.000000     -0.000000      4.903313      1.185641      2.094179   6455.114600      2.758141      5.182454      5.621329      0.161375      0.595755      0.442697  13901.734340  14413.542889      2.496946      0.354531      5.386267      1.063453      0.086475      0.505338   3469.225784   8709.173552    633.415867    139.421252      0.241656      0.082161      5.667038      0.559636    421.909322      1.123709   1096.527168     94.867359      0.046213 -45069.849606
   -82.880189    -18.296435      0.105411     10.322621      1.519499      0.423397      2.012550      1.770021   1066.698778   1267.463263     -1.833073     -0.121158      0.305172      1.704474      8.747506      3.504039    -36.777575      2.551219    -46.463291      0.459952    -14.236375      1.107969     20.040843  10657.087500     -2.010476     -0.785620   2446.027668      0.082202      0.013937      0.117087      0.959801      0.356690      0.294122     -0.051964      0.000000      0.103247      0.065126      1.037243     26.740761    192.818768     -5.922947     -0.164497     -0.045942     -0.062701    281.739775      0.275626      0.250295      1.281692      0.308390      0.567515      0.269135      0.049212      0.085209      0.290620    -11.768607      1.149452      0.466157      0.951102      0.928113      0.801383      0.345563      0.598455   1001.104250   1934.340092      1.467053   5411.179159      0.859525      0.301990      0.670102      1.954669      6.832719      1.470214     27.185831   -890.259627      0.100408      0.264374      0.021707      0.026814      0.061817      0.000000      0.000000     -0.000000     -0.019052     -0.000000      0.000000      0.000000    -32.217038    903.133664   7697.432057     -7.143214    -39.541099     -0.009969     -0.809561     -5.849278     -0.040121      5.040956     -9.736570      0.833732     21.250757     -0.030047     -0.078249      0.561379      0.114175    -29.259519      9.938542      0.000000     -0.443221    -58.601488    -16.162586  12477.612332   2358.728641     21.789408     14.067559     17.921506      1.633000      0.139482      0.268206      2.934773      0.427774   3876.082279      1.147660      0.135763     12.778101     18.129708      2.272900     25.242753     -0.011755      0.036050      0.030814     -4.349272      0.014589      0.000000      0.002840      4.403804     -0.266933     -0.777645      0.324476     -7.404969    -11.266910     -0.548200    424.443032      5.381067     37.876193    -19.628502   -110.595218    -38.395372     12.775135      0.672529      4.224340      0.554989     -0.000000      0.173885   8146.103810     -0.754518     -1.536517     -0.172808   1748.840402      3.014647     -4.085437     -3.664024     -0.731163      1.361090      0.222941      0.761303      0.300808      0.000000    879.866171     -0.266405   6785.132034    545.110814      0.094750      0.303787      0.077465     -1.032623     -5.613038    -13.596715    -15.240915     -3.056337     -3.291453      0.407902     -1.822692    -13.442635    -45.194503      1.424273   4300.591197      1.045842      3.247410      0.000000      0.000000      4.295787      0.817968      2.168810     -3.415886      2.972992      5.378796      5.823795      0.274450      0.549920      0.455002  13901.665497  14413.471280      2.480618      0.366115      5.218768      1.088910      0.080822      0.487408     -1.706181     -4.338852     -0.223256    139.421044      0.093533     -0.057382      5.883957      0.573661     -0.240023      1.140391   1096.588396     -0.035972      0.068077 -46917.170197
   -84.260237    -18.524503      0.135627     10.367293      2.166765      0.642537      2.911215      1.777305     -0.272368     -0.327521     -1.768895     -0.113298      0.273711      1.445562      7.743720      3.252943    -38.021184      1.991691    -48.022578      0.160376    -17.788692      0.465080     17.158324     -2.777885     -1.676741     -0.730398     -0.477900      0.219787      0.037272      0.080224      0.983770      0.306035      0.226517     -0.089319    390.492305      0.053408      0.000000      0.854763     23.070950    168.770428     -5.941966      0.179765      0.050178      0.068528    281.753971      0.401724      0.195862      1.141881      0.261598      0.481638      0.348355      0.063627      0.106073      0.370029    -11.891482      0.978921      0.401584      0.891900      0.776236      1.023168      0.462106      0.868981     -0.191710     -0.375403      2.102062   5411.807811      0.854473      0.259604      0.575571      1.679773      5.816719      1.249996     23.146547   -899.239516      0.089805      0.233565      0.071360      0.114566      0.264248      0.077634      0.335902      0.068872      0.020795      0.116149      0.079903      0.072841    -32.530793    903.130645   7698.290751     -5.043415    -34.696830      0.010881     -0.823781     -6.021185      0.043843      0.000000    -12.950550      0.810197     20.257815      0.032833     -0.134242      0.532936      0.070845    -33.348266      7.375799   2085.967969     -0.545225    -60.641805    -17.917531     -3.224353   2359.026704     17.576564     13.364814     13.952476      0.000000      0.000000      0.000000      3.014559      0.265552     -1.676458      1.499088      0.193865     12.203308     16.613273      2.275909     25.013587      0.012837      0.044528      0.042814     -4.556354      0.062354      0.000000      0.007591      4.080182     -0.206560     -0.724794      0.404937     -7.687672    -12.296539     -0.419633    424.462574      5.180254     36.891968    -20.451678   -114.308461    -39.620270     11.848772      0.571379      3.596059      0.741663      0.296464      0.241732   8147.120640      0.824626     -1.613664      0.188884   1748.835357      3.631198     -3.674743     -3.725896     -0.743963      1.760744      0.290196      1.021416      0.305341     -0.755989     -0.170117     -0.186956   1231.817161    545.169430      0.404789      0.389787      0.129933     -1.050250     -6.399028    -16.849856    -18.335513     -3.579030     -4.774172      0.212070     -1.885877    -14.498826    -49.342001      1.365256     -1.420687      1.000306      3.106163      0.541216      0.026853      3.341928     -0.000000      2.056552     -4.429901      3.380249      3.982965      5.471706      0.776877      0.809350      0.608209     -2.707721  14415.060859      2.527462      0.477130      7.408569      1.441666      0.110590      0.691262     -1.368085     -3.480438     -0.172737    139.420552      0.095051    238.170593      5.681706      0.749149     -0.168972      1.410283     -0.273498     -0.061928      0.145809 -49201.367324
   -97.280874    -19.976776      0.198730     10.566571      2.652229      0.866261      3.813120      1.811303     -0.215823     -0.259547     -1.553446     -0.097108      0.316658      1.056114      7.924580      2.975598    -39.077879      1.522316    -54.667376     -0.166930    -21.484236      0.239834     17.510112     -2.201612     -1.520169     -0.642408     -0.337184      0.488188      0.075988      0.081964      0.922909      0.313000      0.231305     -0.072432    390.441762      0.027506    279.769721      0.874172     12.634729     83.945835     -4.237468      1.026473      0.286064      0.461516     -0.036831   1887.519769      0.135698      1.077562      0.191374      0.353575      0.502057      0.091331      0.120075      0.445154    -12.050189      0.715155      0.302272      0.908950      0.550334      1.475982      0.697125      1.361917     -0.205283     -0.264765      2.501705   5412.489964      0.846924      0.158624      0.352196      1.030385      4.306361      0.826438     19.014665   -911.932925      0.109990      0.273082      0.190526      0.285849      0.597992      0.204831      1.307759      0.234965      0.139474      0.395695      0.210781      0.192384    -32.950479    903.126781   7699.266985     -4.448141    -28.228947      0.061911     -0.656959     -5.270088      0.250310     -8.243699    -18.204896      0.708392     16.835695      0.187443     -0.080971      0.562711      0.048756    -36.154404      4.661450     -0.741819     -0.755601    -61.751226    -19.165035     -2.553823   2359.208272      7.653244     10.504123      4.967241     -2.652409     -0.224774     -0.436169      2.668109      0.183150     -3.104788      2.203929      0.344117      8.801045     12.107432      2.322604     21.969915      0.073139      0.050338      0.062250     -4.635670      0.155745      0.000000      0.016849      3.125005     -0.046687     -0.586158      0.515160     -7.678882    -12.583530     -0.448936     -0.083577      4.520555     30.907449    -20.872812   -118.724280    -40.231631      9.088216      0.376897      2.660955      1.090843      1.014428      0.391600   8147.737782      5.553372     -1.644704      1.079257   1748.828366      4.762747      1.654652     -3.804524     -0.758831      2.607111      0.433391      1.586472      0.311875     -1.171643     -0.120009     -0.163950   6785.054837     -0.072983      1.009654      0.581282      0.237144     -1.182464     -6.932945    -20.530214    -21.826802     -3.935329     -6.443794      0.109072     -1.835030    -14.740739    -53.440869      1.144584     -2.998984      0.836060      2.601398      1.430817      0.071036      2.549739   3366.160055      1.609944     -5.485881      3.944012      0.000000      4.264767      1.880965      1.005171      0.916312     -1.909316     -1.980849      2.776926      0.737872     11.851149      2.147264      0.165659      1.102526     -1.459611     -3.715580     -0.039022    139.419877      0.120479    238.169234      4.638868      1.101038     -0.148621      1.593543     -0.216615     -0.050271      0.297350 -50865.210333
