NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
53.875716 17.462893 12.430884 15.879416 19.566791  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
57.046411 14.442787 12.387705 15.443221 19.481403  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
55.798991 13.420794 12.572848 16.064504 18.556496  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
46.952551 18.509190 17.187895 19.242904 22.953627  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
47.437358 20.169811 17.391506 18.771939 23.258896  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
17.212134 22.122929 11.962675  8.511503 22.658374  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
13.919177 16.597202 10.893356  8.130189 21.244201  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
12.868209  3.712142  2.016202  4.853761  6.950646  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
10.845533  5.301839  1.763095  4.827600  6.343502  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
7.563210 5.434036 1.705818 4.991405 5.999533 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.068870 4.861546 1.684406 5.026465 5.967068 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.272681 4.805098 1.725161 5.093947 5.784141 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.140851 4.542653 1.699021 5.019384 5.733139 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.454416 5.761276 2.582802 5.086524 5.757932 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
8.198227 4.370904 3.823004 5.102616 5.709884 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10.428263  3.643479  4.102143  5.019919  5.413465  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
