NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
4.454616 9.011792 1.460636 5.805596 7.220916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.439929 9.850527 1.573331 5.836129 7.789476 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 5.405999  9.891946  1.566352  5.852340 10.546179  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
5.304678 9.199369 1.646004 5.705941 7.859403 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.320993 9.207763 1.691094 5.661831 7.943673 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.206368 9.505295 1.689257 5.594318 7.607554 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.936733 9.953252 1.693952 5.508911 6.825353 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 3.645719 10.074399  1.670790  5.582282  6.616107  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 2.815251 10.315911  1.616507  7.172890  5.788172  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 2.745595 10.500864  1.521333  8.944245  5.533869  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
3.177209 9.899062 1.577083 8.588864 5.886481 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.000105 9.654344 1.584032 8.453880 6.011599 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.631800 9.640073 1.577431 8.239304 6.909270 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.233598 9.665247 1.587663 8.167936 6.946917 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.201065 9.607188 1.458362 8.116871 6.113503 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.441590 9.567522 1.469161 8.085152 6.829088 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.368890 9.558396 1.445498 8.174943 6.812355 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 5.323783 25.226199  1.403697  8.319307  6.818422  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.403449 25.265133  1.460383  8.189036  6.837373  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.193650 25.458461  1.418884  8.262946  6.080825  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.132548 25.730256  1.604790  8.320940  6.182463  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
5.272720 9.663359 1.382991 8.354591 5.115500 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.018670 9.668004 1.320055 8.488152 5.273786 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 3.034924 10.349805 10.601388  9.005660  5.400620  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 2.891682 10.521456 10.352102  9.406074  5.850017  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 3.607655 10.828024 18.866968  9.099378  6.703818  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 4.550420 10.298161 29.404073  9.097604  7.136904  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 3.683017 10.119287 15.791755  9.111844  6.802552  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 3.409572 10.176879 20.125973  9.084998  6.720058  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 2.763030 10.189548  6.804652  9.049468  6.143745  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 3.169165 10.268176  7.311372  8.902731  5.248397  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.159164 10.414806  9.230686  8.983535  5.593459  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 5.653305 10.290879  1.628239  8.409996  5.326396  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
5.466654 9.688621 1.456998 8.187797 5.151612 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.291475 9.641392 1.444875 8.155073 4.996234 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.196576 9.639515 1.519144 8.448133 5.116018 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.236369 9.673115 1.481859 8.089371 4.977419 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.211678 9.645613 1.485086 8.076828 5.107994 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.246620 9.616990 1.504078 8.463613 4.962198 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
7.251313 9.576539 1.511043 8.380460 6.054333 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 7.334662 24.900033  1.580211  8.436397  6.753348  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 7.286430 24.625015  1.473508  8.126367  6.722568  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 7.224666 24.515388  1.474536  8.014285  6.688633  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
5.498041 9.402993 1.454787 8.187090 6.802110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.425111 9.433420 1.592933 8.155397 5.008768 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.602930 9.427681 1.525279 8.204408 5.148195 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
 5.783450 10.257892  1.526711  8.304889  5.383494  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
3.547407 9.715624 1.569737 8.414698 5.531894 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.485638 8.410983 1.384027 8.406945 6.174188 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.860500 8.219340 1.238894 7.790504 7.006446 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.382076 7.657727 1.346720 7.880809 8.322783 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.577060 7.354398 1.252940 7.222070 7.086295 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.687646 7.145956 1.221538 7.491606 7.082938 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.334378 6.917581 1.190128 7.482822 7.055437 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.787228 6.508310 1.226545 8.124805 6.690082 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.345436 6.064484 1.269805 8.439328 6.204855 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.629492 6.576433 1.406020 8.601172 5.669284 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.654965 6.308112 1.452613 8.384069 4.917027 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.271216 5.747419 1.575266 8.228946 5.626116 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.147042 5.649872 1.587754 8.150142 5.669016 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.107264 4.866868 1.595993 8.094594 5.615790 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.993519 4.411804 1.599693 8.055538 5.541237 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.392538 3.581496 1.521663 8.008366 5.568817 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.289324 2.188603 1.488939 8.087005 5.056154 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.549497 2.071998 1.474751 8.149262 6.558984 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.647337 2.392259 1.478314 8.284500 6.523779 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.722565 3.040887 1.494498 8.455184 6.564231 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.625886 2.391765 1.563456 8.542713 6.630581 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.484736 1.790788 1.526329 8.645897 6.796032 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.623861 1.571820 1.505357 8.801739 4.985826 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.787204 2.649472 1.546328 8.657220 4.047654 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.029687 0.622617 1.218427 4.879383 3.446705 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.763395 0.416156 1.140933 4.612996 2.707267 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.679183 0.497467 1.154007 4.754071 2.143104 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.618707 0.381881 1.220526 4.998686 2.021547 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.745495 0.438304 1.132092 4.672167 2.491268 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.783861 0.671847 1.128113 4.749997 2.909813 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.309789 4.831033 1.137498 4.663853 5.415285 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.608630 6.069866 1.655274 5.447966 4.620219 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.903310 6.567939 1.635253 5.609164 6.527111 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.829339 7.507282 1.693984 8.909523 5.840502 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.863214 7.098105 1.694108 8.851270 6.512603 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.884052 7.281876 1.830835 9.024100 6.518902 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.787284 7.427313 1.835865 8.952828 5.828245 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.966348 7.419027 1.815219 8.959881 6.588650 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.018996 7.325169 1.788461 8.670325 6.537986 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.950132 7.074116 1.804512 9.019496 6.580247 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.779054 7.065907 1.867779 9.017223 5.810504 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.804555 7.157558 1.877287 9.025126 6.519869 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.761976 7.663241 1.844548 8.014024 6.477476 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.797555 7.691824 1.847828 7.190896 6.493325 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.808545 7.481743 1.846456 6.361257 6.544627 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.934669 6.564955 1.732004 5.578928 6.579493 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.148685 5.803563 1.673720 5.509076 6.474146 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.916030 4.774796 1.678728 5.565819 6.390713 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.777602 2.895394 1.728499 5.432536 4.059363 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.439591 0.733444 1.213843 4.671429 4.068925 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.781948 0.756434 1.212964 4.612540 4.453870 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.660353 0.684685 1.221105 4.566720 4.318780 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.632883 0.828341 1.186777 4.608170 4.324648 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.167046 0.972398 1.169686 4.562718 4.668542 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
