NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
30.015976 20.228500  5.675831  7.911763 12.559947  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
32.140347 19.073006  6.086107  7.327443 12.242187  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
30.101708 15.678934  5.831827  7.888541 11.193039  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
29.213098 14.064330  4.984478  7.774635 11.110147  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
27.756527 15.167194  4.616278  8.221302 11.183997  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
22.908522 16.789830  4.267231  8.195019 11.436198  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
15.690640 14.555276  2.942983  7.771028 12.838247  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
12.751659  8.424228  2.464147  7.751669  9.912229  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
11.914584  7.481759  2.315870  7.654673  7.418535  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
9.776566 8.042654 2.160903 7.632548 5.143962 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
9.540703 8.167168 2.114831 7.644413 5.300628 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
9.805396 8.163297 2.074779 7.692422 5.013512 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
9.702666 8.153979 1.995617 7.682971 5.002456 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
9.876708 8.524431 1.961421 7.720743 4.974186 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10.412379  8.594408  1.961597  7.723031  5.215960  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
11.804691  8.680520  2.017732  7.690370  6.998860  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
13.335452 10.174245  2.201572  7.689471  9.996570  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
14.471265 15.655755  2.854586  7.761315 12.729556  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
16.439564 16.721868  3.055305  7.720156 15.711329  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
16.907770 18.406207  3.105293  7.818312 16.039292  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
17.125473 18.497902  3.156866  7.850589 14.874503  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
18.142541 22.362361  3.724895  7.961980 10.880452  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
21.889927 21.538328  4.057812  7.967865 11.376908  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
26.060599 23.013428  4.946832  8.025815 12.881759  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
32.190825 21.969156  5.475703  8.158612 12.774951  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
32.506071 22.732891  5.736818  8.178209 12.504191  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
32.745661 22.235824  5.933298  8.224514 12.519037  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
