NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 31.248118  71.270311 343.580605 400.219524  33.746070   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 89.060542  72.971431 329.239977 401.970844  34.849018   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 29.911870  72.999792 315.210757 391.162294  33.390294   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 31.833706  71.159435 262.592856 392.853436  32.498726   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 34.616048  62.242084 247.143901 377.171672  31.574544   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 35.769281  54.550189 242.858455 366.197870  30.816440   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 39.626231  44.033187 242.987274 343.234926  29.787130   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 40.521224  42.059838 234.534586 341.128454  29.414360   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 38.223787  41.094115 226.757126 319.140582  29.073354   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 21.669150  41.003625 208.717566 298.807372  28.282740   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 21.233528  40.350231 216.071716 295.025310  28.336182   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 17.162797  46.748089 195.806735 250.761536  28.582104   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 16.032504  46.020781 124.091178 250.021157  26.233600   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 12.125904  46.969740 140.480578 196.709101  26.859174   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 14.865784  51.763874 149.552907 165.547240  27.822668   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 11.165629  57.736966 196.927096 153.532873  29.599674   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  9.060719  66.743943 286.475047 137.460972  32.037336   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 19.635767  73.751861 350.730671 122.533008  34.017058   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 16.125830  90.412818 280.516169 130.709761  34.075502   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 16.966724  91.939548 339.669769 130.988756  35.044348   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  8.285072  96.843899 368.096069 122.278213  35.247178   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 16.676874 101.803652 409.368163 110.470011  36.495064   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
  8.223365 112.721006 395.359836  81.745301  36.558534   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 21.906423 110.019344 637.298035 105.830032  39.146890   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 26.636856 106.288832 617.529863  93.924669  38.986082   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 26.010528 103.054014 703.567129  92.031398  39.386742   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 16.109756  93.108890 815.780820  74.195720  39.127578   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 15.010813  92.010824 681.320911  78.953400  38.083928   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 15.000143  87.125890 733.658162  72.174407  38.128086   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 61.647830  92.953829 596.094058  68.032699  38.997358   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
 57.243685  99.632165 608.324915  58.528231  39.450110   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
