Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
-205.031197   -5.534045    0.046815    0.562035    0.191937    0.039703    0.566241    0.105386   -0.074262   -0.054763   -0.525057   -0.032380   -0.030543    0.054079    0.093204    0.432610  -21.719478    0.018781  -23.145486   -0.324145  -11.833667   -0.368966    0.248424   -0.705035   -0.500027   -0.199948   -0.123662    0.018583    0.002833    0.002265    0.008024    0.005271    0.019380   -0.000721    0.002629    0.002627    0.005595    0.015251    0.024756   -0.677840  -33.532327   -1.439697   -0.226213   -0.292321   -0.000876    0.208743   -0.012615    0.101710    0.008556    0.013440    0.133413    0.024538    0.006356    0.013748   -2.344535    0.038861    0.021972    0.127491    0.021278    0.397875    0.126057    0.135945    0.012823   -0.040761   -0.186724   -0.517558    0.070784    0.004836    0.010712    0.031182    0.073460    0.017297   -0.037060  -10.585649   -0.000213    0.000299   -0.019722    0.011846    0.027255    0.009386    0.065899    0.013417    0.018976    0.022683    0.010737    0.008791  -93.155605    0.066499   -1.010980   -2.360818  -12.275826    0.007033   -0.805009   -4.038501   -0.089460   -0.499034   -0.480467    0.036261    0.626602   -0.160058   -0.003627    0.067530    0.000333   -0.761680   -0.062163   -0.022607   -0.010845   -1.041628   -0.383565   -0.759324    0.003824   -0.102041    0.296214   -0.263789   -0.162209   -0.013912   -0.026584    0.037435   -0.001245   -0.099652    0.527484    0.022181    0.203614    0.224172    0.149794    0.770816   -0.103211    0.003288    0.012938   -0.104658    0.006436  -39.205839    0.000578   -0.092589   -0.329162   -0.244223    0.116637   -2.826152   -0.250859    0.016396    0.090424    0.328543    1.027191   -0.383246   -1.999706   -0.688328    0.007057    0.011245    0.045504    0.235015   -0.218332    0.060779    0.013084   -3.268801   -0.035824   -0.919413   -0.006194    0.269445    0.267200    0.240108    0.047981    0.553516    0.090721    0.303552   -0.000840   -0.976475   -0.035529   -0.000757   -6.221917   -0.008658    0.041878    0.127294    0.064954   -0.025756   -0.146150   -0.515031   -0.525477   -0.090076   -0.194545   -0.022191   -0.987113  -60.843137 -143.257169    0.051826   -0.094878    0.038152    0.118305    0.065211    0.003591    0.031645   -0.713529    0.045825   -3.415890    0.200398   -0.112193    0.074891    0.135061    0.196291    0.176196   -1.447896   -1.313934    0.264957    0.119243    1.402139    0.439765    0.015080    0.102578   -0.275949    0.056083    0.151765   -0.009786    0.003748   -0.001198    0.174049    0.263768   -0.034001    0.104165   -0.076381    0.002991    0.010506 -945.991056
-246.788967   -5.469957    0.045633    0.483273    0.160608    0.036296    0.450457    0.090240   -0.067885   -0.051686   -0.519758   -0.032031   -0.031772    0.055008    0.072833    0.362496  -31.976724    0.018236  -25.441580   -0.920853  -16.100434   -1.358105    0.195066   -0.639978   -0.482867   -0.193094   -0.085862    0.007423    0.000943    0.001668    0.006539    0.004310    0.019043   -0.000474    0.003246    0.002587    0.005062    0.011955    0.245852    1.345156  -22.507510   -1.462236   -0.234037   -0.300287    0.000000    0.208663   -0.012744    0.082717    0.009049    0.014958    0.126393    0.023275    0.006780    0.015456   -2.322588    0.038077    0.020276    0.125154    0.022979    0.376890    0.120634    0.121019    0.009424   -0.027624   -0.176869   -0.501011    0.059795    0.006721    0.013684    0.041700    0.112575    0.024287    0.220489  -10.453365   -0.000210   -0.000000   -0.024249    0.004731    0.010880    0.003121    0.026255    0.005338    0.014142    0.009029    0.004284    0.002922  -89.109764    0.064112   -0.980087   -2.305163  -11.964854    0.004521   -0.808472   -4.057670   -0.096993   -0.283216   -0.384862    0.035840    0.602121   -0.164990   -0.003584    0.066380    0.000987   -0.698048    0.041075   -0.009591   -0.009534   -1.023055   -0.358258   -0.685509    0.011231    0.101262    0.294392   -0.000000   -0.092149   -0.007911   -0.015109    0.030421    0.002461   -0.065855    0.510309    0.017220    0.222960    0.265095    0.127855    0.693456   -0.104913    0.003358    0.012541   -0.102238    0.002569  -28.595115    0.000193   -0.109104   -0.334830   -0.239389    0.113098   -2.839206   -0.236640    0.012049    0.087602    0.316499    0.940318   -0.370721   -1.965159   -0.682734   -0.000000    0.014410    0.069687    0.226165   -0.199791    0.058103    0.038461   -3.335791   -0.034963   -0.947442   -0.006138    0.216185    0.262799    0.235836    0.047027    0.537835    0.087046    0.293088   -0.000832   -2.122430   -0.025049   -0.000745   -6.122785   -0.009340    0.016727    0.123940    0.061557   -0.023075   -0.133839   -0.422725   -0.439680   -0.079068   -0.149063   -0.021665   -0.991333  -50.805378 -141.756423    0.050047   -0.062656    0.036881    0.114681    0.021665    0.001431    0.026440   -2.450166    0.045519   -4.886924    0.163187   -0.022290    0.074514    0.110984    0.154774    0.169042   -0.487072   -0.505127    0.260556    0.113350    1.278640    0.423199    0.013446    0.091348   -0.281572   -0.054984    0.143624   -0.009684    0.003368   -0.000790    0.166867    0.255255   -0.033329    0.106178   -0.068395    0.002619    0.004198 -948.530740
-195.823076   -5.462283    0.054089    0.442953    0.138495    0.031096    0.377821    0.081572   -0.054450   -0.037656   -0.512387   -0.031917   -0.030017    0.069391    0.073098    0.320898  -28.037179    0.015726  -25.641296   -0.926712  -16.231686   -1.361858    0.195308   -0.504065   -0.420165   -0.155134   -0.062327    0.011106    0.001880    0.001667    0.006547    0.004305    0.011629   -0.000472    0.001930    0.002573    0.002738    0.011963    0.738501    5.197183  -10.392403   -1.420634   -0.223379   -0.283095    0.004287    0.234650   -0.012802    0.071570    0.011637    0.020698    0.124065    0.022915    0.010471    0.028986   -2.317541    0.042523    0.021954    0.124933    0.032820    0.370306    0.142537    0.153271    0.010964   -0.018373   -0.076614   -0.399431    0.053480    0.010867    0.023418    0.069793    0.205872    0.045974    0.782607  -10.360594   -0.000210    0.000294   -0.022089    0.005897    0.013546    0.005175    0.032568    0.006603    0.015520    0.011179    0.006395    0.005810  -84.122938    0.063928   -0.843967   -2.119315  -11.138325    0.006496   -0.797234   -4.004597   -0.089084    0.207136   -0.196644    0.041763    0.781757   -0.157708   -0.003207    0.066176    0.002928   -0.574253    0.279226    0.009413   -0.007057   -0.985157   -0.316340   -0.527427    0.014960    0.563010    0.416888    0.508287    0.067628    0.163248    0.309985    0.024430    0.010911   -0.005337    0.549229    0.024499    0.379312    0.443796    0.115716    0.930094   -0.102091    0.004821    0.015581   -0.098848    0.003840   -4.764364    0.000384   -0.168300   -0.328348   -0.231771    0.110974   -2.801552   -0.213702    0.011999    0.076946    0.319975    1.280694   -0.348414   -1.896892   -0.666980   -0.000000    0.022438    0.127637    0.273788   -0.124013    0.078793    0.038428   -3.102780   -0.033618   -0.905073   -0.006108    0.276808    0.259366    0.233541    0.046722    0.655654    0.107354    0.372935   -0.000824   -2.138038   -0.019444   -0.000000   -6.116281   -0.006778    0.020852    0.146796    0.060500   -0.020353   -0.110267   -0.258464   -0.303551   -0.059862   -0.051203   -0.021755   -0.977549  -44.923995 -136.134410    0.060040   -0.000000    0.044333    0.137336    0.043052    0.001777    0.026528   -2.464856    0.064739   -4.923473    0.208939    0.151521    0.105374    0.130504    0.128136    0.199954   -0.353708   -0.366727    0.259651    0.135973    1.585992    0.499816    0.017084    0.115787   -0.043194    0.031423    0.140343   -0.009136    0.002672   -0.000782    0.217828    0.274759   -0.030548    0.152660   -0.054812    0.002769    0.006282 -944.388207
-156.388704   -5.458789    0.042146    0.479242    0.180542    0.051099    0.467574    0.087521   -0.030813   -0.019462   -0.405325   -0.025241   -0.026634    0.080320    0.054543    0.344125   -8.388446    0.013016   -8.766963   -0.126222   -4.497701   -0.141462    0.145863   -0.280454   -0.313549   -0.112796   -0.038257    0.011110    0.001881    0.001106    0.005206    0.003424    0.010524   -0.000705    0.001919    0.002192    0.001814    0.008926    0.989462    6.898958  -18.120158   -1.396807   -0.218198   -0.273545    0.010134    0.269713   -0.002268    0.091828    0.013620    0.024299    0.120025    0.022151    0.008112    0.023408   -2.316778    0.047778    0.024337    0.122141    0.039958    0.366989    0.111801    0.119414    0.009235   -0.009019   -0.053106   -0.311612    0.057163    0.012708    0.028109    0.081624    0.267243    0.057915    1.054773  -10.329828   -0.000313    0.000293   -0.016595    0.007079    0.016264    0.006214    0.039122    0.007934    0.015546    0.013432    0.006399    0.005815  -75.311489    0.062083   -0.651514   -1.630277   -8.508373    0.006506   -0.798898   -4.012577   -0.086014    0.410632   -0.106290    0.047155    0.952161   -0.154374   -0.002484    0.064669    0.003877   -0.514842    0.394601    0.018675   -0.004674   -0.961554   -0.299904   -0.287734    0.040488    0.774180    0.566900    0.723113    0.134235    0.161284    0.305676    0.018217    0.014437    0.026413    0.464575    0.019824    0.455658    0.674311    0.124513    1.109838   -0.100357    0.003787    0.011966   -0.097078    0.003842    0.000000    0.000384    0.169310   -0.326274   -0.181684    0.109610   -2.807110   -0.204593    0.027462    0.072561    0.371092    1.578757   -0.337562   -1.871693   -0.658848    0.489182    0.027942    0.165764    0.209470   -0.062112    0.059744    0.138714   -2.956743   -0.032945   -0.886013   -0.009132    0.297291    0.255550    0.230068    0.046017    0.503008    0.082150    0.281994   -0.000819   -0.409746   -0.013657   -0.000000   -6.105936   -0.006678    0.025032    0.112859    0.060467   -0.019033   -0.098866   -0.170903   -0.237885   -0.051933   -0.008450   -0.047468   -0.979565  -49.807533 -135.517907    0.071793    0.024238    0.053059    0.164673    0.043090    0.002134    0.021958   -0.358572    0.088064   -1.353543    0.239976    0.235700    0.232445    0.128528    0.148246    0.155445   -0.217172   -0.225085    0.254172    0.105370    1.232765    0.387306    0.013304    0.090193   -0.100778   -0.188289    0.140609   -0.008857    0.001993   -0.001165    0.265074    0.232461   -0.023456    0.119602   -0.031058    0.003079    0.007331 -931.883806
-200.606453   -5.464835    0.038950    0.464560    0.173891    0.050740    0.453345    0.085091   -0.030679   -0.019375   -0.377498   -0.023529   -0.027605    0.079905    0.054043    0.335469   -7.620694    0.012814   -7.976130   -0.115788   -4.122076   -0.130396    0.145319   -0.279085   -0.328257   -0.126364   -0.038036    0.011099    0.001879    0.001101    0.005155    0.003402    0.010493   -0.000703    0.001915    0.002182    0.001809    0.008869    0.988285    6.890407  -11.888945   -1.375695   -0.215204   -0.269449    0.010089    0.268686   -0.002237    0.089511    0.013559    0.024225    0.110487    0.020413    0.007399    0.020661   -2.319992    0.046231    0.024137    0.121251    0.039881    0.338599    0.103907    0.115338    0.009189   -0.008972   -0.060525   -0.302422    0.056104    0.012626    0.027974    0.081303    0.260429    0.057797    1.053609  -10.350531   -0.000313    0.000293   -0.013760    0.007071    0.016240    0.006202    0.039009    0.007903    0.015474    0.013384    0.006387    0.005802  -79.947552    0.062149   -0.637317   -1.565586   -8.131463    0.006476   -0.794037   -3.989434   -0.083918    0.410713   -0.106344    0.046985    0.959133   -0.152301   -0.002483    0.064267    0.003865   -0.515207    0.413980    0.018658   -0.004668   -0.963097   -0.300209   -0.305575    0.036570    0.797665    0.572683    0.754442    0.134267    0.161332    0.305614    0.018016    0.014400    0.026407    0.431395    0.019710    0.461575    0.683550    0.120745    1.117370   -0.098900    0.003500    0.011003   -0.097201    0.003836    0.000000    0.000384    0.169187   -0.321660   -0.170143    0.109061   -2.790710   -0.204820    0.027349    0.074187    0.403936    1.591327   -0.338003   -1.875042   -0.660107    0.488674    0.027877    0.161575    0.194369   -0.067437    0.054044    0.125357   -2.909417   -0.032985   -0.873912   -0.009147    0.296511    0.254653    0.229115    0.045775    0.460265    0.075860    0.260713   -0.000820   -0.378651   -0.013577   -0.000000   -6.104172   -0.006639    0.025006    0.105105    0.060242   -0.019039   -0.098846   -0.171039   -0.238122   -0.051960   -0.008452   -0.051151   -0.973600  -43.834877 -136.345457    0.074214    0.024221    0.054873    0.170398    0.042985    0.001774    0.017343   -0.347893    0.088947   -1.253431    0.239466    0.235584    0.232184    0.128183    0.142856    0.143097   -0.215933   -0.223835    0.252460    0.098329    1.170630    0.358792    0.012866    0.087141   -0.280036   -0.710036    0.139810   -0.008862    0.001992   -0.001165    0.266846    0.215877   -0.022717    0.110554   -0.030939    0.003068    0.006279 -932.086258
-181.494822   -5.479441    0.040015    0.463755    0.164478    0.043562    0.425994    0.085041   -0.035902   -0.023504   -0.392393   -0.024377   -0.027733    0.079026    0.072587    0.335656   -8.953054    0.018127   -9.361769   -0.131909   -4.801016   -0.147343    0.146053   -0.331948   -0.348870   -0.136268   -0.046159    0.011113    0.001881    0.001108    0.006499    0.004284    0.010549   -0.000707    0.002573    0.002566    0.002735    0.008930    0.932670    6.524962  -12.001587   -1.398786   -0.220348   -0.279010    0.008916    0.260273   -0.002711    0.087573    0.013395    0.023960    0.114143    0.021063    0.007432    0.020762   -2.325593    0.046652    0.023931    0.123841    0.038502    0.346493    0.106075    0.112761    0.009289   -0.012097   -0.076163   -0.321599    0.055582    0.012465    0.027016    0.080370    0.251629    0.055833    1.000148  -10.380560   -0.000314    0.000294   -0.015693    0.007081    0.016270    0.005181    0.039150    0.006619    0.015564    0.013444    0.006402    0.005818  -86.748227    0.062352   -0.667780   -1.644223   -8.586460    0.006514   -0.800123   -4.018392   -0.086135    0.381271   -0.143603    0.045863    0.912415   -0.154589   -0.002496    0.065637    0.003575   -0.538905    0.380385    0.015720   -0.004709   -0.977620   -0.310129   -0.347463    0.033261    0.737681    0.524834    0.701958    0.124419    0.163721    0.311046    0.030281    0.013337    0.016076    0.442878    0.018908    0.448265    0.610605    0.120646    1.080500   -0.100484    0.003517    0.011209   -0.097613    0.003843    0.000000    0.000385    0.048159   -0.325386   -0.177542    0.110084   -2.811259   -0.210309    0.025689    0.076206    0.336351    1.516247   -0.344663   -1.901069   -0.662446    0.322955    0.026955    0.156007    0.200256   -0.124369    0.055430    0.113957   -3.052540   -0.033685   -0.887298   -0.009178    0.301630    0.258814    0.232686    0.046471    0.474540    0.077275    0.266169   -0.001238   -0.421904   -0.015097   -0.000000   -6.129020   -0.006707    0.020865    0.108167    0.060556   -0.019199   -0.103384   -0.207570   -0.256526   -0.055076   -0.025710   -0.037287   -0.981076  -45.819404 -131.975911    0.067652    0.024541    0.049955    0.155165    0.043115    0.001780    0.026266   -0.356838    0.081390   -1.435506    0.236758    0.217356    0.193451    0.130510    0.137712    0.147883   -0.261971   -0.271594    0.257799    0.100664    1.179934    0.369815    0.012560    0.085164   -0.298942   -0.758314    0.140812   -0.008907    0.002005   -0.001174    0.253554    0.221584   -0.023626    0.111166   -0.036187    0.002927    0.006285 -933.708896
-208.148767   -5.524348    0.049877    0.505263    0.168437    0.039488    0.456027    0.093236   -0.072413   -0.052608   -0.529853   -0.032605   -0.028713    0.059021    0.073783    0.373037  -13.858616    0.015853  -14.707579   -0.206287   -7.559338   -0.236775    0.197491   -0.685814   -0.527304   -0.217126   -0.083452    0.009288    0.001573    0.001689    0.006623    0.004363    0.012855   -0.000480    0.002627    0.002991    0.005121    0.012108    0.324351    1.709144  -18.188135   -1.463923   -0.231487   -0.294306   -0.000000    0.216835   -0.008301    0.090869    0.009767    0.016270    0.126039    0.023191    0.007761    0.019230   -2.342497    0.039680    0.021394    0.126797    0.025235    0.375915    0.131816    0.135668    0.011187   -0.025003   -0.163183   -0.499841    0.061643    0.007367    0.015729    0.047698    0.127710    0.028976    0.298796  -10.543182   -0.000213    0.000298   -0.023436    0.005921    0.013620    0.005211    0.032916    0.006699    0.014998    0.011327    0.005365    0.005856 -101.236135    0.064758   -0.996970   -2.375999  -12.425294    0.005782   -0.815236   -4.090261   -0.092589   -0.215241   -0.353258    0.039037    0.714936   -0.163455   -0.002898    0.067249    0.001332   -0.688216    0.083449   -0.006480   -0.009651   -1.023264   -0.362777   -0.737536    0.015225    0.180074    0.359624    0.066429   -0.069906   -0.005989   -0.011461    0.030832    0.003738   -0.061305    0.558425    0.021173    0.282681    0.322326    0.132027    0.876936   -0.104970    0.003754    0.013870   -0.101848    0.003216   -1.929109    0.000321   -0.132326   -0.336834   -0.246094    0.112943   -2.862296   -0.235310    0.016367    0.087687    0.355319    1.176694   -0.369967   -1.965303   -0.682884   -0.000000    0.015933    0.079064    0.249171   -0.154870    0.066328    0.052108   -3.231070   -0.035327   -0.938851   -0.006195    0.284872    0.265828    0.238531    0.047578    0.594323    0.096705    0.328094   -0.000841   -0.630530   -0.024065   -0.000000   -6.200311   -0.006899    0.020931    0.134491    0.061373   -0.023359   -0.131921   -0.410658   -0.428880   -0.077608   -0.133525   -0.021940   -0.999650  -50.392589 -134.277573    0.057857   -0.057218    0.042582    0.132240    0.036197    0.001794    0.026794   -0.473103    0.055560   -2.187826    0.213320   -0.000000    0.090254    0.134679    0.157073    0.183798   -0.473243   -0.490911    0.263735    0.125615    1.454992    0.461973    0.015056    0.102380   -0.462683   -1.175491    0.143303   -0.009297    0.003406   -0.000800    0.198186    0.279250   -0.033943    0.118911   -0.072870    0.002981    0.005251 -940.975213
-210.433830   -5.532677    0.043525    0.580581    0.223203    0.056453    0.616749    0.107846   -0.077267   -0.055729   -0.534245   -0.032820   -0.030633    0.048110    0.131541    0.438958  -37.075167    0.019049  -26.638954   -0.962430  -16.887286   -1.411635    0.348970   -0.717368   -0.551213   -0.224463   -0.089323    0.020550    0.003167    0.003419    0.009469    0.007098    0.018383   -0.000727    0.003988    0.003416    0.007079    0.021513   -0.127885   -1.931700  -31.519466   -1.490971   -0.234597   -0.304167   -0.000890    0.209193   -0.011851    0.103175    0.007461    0.011442    0.129059    0.023599    0.004767    0.008343   -2.344996    0.038238    0.021402    0.129402    0.018810    0.390538    0.120330    0.132990    0.014677   -0.025532   -0.236622   -0.560280    0.071810    0.003755    0.008332    0.024305    0.041327    0.010374   -0.229901  -10.603635   -0.000214    0.000300   -0.017366    0.013109    0.030222    0.010537    0.073630    0.015077    0.019458    0.025438    0.011930    0.009883 -114.189483    0.066586   -1.079188   -2.473840  -12.922523    0.007212   -0.829911   -4.156533   -0.092194   -0.657516   -0.548806    0.035650    0.599582   -0.166217   -0.003648    0.068559   -0.000000   -0.794201   -0.128102   -0.026350   -0.011004   -1.058131   -0.396950   -0.772422    0.031099   -0.263954    0.274317   -0.407307   -0.213000   -0.018193   -0.034983    0.044132   -0.002535   -0.125219    0.502829    0.021881    0.166466    0.175803    0.153200    0.746765   -0.106549    0.002670    0.011685   -0.105093    0.007132  -34.221699    0.000645   -0.079820   -0.637474   -0.251115    0.119318   -2.909871   -0.257927    0.012530    0.092619    0.333328    0.969289   -0.391391   -2.027579   -0.696515    0.007236    0.008813    0.025550    0.220509   -0.235766    0.053767    0.106314   -3.403356   -0.036603   -0.955958   -0.006210    0.267844    0.272362    0.244268    0.048744    0.516485    0.083148    0.274915   -0.000848   -2.219438   -0.026022    0.000769   -6.229353   -0.008799    0.046322    0.121515    0.066763   -0.027354   -0.152357   -0.561998   -0.568192   -0.097277   -0.226997   -0.022495   -1.017670  -57.445947 -141.997246    0.050578   -0.110210    0.037139    0.115320    0.073411    0.004006    0.032075   -2.548741    0.042292   -5.100107    0.199427   -0.161768    0.070295    0.138241    0.203929    0.166563   -0.506297   -0.525228    0.268945    0.116064    1.362678    0.416830    0.014659    0.100189   -0.482670   -1.227438    0.034903   -0.009845    0.003783   -0.001616    0.166014    0.251340   -0.034635    0.084473   -0.077668    0.003019    0.011610 -946.624877
-235.189023   -5.601643    0.043765    0.593039    0.221336    0.054801    0.606503    0.110050   -0.080314   -0.060885   -0.544412   -0.033379   -0.034104    0.042027    0.192630    0.448038  -66.659436    0.022457  -27.532945   -0.992252  -17.463784   -1.449163    0.508395   -0.765699   -0.567785   -0.234336   -0.095166    0.018705    0.003172    0.006395    0.012479    0.009068    0.013227   -0.000739    0.004058    0.004257    0.008651    0.031425   -0.340048   -3.780458  -29.980127   -1.508614   -0.238101   -0.309049   -0.002263    0.200862   -0.010232    0.108538    0.006338    0.009335    0.128786    0.023523    0.004315    0.006533   -2.369480    0.035576    0.020489    0.131903    0.014150    0.392921    0.119604    0.130347    0.011619   -0.029252   -0.254795   -0.584995    0.073377    0.001766    0.003915    0.011427    0.000000    0.001514   -0.471177  -10.757984   -0.000218   -0.000000   -0.018447    0.013127    0.027526    0.010562    0.073898    0.013774    0.018756    0.025553    0.010871    0.009910 -122.099013    0.067436   -1.121101   -2.563736  -13.284195    0.007254   -0.836262   -4.186710   -0.092843   -0.893687   -0.618072    0.034967    0.548992   -0.168671   -0.004444    0.069799   -0.000345   -0.848255   -0.218542   -0.033591   -0.012448   -1.081446   -0.426608   -0.806088    0.027731   -0.459695    0.235598   -0.624738   -0.288749   -0.024590   -0.047442    0.064760   -0.003877   -0.151347    0.501257    0.021040    0.110939    0.112100    0.156732    0.695565   -0.107731    0.002399    0.011750   -0.109306    0.007145  -19.084629    0.000646   -0.060841   -0.643599   -0.256502    0.119561   -2.931316   -0.270208    0.014873    0.092693    0.337602    0.885541   -0.406356   -2.069691   -0.710106    0.007362    0.004845    0.000000    0.219383   -0.237171    0.052951    0.094696   -3.427857   -0.037641   -0.970346   -0.006281    0.259167    0.277093    0.248393    0.049598    0.519664    0.083660    0.276633   -0.000861   -2.289263   -0.027985    0.002337   -6.336847   -0.008960    0.046382    0.121012    0.067145   -0.030350   -0.162767   -0.646650   -0.629327   -0.107277   -0.269098   -0.023051   -1.025480  -56.926897 -144.802675    0.047784   -0.139088    0.035011    0.108716    0.073635    0.003653    0.032972   -2.617971    0.036253   -5.254779    0.192308   -0.236028    0.061985    0.139216    0.203213    0.167641   -0.539200   -0.559347    0.274023    0.115199    1.344356    0.414597    0.014347    0.098167   -0.495931   -1.261659    0.033941   -0.010483    0.003495   -0.002054    0.151843    0.250497   -0.035203    0.075985   -0.080647    0.002733    0.011622 -954.480979
-254.003074   -5.686868    0.043854    0.598893    0.230886    0.058588    0.628043    0.112155   -0.083487   -0.061949   -0.550179   -0.033635   -0.037783    0.032248    0.197129    0.457052 -126.479802    0.037481  -28.304601   -1.018155  -17.955727   -1.483867    0.518818   -0.779172   -0.579112   -0.238387   -0.096940    0.016899    0.003186    0.005345    0.015618    0.010201    0.012381   -0.001509    0.002767    0.004354    0.008359    0.032139   -0.705699   -6.187467  -27.258095   -1.541511   -0.242903   -0.315918   -0.003223    0.189748   -0.007483    0.113907    0.004545    0.005398    0.130878    0.023808    0.005084    0.008479   -2.401104    0.033968    0.019066    0.134425    0.007296    0.395723    0.123581    0.133231    0.015206   -0.026476   -0.249768   -0.584548    0.074863   -0.000601   -0.002001   -0.005854   -0.073051   -0.014087   -0.939500  -11.005963   -0.000222   -0.000310   -0.017815    0.011985    0.024916    0.009577    0.067936    0.012587    0.019095    0.021198    0.009855    0.008995 -138.613901    0.070238   -1.126462   -2.593856  -13.568872    0.006951   -0.859522   -4.298202   -0.096611   -1.421990   -0.838383    0.030608    0.387731   -0.172316   -0.005662    0.071097   -0.001060   -1.014433   -0.430986   -0.058792   -0.019145   -1.142398   -0.477073   -0.840765    0.028238   -0.815971    0.131530   -1.079835   -0.519353   -0.048203   -0.075237    0.073008   -0.003982   -0.223279    0.509882    0.021507   -0.007656   -0.034742    0.159948    0.450383   -0.109837    0.002718    0.011718   -0.114136    0.006530  -34.603960    0.000648   -0.046875   -0.658064   -0.261047    0.123461   -3.010198   -0.297785    0.010818    0.095615    0.311762    0.548856   -0.434240   -2.180340   -0.739552   -0.037868   -0.000714   -0.000000    0.222983   -0.247569    0.052446    0.096315   -3.536969   -0.039477   -0.992159   -0.006379    0.183671    0.275219    0.253635    0.050589    0.521422    0.083814    0.275908   -0.000879   -2.348747   -0.028502    0.000790   -6.463118   -0.008211    0.042334    0.123125    0.067087   -0.040193   -0.194527   -0.837968   -0.787024   -0.130071   -0.384417   -0.023541   -1.054023  -57.754774 -140.509810    0.038153   -0.205410    0.027869    0.086713    0.066895    0.003690    0.062778   -2.677165    0.020159   -5.385682    0.136833   -0.403306    0.025357    0.100523    0.211740    0.170767   -0.548928   -0.569494    0.279418    0.117708    1.376649    0.421314    0.014599    0.100230   -0.503913   -1.282760    0.032209   -0.011446    0.001071   -0.005045    0.106835    0.254727   -0.036528    0.086054   -0.083793    0.002793    0.009541 -962.238522
