Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
  -111.951033    -20.210027      0.061973      5.899240      1.392454      0.531670      2.856185      1.002208      0.316083      0.349880     -2.956950     -0.219635      0.028143      1.309880     11.106805      3.370760    -32.333221      1.479765     -9.613795      0.556774     -2.953322      1.266785     30.036226      3.233343     -0.531724      0.065797      0.407646      0.117781      0.019726      0.174916      0.885596      0.649798      0.386420     -0.160948      0.592573      0.357533      0.426271      1.619381      4.509487     34.216464     -1.149283      0.308622      0.089183      0.116156      0.142657      0.000000      0.290830      1.429867      0.224889      0.319865      0.138461      0.027642      0.055470      0.190529    -11.830795      1.237929      0.455049      0.852591      0.522785      0.421609      0.183030      0.361130      0.222069      0.379042      0.706177     -0.415706      0.607014      0.186582      0.370643      1.082155     -0.896799      0.039991     17.649260   -787.665096     -0.005225     -0.030336      0.054449      0.074453      0.166894      0.062009      0.365453      0.069128      0.038716      0.119974      0.064122      0.057219    -31.300255     -0.732496     -1.544558     -6.384117    -30.327647      0.020278     -0.174087     -1.533247      0.075462     28.413528     14.934134     -0.015756    -19.611748      0.056529     -0.784553      0.452676      0.374890      3.433740     13.945509      3.152592      0.960318    -37.205195     -1.828608      3.483998      0.654928     10.668735    -15.577287     20.728399     10.163230      0.971537      1.603318      2.517211      1.315427      4.689873      0.600074      0.089482     -3.884411    -14.637205      1.416022    -21.875258      0.023195      0.022684      0.019466     -3.618609      0.039718      0.000000      0.004128     -5.094247     -0.017925     -1.013760      0.000000     -2.142840     -2.693238      0.435695      0.209455      0.653688    -33.966131     -8.920931    -79.769168    -31.821085    -14.184780      0.197829     -7.231318      0.311334      0.279138      0.099001      2.284453      1.399122     -0.985005      0.318830     -2.279371     -4.054728     -3.699825     -3.515605     -0.729163      0.761952      0.128445      0.467149      0.124072     -0.815085      0.145194     -0.260228     -6.213467      0.088532      0.264524      0.158603      0.007141      0.098372      0.667345     13.861118     11.384542      1.216761      7.242762      0.554529     -0.493139     -4.284488    -16.131265     -1.045350      4.793023     -0.816818     -2.398345      0.415383      0.020340      2.426458      0.235515     -2.644731     -9.669756     -2.975394      7.304987     -6.890296     -1.668634      0.675327      0.248279     -2.188413     -0.538790      1.740758      0.190914      2.903515      0.603201      0.048661      0.290601     -0.130412     -0.328203     -0.015178     -0.168060     -0.047027     -0.000000     -6.008395      0.302238     -0.223953      0.732068      0.318173     -0.107972      0.067252 -18463.283998
 -100.221423   -18.627078     0.055019     5.755545     1.244568     0.500426     2.573925     0.979519     0.320639     0.358967    -3.469619    -0.261900    -0.029879     1.416977     9.880089     3.291713   -29.254703     1.393523    -7.060726     0.546187    -1.433978     1.250165    27.148318     3.279089    -0.372341     0.180579     0.385322     0.085617     0.014336     0.130351     0.835592     0.596941     0.305672    -0.178651     0.546565     0.338821     0.403875     1.531523     4.833107    35.752634    -1.335689     0.222901     0.064454     0.083869     0.129969    -0.768871     0.285551     1.388570     0.245418     0.369157     0.123471     0.024686     0.045972     0.166856   -10.922965     1.239073     0.461330     0.832190     0.584551     0.375978     0.162563     0.315723     0.234833     0.409500     0.349965    -0.821336     0.591314     0.204614     0.408760     1.185139     0.325942     0.222880    17.938473  -821.322549    -0.022157    -0.115024     0.050803     0.054113     0.121240     0.045021     0.264975     0.050053     0.028005     0.086913     0.046560     0.041535   -29.315324    -0.465678    -2.131186    -6.689236   -31.544952     0.014669    -0.192865    -1.458881     0.054504    28.263131    14.161557    -0.242652   -22.244808     0.040830    -0.809232     0.441935     0.357742     2.785944    13.860684     3.030586     0.901386   -39.289512    -2.172196     3.848708     0.617402    10.629910   -15.200689    20.977594    10.128043     0.971398     1.581711     2.345182     1.260736     4.469655     0.534840     0.077030    -4.479624   -16.101087     1.383103   -21.293524     0.016769     0.020349     0.016950    -3.871754     0.028858     0.000000     0.003001    -4.974066    -0.016867    -1.171758    -0.234994    -2.197953    -3.177586     0.580237     0.013896    -6.036674   -33.034347    -9.470002   -84.324399   -33.668543   -13.790460     0.268368    -7.082937     0.276114     0.201878     0.081612     2.156149     1.010235    -1.054113     0.230194    -2.564433    -3.960123    -3.631212    -3.456909    -0.718110     0.673673     0.113097     0.402877     0.126453    -0.798078     0.137283    -0.274403    -6.560301     0.083763     0.192275     0.143203    -0.007098     0.099421     0.539592    13.096989    10.601922     1.078057     6.875757     0.544468    -0.513743    -4.116195   -15.613772    -1.760559     4.702754    -1.380303    -4.043937     0.301370     0.014753     2.412450     0.458035    -2.592912    -8.894431    -2.891269     7.281568    -6.736880    -1.630566     0.600634     0.220636    -2.645420    -1.588594     1.701005     0.169052     2.549683     0.536410     0.041913     0.255543    -0.000000    -0.000000    -0.014286    -0.144105    -0.015683    -0.000000    -6.847170     0.269470    -0.235388     0.656080     0.322900    -0.118711     0.048897 -1247.950495
-115.288046  -14.415421    0.061181    4.960226    0.875855    0.437402    1.650471    0.831708    0.327594    0.394276   -3.170024   -0.243478   -0.118890    1.719541    8.245874    2.720043  -14.765556    1.073479   -2.277503    0.465844    1.386980    0.923530   22.319833    3.346160   -0.245423    0.183086    0.708498    0.117421    0.019656    0.126237    0.642815    0.467299    0.200937   -0.045721    0.458793    0.271589    0.319881    1.258501   13.519384   84.393751   -1.128267    0.303392    0.087796    0.114115    0.138094   -0.060560    0.205310    1.060431    0.303745    0.502215    0.136478    0.027332    0.051275    0.172386   -7.292900    1.124501    0.454867    0.686948    0.782711    0.415518    0.180023    0.354764    0.287004    0.559706    0.527588   -0.614787    0.499875    0.302384    0.615372    1.748757    4.224878    1.003257   22.208900 -224.315588   -0.038598   -0.181412    0.062430    0.074201    0.166150    0.061656    0.362311    0.068330    0.038187    0.118719    0.063772    0.056868  -17.315916   -1.256255   -1.815294   -6.086700  -28.798215    0.020004   -0.170851   -1.341719    0.074191   26.550401   12.249241    0.000000  -17.725307    0.055577   -0.314460    0.364691    0.291674    6.350487   13.270860    2.517466    0.779808  -11.701832    1.351875    3.929193    0.630254   14.626841  -14.975579   22.403137    9.548653    0.919301    1.490913    2.101501    1.016214    3.858963    0.591297    0.087914    0.988826   -6.226545    1.176454  -20.923169    0.022852    0.021095    0.019221   -1.643348    0.039556    0.000000    0.004118   -3.708044   -0.000000   -1.119983   -0.018492   -1.959159   -0.000000    0.545097    0.118820   -2.808511  -32.469063   -2.272368  -26.151069  -11.502068  -10.265663    0.516644   -0.785843    0.306753    0.275215    0.097562    2.202812    1.374603   -0.457150    0.313192   -2.696741   -3.893515   -3.574266   -3.405167   -0.707544    0.750836    0.121512    0.460310   -0.180963   -0.386502    0.232239   -0.252280   -8.084542    0.154578    0.263676    0.156208    0.000000    0.142902    1.230767   11.922646   10.564388    1.219385    5.903852    0.438244   -0.483946   -3.982461  -15.304062   -1.737577    4.144890   -1.365099   -4.004608    0.412385    0.020182    1.859395    0.452157   -2.559208   -5.410936   -2.835857    7.618542   -6.646808   -1.601136    0.299479    0.244486    3.026375    3.130313    1.405624    0.187524    2.846405    0.594790    0.048007    0.285749   -0.000000   -0.000000   -0.000000   -0.242029   -0.163959   -0.069435   -5.459404    0.298050   -0.215279    0.678874    0.330426   -0.030372    0.067077    0.000000
-115.306829  -12.621270    0.064110    4.266821    0.711603    0.273679    0.925639    0.676366    0.108886    0.131147   -2.191576   -0.157855   -0.149767    1.441817    4.708560    1.960115  -21.569802    0.385906  -14.237234   -0.082656   -7.294163    0.123073   13.900095    1.113376   -0.815899   -0.210957    0.253822    0.095544    0.015986    0.077017    0.365716    0.314619    0.102197   -0.033919    0.340239    0.193998    0.237194    0.782805   15.074566   92.224396   -1.695333    0.243487    0.070554    0.091514    0.100796    0.922868    0.085317    0.689640    0.254441    0.432211    0.148064    0.029769    0.053305    0.179298   -6.111474    0.835796    0.350231    0.495555    0.669132    0.451415    0.188951    0.356621    0.102771    0.200553    0.547350   -0.418157    0.380765    0.281520    0.570265    1.621670    4.055753    0.974383   19.885144 -132.247365   -0.044414   -0.181244    0.046149    0.060357    0.135006    0.050037    0.293183    0.055132    0.030746    0.095890    0.051767    0.046132  -14.723074   -1.362933   -1.544422   -5.702126  -27.184550    0.016110   -0.266233   -2.077086    0.059545   24.306918   10.601411    0.371219    4.042825    0.044604   -0.207451    0.263113    0.228146    5.724202   11.070033    2.029701    0.612321   -6.796575    1.342326    1.307349    0.321577   14.164160   -1.687246   20.143037    9.370302    0.939687    1.366651    0.978045    0.793527    3.317886    0.634464    0.086113    4.179193    5.422080    0.955436   -1.310462    0.018380    0.021916    0.019320   -1.097021    0.032153    0.000000    0.003353    0.953481   -0.057237   -0.814527    0.282108   -2.767389    0.330336    0.130206    0.181661    2.877135   -0.494566   -1.086189  -16.390057   -7.125583    2.637410    0.470109    2.642144    0.320062    0.221494    0.091210    1.124188    1.102410   -0.392765    0.251144   -2.693948   -3.861660   -3.552777   -3.391632   -0.705875    0.776770    0.123179    0.455833   -0.268887   -1.409668    0.061377   -0.235526   -8.963489    0.055252    0.214518    0.164377    0.033013    0.187698    1.109944   10.072275    8.943414    1.086515    5.115619    0.058498   -0.681314   -5.467665  -20.421095    0.447136    3.335220    0.351684    1.028567    0.334163    0.016346    0.668521   -0.953089   -2.544597   -7.041092   -2.803489    6.929041    0.197226   -1.585820   -0.000000    0.256946    0.503030    1.023122    1.012435    0.194592    2.887611    0.626636    0.052763    0.315011   -0.696505   -1.750603   -0.048517   -0.153663   -0.094873   -0.033970    1.250144    0.319881   -0.201331    0.707280    0.109710   -0.022521    0.054605    0.000000
-129.201077  -22.831361    0.062718    5.759168    1.348247    0.459274    2.926983    0.977702    0.175816    0.172389   -2.851570   -0.207292    0.197098    1.076168   13.218270    3.316071  -61.578292    1.241015  -30.399526    0.163080  -15.457689    0.713464   37.120439    1.796266   -0.818685   -0.138844    0.087927    0.065784    0.011017    0.588399    1.044012    0.889027    1.100726    0.085894    0.856967    0.484874    0.596972    2.095671  -15.422242  -85.188830   -2.045904    0.171936    0.049700    0.064709    0.135803    0.557797    0.247413    1.400698    0.183171    0.239602    0.151249    0.030199    0.049866    0.163452  -12.875668    1.199313    0.421118    0.837303    0.336625    0.454371    0.194267    0.367948    0.103191    0.136550    0.373309   -0.866655    0.593307    0.053396    0.089413    0.309373   -0.863253   -0.204558  -11.195601 -728.992548   -0.000000   -0.133830    0.047392    0.041582    0.093193    0.034618    0.203919    0.038552    0.021583    0.066921    0.035799    0.031941  -33.792969   -1.302946   -2.236577   -6.952563  -35.518754    0.011304   -0.308989   -2.339414    0.042042  -68.290190   -1.210833    0.162630   -9.896164    0.031495   -0.468881    0.444452    0.361509   21.480760   -0.523293    2.726625    1.448045  -18.445788    7.821920    2.108602    0.467277  -22.565366   -8.136723  -42.022369  -24.496132   -2.351766   -3.826968    3.327237    1.246339   -1.740422    0.649237    0.088865   -6.260545   -9.557150    1.383327  -21.186520    0.012927    0.020739    0.018174   -2.739089    0.022180    0.000000    0.002306   -2.549572   -0.059099   -1.055118    0.170360   -3.204813    3.769075    0.317981    0.223684    1.691635  -30.134097    0.216032  -50.194221  -25.467583   -7.066078    0.075414   -0.561263    0.315348    0.155602    0.079269    1.632243    0.779435   -0.754187    0.177608   -2.386105   -3.939549   -3.612051   -3.437521   -0.713864    0.758100    0.125365    0.424165   -0.257038   -2.093850    0.031362   -0.287130   -4.884319    0.019170    0.147741    0.168276    0.039198    1.259020    4.161803    5.703218   11.538531    2.310155   -1.671000    0.284549   -0.756751   -5.912534  -22.344801   -0.422049   -0.185367   -0.331073   -0.971755    0.231836    0.011351    2.147548   -0.963724   -1.387748  -13.865740   -2.876077  -18.855005   -3.608580   -1.621974    0.707513    0.263560   -5.313425   -3.504993    1.713369    0.200673    2.990043    0.640118    0.054012    0.324364   -0.550107   -1.382972   -0.050044   -0.383979   -0.048384    0.216104   -3.042501    0.327137   -0.245468    0.667066    0.177268    0.057095    0.037565 -765.939544
-121.384658  -17.008552    0.064042    5.323412    0.854317    0.389939    1.800241    0.909251    0.309430    0.337727   -2.871902   -0.209394   -0.062151    1.840286   11.728150    3.076038  -28.167891    1.143328   -9.977019    0.337427   -3.049964    0.866638   34.109112    2.866069   -0.563719    0.069668    0.433157    0.125337    0.021009    0.259563    0.886283    0.686285    0.462484   -0.036598    0.679962    0.387114    0.475286    1.947760   11.351115   76.491034   -1.520825    0.336087    0.096900    0.126633    0.152737    0.353017    0.218071    1.189053    0.326437    0.545718    0.155056    0.030774    0.050852    0.184315   -9.333334    1.250485    0.496904    0.776819    0.862257    0.465603    0.200091    0.400229    0.236297    0.402998    0.567333   -0.437431    0.546621    0.303382    0.621521    1.789968    4.457140    1.037880   24.014513 -378.034674   -0.034968   -0.192150    0.059168    0.079273    0.178013    0.066277    0.392487    0.074607    0.041934    0.129253    0.068509    0.061204  -22.811643   -1.322329   -1.627403   -6.096257  -29.216531    0.021958   -0.218853   -1.826852    0.082166   23.374838   19.303884    0.105737  -13.902829    0.061554   -0.456967    0.412657    0.391644   14.007518   15.818582    3.523790    1.197272  -15.292765    3.645256    3.358969    0.492021   13.354898  -16.377274   22.006774   -0.828338   -1.349174    1.296168    2.647279    1.382671    5.325354    0.674708    0.098671    0.000000   -9.824109    1.284745  -23.190411    0.025169    0.021204    0.018537   -2.151001    0.042339    0.000000    0.004388   -4.676136   -0.019401   -1.011468    0.107708   -2.609877    1.055621    0.436157    0.236253    1.438265  -36.022124   -1.933868  -36.125401  -16.707246  -13.066220    0.544313    2.871657    0.323471    0.302536    0.094533    1.713065    1.525196   -0.489368    0.347648   -2.428238   -4.279809   -3.876862   -3.654987   -0.753968    0.777000    0.128421    0.434111   -0.000000   -1.056553    0.154288   -0.246456   -7.630280    0.094083    0.281562    0.172796    0.062706    0.495051    2.707285   19.346964   17.929228    2.300849    8.766219    0.353871   -0.576340   -4.797918  -18.865045   -0.665109    5.490785   -0.516189   -1.525816    0.445089    0.021813    1.973511   -0.000000   -2.748652   -8.080905   -3.185011    6.603620   -7.230222   -1.776242    0.444636    0.270865   -1.118938   -0.000000    1.592024    0.207234    3.237600    0.655909    0.055347    0.322424   -0.279772   -0.704651   -0.016414   -0.325049   -0.177353   -0.018517   -4.206113    0.339582   -0.212997    0.683840    0.311577   -0.024456    0.071513    0.000000
-135.238604  -20.489357    0.055633    6.805996    0.999375    0.357581    2.252075    1.160153    0.159140    0.146333   -2.787744   -0.199417    0.092613    2.083297   14.898760    3.988537  -56.100538    1.495449  -26.429635    0.289795  -12.611475    0.851243   41.141505    1.241545   -1.098568   -0.235154    0.098138    0.096974    0.016264    0.490981    1.063778    0.902663    0.881860    0.048077    0.909534    0.503652    0.631740    2.369877    5.598602   40.773741   -1.854565    0.264589    0.076151    0.099764    0.134307    0.894368    0.281210    1.575339    0.367334    0.598261    0.153083    0.030270    0.043032    0.132734  -11.387640    1.576783    0.607386    1.006945    0.979729    0.441414    0.204236    0.388423    0.077930    0.077475    0.201454   -0.939822    0.711863    0.285684    0.614344    1.720222    4.085740    0.934800   17.255697 -572.369724   -0.017720   -0.160146    0.049586    0.061360    0.137971    0.051447    0.305765    0.058339    0.032878    0.100932    0.053165    0.047538  -29.511832   -1.361224   -2.462870   -7.880315  -37.457475    0.017213   -0.257216   -2.061198    0.064676  -66.335629   13.220031    0.409677   -0.868701    0.048452   -0.476144    0.535320    0.451254   23.501050   15.066352    3.972204    1.625987  -17.470755    7.776682    1.452729    0.357953    0.839823   -1.224812   -3.701942  -26.959860   -2.484011   -4.270762    4.797115    1.612459    2.855673    0.687178    0.093790   -0.513065    0.000000    1.637427  -13.464602    0.019762    0.018395    0.015598   -2.450663    0.032801    0.000000    0.003393   -0.100273   -0.040629   -1.067568    0.272527   -2.840852    3.405695    0.235390    0.231201    3.268240  -14.555754   -0.240333  -43.636802  -21.849547   -0.282363    0.560894    2.613166    0.315415    0.237309    0.067980    1.242191    1.201512   -0.696468    0.273929   -2.504499   -4.294239   -3.842760   -3.585972   -0.734417    0.751362    0.114403    0.352446   -0.256175   -1.694596    0.034916   -0.312113   -6.959290    0.021250    0.217887    0.176094    0.079763    1.175071    4.526858   17.835634   19.956801    3.156538    5.376410    0.398927   -0.692817   -5.427176  -20.576047    0.212549    5.194693    0.163153    0.486235    0.346150    0.016975    2.415715   -0.555475   -0.202103  -12.492114   -3.260927   -8.989031   -0.400638   -1.798920    0.570878    0.276085   -3.090194   -1.861879    2.068544    0.211873    3.176061    0.667471    0.054966    0.329212   -0.769242   -1.940605   -0.034353   -0.356924   -0.089688    0.162063   -0.258340    0.345529   -0.272586    0.595485    0.160083    0.032250    0.055300    0.000000
-119.834306  -11.089437    0.056184    6.125212    1.137675    0.370581    1.272793    1.056399   -0.091771   -0.110696   -1.726351   -0.118042   -0.206997    1.349756    0.957368    1.856866  -15.841321    0.250221   -8.807041   -0.000000   -5.486469    0.155322    0.000000   -0.939371   -1.156368   -0.422017   -0.105916    0.097126    0.016294   -0.030862    0.065578    0.088085   -0.121869   -0.067079    0.159660    0.090398    0.111676    0.000000   19.269763  124.988500   -1.872438    0.266958    0.076772    0.100682    0.042731    0.724555    0.086942    0.648497    0.241157    0.432785    0.150880    0.029800    0.048066    0.173124   -5.069069    0.737530    0.316275    0.469427    0.655191    0.429965    0.206169    0.392162   -0.086841   -0.083634    0.597854   -0.470794    0.502554    0.269339    0.550541    1.631361    4.795798    1.090821   23.008757  -82.736313   -0.044176   -0.165528    0.049973    0.061466    0.138287    0.051599    0.307128    0.058690    0.022672    0.101483    0.053315    0.047691  -10.825791   -1.055269   -1.776610   -5.432347  -29.872390    0.017336   -0.294496   -2.080114    0.065249   20.544975    6.485464    0.557142   13.026861    0.033468   -0.192761    0.249715    0.145719    0.884870   10.933638    1.207719    0.279846   -6.540268   -0.358516   -1.098321    0.372158   17.302958    9.004634   21.232537    7.042759   -2.569291   -4.457702    0.621956    0.522629    2.536118    0.693370    0.094675    7.588432   11.464532    1.325743   11.053054    0.019917    0.020299    0.015765   -0.958731    0.032870    0.000000    0.003397    2.924664   -0.062977   -0.700475    0.264452   -3.046222   -0.630961   -0.000000    0.131928    4.096266   19.119159   -1.556186  -13.580106   -5.359334    8.258694    0.493140    3.065611    0.318456    0.163677    0.068826    1.289450    1.212528   -0.350167    0.276471   -2.580113   -3.411621   -3.981397   -3.705325   -0.757753    0.759076    0.115644    0.403970   -0.265586   -0.988738   -0.037603   -0.211326   -9.173832   -0.022805    0.218244    0.177753    0.080494   -0.060928    0.170111    5.883489    4.354907    0.436747    3.566592    0.072589   -0.699670   -5.750282  -21.443294    0.978659    2.838992    0.747802    2.227120    0.347441    0.017043    0.430931   -0.579610    1.478064   -5.399655   -1.444344    6.870037    3.912903   -1.876777    0.313417    0.278550   -0.604770   -0.627040    1.022503    0.213981    3.210216    0.673362    0.053753    0.332256   -0.975733   -2.466077   -0.053238   -0.145650   -0.112405   -0.083733    3.861085    0.348405   -0.186269    0.660003   -0.092097   -0.044991    0.055374    0.000000
-137.545326  -11.617919    0.055900    6.089914    1.125815    0.366183    1.264334    1.027768   -0.090257   -0.108732   -1.620813   -0.111809   -0.217200    1.304229    0.000000    1.736345  -21.634325    0.127685  -15.096809   -0.212196   -9.355992   -0.158862    0.000000   -0.922598   -1.310769   -0.414225   -0.104106    0.097037    0.016277   -0.032091    0.066956    0.090472   -0.127483   -0.055162    0.164541    0.092675    0.114705    0.000000   18.930411  126.324565   -1.862023    0.265578    0.076410    0.100146    0.032177    0.677577    0.065918    0.589105    0.233892    0.420969    0.150127    0.029674    0.047780    0.171840   -4.863063    0.701882    0.301411    0.466817    0.666678    0.427674    0.205077    0.390011   -0.085405   -0.167013    0.591198   -0.463474    0.484056    0.261064    0.533657    1.588696    4.689845    1.066470   22.475497  -78.015487   -0.046066   -0.152606    0.049748    0.061404    0.138102    0.051510    0.306332    0.058485    0.032976    0.101161    0.053227    0.047602  -10.363017   -0.985345   -1.373685   -5.304223  -29.113734    0.017264   -0.292827   -2.069101    0.064915   20.953262    6.665008    0.551892   13.024006    0.048630   -0.176673    0.248097    0.135180    1.813642   11.148475    1.239372    0.287946   -6.120659   -0.000000   -1.078564    0.280012   16.984005    8.982476   20.807819    7.162022   -2.606480   -4.509313    0.321573    0.484159    2.420415    0.689951    0.094163    7.582950   11.404934    1.321463   11.233956    0.019827    0.020170    0.015681   -0.900197    0.032830    0.000000    0.003395    2.917840   -0.062638   -0.640513    0.242021   -2.852020   -0.431721   -0.165978    0.063399    3.868510   19.295257   -1.611778  -12.821980   -5.130215    8.228225    0.481371    3.014999    0.316808    0.238035    0.068401    0.970114    1.206095   -0.328025    0.274988   -2.687292   -3.290631   -3.987686   -3.703607   -0.756630    0.754982    0.114996    0.401498   -0.248318   -1.250461   -0.037025   -0.208103  -10.735964   -0.022519    0.218036    0.176840    0.079501   -0.062991    0.347707    6.059228    4.493675    0.450145    3.658138   -0.073699   -0.695687   -5.718606  -21.342278    0.972722    2.689962    0.743020    2.221332    0.346687    0.017003    0.220033   -0.877600    1.471555   -6.073863   -1.366884    6.960304    3.900431   -1.885457    0.310183    0.277164   -0.594506   -0.616124    0.961205    0.212779    3.190579    0.670133    0.053525    0.316388   -1.134830   -2.864716   -0.052959   -0.135164   -0.116297   -0.086519    3.846455    0.346803   -0.182632    0.654516   -0.090726   -0.036814    0.055331    0.000000
-212.228641  -15.807550    0.056054    5.730090    0.900975    0.307656    1.015609    0.946740   -0.137031   -0.165134   -1.701194   -0.116373   -0.193614    1.358942    2.021087    1.714963  -32.590533   -0.000000  -27.522898   -0.420395  -14.888052   -0.315699    6.127538   -1.400207   -1.307921   -0.503326   -0.210300    0.097147    0.016298    0.066077    0.067871    0.183099    0.000000    0.013939    0.267215    0.131242    0.184931    0.341759   20.165217  131.484806   -1.874853    0.267273    0.076859    0.100810    0.032011    0.673504    0.021850    0.520606    0.245017    0.439621    0.150766    0.029758    0.047845    0.171951   -5.647635    0.700219    0.314467    0.432734    0.704547    0.429291    0.206238    0.392520   -0.084981   -0.166164    0.401177   -0.463271    0.442289    0.267701    0.549627    1.637565    4.971015    1.132785   25.132729  -32.878228   -0.049190   -0.163930    0.050022    0.061481    0.138331    0.051620    0.307319    0.058740    0.033146    0.101561    0.053336    0.047712  -10.124856   -1.317071   -1.742429   -5.969855  -29.061467    0.017353   -0.294870   -2.082618    0.065328   24.605962    9.578064    0.548137   12.902865    0.048940   -0.044671    0.230410    0.179431    6.363105   13.022842    1.779309    0.519493   -1.218208    1.847992   -1.638701    0.277686   18.586447    8.943041   23.768548    8.390598   -2.646134   -4.535068    0.965417    0.640682    3.177799    0.693158    0.094774    7.615973   11.498964    1.227263   10.963507    0.019938    0.020209    0.015714   -0.366463    0.032880    0.000000    0.003398    2.945778   -0.063053   -0.685657    0.205053   -3.049843    0.864104   -0.165533    0.063195    3.853014   18.950958    0.267847   -3.488133   -1.974324    8.279979    0.518603    3.230469    0.318168    0.239299    0.068563    0.963092    1.214074   -0.065345    0.276823   -2.396599   -3.390059   -3.964680   -3.680243   -0.751253    0.757850    0.115387    0.355489   -0.049209   -1.727366   -0.074743   -0.234321  -15.250089   -0.045421    0.218294    0.177674    0.079791    0.313913    1.213377    9.100307    8.222121    1.006746    4.932062   -0.145450   -0.700541   -5.756919  -21.460118    0.968016    3.618975    0.740604    2.210942    0.347623    0.017052   -0.000000   -1.449854    1.467255   -6.556077   -1.520065    7.841124    3.887068   -1.875687    0.109866    0.278600   -1.201108   -1.245300    0.952227    0.214119    3.213370    0.673005    0.053784    0.332502   -1.132685   -2.860913   -0.053298   -0.045636    0.000000    0.043144    3.816734    0.348386   -0.205595    0.655234   -0.137761    0.009198    0.055384    0.000000
