Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
-1035.222530   191.998997     0.472349   -21.448512   104.605026    22.142785    19.078196    14.152540   360.548455     8.403031   257.796784    21.194450   227.093429    43.542134  -138.923672   -12.404549  -339.630348  -336.257330  -451.757010    70.214085  -280.726413   160.541370  -397.437424  -139.941876    -2.580739   107.867794    -9.698605   -16.621816    -1.345012    59.383351   121.968627   105.476712     3.258792   164.952341    64.602375    25.231451    36.317495    83.432066   -16.577385  -888.848850  -103.672582    11.303602     0.306776    21.504271     2.156796    29.527163   109.476851    21.646755    -0.123264    40.434487   120.510790  -167.215827     6.471343   123.767345   180.546946   106.565989   164.226612    43.636641    39.601630   103.658508    99.572118    33.774199    74.959947   -21.009371    40.780025   -16.622112     5.221005    30.596314     4.656803    23.197201    50.374395    -7.184510  -198.787986   165.524700   109.361618   195.623708   129.914946    20.301193    11.286150    -4.673319   -44.905413    37.945784    37.300227    18.750339    -9.224316    47.705090  -288.972406   869.935695   -53.141820  -150.307049  -429.667551    94.004888     4.250708   -32.162246     3.816886  -160.081957  -100.026320    78.145724     5.357408    13.594389   432.411312    36.184190    22.177431  -111.213756  -110.022685    -0.776162    44.503811   123.588309   -48.278640  -140.431645    22.140874  -136.967620   -21.699679  -191.352306   -68.643644    -3.451102   650.104897   119.233254    81.777229   -22.003150    72.450265   109.033061   -39.130820   -40.360040    22.931959   -69.328618  -177.547403    53.359861     4.835921   105.027438    -6.103541  -600.000000    -0.634221   -15.375739    12.322374   146.797338    39.963362   -34.557535   -22.126130    59.066161    15.719141    46.780319  -113.273986   -33.386851    56.742688    33.517171    -4.365590    -3.962476   129.449062    -7.894199    17.232147     9.580163   -97.263175  -109.069989    18.143380   -29.254363   198.000000    71.513888    73.314436    17.006154    -0.000000   -46.026156     4.010994   -34.912904    37.407009   -39.075547    22.880960   131.733722   -17.039293   109.171857    -0.971621    24.229084    28.376940    -4.422668    -5.505897  -103.727365  -102.535472    -9.099720   -44.235571   164.964663    -9.587502   -48.343183   -29.399557    87.772131    27.359372    -3.204951     4.466419   -47.852835     9.274555    17.639248   -28.750993    78.734972   -75.128102    -7.710169   268.767740     9.595932     1.907960    31.725995   -11.886708  -180.876057  -178.051991    55.377883    33.069515  -179.100935    -9.231756    33.780444     4.652486    36.365108    -8.587374    83.051811    54.602819    63.021076    19.297985   176.207775    -0.954467     2.612238     1.257401    -5.040706     1.985866    13.165983 -1081.292795
-1052.959933   199.466397     0.207472   -19.561650   105.411119    21.867271    19.740357    14.469821   323.529768     6.336917   259.254915    22.020411   228.183824    44.064871  -143.060752   -11.364687  -359.511537  -324.392568  -434.906471    69.385877  -268.449528   145.122401  -419.150537  -136.368827    -1.301972    97.185873   -11.070913   -16.491130    -1.401797    45.171167   119.448691   100.900351     2.571589   151.843265    60.527426    23.588477    33.990234    80.691957    -6.139460  -811.425250  -101.557149    12.168563     0.548535    21.836354     1.166304    30.088251   107.729868    17.875950    -0.035661    40.617406   120.644760  -167.191479     6.504326   123.903638   182.666323   106.863222   164.366965    43.902241    39.663229   103.511771    95.509701    34.223982    66.519401   -20.769906    40.896401   -14.836804     5.410829    30.691243     4.821994    23.833209    52.746371    -6.615522  -183.749397   165.301809   109.969197   208.121913   123.054405    20.296237    10.175815    -4.549264   -44.673677    38.112956    36.329283    19.031187    -9.131145    47.207927  -145.328632   769.715774   -46.609485  -145.464061  -405.193099    94.056848     4.470951   -31.069430     4.028570  -149.363327  -100.674237    77.365962     7.895867    13.753021   431.776826    36.325971    18.923337  -114.740027  -102.940460    -3.120281    41.212772   123.260392   -49.672715  -137.648668    21.436417  -126.042092   -19.038492  -180.538229   -65.152816    -3.176860   562.370723    95.213505    68.961106   -21.874243    73.039708   107.620346   -35.998470   -30.395860    23.382676   -64.927970  -177.485811    53.373103     4.513555   104.426793    -6.029150  -600.000000    -0.626958   -14.406178    12.501137   147.269948    40.131815   -33.787429   -24.513310    51.961102    15.853607    47.006539  -106.245533   -34.782241    56.572058    33.462714    -2.129132    -3.732456   130.128708    -8.009067    16.902373     9.737076   -94.824223  -105.064709    17.926046   -28.340244   198.000000    72.283494    73.922121    11.214083    -0.000000   -45.332126     3.383108   -34.339365    36.917942   -37.298173    19.759874   137.521523   -26.082799    97.757451    -0.857746    23.786662    28.441579    -4.811852    -7.004351  -105.251693  -104.870531    -9.677588   -44.200558   158.414476    -9.317362   -47.334884   -31.662243    86.579330    28.798411    -3.053537     6.616387   -46.981471     9.318174    18.873503   -26.660417    70.554930   -76.241062    -7.050268   272.003742    10.401152     2.231576    30.291388   -11.683719  -176.355673  -173.340218    55.920283    30.106317  -175.985799    -9.115901    33.829652     4.991375    35.281099   -11.280381    82.096075    56.457975    65.970941    19.074475   173.906763    -0.663109     3.068742     1.314606    -5.567654     1.673143    13.019482 -1089.637034
-940.637607   69.600129    0.723502  -15.566422   97.379268   21.182130   18.411368   15.158678  317.835720    6.986449  259.594660   21.321124  232.093780   45.440711 -151.342129   -9.033128 -354.263012 -318.530667 -400.323529   45.981546 -247.071792  101.499001 -440.454790 -127.160691   -1.202196   79.708571  -10.097410  -15.762252   -1.362124  114.266791  141.035192  125.060714    4.674732  135.801393   84.764753   32.611381   47.794763   94.864149   20.979036 -643.193480  -96.337950   13.275391    0.930680   21.145630    1.396427   31.529759  108.057214   31.686820    0.213250   41.096751  121.064019 -167.111120    6.344143  122.473060  124.358191  107.708251  164.707087   44.497191   41.204043   96.803060   94.205103   28.738952   65.822608  -19.169184   36.837789  -17.343497    5.823045   30.921404    5.503418   25.394147   60.669854   -5.254774 -148.574949  127.090611  119.642067  222.700673  116.061647   19.759730    9.625754   -4.360088  -42.513706   36.197512   34.509294   16.213592   -8.706081   44.685162 -150.970343  902.061603  -44.772625 -134.832939 -369.440140   91.815895    5.082053  -28.195117    4.274382 -114.006888 -111.511187   77.790585   16.613141   13.671687  194.857403   36.646863   33.586592 -123.024662  -84.081875    8.419593   60.666324   19.923252  -53.773605 -131.661957   20.975443 -101.206900  -12.735091 -150.607531  -53.776109   -2.366881  267.203422  160.117509  122.107843  -22.215695   74.867862  104.574299  -29.177197  -20.263522   24.330866  -55.528175 -177.941664   51.673118    4.583131   92.753740   -5.751242 -600.000000   -0.598702  -12.102645   12.985464  145.162935   40.564478  -31.522097  -26.977327   34.696840   16.195111   48.024742  -91.415966  -38.479058 -119.088125  -25.396094    4.953368   -3.142274  136.623579   -6.585214   16.610166   10.232626  -88.556319  -97.313887   15.503992  -26.150254  198.000000   73.910668   75.262139    7.451081   -0.000000  -42.855151    3.813994  -32.523764   87.092099  -33.887781   19.900241  128.401429  -32.059637   92.847371   -0.001988   24.284521   28.650946   -5.022925   -4.383738 -115.355165 -113.740553   -8.186265  -49.095806  109.180074   -8.594550  -44.377635  -37.698294   86.217558   35.561455   -2.656234    7.632775  -44.347417    8.816569   45.831494  -24.150056   66.456264  -69.292914   -5.676688  294.131451   13.149630    2.934889   36.621313  -10.902549 -164.430808 -162.621344   57.161674   27.561376 -166.033657   -7.254136   33.981289    2.669350   21.728554  -33.302307   79.436724   72.910942   52.664484   18.854546  176.631413    0.249390    2.892294   -0.046328   -4.822750    1.298122   11.778134 -894.604134
-957.427489   73.466438    1.410980  -15.598488   94.822363   21.203294   20.260166   15.151065  317.803907    6.967442  258.622336   21.212802  232.221270   45.497419 -147.088531   -9.015457 -353.288237 -317.967595 -399.211333   44.272561 -246.395669  101.550875 -429.426191 -127.457954   -2.774980   77.708545   -9.325111  -15.534636   -1.230669  122.708444  143.864504  127.575402    5.520023  136.688375   88.364197   34.089958   48.899358   95.563522   23.204733 -629.894311  -94.329401   13.370745    0.530148   20.200714    1.397624   31.705317  108.063164   33.822794    0.225169   41.126048  121.200191 -167.092935    6.623540  124.381225  125.771195  107.732597  164.714565   44.495908   41.335248   83.776450   96.268854   29.247071   65.782227  -19.109812   37.038494  -16.807938    5.823908   30.927138    5.544261   25.472459   61.343909   -5.154479 -145.746590  137.665321  119.667317  222.770155  116.183861   17.664574   12.048662   -4.218605  -40.989134   36.418314   34.588661   18.460574   -8.594979   46.358899 -269.338603  866.194002  -45.416316 -135.898011 -382.867310   87.081706    5.365538  -28.040525    3.739088 -111.446278 -105.533688   78.197684   17.704923   12.712068  194.947111   36.645847   35.619902 -117.259520  -82.566362   10.479191   63.709166   22.509570  -51.637891 -128.710871   20.905370  -99.223129  -12.376592 -148.168877  -53.027217   -2.345766  250.338630  162.189363  128.701547  -20.015058   75.282858   99.827515  -28.657306  -21.991912   24.332342  -54.885037 -177.866473   51.676384    4.959714   92.102972   -5.711970 -600.000000   -0.597115  -11.932185   13.193234  142.153876   40.593365  -30.578673  -25.640698   42.219116   16.201038   49.046654  -90.407572  -37.217453 -114.386834  -24.549080    5.629605   -3.101204  137.246151   -4.650858   16.022195   11.152602  -88.613612 -104.179862   15.642123  -26.248315  198.000000   73.999984   75.322352    6.853251   -0.000000  -42.188065    5.428239  -32.091486   92.742216  -33.805444   19.866720  124.543930  -29.007494   96.157028   -2.484056   27.831761   28.689755   -4.471257   -2.935393 -109.818016 -108.781427   -7.077282  -46.120641  109.187458   -8.293533  -43.173455  -38.729128   86.953541   36.078314   -2.652113    6.864139  -43.783186    8.849014   46.580120  -23.708277   65.790712  -69.325656   -5.585896  295.699196   13.308114    2.977839   36.251524  -10.605614 -164.930860 -161.513125   57.176100   30.963377 -162.578190   -6.367358   34.022499    2.660847   25.702568  -24.580463   80.325075   72.972654   52.753718   18.963350  178.236791    0.465360    2.632606    0.314946   -4.741220    1.356339   12.301209 -855.942722
-888.467198   77.849325    1.417269  -15.922844  100.206276   21.066430   16.044264   15.097258  317.779268    6.885199  259.344593   21.276086  229.607821   45.303098 -142.208233   -9.253786 -358.270984 -321.296668 -402.104837   40.860837 -248.495619  100.249007 -415.845351 -128.172524   -1.090056   79.550716   -9.593010  -15.372349   -1.214693   52.203364  126.727660  109.787791    3.023542  134.548485   72.373362   27.838423   40.014805   84.670878   17.452274 -658.959861  -95.791670   12.457992    1.026122   20.859252    1.391741   31.702120  104.208482   18.839171    0.187707   41.047539  121.141204 -167.091193    7.352814  125.654835  128.412088  107.616908  164.672559   44.442603   40.549075   79.286763   96.170294   28.875475   65.754743  -19.359263   36.784657  -14.117826    5.784080   30.899048    5.349836   25.242756   58.476741   -5.418256 -152.099775  159.099208  112.620692  232.857513  116.114941   17.347840   12.076439   -4.220521  -41.250811   36.304706   34.559471   18.272097   -8.525994   47.747210 -500.633392 1168.875169  -45.461792 -136.421892 -378.975073   91.842658    5.136320  -29.025520    4.343748 -117.709853  -99.693352   77.809987   16.064182   13.723427  387.594955   36.618272   26.146110 -112.717022  -86.099192    4.513527   51.624586   28.946188  -49.364026 -133.685726   22.430976 -103.579209  -13.197698 -153.674444  -54.824964   -2.394562  299.886808  151.431099   94.781384  -20.760241   75.182194  102.597033  -29.833274  -26.930252   24.240633  -56.315674 -177.914548   53.414610    5.135869   95.572901   -5.652932 -600.000000   -0.587676  -12.295149   13.037740  144.353775   40.582699  -31.297130  -25.185160   45.771701   16.195736   48.919763  -92.614982  -35.676658 -106.264588  -21.606205    4.163072   -3.208387  127.604346   -4.719934   15.294147   12.207247  -88.857966 -108.635402   16.207076  -25.890186  198.000000   73.778599   75.153846    4.024100   -0.000000  -42.177234    6.198505  -32.110646   68.526282  -34.276532   19.835877  128.375219  -25.024554   96.133718   -2.668345   27.762006   28.695726   -4.557668   -4.398735 -104.303487 -103.796259   -7.642504  -43.551180  107.143597   -8.465707  -44.093198  -37.116657   86.854114   34.567891   -2.679257    5.603275  -44.254551    9.200352   42.253695  -26.397180   61.470077  -68.082806   -5.792166  290.385432   12.959455    2.875101   31.348847  -10.490206 -165.845903 -164.536185   57.049307   30.806537 -165.266771   -4.217188   34.006278    2.425361   19.585130  -37.873681   80.750042   74.499499   52.537673   18.824692  176.689943    0.413709    2.854563   -0.455430   -4.847004    1.376450   12.234972 -972.000000
 -907.730971    84.405913     1.344153   -17.716668   105.479454    22.501019    13.049167    14.778758   330.343321     6.969732   259.346394    21.840641   229.503422    44.593723  -147.149470   -10.341707  -377.308468  -338.216580  -422.333836    68.333421  -260.816659   138.485509  -424.277948  -134.420941     0.417770   103.220787   -10.458321   -15.465510    -1.139539    59.074235   121.471230   105.095704     2.801297   141.704627    65.582021    25.595071    36.846471    81.917691     0.509200  -775.706622   -98.364859    11.633603     0.988674    21.391575     1.207387    30.281085   107.857581    18.340415     0.054626    40.761698   120.954711  -167.119359     7.673061   128.095500   132.650460   107.208811   164.510903    44.166992    40.017196    68.901473   104.677171    31.548823    68.197212   -20.415377    50.390435   -16.088429     5.592052    30.788663     5.063883    24.377307    54.431414    -6.291919  -177.110028   162.552722   112.598658   229.201650   123.089182    15.827189    12.833538    -4.056560   -41.498488    38.547031    36.549029    19.821021    -8.583206    49.647917  -499.100623  1080.248168   -43.456034  -143.099940  -401.082886    94.172936     4.795534   -31.465809     4.389693  -140.694970  -110.588609    77.731959    11.432135    14.023195   429.212700    36.469665    22.673870  -122.424613   -99.527707    -1.422431    45.949320    34.736899   -52.586791  -141.996179    22.676245  -121.012005   -16.701086  -175.038567   -61.958525    -2.587509   487.667980   124.016508    82.484964   -25.104378    74.341213   104.410344   -34.333510   -31.852387    23.803038   -61.974778  -177.361341    59.969697     5.138209   102.779219    -5.694605  -600.000000    -0.590313   -13.624444    12.787725   143.868324    40.188417   -32.553975   -26.245754    53.434534    15.922421    48.313917  -101.497195   -36.132806    25.539837    33.311173     0.044602    -3.581490   127.721588    -5.168617    15.433603    12.418861   -93.054874  -121.529504    17.044428   -26.890736   198.000000    72.817695    74.406022     7.937371    -0.000000   -43.267777     6.012849   -32.860159    49.753400   -36.084789    20.475632   138.644202   -27.202394    99.882034    -4.644805    27.528244    28.608565    -5.117848    -7.543831  -113.917754  -111.919234   -10.245194   -49.249416   158.890417    -8.919760   -45.750247   -33.486328    87.222251    30.312071    -2.808322     5.771985   -45.256309     9.467945    19.938261   -26.193071    66.283326   -77.713560    -6.664649   278.174849    11.498856     2.439423    31.432672   -10.868045  -174.785651  -173.869902    56.467329    30.456995  -171.031331    -5.033869    33.939645     1.895937    20.647226   -42.495964    82.261884    81.106743    82.758411    19.082679   175.691042     0.009008     3.199595     0.132500    -5.279717     1.457087    13.613930 -1035.000000
-889.378774   83.207536    2.376597  -19.584286  101.763725   21.841948    3.710997   14.446762  453.403002   14.303045  256.798969   21.075857  232.099433   43.804327 -153.520636  -11.489412 -381.020553 -332.216580 -446.262305  112.967035 -275.617205  168.270128 -439.122067 -142.363540   -2.185120  109.646592   -4.571657  -15.493510   -0.931140   79.411573  125.777775  113.611946    4.029747  138.264586   74.486042   29.159095   41.891749   88.662939  -16.901018 -916.333039 -102.274530   13.653824    0.785631   22.420912    5.052500   29.287169  113.401926   36.900251   -0.096932   40.431797  141.304183 -160.733925    7.735549  127.935227  130.090751  106.755528  164.337258   43.879022   39.854396   44.755019  106.785478   34.071075   96.591822  -20.332635   38.660340  -20.808805    5.390805   30.671999    4.879654   23.417012   50.553910   -7.289885 -207.291262  161.071048  125.235877  243.642237  137.320535   12.012709   13.763782   -3.795789  -42.494497   40.332109   38.336450   20.899901   -8.737564   52.968049 -502.770324 1154.541562  -54.304213 -155.917960 -467.224399   95.772398    4.421455  -35.195202    4.251805 -165.415964 -123.826668   79.194226    8.925027   14.110580  417.510180   36.314193   29.612056 -133.586051 -115.637370    1.957075   51.539554   29.954387  -56.649106 -150.512652   23.256221 -141.953008  -19.227265 -200.569934  -69.257705   -2.800898  649.693328  149.204138  107.560187  -29.344446   75.142337  110.604638  -39.477927  -41.845708   23.345323  -68.008804 -177.025480   62.331024    5.879136  101.539128   -5.817812 -600.000000   -0.601622  -14.976516   12.606194  137.071144   39.863570  -34.019397  -28.339248   73.739080   26.179713   48.464820 -111.036298  -38.977958 -114.493992  -23.639791   -2.551662   -4.012184  130.378336   -4.117789   13.548064   16.150570  -98.137220 -144.841630   16.841300  -26.437887  198.000000   71.727336   73.562845   17.045342   -0.000000  -44.612141    6.911162  -34.086628   69.167471  -38.023190   31.224351  127.855490  -31.552814  134.242889   -9.763639   29.997925   28.485534   -5.696967   -8.945384 -125.708210 -121.866504  -11.513196  -55.914704  175.580707   -9.321125  -47.704374  -27.657207   89.385699   26.191784   -2.923176    4.467640  -47.562268   10.614977   18.134437  -29.197904   78.872478  -81.885681   -7.675801  272.612033   11.232153    1.935749   39.312870  -11.129108 -184.017507 -186.030083   55.847840   33.211740 -177.630804   -3.988501   33.846474    1.594666   11.034679  -62.950704   82.725394   80.441310   65.738839   18.903599  180.402226   -0.334401    2.280945   -2.037313   -3.053380    1.326124   18.703974 -974.000000
-952.417270   67.887590    2.503647  -20.854019   95.938751   21.489608    4.956838   14.214418  501.617991   16.850753  255.792532   20.984805  251.044067   43.394031 -163.924421   -4.905993 -410.749749 -325.526392 -454.262249  113.433040 -284.441290  174.615113 -469.334847 -148.258103   -3.237644  110.788111   -5.831849  -15.509360   -0.936395  310.794077  137.516498  133.196123    8.765805  138.113681   98.163951   37.912633   55.377104  108.560989  -22.983641 -977.816755 -103.866878   12.904194    0.693654   22.178012    6.276587   54.377160  155.370447   57.138688   -0.175260   40.272490  144.636534 -160.749351    7.802005  129.116662  123.580002  114.970753  164.285512   72.865727   40.112180   43.257631  107.871308   33.901762   99.993567  -21.509216   40.016135  -22.544305    5.262089   30.608266    4.865510   22.951357   49.595340   -7.724375 -220.855075 -267.980576  125.169028  232.526041  137.283504   11.463933   13.634634   -3.840737  -42.816455   40.273390   42.189932   20.783360   -8.732118   57.758637 -514.360938  902.926614  -58.661272 -164.420384 -508.152208  102.835117    4.281723  -35.884342    4.099015 -174.379091 -137.613576   79.848417    7.691397   14.026253  334.746092   59.310469   43.176417 -143.861429 -123.031378   12.758007   71.824503   14.534376  -61.925505 -155.932760   25.140442 -151.125771  -20.290888 -212.277887  -71.502275   -2.905257  649.300919  156.892327  156.706425  -28.295271   74.687753  110.510360  -41.691955  -44.375162   23.052086  -70.702535 -177.067951   62.321025    5.875698   91.945912   -5.840270 -600.000000   -0.604776  -15.562727   12.471282  137.439435   55.717526  -34.175713  -29.110609   77.670660   31.536067   48.006931 -115.238719  -42.063437 -129.375741  -29.169092   -3.674144   -4.211030  131.190943   -4.283866   12.853464   16.071621 -101.442528 -149.736116   15.330153  -27.125000  198.000000   71.357367   73.138327   23.823280   -0.000000  -45.083842    7.195405  -34.508253  120.120827  -39.151137   31.345849  127.611820  -40.781650  139.819103  -10.423774   29.913047   28.457032   -4.095869   -4.746378 -138.543789 -133.154022  -10.372579  -61.982991  205.254593   -9.519398  -48.090684  -27.066264   90.323074   25.082740   -2.997174    4.595336  -47.719954   10.612005   25.027119  -29.828066   81.530114  -91.250835   -8.101453  277.257645   11.137658    1.697312   29.787806  -11.308960 -191.224804 -192.907136   95.369927   33.100988 -180.372635   -4.384903   33.840519    1.473163   17.535160  -56.451295   82.130300   72.749638   56.910621   18.894240  182.520394   -0.656913    2.036869   -1.641987   -2.454825    1.222630   18.668745 -639.000000
-973.063764   48.011039    2.510358  -20.600469   95.719415   21.748405   -1.695645   14.265639  501.864171   17.188506  249.900968   20.953877  262.644353   51.604579 -169.620708    3.347575 -414.241418 -324.753014 -466.380301  113.353359 -286.452888  174.465148 -494.993188 -145.679167   -3.732767  111.260375   -5.222963  -15.522664   -0.943142  318.767736  147.026433  151.945188    8.473868  138.847258  112.178827   42.054540   63.374652  121.146361  -23.294606 -987.243408 -103.317439   12.916799    0.671330   22.264146    6.528584   62.608335  163.782081   58.337236    0.122955   46.722098  149.978175 -160.744908    7.719482  127.860753  116.087072  157.124231  225.526190   76.545904   40.169046   39.550483  107.423742   33.836609  107.741084  -21.019761   26.420542  -23.019807    5.280044   30.607651    4.891172   22.881702   49.661767   -7.798865 -223.998035 -346.906148  125.119815  212.391565  137.284802   11.161582   13.380461   -3.832089  -42.766245   40.280942   42.208296   20.806974   -8.787828   58.582751 -524.232136  769.885472  -57.367819 -159.353874 -493.781323  103.026631    4.318571  -36.045740    4.150413 -178.283997 -142.517591   80.038764    8.204755   14.028292  261.390455   62.218053   48.277975 -144.766644 -125.479242   16.207570   82.685140    9.429631  -64.421140 -155.905762   26.850466 -152.987521  -20.144153 -216.525282  -72.561305   -2.950909  648.075276  156.779306  175.222763  -27.349017   74.877448  110.545724  -41.917019  -47.318394   23.086038  -70.716905 -177.051980   62.335541    6.383415   89.310341   -5.841826 -600.000000   -0.604333  -15.628132   12.520554  134.981511   55.241324  -34.426288  -30.447041   84.382395   35.395840   48.685218 -115.267310  -43.819206 -138.042983  -32.601824   -3.598986   -4.261158  131.549137   -3.431745   12.739974   16.118005  -99.844734 -150.006804   15.107496  -26.872305  198.000000   71.634778   73.119213   28.268541   -0.000000  -44.939050    7.224064  -34.372402  140.470844  -39.296165   31.536057  125.793515  -49.445584  139.913790  -11.003780   29.919514   29.687907   -4.361983    5.499303 -143.689547 -138.192488   -8.836064  -63.848632  227.564375   -9.457353  -48.227008  -26.852312   90.767072   24.392789   -2.964796    3.700220  -48.093017   10.596903   36.577424  -31.232366   79.950023  -91.691739   -8.120735  278.793370   11.273274    1.670795   27.523316  -11.218195 -187.905714 -190.263020   92.022154   33.110967 -179.583176   -4.260743   33.824507    1.419510    9.696975  -67.858772   81.822993   62.573574   59.567405   19.021729  183.522684   -0.357550    2.031542   -2.948851   -2.202828    1.182911   18.664756 -485.000000
-917.766618   35.436138    2.510316  -19.892149   97.455153   22.211586   -6.482676   14.363931  508.891878   17.766899  250.018336   20.939591  250.290622   64.031984 -173.900443    3.909026 -404.111916 -295.830636 -459.589045  112.818169 -279.399174  171.287831 -527.163851 -143.385869   -1.745593  117.236709   -2.495701  -15.587798   -0.946037  306.153050  229.734671  158.804463    7.516155  132.936610  103.037972   40.580471   58.148116  136.645658  -22.072943 -980.982343 -104.126078   12.984792    0.599511   22.136046    6.782025   62.751540  158.327629   58.507145    0.594057   53.183481  150.818314 -160.749104    7.716770  127.857105  106.535771  254.819097  262.306882  105.758197   40.120471   41.501135  107.526185   33.699400  107.820086  -20.247471   23.995787  -23.552886    6.055331   33.036572    4.924738   25.617285   49.824646   -7.780022 -224.745988 -471.255334  125.049709  222.164254  137.227450   12.086696   13.708473   -3.847707  -42.940566   40.256169   42.163024   20.732218   -8.797319   55.487009 -535.184507  959.621000  -57.014571 -159.618306 -490.346676  102.621179    4.234957  -36.091490    4.097959 -183.250818 -146.970706   80.105125    8.807727   13.977220  150.740564   61.780323   46.464759 -158.671333 -127.333294   13.227233   72.467621  -62.109090  -67.551059 -156.539600   27.155654 -152.967967  -19.683588 -220.354190  -74.031875   -2.999444  648.797608  157.771654  168.678488  -29.139095   74.701675  110.499714  -41.526793  -44.533348   23.273464  -70.034802 -177.071603   62.323634    6.382027   26.442331   -5.853546 -600.000000   -0.603217  -15.544025   12.457582  133.343051   60.532342  -34.612189  -34.757066   88.689061   40.922343   49.142062 -114.141907  -46.548623 -178.218067  -54.331014   -3.203040   -4.280904  131.359792   -3.470928   13.093157   16.042686  -98.971947 -147.784802    2.355372  -27.220779  111.847565   71.738809   73.189516   39.685555   -0.000000  -45.136731    7.193252  -34.454343   52.383008  -38.147627   31.619041  125.807559  -63.030909  140.223459   -9.783924   29.910000   29.447293   -7.218575   -9.413984 -149.062410 -144.273355  -11.911987  -65.678904  178.910627   -9.554021  -48.421259  -26.538927   90.902294   23.149787   -2.945229    4.394255  -47.935916   10.590877   73.879800  -31.139257   81.029157  -88.820243   -8.033820  278.167546   11.448511    1.700631   27.663711  -11.326277 -186.729531 -191.626009   85.547674   33.032384 -179.362962   -4.400924   33.810206    1.321412    6.712213  -74.158741   82.658859   27.311375   38.643891   11.947151  183.666431   -0.472487    2.039725   -4.230257   -2.011884    1.007306   18.654882 -207.000000
