NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 4647.437931  4504.914030  3483.215670  2462.097150  2105.118024 40918.500000  2522.000000  6929.000000 21055.000000  9039.500000  3257.000000  7056.000000  9242.000000
 5162.488512  4906.353496  3342.334015  2401.628371  2254.987914 39846.500000  2652.000000  6853.000000 20144.000000  8618.000000  3223.000000  7046.000000  8642.000000
 4804.176673  4666.482457  3128.528838  2245.093922  2173.643303 39342.000000  2642.000000  6818.000000 18997.500000  8465.750000  3159.000000  6967.000000  7963.000000
 4532.196977  4486.499158  3070.132825  2218.847720  2092.159676 38869.000000  2556.000000  6819.000000 18555.500000  8177.750000  3159.000000  6931.000000  7770.000000
 4559.651496  4513.714916  3045.017870  2195.289550  2074.535912 38603.000000  2567.000000  6813.000000 17691.500000  8335.250000  3161.000000  6959.000000  7820.000000
 4618.610370  4513.924277  3071.357662  2215.630972  2092.822660 40425.750000  2591.000000  6871.000000 17241.500000  8752.750000  3163.000000  7072.000000  8053.000000
 4837.174585  4612.763618  3172.960304  2244.812541  2127.837864 41815.750000  2681.000000  7014.000000 17868.000000  9844.000000  3219.000000  6963.000000  8636.000000
 4952.207642  4669.097174  3343.060958  2398.446095  2239.765421 44172.000000  2783.000000  7119.000000 17907.500000 10768.250000  3284.000000  6960.000000  9329.000000
 5063.608009  4731.277647  3280.355867  2409.145270  2279.824540 45986.750000  2821.000000  7150.000000 18847.000000 11035.250000  3282.000000  7048.000000  9685.000000
 5244.866248  4818.936760  3331.877118  2366.220712  2342.004868 47128.250000  2899.000000  7225.000000 20987.000000 10754.000000  3330.000000  7115.000000  9923.000000
 5380.145346  4904.243595  3415.733563  2430.340197  2397.230157 47885.750000  2883.000000  7276.000000 23361.000000 10419.750000  3390.000000  7259.000000 10433.000000
 5482.753260  4971.443689  3369.839332  2433.209003  2379.239868 48746.250000  2914.000000  7391.000000 25393.500000 10330.000000  3477.000000  7252.000000 10711.000000
 5550.288616  5011.091914  3308.103967  2476.234064  2412.022659 48696.000000  3129.000000  7432.000000 26755.500000 10035.500000  3530.000000  7307.000000 10821.000000
 5598.285535  5025.992878  3418.321261  2454.039070  2409.770754 47509.750000  3113.000000  7451.000000 27466.500000 10095.000000  3635.000000  7276.000000 10931.000000
 5649.071791  5020.594920  3447.113359  2453.051700  2404.664340 45682.500000  3058.000000  7561.000000 27884.500000 10467.750000  3719.000000  7257.000000 11154.000000
 5766.967676  5052.429700  3556.527532  2451.569514  2451.744822 45146.500000  3090.000000  7681.000000 28837.500000 10817.500000  3884.000000  7306.000000 11442.000000
 5840.602507  5153.563221  3523.719694  2422.993707  2434.993736 46665.750000  3270.000000  7877.000000 31482.000000 10909.750000  3957.000000  7327.000000 11468.000000
 5877.369731  5134.258521  3533.588030  2379.735402  2431.190120 49843.750000  3486.000000  7912.000000 33194.000000 11053.000000  3979.000000  7366.000000 11468.000000
 5805.359067  5131.794023  3533.324234  2405.784943  2444.459676 50910.000000  3486.000000  7798.000000 31874.500000 10642.000000  3956.000000  7413.000000 11425.000000
 5735.503194  5082.757596  3407.836019  2399.589972  2347.834448 50931.000000  3486.000000  7619.000000 29741.000000 10038.250000  3876.000000  7403.000000 11224.000000
 5584.895375  4996.985717  3378.227209  2377.402354  2327.183992 49067.750000  3486.000000  7347.000000 27797.000000  8898.000000  3748.000000  7357.000000 11060.000000
 5368.810781  4846.079365  3450.330720  2348.268196  2393.860685 46972.500000  3393.000000  7273.000000 25717.000000  8040.000000  3487.000000  7347.000000 11219.000000
 5137.673971  4755.205389  3177.034032  2298.963440  2261.416856 46090.500000  3365.000000  7058.000000 23258.000000  7597.000000  3363.000000  7216.000000 10889.000000
 5095.728147  4806.087021  3326.831006  2317.327964  2190.446135 44386.250000  3173.000000  7111.000000 20597.500000  7196.500000  3363.000000  7175.000000 10402.000000
 4746.176515  4446.829500  3540.316117  2185.929749  2192.754876 41188.000000  2991.000000  6875.000000 20220.000000  6496.750000  3183.000000  7001.000000  9958.000000
 5094.098226  4700.675812  3452.450063  2164.214560  2329.339711 40046.500000  2963.000000  6792.000000 19954.500000  6297.750000  3184.000000  7033.000000  9287.000000
 4827.372200  4629.140165  3721.682626  2355.258211  2260.087376 39809.500000  2805.000000  6767.000000 19144.000000  6378.750000  3182.000000  6982.000000  9074.000000
 4705.213196  4583.907864  3474.167344  2265.427239  2228.015322 39353.000000  2798.000000  6781.000000 18851.500000  6368.250000  3183.000000  6982.000000  9002.000000
 4730.844193  4473.339252  3404.670579  2215.277203  2197.349260 39433.250000  2775.000000  6819.000000 18516.500000  6478.000000  3185.000000  6980.000000  9158.000000
 4694.498222  4293.617123  3251.753248  2212.712816  2165.049391 40062.500000  2802.000000  7019.000000 18521.500000  6624.250000  3186.000000  7055.000000  9631.000000
 4933.089755  4457.965418  3328.713920  2237.446416  2183.168254 41281.750000  2887.000000  7180.000000 19211.000000  6840.500000  3197.000000  6990.000000 10570.000000
 5198.448794  4699.886178  3610.259018  2303.532247  2241.928125 43342.250000  3043.000000  7375.000000 20347.500000  7457.750000  3260.000000  6984.000000 10917.000000
 5370.112004  4778.989597  3607.264898  2342.407963  2249.761544 45909.500000  3176.000000  7579.000000 22764.500000  8267.000000  3542.000000  7096.000000 11223.000000
 5424.988365  4882.556473  3547.955980  2390.596500  2286.552349 48081.750000  3378.000000  7711.000000 25222.500000  8640.500000  3841.000000  7252.000000 11374.000000
 5620.104188  4979.986070  3526.731695  2407.727366  2313.309511 48901.750000  3354.000000  7775.000000 26947.500000  8565.750000  4111.000000  7297.000000 11388.000000
