NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 2840.840008  5508.897851  3833.215670  3962.097150  4278.161537 40118.500000  1522.000000  6929.000000 20335.000000  8939.500000  3057.000000  6256.000000  9641.570588
 3050.532024  5510.598971  3692.334015  3901.628371  4530.262392 39046.500000  1652.000000  6853.000000 19424.000000  8518.000000  3023.000000  6246.000000  9644.436535
 2325.869340  5510.627332  3478.528838  3745.093922  4277.805761 38542.000000  1642.000000  6818.000000 18277.500000  8365.750000  2959.000000  6167.000000  9263.000000
 2097.192571  5267.794427  3420.132825  3718.847720  4215.868813 38069.000000  1556.000000  6819.000000 17835.500000  8077.750000  2959.000000  6131.000000  9070.000000
 2099.974913  5258.877076  3395.017870  3695.289550  4259.050335 37803.000000  1567.000000  6813.000000 16971.500000  8235.250000  2961.000000  6159.000000  9120.000000
 2101.128146  5318.997255  3421.357662  3715.630972  4275.231907 39625.750000  1591.000000  6871.000000 16521.500000  8652.750000  2963.000000  6272.000000  9353.000000
 2577.152314  5481.660727  3522.960304  3744.812541  4283.392437 41015.750000  1681.000000  7014.000000 17148.000000  9744.000000  3019.000000  6163.000000  9641.570588
 3032.635877  5487.975167  3693.060958  3898.446095  4795.022657 43372.000000  1783.000000  7119.000000 17187.500000 10668.250000  3084.000000  6160.000000  9644.436535
 2999.695269  5478.721655  3630.355867  3909.145270  5406.856736 45186.750000  1821.000000  7150.000000 18127.000000 10935.250000  3082.000000  6248.000000  9644.436535
 2988.726260  5478.631165  3681.877118  3866.220712  5987.013916 46328.250000  1899.000000  7225.000000 20267.000000 10654.000000  3130.000000  6315.000000  9644.436535
 3020.984288  5982.534610  3765.733563  3930.340197  6233.797718 47085.750000  1883.000000  7276.000000 22641.000000 10319.750000  3190.000000  6459.000000  9647.302482
 3067.047690  6320.846778  3719.839332  3933.209003  6279.239868 47946.250000  1914.000000  7391.000000 24673.500000 10230.000000  3277.000000  6452.000000  9647.302482
 3055.226761  6549.851287  3658.103967  3976.234064  6312.022659 47896.000000  2129.000000  7432.000000 26035.500000  9935.500000  3330.000000  6507.000000  9647.302482
 3050.155942  6727.819989  3768.321261  3954.039070  6309.770754 46709.750000  2113.000000  7451.000000 26746.500000  9995.000000  3435.000000  6476.000000  9647.302482
 3052.902869  6786.763842  3797.113359  3953.051700  6304.664340 44882.500000  2058.000000  7561.000000 27164.500000 10367.750000  3519.000000  6457.000000  9854.000000
 3051.444207  6937.953169  3906.527532  3951.569514  6351.744822 44346.500000  2090.000000  7681.000000 28117.500000 10717.500000  3684.000000  6506.000000 10142.000000
 3104.019963  7060.145765  3873.719694  3922.993707  6334.993736 45865.750000  2270.000000  7877.000000 30762.000000 10809.750000  3757.000000  6527.000000 10168.000000
 3132.353669  7049.274583  3883.588030  3879.735402  6331.190120 49043.750000  2486.000000  7912.000000 32474.000000 10953.000000  3779.000000  6566.000000 10168.000000
 3132.127817  6975.025274  3883.324234  3905.784943  6344.459676 50110.000000  2486.000000  7798.000000 31154.500000 10542.000000  3756.000000  6613.000000 10125.000000
 3124.038224  6864.222566  3757.836019  3899.589972  6247.834448 50131.000000  2486.000000  7619.000000 29021.000000  9938.250000  3676.000000  6603.000000  9924.000000
 3113.708348  6638.172744  3728.227209  3877.402354  6227.183992 48267.750000  2486.000000  7347.000000 27077.000000  8798.000000  3548.000000  6557.000000  9760.000000
 3056.102848  6328.787298  3800.330720  3848.268196  6293.860685 46172.500000  2393.000000  7273.000000 24997.000000  7940.000000  3287.000000  6547.000000  9919.000000
 3007.974125  5996.602753  3527.034032  3798.963440  6161.416856 45290.500000  2365.000000  7058.000000 22538.000000  7497.000000  3163.000000  6416.000000  9647.302482
 2983.377905  5547.646884  3676.831006  3817.327964  6088.799978 43586.250000  2173.000000  7111.000000 19877.500000  7096.500000  3163.000000  6375.000000  9644.436535
 2988.108338  5543.916372  3890.316117  3685.929749  4937.299645 40388.000000  1991.000000  6875.000000 19500.000000  6396.750000  2983.000000  6201.000000  9644.436535
 2987.482010  5540.681554  3802.450063  3664.214560  5008.513650 39246.500000  1963.000000  6792.000000 19234.500000  6197.750000  2984.000000  6233.000000  9644.436535
 2977.581238  5530.736430  4071.682626  3855.258211  4407.845538 39009.500000  1805.000000  6767.000000 18424.000000  6278.750000  2982.000000  6182.000000  9644.436535
 2835.428035  5529.638364  3824.167344  3765.427239  4282.499395 38553.000000  1798.000000  6781.000000 18131.500000  6268.250000  2983.000000  6182.000000  9641.570588
 2880.665134  5524.753431  3754.670579  3715.277203  4282.543553 38633.250000  1775.000000  6819.000000 17796.500000  6378.000000  2985.000000  6180.000000  9641.570588
 3023.119312  5530.581369  3610.890920  3703.575145  4356.027520 39262.500000  1802.000000  7019.000000 17801.500000  6524.250000  2986.000000  6255.000000  9644.436535
 3054.943965  5545.547494  3678.713920  3737.446416  5669.295432 40481.750000  1887.000000  7180.000000 18491.000000  6740.500000  2997.000000  6190.000000  9644.436535
 3118.171224  5919.861266  3960.259018  3803.532247  6141.928125 42542.250000  2043.000000  7375.000000 19627.500000  7357.750000  3060.000000  6184.000000  9647.302482
 3052.202772  6266.898828  3957.264898  3842.407963  6149.761544 45109.500000  2176.000000  7579.000000 22044.500000  8167.000000  3342.000000  6296.000000  9923.000000
 3051.047529  6426.497310  3897.955980  3890.596500  6186.552349 47281.750000  2378.000000  7711.000000 24502.500000  8540.500000  3641.000000  6452.000000 10074.000000
 3052.019436  6718.070822  3876.731695  3907.727366  6213.309511 48101.750000  2354.000000  7775.000000 26227.500000  8465.750000  3911.000000  6497.000000 10088.000000
 3054.903369  6825.519575  3922.356945  3938.228267  6190.842125 48070.750000  2337.000000  7865.000000 27612.000000  8380.000000  3880.000000  6536.000000 10089.000000
 3050.120119  6770.129132  3915.366916  3914.468258  6248.082614 48325.000000  2421.000000  7927.000000 28412.000000  8391.000000  3901.000000  6500.000000 10199.000000
 3047.149233  6820.536271  3952.487496  3915.265465  6174.531365 47703.750000  2214.000000  7982.000000 28907.000000  8651.000000  3897.000000  6476.000000 10220.000000
 3053.907192  6822.140369  3918.396202  3919.016697  6239.288210 46563.750000  2222.000000  8153.000000 29188.500000  8952.750000  3935.000000  6464.000000 10267.000000
 3052.088964  6934.357929  3944.792779  3929.550240  6281.980489 45554.250000  2357.000000  8427.000000 30396.500000  9143.000000  4019.000000  6587.000000 10315.160870
 3046.194591  7166.389033  3963.375080  3877.175517  6337.217840 46480.250000  2486.000000  8677.000000 32953.500000  9463.250000  4017.000000  6550.000000 10315.160870
 3048.077733  7232.209893  3970.466343  3848.837329  6355.587570 49444.000000  2486.000000  8733.000000 34598.000000  9780.000000  4020.000000  6506.000000 10315.160870
 3056.291360  7164.707298  4039.767043  4001.694566  6316.263674 51626.500000  2486.000000  8721.000000 33222.500000  9819.500000  4020.000000  6443.000000 10315.160870
 3058.350971  6979.184767  3982.274515  3863.852441  6260.268482 51938.500000  2474.000000  8390.000000 30686.500000  9667.250000  3960.000000  6232.000000 10275.000000
 3056.113145  6474.140820  3896.513886  3852.589932  6272.287655 49543.750000  2423.000000  8132.000000 28100.500000  9053.250000  3556.000000  6119.000000 10043.000000
 3057.448702  6187.925407  4009.337530  3836.330521  6215.178003 46691.500000  2223.000000  8119.000000 25241.000000  8544.250000  3201.000000  5951.000000 10144.000000
 2997.110456  6082.386953  3763.713590  3877.027035  6179.147779 46223.750000  2061.000000  7903.000000 22186.500000  8094.250000  3092.000000  5926.000000  9784.000000
 3024.139992  5857.500074  3675.775043  3874.247100  5811.454656 44728.750000  1823.000000  7588.000000 19473.000000  7703.000000  3030.000000  5750.000000  9644.436535
 3022.522989  5888.636453  3608.653415  3819.928370  4585.569300 40075.250000  1461.000000  7693.000000 18372.500000  7157.750000  2953.000000  5447.794574  9644.436535
 3023.421746  5906.634229  3413.494486  3731.433522  4808.468441 37637.000000  1403.000000  7603.000000 17755.500000  6760.750000  2957.000000  5346.855141  9644.436535
 2607.469458  5936.564513  3611.606395  3758.291291  4282.206089 36233.250000  1250.000000  7607.000000 16665.500000  6503.000000  2918.000000  5447.794574  9594.000000
 2525.349545  5947.508525  3405.499848  3697.417287  4278.486543 34578.250000  1093.000000  7618.000000 15873.500000  6170.500000  2917.000000  5410.723656  9476.000000
 2570.234869  5959.382004  3445.907611  3667.979756  4283.637571 34252.750000   942.000000  7699.000000 15729.000000  5929.000000  2917.000000  5426.710405  9430.000000
 2221.565398  5965.606361  3495.978478  3675.192940  4278.886187 34394.000000   769.000000  7802.000000 16387.000000  5967.500000  2918.000000  5447.794574  9610.000000
 2523.134644  5986.259391  3582.006538  3708.415449  4298.405805 34187.000000   540.000000  7965.000000 16581.500000  6141.000000  2969.000000  5447.794574  9641.570588
