Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
-0.001311  0.005665 -0.022365  0.005120  0.002482 -0.007717  0.004360  0.007640 -0.019445 -0.020845 -0.034676 -0.039251  0.011954 -0.001469  0.002610  0.004226 -0.019616 -0.010307 -0.018428 -0.012041 -0.017330 -0.009108 -0.000092 -0.025362 -0.023347 -0.020114 -0.023362 -0.055191 -0.054423  0.011059  0.002319  0.008202  0.011396  0.012554  0.011107  0.009163  0.010871  0.007295 -0.012346 -0.013667 -0.065035 -0.045746 -0.048212 -0.051329 -0.015699 -0.009129 -0.004815  0.000985 -0.001940 -0.002510 -0.022786 -0.032930 -0.022381 -0.022976  0.008241 -0.000704  0.001337  0.006794 -0.002276 -0.021867 -0.025801 -0.031971 -0.015975 -0.020794 -0.024875 -0.027534  0.005981 -0.001724 -0.003344 -0.004450 -0.006886 -0.007103 -0.008355  0.003761  0.013111  0.013260 -0.040388 -0.053787 -0.053814 -0.059030 -0.053586 -0.046977 -0.044809 -0.049356 -0.055780 -0.051561  0.007927  0.013373 -0.028631 -0.029840 -0.030115 -0.043330 -0.054137 -0.062126 -0.045392 -0.004805 -0.002067 -0.007485 -0.007671 -0.047648  0.013112  0.009121  0.005044  0.004198 -0.004089  0.004415  0.011171  0.007384  0.004753 -0.027091 -0.016423 -0.011336 -0.010483 -0.008505 -0.002541  0.000000 -0.002925  0.004371  0.004863 -0.004313 -0.023254 -0.033248 -0.011732 -0.013075  0.006338 -0.009924 -0.056145 -0.022094 -0.022487  0.010866 -0.054189 -0.044217 -0.055256 -0.017656 -0.042248 -0.026356  0.000538 -0.064297  0.006294 -0.012962 -0.005755 -0.001081 -0.012120  0.006780  0.009248  0.008640 -0.015415 -0.005093  0.002659 -0.026811 -0.049633 -0.023722 -0.022714 -0.054464  0.010218 -0.048939  0.008917 -0.004584 -0.000164  0.008568  0.009529 -0.027733 -0.025163 -0.026286  0.012267 -0.017368 -0.021747 -0.018210 -0.004305 -0.019108 -0.054102 -0.024184 -0.021482  0.008367  0.007713 -0.002784 -0.001815  0.000192 -0.004317 -0.007118 -0.060381 -0.066545 -0.068722 -0.003422 -0.001665 -0.004091 -0.004315 -0.062297 -0.060478 -0.009333 -0.016302 -0.002086 -0.019704 -0.006055 -0.002763 -0.012271 -0.004352  0.008709 -0.026261 -0.038357 -0.036396  0.010746 -0.029381 -0.041420 -0.025635 -0.028246 -0.030217 -0.016946 -0.013496 -0.034697  0.012667  0.012933  0.010948 -0.002380 -0.023335 -0.023107 -0.022045 -0.019815  0.012695 -0.053748 -0.021486
-0.007302 -0.000362  0.026644  0.008151  0.013053  0.006496  0.011433  0.008723  0.003962  0.002342 -0.005524 -0.010074  0.006038 -0.003479 -0.002945  0.001357 -0.023387 -0.014172 -0.022215 -0.015960 -0.021141 -0.013112 -0.005553 -0.002015  0.003272  0.005177 -0.001044  0.054455  0.054230  0.005348 -0.002790  0.002817  0.005580  0.006248  0.005086  0.003949  0.005158  0.001736 -0.012662 -0.014063  0.005687  0.024438  0.024487  0.022160  0.004811  0.006104 -0.008630 -0.002300 -0.003949 -0.004392  0.029311  0.019258  0.020353  0.018637  0.002221 -0.003404 -0.001132  0.003580 -0.004209  0.028675  0.031874  0.030792  0.006853  0.001755  0.013535  0.007904  0.005440 -0.003269 -0.004830 -0.005897 -0.008080 -0.008260 -0.009821 -0.002074  0.007184  0.007284  0.028056  0.054122  0.051781  0.037785  0.038762  0.036490  0.034293  0.038341  0.043008  0.043481  0.001939  0.007374  0.005016  0.000800 -0.001285  0.028094  0.016162  0.008520  0.026376 -0.005100 -0.004860  0.003934 -0.002354  0.024455  0.007133  0.005852  0.001104 -0.000419 -0.006656 -0.000260  0.004022  0.001987 -0.000026 -0.003829  0.000387 -0.011966 -0.006793 -0.009489 -0.002675  0.000000 -0.000203 -0.001229  0.001060 -0.006841  0.030679  0.031186 -0.010898 -0.011108  0.007034 -0.006661  0.014064  0.021276  0.024814  0.005151  0.053889 -0.015019  0.054437 -0.015099  0.027205  0.003520  0.015046  0.006448  0.001310  0.010766  0.013999  0.012041 -0.008922  0.001665  0.003754  0.002927 -0.012866 -0.006569  0.001460  0.024576  0.030086  0.022041 -0.005785  0.019839  0.004530  0.023230  0.003104 -0.001646  0.002384  0.009648  0.009654  0.022531  0.023447  0.021077  0.006315 -0.021169  0.000549  0.012000 -0.010218  0.003151  0.054420  0.029384  0.029864  0.003077  0.002918 -0.006281 -0.005647 -0.003918 -0.007141 -0.011211  0.010198  0.004284  0.002188  0.004002 -0.005340  0.004516  0.005636  0.034813  0.036509 -0.013226 -0.020112  0.003381 -0.023480 -0.003064 -0.003209 -0.009046 -0.001483  0.009701  0.030506 -0.016186 -0.014207  0.007468  0.029626  0.020280  0.029656  0.034622  0.032623  0.008371  0.010828  0.034852  0.006717  0.006967  0.005270  0.002930  0.030583  0.007284  0.021375  0.003589  0.006307  0.056086 -0.027834
-0.009758 -0.002828  0.046949  0.008976  0.017306  0.012229  0.014272  0.008803  0.013495  0.011787  0.006506  0.001971  0.003542 -0.006952 -0.006082 -0.001360 -0.027215 -0.018013 -0.026033 -0.020038 -0.025024 -0.017413 -0.008587  0.007528  0.014192  0.015546  0.008110  0.100025  0.099298  0.002678 -0.006194 -0.000183  0.002981  0.003755  0.002575  0.001176  0.002535 -0.001203 -0.014011 -0.015376  0.035178  0.053739  0.054868  0.052879  0.012989  0.011808 -0.012672 -0.005585 -0.007299 -0.007568  0.050921  0.040905  0.038068  0.035878 -0.000259 -0.007175 -0.005033  0.001343 -0.007286  0.049602  0.055867  0.056875  0.016080  0.010950  0.029439  0.022574  0.004285 -0.007291 -0.008364 -0.009112 -0.010186 -0.010414 -0.011463 -0.004481  0.004735  0.004831  0.056605  0.098831  0.095625  0.078256  0.077395  0.071365  0.067311  0.075009  0.084253  0.083282 -0.000523  0.004914  0.018946  0.013513  0.010583  0.057934  0.045489  0.038002  0.056366 -0.005613 -0.006303  0.007725 -0.001612  0.054586  0.004682  0.003901 -0.001652 -0.002474 -0.008474 -0.002380  0.001642 -0.000299 -0.002129  0.005684  0.007190 -0.013143 -0.007243 -0.010621 -0.002903  0.000000  0.000590 -0.004377 -0.001716 -0.008224  0.053089  0.057928 -0.011861 -0.012227  0.006563 -0.006704  0.043378  0.039261  0.044412  0.002772  0.098670 -0.002963  0.100026 -0.015799  0.056157  0.015861  0.020994  0.035954 -0.000893  0.020356  0.021727  0.016284 -0.009093 -0.000564  0.001439  0.000552 -0.013615 -0.009302 -0.000581  0.046054  0.063370  0.041046  0.001022  0.050901  0.002153  0.053411  0.000704 -0.001688  0.002356  0.009636  0.009642  0.043508  0.043659  0.040767  0.003862 -0.025322  0.009708  0.025220 -0.012678  0.012314  0.099271  0.051709  0.051144  0.000843  0.000633 -0.008062 -0.007548 -0.005895 -0.008566 -0.015779  0.039649  0.033795  0.031658  0.005280 -0.006974  0.004671  0.004471  0.075420  0.077058 -0.017095 -0.024368  0.001078 -0.027558 -0.003099 -0.003970 -0.009598 -0.001517  0.009990  0.054146 -0.007014 -0.005039  0.005813  0.054257  0.046099  0.052706  0.060720  0.058717  0.018690  0.020810  0.063795  0.004271  0.004515  0.002931  0.003657  0.053023  0.020303  0.039376  0.013142  0.003807  0.101777 -0.030374
-0.009213 -0.002378  0.041356  0.008591  0.016133  0.010832  0.013079  0.008826  0.010792  0.009032  0.003149 -0.001389  0.004111 -0.005094 -0.005233  0.000482 -0.024805 -0.015622 -0.023650 -0.017233 -0.022512 -0.014280 -0.008061  0.004611  0.011292  0.012796  0.005432  0.087123  0.086212  0.003501 -0.004539  0.001051  0.003845  0.004381  0.004322  0.002570  0.004147 -0.000286 -0.014852 -0.016211  0.027055  0.046582  0.047481  0.045190  0.010591  0.009930 -0.009674 -0.003253 -0.005592 -0.006085  0.045064  0.035208  0.033148  0.031032  0.000143 -0.004860 -0.002531  0.002854 -0.005906  0.043829  0.049374  0.049931  0.013592  0.008359  0.024780  0.018282  0.005129 -0.005019 -0.006619 -0.007704 -0.010018 -0.010207 -0.011768 -0.004333  0.005207  0.005310  0.049555  0.085669  0.082981  0.066566  0.067056  0.063085  0.059728  0.065891  0.072565  0.072568 -0.000165  0.005398  0.014989  0.010131  0.007263  0.051070  0.037738  0.029942  0.049301 -0.005944 -0.006118  0.005901 -0.003352  0.047277  0.005143  0.004907 -0.000527 -0.001890 -0.008318 -0.001328  0.004326 -0.000061 -0.001617  0.002665  0.005561 -0.014012 -0.009070 -0.011127 -0.003087  0.000000  0.000258 -0.003386 -0.000647 -0.008271  0.046996  0.051004 -0.012899 -0.013772  0.006958 -0.008378  0.036392  0.034288  0.038991  0.003058  0.085457 -0.006328  0.087114 -0.018408  0.048725  0.012494  0.019280  0.027917 -0.000577  0.018406  0.020188  0.014459 -0.010941 -0.000356  0.001319  0.000569 -0.015985 -0.008410 -0.000657  0.039783  0.055313  0.035645 -0.000942  0.042881  0.002482  0.046070  0.000707 -0.003274  0.000915  0.008944  0.009521  0.037277  0.037808  0.034971  0.004275 -0.022609  0.007057  0.024768 -0.012554  0.009711  0.085594  0.045501  0.045314  0.001365  0.001396 -0.007646 -0.007042 -0.005363 -0.008482 -0.012179  0.031721  0.025745  0.023651  0.003468 -0.006873  0.002644  0.002267  0.063327  0.065175 -0.014735 -0.021567 -0.000754 -0.024915 -0.004730 -0.004742 -0.011795 -0.003110  0.009867  0.047623 -0.010073 -0.008053  0.006321  0.047366  0.038406  0.046264  0.053612  0.051667  0.014821  0.015074  0.056345  0.004689  0.004981  0.003421  0.001894  0.046907  0.018650  0.034213  0.010413  0.004435  0.089171 -0.029868
-0.009307 -0.002540  0.041719  0.008573  0.016175  0.010942  0.013037  0.008794  0.010973  0.009233  0.003350 -0.001189  0.004021 -0.005076 -0.005222  0.000430 -0.024845 -0.015673 -0.023700 -0.017338 -0.022576 -0.014393 -0.008049  0.004809  0.011409  0.012896  0.005664  0.088120  0.087170  0.003458 -0.004558  0.001039  0.003792  0.004321  0.004312  0.002565  0.004139 -0.000300 -0.014785 -0.016145  0.027561  0.047005  0.047922  0.045615  0.010760  0.010076 -0.009817 -0.003342 -0.005572 -0.006061  0.045498  0.035643  0.033463  0.031325 -0.000003 -0.004867 -0.002533  0.002798 -0.005881  0.044184  0.049873  0.050425  0.013814  0.008591  0.025022  0.018515  0.005094 -0.004979 -0.006580 -0.007665 -0.009972 -0.010161 -0.011721 -0.004413  0.005116  0.005218  0.049983  0.086605  0.084085  0.067982  0.068480  0.064005  0.060450  0.067045  0.073967  0.074163 -0.000282  0.005302  0.015222  0.010349  0.007463  0.051486  0.038175  0.030407  0.049721 -0.005908 -0.006078  0.006038 -0.003231  0.047706  0.005053  0.004844 -0.000519 -0.001898 -0.008283 -0.001318  0.004321 -0.000114 -0.001634  0.002860  0.005731 -0.013952 -0.008941 -0.011076 -0.003070  0.000000  0.000295 -0.003385 -0.000640 -0.008181  0.047485  0.051481 -0.012821 -0.013658  0.006932 -0.008272  0.036809  0.034616  0.039338  0.002986  0.086394 -0.006127  0.088112 -0.018280  0.049119  0.012688  0.019359  0.028382 -0.000602  0.018532  0.020322  0.014602 -0.010827 -0.000390  0.001260  0.000495 -0.015858 -0.008373 -0.000606  0.040250  0.055994  0.036051 -0.000737  0.043293  0.002415  0.046484  0.000626 -0.003178  0.000994  0.008953  0.009480  0.037728  0.038220  0.035386  0.004193 -0.022781  0.007291  0.024990 -0.012649  0.009945  0.086369  0.045990  0.045709  0.001324  0.001357 -0.007619 -0.007023 -0.005353 -0.008358 -0.012435  0.032166  0.026248  0.024222  0.003609 -0.006816  0.002845  0.002534  0.064743  0.066592 -0.014769 -0.021746 -0.000537 -0.025088 -0.004633 -0.004693 -0.011665 -0.003016  0.009827  0.048128 -0.009767 -0.007758  0.006248  0.047886  0.038955  0.046770  0.054111  0.052166  0.014488  0.014106  0.056666  0.004603  0.004893  0.003357  0.002018  0.047465  0.018871  0.034486  0.010600  0.004375  0.090176 -0.029960
-0.009695 -0.002829  0.047129  0.009012  0.017413  0.012433  0.014168  0.008886  0.013450  0.011764  0.006641  0.002107  0.003623 -0.006871 -0.005945 -0.001252 -0.027087 -0.017873 -0.025892 -0.019886 -0.024871 -0.017261 -0.008452  0.007491  0.013867  0.015097  0.008218  0.100177  0.099225  0.002790 -0.006059 -0.000048  0.003084  0.003824  0.002682  0.001321  0.002657 -0.001076 -0.013969 -0.015341  0.035372  0.053781  0.054797  0.052683  0.012976  0.011849 -0.012527 -0.005460 -0.007218 -0.007491  0.051173  0.041174  0.038289  0.036051 -0.000240 -0.007075 -0.004940  0.001446 -0.007209  0.049737  0.056281  0.057175  0.016131  0.011045  0.029516  0.022684  0.004389 -0.007227 -0.008300 -0.009048 -0.010124 -0.010353 -0.011396 -0.004420  0.004810  0.004899  0.056715  0.098633  0.095608  0.078724  0.077847  0.071495  0.067395  0.075284  0.084637  0.083874 -0.000485  0.004975  0.019103  0.013670  0.010705  0.057920  0.045554  0.038094  0.056333 -0.005590 -0.006268  0.007779 -0.001540  0.054534  0.004749  0.003993 -0.001449 -0.002415 -0.008397 -0.002299  0.001731 -0.000238 -0.002070  0.005609  0.007446 -0.013111 -0.007141 -0.010583 -0.002894  0.000000  0.000613 -0.004248 -0.001472 -0.008188  0.053435  0.058204 -0.011810 -0.012133  0.006649 -0.006636  0.043419  0.039499  0.044593  0.002836  0.098471 -0.002828  0.100178 -0.015727  0.056174  0.015987  0.021099  0.036071 -0.000833  0.020134  0.021581  0.016275 -0.009018 -0.000504  0.001501  0.000614 -0.013538 -0.009235 -0.000529  0.046486  0.063287  0.041352  0.001360  0.050597  0.002216  0.053353  0.000764 -0.001617  0.002429  0.009716  0.009722  0.043885  0.043957  0.041071  0.003927 -0.025138  0.009818  0.025389 -0.012613  0.012425  0.098827  0.052251  0.051338  0.000905  0.000705 -0.008032 -0.007515 -0.005857 -0.008536 -0.015624  0.039742  0.033940  0.031885  0.005363 -0.006922  0.004872  0.004806  0.075894  0.077540 -0.016941 -0.024192  0.001355 -0.027372 -0.003029 -0.003952 -0.009508 -0.001446  0.010077  0.054637 -0.006752 -0.004802  0.005893  0.054696  0.046410  0.053320  0.060938  0.058980  0.015884  0.014809  0.063692  0.004337  0.004581  0.002994  0.003733  0.053433  0.020468  0.039454  0.013113  0.003876  0.102046 -0.030306
-0.007310 -0.000522  0.027365  0.008218  0.013351  0.007347  0.011318  0.008891  0.004563  0.003021 -0.005017 -0.009563  0.006101 -0.003270 -0.002747  0.001813 -0.022899 -0.013676 -0.021716 -0.015374 -0.020600 -0.012472 -0.005428 -0.001390  0.003557  0.005471 -0.000140  0.055570  0.054905  0.005542 -0.002373  0.003151  0.005792  0.006385  0.005718  0.004363  0.005705  0.001967 -0.012900 -0.014275  0.006550  0.025435  0.025165  0.022505  0.005364  0.006536 -0.008001 -0.001772 -0.003752 -0.004234  0.030255  0.020382  0.020993  0.019226  0.002090 -0.003044 -0.000797  0.004068 -0.004055  0.029324  0.033016  0.031848  0.007693  0.002648  0.013954  0.008351  0.005748 -0.003147 -0.004738 -0.005823 -0.008112 -0.008296 -0.009869 -0.002001  0.007212  0.007310  0.029121  0.054535  0.052645  0.038943  0.039904  0.037210  0.034994  0.039269  0.044162  0.044839  0.001880  0.007361  0.005542  0.001386 -0.000798  0.029090  0.017053  0.009391  0.027255 -0.005076 -0.004587  0.004066 -0.002708  0.025209  0.007168  0.006147  0.001339 -0.000086 -0.006548  0.000186  0.005058  0.002165  0.000284 -0.003239  0.001603 -0.012125 -0.007552 -0.009536 -0.002668  0.000000 -0.000213 -0.000999  0.001256 -0.006643  0.031739  0.032245 -0.011152 -0.011860  0.007257 -0.007045  0.015248  0.021931  0.025506  0.005252  0.054303 -0.014509  0.055552 -0.015944  0.028039  0.004016  0.015354  0.007372  0.001637  0.011560  0.014922  0.012204 -0.009411  0.001947  0.003911  0.003027 -0.013686 -0.006515  0.001400  0.025678  0.030364  0.022803 -0.004544  0.019887  0.004650  0.023973  0.003175 -0.001973  0.002108  0.009591  0.009748  0.023508  0.024263  0.021858  0.006381 -0.020663  0.001486  0.013545 -0.010302  0.004135  0.054260  0.030618  0.030661  0.003300  0.003183 -0.005855 -0.005165 -0.003468 -0.006830 -0.010498  0.011116  0.005243  0.003209  0.003539 -0.005125  0.003074  0.003059  0.035938  0.037662 -0.012706 -0.019601  0.001093 -0.023002 -0.003406 -0.003288 -0.009839 -0.001806  0.009856  0.031711 -0.015114 -0.013164  0.007584  0.030786  0.021303  0.030967  0.035557  0.033612  0.006159  0.005354  0.035415  0.006765  0.007008  0.005407  0.002587  0.031770  0.008440  0.021781  0.004226  0.006443  0.057418 -0.027803
 0.000256  0.006996 -0.034028  0.004225  0.000044 -0.010573  0.002387  0.007369 -0.025214 -0.026717 -0.041578 -0.046154  0.013363 -0.001629  0.003845  0.004665 -0.019015 -0.009677 -0.017817 -0.011360 -0.016683 -0.008379  0.001039 -0.031370 -0.030088 -0.026664 -0.028964 -0.081738 -0.081214  0.012210  0.003330  0.009195  0.012582  0.013830  0.011927  0.009919  0.011665  0.008426 -0.013180 -0.014539 -0.082324 -0.062353 -0.065469 -0.069102 -0.020693 -0.012708 -0.004127  0.001536 -0.002108 -0.002743 -0.035017 -0.045004 -0.032419 -0.032854  0.009609 -0.000548  0.001406  0.007401 -0.002505 -0.034006 -0.039335 -0.046848 -0.021613 -0.026411 -0.034172 -0.036069  0.005973 -0.002135 -0.003769 -0.004882 -0.007414 -0.007637 -0.008832  0.005166  0.014631  0.014802 -0.056647 -0.080679 -0.079710 -0.082421 -0.075715 -0.066589 -0.063152 -0.070153 -0.079717 -0.074426  0.009373  0.014924 -0.036630 -0.036904 -0.036986 -0.059843 -0.071133 -0.079313 -0.062161 -0.005151 -0.001842 -0.010408 -0.009542 -0.064723  0.014638  0.009976  0.005418  0.004935 -0.004244  0.004822  0.011912  0.008547  0.005574 -0.033242 -0.019674 -0.012044 -0.011998 -0.008988 -0.002708  0.000000 -0.003689  0.005638  0.005220 -0.004292 -0.035856 -0.048533 -0.012806 -0.014267  0.006023 -0.011441 -0.072580 -0.032234 -0.033736  0.012225 -0.081126 -0.051124 -0.081814 -0.019195 -0.059078 -0.033375 -0.002845 -0.081371  0.007202 -0.018643 -0.010669 -0.004573 -0.013646  0.007768  0.010466  0.009987 -0.016898 -0.005503  0.002042 -0.038883 -0.068637 -0.034461 -0.025946 -0.072791  0.011542 -0.066023  0.010312 -0.005969 -0.001356  0.008133  0.009600 -0.039609 -0.036673 -0.037484  0.013739 -0.016744 -0.027350 -0.022288 -0.002604 -0.024706 -0.081718 -0.036616 -0.033674  0.009564  0.008345 -0.002356 -0.001293  0.000780 -0.004172 -0.006346 -0.077440 -0.083576 -0.085591 -0.005645 -0.001561 -0.006182 -0.006235 -0.085832 -0.083933 -0.008658 -0.015688 -0.003343 -0.019077 -0.007467 -0.003339 -0.013805 -0.005709  0.008571 -0.039535 -0.044283 -0.042288  0.011621 -0.043424 -0.056381 -0.038462 -0.043189 -0.045149 -0.026628 -0.027438 -0.051851  0.014165  0.014451  0.012424 -0.004262 -0.035906 -0.028402 -0.032417 -0.025515  0.013970 -0.080095 -0.019829
 0.003895  0.010639 -0.065576  0.001892 -0.007101 -0.019978 -0.002614  0.006292 -0.040093 -0.041488 -0.060529 -0.065118  0.016727 -0.000838  0.006538  0.006159 -0.016970 -0.007582 -0.015761 -0.009061 -0.014541 -0.005916  0.003677 -0.046462 -0.047028 -0.042566 -0.043366 -0.151279 -0.150167  0.015235  0.005842  0.011831  0.015664  0.017234  0.014595  0.012380  0.014313  0.011209 -0.013541 -0.014909 -0.129138 -0.107649 -0.112284 -0.116470 -0.033857 -0.022721 -0.001383  0.003573 -0.001324 -0.002059 -0.068502 -0.078548 -0.059863 -0.059658  0.013195  0.000749  0.002546  0.009005 -0.001806 -0.066572 -0.076346 -0.087092 -0.036004 -0.040859 -0.058984 -0.059011  0.005992 -0.001682 -0.003360 -0.004500 -0.007226 -0.007463 -0.008509  0.008567  0.018077  0.018310 -0.100757 -0.149181 -0.146484 -0.142925 -0.133219 -0.119045 -0.113331 -0.124873 -0.141552 -0.133515  0.012918  0.018474 -0.058488 -0.056884 -0.055708 -0.105890 -0.116843 -0.125655 -0.108420 -0.005154 -0.000436 -0.017991 -0.013230 -0.111189  0.018121  0.011723  0.007225  0.007286 -0.003326  0.006778  0.014411  0.011553  0.008053 -0.048365 -0.030739 -0.012181 -0.014528 -0.008821 -0.002696  0.000000 -0.005448  0.008371  0.006993 -0.002951 -0.070502 -0.089845 -0.013881 -0.015767  0.005296 -0.013927 -0.117889 -0.060040 -0.064186  0.015500 -0.149734 -0.070097 -0.151384 -0.021184 -0.103864 -0.052867 -0.012471 -0.127378  0.009816 -0.032460 -0.022276 -0.012479 -0.016069  0.010505  0.013557  0.013269 -0.018852 -0.005107  0.002175 -0.071825 -0.119320 -0.063731 -0.037123 -0.120709  0.014778 -0.112532  0.013689 -0.008261 -0.003394  0.007061  0.009167 -0.071837 -0.067846 -0.067825  0.017191 -0.014423 -0.041660 -0.042111  0.001745 -0.038867 -0.150846 -0.070894 -0.066715  0.012589  0.010625 -0.000501  0.000737  0.002925 -0.002722 -0.003705 -0.123362 -0.129403 -0.130964 -0.010343  0.000018 -0.010977 -0.011120 -0.146544 -0.144557 -0.006496 -0.013353 -0.005947 -0.016835 -0.009793 -0.003443 -0.016119 -0.007958  0.007537 -0.075945 -0.059217 -0.057156  0.013359 -0.081263 -0.095953 -0.073891 -0.083498 -0.085418 -0.043492 -0.045167 -0.096325  0.017627  0.017920  0.015861 -0.007950 -0.070586 -0.048300 -0.060276 -0.040440  0.017415 -0.149737 -0.015952
 0.005244  0.011993 -0.075312  0.001596 -0.008983 -0.022383 -0.003928  0.006411 -0.043460 -0.044628 -0.066171 -0.070766  0.018189  0.000812  0.008604  0.007812 -0.014391 -0.004994 -0.013180 -0.006261 -0.011910 -0.003149  0.005556 -0.049910 -0.051852 -0.046901 -0.046552 -0.173728 -0.172893  0.016916  0.008543  0.013995  0.017345  0.018745  0.016785  0.014478  0.016494  0.013159 -0.012652 -0.014095 -0.144071 -0.122219 -0.127726 -0.132331 -0.036659 -0.024531  0.001224  0.005645  0.000320 -0.000486 -0.078771 -0.088656 -0.068425 -0.067971  0.014561  0.002763  0.004396  0.010502 -0.000234 -0.076645 -0.087909 -0.099747 -0.038574 -0.043770 -0.066690 -0.066079  0.006811 -0.000109 -0.001875 -0.003072 -0.006039 -0.006268 -0.007362  0.010031  0.019418  0.019655 -0.114713 -0.172022 -0.168816 -0.163263 -0.152820 -0.136974 -0.130260 -0.143611 -0.162384 -0.153602  0.014293  0.019826 -0.065147 -0.062902 -0.061213 -0.120881 -0.131395 -0.140395 -0.123541 -0.004186  0.001068 -0.019193 -0.013471 -0.126436  0.019482  0.012977  0.008941  0.008984 -0.001748  0.009429  0.016617  0.013099  0.009728 -0.051815 -0.033492 -0.011013 -0.014588 -0.007705 -0.002216  0.000000 -0.005667  0.010507  0.008604 -0.001420 -0.081213 -0.102882 -0.013307 -0.015493  0.005725 -0.013868 -0.132466 -0.068746 -0.073590  0.016954 -0.172612 -0.075748 -0.173844 -0.021266 -0.118072 -0.058793 -0.015190 -0.141961  0.011458 -0.035922 -0.023948 -0.013526 -0.016050  0.012118  0.015085  0.014738 -0.018871 -0.003734  0.003273 -0.082134 -0.136682 -0.072923 -0.039990 -0.136963  0.016260 -0.127832  0.015145 -0.008145 -0.003231  0.007180  0.009283 -0.081942 -0.077593 -0.077350  0.018614 -0.011595 -0.044778 -0.048177  0.002954 -0.041878 -0.174056 -0.081592 -0.076892  0.014108  0.012899  0.001260  0.002543  0.004702 -0.001128 -0.000938 -0.137944 -0.143893 -0.145144 -0.010844  0.001941 -0.011833 -0.012383 -0.166924 -0.164897 -0.003821 -0.010510 -0.006490 -0.014043 -0.009696  0.000720 -0.016187 -0.007843  0.007541 -0.087320 -0.062696 -0.060599  0.014314 -0.093232 -0.108657 -0.084934 -0.096031 -0.098019 -0.048988 -0.051796 -0.110611  0.019014  0.019289  0.017269 -0.008166 -0.081324 -0.054353 -0.069096 -0.043785  0.018917 -0.171964 -0.014456
