NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-35.938527  28.397920   8.309947  58.594915   5.179457   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-34.048114  41.965401   7.589734  55.847419   4.914156   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-31.625466  52.133107   6.368174  51.503566   4.311675   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-31.187919  46.153909   6.831892  50.143444   4.333093   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.567453  43.400422   6.965729  52.757382   4.647655   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-38.322649  46.440271   8.966142  56.175224   5.392027   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-44.897797  54.434388  11.758209  57.912528   5.035653   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-46.967896  92.288902  13.574005  59.693205   4.255176   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-47.443515 141.549790  13.114542  59.577072   5.068204   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-47.853116 209.188396  13.377589  60.301770   4.999383   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-48.422401 225.591127  13.043306  59.927682   5.159987   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-48.060260 223.405250  12.750212  57.344633   4.979230   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-47.988753 223.914293  12.351808  60.111019   5.004333   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-47.257665 244.423218  12.201592  59.208117   4.909193   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-46.557610 258.946759  11.881958  57.103902   4.996857   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-47.002756 251.413757  11.451116  59.325264   5.304661   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-45.539596 250.330960  11.183322  57.296846   5.446800   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-43.957137 249.575312  10.960963  56.958203   5.223768   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-43.554637 242.354030  11.313202  58.153806   5.798450   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-42.804624 204.452716  12.395910  58.717488   6.770669   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-42.369961 213.792263  12.338215  60.440427   6.684995   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-42.270992 108.221405  11.686172  57.526769   4.403740   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-40.180151  65.500855  12.443503  60.028082   4.590074   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
