Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
  39.420742 2070.156845    2.608258    8.390030    0.773083    0.092554    2.983694    1.634808    0.019755    0.004760 4058.610590  337.584764 4401.610196   10.890534    3.321258    7.280842    0.000000    0.052414   66.407791 1209.664036   66.729904  367.954139    9.530726    0.134723  373.728314 1008.428135   29.948067    0.025981    0.004351    0.047275    0.186959    0.350096    0.048303   12.405487    0.716297    0.411419    0.502390    0.548098  143.401691  888.231464  190.090747  770.571445  112.260883  311.473975    1.023652   18.053558    0.009420    1.296992    1.946772    3.623082    5.569115    1.111821    1.711320    6.759827 1884.552412    3.777154    1.999705    2.126361    5.769425   16.957807    7.550000   16.806449    1.631763    2.634360   18.144819    1.316402    1.127108    2.571310    5.437116   14.913292   40.379772    9.508151  192.632759 1769.540372    3.920477  261.724855    0.112859    0.016424    0.036815    0.013679    0.080615    0.015249    0.068322    0.026465    0.014145    0.012622 1086.015750   46.087777  224.477507   60.601948 2114.490510    0.001789  360.749995  288.937935    8.543359  195.698538   42.353851    3.677438   81.670138  182.702144 3895.416646    1.376134    0.795657    9.480770   79.964091    7.219751    1.365511 1142.376362    1.356709    0.158004    0.017821  138.829979   55.941019  185.979805   79.187190    8.395923   13.855710    1.067908    2.859101   17.148382   24.202970    4.640274   43.571169   69.407361    2.243829   78.558239  426.309847    0.660355    0.951683 1091.400077    0.008761    0.000000    0.000911   18.294417  423.775897 2077.010576    5.517502  132.810068    0.227351    3.490296    4.371354   27.172917  121.978877    9.012305  531.560242  327.097310   50.940260    4.716745   25.969048   13.103107   19.407597    6.624404    0.062162   64.315084  196.258653  162.660670  924.680436   14.561304   13.286778   12.625209    2.618563   32.927220    5.738526   24.225013    4.132214    0.000000   55.119981   77.974463 1206.131416  220.159024    0.058351    6.542390    2.802287    0.178087    1.842580   34.873312   25.895274    2.464836   22.917260 2743.727263   96.481615  102.226579  143.117211    6.423598   18.016279    5.019287   14.737657    0.091629    0.004487    0.090347  170.728991    9.497735    0.000000   10.685208   65.552651   24.744373    5.992384    1.425401   10.241506   44.521505   19.084499    7.084883    8.035003  129.720099   24.882050    2.047998   12.983143  386.429441  289.168912    5.650779  775.224006  307.042892    0.000290   25.021047   12.190284   51.347554   21.311308    0.019886    0.240192    0.014835    0.000000
  46.869600 2383.198427    2.593748    7.016057    0.761435    0.133447    2.938041    1.384103    0.046638    0.023411 4055.352582  337.414513 6012.710306   10.622988    2.523518    6.138779    0.000000    0.027796   91.733232 1546.609617   91.998154  559.955775    7.439683    0.370968  369.360943  983.658617   14.089103    0.025945    0.006082    0.021138    0.188666    0.314714    0.009263   57.414716    0.682216    0.403540    0.475675    0.419696  129.479534  799.826959  190.090747  489.167827   96.657567  261.257079    1.141380   17.766440    0.006936    1.078956    1.905262    3.578323    5.533346    1.106310    1.701977    6.717623 2098.066207    3.599858    1.939682    1.723103    5.724875   16.849376    7.493366   16.670167    0.000000    1.215064   20.479404    1.731651    0.936996    2.440853    5.157036   14.137564   36.699254    8.693037  186.901503 1885.868654 1494.402248  239.583949    0.412983    0.022957    0.051435    0.013643    0.112414    0.021235    0.051484    0.036872    0.019753    0.017621 1170.154132    0.015394   65.367532   59.625047 2074.490506    0.001778  360.749995  288.937935    7.280781  185.984009   42.525306    3.391157   74.955330  159.168983 4351.447394    1.035341    0.802502    9.216001   76.144325    7.458830    1.345126 1237.971518    1.276575    0.435409    0.043787  125.861093   51.219714  181.006666   74.568801    7.851829   12.784997    0.492488    2.867683   17.330868   24.042965    4.602805   39.471619   62.912577    1.894250   71.749918  264.260066    0.656329    0.946568 1176.337768    0.012243    0.000000    0.000910   16.760441  280.821586 2075.908564    5.430044  132.810068    0.198599    3.639668    4.302744   25.134382  111.311386    9.886274  570.938498  350.696421   46.467853    4.351868   23.866417   13.016825    3.343967    6.583388    0.152918   34.412443  213.886578  141.708974 1063.532621   13.343892   12.235606   11.648282    2.419719   32.714819    5.701966   24.073158   72.803917    0.000000   21.546750   66.529586 1413.622340   72.889967    0.081571    6.497820    2.785655    0.165702    1.784989   35.304464   26.411805    2.495837   23.300674 3398.568082   96.481615  102.226579  143.117211    5.932319   16.948402    4.651022   13.626311    0.127854    0.004471    0.048121  174.721184    8.736986    0.000000    9.742319   63.076582   22.700356    5.494299    1.401196   10.170255   44.521505   16.820439    4.785221    7.969609  128.546521   24.725949    2.035378   12.883619  383.965970  287.325473    5.606129  846.568503  499.823869    0.000000   23.071985   12.113617   51.185666   21.161051    0.046967    1.111650    0.014817    0.000000
  52.415307 2509.945064    2.490158    6.910351    0.832062    0.154727    2.896577    1.361632    0.115323    0.083889 4219.111978  350.589774 6162.815270    9.709476    1.324580    5.886889    0.000000    0.038339   87.889317  689.561359   70.517377  388.362550    3.347975    1.177952  394.724446  968.671897   18.010001    0.017268    0.002891    0.001390    0.117499    0.184249    4.539988 2798.325201    0.440734    0.275344    0.321923    0.188775  126.304380  777.190913  203.504125  454.279999   30.652797   45.652660    1.316823   17.213488    0.011723    1.110781    1.741495    3.231848    5.308670    1.063140    1.663200    6.555368 2178.210711    3.325989    1.776551    1.695904    5.081706   16.162615    7.181468   15.966668    0.011958    0.000000   27.952566    3.769350    0.923027    2.313439    4.885511   13.379153   35.812444    8.504171  154.654984 1899.217358  973.624036   63.536010    0.643811    0.010912    0.024434    0.009067    0.053281    0.010049    0.037064    0.017459    0.009378    0.008363 1172.988844    0.182617    6.252617   62.397641 2147.964432    7.715185  386.205606  309.326270   16.330250  113.895994   26.118462    3.340192   73.801338  113.764663 4457.694367    1.043226    0.612368    3.969054   60.708529    5.430212    0.858619 1300.266190    0.327427    1.185598    0.080032  122.420301   50.461191  137.111510   40.961843    3.943619    6.395724    0.208069    2.191988   11.932321   23.063850    4.408885   38.567453   61.594540    1.866771   70.501982  251.325218    0.640873    0.908776 1205.844889    0.005817    0.000000    0.000606   16.497859  190.768882 2162.239671    5.256112  142.181549    0.000000    3.870187    4.151285   24.746827  109.406625   15.071520  573.880150  352.445333   45.674070    4.265755   23.301950   12.485288    2.609716    6.313226    0.279722    9.934559  217.338642  101.285272 1101.165816   13.119452   12.043721   11.473932    2.384117   31.378703    5.468838   23.084533   92.415268    0.000000   20.130174  113.916610 1494.759627   93.174727    0.038776    6.231449    2.673851    0.066945    0.769230   21.010537   14.938378    1.335482   15.032403 2491.626679  103.289649  109.439996  153.215995    5.854878   11.676029    4.599792   13.493787    0.060645    0.002968    0.066407  183.710611    8.623419    0.000000    9.555606   45.240324   22.396852    5.395132    1.308646    9.753058   48.593305   18.339593    5.028935    7.632502  122.982201   23.727405    1.953975   12.346116  360.335590  269.642630    5.371151  862.010271   81.609375    0.000000   22.730853   11.625599   49.378755   20.624490    0.116320   41.862193    0.009864    0.000000
  50.710770 2557.389042    2.515077    7.877207    0.922449    0.155251    3.355440    1.537552    0.099335    0.069025 4391.839093  364.474429 6562.229452    9.811843    1.322466    6.710127    0.000000    0.038227   87.889317  608.178460   70.517377  388.362550    3.346319    0.859448  429.827969 1106.116595   25.596787    0.025823    0.004321    0.002775    0.117185    0.183777    8.534121 2357.593130    0.438908    0.274368    0.320551    0.188453  124.079270  761.465349  196.758083  421.860932   34.018076   36.527780    1.263006   16.950388    0.014626    1.257155    1.757954    3.250224    5.339260    1.073488    1.632962    6.450031 2257.739383    3.464667    1.839769    1.965700    5.101467   16.278287    7.195273   15.964102    0.003606    0.090319   24.505932    2.738256    1.033730    2.338221    4.928312   13.469126   35.242387    8.390522  153.937930 2017.455017  653.061177  423.624344    0.634555    0.016313    0.036488    0.009016    0.079239    0.014901    0.036562    0.025916    0.013991    0.012468 1253.026826    0.009127   15.089671   67.971029 2312.837552    0.000000  373.403117  299.072285   11.410687  114.501336   25.090006    3.331198   73.329963  165.593152 4811.355865    1.277854    0.608915    3.937282   59.742006    5.238625    0.853538 1404.817218    0.270928    0.840985    0.060296  120.063389   50.030514  134.958345   41.273951    3.983883    6.437812    0.253738    2.175927   11.509903   23.171728    4.407519   37.973859   60.705932    2.108996   69.823053  233.389740    0.628266    0.919651 1300.802990    0.008690    0.000000    0.000906   16.315125  300.220170 2253.140064    5.181503  137.468314    0.000000    3.784341    4.103401   24.775329  108.305427   16.646810  613.980544  376.883334   45.129016    4.218614   22.958858   12.556281    3.966874    6.384686    0.281047    7.217451  233.804538  147.428446 1196.225393   13.012114   11.971314   11.428326    2.378491   31.601923    5.514072   23.330829   69.022807    0.000000   16.084992  136.774484 1518.942507  125.175649    0.057978    6.259485    2.693870    0.066547    0.763453   20.144551   14.812529    1.259919   14.822010 2581.012626   99.865658  105.812124  148.136974    5.841893   11.812237    4.594799   13.438366    0.090314    0.004418    0.066221  190.241264    8.574186    0.000000    9.446539   45.204845   22.206493    5.343525    1.518870    9.784502   52.574388   20.067724    6.621323    7.633985  122.723451   23.862293    1.962122   12.358123  397.940935  297.783075    5.370762  930.238634   61.819583    0.698803   22.675490   11.682625   54.000908   20.275351    0.100086   45.647135    0.014758    0.000000
  47.032866 2389.621276    2.551610    9.510011    1.434305    0.272162    4.664880    1.832572    0.099736    0.069264 4222.347322  350.759573 6051.900272   10.571671    1.762436    8.226406    0.000000    0.038782   89.727711  985.339923   75.375159  388.362550    4.540065    0.862207  398.606554 1065.208697    5.444128    0.025968    0.004349    0.007005    0.134456    0.218889    0.000000  672.173996    0.509601    0.316515    0.371197    0.256314  128.716408  794.319282  196.758083  486.027175  104.231525  177.243421    1.298667   17.354824    0.021714    1.540197    1.868347    3.462374    5.454137    1.088991    1.672513    6.589176 2106.398947    3.661491    2.000626    2.585201    5.457412   16.594422    7.397698   16.471144    0.007241    0.819192   20.338927    1.868724    1.286260    2.427747    5.130479   14.066168   36.470527    8.642124  166.861101 1899.217358 1664.990408  469.420835    0.438376    0.022980    0.036787    0.013665    0.080494    0.015218    0.051686    0.026416    0.014131    0.012608 1172.988844    0.001530   39.682648   63.909512 2198.797770    0.000892  373.403117  299.072285   11.410687  128.598409   28.757283    3.369772   74.564847  176.402856 4485.145719    1.832038    0.670114    5.016502   65.157165    5.950622    0.985475 1300.266190    0.456279    0.843441    0.129799  125.002388   51.004090  148.084791   47.740486    4.740714    7.206628    0.308207    2.399202   13.191856   23.711271    4.548377   39.243491   62.586876    2.592863   71.389361  268.888981    0.645265    0.930213 1213.666053    0.012257    0.000000    0.001274   16.696373  279.057493 2163.861160    5.300446  137.468314    0.008974    3.691946    4.186588   24.925516  110.780980   14.737797  573.880150  352.898755   46.273600    4.327256   23.712129   12.829562    6.703350    6.468358    0.453401   21.307386  216.436983  157.052381 1061.889629   13.274568   12.171040   11.582950    2.405413   32.219258    5.611966   23.660476   64.317845    0.000000    8.325815   91.454760 1419.100747   28.165194    0.058319    6.407939    2.743860    0.067610    0.971925   23.351509   16.856289    1.552100   16.804333 2617.866858   99.865658  105.812124  148.136974    5.898313   13.019941    4.626887   13.580679    0.091514    0.004481    0.067111  193.584959    8.698936    0.000000    9.691129   49.591537   22.619959    5.465346    2.073453   10.036350   48.280702   18.176708   10.276805    7.872571  127.076845   24.375695    2.008576   12.725054  370.411538  277.182559    5.539720  867.414889  216.972369    4.838705   22.924399   11.947618   55.760195   20.754529    0.085089    8.387257    0.020760    0.000000
  46.887267 2307.509965    2.649247    6.345244    0.787538    0.138738    2.596502    1.226190    0.028314    0.016237 4061.891262  337.755468 5699.730805   10.737139    1.821849    5.260672    0.000000    0.001944   95.447159 1759.522906   95.449553  648.649099    5.298503    0.289363  378.386845 1026.592448   10.885690    0.026112    0.006128    0.010094    0.140401    0.264710    0.000000  272.641248    0.656781    0.388873    0.459083    0.302565  148.303835  933.934003  190.090747  760.647326  110.978430  290.779953    1.131129   18.555162    0.003459    0.892878    1.933454    3.707374    5.685384    1.128374    1.452335    4.218766 2013.191315    3.526679    1.885541    1.368181    5.994482   17.290425    7.747507   17.295613    0.001274    0.027113    7.803323    0.000000    0.839610    2.559818    5.454302   15.103054   41.640679    9.696356  209.955454 1782.708689 2398.307819  516.012649    0.115631    0.023121    0.051921    0.013808    0.114475    0.015543    0.079209    0.037699    0.019982    0.017851 1097.008373    0.023294  369.988268   63.411701 3036.069951    0.004575  360.749995  288.937935    7.837801  202.068902   46.762765    3.569933   80.159546  182.702144 4110.977679    0.769860    0.806605    9.325081   83.453826    7.659014    1.318464 1165.917511    1.233779    0.242233    0.063780  145.761965   55.184293  198.727842   79.708749    8.348013   13.964482    0.267402    2.917971   19.068203   24.739279    4.775697   44.616975   70.526764    1.732570   78.141601  420.819442    0.669949    0.964741 1112.730525    0.012349    0.000000    0.000914   18.271301  468.990935 2079.818155    5.661332  132.810068    0.141378    3.262684    4.475407   26.087684  121.378897   12.196398  533.228961  328.379845   51.054291    4.776750   26.828359   13.381176   18.897044    6.728490    0.222064   63.765517  199.401577  162.660670  954.210096   14.421096   13.063338   12.315719    2.540544   33.577484    5.845354   24.622227  114.179476    0.000000    1.273912   48.102768 1372.311861   32.251751    0.082122    6.690650    2.854216    0.156766    1.802293   37.312002   27.430527    2.618292   25.442187 2747.915396   96.481615  102.226579  143.117211    6.201618   17.924244    4.813058   14.227041    0.092727    0.004544    0.003356  147.733218    9.261764    0.000000   10.732103   70.221206   24.362705    5.985164    1.120482   10.487911   35.978606   15.302962    3.141021    8.266580  133.931507   25.396807    2.092811   13.337879  390.384873  292.128801    5.812805  800.263902  556.520263    0.000000   24.251190   12.451350   51.860968   21.606284    0.028510    5.278812    0.014899    0.000000
  50.833970 2396.811213    2.692656    6.881451    0.576562    0.121401    2.080917    1.286636    0.000000    0.000000 4071.869266  338.270296 5977.699226   11.114835    1.045527    5.369044    0.000000    0.012325   70.474542 1194.961112   69.893687  598.786436    3.017044    0.000000  396.018087 1214.598163    0.416496    0.017473    0.002930    0.001503    0.084668    0.185896    1.151622 2617.564505    0.564200    0.334427    0.394838    0.173791  183.305573 1178.731775  190.090747  846.656359  116.458000  322.762854    0.992514   19.552103    0.007645    0.938792    2.012020    3.940499    5.788453    1.144577    0.404041    0.963552 2064.725554    3.637681    1.914186    1.355468    6.366246   17.608034    7.908032   17.679926    0.543921    0.027113    0.143408  443.422482    0.853974    2.636455    5.669515   15.875188   51.026620   11.674668  239.486240 1787.158257 2521.532274  274.944344    0.014463    0.011056    0.024860    0.009270    0.055093    0.010511    0.080565    0.018186    0.014369    0.012848 1098.479826    0.124692  472.098389   69.924372 3871.672925    0.008684  360.749995  288.937935    8.543359  232.844759   47.922614    4.038044   92.082284  226.450549 4163.871747    0.720604    0.760581    8.589143   94.517426    7.425119    1.213423 1185.030626    1.095713    0.000000    0.067116  182.607717   63.850858  224.890402   92.430260    9.572529   16.458059    0.336640    2.789294   20.220681   25.196512    4.881114   54.384918   85.163512    1.815943   91.490241  468.402956    0.199182    0.964232 1120.196182    0.005910    0.000000    0.000611   21.436547  444.855733 2086.259071    5.957812  132.810068    0.093627    2.636372    4.709742   29.112058  142.258312   12.696983  533.806595  328.820312   60.364043    5.521248   32.635714   13.630443   20.020261    4.039144    0.232911   70.315145  200.251712  201.610103  965.257342   16.758007   14.996138   13.994038    2.866019   34.199925    5.953874   22.255953  131.298377    0.000000    0.636956   22.291662 1428.747109    2.154743    0.039259    6.818341    2.902657    0.150323    1.654472   38.189239   27.364023    2.601962   27.170738 2171.434645   96.481615  102.226579  143.117211    6.959134   20.512377    5.341857   15.919981    0.093554    0.003059    0.021237  103.154839   10.535842    0.000000   12.725570   80.310763   28.077788    7.020175    0.868931   10.689992    4.631305    0.955359    2.784505    8.451631  137.251193   25.844491    2.128292   13.618702  405.824938  303.682751    5.938167  805.539839  162.919099    0.000000   27.384092   12.669379   52.610275    6.447845    0.000000   50.680637    0.009964    0.000000
  64.448620 3727.669098    2.719310    6.837858    0.451104    0.064051    1.758769    1.283735   68.326453   12.115297 4075.240596  338.442811 6911.337345   10.970815    0.016365    5.367894    0.000000    0.059375   62.508167 1004.707516   48.307869  257.969208    0.000000    0.395432  403.976409 1231.392863   13.489136    0.017500    0.001761 2508.499984    0.031388    0.059230  466.473311  863.548747    0.280324    0.190396    0.208725    0.000000  194.532849 1261.788666  190.090747  870.521502  132.047596  326.853028    0.921378   20.195041    0.013491    1.015193    1.990989    3.935659    5.842060    1.153867    0.256564    0.554331 3674.743110    3.667516    1.897651    1.357037    6.395161   17.786591    7.982869   17.850154   50.833421    2.533928    6.081536  455.194050    0.851931    2.577890    5.556309   15.614052   54.080279   12.300742  235.848232 2009.534542 1074.741434  927.081275    0.002082    0.011075    0.014950    0.009297    0.033203    0.006345    0.071597    0.010971    0.005764    0.008593 2223.477376    0.535879  488.331115   76.576711 3874.321346    0.008746  360.749995  288.937935    8.543359  231.130969   39.706114    4.168733   95.313010  243.711621 3527.195909    0.721885    0.596639    2.873938   87.830878    5.776371    0.659743 1277.016974    0.000000    3.031649    0.019937  195.118463   66.111944  219.973417   93.886198    9.901171   17.178460    0.015812    2.139873   18.025944   25.423580    4.927156   57.455268   89.575457    1.806727   95.253962  481.606074    0.134218    0.717015 1215.604323    0.003554    0.000000    0.000367   22.296510  446.093160 2088.078743    6.160890  132.810068  124.800289    2.374383    4.894836   30.014112  148.064358   17.359685  562.698971  349.671228   62.961092    5.573515   34.569661   13.761849   21.551920    2.870634    0.069078   71.154928  233.584136  216.977725  990.819225   17.417547   15.537158   14.459806    2.957083   34.551060    5.434027   16.623978  131.539615    0.000000   20.629207   27.781568 2240.273077   69.786035    0.023594    6.882577    2.929242    0.036864    0.552497   29.564530   19.247132    1.570757   23.199513 2480.883915   96.481615  102.226579  143.117211    7.154332   17.480336    5.466689   16.281015    0.062602    0.003071    0.102255  131.865532   10.851930    0.000000   13.313080   79.460146   29.004735    7.324007    0.841582   10.785462   22.599425    3.825945    2.785105    8.535733  138.727190   26.072582    2.144229   13.744593  411.133545  307.655233    5.992422  810.944457   48.730504    0.355080   28.250214   12.774849   53.012680    4.363942    0.328096    7.077610    0.009977    0.000000
  64.448620 3727.669098    2.705566    6.317265    0.446402    0.063291    1.572372    1.231534   13.886807    0.927084 4075.240596  338.442811 6911.337345   10.704331    0.000000    5.033029    0.000000    0.006438   68.357603 1194.961112   67.937894  495.606203    0.000000    0.030259  403.976409 1231.392863   12.974878    0.017484    0.002933 2716.086951    0.011446    0.051475  466.473311 1221.103344    0.270838    0.184038    0.214387    1.147997  196.007190 1275.276561  190.090747  870.521502  132.047596  326.853028    0.908859   20.033212    0.005634    0.919924    1.981315    3.864498    5.812910    1.148988    0.255034    0.550218 3674.743110    3.457384    1.829479    1.268334    6.316610   17.691829    7.940591   17.752204   42.648330    2.125920   38.747836  455.194050    0.794787    2.545811    5.497275   15.492452   54.603963   12.416930  236.130318 2012.912194 1029.363629 1235.613839    0.004146    0.011064    0.024883    0.009281    0.033117    0.006323    0.071299    0.010936    0.005754    0.008577 2223.477376    0.560345  488.331115   76.576711 3874.321346    0.008710  360.749995  288.937935    8.543359  235.724201   40.805339    4.152657   95.182626  243.711621 3548.353527    0.674076    0.591155    2.673558   89.556680    5.755940    0.678838 1277.016974    0.000000    0.231987    0.019650  197.745124   66.121008  224.627096   95.476075   10.044482   17.377354    0.000000    2.117270   18.461372   25.298199    4.900523   57.809480   89.966365    1.679852   95.359308  481.606074    0.128763    0.713190 1215.604323    0.005915    0.000000    0.000612   22.412394  442.643826 2088.078743    6.106112  132.810068  124.800289    2.420291    4.820017   29.714642  148.209944   17.520859  562.698971  350.357838   63.202309    5.495710   35.103696   13.690623   21.551920    2.852871    0.068078   71.154928  233.845971  216.977725 1009.382562   17.440343   15.561700   14.453099    2.952704   34.364676    5.309595   16.522239  164.720549    0.000000   19.842742   25.346332 2240.273077   67.125522    0.039286    6.847238    2.915045    0.038112    0.512568   29.538735   19.860438    1.539971   23.794991 2442.724967   96.481615  102.226579  143.117211    7.117071   17.899557    5.436418   16.252716    0.062466    0.003064    0.011094  108.957122   10.832277    0.000000   13.359021   79.416293   29.039205    7.357879    0.777372   10.731782    7.054433    2.030729    2.611577    8.487777  137.878578   25.947550    2.135117   13.672491  411.133545  307.655233    5.960933  810.944457   74.935854    0.398547   28.110837   12.716112   53.012680    4.178430    0.328096    0.838999    0.009969    0.000000
  64.448620 3727.669098    2.535905    6.448794    0.441988    0.062650    1.722907    1.257664   83.604406   12.115297 4076.934760  338.442811 7190.865041   11.219428    0.000000    5.128861    0.000000    0.006346   69.750326 1194.961112   69.222581  355.656355    0.000000    0.395432  406.046867 1235.864179   12.974878    0.017504    0.002937 3771.340698    0.017403    0.062639  485.752394  194.771958    0.361347    0.224987    0.264788    0.000000  194.319367 1267.035405  190.090747  870.521502  121.932028  326.853028    0.904171   19.912793    0.005508    0.906412    2.054468    3.997826    5.837678    1.152224    0.188254    0.384410 3674.743110    3.612450    1.886801    1.294158    6.697514   17.758691    7.985542   17.866429   42.648330    2.533928   98.271217  462.047360    0.809388    2.596838    5.622048   15.885234   54.392520   12.394862  250.246069 1673.934784  951.643398 1557.233809    0.004169    0.011078    0.014955    0.009301    0.033224    0.006350    0.071668    0.010980    0.005766    0.008597 2116.640805    0.753673  495.877564   93.235578 3874.997660    0.008755  360.749995  288.937935    8.543359  254.562480   56.205341    4.124404   94.405775  243.711621 3527.195909    0.689076    0.681329   11.514191   97.217838    7.234552    1.048518 1057.101113    1.962469    3.031649    0.019487  197.675259   65.527351  241.534367   99.696899   10.197298   17.476604    0.005501    2.432777   22.501618   25.415803    4.932324   57.305637   89.051334    1.708349   94.482257  481.606074    0.103067    0.594679 1025.296972    0.003555    0.000000    0.000612   22.303748  405.672884 2088.691305    6.062589  132.810068    0.397942    2.322720    4.804481   29.595613  146.761756    0.198140  495.094268  322.893444   62.691270    5.739044   35.347586   13.749415   21.551920    2.299704    0.067585   71.154928  194.171958  216.977725 1037.290048   17.307465   15.471922   14.361923    2.931719   33.359635    4.516230   13.648001  137.482335    0.000000   19.842742   25.939524 2240.273077   67.125522    0.039332    6.879538    2.925663    0.256686    2.195635   44.084978   32.776712    3.275772   30.345747 2323.395916   96.481615  102.226579  143.117211    7.076532   21.812233    5.414069   16.162752    0.062635    0.003072    0.011023  104.191670   10.750855    0.000000   13.247845   84.091597   28.813234    7.319754    0.823996   10.787402    6.580920    2.030729    2.669315    8.541246  138.863482   26.058754    2.145452   13.754779  412.972474  309.031322    5.999090  725.270735    9.101730    0.005579   27.925713   12.774153   53.220821    3.341692    0.328096    3.771126    0.009979    0.000000
