Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
   2.350796  134.600880   -5.985015  -34.208718  -92.380869  -11.864813  -51.275764  -32.182403  -79.301019   -2.724534  160.390153   12.857113  399.070139  -84.411649   -1.346461  -18.560599    0.000000   -3.565722    5.174167  119.853021    5.285163   78.811477   -1.788913   -0.150411   31.590300   98.837420    8.002379   -0.370128   -0.423003 -162.375537  -70.097332  -87.821965   -3.783559   32.603742  -94.057165  -37.919935  -53.773126  -58.610779  -10.730948   -0.173807    6.524646   52.204894   11.782229   32.904600   -6.463374  -72.145854   -6.674209  -43.272710   -3.280900  -66.057589 -200.384151  -53.604142   -7.203358  -98.305552  131.295047 -172.249333 -249.758671  -74.313567   -3.546426   -6.396981 -162.608699  -62.818354   11.554634    1.192235  -53.299236  -22.285492  -14.446565  -48.993003   -0.811002  -54.967283   -7.651597   -0.152359   -0.171565  111.938843   24.452383   73.239645  -90.864762   -0.616880   -6.479883   -1.154447   -2.545952   -9.471078  -22.832227   -8.396618   -0.149814  -13.284069   78.728626  172.684017   27.568150    4.658835  142.706814  -10.568773   12.382328    9.917462    4.049310   -5.489365    0.000000   -7.016645   -6.974487   18.903709  313.973434  -58.837098  -46.268120   -7.787699   -0.607296  -38.505180  -74.203320   87.748106   -0.016969   -1.153154   -7.511594   -0.028475   -2.645202   -0.127268   -1.088477   -0.022049   -0.086357 -104.595241 -167.842453  -12.270569 -167.401317 -113.257269   -0.254425   -0.266998  -49.820554   -0.314333   28.881761  -46.988962   -6.345805   84.937692    0.000000    0.000000    0.000000   -0.150880   21.327308   84.686701  -77.983346    4.558553   -1.430059  -49.652903  -29.333973  -31.402426   -0.019969    0.873969   38.822016   23.599112   -3.832270   -0.033282  -33.120302  -15.570252   10.623999  -17.571227   -1.548637    7.094500   16.056463   16.830070  112.328499   -7.601674   -7.641982  -67.222439  -30.792311   -1.801390  -14.124534    0.000000   13.346817    0.000000   13.170180   22.952707   80.587870   47.922576   -0.881257  -51.549432  -52.318991   -1.936693  -16.444260    0.000000   -0.590581   -8.565206   -1.497799  264.606749    3.311620    3.508810    4.912334   -8.158597   -3.678760   -0.107243   -1.307688   -0.911220   -2.947805   -4.616724    9.171971  -26.467743    0.000000   -0.208569  -28.259938   -2.857469   -0.667495  -35.728452   -4.439505    3.836267    1.669976 -101.619975  -58.665433   -9.587795  -40.838327  -57.265774  -30.731097   33.534050   25.093856  -34.313406   61.090483   39.152636   -0.698803  -43.822209  -25.943596    4.465726  -13.248259   -1.873602    0.631266   -6.168800    0.000000
   2.407949  137.764148   -5.788895  -32.313284  -95.606594  -14.503112  -48.009161  -30.399243  -73.527290   -4.248242  165.464285   13.263055  465.223748  -79.734574   -1.121078  -17.532194    0.000000   -3.056333    5.219698  108.151056    5.313003   67.398293   -1.489468   -0.153030   32.681383  101.851906    7.130251   -0.334912   -0.480352 -113.277621  -64.786466  -79.037722   -2.195185   38.608104  -88.579147  -35.711426  -50.641306  -48.799960  -10.393497   -0.168342    6.618975   44.668095   11.249806   30.857920   -6.051615  -67.549689   -6.674209  -40.875058   -3.099112  -62.397474 -193.817838  -51.847608   -6.744457  -92.042843  134.031226 -162.705353 -235.920059  -70.196005   -3.546426   -6.187361 -157.280235  -60.759883   -2.285335    1.049709  -49.903725  -21.760012  -13.646111  -46.278402   -0.795505  -51.921659   -7.410981   -0.147568   -0.171565  113.607702  139.174778   70.709660  -91.337819   -0.700513   -7.358389   -1.044606   -2.891117  -11.329478  -18.931404   -9.534983   -0.170125  -15.085048   79.994705  -85.549879   15.672232    4.815728  147.391055   -6.026269   12.561344   10.060842    4.224090   -5.372570    0.000000   -6.795996   -6.755164   18.241640  322.797486  -55.577055  -43.573402   -7.234250   -0.597732  -36.262586  -69.881618   89.275986   -0.015311   -1.173228   -9.851379   -0.027579   -2.562020   -0.126431   -1.059451   -0.021351   -0.083624  -92.439910 -158.067079  -11.555914 -161.915806 -109.545985   -0.246424   -0.258602  -47.060100   -0.304448   24.492581  -43.995456   -6.137862   86.248168    0.000000    0.000000    0.000000   -0.146135   19.216921   87.375745  -74.604220    4.624457   -1.222646  -46.489687  -27.465206  -35.107463   -0.019341    0.893861   39.415791   23.952191   -3.711758   -0.032236  -39.995830  -15.060036    6.260607  -16.995443   -2.031022    5.048701   16.362850   16.240628  118.757966   -7.362627  -11.300912  -70.484214  -30.845339   -1.742361  -13.661693    0.000000   21.025581    0.000000   10.904437   24.553454   82.684832   36.888351   -1.000733  -49.860228  -57.020867   -1.730523  -15.275617    0.000000   -0.556185   -8.066356   -1.410565  236.363529    3.359498    3.559538    4.983353   -7.902038   -3.570561   -0.103870   -5.005915   -1.034758   -2.667333   -3.957192    8.619496  -36.027566    0.000000   -0.202010  -28.076432   -2.767611   -0.646504  -33.452315   -4.294028    3.981594    1.662947  -95.989422  -56.743048   -9.273616  -39.500111  -58.771906  -29.724081   34.738949   25.995493  -33.189003   62.309019   51.835956    0.000000  -59.335233  -25.093460    4.630974  -12.404258   -1.737190    0.747521   -5.581863    0.000000
   2.427139  138.419169   -5.524708  -32.313284  -94.460999  -15.004448  -44.708618  -30.399243 -126.082681   -6.591445  170.585589   13.672767  470.399781  -79.734574   -0.904431  -17.532194    0.000000   -3.565722    5.108281   58.429582    4.619026   50.982434   -1.144063   -0.274733   33.687759  100.046819    7.490506   -0.372869   -0.426136  -43.187189  -55.145757  -67.150322    4.800269  237.900037  -76.855774  -32.043607  -44.689527  -37.483344  -10.393497   -0.168342    6.746043   41.600392    5.478404   12.269782   -5.635577  -62.905770  -21.292097  -40.875058   -3.099112  -62.397474 -184.972596  -49.481445   -6.280788  -85.715064  134.674957 -162.705353 -235.920059  -70.196005   -3.374030   -5.904989 -150.102456  -57.986991  -11.234654    0.071516  -46.472934  -20.264050  -13.646111  -46.278402   -0.780008  -51.921659   -7.410981   -0.147568   -0.158197  113.697896  101.976335   52.165128  -87.169446   -0.621449   -6.527877   -1.162997   -2.564809  -11.045811  -17.710993   -8.458808   -0.150923  -13.382459   80.037983 -162.030034    6.815118    4.955788  151.711627    4.706226   12.802490   10.253985    4.659620   -4.243552    0.000000   -6.795996   -6.755164   13.434800  325.540600  -55.577055  -43.573402   -5.509980   -0.540350  -36.262586  -63.739989   90.607250   -0.009771   -1.953989   -8.932337   -0.027579   -2.562020   -0.111360   -0.790960   -0.015211   -0.059576  -64.006090 -158.067079  -11.555914 -154.526474 -104.546647   -0.246424   -0.258602  -47.060100   -0.304448   23.014942  -40.970848   -5.857749   86.959183    0.000000    0.000000    0.000000   -0.146135   15.949677   90.083781  -67.655281    4.713235   -0.000000  -43.293605  -25.577023  -36.313316   -0.019341    1.211228   39.469276   23.978101   -3.711758   -0.032236  -49.514685  -14.372743    1.675759  -16.219824   -1.841546    2.717108   16.465896   11.961072  121.446051   -7.362627  -26.183164  -71.660287  -31.073752   -1.662845  -13.038215    0.000000   22.808431    0.000000    9.972806   29.560761   83.122230   38.752129   -0.887784  -47.584763  -56.811885   -1.279756  -11.634701    0.000000   -0.556185   -6.998781   -1.410565  186.196137    3.423991    3.627872    5.079020  -11.329833   -2.993501   -0.103870   -7.138405   -0.917969   -2.969638   -4.616724    8.769203  -43.565589    0.000000   -0.202010  -24.039298   -2.767611   -0.646504  -31.152529   -4.098062    4.128431    1.721602  -95.989422  -54.153472   -8.850397  -37.697449  -61.053873  -28.367567   34.217506   25.605293  -31.674360   62.695063   21.042700    0.698803  -76.966801  -23.948273    4.604749  -11.551488   -2.978887    3.784943   -6.214489    0.000000
   2.447486  139.941767   -5.594155  -32.313284  -93.569747  -15.914383  -44.286786  -30.399243 -124.059588   -5.482006  171.247965   13.725700  475.496798  -79.734574   -0.809036  -17.532194    0.000000   -3.565722    5.108281   53.343151    4.619026   50.982434   -1.017321   -0.250460   33.873540  102.413414    7.611860   -0.385340   -0.440388  -56.657399  -49.837815  -61.762479    5.175712  199.835827  -72.690586  -30.364377  -42.308260  -33.330832  -10.393497   -0.168342    6.712640   41.642247    6.111281   12.239697   -5.582405  -62.312246  -37.997357  -40.875058   -3.099112  -62.397474 -187.297762  -50.103443   -6.221528  -84.906330  136.195201 -162.705353 -235.920059  -70.196005   -3.398658   -5.979217 -151.989292  -58.715906   -8.344975    0.095216  -46.034455  -20.072856  -13.646111  -46.278402   -0.785173  -51.921659   -7.410981   -0.147568   -0.159311  115.366756   77.244090   86.294862  -88.265194   -0.642233   -6.746195   -0.935538   -2.650586  -11.415227  -16.534382   -8.741704   -0.155971  -13.830022   81.217505  -61.942135    7.618665    4.987154  152.509221    0.028641   12.739099   10.203213    4.507997   -4.282483    0.000000   -6.795996   -6.755164   17.931084  331.146318  -55.577055  -40.878683   -5.089168   -0.540350  -34.019991  -60.454001   92.226048   -0.008114   -1.767896   -8.619138   -0.027579   -2.562020   -0.111360   -0.798217   -0.015350   -0.060122  -69.692854 -148.291706  -10.841259 -156.468921 -105.860833   -0.246424   -0.258602  -47.060100   -0.304448   23.038097  -40.584283   -5.931383   88.447413    0.000000    0.000000    0.000000   -0.146135   19.568768   90.434809  -67.959113    4.689898    0.207414  -42.885124  -25.335700  -37.066456   -0.019341    1.246289   40.063052   24.337658   -3.711758   -0.032236  -52.522443  -14.553413    4.393862  -16.423712   -1.793831    2.651906   16.720760   15.964137  124.221871   -7.362627  -28.607585  -71.695143  -31.077921   -1.683747  -13.202110   -0.000000   20.597286    0.000000    7.797523   29.295581   84.004483   38.171736   -0.917475  -48.182918  -53.085555   -1.137981  -10.746128    0.000000   -0.521789   -6.499932   -1.323331  191.162023    3.407038    3.609909    5.053872  -13.735889   -3.029567   -0.103870   -6.368429   -0.948669   -3.068955   -4.616724    8.873693  -43.288931    0.000000   -0.202010  -24.222804   -2.767611   -0.646504  -30.858600   -4.149576    4.143240    1.729831  -95.989422  -54.834199   -8.961650  -38.171318  -63.283611  -28.724156   34.487135   25.807059  -32.072517   63.772439   19.163668    1.397607  -80.401522  -24.249311    4.626686  -11.442498   -2.931089    3.869172   -5.354638    0.000000
   2.385002  136.436889   -5.669190  -32.313284  -94.167455  -22.143006  -44.569682  -30.399243 -111.838728   -4.858702  170.813216   13.690505  461.658037  -79.734574   -1.086753  -17.532194    0.000000   -3.565722    5.163989   76.915743    4.778633   50.982434   -1.386297   -0.233552   33.835346  105.078358    5.017301   -0.398813   -0.455787 -100.147072  -62.879517  -75.433194   -0.417732   86.061775  -84.571857  -35.154411  -49.100864  -45.419725  -10.393497   -0.168342    6.676550   43.617070   11.174130   23.126180   -5.618064  -62.710286  -41.415611  -40.875058   -3.099112  -62.397474 -189.810022  -50.775490   -6.261270  -85.448698  132.758465 -162.705353 -235.920059  -70.196005   -3.472542   -6.059417 -154.027954  -59.503474   -8.663827    0.898514  -46.328516  -20.201078  -13.646111  -46.278402   -0.795505  -51.921659   -7.410981   -0.147568   -0.162653  112.567798  148.989498   86.460714  -89.449112   -0.810280   -6.982081   -1.243918   -2.743266  -11.814368  -19.875853   -9.047364   -0.161424  -14.313598   79.224595  -39.887437   13.160482    4.986314  152.484135   -8.653142   12.670608   10.148356    4.384296   -4.477142    0.000000   -6.795996   -6.755164   18.453334  322.806204  -55.577055  -45.431656   -6.289541   -0.554695  -37.809059  -69.827340   89.679480   -0.011950   -1.638267  -11.266994   -0.027579   -2.562020   -0.114709   -0.849012   -0.016606   -0.062855  -75.379618 -164.808091  -12.048734 -158.567669 -107.280764   -0.246424   -0.258602  -47.060100   -0.304448   24.130646  -40.843528   -6.010942   86.233244    0.000000    0.000000    0.000000   -0.146135   18.923253   90.207416  -68.983816    4.664683   -0.557858  -43.159067  -25.497540  -37.058348   -0.019341    1.182342   39.067190   23.741098   -3.711758   -0.032236  -54.239700  -14.748621    5.421954  -16.644006   -2.322874    3.757382   16.264383   16.429100  115.513370   -7.362627  -28.362967  -71.555900  -31.053550   -1.706332  -13.379193   -0.000000   18.950604    0.000000    7.673060   27.436745   81.898104   25.957004   -0.949555  -48.829205  -52.141911   -1.421929  -13.280799    0.000000   -0.579904   -7.701437   -1.470721  193.209480    3.388720    3.590500    5.026700  -14.121901   -3.137766   -0.103870   -5.086382   -0.981840   -3.176263   -4.616724    8.925939  -41.084001    0.000000   -0.202010  -24.956829   -2.767611   -0.646504  -31.055720   -4.205235    4.126698    1.719058  -95.989422  -55.569700   -9.081854  -38.683317  -63.993106  -29.109439   34.596429   25.888844  -32.502712   62.169534   30.453168    4.922771  -80.817348  -24.574571    4.805211  -11.515590   -2.532366    1.335792   -7.684643    0.000000
   2.361560  134.899036   -5.905466  -32.313284  -95.604075  -15.438732  -49.216217  -30.399243  -72.721095   -3.948894  163.607798   13.113792  458.589235  -79.734574   -1.171731  -17.532194    0.000000   -1.018778    5.312547  119.204329    5.408875   74.493758   -1.556766   -0.158458   32.436456  102.023204    6.193744   -0.355844   -0.504274 -120.119082  -67.607808  -83.685306    3.083481   57.225596  -94.889820  -38.784906  -54.249160  -51.004866  -10.393497   -0.168342    6.562907   52.368190   11.843175   32.253830   -6.203766  -69.248037   -4.072979  -40.875058   -3.099112  -62.397474 -197.720751  -52.891664   -6.914027  -94.357003  131.277324 -162.705353 -235.920059  -70.196005   -3.472542   -6.311956 -160.447390  -61.983405   -5.457707    0.664570  -51.158414    1.458341  -13.646111  -46.278402   -0.795505  -51.921659   -7.410981   -0.147568   -0.169337  111.022005  203.734734   91.709760  -88.311939   -0.735400   -7.192760   -1.109894   -3.035099  -10.541447  -23.962170  -10.009840   -0.178597  -15.836306   78.176927 -110.460076   36.769595    4.803768  155.083181  -18.075131   12.454940    9.975619    4.106184   -5.333638    0.000000   -6.795996   -6.755164   19.093145  316.901625  -55.577055  -47.924013   -7.862518   -0.588168  -39.883244  -76.858988   87.468838   -0.017108   -1.159760  -11.258093   -0.027579   -2.562020   -0.124756   -1.052195   -0.021351   -0.083624  -69.692854 -173.849377  -12.709721 -165.176307 -111.751914   -0.246424   -0.258602  -47.060100   -0.304448   28.972103  -45.101599   -6.261460   84.665671    0.000000    0.000000    0.000000   -0.146135   22.065970   86.400905  -75.997676    4.585285   -1.355648  -47.658540  -28.155742  -35.222353   -0.019341    1.088097   38.495807   23.401578   -3.711758   -0.032236  -39.091200  -15.363300   10.882498  -17.337680   -2.321039    7.140262   16.002897   16.998726  111.813324   -7.362627  -13.303256  -70.940561  -30.940102   -1.777447  -13.936798   -0.000000   23.857046    0.000000    5.628770   21.362495   80.995748   26.026992   -1.050571  -50.864264  -49.879599   -1.934593  -16.602246    0.000000   -0.611718   -8.871746   -1.551404  200.434399    3.331040    3.529386    4.941140   -7.902038   -3.498429   -0.103870   -4.344838   -0.876053   -2.834041   -1.319064    8.100950  -33.926534    0.000000   -0.202010  -27.892926   -2.767611   -0.646504  -34.293380   -4.380497    3.653871    1.581127  -95.989422  -57.885684   -9.460359  -40.295525  -64.738227  -30.322635   34.441564   25.772957  -33.857331   61.163401   57.292498   -0.429412  -61.598480  -25.598768    4.586704  -12.716128   -1.718142    1.107988   -5.930729    0.000000
   2.340778  133.387721   -6.217221  -34.682577  -81.557549  -15.826801  -55.119846  -32.628193   16.220368    1.742552  154.450994   12.380686  459.363029  -85.580917   -1.133366  -18.817700    0.000000   -2.037555    5.269559  118.585743    5.364488   98.779154   -1.505794    0.056875   30.612683  100.688567    1.843361   -0.330478   -0.377689  -56.406070  -65.566330  -82.174719    3.455846  230.361699  -93.722028  -38.314101  -53.581526  -49.334850  -10.730948   -0.173807    6.412961   52.692525   11.609049   32.418550   -6.947926  -77.554542   -6.674209  -43.872123   -3.326347  -66.972618 -208.158617  -55.683865   -7.743385 -105.675401  129.750377 -174.635328 -253.218325  -75.342957   -3.398658   -6.645170 -168.917560  -65.255568    6.678062    0.332886  -21.897932   37.059066  -14.646679  -49.671653   -0.785173  -55.728688   -7.651597   -0.152359   -0.167109  109.437703  205.820477   64.738559  -39.857869   -0.550797   -5.785730   -1.030777   -2.273218   -9.790025  -25.402322   -7.497136   -0.166691  -13.418478   77.036627 -200.531555   37.035370    4.569429  153.885653  -30.365627   12.170375    9.747701    3.666503   -5.411502    0.000000   -7.016645   -6.974487   19.968259  313.378124  -59.652108  -50.578562   -8.009807   -0.583387  -42.092409  -79.117497   86.562972   -0.017705    0.436044  -15.641380   -0.028475   -2.645202   -0.123919   -1.081221   -0.022049   -0.086357  -19.273072 -183.479032  -13.413722 -173.896121 -117.651404   -0.254425   -0.266998  -50.510668   -0.314333   29.151537  -50.511668   -6.592009   83.552483    0.000000    0.000000    0.000000   -0.150880   21.191846   81.563258  -87.405203    4.480522   -1.425393  -53.375321  -31.533105  -32.649628   -0.019969    1.098841   37.932117   23.060239   -3.832270   -0.032864  -23.800444  -16.174343    9.673491  -18.252953   -3.224724    7.161847   15.777594   17.777845  108.195794   -7.601674   -7.641982  -66.064395  -30.902334   -1.871280  -14.672535    0.000000   23.502389    0.000000    2.819089   10.995093   80.109340    9.536628   -0.786853  -53.549437  -52.512790   -2.073295  -16.913258    0.000000   -0.645601   -9.363159   -1.637338  227.594733    3.254934    3.448748    4.828247   -8.158597   -3.534495   -0.107243   -1.114669   -1.013871   -2.632023   -2.638128    7.867945  -22.333761    0.000000   -0.208569  -27.892926   -2.857469   -0.667495  -38.406971   -4.611748    1.066506    0.344780 -103.027613  -60.941524   -9.959781  -42.422764  -73.014804  -31.923396   32.485543   24.309248  -35.644691   60.357530   25.331107    3.455209  -38.832646  -26.950151    4.298199  -14.241465    0.616691    4.460206   -5.507971    0.000000
   2.331563  134.856205   -6.397337  -34.682577  -82.371997  -15.959840  -59.307034  -32.628193   26.573413    3.662497  147.943691   11.860214  469.540403  -85.580917   -0.542252  -18.817700    0.000000   -4.075111    5.028154  105.464095    4.566296   65.860643   -0.536128    0.119541   29.219113   95.990774    3.794330   -0.362821   -0.321182  326.324672  -63.151618  -69.468468   36.401389   93.294482  -82.514507  -34.854251  -47.924663   21.951656  -10.730948   -0.173807    6.326330   52.260366   11.924258   31.824423   -7.475726  -83.445985   -8.581126  -43.872123   -3.326347  -66.972618 -214.189064  -57.297052   -8.331613 -113.703049  132.941497 -174.635328 -253.218325  -75.342957   -3.324775   -6.837683 -173.811176  -67.146051   14.529760    0.724275    3.577605   35.483744  -14.646679  -49.671653   -0.764511  -55.728688   -7.651597   -0.152359   -0.160425  108.502576  103.899722  109.240913  -17.423082   -0.604701   -4.920103   -1.131655   -1.933113   -8.325299  -24.736943   -6.375458   -0.113752  -12.339283   80.438932 -321.653507   35.460179    4.417910  147.369956  -33.099249   12.005969    9.616022    3.369570   -5.255775    0.000000   -7.016645   -6.974487   20.134548  285.037067  -59.652108  -54.106625   -6.635930   -0.545132  -45.028528  -70.275690   86.429208    0.006026    0.916478  -13.474597   -0.028475   -2.645202   -0.118895   -1.066708   -0.022049   -0.086357   -4.818268 -196.277451  -14.349385 -178.933969 -121.059817   -0.254425   -0.266998  -50.510668   -0.314333   28.912450  -54.348794   -6.782982   83.801619    0.000000    0.000000    0.000000   -0.150880   20.882703   78.117706  -93.474044    4.419996   10.711633  -57.429986  -33.928522  -30.794323   -0.019969    1.250300   37.564507   22.837635   -3.832270   -0.032236  -21.745055  -16.642921    9.061224  -18.781749   -2.778007    7.029255   16.251131   17.925893  104.224747   -7.601674   -7.641982  -63.830794  -30.832243   -1.925492  -15.097605    0.000000   21.155123    0.000000    5.802745    8.685678   81.046551   19.629964   -0.669129  -55.100788  -54.034109   -1.753663  -14.012223    0.000000   -0.690634   -8.590049   -1.751549  249.392712    3.210964    3.402160    4.763024   -8.158597   -3.173832   -0.107243   -0.752549   -0.893230   -2.889606   -5.276256    8.498582  -20.189134    0.000000   -0.208569  -26.975396   -2.857469   -0.667495  -41.324563   -4.745352    2.418142    0.556932 -103.027613  -62.707027  -10.248320  -43.651771  -74.620103  -32.848231   30.956224   23.164844  -36.677334   59.244132   13.004501    2.784265  -32.097008  -27.730909    4.089704  -15.323320    0.306282    1.064636   -6.047009    0.000000
   2.298448  132.940859   -6.387772  -34.682577  -82.145076  -15.893763  -56.441301  -32.628193   13.478601    0.899832  148.110896   11.873576  462.454918  -85.580917   -0.537894  -18.817700    0.000000   -1.528166    5.213850  118.585743    5.306964   89.399133    0.491487    0.029370   29.258178   96.122463    3.739518   -0.361103   -0.412689  321.377729  -60.804645  -74.033051   35.814653  116.585062  -86.507587  -36.464095  -50.958089   17.250760  -10.730948   -0.173807    6.330931   52.308411   11.938595   31.864662   -7.462188  -83.294868   -5.720751  -43.872123   -3.326347  -66.972618 -213.868820  -57.211384   -8.316524 -113.497138  131.053345 -174.635328 -253.218325  -75.342957   -3.275519   -6.827460 -173.551303  -67.045657   13.013795    0.648707   11.855821   35.532424  -14.646679  -49.671653   -0.759345  -55.728688   -7.651597   -0.152359   -0.159311  106.930348   97.080070  127.026149  -18.853370   -0.601838   -5.590980   -1.126297   -1.921299   -8.274420  -24.692758   -6.336495   -0.113057  -12.960159   79.296468 -344.519547   35.507640    4.423527  147.537669  -34.415213   12.014699    9.623014    3.385339   -5.255775    0.000000   -7.016645   -6.974487   20.157326  281.175874  -59.652108  -56.716681   -6.999126   -0.545132  -47.200664  -74.461614   85.126087    0.004420    0.225168  -13.394853   -0.028475   -2.645202   -0.118895   -1.066708   -0.022049   -0.086357   -1.606089 -205.745703  -15.041587 -178.666436 -120.878814   -0.254425   -0.266998  -50.510668   -0.314333   28.939031  -54.250371   -6.772840   82.532315    0.000000    0.000000    0.000000   -0.150880   20.854598   78.206317  -91.862453    4.423210   10.510736  -57.325983  -33.867079  -29.459234   -0.019969    1.234537   36.999747   22.502126   -3.832270   -0.031817  -19.164861  -16.618038    9.104583  -18.753667   -2.761566    7.038235   16.008951   17.946172  101.260255   -7.601674   -7.641982  -62.799718  -30.835947   -1.922613  -15.075032    0.000000   22.086884    0.000000    5.718921    8.171311   79.895457   19.346395   -0.859769  -55.018404  -53.953320   -1.953356  -14.779136    0.000000   -0.723950   -8.953674   -1.836042  246.848782    3.213299    3.404634    4.766487   -8.158597   -3.173832   -0.107243   -0.752549   -0.889001   -2.875928   -1.978596    8.016299  -16.753439    0.000000   -0.208569  -26.791890   -2.857469   -0.667495  -41.249725   -4.738257    1.123010    0.388054 -103.027613  -62.613270  -10.232997  -43.586505  -75.284770  -32.799118   30.998121   23.196196  -36.622496   58.325244   13.968890    2.129150  -27.522393  -27.689447    4.095289  -15.295570    0.318452    0.385528   -6.018384    0.000000
   2.291748  132.553330   -6.403277  -34.682577  -83.655996  -16.333726  -59.914753  -32.628193   27.478296    3.467918  147.003256   11.784608  464.124931  -85.580917   -0.565080  -18.817700    0.000000   -1.528166    5.250990  118.585743    5.345313   76.676420    0.455368    0.113190   29.030423   95.354689    3.533789   -0.363887   -0.415871  398.319364  -67.132384  -77.720546   36.283509   35.099335  -92.832443  -38.484735  -53.823498   14.919365  -10.730948   -0.173807    6.323473   52.230525   11.540703   31.799432   -7.552330  -84.301057   -5.720751  -43.872123   -3.326347  -66.972618 -214.387962  -57.350258   -8.416987 -114.868166  130.671319 -174.635328 -253.218325  -75.342957   -3.349403   -6.844033 -173.972579  -67.208403   12.207783    0.690131   18.830238   35.369551  -14.646679  -49.671653   -0.769677  -55.728688   -7.651597   -0.152359   -0.163767  104.541834   90.428030  150.562690  -18.177954   -0.606479   -4.938779   -1.134982   -1.940450   -8.356900  -24.764386   -6.399658   -0.114184  -13.060087   78.815697 -366.119080   35.309540    4.551885  146.426665  -32.365851   12.000546    9.611679    3.359777   -5.411502    0.000000   -7.016645   -6.974487   20.120401  279.288628  -59.652108  -57.244769   -9.776838   -0.564259  -47.640149  -83.594260   79.959502   -0.024119    0.867788  -13.925813   -0.028475   -2.645202   -0.122244   -1.081221   -0.022049   -0.086357   -3.212179 -207.661399  -15.181639 -179.100128 -121.172234   -0.254425   -0.266998  -50.510668   -0.314333   28.895941  -54.905707   -6.789281   77.752008    0.000000    0.000000    0.000000   -0.150880   20.316640   77.619321  -93.422958    4.418000   -2.404547  -58.018472  -34.276188  -29.434151   -0.019969    0.087149   35.654026   22.089628   -3.832270   -0.032445  -17.418506  -16.658376    9.034294  -18.799190   -2.871032    7.023678   14.941017   17.913298  102.518270   -7.601674   -7.641982  -63.021959  -30.851866   -1.927280  -15.111625    0.000000   19.544620    0.000000    5.404295    7.690785   79.662558   18.282057   -0.761583  -55.151955  -54.084286   -2.840901  -20.644466    0.000000   -0.730691  -10.597215   -1.853137  238.449109    3.209514    3.400623    4.760872   -8.158597   -3.462362   -0.107243   -0.752549   -0.895856   -2.898102   -1.978596    7.895968  -17.990961    0.000000   -0.208569  -27.525914   -2.857469   -0.667495  -41.748016   -4.749759    1.048148    0.374104 -103.027613  -62.765257  -10.257837  -43.692306  -74.341473  -32.878734   30.753851   23.013406  -36.711392   55.711704    6.499932   -5.690191  -28.241606  -27.756660    4.062726  -15.480338    0.237420    0.679585   -6.064788    0.000000
