"NO1","NO2","NO3","NO4","NO5","DE-LU","DK1","FI","GB","NL","SE1","SE2","SE3"
1457.4612164798,743,718,729,622,22734.099932727,0,3349,0,0,643,967,4887
1458.564869521,743,718,729,622,22740.8039325588,0,3349,0,0,643,967,4887
1459.6685225622,743,718,729,622,22747.5079323906,0,3349,0,0,643,967,4887
1460.7721756034,743,718,729,622,22754.2119322224,0,3349,0,0,643,967,4887
1461.8758286446,743,718,729,622,22760.9159320542,0,3349,0,0,643,967,4887
1462.9794816858,743,718,729,622,22767.6199318861,0,3349,0,0,643,967,4887
1464.083134727,743,718,729,622,22774.3239317179,0,3349,0,0,643,967,4887
1465.1867877682,743,718,729,622,22781.0279315497,0,3349,0,0,643,967,4887
1466.2904408094,743,718,729,622,22787.7319313815,0,3349,0,0,643,967,4887
1467.3940938506,743,718,729,622,22794.4359312133,0,3349,0,0,643,967,4887
1468.4977468918,743,718,729,622,22801.1399310451,0,3349,0,0,643,967,4887
1469.601399933,743,718,729,622,22807.843930877,0,3349,0,0,643,967,4887
1470.7050529742,743,718,729,622,22814.5479307088,0,3349,0,0,643,967,4887
1471.8087060154,743,718,729,622,22821.2519305406,0,3349,0,0,643,967,4887
1472.9123590566,743,718,729,622,22827.9559303724,0,3349,0,0,643,967,4887
1474.0160120978,743,718,729,622,22834.6599302042,0,3349,0,0,643,967,4887
1475.119665139,743,718,729,622,22841.3639300361,0,3349,0,0,643,967,4887
1476.22331818019,743,718,729,622,22848.0679298679,0,3349,0,0,643,967,4887
1477.32697122139,743,718,729,622,22854.7719296997,0,3349,0,0,643,967,4887
1478.43062426259,743,718,729,622,22861.4759295315,0,3349,0,0,643,967,4887
1479.53427730379,743,718,729,622,22868.1799293633,0,3349,0,0,643,967,4887
1480.63793034499,743,718,729,622,22874.8839291951,0,3349,0,0,643,967,4887
1481.74158338619,743,718,729,622,22881.587929027,0,3349,0,0,643,967,4887
1482.84523642739,743,718,729,622,22888.2919288588,0,3349,0,0,643,967,4887
1483.94888946859,743,718,729,622,22894.9959286906,0,3349,0,0,643,967,4887
1485.05254250979,743,718,729,622,22901.6999285224,0,3349,0,0,643,967,4887
1486.15619555099,743,718,729,622,22908.4039283542,0,3349,0,0,643,967,4887
1487.25984859219,743,718,729,622,22915.107928186,0,3349,0,0,643,967,4887
1488.36350163339,743,718,729,622,22921.8119280179,0,3349,0,0,643,967,4887
1489.46715467459,743,718,729,622,22928.5159278497,0,3349,0,0,643,967,4887
1490.57080771579,743,718,729,622,22935.2199276815,0,3349,0,0,643,967,4887
1491.67446075699,743,718,729,622,22941.9239275133,0,3349,0,0,643,967,4887
1492.77811379819,743,718,729,622,22948.6279273451,0,3349,0,0,643,967,4887
1493.88176683939,743,718,729,622,22955.3319271769,0,3349,0,0,643,967,4887
1494.98541988059,743,718,729,622,22962.0359270088,0,3349,0,0,643,967,4887
1496.08907292179,743,718,729,622,22968.7399268406,0,3349,0,0,643,967,4887
1497.19272596299,743,718,729,622,22975.4439266724,0,3349,0,0,643,967,4887
1498.29637900418,743,718,729,622,22982.1479265042,0,3349,0,0,643,967,4887
1499.40003204538,743,718,729,622,22988.851926336,0,3349,0,0,643,967,4887
1500.50368508658,743,718,729,622,22995.5559261679,0,3349,0,0,643,967,4887
1501.60733812778,743,718,729,622,23002.2599259997,0,3349,0,0,643,967,4887
1502.71099116898,743,718,729,622,23008.9639258315,0,3349,0,0,643,967,4887
1503.81464421018,743,718,729,622,23015.6679256633,0,3349,0,0,643,967,4887
1504.91829725138,743,718,729,622,23022.3719254951,0,3349,0,0,643,967,4887
1506.02195029258,743,718,729,622,23029.0759253269,0,3349,0,0,643,967,4887
1507.12560333378,743,718,729,622,23035.7799251588,0,3349,0,0,643,967,4887
1508.22925637498,743,718,729,622,23042.4839249906,0,3349,0,0,643,967,4887
1509.33290941618,743,718,729,622,23049.1879248224,0,3349,0,0,643,967,4887
1510.43656245738,743,718,729,622,23055.8919246542,0,3349,0,0,643,967,4887
1511.54021549858,743,718,729,622,23062.595924486,0,3349,0,0,643,967,4887
1512.64386853978,743,718,729,622,23069.2999243178,0,3349,0,0,643,967,4887
1513.74752158098,743,718,729,622,23076.0039241497,0,3349,0,0,643,967,4887
1514.85117462218,743,718,729,622,23082.7079239815,0,3349,0,0,643,967,4887
1515.95482766338,743,718,729,622,23089.4119238133,0,3349,0,0,643,967,4887
1517.05848070458,743,718,729,622,23096.1159236451,0,3349,0,0,643,967,4887
1518.16213374578,743,718,729,622,23102.8199234769,0,3349,0,0,643,967,4887
1519.26578678698,743,718,729,622,23109.5239233087,0,3349,0,0,643,967,4887
1520.36943982818,743,718,729,622,23116.2279231406,0,3349,0,0,643,967,4887
1521.47309286937,743,718,729,622,23122.9319229724,0,3349,0,0,643,967,4887
1522.57674591057,743,718,729,622,23129.6359228042,0,3349,0,0,643,967,4887
1523.68039895177,743,718,729,622,23136.339922636,0,3349,0,0,643,967,4887
1524.78405199297,743,718,729,622,23143.0439224678,0,3349,0,0,643,967,4887
1525.88770503417,743,718,729,622,23149.7479222997,0,3349,0,0,643,967,4887
1526.99135807537,743,718,729,622,23156.4519221315,0,3349,0,0,643,967,4887
1528.09501111657,743,718,729,622,23163.1559219633,0,3349,0,0,643,967,4887
1529.19866415777,743,718,729,622,23169.8599217951,0,3349,0,0,643,967,4887
1530.30231719897,743,718,729,622,23176.5639216269,0,3349,0,0,643,967,4887
1531.40597024017,743,718,729,622,23183.2679214587,0,3349,0,0,643,967,4887
1532.50962328137,743,718,729,622,23189.9719212906,0,3349,0,0,643,967,4887
1533.61327632257,743,718,729,622,23196.6759211224,0,3349,0,0,643,967,4887
1534.71692936377,743,718,729,622,23203.3799209542,0,3349,0,0,643,967,4887
