"from","to","type","No","voltage","distance"
1,2,1,1,300,41168.3371748962
1,4,1,3,300,10535.000823243
5,6,1,4,132,8764.02510542507
7,8,1,5,132,2682.1664728443
9,10,1,6,132,8921.33615744306
5,11,1,7,132,9633.11982155468
12,13,1,8,132,14466.6378290901
14,15,1,9,132,33381.8322655504
18,19,1,11,132,24883.2653336174
20,21,1,12,420,25449.5337290375
22,23,1,13,300,1365.38581932027
1,4,1,14,300,10542.1595177596
4,24,1,15,300,5292.35463947382
25,26,1,16,420,646.841753875792
27,28,1,17,300,5428.27050182169
29,30,1,18,300,2969.99351943376
32,33,1,22,132,4551.82313960454
14,33,1,23,132,4316.512598804
34,35,1,24,275,10758.9095370829
36,37,1,25,275,19354.9403902963
34,37,1,26,275,2982.19251845615
38,39,1,28,275,5209.47174876967
39,40,1,29,275,1644.55039234211
41,42,1,30,275,1797.15314587907
42,43,1,31,275,6045.27071289913
44,45,1,32,275,15563.2665115207
45,46,1,33,275,5223.67585935422
46,47,1,34,300,9305.10383424066
47,48,1,35,300,3901.18632756757
49,50,1,36,300,8074.70993940873
51,52,1,37,300,2646.47612309351
53,54,1,38,300,8755.89789986296
35,48,1,39,275,3438.65079081406
18,55,1,40,420,94002.4138602327
56,57,1,41,132,46636.1030041536
58,59,1,42,132,16562.9679922302
60,61,1,43,132,47529.2757793959
62,63,1,44,132,72247.7415620844
49,64,1,45,300,3395.20905491771
27,64,1,46,300,13223.17493949
23,65,1,47,300,49672.8949798652
53,66,1,48,300,22797.834412098
67,68,1,49,300,4753.49416683656
68,69,1,50,300,46921.0556484332
69,70,1,51,300,4228.11930355684
69,71,1,52,300,19583.0863608885
71,72,1,53,300,9780.30052762558
73,74,1,54,300,20338.296923255
65,75,1,55,300,6750.34411969787
23,76,1,56,300,31803.3312830342
77,78,1,57,420,40659.0368977477
76,79,1,58,300,89631.9017067684
80,81,1,59,300,3202.36706930868
82,83,1,60,300,19729.4619188305
72,84,1,61,300,28701.269805553
53,85,1,62,300,77512.2190185045
86,87,1,63,300,16085.938790963
88,89,1,64,132,10695.6499945094
90,91,1,65,132,14897.6342386403
92,93,1,66,132,23013.8920377894
92,93,1,67,132,23011.0101120832
94,95,1,68,132,66162.1841918393
95,96,1,69,300,65878.8593850221
97,98,1,70,300,39043.6396947179
26,99,1,71,420,19830.57414169
99,100,1,72,420,30076.9406959066
101,102,1,73,220,57987.8562132347
103,104,1,74,300,38710.8191986344
2,105,1,75,300,34312.0829517076
99,106,1,76,420,79222.4337727751
107,108,1,77,420,47153.3071552739
30,109,1,78,300,19276.4518668165
100,110,1,80,420,35642.3200803363
54,111,1,81,300,40158.0706531776
101,112,1,82,300,37363.250370173
103,113,1,83,300,17863.5890411627
114,115,1,84,420,123952.941189244
71,85,1,85,300,25342.0655683904
60,116,1,86,132,18157.3542817402
117,118,1,87,132,31159.1646296024
119,120,1,88,132,22093.2769425205
121,122,1,89,300,54937.1108104387
18,60,1,90,420,3556.10551110904
55,123,1,91,420,6010.99509022096
62,124,1,92,150,10748.4453060674
106,125,1,93,420,32724.058046981
126,127,1,94,132,41005.8616128158
126,128,1,95,300,33799.0977867374
125,126,1,96,300,46651.8144043092
129,130,1,97,300,41580.5554143908
130,131,1,98,300,22997.6004867184
132,133,1,99,420,10094.4048559264
132,134,1,100,420,41571.4412219737
131,135,1,101,300,16458.4961129019
136,137,1,102,250,28188.4885333299
136,137,1,103,250,28132.9328453229
138,139,1,104,300,19864.560557768
140,141,1,105,132,31233.5922925951
142,143,1,108,132,4074.71477999025
144,145,1,109,220,29394.6287116677
144,146,1,110,132,79631.5854863161
147,148,1,111,132,77269.7313080047
143,146,1,112,132,67426.7254481663
149,150,1,113,132,33709.5223536254
92,150,1,114,132,62685.1911863363
149,151,1,115,132,30592.7985692692
151,152,1,116,132,39744.3860238854
149,151,1,117,132,30630.341646968
153,154,1,118,132,63750.1241879116
120,155,1,119,132,8756.98886904687
138,156,1,120,300,11985.9294915742
156,157,1,121,300,17516.7201552839
158,159,1,122,300,43590.9911033781
158,159,1,123,300,43498.0098694509
23,157,1,124,300,16232.9639864152
159,160,1,125,300,26311.221837599
139,159,1,126,300,22347.7784897909
158,161,1,127,300,1881.81239940726
