NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-25.012155  11.710630   1.335200   0.505983   3.386389   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.409988  12.814155   1.443386   0.583623   2.647121   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.183102   9.327870   0.789596   0.498618   1.898926   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-17.750566   8.073081   0.770987   0.592768   1.065863   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-19.855284   7.686770   0.578916   0.549940   2.014084   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.402843   9.152551   1.504011   0.713645   3.720013   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.514005   8.308080   1.710458   0.984472   3.931364   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-13.900046   8.099525   2.224507   0.994259   4.365788   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.303749   9.114202   2.048301   0.997005   4.172758   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.687385   7.156783   2.140186   1.002714   2.264785   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.875607   7.105319   2.089891   0.998784   2.728133   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.784464   7.202671   1.913014   0.934520   2.368658   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.797297   7.205375   1.706973   0.999445   2.409476   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.559939   7.560585   1.666984   0.990528   2.301525   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-10.418140   7.923196   1.657579   0.973176   2.557382   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-9.842996 10.491667  1.296093  0.997464  3.974253  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-12.357806  10.387794   1.116583   0.971915   4.509197   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.503427   9.530913   1.373266   0.985451   3.826355   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.227149  11.176709   1.385184   1.013805   3.740819   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.809681  10.568747   1.764045   1.011881   3.684659   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.479552  10.606270   1.692215   1.023866   3.971380   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.114846  11.857602   1.658153   0.951952   4.189215   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.673647  12.653078   1.505718   0.955742   4.143899   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-28.378348  10.951049   1.099701   0.731889   3.402864   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.110955  11.169901   1.303375   0.685764   3.370354   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.133969  10.930905   1.544816   0.683070   2.869928   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-25.245428   9.647724   1.695356   0.687102   3.150675   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-24.256281   9.340088   1.239644   0.602777   2.594069   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-23.451478   9.745422   0.992356   0.640202   1.639212   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.905642  10.411984   1.653254   0.829377   3.173375   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-26.592279  10.333033   2.126572   0.920465   3.685220   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-22.583697  12.171388   1.883551   1.025100   4.220363   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
