Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 398.894579  211.421055    5.854414   22.983247  157.783739   50.985693  118.706737   21.621860  711.481651   47.498552  270.948758   21.729801  293.514950  127.092684    4.343321   17.025175    0.000000   24.706545    8.018262  213.117513    8.276407  471.060013   13.687989    1.550310   59.357974  189.997518   35.888022    1.681477    1.955270  827.977913  148.990302  224.550716   24.305427  364.132855  302.077132   71.665216  114.989260  193.654598  130.044721    2.106314   10.199251   99.108700   25.682137   71.363950   14.022264  137.797892  422.924184   99.994418    4.939820  100.373296  134.096846   37.918228    9.773306  137.332757  188.791055  166.448244  258.749846   49.927829   47.405550  137.433464  150.253340   68.368676  145.715179    7.008749  135.171679   60.602389    9.705975   75.122620    9.943123   84.283184   92.727112    1.846386    2.154446  620.908778   47.632839  215.481749  230.812946   33.203695   44.966636    6.166069   14.973786   64.607134   50.171799   49.383951    0.800177   70.952153  113.150921 1033.054614   53.189854    8.535399  261.026629  179.316500   19.699415   31.213276   28.450630   75.677987    0.000000   84.061487   83.337103   41.096994  423.782253   39.529910   86.930232   48.803846    9.271386   89.980380  355.148059  123.306683    0.149075   36.435955   73.431637    0.346151   31.690303    1.622557   14.105700  201.489531  209.633791  220.372731  317.206915   48.961640  127.482075  167.785397    3.057683   13.942805   33.472113    3.726260   48.130019   63.123157    6.906489  119.649960    0.000000    0.000000    0.000000    1.814226   32.163177  154.046478   70.324387    7.860000   18.858287  147.920390   68.385528   72.828094    0.237606    1.817634   53.471950   32.405513   46.080448    0.402918  160.017121   15.230487   73.673266   24.121966   15.139123  117.041632   23.246359   36.588867  228.374426   87.628036   85.353112   74.787748   16.286127    1.816329   14.618615    0.000000   81.874288    0.000000   54.884276  143.501902  109.182849  185.666658   41.600087   44.840641   32.429912   17.992834  103.052673    0.000000    3.005296   43.737121    7.102165  451.294580    5.710000   27.425915  149.312840   97.588476  104.478201    1.282778   13.641966   17.249653   15.744656   31.988839   22.440296   84.428124    0.000000    2.416078  355.793931   34.287240    7.597967   39.569540    4.102182    5.549886   15.448731   68.273735   57.385270   10.179053   37.735343   36.737266   19.714681  119.156489  169.211384   89.178460   84.931635   63.485332   56.893233  208.029029   19.756974    8.486672   32.886960   16.809792    6.664857   27.331425    0.000000
 442.880988  211.710156    5.854414   22.983247  156.599571   50.743426  116.460172   21.621860  690.806543   39.941797  270.810289   21.718735  293.514950   93.989068    4.316949   17.025175    0.000000   24.706545   27.333001  213.117513    8.276507  471.060013   13.869257    1.303665   57.162654  187.296906   34.627314    1.639885    1.955270  792.839709  146.486177  223.203592   23.227365  357.497890  210.047365   71.245358  109.893002  192.506601  129.977231    2.105221   10.199251   99.163900   25.682137   71.363950   13.826004  137.118885  422.924184   99.994418    3.653154   99.458267  131.516386   37.918228    9.773306  136.014539  189.001055  151.439086  253.596962   49.927829   47.380922  137.749464  150.253340   68.368676  140.603321    6.762539  133.364521   59.619883    9.705975   73.765319    9.932791   82.760373   92.678989    1.844469    2.153332  617.096168   48.456539  215.481749  218.632780   33.089827   44.094686    6.166069   14.973786   64.607134   48.653161   49.383951    0.800177   70.952153  113.266285 1042.483993   53.189854    8.219722  259.546211  179.316500   19.699415   31.269426   28.450630   75.639055    0.000000   84.017357   83.293239   41.096994  411.040246   39.529910   86.417941   48.691960    9.266604   85.989319  351.852382  123.282001    0.148626   33.891516   73.073330    0.345972   31.673667    1.621720   14.098444  500.056418  517.340746  219.726341  315.348525   28.674335  127.482075  167.438337    3.056083   38.372003   33.472113    3.724283   48.130019   63.123157    6.906489  119.625919    0.000000    0.000000    0.000000    1.813277   32.163177  154.950154   69.448293    7.860000   18.816137  145.787544   66.352274   72.789942    0.237481    1.816904   53.461253   32.399035   46.056345    0.402709  159.934076   15.230487   73.760386   24.121966   15.065252  117.744014   23.241683   36.588867  229.508195   87.580226   85.353112   74.787748   14.182817    1.816329   14.618615    0.000000   78.019991    0.000000   52.956250  138.194568  109.182849  179.144386   41.495086   44.840641   32.429912   17.951155  102.816420    0.000000    2.998343   43.636273    7.035641  451.590566    5.710000   25.422818  148.052147   97.537164  103.178153    1.282104   22.094593   17.282818   15.744656   31.988839   22.583544  100.171990    0.000000    2.414766  355.610425   34.269268    7.593769   39.829299    4.102182    5.354924   15.393569   68.273735   57.385270   10.179053   37.735343   36.737266   19.714681  116.495838  158.818831   89.476490   84.674273   55.159421   54.399157  207.919533   19.756974    8.172797   32.349080   14.135448    5.533176   27.331425    0.000000
417.589186 212.248586   5.530261  22.983247 150.611285  48.018601 112.803834  21.621860 577.271640  38.538685 270.533353  21.685539 293.514950  85.708887   3.270402  15.204513   0.000000  24.706545  31.630746 212.368902   8.276507 469.369712  13.575363   1.257868  55.560416 184.596294  32.002649   1.475350   1.686114 713.221807 141.477927 220.509346  22.241629 344.227960 201.133254  70.405641 101.626299 190.210606 129.842251   2.103035  10.176626  98.596317  22.492780  60.236815  13.788450 116.603534 420.714509  74.143870   3.331321  70.312651 130.893779  35.014989   9.676713 134.696321 189.077055 132.655379 226.146014  49.927829  47.331666 132.984999 141.446335  65.015762 130.724832   6.516329 117.403832  59.199746   9.705975  52.148859   9.922460  58.507969  92.582742   1.842553   2.151104 614.978879  51.104510 225.474657 193.767739  32.019084  39.896649   5.826365  12.849136  58.563532  47.366373  44.313388   0.692491  67.043225 113.248174 995.756661  49.158194   8.104525 254.835664 175.944047  19.656477  30.953185  27.965385  75.561192   0.000000  83.973227  83.205509  40.396057 375.848586  39.529910  85.393358  48.580075   9.257040  78.690791 345.261028 123.232637   0.148176  32.494680  69.694841   0.345614  31.657030   1.620045  14.083931 640.138866 649.300055 213.833173 311.631743  26.239569 126.814880 151.369285   3.052882  13.424993  33.472113   3.720329  47.958790  60.744382   6.737137 119.577836   0.000000   0.000000   0.000000   1.811379  32.092912 152.528855  73.107044   7.860000  18.737453 125.630940  62.749208  72.713636   0.237229   1.816175  53.439859  32.386080  46.008141   0.402290 159.767986  14.387191  73.166885  22.791968  14.917510 111.578098  23.237008  35.964820 229.038117  87.532417  85.353112  74.787748   7.302962   1.762081  14.241669   0.000000  70.100177   0.000000  48.942297 136.257808 109.182849 165.565684  40.014337  42.048686  32.429912  17.414293 102.580166   0.000000   2.931529  43.535426   6.902594 449.981673   5.710000   9.119631 137.804786  97.434540 100.578056   1.280755  13.421667  16.836170  14.355350  31.988839  22.147475  83.947808   0.000000   2.413454 355.243412  34.233325   7.589570  37.521182   3.861735   4.949034  14.700316  68.273735  54.207908   9.667307  35.523510  36.737266  19.714681 112.207277 154.272856  87.546039  83.561316  55.159421  34.152498 207.700539  19.756974   8.058257  31.380058  13.638885   2.973681  24.330144   0.000000
365.274783 211.394772   5.530261  22.983247 151.710592  45.813486 109.956188  21.621860 533.515874  35.617547 270.810289  21.729801 293.514950  73.288615   3.270402  17.935507   0.000000  24.706545   8.015643 203.458706   8.274204 453.500250  13.435567   1.162525  55.560416 181.895683  31.554730   1.394004   1.593148 713.221807 143.982052 174.137900  21.255893 298.042807 180.935215  69.985783 100.435522 190.210606 129.437309   2.096476  10.086125  98.059608  20.506358  56.838800  12.466645  99.820253 379.141813  72.945044   3.009488  60.592983 130.893779  35.014989   9.676713 134.696321 188.803655 132.655379 216.847643  49.927829  47.257782 132.425799 141.446335  65.015762 123.626202   6.162479 112.766089  57.126645   9.705975  44.940062   9.906963  50.420121  92.342126   1.838720   2.145534 613.605435  51.104510 225.474657 193.412331  32.130179  37.948282   5.336258  12.849136  58.563532  48.056391  44.313388   0.680598  63.979093 113.147428 982.297388  51.253323   8.104525 255.429882 175.944047  19.441788  30.836943  27.965385  75.405465   0.000000  83.576059  82.635268  35.734393 381.065795  39.529910  84.368775  48.468190   9.237913  72.344937 276.910252 123.207955   0.147480  28.454915  61.530902   0.344540  31.440756   1.615859  14.054905 639.656783 648.302113 215.046262 306.056572  23.190255 118.415499 146.908123   3.035281  14.229913  33.472113   3.680790  47.613774  60.744382   6.737137 119.553795   0.000000   0.000000   0.000000   1.800941  32.022648 151.487314  74.402347   7.860000  18.681185 112.312883  56.579765  72.370264   0.234969   1.815810  53.429162  32.386080  45.743015   0.401453 159.352759  14.387191  73.306745  22.791968  12.685594 111.468891  23.232332  31.814516 227.912201  85.667856  85.353112  71.758098   2.739055   1.762081  14.540467   0.000000  66.608242   0.000000  48.257285 136.257808 109.182849 163.248376  40.123537  42.048686  32.429912  17.257070 102.343913   0.000000   2.852839  43.434578   3.202916 433.294740   5.636031   6.050000 135.188560  96.818797  70.035911   1.272661  13.634631  16.514258  13.625788  31.988839  20.972723  83.891478   0.000000   2.366231 354.325882  34.017667   7.455232  35.385909   3.861735   4.879766  13.703416  68.273735  54.207908   9.667307  35.523510  36.737266  19.714681 101.493176 128.591011  87.457580  83.465422  55.305021  28.038329 206.277083  19.090425   8.058257  30.016738  12.605091   5.127636  23.233402   0.000000
362.065552 207.309196   5.530261  22.983247 151.232297  45.387919 107.966594  21.621860 533.515874  35.617547 270.810289  21.729801 293.514950  73.288615   3.409127  15.204513   0.000000  24.706545   8.013316 197.717082   8.272302 437.519632  12.953337   1.162525  55.560416 181.895683  31.554730   1.394004   1.594342 713.221807 146.486177 220.509346  21.255893 298.042807 180.935215  69.985783 101.030911 190.210606 129.437309   2.095383   9.995624  97.689648  20.251711  56.838800  12.466645  99.820253 363.581081  69.947980   3.009488  60.592983 130.893779  35.014989   9.676713 134.696321 187.427455 141.103595 216.847643  49.927829  47.257782 125.902999 141.446335  65.015762 123.626202   6.162479 111.105566  56.528902   9.705975  44.940062   9.901798  50.015119  92.342126   1.838720   2.145534 614.529672  51.104510 225.474657 193.412331  31.293912  38.228945   5.336258  13.436333  59.323586  50.252535  44.847560   0.692491  67.043225 112.612392 961.604736  50.193866   8.104525 254.835664 160.588402  19.270037  30.259640  24.738208  75.405465   0.000000  83.576059  82.591404  35.734393 364.598630  39.529910  84.368775  48.468190   9.237913  72.344937 296.083774 123.207955   0.147480  27.506943  61.530902   0.344540  31.440756   1.615859  14.054905 639.659798 648.298866 214.337512 306.056572  23.054392 126.083355 150.511233   3.035281  15.361705  33.472113   3.680790  47.613774  60.744382   6.737137 119.553795   0.000000   0.000000   0.000000   1.800941  31.952383 151.101394  73.293359   7.860000  18.681185 112.312883  56.579765  72.370264   0.234969   1.815810  53.429162  32.386080  45.743015   0.401453 159.352759  14.387191  72.748985  22.791968  12.685594 107.280576  23.224314  31.814516 227.963401  85.667856  85.353112  69.898670   2.724758   1.762081  14.241669   0.000000  65.727702   0.000000  48.257285 136.257808 109.182849 163.248376  39.124177  42.048686  32.429912  17.099847 102.343913   0.000000   2.852839  43.434578   3.202916 421.562584   5.567129   6.050000 134.050979  96.818797  70.035911   1.272661  14.045511  16.257668  13.625788  31.988839  20.315438  84.640198   0.000000   2.366231 354.325882  34.017667   7.455232  35.177277   3.861735   4.879766  13.394141  68.273735  54.207908   9.667307  35.523510  36.737266  19.714681  98.836566 121.787824  89.065110  83.465422  54.509298  26.096505 206.167587  19.756974   8.058257  29.355448  12.605091   2.966325  23.233402   0.000000
374.456282 203.853806   5.530261  22.983247 151.545777  47.813997 108.203507  21.621860 556.254388  35.617547 270.948758  21.729801 293.514950  77.428705   3.409127  17.935507   0.000000  24.706545   8.014577 201.370843   8.273403 449.221430  12.462111   1.162525  55.560416 181.895683  31.554730   1.475350   1.686114 713.221807 146.486177 220.509346  21.255893 298.042807 180.935215  69.985783 101.030911 191.358603 129.504800   2.096476  10.131376  98.048237  22.492780  56.838800  12.466645 100.787686 373.954902  72.345631   3.009488  63.832872 130.893779  35.014989   9.773306 136.014539 186.254055 141.103595 220.831325  49.927829  47.282410 121.849064 141.446335  63.339305 125.381074   6.162479 122.869050  56.501680   9.705975  44.940062   9.906963  50.420121  92.390249   1.838720   2.146648 615.870228  51.104510 225.474657 193.412331  30.596482  39.467136   5.826365  12.849136  58.563532  45.866886  44.313388   0.692491  67.043225 112.131688 979.503901  51.253323   8.104525 257.190937 175.944047  19.570602  30.279554  27.965385  75.444397   0.000000  83.576059  82.635268  40.307207 378.632568  39.529910  84.368775  48.468190   9.237913  72.344937 296.083774 123.207955   0.147951  27.265852  61.530902   0.344719  31.457393   1.615859  14.062161 639.744781 648.513968 213.679312 306.056572  23.190255 127.482075 146.908123   3.035281  15.829110  33.472113   3.680790  47.958790  61.015078   6.737137 119.553795   0.000000   0.000000   0.000000   1.801890  32.092912 151.006984  74.222435   7.860000  18.681185 116.556460  56.579765  72.408416   0.235094   1.815810  53.429162  32.386080  45.767117   0.401662 159.435805  14.387191  72.348125  24.121966  12.685594 105.424019  23.232332  35.964820 228.066350  85.667856  85.353112  73.476908   2.749912   1.762081  14.618615   0.000000  67.274419   0.000000  48.257285 136.257808 109.182849 163.248376  38.267857  42.048686  32.429912  17.257070 102.343913   0.000000   2.879069  43.434578   3.344868 428.293349   5.693449   6.050000 135.420492  96.818797  70.071977   1.272661  14.219991  16.460510  14.104373  31.988839  20.456436  84.999692   0.000000   2.367543 354.509388  34.035639   7.455232  35.744989   3.861735   4.879766  13.305196  68.273735  51.248205   9.378576  35.523510  36.737266  19.714681  98.188186 120.056663  87.007101  83.561316  55.484483  28.880878 206.277083  19.756974   8.058257  29.082798  13.142322   4.501624  23.692659   0.000000
 402.484580  199.209522    5.854414   22.983247  150.097996   45.714565  107.489066   21.621860  590.144146   38.538685  270.671821   21.707670  293.514950   89.848977    3.409127   16.114844    0.000000   24.706545    8.016807  207.128628    8.275206  459.393030   11.746031    1.257868   56.361535  184.596294   33.366606    1.475350    1.874155  757.701506  146.486177  221.856469   22.241629  344.227960  201.133254   70.825500  103.441903  191.358603  129.909741    2.104128   10.176626   97.637909   25.427033   63.128623   13.826004  133.122894  416.295159   72.945044    3.653154   85.989518  137.678764   37.918228    9.773306  136.014539  184.672455  149.551812  241.347189   49.927829   47.380922  112.919464  141.446335   65.015762  135.664076    6.516329  125.331752   56.484119    9.705975   73.765319    9.932791   82.760373   92.630865    1.844469    2.152218  621.068289   50.103939  225.474657  193.767739   29.449817   39.744821    6.092626   13.436333   58.563532   46.313459   44.847560    0.756093   70.107054  111.443999 1006.994629   51.253323    8.104525  257.190937  177.709256   19.656477   29.731435   28.245956   75.600123    0.000000   83.973227   83.249374   40.396057  390.586834   39.529910   85.905649   48.636018    9.261822   78.690791  345.261028  123.257319    0.148401   28.115333   72.356715    0.345793   31.673667    1.620882   14.091187  503.056279  512.670175  214.312652  313.490134   27.402491  127.482075  150.869137    3.054482   17.420013   33.472113    3.722306   48.044404   63.123157    6.737137  119.577836    0.000000    0.000000    0.000000    1.812328   32.163177  150.915169   70.146430    7.860000   18.737453  143.654697   63.639932   72.751789    0.237355    1.816540   53.439859   32.392558   46.032243    0.402499  159.851031   15.230487   71.491085   24.121966   14.917510  100.397827   23.237008   35.964820  228.441257   87.580226   85.353112   74.787748    8.591136    1.816329   14.618615    0.000000   73.372393    0.000000   51.028224  136.257808  109.182849  172.622114   36.928998   44.840641   32.429912   17.571516  102.698293    0.000000    2.994866   43.585849    6.902594  438.984993    5.710000   10.156564  137.520175   97.485852  100.912542    1.281429   14.859020   16.276069   15.557125   31.988839   20.859049   86.588854    0.000000    2.414766  355.426918   34.251297    7.593769   37.419623    3.861735    5.159963   13.466570   68.273735   54.207908    9.667307   35.523510   36.737266   19.714681   99.408307  120.910292   87.956927   83.561316   55.159421   44.940234  207.810036   19.756974    8.058257   29.437220   14.135448    4.408937   24.347773    0.000000
 409.005904  198.395186    6.034649   22.983247  154.391877   50.985693  109.115057   21.621860  722.045045   47.498552  270.948758   21.729801  293.514950  129.431222    4.369694   20.666500    0.000000   24.706545   27.987402  214.932897    8.276608  474.440616   11.649334    1.573328   59.357974  192.698130   35.888022    1.681477    1.955270  866.407215  151.494427  225.897839   24.305427  364.132855  375.303963   72.945550  120.085519  194.802596  130.112212    2.107407   10.199251   97.748980   25.682137   71.363950   14.619895  137.797892  425.133859  111.759938    5.030714  102.203353  147.304727   40.821467    9.869899  137.332757  184.382655  174.896460  282.365204   49.927829   47.454806  112.229129  145.844297   66.969121  167.204648    7.008749  125.047726   56.295494    9.705975   75.801270    9.948288   85.044590   92.775235    1.847344    2.155560  621.704625   46.809139  215.481749  236.764414   29.649615   43.871989    6.166069   14.973786   64.607134   50.252535   49.383951    0.800177   73.194659  111.311096 1033.273529   55.126385    8.535399  261.026629  179.316500   19.699415   29.717476   28.450630   75.716918    0.000000   84.061487   83.380968   41.096994  429.790337   39.529910   87.442524   48.803846    9.276167  146.619406  355.148059  123.306683    0.149075   29.808880   73.073330    0.346331   31.706940    1.623394   14.112957  157.989671  167.759063  218.862870  322.873972   56.548808  136.548652  164.099896    3.059283   17.803185   33.472113    3.728237   48.130019   63.753251    7.211211  119.649960    0.000000    0.000000    0.000000    1.815175   32.416953  151.115718   71.525509    7.860000   18.900437  147.920390   68.859297   72.828094    0.237732    1.817634   53.471950   32.405513   46.104550    0.403337  160.100166   15.699376   71.630206   25.459175   15.065252  101.743590   23.246359   36.588867  228.511294   87.675845   85.353112   74.787748   21.392618    1.864403   14.995562    0.000000   84.437989    0.000000   54.884276  143.501902  109.182849  185.666658   37.236647   44.840641   32.429912   18.013674  103.052673    0.000000    3.005296   43.737121    7.168688  454.808351    5.710000   26.153249  144.849329   97.639788  105.778249    1.283453   15.003179   16.305013   15.744656   31.988839   21.304757   86.901169    0.000000    2.417389  355.977437   34.305211    7.602165   40.432317    3.861735    5.549886   13.467531   68.273735   57.385270    9.923180   35.523510   36.737266   19.714681  101.412253  118.361427   89.004793   84.931635   67.386148   57.426132  208.138526   21.162098    8.486672   29.355031   17.059368    6.546893   27.331425    0.000000
 430.112987  198.014347    6.194373   22.983247  152.873781   49.007632  108.246039   21.621860  711.481651   47.498552  270.671821   21.707670  280.496159  130.600491    4.396067   27.945388    0.000000   24.706545   78.324708  214.932897    8.276608  476.130917   11.574413    1.550310   59.357974  189.997518   34.627314    1.681477    2.039435 1033.092252  153.998552  227.244963   24.305427  379.218116  433.461619   77.494761  125.659101  195.950593  130.247192    2.108500   10.221877   97.367812   25.868233   72.079929   14.619895  138.476899  426.238696  113.850790    5.076161  103.118382  152.599680   40.821467    9.869899  140.668824  184.248055  185.196422  379.503724   49.927829   47.479434  103.867994  143.738917   68.368676  140.603321    7.008749  124.038967   56.010412    9.708712   76.479920    9.953454   85.805996   92.823358    1.848302    2.156674  626.467391   45.762423  215.481749  236.764414   28.240108   44.043892    6.789775   14.973786   64.726955   52.263296   49.475709    0.800177   76.938132  111.264715 1030.738450   53.189854    8.219722  259.546211  179.316500   19.699415   29.130976   28.501419  109.972115    0.000000   84.105617   83.424833   41.170359  433.282981   39.529910   89.004727   49.239758    9.280949  177.450784  361.739412  123.356047    0.149525   29.350611   72.715023    0.346510   31.723576    1.624232   20.497819    0.394189   10.139581  218.631120  343.009835   57.638782  135.570152  171.137845    3.060883   16.865648   33.472113    3.730214   48.215633   63.753251    7.211211  119.698043    0.000000    0.000000    0.000000    1.816124   32.868543  150.586684   78.418737    7.860000   18.906963  147.920390   68.859297   72.866247    0.237857    1.818364   53.493344   32.418468   46.128652    0.403546  160.183212   15.699376   70.920757   25.459175   14.991381   95.829957   23.251034   36.654185  228.860685   87.723654   85.353112   74.787748   29.937552    1.864403   15.372509    0.000000   91.124799    0.000000   54.687896  142.353111  109.182849  185.666658   35.506127   47.632595   32.429912   18.034514  103.973132    0.000000    3.012250   43.837968    7.235212  454.808351    5.710000   29.451515  147.886470   97.639788  107.078297    1.283453   14.663579   16.421608   17.337250   31.988839   21.195501   86.304519    0.000000    2.418701  356.160943   34.323183    7.606363   40.178351    4.102182    5.354924   13.213632   68.273735   57.385270    9.923180   37.735343   36.737266   19.714681   98.285049  115.308657   90.099101   85.575042   79.212239   57.959030  208.248023   19.756974    8.172797   28.848441   16.809792    4.969519   28.024624    0.000000
 467.511055  198.106413    6.286861   22.983247  149.785460   48.951462  105.116393   21.621860  722.731794   48.203765  263.591007   21.630212  268.592301  137.616103    4.396067   16.114844    0.000000   24.706545  132.729355  214.932897    8.276608  474.440616   11.535718    1.573328   57.162654  189.997518   42.677825    2.015618    1.985450 1013.056118  158.813616  227.244963   24.305427  381.856488  437.639087   81.088559  142.304569  195.950593  131.259546    3.127216   13.720072   98.170616   26.084779   71.915103   18.699694  175.522906  424.029021   99.994418    5.348843  108.608554  161.083550   40.860564    9.869899  137.332757  184.293018  264.115699  389.882683   49.927829   47.627202   96.566889  141.764107   67.434709  169.687141    8.334763  121.813577   55.150730    9.705975   83.945073   10.010276   94.181461   93.208344    1.856926    2.157788  633.232505   42.690639  202.832225  216.516081   26.942715   42.482270    6.305661   14.959182   64.767644   49.241579   49.273346    1.009865   71.152273  111.276800 1069.276186   51.253323    7.989328  254.835664  179.403616   20.065604   30.427073   28.803020  119.795455    0.000000   84.767564   84.433721   41.360877  445.146038   39.529910   94.764382   49.697459    9.295295  180.871133  368.330766  123.454775    0.151052   28.302221   72.715023    0.505876   32.106216    2.395314   22.328802    0.429400    7.226717  273.233438  358.916824   60.908703  130.846541  164.306271    3.096086   10.366664   33.472113    3.793476   48.232955   63.753251    7.243810  119.770168    0.130704    0.000000    0.012966    1.836051   32.714322  148.615806   67.096755    9.142298   18.925988  147.920390   79.644438   73.324077    0.241500    1.819824   53.536131   32.444377   46.634801    0.405221  160.847574   16.207327   71.190358   25.692673   14.991381   96.799883   23.265061   38.108437  229.344147   90.496592   89.255077   74.787748   30.432215    3.108558   15.585127    0.863767   94.033577    0.000000   65.268060  134.321049  109.161047  220.793704   34.413268   45.100491   32.534137   18.097033  104.939598    0.000000    3.029634   44.382148    7.613048  453.583977    6.159055   23.265420  145.242076   98.768651  113.578537    1.298292   12.323005   17.018477   15.631034   31.988839   20.885037   82.694378    0.000000    2.489536  544.817026   34.718556    7.896030   42.063726    4.279339    6.599892   13.268508   68.273735   57.540979   15.928929   36.483231   36.818575   20.273168   93.994358  107.816500   89.939600   86.531263   84.271265   58.491929  210.766445   20.234236    7.943718   28.138151   17.059368    6.021835   26.164382    0.000000
