Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
323.370867 335.399208   5.854414  22.983247 156.594818  59.956171 122.982686  21.621860 753.735227  50.319403 272.056505  21.829390 231.816210 132.939028   4.396067  28.716692   0.000000  56.895755 280.615396 168.867980   7.301495 294.537320  13.687989   1.642380  60.995953 204.959849  43.945104   1.976908   2.492479 700.703399 189.689019 225.897839  19.541756 335.056476 201.133254  71.245358 103.441903 193.654598 130.112212   2.107407  10.040874  98.799197  25.682137  72.079929  17.909878 139.155905 177.771395  71.146805   5.167055 104.948439 138.739393  37.918228  10.063084 149.637193 240.084494 268.887689 389.882683 108.650262  47.504062 137.086999 163.957210  85.875408 174.652128   8.706003 145.757211  67.429516  11.125817  77.158571   9.958620  86.567402  92.823358   1.848302   2.154446 620.693604  64.233979 139.887733 197.351373  33.731977  49.673040   6.865470  15.168541  71.868735  65.773466  55.036594   0.889302  79.000067 228.809552 951.551037  68.475911   8.770933 263.129644 178.996960  18.368344  29.872048  28.450630  75.639055   0.000000  84.105617  83.380968  40.801342 390.586834  53.969806  86.417941  48.524133   9.266604  82.340055 345.261028 222.311937   0.147951  37.141825  79.917810   0.346151  31.723576   1.622557  14.098444 201.489392 209.633245 221.978820 313.490134  28.674335 136.548652 180.300339   3.059283  13.944484  33.472113   3.728237  47.958790  64.383345   7.211211 132.529550   0.000000   0.000000   0.000000   1.815175  31.458905 158.243414  64.555759   7.173300  59.114234 152.186083  63.692168  72.828094   0.237732  48.552421 236.834921  92.195305  46.104550   0.403755 160.183212  15.699376  86.230658  26.812128  16.476353 117.201417  28.301796  36.325647 228.312481  87.675845  85.353112  74.787748  13.655829   1.864403  14.995562   0.000000  52.544517   0.000000  67.206134 147.461826 103.716483 227.349968  42.354775  47.632595  32.429912  17.414293 102.462040   0.000000   2.931529  43.535426   6.969118 280.351788   5.084818  75.918175 150.447754  97.639788 101.878105   1.283453  13.646699  17.801699  17.530531  73.665871  19.740485  84.507815   0.000000   2.417389 355.793931  34.305211   7.602165  47.031171   4.476322   6.795870  15.995068  68.273735  62.283198  11.674654  39.947176  40.508374  31.806082 123.162680 172.209256 102.774751  55.498045  56.475741  52.508093 208.138526  21.162098   8.720861  33.242262  17.808095   5.770631  32.477581   0.000000
432.234365 334.502384   5.854414  22.983247 156.020479  59.956171 122.878114  21.621860 753.735227  50.319403 271.918037  21.818324 231.816210 134.108297   4.396067  28.973793   0.000000  56.895755 347.941440 168.867980   7.301495 294.537320  13.904296   1.642380  60.897983 203.797415  43.945104   1.976908   2.492479 700.703399 189.689019 225.897839  19.541756 343.376258 201.133254  71.245358 109.893002 193.654598 130.179702   2.107407   9.814621  97.375886  25.427033  69.720724  15.724677 139.155905 177.771395  71.746218   5.212502 104.948439 141.746730  37.918228  10.063084 149.637193 239.784082 271.273684 393.342336 112.758499  47.528690 137.749464 163.957210  81.482861 174.652128   8.706003 136.664542  64.595793  12.542922  77.837221   9.963785  87.328808  92.871482   1.848302   2.155560 616.926138  64.112055 145.037012 193.412331  33.879999  49.714721   6.865470  15.168541  71.868735  69.319591  50.026257   0.889302  79.000067 228.097648 972.257245  67.502599   8.770933 262.860025 175.944047  18.282468  29.756246  27.965385  75.677987   0.000000  84.149747  83.380968  40.396057 390.586834  56.855556  86.417941  48.524133   9.271386  82.340055 345.261028 221.479863   0.147951  36.488337  79.917810   0.346151  31.723576   1.622557  14.105700 501.489531 518.774266 278.020988 313.490134  28.674335 136.548652 177.203702   3.060883  38.375361  33.472113   3.728237  47.140820  64.383345   7.211211 132.622647   0.000000   0.000000   0.000000   1.815175  31.347580 159.295932  68.336041   7.157492  58.789689 152.186083  68.607548  72.828094   0.237732  48.155190 235.334845  91.708923  46.104550   0.403755 160.266257  15.699376  86.317778  26.812128  16.476353 115.906130  28.252302  35.964820 230.858788  87.723654  85.353112  74.787748  21.220060   1.864403  14.995562   0.000000  54.475794   0.000000  67.206134 147.461826 103.716483 227.349968  42.536575  47.632595  32.429912  17.414293 102.462040   0.000000   2.931529  43.535426   6.969118 331.365523   5.061851  73.624046 149.484228  97.639788 101.878105   1.283453  22.104059  17.834864  17.530531  73.665871  19.883733 100.291527   0.000000   2.418701 355.793931  34.323183   7.602165  49.019958   4.476322   6.795870  16.025393  68.273735  62.283198  11.674654  39.947176  42.828577  31.806082 121.256166 162.381030 103.975834  59.229065  56.475741  49.234644 208.138526  21.162098   8.720861  32.704382  17.808095   5.770631  32.148424   0.000000
396.126349 334.594132   5.530261  22.983247 152.789229  49.007632 114.866566  21.621860 595.514593  38.538685 270.533353  21.696605 227.644078 131.769759   4.343321  28.459591   0.000000  55.876977 358.431105 160.715807   7.282320 292.356310  13.645441   1.257868  56.361535 184.596294  33.366606   1.557136   1.779584 692.493108 174.251317 223.203592  19.311431 232.020016 180.935215  70.405641 101.626299 191.358603 130.044721   2.105221   8.990343  73.483312  18.340538  51.474871  13.826004 137.118885 174.445572  70.547393   5.121608 103.118382 130.893779  35.014989   9.773306 136.014539 239.742711 266.501694 386.423030  82.745249  47.479434 132.984999 159.060345  76.491258 135.664076   6.516329 117.403832  59.199746  10.417265  76.479920   9.953454  85.805996  92.775235   1.846386   2.153332 614.828555  58.741617 122.518391 192.346107  32.293310  40.624806   6.789775  15.001608  64.846776  56.418910  49.567467   0.800177  78.129060 227.591598 959.257588  51.253323   8.104525 257.190937 127.142207  18.110717  29.233663  20.171454  75.600123   0.000000  84.017357  83.293239  29.137707 390.586834  52.376064  85.393358  48.468190   9.261822  74.071369 296.083774 220.624844   0.146777  32.494680  72.356715   0.345972  31.690303   1.620882  14.091187 640.561544 650.150471 220.257531 311.631743  26.239569 135.694011 167.569307   3.057683  13.428352  33.472113   3.724283  34.065307  60.744382   6.737137 132.131064   0.000000   0.000000   0.000000   1.813277  31.236254 152.751079  69.608428   7.110069  58.199309 143.654697  63.639932  72.789942   0.237481  47.658676 234.021328  91.359052  46.056345   0.403337 160.100166  15.230487  73.268996  24.121966  14.917510 110.381026  28.207782  25.941452 230.063543  87.628036  85.353112  74.787748   9.646396   1.816329  14.618615   0.000000  45.019263   0.000000  51.028224 136.257808 103.596356 172.622114  40.406089  44.840641  32.429912  17.257070 102.343913   0.000000   2.905299  43.485002   5.976472 278.275820   5.027400  38.851967 142.014831  97.537164 100.578056   1.282104  13.431133  17.596603  16.061982  72.346807  19.456057  84.027500   0.000000   2.416078 355.426918  34.269268   7.597967  42.621498   4.342628   5.159963  14.792804  68.273735  60.717571  10.895326  37.735343  46.711486  31.806082 112.207277 154.272856 111.501149  47.160973  54.834360  27.468776 207.919533  19.756974   8.058257  31.380058  14.135448   3.379564  24.894351   0.000000
299.269954 333.364529   5.206108  22.983247 151.791688  48.018601 113.473336  21.621860 533.515874  35.617547 270.810289  21.729801 229.344473  93.989068   4.316949  28.459591   0.000000  39.142467 330.990154 130.446433   7.282320 200.276112  13.470607   1.162525  55.560416 181.895683  31.554730   1.308608   1.495552 692.493108 158.813616 220.509346  19.311431 225.077311 176.718033  69.565925  99.840134 190.210606 129.504800   2.097569   8.870125  73.457085  18.306774  51.380109  12.466645 100.787686 167.475973  70.547393   3.653154  73.552541 128.550885  34.388248   9.676713 134.696321 239.326561 191.792892 278.096508 111.888712  47.356294 132.351005 150.253340  71.385177 125.381074   6.162479 112.766089  57.126645  11.834370  49.745927   9.917295  55.812020  92.438372   1.840636   2.146648 613.455111  66.342119 123.814588 191.990699  31.987852  37.090503   5.826365  13.598300  64.726955  56.314854  49.383951   0.692491  70.107054 227.189137 943.177533  50.700070   8.104525 254.835664 126.908575  17.974256  29.323763  20.134319  75.405465   0.000000  83.576059  82.635268  29.084066 394.351098  65.512806  83.856484  48.300362   9.237913  71.918598 158.677495 220.186541   0.146006  28.454915  61.530902   0.344719  31.457393   1.615859  14.054905 639.656789 648.302105 216.652352 304.198181  23.054392 127.482075 158.681593   3.036881  14.231592  33.472113   3.682767  34.002710  60.744382   6.567784 131.899468   0.000000   0.000000   0.000000   1.801890  31.180592 151.487314  75.636252   7.110069  18.568651 116.087719  56.579765  72.408416   0.235094  47.430460 233.324718  91.153529  45.767117   0.402081 159.518850  14.387191  73.306745  22.791968  12.685594 111.405446  28.115078  25.893695 227.912305  85.715665  85.353112  74.719089   2.739026   1.762081  14.241669   0.000000  42.455796   0.000000  48.257285 136.257808 103.596356 163.248376  39.920214  44.840641  32.429912  16.785402 101.989533   0.000000   2.800379  42.135589   3.060965 190.630396   5.027400  26.571273 136.580870  96.818797  69.999845   1.272661  13.634631  16.901105  14.877245  50.679773  18.913636  83.931324   0.000000   2.367543 354.325882  34.035639   7.455232  48.987071   4.102182   4.879766  13.703416  95.665267  59.151945  10.434926  35.523510  43.609930  30.985949 101.493176 128.591011 105.851212  43.001199  54.509298  25.088101 206.277083  19.756974   8.058257  30.016738  12.605091   3.379564  22.861043   0.000000
302.596530 329.419211   5.530261  22.983247 151.586174  48.018601 110.734780  21.621860 533.515874  35.617547 270.810289  21.729801 229.034789  93.989068   3.409127  28.459591   0.000000  39.142467 305.127083 130.446433   7.282320 200.276112  12.953337   1.162525  55.560416 181.895683  31.554730   1.394004   1.593148 692.493108 158.813616 220.509346  19.311431 221.641276 176.718033  69.565925  99.840134 189.062608 129.504800   2.096476   8.870125  73.087125  18.306774  51.380109  12.466645 100.787686 167.475973  70.547393   3.653154  73.552541 130.893779  35.014989   9.676713 134.696321 238.024939 191.792892 278.096508 111.888712  47.356294 125.902999 155.172624  71.385177 125.381074   6.162479 111.105566  56.528902  11.125817  49.745927   9.917295  55.812020  92.438372   1.840636   2.146648 614.379349  65.736995 123.039426 191.990699  31.158336  38.228945   5.826365  13.598300  64.726955  56.314854  49.383951   0.692491  70.107054 226.838913 945.310828  51.253323   8.104525 254.835664 126.674942  17.974256  28.918413  20.134319  75.405465   0.000000  83.576059  82.635268  29.084066 394.351098  62.627056  83.856484  48.300362   9.237913  71.918598 158.677495 220.342429   0.146006  27.506943  61.530902   0.344719  31.457393   1.615859  14.054905 639.659968 648.299295 215.943602 304.198181  22.918530 127.482075 155.480770   3.036881  15.363384  33.472113   3.682767  34.002710  60.744382   6.567784 131.917014   0.000000   0.000000   0.000000   1.801890  31.180592 151.101394  75.171003   7.110069  18.568651 115.432291  56.579765  72.408416   0.235094  47.490108 233.646815  91.265919  45.767117   0.402081 159.518850  14.387191  72.748985  22.791968  12.685594 107.217131  28.121529  25.893695 227.963610  85.715665  85.353112  73.996290   2.724808   1.762081  14.241669   0.000000  42.344028   0.000000  48.257285 136.257808 103.596356 163.248376  38.930497  44.840641  32.429912  16.785402 101.989533   0.000000   2.800379  41.755173   3.060965 190.630396   5.027400  25.519608 135.900619  96.818797  69.999845   1.272661  14.045511  16.854679  15.082789  50.679773  18.698204  84.680044   0.000000   2.367543 354.325882  34.035639   7.455232  48.749485   4.102182   4.879766  13.394141  95.813577  59.151945  10.179053  35.523510  42.912776  30.985949  98.836566 121.787824 105.711032  42.863409  54.509298  24.727549 206.277083  19.756974   8.058257  29.355448  12.605091   3.379564  23.233402   0.000000
310.555971 326.302725   5.530261  22.983247 151.545777  48.018601 109.578661  21.621860 556.254388  37.135572 270.810289  21.729801 229.034789  93.989068   4.316949  28.202489   0.000000  40.946086 321.738931 130.446433   7.282320 200.276112  12.462111   1.212072  56.361535 181.895683  31.554730   1.475350   1.686114 692.493108 158.813616 220.509346  19.311431 224.249563 176.718033  69.565925  99.840134 190.210606 129.572290   2.097569   8.990343  72.822085  18.306774  51.380109  13.567816 103.801507 167.475973  69.947980   3.653154  73.552541 130.893779  35.014989   9.773306 136.014539 236.981492 191.792892 350.121492 111.888712  47.356294 121.849064 159.060345  71.385177 125.381074   6.249955 110.550076  56.501680  10.417265  52.148859   9.922460  58.507969  92.486496   1.840636   2.146648 615.719905  65.425897 123.399617 191.990699  30.596482  38.668258   6.092626  14.973786  64.726955  56.314854  49.475709   0.756093  70.952153 226.637322 947.603519  51.253323   8.104525 257.190937 126.908575  17.974256  28.628813  20.171454  75.405465   0.000000  83.664318  82.722998  29.137707 394.351098  60.737804  83.856484  48.356305   9.237913  71.918598 165.709991 220.821825   0.146006  27.645712  63.188331   0.344898  31.490666   1.616696  14.054905 639.745255 648.515143 215.285402 304.198181  23.054392 127.482075 161.971653   3.040081  15.832468  33.472113   3.688698  34.002710  61.251923   6.737137 132.153625   0.000000   0.000000   0.000000   1.803788  31.236254 151.006984  73.838012   7.110069  18.568651 116.556460  61.577422  72.446569   0.235471  47.769004 234.408448  91.474760  45.815322   0.402290 159.601895  15.230487  72.348125  24.121966  14.917510 104.205799  28.149094  25.941452 228.067114  85.954711  85.353112  74.787748   2.750043   1.816329  14.618615   0.000000  42.748377   0.000000  48.257285 136.257808 103.596356 163.248376  38.267857  44.840641  32.429912  16.942624 102.107660   0.000000   2.826609  42.135589   3.060965 190.630396   5.027400  27.961619 136.774096  96.921421  70.035911   1.274010  14.229457  16.670674  15.557125  53.015012  18.598300  85.079383   0.000000   2.374101 354.509388  34.071582   7.455232  47.439605   4.102182   4.879766  13.305196  88.229377  59.151945  10.434926  37.735343  42.183113  30.985949  98.188186 120.593614 106.609852  43.323003  54.572726  25.657566 206.496077  19.756974   8.058257  29.082798  13.142322   3.379564  23.692805   0.000000
330.364602 322.998447   5.530261  22.983247 150.097996  45.387919 108.176643  21.621860 595.185217  38.538685 270.671821  21.707670 218.504116 130.600491   4.343321  28.202489   0.000000  55.876977 278.619045 150.150815   7.282320 292.356310  11.746031   1.257868  56.361535 184.596294  33.366606   1.557136   1.874155 692.493108 174.251317 223.203592  19.311431 210.991004 180.935215  70.405641 101.030911 191.358603 129.977231   2.105221   8.990343  72.257005  18.340538  51.474871  13.826004 127.537508 167.475973  69.947980   5.076161 103.118382 137.942978  37.918228   9.773306 136.014539 235.918497 264.115699 382.963377  75.455617  47.454806 112.919464 159.060345  76.491258 135.664076   6.516329 110.175614  56.484119   9.708712  75.801270   9.948288  85.044590  92.727112   1.846386   2.152218 620.887901  58.619182 122.518391 191.990699  29.449817  41.273941   6.166069  14.973786  64.846776  56.418910  49.567467   0.800177  77.249262 227.061311 945.575673  51.253323   8.104525 257.190937 126.908575  17.974256  28.011913  20.171454  75.600123   0.000000  84.017357  83.293239  29.137707 390.586834  48.198306  85.393358  48.468190   9.261822  74.071369 296.083774 222.430547   0.146777  28.115333  72.318303   0.345793  31.690303   1.620882  14.091187 503.056279 512.670175 215.918741 309.773353  26.239569 136.548652 164.099896   3.056083  17.421692  33.472113   3.724283  34.002710  63.123157   6.737137 132.354450   0.000000   0.000000   0.000000   1.813277  31.236254 150.915169  67.735718   7.110069  59.195532 143.654697  63.639932  72.751789   0.237481  48.646008 237.038189  92.236329  46.056345   0.403337 160.017121  15.230487  71.593196  24.121966  14.917510  97.797050  28.272968  25.941452 228.441398  87.628036  85.353112  74.787748   4.533608   1.816329  14.618615   0.000000  43.316806   0.000000  51.028224 136.257808 103.596356 172.622114  36.928998  44.840641  32.429912  17.257070 102.343913   0.000000   2.905299  43.485002   5.976472 278.275820   5.027400  35.390597 138.946106  97.537164  70.144110   1.282104  14.863753  16.334038  15.744656  72.346807  18.585593  86.628700   0.000000   2.416078 355.426918  34.269268   7.593769  40.046572   4.342628   5.159963  13.466570  68.273735  60.717571  10.434926  37.735343  44.672764  31.806082  99.408307 120.910292 110.599982  43.995037  55.444523  28.038329 207.919533  20.499203   8.058257  29.437220  14.135448   3.379564  23.653717   0.000000
340.554279 322.609754   5.530261  22.983247 151.486431  48.018601 108.900642  21.621860 669.399935  39.941797 270.671821  21.707670 231.816210 134.108297   4.422440  28.716692   0.000000  57.405144 291.121174 168.867980   7.301495 294.537320  11.684373   1.303665  57.162654 187.296906  34.627314   1.475350   1.874155 713.221807 240.201595 227.244963  19.656918 347.545442 210.047365  71.665216 109.893002 194.802596 130.179702   2.108500   9.610994  78.617878  18.408066  51.664396  14.022264 137.797892 177.771395  71.146805   5.212502 104.948439 138.587504  37.918228   9.773306 136.014539 235.951220 271.273684 393.342336 111.888712  47.528690 111.536199 163.957210  77.421464 140.603321   6.762539 124.546096  56.160458  11.125817  77.837221   9.963785  87.328808  92.871482   1.849261   2.155560 621.519516  63.069855 146.246016 192.701515  29.338752  42.820900   6.802391  15.029430  65.086417  56.627022  49.750983   0.881116  78.419396 227.198459 962.961271  52.363842   8.219722 257.190937 131.194711  18.196593  28.101125  20.245723  75.677987   0.000000  84.105617  83.380968  29.244989 400.551134  56.855556  86.930232  48.580075   9.271386  85.989319 348.556705 222.957583   0.148176  27.917929  72.595417   0.346331  31.723576   1.622557  14.105700 157.989531 167.758516 273.945338 315.348525  48.961640 136.548652 172.820503   3.060883  17.803185  33.472113   3.728237  37.545955  63.123157   6.737137 132.819167   0.000000   0.000000   0.000000   1.815175  31.347580 150.893494  74.967854   7.141685  59.650126 145.787544  66.352274  72.828094   0.237732  48.971004 237.711737  92.391584  46.104550   0.403755 160.266257  15.230487  71.732317  24.121966  14.917510  97.347226  28.406830  26.036966 228.512005  87.723654  85.353112  74.787748  21.782229   1.816329  14.618615   0.000000  56.636271   0.000000  52.956250 138.194568 103.716483 179.144386  36.792558  47.632595  32.429912  17.951155 102.580166   0.000000   2.994866  43.585849   7.035641 334.861327   5.050367  43.986412 142.992039  97.639788 103.178153   1.283453  15.003179  16.807270  17.369463  74.325403  18.524725  86.941015   0.000000   2.418701 355.793931  34.305211   7.602165  44.383124   4.342628   5.354924  13.382045  68.273735  60.717571  10.895326  39.746436  46.711486  31.806082  98.696628 117.718471 113.094801  60.665298  61.790226  55.827435 208.138526  21.162098   8.172797  29.177380  14.135448   6.729089  23.851277   0.000000
365.283380 323.832771   6.034649  22.983247 152.873781  49.007632 110.388033  21.621860 711.481651  47.498552 270.671821  21.707670 231.816210 136.446835   4.448813  29.230894   0.000000  58.423921 308.007216 171.769080   7.301495 362.883078  11.609452   1.550310  59.357974 189.997518  35.888022   1.557136   1.955270 782.539289 241.669021 228.592086  20.008098 357.497890 219.796386  77.494761 120.085519 195.950593 130.314682   2.110686   9.610994  78.081958  20.251711  52.296511  14.619895 139.155905 181.097217  72.345631   5.303396 106.778496 146.802788  40.821467   9.869899 137.332757 236.386010 276.045674 400.261642 113.947493  47.577946 103.521529 163.957210  81.482861 143.794068   7.008749 124.038967  56.010412  12.542922  79.194522   9.974116  88.851620  92.967728   1.850219   2.157788 626.312254  61.282498 150.913064 192.866122  28.240108  44.456126   6.827622  15.085075  65.206238  56.627022  49.842741   0.884390  78.564563 228.270538 966.532362  53.189854   8.219722 259.546211 140.133057  18.196593  27.514625  22.273416 108.568781   0.000000  84.149747  83.468698  32.173995 411.332236  59.741306  89.004727  48.691960   9.280949 153.642167 355.148059 224.252948  76.328606  29.350611  72.766680   0.346689  31.756849   1.624232  20.236250   0.389159  10.119880 302.078512 322.873972  56.548808 132.349009 172.820503   3.064083  16.867328  33.472113   3.734168  37.545955  63.753251   7.211211 133.532517   0.000000   0.000000   0.000000   1.817073  31.347580 150.586684  78.307359   7.141685  60.307903 147.920390  71.366320  72.904399   0.238109  49.622808 239.855698  93.046508  46.152755   0.404174 160.432347  15.699376  70.920757  25.459175  15.065252  91.273808  28.627775  28.644676 228.861670  87.867082  85.353112  74.787748  30.432215   1.864403  14.995562   0.000000  60.203062   0.000000  54.884276 138.194568 103.716483 185.666658  35.506127  47.632595  32.429912  17.992834 102.816420   0.000000   3.001820  43.686697   7.168688 346.658940   5.050367  44.869768 143.925627  97.742412 105.778249   1.284802  14.673045  16.451481  17.433890  75.644467  18.459322  86.384211   0.000000   2.422636 356.160943  34.359126   7.618957  46.918927   4.342628   5.549886  13.299119  72.844419  60.717571  10.895326  39.947176  44.969832  31.806082  98.285049 115.308657 112.184424  65.072647  69.657623  57.426132 208.357519  19.756974   8.172797  28.848441  16.809792   6.921786  24.589160   0.000000
390.506072 325.906807   6.379348  22.983247 150.721159  49.007632 106.491548  21.621860 722.045045  48.203765 264.010337  21.641277 227.644078 142.293179   4.475186  29.487995   0.000000  59.952088 333.958552 172.585910   7.301495 387.840460  11.570757   1.573328  57.162654 189.997518  42.677825   2.308600   2.049212 732.755573 244.603874 229.939210  19.541756 350.862925 416.967645  81.088559 125.659101 195.950593 130.989585   2.122711  16.630009  80.484630  19.213349  52.766702  18.699694 163.191041 187.748863  72.945044   5.576078 112.268668 155.513680  40.899660   9.869899 137.332757 237.130650 285.589654 414.100255 112.918103  47.725713  97.206519 164.592753  79.585192 167.204648   8.334763 121.813577  55.285766  12.542922  83.945073  10.010276  98.075553  93.304591   1.857885   2.162245 632.971910  50.374912 140.428348 193.098504  27.182568  43.815275   7.228462  17.751195  65.527258  56.959953  50.603220   1.319553  78.674469 229.786003 966.608798  51.253323   8.104525 256.227334 127.550071  18.886032  30.607229  20.950503 115.585453   0.000000  84.635175  84.258262  29.772756 401.879626  51.296215  98.940443  48.803846   9.300077 179.160958 358.443735 226.101983  78.357523  28.302221  72.715023   0.348121  32.039670   2.334952  21.544095   0.414310   7.167612 313.338567 358.916824  59.273742 129.392807 173.231456   3.089686  10.358267  33.472113   3.781614  36.049634  63.753251   7.276410 133.516573   0.261408   0.000000   0.025933   1.831307  31.942317 148.838031  69.584474   9.690473  61.356807 147.920390  79.914655  73.247772   0.240872  50.607592 243.002594  93.983031  46.514289   0.405639 161.013664  16.715278  72.503271  25.926172  14.991381  99.033715  28.784505  29.076105 229.344810  90.066308  88.633854  74.787748  30.432215   4.352713  15.797744   1.727533  60.155028   0.000000  65.268060 136.257808 103.596356 220.793704  35.260417  48.152296  32.638361  18.013674 103.052673   0.000000   3.012250  43.787544   7.368259 369.161254   5.948477  46.379330 146.737533  98.512091 109.678393   1.294919  12.299340  19.067257  17.517282  77.623063  18.192710  82.534996   0.000000   2.477730 524.972996  34.628698   7.854050  46.443020   5.177837   6.599892  13.268508  68.273735  61.422471  22.906826  41.447554  46.874103  32.923055  94.853569 108.459456 114.414322  65.009159  69.689624  57.426132 210.328458  20.711498   8.058257  28.138151  17.059368   6.793321  24.345795   0.000000
