Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
 -956.070329    86.403117     1.038083   -28.776486    96.942204    22.506748     3.637209    12.891646   693.314631    25.686803   252.298106    20.813268   287.862840   110.475349  -178.690091   -12.530501  -523.822415  -361.716226  -583.260348   191.580587  -367.307152   439.429282  -474.018972  -183.249025    -1.536895   158.387640    -6.948543   -18.603388    -1.477364   462.423486   135.846914   215.926287    13.745334   361.776267   295.632428    67.982691   110.415502   163.716061  -113.280460 -1663.514848  -164.176341    26.817587     5.402633    43.834303     9.298704   107.628951   418.351363    85.932610     1.935217    94.867226   123.061454  -164.122844     7.223148   127.395383   135.690055   155.204807   254.427893    42.540841    37.897206   104.479062   134.198104    31.185304   128.479298   -26.677700    51.092742   -30.834001     4.385845    72.325913     3.748285    66.250939    27.087659   -12.321153  -361.850505   168.208344    46.583025   212.549516   220.781404    20.284372    15.309583    -5.154928   -56.178879    50.195369    41.704301    24.974304   -10.859278    60.361015  -501.040087  1016.750670   -79.409302  -207.571887  -690.223145   174.892227     1.595127   -59.553499    10.809463  -274.073356  -181.098940    80.136151   -11.675033    27.884507   420.229288    35.609990    83.660775  -137.541112  -194.146430    58.304584   343.336668    26.653482   -71.975813  -178.438074    32.317775  -250.241915   -36.170253  -322.112881   -99.579853    -3.683855   191.002404   159.109607   304.993776    -5.332115    78.649684   157.504982   -66.065770   -91.108604    20.968096   -97.723429  -157.066992    62.107807     5.199077   105.843645    -7.007919  -600.000000    -0.702266   -22.171153    17.338871   141.847784    61.177887   -55.354017   -20.680380   125.888336    61.316786    46.310403  -158.078151   -43.788663  -125.217353   -25.868893   -23.384072    -6.099871   119.357454   -10.804123    12.213230    11.968513  -125.632176  -214.273864    18.024049   -39.227615   198.000000    69.489204    69.666876    60.692005    13.469346   -62.225640     3.638908   -44.880170    77.754261   -49.566287    39.611597   135.339447   -31.620586   176.349372    -4.090629    31.576102    27.035038     5.979696    67.297149  -173.991673  -157.823467    18.539053   -79.585531   436.839584   -16.405167   -54.857853     0.000000    91.041070    42.447011    -3.537053    -1.303944   -61.181946    11.861060   -12.531136   -34.618616    73.929894  -113.718725   -12.407581   245.653837     4.786260    -0.298882    15.253477   -17.114166  -237.429904  -236.543997    52.851679    39.705846  -288.297831   -11.507546    32.579885    -8.409475    59.797969    18.559555    76.733040    82.538745    60.143396    52.977566   181.637898    -4.673117     1.181217     0.688207    -1.494001     5.035543    15.852581  -976.109607
 -947.422174    82.522309     1.074942   -30.247068    96.919544    22.851838     3.643460    12.630126   672.988632    18.565558   252.418706    20.814968   287.708564    76.711461  -182.356946   -13.467379  -530.363975  -362.110864  -571.251984   191.221086  -371.923699   438.692387  -485.466105  -179.681091    -2.326642   156.317459    -7.284324   -18.584871    -1.466183   427.141852   133.033322   214.344964    12.399554   355.063628   203.366731    67.440863   105.154423   161.864860  -127.496456 -1758.708415  -162.510808    27.528383     5.574629    44.087269     9.186536   107.374210   418.254689    85.538867     0.526950    93.703161   120.570457  -164.108615     7.243604   126.167253   133.909612   139.876763   249.134714    42.297257    37.440554   105.065670   134.340799    31.533078   123.713662   -26.213422    50.330509   -30.331979     4.230319    70.864792     3.479001    63.930287    23.523537   -13.051265  -381.218865   146.315246    47.373626   212.455317   208.684121    20.210845    14.544403    -5.107136   -55.788664    50.294037    40.251306    25.129747   -10.810753    60.409251  -505.389772  1025.629463   -76.906848  -202.825232  -667.855090   174.926700     1.770038   -58.658457    10.968275  -291.861622  -189.406339    79.917926   -16.521842    28.003147   407.363655    35.473244    83.022016  -145.347190  -204.217772    52.975809   339.577886    22.759175   -74.968319  -176.703492    32.824083  -264.186285   -39.964501  -338.380071  -105.512044    -4.229809   497.677042   157.317987   302.629439   -28.199094    79.050468   157.253647   -69.915419   -72.713642    20.630632  -103.107846  -157.023910    62.116494     5.212186   105.306925    -6.983587  -600.000000    -0.700349   -23.566686    17.476958   142.994017    60.452010   -54.761823   -22.333865   124.201666    59.405364    45.142342  -166.743690   -45.642739  -132.386313   -28.196762   -27.454888    -6.410257   117.247223   -10.588993    12.783844    12.071909  -122.863029  -210.532331    17.818139   -38.524104   198.000000    68.532849    68.954458    60.088944    11.256255   -61.695807     3.730273   -44.497981    73.743064   -50.360196    38.001021   130.163640   -35.258286   170.007777    -4.053378    31.687331    27.076970     5.459561    65.599005  -181.736960  -164.766251    17.342433   -83.731845   436.775224   -16.190857   -56.081783    -0.000000    90.670642    38.333104    -3.778467     6.321849   -60.765869    11.880853   -13.437270   -35.714837    89.111210  -115.678331   -13.191671   239.382398     3.072587    -0.691336    16.003919   -16.934576  -232.434644  -231.205523    52.306856    39.871686  -285.297599   -11.115247    32.612377    -8.155768    58.266418    11.137606    77.145101    82.193370    51.694516    50.333145   180.323121    -4.479276     1.012568     0.473828    -3.848752     3.851415    15.885742  -978.261603
 -958.160439    84.542709     1.080624   -29.769774    94.637620    21.859184     6.793877    12.727032   560.630406    18.554817   253.435968    20.844239   287.775293    68.769311  -182.238080   -14.926488  -529.226568  -362.002305  -565.376398   190.564348  -371.005369   437.257418  -481.622617  -168.129064    -0.121336   155.638107    -7.267204   -17.291314    -1.490121   347.584080   128.146478   211.751069    11.526737   341.829609   194.580424    66.660859    96.975654   159.848291  -116.831981 -1679.780073  -150.805684    31.818291     3.753172    34.807589     9.461010    89.011771   416.072890    59.829416     0.271975    64.715717   120.695524  -166.871323     7.322970   125.532528   134.673038   121.222272   221.741419    42.393366    37.699456   102.535189   126.612758    30.668428   114.930168   -24.353625    40.001738   -24.779503     4.286224    49.294131     3.598440    40.125472    26.138376   -12.523635  -364.940676   151.083873    50.036768   222.488753   184.498039    20.064259    12.454216    -4.647934   -52.984161    45.236557    39.539690    21.737167   -10.095309    57.245916  -503.842893   979.118840   -72.429767  -189.484500  -614.128307   171.854652     2.944309   -52.840127    11.668496  -278.994400  -182.862289    79.956415   -14.047182    28.189908   372.227328    35.529721    82.070030  -140.032158  -195.868254    46.620052   333.270062    24.566558   -72.974701  -164.466624    31.958808  -252.635755   -37.885227  -325.077062  -101.690386    -4.061583   638.807442   151.802335   299.231437   -28.493499    81.690908   141.873166   -67.089726   -93.466663    20.738147   -99.864135  -156.843456    59.807130     5.160268   105.485876    -6.484864  -600.000000    -0.649635   -22.718323    18.402821   141.361642    64.729152   -50.473375   -21.455307   105.470470    56.276742    45.531574  -161.533639   -44.660378  -129.207324   -27.248169   -24.955365    -6.193901   118.678620    -9.670627    16.355186    11.570459  -114.352543  -194.490644    17.913499   -34.066592   198.000000    68.970680    69.349334    60.394083     4.427520   -57.409803     4.098439   -41.443860    65.908595   -50.196155    34.938703   128.767044   -33.709588   157.020432    -2.265561    29.791100    27.444692     5.223804    66.353908  -175.981104  -159.995114    18.082636   -80.524392   435.266725   -14.699957   -66.791825    -0.000000    90.707041    37.928805    -3.686800    -2.000530   -55.729738    10.762209   -13.122217   -35.869561    73.164011  -115.307548   -12.681055   243.614620     3.951552    -0.453222    15.192183   -15.743405  -217.916526  -216.368606    52.533374    37.877839  -265.951523    -9.985994    32.893362    -6.269942    57.781196    16.184496    76.051720    81.121673    51.758583    30.172678   180.663616    -2.819550     1.366481     1.690354    -3.120877     1.316664    13.712481  -993.683783
 -965.139491    88.096777     1.187047   -27.366797    97.669186    20.588782     7.330685    13.144453   517.524181    16.426165   254.337764    20.919203   287.972071    57.128153  -175.663028   -10.810140  -510.523034  -360.981931  -568.273405   182.493671  -357.300381   422.677997  -464.990710  -161.515405     2.284643   154.100063    -6.173758   -16.909562    -1.505638   347.785141   131.163671   165.713254    10.910130   295.734835   174.646753    66.391657    95.975114   160.938282  -102.803065 -1579.525693  -148.218899    32.443683     2.105213    31.845164     8.300652    73.183562   374.688457    59.254605     0.090780    55.269883   120.910581  -166.827462     7.387113   125.803859   136.345421   121.698868   212.638203    42.755794    38.098183   102.651833   126.891745    31.273180   108.447180   -23.486302    37.886979   -23.760862     4.531525    42.216812     3.883220    32.927907    29.622949   -11.753352  -344.170678   166.838504    50.075136   222.594294   184.312989    20.467764    11.159092    -4.896240   -51.565603    45.502187    40.377464    22.199821    -9.857050    54.405367  -499.696600   966.242433   -65.544456  -180.890816  -574.423128   171.932121     3.005120   -51.541899    11.953940  -261.278739  -174.068223    79.756547    -9.705263    23.740756   377.579580    35.728342    81.189869  -131.947394  -184.984363    41.736104   265.428359    28.344017   -69.858865  -160.699487    25.202860  -238.005605   -34.492805  -307.939144   -96.006832    -3.615144   640.174085   155.282380   294.219778   -28.752552    74.205303   137.576858   -63.162256   -86.650880    21.302154   -94.547405  -157.100574    59.831819     5.200346   105.982200    -6.329258  -600.000000    -0.633378   -21.427396    18.567760   140.777839    66.319133   -49.511470   -19.864971    92.972192    50.354746    46.553356  -153.058562   -42.810908  -122.294614   -25.022189   -21.369874    -5.858876   120.449726    -9.161312    17.559251    11.855609  -111.777250  -189.353317    18.112820   -37.021591   198.000000    68.000368    70.141899    58.063699    -0.000000   -56.095136     4.632390   -40.410636    62.581500   -48.294104    34.789052   129.047467   -28.958569   155.016135    -1.116724    30.040855    27.554754     5.575771    67.698291  -167.895026  -152.899017    19.156900   -79.863120   419.194231   -14.439674   -68.621901     0.000000    90.422805    10.447193    -3.454376    -1.036030   -54.439612    10.111460   -11.345500   -34.752317    73.649125  -111.020969   -11.960524   248.850043     5.302064    -0.195198    13.833866   -15.362736  -209.292619  -208.273145    53.305017    38.170799  -261.290934    -9.034333    32.968368    -5.799287    49.216490    -3.963225    76.164411    81.117643    52.038208    24.220282   180.570237    -3.028977     1.637769     1.195708    -3.513961     3.535327    12.880477 -1005.120943
 -968.724399    83.874260     1.200677   -26.892293    97.553489    20.336920     6.188880    13.213903   517.593078    16.511125   254.382171    20.921339   287.978035    57.211101  -173.873955   -13.310878  -502.565110  -360.576455  -559.818159   177.062195  -351.423857   407.049712  -463.650141  -160.726935     2.526630   154.215682    -5.957664   -16.891604    -1.500595   347.808144   133.791928   212.141316    10.939985   295.739167   174.657815    66.407609    96.583395   161.125766  -102.534923 -1577.788365  -146.477265    32.528821     1.952875    32.173449     8.319199    73.284306   359.185095    56.390317     0.103679    55.285985   120.951808  -166.821860     7.392552   125.823468   134.896329   130.250184   212.672681    42.806370    38.115516    96.243816   126.978081    31.522173   108.521833   -23.332317    36.432032   -24.096751     4.579090    42.234149     3.906192    32.591156    29.729184   -11.726020  -343.801264   166.866508    50.075786   222.593641   184.408933    19.645576    11.479449    -4.876824   -50.786244    46.318441    42.621864    22.815096    -9.824609    57.490104  -500.412569   945.532592   -66.177881  -180.038086  -571.076388   156.595121     2.938256   -51.338349     8.896287  -261.353544  -174.177762    79.770216    -9.533802    23.853743   361.113534    35.751093    81.199715  -132.078730  -184.826314    41.763241   284.615013    28.191114   -69.931146  -160.826546    25.435221  -237.803070   -34.392503  -307.903405   -96.035206    -3.616449   640.668281   155.232342   294.249318   -28.884182    82.118989   141.257229   -63.052220   -85.378089    21.430283   -94.353458  -157.076911    59.834416     5.204546   105.964946    -6.320528  -600.000000    -0.632810   -21.411053    18.617038   140.433057    65.250385   -48.933467   -19.908236    93.050795    50.376859    46.624751  -152.783158   -42.869699  -122.609988   -25.132064   -21.302084    -5.844343   120.506604    -9.033999    17.448682    11.889308  -111.043902  -191.523087    18.097921   -36.614518   198.000000    68.046215    70.194862    56.260586    -0.000000   -55.870795     4.368780   -40.280637    61.698282   -47.555762    34.867225   129.069702   -28.919875   155.064203    -2.069542    30.094353    27.572768     5.413251    67.704714  -168.032746  -153.056603    19.144082   -79.878162   407.617992   -14.399122   -67.832727     0.000000    90.436973    10.487343    -3.446013    -0.607481   -54.524915    10.120531   -10.783203   -34.346161    74.415272  -109.442417   -11.930519   248.899034     5.333679    -0.174918    13.778823   -15.227511  -208.077813  -207.356843    53.403847    38.342039  -259.244184    -8.742307    32.995881    -5.492799    46.759275   -10.255034    77.853754    81.116217    51.243906    22.279493   180.536924    -2.267188     1.662265     0.611138    -3.452547     1.379010    12.889268 -1005.226147
 -961.207491    80.086946     1.179896   -27.349129    97.385887    22.513549     5.576146    13.135424   540.162937    16.301503   254.386592    20.914955   287.952358    61.197947  -175.179121   -10.835883  -507.378004  -360.842847  -565.159709   180.511369  -355.056248   418.472398  -466.557750  -162.515317     1.835499   153.910633    -6.383166   -16.830961    -1.413263   347.775015   133.683300   212.077719    10.884432   295.725201   174.610566    66.379669    96.548121   162.076828  -106.242187 -1606.136182  -148.483227    32.334238     4.066123    31.789598     8.277462    74.013454   369.517460    58.665602     0.074877    58.465027   120.895391  -166.829986     7.479173   127.099135   133.595331   130.151079   216.618429    42.741083    38.026216    92.028716   126.868135    29.534719   110.113127   -23.665314    47.700783   -24.834305     4.531929    42.209287     3.853948    32.812796    28.793803   -11.921073  -349.688131   166.900679    50.070784   222.581681   184.296007    18.931943    12.670486    -4.410075   -51.613262    45.488615    38.177594    22.179552    -9.849091    57.464197  -501.167911   963.379068   -66.331270  -182.525078  -580.361251   171.927286     3.111715   -52.224151    11.922564  -265.574842  -176.393681    79.735023   -10.417315    28.292879   375.129207    35.716968    81.170529  -133.878282  -187.858482    41.424566   284.513441    27.720679   -70.558091  -163.098396    25.052379  -241.907967   -35.058926  -312.568498   -97.220653    -3.650628   640.644879   154.071957   294.126742   -29.504452    83.206081   137.560205   -64.067372   -86.367241    21.318342   -95.499349  -156.761248    60.100641     5.197586   105.907065    -6.330860  -600.000000    -0.633443   -21.677449    18.614675   140.217821    66.103728   -49.586563   -20.196096    97.073250    50.314010    46.450263  -154.588159   -43.143738  -123.357362   -25.336965   -22.106155    -5.924896   120.006821    -9.201306    16.514380    13.164302  -112.294771  -195.841190    18.079353   -32.968232   198.000000    67.897039    70.037820    59.707788    -0.000000   -56.192039     4.692982   -40.491579    63.219498   -48.020513    34.720868   129.005322   -29.484874   154.980394    -2.979073    30.022375    27.547857     5.473015    67.362624  -169.924716  -154.572988    18.856680   -80.895329   414.227143   -14.403966   -68.724430     0.000000    90.385676     9.739091    -3.477605    -0.534675   -54.530105    10.588073   -11.202160   -35.066115    74.684628  -110.425157   -12.116387   247.518209     5.069237    -0.267749    14.136231   -15.395329  -210.430500  -209.914926    53.272147    35.177099  -262.108572    -9.110011    32.961077    -5.859853    45.571022   -13.415648    75.695359    81.200281    52.198487    25.035795   180.418543    -2.393069     1.590935     0.178661    -3.076905     2.903799    13.338529 -1002.849370
 -950.881882    74.140459     1.449024   -28.462189    94.629579    19.722313     2.725935    12.932065   573.542316    18.589422   253.695296    20.873074   287.871030    73.229642  -178.122037   -13.308602  -516.467633  -361.321579  -575.055176   185.858039  -361.959392   428.034678  -473.992790  -167.785061     0.487393   155.676341    -5.817742   -16.886277    -1.235488   392.166281   133.439102   213.270621    11.711018   341.870574   194.677645    67.147818    98.864535   161.581210  -115.886029 -1681.667403  -151.159217    31.359825     6.705770    37.679499     9.515985   105.686820   411.769225    58.973336     0.645567    80.461568   127.561538  -163.947852     7.450180   126.970699   131.508545   138.374111   237.043236    42.565111    37.818297    82.734507   126.625168    30.791334   119.907051   -24.301029    48.641359   -27.076998     4.416270    70.973567     3.733351    64.683997    26.413062   -12.428496  -365.535745   167.147976    49.054512   222.541751   184.515511    17.749064    12.828369    -4.202756   -51.594444    45.329345    38.518719    22.471295    -9.844649    60.465162  -502.940817   990.677106   -70.111035  -190.321152  -617.151032   173.637808     2.900512   -54.115423    11.934297  -277.193384  -182.622273    80.040279   -12.188218    28.192515   387.027215    35.618623    82.630662  -138.888687  -196.012200    46.838274   333.407907    26.244992   -72.416056  -168.415886    34.791860  -252.928531   -36.601914  -325.224702  -100.487789    -3.722229   493.884321   153.682200   301.235715   -27.378302    82.558369   141.370716   -66.679144   -88.554844    21.058422   -98.346726  -156.744090    62.195972     5.178495   105.736283    -6.355896  -600.000000    -0.634994   -22.365035    18.519192   139.749766    61.815338   -50.473070   -21.002204   123.487928    57.186830    46.185482  -159.122214   -43.989797  -125.881598   -26.060165   -23.999640    -6.138919   118.856618    -8.674113    14.870919    13.009981  -113.652079  -205.539396    17.997253   -33.900980   198.000000    69.303605    69.623063    60.672949     5.775752   -56.734496     4.550725   -41.063073    69.239243   -48.924271    37.069638   128.805842   -31.421358   164.118481    -4.435884    32.632187    27.481953     5.500713    66.752586  -175.338572  -158.944556    18.196779   -80.568440   424.653169   -14.719651   -65.763588     0.000000    90.917918    38.421858    -3.552530    -0.152903   -55.237084    12.013116   -12.080792   -35.599098    76.040710  -112.299985   -12.510778   244.211052     4.556725    -0.349409    15.239984   -15.693125  -217.048675  -217.037818    52.894293    37.885156  -267.089820    -9.698664    32.913870    -6.275511    45.123578   -17.005612    76.463330    81.161883    51.809892    41.011213   181.354066    -2.658609     1.368438     0.068284    -2.571144     2.781563    13.966554  -991.324665
 -949.043810    73.147606     1.351688   -29.606881    95.372870    23.300411    -2.411500    12.745775   704.372466    26.263028   252.907031    20.843426   287.834385   112.504380  -180.511840    -9.372869  -532.694852  -362.148344  -573.008802   193.030626  -373.874143   442.296266  -478.722973  -178.362078    -0.209734   161.919943    -5.855189   -17.721235    -1.332280   500.807298   138.172872   217.170076    13.677704   361.753818   368.772515    69.213329   115.446761   164.578263  -121.781770 -1727.379054  -163.024809    26.064770     5.884319    44.059185    10.031864   108.576363   420.485599    97.470286     1.968147    96.568026   136.489540  -161.161806     7.405618   127.744248   131.161017   163.475557   277.971856    42.417676    37.704010    80.002634   129.992611    30.085676   150.426308   -25.811518    43.642285   -32.511396     4.298624    72.956017     3.634800    66.628316    24.940800   -12.748728  -374.939877   167.287165    45.752332   212.534882   227.008083    17.280023    15.392403    -4.741102   -54.102689    50.521179    41.958483    25.563623   -10.428526    62.972134  -503.183419  1016.914700   -73.985198  -203.035006  -672.004156   174.968076     1.706913   -59.938990    10.976216  -283.410588  -185.825856    80.062446   -13.685552    28.008819   426.209028    35.544459    84.115934  -141.152856  -200.734991   114.250240   343.138459    25.846338   -73.236726  -179.319068    33.060603  -259.450165   -37.718575  -332.281788  -102.224516    -3.771834   148.651631   156.829592   310.411635     0.618852    88.644345   153.907437   -68.336228   -90.539999    20.766195  -100.296604  -156.991484    62.768522     5.556429   105.757492    -6.724156  -600.000000    -0.670718   -22.787577    17.704524   139.227126    62.653257   -54.477785   -21.185966   126.441551    61.991930    45.868781  -162.131955   -44.292374  -126.433870   -26.175070   -25.266504    -6.274102   118.161412    -9.819792    11.382972    13.649976  -121.780893  -226.453309    17.978080   -38.537591   198.000000    69.103180    69.331236    60.418542    18.525213   -60.718681     4.278195   -43.655478    80.271496   -50.399968    40.014759   135.583234   -32.083597   176.609222    -6.482997    31.810664    27.162539     5.810764    66.612064  -177.978875  -161.007606    17.941892   -82.017775   440.127625   -16.269226   -55.484305    -0.000000    90.981550    42.074274    -3.605660    -0.177849   -59.564141    11.983061   -13.221443   -36.631928    76.197806  -115.518689   -12.818090   242.318715     4.147762    -0.501523    16.801694   -17.006425  -231.083458  -232.008437    52.600000    39.895164  -287.128744   -12.735618    32.714831    -8.102078    43.680882   -28.385601    76.685171    82.519300    64.006455    53.456968   181.262591    -2.792362     1.365645    -1.815686    -0.721896     4.898989    16.363555  -969.376432
 -950.557499    71.204819     1.487007   -30.735077    95.341933    21.957066    -0.652592    12.564408   694.271221    26.803106   253.228868    20.851030   274.716543   113.350997  -185.102925    -2.712246  -550.644037  -362.987760  -542.803191   192.352181  -386.915155   443.135568  -488.452704  -173.979089     1.086632   160.007548    -6.167452   -17.744133    -1.252313   667.379204   140.345738   218.326477    13.471821   376.799367   426.816368    73.689864   120.935540   165.048872  -127.319633 -1770.715606  -164.241000    25.256988     5.704745    44.589781    10.157267   110.162951   421.461774    99.231693     1.954572    97.371653   141.723836  -161.171230     7.502202   131.453855   130.470417   173.510492   375.017813    42.273255    37.525197    71.461842   127.781887    31.241564   124.240180   -25.033304    45.464532   -30.099881     4.183957    73.580882     3.525950    67.047590    23.433282   -13.063335  -384.239740   167.557270    44.688851   212.491826   226.841931    15.854015    15.513252    -4.141409   -54.344596    50.557274    43.887334    25.554176   -10.453729    66.688763  -504.333767  1014.170539   -72.415851  -198.841930  -655.523787   174.939515     1.574520   -61.498168    10.909619  -256.053691  -189.645302    80.045218   -15.138691    27.996036   429.649980    35.473199    85.615019  -144.173667  -205.671876   144.442599   349.514788    24.698239   -74.480441  -174.390051    33.620344  -265.784590   -38.737765  -339.785969   -97.763741    -3.704580   -29.572929   154.917403   330.305284     0.448659    87.341554   160.896162   -69.890527   -93.661503    20.473338  -102.097654  -156.941972    62.805281     5.547722   105.631527    -6.735400  -600.000000    -0.671360   -23.186036    18.060604   139.003688    69.796052   -55.292639   -21.792448   126.980473    62.188568    45.563931  -164.882618   -44.919369  -128.459257   -26.783178   -26.477380    -6.413294   117.284361    -9.969438    10.072337    13.579421  -118.507725  -234.943167    17.912313   -39.097066   198.000000    68.778716    69.052761    60.175774    27.019934   -61.131338     4.592713   -43.917432    86.895459   -51.985013    40.167766   134.678329   -34.522088   176.833499    -8.267546    34.524119    27.135595     5.624361    66.860074  -181.350561  -163.887954    17.529244   -83.902891   439.764562   -16.428175   -52.759675     0.000000    90.899982    42.000406    -3.654690    -0.670467   -59.662401    13.564236   -14.480237   -38.314331    75.462150  -119.008503   -13.110734   240.085994     3.744684    -0.650959    17.095245   -16.920453  -225.782695  -226.560497    52.307211    39.782133  -289.430322   -10.791939    32.626356    -8.297717    42.117619   -27.582674    77.681768    83.129971    75.778017    53.924060   180.986967    -4.353315     1.235546    -1.175453    -0.471986     3.290642    17.046586  -954.890780
 -939.872942    69.368874     1.721228   -31.778917    91.298015    21.408505    -5.659001    12.390185   705.225408    27.148607   245.896601    20.761866   262.696764   119.979457  -189.527856   -15.178639  -565.948156  -363.734625  -505.806601   191.762689  -398.047833   440.651675  -498.686998  -177.027833    -2.277768   159.488796     1.130649   -16.539492    -1.162762   647.219247   144.834466   218.123561    13.242927   379.389184   430.842998    77.197951   137.472302   164.347406  -135.591139 -1839.726353  -158.527412    27.127012     6.280003    44.810326    14.161479   146.744389   419.136667    85.055205     2.152975   102.704580   150.467982  -161.070717     7.478743   128.029031   129.803730   252.164378   385.302371    42.118214    37.368395    64.990682   126.087401    30.834576   153.033959   -24.289024    42.296298   -32.215936     4.067005    80.989392     3.447704    74.981932    21.329398   -13.542544  -399.767985   168.089630    41.596028   199.787995   206.748483    15.101089    15.131967    -4.205334   -52.142928    50.954441    41.040411    26.011221    -9.806451    61.280960  -505.799998  1052.441058   -76.417792  -203.281522  -680.044760   175.118303     2.165904   -58.882720    11.475246  -257.702836  -195.871789    80.635303   -16.084266    28.385064   441.448059    35.389814    91.291259  -149.119338  -213.740958   146.894650   355.799052    23.034445   -76.425972  -178.871041    32.906365  -276.068509   -39.843335  -351.377761   -99.130493    -3.762539  -152.028127   207.941356   345.870130     1.658087    83.692066   154.182969   -72.254691  -103.579782    20.203921  -104.489856  -156.829077    62.794227     5.634707   105.463334    -6.321236  -600.000000    -0.627426   -23.792642    18.109996   136.822664    58.316499   -53.104508   -22.701438   126.597666    72.863737    45.646533  -168.761779   -45.860175  -131.398910   -27.645476   -27.899391    -6.619115   116.432707    -8.856624    11.577494    14.173883  -120.790585  -229.350994    17.825379   -36.603681   198.000000    71.184927    72.750423    59.867486    27.456297   -58.285379     5.094201   -41.756989    89.713786   -53.335874    50.480850   126.534125   -37.420766   211.800963    -7.412715    32.276660    27.381247     5.377296    66.814619  -186.817972  -168.496076    17.248710   -86.718224   438.220650   -15.701664   -57.797313     0.000000    91.934929    46.337686    -3.693369    -3.208528   -56.404878    11.985752   -15.647266   -39.970498    71.666882  -121.985861   -13.412813   424.735397     3.515394    -0.533763    18.554820   -16.326291  -228.662081  -230.807746    51.940268    40.159865  -280.070845   -10.888026    32.798750    -7.288842    36.916594   -37.480780    77.704452    84.041890    80.763172    54.363435   183.070035    -3.325544     0.884818    -2.221537    -0.512989     4.306610    15.687589  -950.984136
