Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
0.999999 0.999999 1.000000 1.000049 1.000058 0.999998 0.999889 0.999999 0.999997 1.000092 1.000084 0.999940 0.999999 0.999999 0.999894 0.999999 0.998618 0.999999 0.998907 0.999999 0.999128 0.999999 0.999999 0.999784 0.999997 0.999997 0.999968 0.999890 0.999948 0.999999 0.999999 0.999999 1.000000 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999394 0.999491 0.999994 0.999994 0.999994 0.999993 1.000009 0.999999 0.999999 0.999997 0.999999 0.999989 0.999995 1.000015 1.000086 0.999999 0.999999 0.999999 0.999999 0.999999 0.999984 0.999995 0.999964 0.999998 0.999900 0.999964 0.999997 0.999999 0.999999 1.000001 0.999999 0.999999 0.999986 0.999682 0.999999 0.999999 0.999999 0.999982 0.999991 0.999992 0.999946 0.999877 0.999993 0.999993 0.999993 0.999928 0.999992 0.999999 0.999999 0.999982 0.999861 0.999974 0.999994 0.999911 0.999994 1.000030 1.000000 0.999824 0.999993 0.999999 0.999994 0.999999 0.999999 0.999999 1.000000 0.999620 0.999999 0.999999 0.999999 0.999981 0.999998 0.999998 0.999755 0.999999 0.999702 1.000000 1.000000 1.000000 0.999999 0.999999 1.000000 0.999995 1.000037 0.999534 0.999999 0.999999 0.999728 0.999994 0.999970 1.000017 0.999999 0.999969 0.999707 0.999886 0.999766 1.000026 0.999991 0.999997 0.999699 0.999824 0.999997 0.999998 0.999998 0.999473 0.999725 0.999999 0.999999 0.999999 0.999975 0.999999 0.999763 0.999993 0.999913 0.999268 0.999994 0.999689 0.999986 0.999999 0.999999 0.999999 0.999999 0.999999 0.999692 0.999996 0.999768 1.000000 0.999202 0.999998 0.999997 1.000000 0.999998 0.999991 0.999995 0.999995 0.999763 1.000000 0.999414 0.999504 1.000000 0.999676 0.999999 0.999757 0.999693 0.999689 0.999999 1.000000 0.999952 0.999999 0.999992 0.999980 0.999999 0.999999 0.999999 0.998073 0.999722 1.000000 0.999999 0.999998 0.999999 0.999913 0.999837 0.999998 0.999999 0.999995 0.999216 0.999995 0.999995 0.999995 0.999997 0.999997 0.999994 1.000000 0.999999 0.999999 0.999999 0.999995 0.999930 0.999996 0.999989 0.999996 0.999991 0.998127
1.000000 1.000000 1.000012 1.000041 1.000048 0.999999 0.999909 1.000000 0.999999 1.000078 1.000086 0.999940 1.000000 1.000000 0.999897 1.000000 0.998738 1.000000 0.999008 1.000000 0.999206 1.000000 1.000000 0.999772 0.999999 0.999999 0.999968 0.999843 0.999933 1.000000 1.000000 1.000000 0.999999 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999384 0.999134 0.999997 0.999997 0.999997 0.999993 1.000014 1.000000 1.000000 0.999997 1.000000 0.999991 0.999998 1.000018 1.000089 1.000000 1.000000 1.000000 1.000000 1.000000 0.999986 0.999998 0.999967 0.999999 0.999883 0.999966 0.999998 1.000000 1.000000 1.000001 1.000000 1.000000 0.999988 0.999713 1.000000 1.000000 1.000000 0.999985 0.999996 0.999996 0.999926 0.999793 0.999997 0.999997 0.999996 0.999905 0.999996 1.000000 1.000000 0.999983 0.999838 0.999975 0.999997 0.999855 0.999997 1.000021 1.000000 0.999820 0.999991 1.000000 0.999997 1.000000 1.000000 1.000000 1.000000 0.999651 1.000000 1.000000 1.000000 0.999980 0.999999 0.999999 0.999811 1.000000 0.999749 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999998 1.000039 0.999555 1.000000 1.000000 0.999731 0.999997 0.999972 1.000032 1.000000 0.999960 0.999558 0.999838 0.999824 1.000012 0.999993 0.999998 0.999537 0.999821 0.999999 0.999999 0.999999 0.999440 0.999708 1.000000 1.000000 1.000000 0.999975 1.000000 0.999727 0.999997 0.999924 0.999446 0.999997 0.999701 0.999935 1.000000 1.000000 1.000000 1.000000 1.000000 0.999670 0.999998 0.999774 1.000000 0.999278 0.999999 0.999999 1.000000 0.999999 0.999996 0.999998 0.999998 0.999781 1.000000 0.999409 0.999495 1.000000 0.999660 1.000000 0.999616 0.999457 0.999455 0.999999 1.000000 0.999972 0.999999 0.999996 0.999973 1.000000 1.000000 1.000000 0.998264 0.999741 1.000000 1.000000 1.000016 1.000000 0.999933 0.999810 0.999999 1.000000 0.999997 0.998869 0.999998 0.999997 0.999997 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999998 0.999923 0.999998 1.000004 0.999999 0.999996 0.998891
1.000000 1.000000 1.000006 1.000033 1.000040 0.999999 0.999925 1.000000 0.999999 1.000078 1.000087 0.999940 1.000000 1.000000 0.999899 1.000000 0.998783 1.000000 0.999047 1.000000 0.999237 1.000000 1.000000 0.999781 0.999999 0.999999 0.999972 0.999841 0.999933 1.000000 1.000000 1.000000 1.000002 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999419 0.999005 0.999997 0.999997 0.999997 0.999993 1.000014 1.000000 1.000000 0.999997 1.000000 0.999994 0.999998 1.000010 1.000047 1.000000 1.000000 1.000000 1.000000 1.000000 0.999992 0.999998 0.999975 0.999999 0.999882 0.999981 0.999998 1.000000 1.000000 1.000001 1.000000 1.000000 0.999988 0.999746 1.000000 1.000000 1.000000 0.999988 0.999996 0.999996 0.999926 0.999781 0.999997 0.999997 0.999996 0.999905 0.999996 1.000000 1.000000 0.999990 0.999840 0.999975 0.999997 0.999840 0.999997 1.000018 1.000000 0.999830 0.999992 1.000000 0.999997 1.000000 1.000000 1.000000 1.000000 0.999704 1.000000 1.000000 1.000000 0.999980 0.999999 0.999999 0.999838 1.000000 0.999781 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999998 1.000029 0.999587 1.000000 1.000000 0.999745 0.999997 0.999984 1.000018 1.000000 0.999962 0.999494 0.999837 0.999852 1.000012 0.999993 0.999998 0.999474 0.999827 0.999999 0.999999 0.999999 0.999447 0.999715 1.000000 1.000000 1.000000 0.999976 1.000000 0.999732 0.999997 0.999938 0.999524 0.999997 0.999708 0.999930 1.000000 1.000000 1.000000 1.000000 1.000000 0.999683 0.999998 0.999792 1.000000 0.999304 0.999999 0.999999 1.000000 0.999999 0.999996 0.999998 0.999998 0.999785 1.000000 0.999429 0.999511 1.000000 0.999673 1.000000 0.999569 0.999363 0.999363 0.999999 1.000000 0.999980 0.999999 0.999996 0.999973 1.000000 1.000000 1.000000 0.998329 0.999756 1.000000 1.000000 1.000030 1.000000 0.999943 0.999808 0.999999 1.000000 0.999997 0.998830 0.999998 0.999997 0.999997 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999998 0.999927 0.999998 1.000021 1.000000 0.999996 0.999125
1.000000 1.000000 1.000006 1.000034 1.000040 0.999999 0.999924 1.000000 0.999999 1.000063 1.000087 0.999940 1.000000 1.000000 0.999904 1.000000 0.998823 1.000000 0.999078 1.000000 0.999263 1.000000 1.000000 0.999786 0.999999 0.999999 0.999971 0.999841 0.999935 1.000000 1.000000 1.000000 1.000002 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999457 0.998970 0.999997 0.999997 0.999997 0.999993 1.000014 1.000000 1.000000 0.999997 1.000000 0.999995 0.999998 1.000010 1.000046 1.000000 1.000000 1.000000 1.000000 1.000000 0.999992 0.999998 0.999974 0.999999 0.999882 0.999982 0.999999 1.000000 1.000000 1.000002 1.000000 1.000000 0.999989 0.999763 1.000000 1.000000 1.000000 0.999988 0.999996 0.999996 0.999924 0.999769 0.999997 0.999997 0.999997 0.999904 0.999996 1.000000 1.000000 0.999991 0.999841 0.999975 0.999997 0.999829 0.999997 1.000017 1.000000 0.999837 0.999992 1.000000 0.999997 1.000000 1.000000 1.000000 1.000000 0.999726 1.000000 1.000000 1.000000 0.999981 0.999999 0.999999 0.999854 1.000000 0.999802 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999998 1.000030 0.999616 1.000000 1.000000 0.999759 0.999997 0.999985 1.000016 1.000000 0.999963 0.999462 0.999838 0.999853 1.000009 0.999993 0.999998 0.999457 0.999840 0.999999 0.999999 0.999999 0.999468 0.999725 1.000000 1.000000 1.000000 0.999977 1.000000 0.999732 0.999997 0.999941 0.999567 0.999997 0.999727 0.999923 1.000000 1.000000 1.000000 1.000000 1.000000 0.999685 0.999998 0.999798 1.000000 0.999328 0.999999 0.999999 1.000000 0.999999 0.999996 0.999998 0.999998 0.999807 1.000000 0.999459 0.999535 1.000000 0.999678 1.000000 0.999547 0.999364 0.999365 0.999999 1.000000 0.999985 0.999999 0.999996 0.999971 1.000000 1.000000 1.000000 0.998392 0.999770 1.000000 1.000000 1.000031 1.000000 0.999947 0.999809 0.999999 1.000000 0.999998 0.998786 0.999998 0.999998 0.999998 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999998 0.999928 0.999998 1.000023 1.000001 0.999996 0.999227
1.000000 1.000000 1.000006 1.000034 1.000041 0.999999 0.999923 1.000000 0.999999 1.000065 1.000087 0.999940 1.000000 1.000000 0.999905 1.000000 0.998828 1.000000 0.999083 1.000000 0.999267 1.000000 1.000000 0.999787 0.999999 0.999999 0.999971 0.999841 0.999935 1.000000 1.000000 1.000000 1.000002 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999458 0.998949 0.999997 0.999997 0.999997 0.999993 1.000014 1.000000 1.000000 0.999997 1.000000 0.999995 0.999998 1.000010 1.000046 1.000000 1.000000 1.000000 1.000000 1.000000 0.999992 0.999998 0.999973 0.999999 0.999882 0.999981 0.999998 1.000000 1.000000 1.000002 1.000000 1.000000 0.999989 0.999763 1.000000 1.000000 1.000000 0.999988 0.999996 0.999996 0.999925 0.999769 0.999997 0.999997 0.999997 0.999905 0.999996 1.000000 1.000000 0.999991 0.999841 0.999975 0.999997 0.999829 0.999997 1.000017 1.000000 0.999837 0.999992 1.000000 0.999997 1.000000 1.000000 1.000000 1.000000 0.999726 1.000000 1.000000 1.000000 0.999981 0.999999 0.999999 0.999854 1.000000 0.999802 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999998 1.000031 0.999617 1.000000 1.000000 0.999759 0.999997 0.999985 1.000017 1.000000 0.999963 0.999461 0.999838 0.999853 1.000010 0.999993 0.999998 0.999446 0.999840 0.999999 0.999999 0.999999 0.999469 0.999724 1.000000 1.000000 1.000000 0.999977 1.000000 0.999733 0.999997 0.999941 0.999569 0.999997 0.999727 0.999924 1.000000 1.000000 1.000000 1.000000 1.000000 0.999687 0.999998 0.999798 1.000000 0.999327 0.999999 0.999999 1.000000 0.999999 0.999996 0.999998 0.999998 0.999807 1.000000 0.999459 0.999535 1.000000 0.999678 1.000000 0.999543 0.999330 0.999331 0.999999 1.000000 0.999985 0.999999 0.999996 0.999973 1.000000 1.000000 1.000000 0.998396 0.999771 1.000000 1.000000 1.000030 1.000000 0.999947 0.999810 0.999999 1.000000 0.999998 0.998792 0.999998 0.999997 0.999997 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999998 0.999928 0.999998 1.000024 1.000001 0.999996 0.999234
1.000000 1.000000 1.000007 1.000036 1.000043 0.999999 0.999919 1.000000 0.999999 1.000067 1.000087 0.999940 1.000000 1.000000 0.999904 1.000000 0.998812 1.000000 0.999070 1.000000 0.999257 1.000000 1.000000 0.999785 0.999999 0.999999 0.999971 0.999842 0.999935 1.000000 1.000000 1.000000 1.000001 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999448 0.998963 0.999997 0.999997 0.999997 0.999993 1.000014 1.000000 1.000000 0.999997 1.000000 0.999994 0.999998 1.000010 1.000046 1.000000 1.000000 1.000000 1.000000 1.000000 0.999992 0.999998 0.999972 0.999999 0.999882 0.999981 0.999998 1.000000 1.000000 1.000002 1.000000 1.000000 0.999988 0.999758 1.000000 1.000000 1.000000 0.999987 0.999996 0.999996 0.999927 0.999772 0.999997 0.999997 0.999997 0.999906 0.999996 1.000000 1.000000 0.999991 0.999840 0.999975 0.999997 0.999832 0.999997 1.000017 1.000000 0.999835 0.999992 1.000000 0.999997 1.000000 1.000000 1.000000 1.000000 0.999720 1.000000 1.000000 1.000000 0.999981 0.999999 0.999999 0.999849 1.000000 0.999797 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999998 1.000033 0.999610 1.000000 1.000000 0.999756 0.999997 0.999984 1.000017 1.000000 0.999963 0.999469 0.999839 0.999850 1.000010 0.999993 0.999998 0.999454 0.999837 0.999999 0.999999 0.999999 0.999464 0.999723 1.000000 1.000000 1.000000 0.999977 1.000000 0.999734 0.999997 0.999941 0.999558 0.999997 0.999723 0.999925 1.000000 1.000000 1.000000 1.000000 1.000000 0.999687 0.999998 0.999797 1.000000 0.999322 0.999999 0.999999 1.000000 0.999999 0.999996 0.999998 0.999998 0.999803 1.000000 0.999451 0.999529 1.000000 0.999674 1.000000 0.999550 0.999340 0.999341 0.999999 1.000000 0.999984 0.999999 0.999996 0.999974 1.000000 1.000000 1.000000 0.998379 0.999767 1.000000 1.000000 1.000031 1.000000 0.999946 0.999810 0.999999 1.000000 0.999998 0.998795 0.999998 0.999997 0.999997 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999998 0.999928 0.999998 1.000023 1.000001 0.999996 0.999204
1.000000 1.000000 1.000009 1.000040 1.000047 0.999999 0.999911 0.999999 0.999999 1.000085 1.000086 0.999941 1.000000 1.000000 0.999899 1.000000 0.998734 1.000000 0.999005 1.000000 0.999205 1.000000 1.000000 0.999788 0.999999 0.999999 0.999973 0.999859 0.999938 1.000000 1.000000 1.000000 1.000001 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999412 0.999162 0.999997 0.999997 0.999997 0.999992 1.000016 1.000000 1.000000 0.999997 1.000000 0.999993 0.999997 1.000014 1.000069 1.000000 1.000000 1.000000 1.000000 1.000000 0.999989 0.999997 0.999975 0.999999 0.999891 0.999973 0.999998 1.000000 1.000000 1.000001 1.000000 1.000000 0.999987 0.999722 1.000000 1.000000 1.000000 0.999989 0.999995 0.999995 0.999935 0.999820 0.999996 0.999996 0.999996 0.999916 0.999996 1.000000 1.000000 0.999987 0.999850 0.999975 0.999997 0.999863 0.999997 1.000023 1.000000 0.999827 0.999990 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999662 1.000000 1.000000 1.000000 0.999980 0.999999 0.999999 0.999809 1.000000 0.999754 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999997 1.000027 0.999573 1.000000 0.999999 0.999742 0.999997 0.999978 1.000025 1.000000 0.999964 0.999552 0.999855 0.999829 1.000019 0.999993 0.999998 0.999552 0.999827 0.999999 0.999999 0.999999 0.999459 0.999720 1.000000 1.000000 1.000000 0.999976 1.000000 0.999753 0.999996 0.999934 0.999458 0.999997 0.999706 0.999953 1.000000 1.000000 1.000000 1.000000 1.000000 0.999699 0.999998 0.999793 1.000000 0.999276 0.999999 0.999998 1.000000 0.999999 0.999995 0.999997 0.999998 0.999782 1.000000 0.999424 0.999509 1.000000 0.999674 1.000000 0.999632 0.999481 0.999479 0.999999 1.000000 0.999972 0.999999 0.999996 0.999977 1.000000 1.000000 1.000000 0.998260 0.999747 1.000000 1.000000 1.000021 0.999999 0.999936 0.999821 0.999999 1.000000 0.999997 0.998970 0.999997 0.999997 0.999997 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 0.999999 0.999997 0.999931 0.999998 1.000019 0.999999 0.999995 0.998807
1.000000 1.000000 1.000001 1.000056 1.000066 0.999999 0.999875 0.999999 0.999998 1.000097 1.000085 0.999940 1.000000 1.000000 0.999893 0.999999 0.998601 1.000000 0.998888 1.000000 0.999114 1.000000 1.000000 0.999793 0.999998 0.999998 0.999969 0.999907 0.999958 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999368 0.999550 0.999996 0.999995 0.999995 0.999994 1.000009 1.000000 0.999999 0.999998 1.000000 0.999989 0.999997 1.000023 1.000108 1.000000 1.000000 1.000000 0.999999 1.000000 0.999983 0.999996 0.999963 0.999998 0.999905 0.999958 0.999998 0.999999 1.000000 1.000001 1.000000 1.000000 0.999986 0.999664 1.000000 1.000000 1.000000 0.999983 0.999994 0.999994 0.999955 0.999899 0.999995 0.999995 0.999995 0.999937 0.999994 1.000000 1.000000 0.999979 0.999867 0.999974 0.999996 0.999928 0.999996 1.000034 1.000000 0.999821 0.999993 0.999999 0.999996 1.000000 0.999999 1.000000 1.000000 0.999609 1.000000 1.000000 1.000000 0.999981 0.999998 0.999999 0.999740 0.999999 0.999685 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999997 1.000042 0.999512 0.999999 0.999999 0.999718 0.999996 0.999965 1.000022 1.000000 0.999976 0.999721 0.999903 0.999752 1.000034 0.999992 0.999998 0.999738 0.999821 0.999998 0.999998 0.999999 0.999463 0.999721 1.000000 1.000000 0.999999 0.999975 1.000000 0.999778 0.999995 0.999912 0.999266 0.999995 0.999687 0.999999 1.000000 0.999999 0.999999 0.999999 0.999999 0.999706 0.999997 0.999774 1.000000 0.999195 0.999998 0.999998 1.000000 0.999998 0.999994 0.999997 0.999997 0.999756 1.000000 0.999403 0.999495 1.000000 0.999667 1.000000 0.999793 0.999738 0.999737 0.999999 1.000000 0.999950 0.999999 0.999994 0.999987 1.000000 0.999999 0.999999 0.998052 0.999714 1.000000 0.999999 0.999991 0.999999 0.999914 0.999846 0.999998 0.999999 0.999996 0.999274 0.999996 0.999996 0.999996 0.999998 0.999998 0.999996 1.000000 1.000000 1.000000 0.999999 0.999997 0.999934 0.999997 0.999995 0.999996 0.999994 0.998049
1.000000 1.000000 0.999982 1.000060 1.000071 0.999998 0.999865 0.999999 0.999998 1.000110 1.000084 0.999941 1.000000 0.999999 0.999888 0.999999 0.998522 0.999999 0.998811 0.999999 0.999052 0.999999 0.999999 0.999814 0.999998 0.999998 0.999971 0.999967 0.999989 1.000000 0.999999 0.999999 1.000003 1.000000 1.000000 0.999999 1.000000 0.999999 0.999999 0.999334 0.999836 0.999996 0.999996 0.999996 0.999999 0.999996 0.999999 0.999999 0.999998 0.999999 0.999990 0.999997 1.000018 1.000089 1.000000 0.999999 0.999999 0.999999 0.999999 0.999985 0.999996 0.999963 0.999998 0.999923 0.999964 0.999997 0.999999 0.999999 1.000000 0.999999 0.999999 0.999981 0.999625 1.000000 1.000000 1.000000 0.999983 0.999995 0.999995 0.999985 0.999967 0.999995 0.999995 0.999995 0.999968 0.999995 1.000000 1.000000 0.999982 0.999891 0.999974 0.999996 0.999985 0.999996 1.000044 1.000000 0.999815 1.000000 0.999999 0.999996 1.000000 0.999999 0.999999 1.000000 0.999586 1.000000 1.000000 1.000000 0.999980 0.999998 0.999998 0.999682 0.999999 0.999633 1.000000 1.000000 1.000000 0.999999 0.999999 1.000000 0.999997 1.000042 0.999461 0.999999 0.999999 0.999696 0.999996 0.999971 0.999992 1.000000 0.999998 0.999827 0.999967 0.999693 1.000053 0.999992 0.999999 0.999879 0.999813 0.999998 0.999998 0.999999 0.999459 0.999721 1.000000 1.000000 0.999999 0.999972 0.999999 0.999808 0.999995 0.999905 0.999141 0.999996 0.999667 1.000044 1.000000 0.999999 0.999999 0.999999 0.999999 0.999724 0.999997 0.999771 1.000000 0.999134 0.999998 0.999998 1.000000 0.999998 0.999995 0.999997 0.999997 0.999742 1.000000 0.999384 0.999482 1.000000 0.999659 0.999999 0.999921 0.999921 0.999920 0.999999 1.000000 0.999933 0.999999 0.999995 1.000006 0.999999 0.999999 0.999999 0.997900 0.999687 1.000000 0.999999 0.999968 0.999999 0.999901 0.999874 0.999998 0.999999 0.999996 0.999555 0.999996 0.999996 0.999996 0.999998 0.999998 0.999996 1.000000 1.000000 1.000000 0.999999 0.999997 0.999946 0.999997 0.999994 0.999993 0.999995 0.997538
1.000000 1.000000 0.999983 1.000073 1.000088 1.000002 0.999841 1.000000 1.000004 1.000123 1.000093 0.999950 0.999999 0.999999 0.999884 0.999999 0.998491 1.000000 0.998761 0.999999 0.999011 0.999999 1.000000 0.999831 1.000005 1.000005 0.999976 1.000090 1.000085 0.999999 0.999999 0.999999 1.000004 0.999999 0.999999 0.999999 0.999999 0.999999 1.000000 0.999296 1.000126 1.000029 1.000030 1.000031 1.000011 0.999982 0.999999 0.999999 0.999994 0.999999 1.000012 1.000018 1.000028 1.000084 1.000000 0.999999 0.999999 0.999999 0.999999 1.000007 1.000020 0.999994 1.000004 0.999937 0.999984 1.000009 0.999999 0.999999 0.999999 0.999999 1.000000 0.999980 0.999586 1.000000 0.999999 0.999999 1.000016 1.000058 1.000056 1.000071 1.000087 1.000038 1.000035 1.000041 1.000061 1.000048 1.000000 0.999999 0.999996 0.999914 0.999983 1.000029 1.000075 1.000032 1.000087 1.000000 0.999809 1.000011 1.000000 1.000030 0.999999 0.999999 0.999999 1.000000 0.999561 0.999999 0.999999 1.000000 0.999980 1.000005 1.000003 0.999630 1.000000 0.999585 1.000000 1.000000 1.000000 0.999999 0.999999 1.000000 1.000018 1.000065 0.999412 1.000000 0.999999 0.999675 1.000030 0.999991 0.999983 0.999999 1.000085 0.999926 1.000094 0.999643 1.000107 1.000001 1.000003 1.000046 0.999804 1.000004 1.000002 1.000001 0.999451 0.999720 1.000000 1.000000 1.000000 0.999969 0.999999 0.999870 1.000035 0.999923 0.999040 1.000032 0.999649 1.000128 0.999999 1.000000 1.000000 0.999999 0.999999 0.999779 1.000015 0.999802 1.000000 0.999091 1.000004 1.000006 1.000000 1.000003 1.000059 1.000018 1.000016 0.999727 1.000000 0.999368 0.999470 1.000000 0.999648 0.999999 1.000076 1.000125 1.000130 1.000000 1.000000 0.999922 1.000000 1.000051 1.000077 1.000000 0.999999 1.000000 0.997793 0.999663 1.000000 1.000000 0.999949 1.000000 0.999919 0.999899 1.000005 0.999999 1.000022 0.999870 1.000019 1.000023 1.000024 1.000005 1.000005 1.000028 0.999999 0.999999 0.999999 1.000000 1.000018 0.999959 1.000012 0.999990 0.999991 1.000060 0.997177
