NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
-35.926168  54.545269   8.022152  57.382047   7.120932   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-33.987376 100.413752   7.049533  55.722498   9.033106   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-31.546739 126.923281   6.275141  51.373281   8.328079   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-31.213509 116.183417   6.273016  49.808076   8.424994   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.243489 113.735530   6.509614  52.024039   8.555951   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-38.141285 117.783259   9.597374  55.374647   7.815348   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-44.524178 148.541769  12.676002  58.126128   6.155518   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-47.041856 206.123723  14.341775  59.953815   6.401146   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-47.354073 243.442072  13.918084  58.793698   6.332381   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-46.160624 364.191436  13.834996  59.976539   5.522501   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-46.817780 351.090852  13.769606  59.293297   5.915686   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-47.645079 356.451678  13.364448  56.425606   5.809170   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-47.368139 390.149825  12.806528  59.559540   5.724874   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-47.422095 400.359338  12.672141  58.589741   6.416897   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-46.728975 420.334472  12.593579  56.511275   6.639469   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-47.219045 406.387735  11.802113  58.597296   7.838091   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-45.898056 392.565361  11.150090  56.453051   8.856540   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-44.150274 385.599743  11.227288  56.226182   8.165486   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-43.780451 353.902522  10.680053  57.562739  11.234572   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-42.987140 321.105170  11.738362  57.881168  11.441244   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-42.721956 339.647124  11.823708  60.010396  11.398812   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-35.478892 204.929153  11.155845  56.835038   5.734771   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-39.886345 178.820944  12.250099  59.491485   6.310705   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-37.368883  75.326819  11.560890  54.234536   6.657083   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-35.073963  26.964036   9.628112  51.487531   8.219638   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-33.156588  23.674284  10.197909  51.637568   8.691699   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-31.683123  29.181906   8.560283  50.517748   8.067169   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-31.095700  23.968810   8.337962  46.483108   7.264118   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.141649  22.709304   9.533962  47.076329   6.198542   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-37.666937  23.791105  11.083735  52.678069   6.734324   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-44.980607  37.359705  13.447009  60.576440   6.440997   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-44.377235  45.604664  14.199572  64.799071   6.306274   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-43.293186  60.719200  14.448859  66.758352   7.427569   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-48.251565 189.858895  14.476861  64.598118   6.797815   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-48.323277 221.695544  13.895194  65.283963   6.590431   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-48.551428 245.580311  14.554061  63.810757   6.440415   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-48.096275 237.281087  14.362505  60.948337   7.478173   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-48.479213 235.617138  13.586138  59.862005   6.924950   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-48.417074 220.412237  13.165580  60.501059  10.349123   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-46.189134  65.511109  12.798011  58.394510   8.724650   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-45.823841  71.227515  13.135780  60.953748   5.827899   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-44.772334  84.334795  12.307308  59.840133   9.103856   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-44.275369  96.419545  12.380591  59.578072   7.629224   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-44.155982  68.761256  12.194066  59.278500   7.402800   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-40.871279  50.980162  11.109888  58.823845   9.705387   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-40.420088  68.058126  11.394355  54.899354   6.854647   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-39.590251  66.358841  11.194956  53.578939   7.012460   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-35.663967  46.544759  11.529648  48.193068   7.762380   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-34.104289  30.977234  10.786549  52.365093   8.583490   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-31.878144  26.140512   9.566674  51.609797   9.557649   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-30.336325  33.747592  10.812519  49.094649   7.190896   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-29.838708  30.285183   9.586065  48.398954   7.316239   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-29.669371  30.337831   9.913142  46.081586   6.884412   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-30.872449  31.353028   9.963081  47.225484   8.350288   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-32.895425  27.187554  10.970699  49.142154   9.772378   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-36.350277  28.281958  11.770536  53.944442   9.660484   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-39.519783  37.531913  12.767425  58.069040  10.334959   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-42.070539  45.440219  12.979806  56.412335  10.536809   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-43.609589  44.281899  13.120970  55.939562   8.896543   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-43.401364  41.618980  13.162575  56.474690   8.985902   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
-43.292794  38.598061  13.311563  53.570388   9.519591   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
